Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7035 - Vote By Mail	3	3	3	1	3	2	3	3	1	4	3	2	4	3	567	8	0	0	50	38	0
Precinct 7035 - Election Day	0	0	0	0	1	0	0	0	0	0	0	0	0	0	152	1	0	0	10	1	0
Precinct 7035	3	3	3	1	4	2	3	3	1	4	3	2	4	3	719	9	0	0	60	39	0
Precinct 7036 - Vote By Mail	12	10	11	11	7	8	11	9	11	11	12	13	8	8	781	25	0	0	133	142	0
Precinct 7036 - Election Day	2	3	2	3	2	3	3	3	3	2	1	3	2	1	193	3	0	0	0	33	0
Precinct 7036	14	13	13	14	9	11	14	12	14	13	13	16	10	9	974	28	0	0	133	175	0
Precinct 7037 - Vote By Mail	0	0	0	0	1	0	0	0	1	2	0	0	1	0	434	2	0	0	17	5	0
Precinct 7037 - Election Day	0	0	0	0	1	0	0	0	0	0	0	0	0	1	312	2	0	0	20	2	0
Precinct 7037	0	0	0	0	2	0	0	0	1	2	0	0	1	1	746	4	0	0	37	7	0
Precinct 7038 - Vote By Mail	4	2	2	3	3	3	2	2	3	4	3	4	5	3	758	14	0	0	111	43	0
Precinct 7038 - Election Day	0	1	0	0	0	0	0	0	0	0	1	0	0	0	203	2	0	0	20	2	0
Precinct 7038	4	3	2	3	3	3	2	2	3	4	4	4	5	3	961	16	0	0	131	45	0
Precinct 7039 - Vote By Mail	6	6	3	4	9	3	5	3	5	8	3	4	7	4	636	15	0	0	95	70	0
Precinct 7039 - Election Day	2	3	2	6	2	2	2	3	2	4	2	4	5	2	201	16	0	0	135	41	0
Precinct 7039	8	9	5	10	11	5	7	6	7	12	5	8	12	6	837	31	0	0	230	111	0
Precinct 7041 MB - Vote By Mail	4	2	2	3	1	3	2	0	0	3	3	2	3	2	70	4	0	0	14	30	0
Precinct 7041 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	4	2	2	3	1	3	2	0	0	3	3	2	3	2	66	4	0	0	14	30	0
Precinct 7042 - Vote By Mail	1	3	2	3	4	0	1	1	3	6	1	3	2	1	514	16	0	0	145	31	0
Precinct 7042 - Election Day	2	4	3	3	4	1	3	2	1	4	3	2	1	2	146	10	0	0	75	35	0
Precinct 7042	3	7	5	6	8	1	4	3	4	10	4	5	3	3	660	26	0	0	220	66	0
Precinct 7043 - Vote By Mail	9	6	4	7	4	6	5	5	6	2	4	5	4	5	754	14	0	0	82	72	0
Precinct 7043 - Election Day	1	0	0	0	0	0	0	0	0	1	0	0	0	0	224	3	0	0	31	2	0
Precinct 7043	10	6	4	7	4	6	5	5	6	3	4	5	4	5	978	17	0	0	113	74	0
Precinct 7044 - Vote By Mail	2	3	2	5	3	4	3	4	3	6	2	2	2	3	586	11	0	0	77	44	0
Precinct 7044 - Election Day	0	0	0	1	0	0	1	0	1	0	0	0	0	0	266	1	0	0	8	3	0
Precinct 7044	2	3	2	6	3	4	4	4	4	6	2	2	2	3	852	12	0	0	85	47	0
Precinct 7045 - Vote By Mail	4	6	4	6	9	4	4	7	4	7	5	6	6	4	632	16	0	0	100	76	0
