Subtotal Area	HOWIE HAWKINS	GLORIA LA RIVA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7206 - None	0	0	0	0	0	0	0	0	0
Precinct 7206 - None	0	0	0	0	0	0	0	0	0
Precinct 7206	0	0	0	0	0	0	0	0	0
Precinct 7207 - None	0	0	3	1	0	0	1	0	0
Precinct 7207 - None	0	0	0	1	0	0	1	0	0
Precinct 7207	0	0	3	2	0	0	2	0	0
Precinct 7208 - None	0	0	1	0	0	0	0	0	0
Precinct 7208 - None	0	0	0	0	0	0	0	0	0
Precinct 7208	0	0	1	0	0	0	0	0	0
Precinct 7209 - None	0	0	1	0	0	0	0	0	0
Precinct 7209 - None	0	0	1	0	0	0	0	0	0
Precinct 7209	0	0	2	0	0	0	0	0	0
Precinct 7301 - None	0	0	0	0	0	0	0	0	0
Precinct 7301 - None	0	0	0	0	0	0	0	0	0
Precinct 7301	0	0	0	0	0	0	0	0	0
Precinct 7302 - None	0	0	1	0	0	0	0	0	0
Precinct 7302 - None	0	0	0	0	0	0	0	0	0
Precinct 7302	0	0	1	0	0	0	0	0	0
Precinct 7303 - None	0	1	2	1	0	0	0	1	0
Precinct 7303 - None	0	0	0	0	0	0	0	0	0
Precinct 7303	0	1	2	1	0	0	0	1	0
Precinct 7304 - None	0	0	1	0	0	0	0	0	0
Precinct 7304 - None	0	0	1	0	0	0	0	0	0
Precinct 7304	0	0	2	0	0	0	0	0	0
Precinct 7305 - None	0	0	0	0	0	0	0	0	0
Precinct 7305 - None	0	0	0	0	0	0	0	0	0
Precinct 7305	0	0	0	0	0	0	0	0	0
Precinct 7306 - None	0	1	2	1	0	0	0	1	0
Precinct 7306 - None	0	0	-1	0	0	0	0	0	0
Precinct 7306	0	1	1	1	0	0	0	1	0
Precinct 7307 - None	0	0	0	0	0	0	0	0	0
Precinct 7307 - None	0	0	1	0	0	0	0	0	0
Precinct 7307	0	0	1	0	0	0	0	0	0
Precinct 7308 - None	0	0	0	0	0	0	0	0	0
Precinct 7308 - None	0	0	0	0	0	0	0	0	0
Precinct 7308	0	0	0	0	0	0	0	0	0
Precinct 7309 - None	0	0	1	0	0	0	0	0	0
Precinct 7309 - None	0	0	0	0	0	0	0	0	0
Precinct 7309	0	0	1	0	0	0	0	0	0
Precinct 7311 - None	0	0	2	0	0	0	0	0	0
Precinct 7311 - None	0	0	1	0	0	0	0	0	0
Precinct 7311	0	0	3	0	0	0	0	0	0
Precinct 7312 - None	0	0	1	0	0	0	0	0	0
Precinct 7312 - None	0	0	-1	0	0	0	0	0	0
Precinct 7312	0	0	0	0	0	0	0	0	0
Precinct 7313 - None	0	0	3	0	0	0	0	0	0
Precinct 7313 - None	0	0	0	0	0	0	0	0	0
Precinct 7313	0	0	3	0	0	0	0	0	0
Precinct 7314 - None	0	0	5	0	0	0	0	0	0
Precinct 7314 - None	0	1	1	1	0	0	0	1	0
Precinct 7314	0	1	6	1	0	0	0	1	0
Precinct 7315 - None	0	0	0	0	0	0	0	0	0
Precinct 7315 - None	0	0	0	0	0	0	0	0	0
Precinct 7315	0	0	0	0	0	0	0	0	0
Precinct 7316 - None	0	0	2	0	0	0	0	0	0
Precinct 7316 - None	0	0	0	0	0	0	0	0	0
Precinct 7316	0	0	2	0	0	0	0	0	0
Precinct 7317 - None	1	0	2	1	0	0	0	1	0
Precinct 7317 - None	0	0	1	0	0	0	0	0	0
Precinct 7317	1	0	3	1	0	0	0	1	0
Precinct 7318 - None	0	0	1	0	0	0	0	0	0
Precinct 7318 - None	0	0	1	0	0	0	0	0	0
Precinct 7318	0	0	2	0	0	0	0	0	0
Precinct 7319 - None	0	0	2	1	0	0	1	0	0
Precinct 7319 - None	0	0	0	0	0	0	0	0	0
Precinct 7319	0	0	2	1	0	0	1	0	0
Precinct 7321 - None	0	0	0	0	0	0	0	0	0
Precinct 7321 - None	0	0	1	0	0	0	0	0	0
Precinct 7321	0	0	1	0	0	0	0	0	0
Precinct 7322 - None	0	1	2	1	0	0	0	1	0
Precinct 7322 - None	0	0	-1	0	0	0	0	0	0
Precinct 7322	0	1	1	1	0	0	0	1	0
Precinct 7323 - None	0	0	2	0	0	0	0	0	0
Precinct 7323 - None	0	0	0	0	0	0	0	0	0
Precinct 7323	0	0	2	0	0	0	0	0	0
Precinct 7324 - None	0	0	2	0	0	0	0	0	0
Precinct 7324 - None	0	0	0	0	0	0	0	0	0
Precinct 7324	0	0	2	0	0	0	0	0	0
Precinct 7325 - None	0	0	0	0	0	0	0	0	0
Precinct 7325 - None	0	0	0	0	0	0	0	0	0
Precinct 7325	0	0	0	0	0	0	0	0	0
Precinct 7326 - None	0	0	4	0	0	0	0	0	0
Precinct 7326 - None	0	0	1	0	0	0	0	0	0
Precinct 7326	0	0	5	0	0	0	0	0	0
Precinct 7327 - None	0	1	2	1	0	0	0	1	0
Precinct 7327 - None	0	0	0	0	0	0	0	0	0
Precinct 7327	0	1	2	1	0	0	0	1	0
Precinct 7328 - None	0	0	4	0	0	0	0	0	0
Precinct 7328 - None	0	0	2	0	0	0	0	0	0
Precinct 7328	0	0	6	0	0	0	0	0	0
Precinct 7329 - None	0	0	2	1	0	0	1	0	0
Precinct 7329 - None	0	0	0	0	0	0	0	0	0
Precinct 7329	0	0	2	1	0	0	1	0	0
Precinct 7331 - None	0	0	1	0	0	0	0	0	0
Precinct 7331 - None	0	0	0	0	0	0	0	0	0
Precinct 7331	0	0	1	0	0	0	0	0	0
Precinct 7332 - None	0	1	4	1	0	0	0	1	0
Precinct 7332 - None	0	0	3	1	0	0	1	0	0
Precinct 7332	0	1	7	2	0	0	1	1	0
Precinct 7333 - None	3	0	3	3	0	0	0	3	0
Precinct 7333 - None	0	0	1	0	0	0	0	0	0
Precinct 7333	3	0	4	3	0	0	0	3	0
Precinct 7334 - None	0	0	2	0	0	0	0	0	0
Precinct 7334 - None	0	2	0	2	0	0	0	2	0
Precinct 7334	0	2	2	2	0	0	0	2	0
Precinct 7335 - None	0	0	2	0	0	0	0	0	0
Precinct 7335 - None	0	0	0	0	0	0	0	0	0
Precinct 7335	0	0	2	0	0	0	0	0	0
Precinct 7336 - None	0	0	1	0	0	0	0	0	0
Precinct 7336 - None	0	0	0	0	0	0	0	0	0
Precinct 7336	0	0	1	0	0	0	0	0	0
Precinct 7337 - None	0	1	3	1	0	0	0	1	0
Precinct 7337 - None	0	0	0	0	0	0	0	0	0
Precinct 7337	0	1	3	1	0	0	0	1	0
Precinct 7338 - None	0	0	5	0	0	0	0	0	0
Precinct 7338 - None	0	0	1	0	0	0	0	0	0
Precinct 7338	0	0	6	0	0	0	0	0	0
Precinct 7339 - None	0	1	2	1	0	0	0	1	0
Precinct 7339 - None	0	0	0	0	0	0	0	0	0
Precinct 7339	0	1	2	1	0	0	0	1	0
Precinct 7341 - None	0	0	3	1	0	0	1	0	0
Precinct 7341 - None	0	0	0	0	0	0	0	0	0
Precinct 7341	0	0	3	1	0	0	1	0	0
Precinct 7342 - None	0	0	0	0	0	0	0	0	0
Precinct 7342 - None	0	1	2	1	0	0	0	1	0
Precinct 7342	0	1	2	1	0	0	0	1	0
Precinct 7343 - None	0	1	3	1	0	0	0	1	0
Precinct 7343 - None	0	0	1	1	0	0	1	0	0
Precinct 7343	0	1	4	2	0	0	1	1	0
Precinct 7344 - None	0	1	3	1	0	0	0	1	0
Precinct 7344 - None	0	0	-1	0	0	0	0	0	0
Precinct 7344	0	1	2	1	0	0	0	1	0
Precinct 7345 - None	0	0	1	0	0	0	0	0	0
Precinct 7345 - None	0	0	0	0	0	0	0	0	0
Precinct 7345	0	0	1	0	0	0	0	0	0
Precinct 7346 - None	0	0	5	0	0	0	0	0	0
Precinct 7346 - None	0	0	-1	0	0	0	0	0	0
Precinct 7346	0	0	4	0	0	0	0	0	0
Precinct 7347 - None	0	0	0	0	0	0	0	0	0
Precinct 7347 - None	0	0	3	0	0	0	0	0	0
Precinct 7347	0	0	3	0	0	0	0	0	0
Precinct 7348 - None	0	2	6	2	0	0	0	2	0
Precinct 7348 - None	0	0	0	0	0	0	0	0	0
Precinct 7348	0	2	6	2	0	0	0	2	0
Precinct 7349 - None	0	0	3	0	0	0	0	0	0
Precinct 7349 - None	0	1	1	1	0	0	0	1	0
Precinct 7349	0	1	4	1	0	0	0	1	0
Precinct 7501 - None	0	0	0	0	0	0	0	0	0
Precinct 7501 - None	0	0	1	0	0	0	0	0	0
Precinct 7501	0	0	1	0	0	0	0	0	0
Precinct 7502 - None	0	0	1	0	0	0	0	0	0
Precinct 7502 - None	0	0	0	0	0	0	0	0	0
Precinct 7502	0	0	1	0	0	0	0	0	0
Precinct 7503 - None	0	0	2	0	0	0	0	0	0
Precinct 7503 - None	0	0	1	0	0	0	0	0	0
Precinct 7503	0	0	3	0	0	0	0	0	0
Precinct 7504 - None	0	0	0	0	0	0	0	0	0
Precinct 7504 - None	0	0	1	0	0	0	0	0	0
Precinct 7504	0	0	1	0	0	0	0	0	0
Precinct 7505 - None	0	0	1	0	0	0	0	0	0
Precinct 7505 - None	0	0	-1	0	0	0	0	0	0
