Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1125 - Vote By Mail	0	0	23	0	8	0	0	3	123	0	4	0	0	37	0	0	11	53	4	0	0	0	0	0	0	0	0	919	269	0	0	3	266	0
Precinct 1125 - Election Day	0	1	7	0	0	0	0	0	27	0	0	0	0	7	0	0	0	18	1	0	0	0	0	0	0	0	0	178	62	0	0	1	61	0
Precinct 1125	0	1	30	0	8	0	0	3	150	0	4	0	0	44	0	0	11	71	5	0	0	0	0	0	0	0	0	1,097	331	0	0	4	327	0
Precinct 1126 - Vote By Mail	0	0	28	0	6	0	0	1	101	0	2	0	0	33	0	1	8	36	2	3	0	0	0	0	0	0	0	812	224	0	0	3	221	0
Precinct 1126 - Election Day	0	0	11	0	0	0	1	0	25	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	200	63	0	0	0	63	0
Precinct 1126	0	0	39	0	6	0	1	1	126	0	2	0	0	39	0	1	8	56	2	3	0	0	0	0	0	0	0	1,012	287	0	0	3	284	0
Precinct 1127 - Vote By Mail	0	0	27	0	14	0	0	5	78	0	4	0	0	22	0	0	8	42	0	3	0	0	0	0	0	0	0	743	206	0	1	2	203	0
Precinct 1127 - Election Day	0	0	14	0	0	0	0	1	38	0	0	0	0	10	0	0	0	20	0	0	0	0	0	0	0	0	0	222	84	0	0	1	83	0
Precinct 1127	0	0	41	0	14	0	0	6	116	0	4	0	0	32	0	0	8	62	0	3	0	0	0	0	0	0	0	965	290	0	1	3	286	0
Precinct 1128 - Vote By Mail	0	0	13	0	12	0	0	5	96	0	5	0	0	21	0	0	10	41	0	0	0	0	0	0	0	0	0	734	208	0	3	2	203	0
Precinct 1128 - Election Day	0	0	12	0	0	0	0	0	24	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	145	52	0	0	0	52	0
Precinct 1128	0	0	25	0	12	0	0	5	120	0	5	0	0	26	0	0	10	52	0	0	0	0	0	0	0	0	0	879	260	0	3	2	255	0
Precinct 1129 - Vote By Mail	0	0	15	0	13	0	2	2	99	1	2	0	1	41	0	0	4	52	1	0	0	0	0	0	0	0	0	790	234	0	0	1	233	0
Precinct 1129 - Election Day	0	0	8	0	0	0	0	0	45	1	1	0	0	6	0	0	0	27	2	0	0	0	0	0	0	0	0	246	91	0	0	1	90	0
Precinct 1129	0	0	23	0	13	0	2	2	144	2	3	0	1	47	0	0	4	79	3	0	0	0	0	0	0	0	0	1,036	325	0	0	2	323	0
Precinct 1131 - Vote By Mail	3	0	24	1	7	1	1	2	76	0	4	0	0	18	0	0	8	46	3	0	0	0	0	0	0	0	0	694	196	0	0	2	194	0
Precinct 1131 - Election Day	0	0	7	0	0	0	1	0	22	0	1	0	0	6	0	0	0	16	1	0	0	0	0	0	0	0	0	166	54	0	0	0	54	0
Precinct 1131	3	0	31	1	7	1	2	2	98	0	5	0	0	24	0	0	8	62	4	0	0	0	0	0	0	0	0	860	250	0	0	2	248	0
Precinct 1132 - Vote By Mail	1	0	41	1	13	0	0	2	111	0	1	0	1	32	0	0	12	54	0	1	0	0	0	0	0	0	0	839	274	0	1	3	270	0
Precinct 1132 - Election Day	0	0	6	0	1	0	0	0	24	0	0	0	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0	193	57	0	0	3	54	0
Precinct 1132	1	0	47	1	14	0	0	2	135	0	1	0	1	38	0	0	12	71	0	1	0	0	0	0	0	0	0	1,032	331	0	1	6	324	0
Precinct 1133 - Vote By Mail	0	0	31	1	4	0	2	3	105	0	4	0	0	39	0	0	13	42	1	2	0	0	0	0	0	0	0	716	253	0	1	5	247	0
Precinct 1133 - Election Day	0	0	15	0	0	0	0	0	29	0	0	0	0	7	0	0	0	16	0	0	0	0	0	0	0	0	0	159	67	0	0	0	67	0
Precinct 1133	0	0	46	1	4	0	2	3	134	0	4	0	0	46	0	0	13	58	1	2	0	0	0	0	0	0	0	875	320	0	1	5	314	0
Precinct 1134 - Vote By Mail	1	0	28	0	6	0	0	3	78	0	3	0	1	27	0	0	10	36	2	0	0	0	0	0	0	0	0	585	199	0	0	4	195	0
Precinct 1134 - Election Day	0	0	9	0	0	0	1	1	45	0	0	0	0	4	0	0	0	15	0	0	0	0	0	0	0	0	0	182	76	0	0	1	75	0
Precinct 1134	1	0	37	0	6	0	1	4	123	0	3	0	1	31	0	0	10	51	2	0	0	0	0	0	0	0	0	767	275	0	0	5	270	0
Precinct 1135 - Vote By Mail	0	0	16	0	3	0	0	0	73	0	5	0	0	32	0	0	10	30	0	0	0	0	0	0	0	0	0	465	173	0	0	4	169	0
Precinct 1135 - Election Day	0	0	8	0	0	0	0	0	21	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	91	46	0	0	0	46	0
Precinct 1135	0	0	24	0	3	0	0	0	94	0	5	0	0	35	0	0	10	44	0	0	0	0	0	0	0	0	0	556	219	0	0	4	215	0
Precinct 1136 - Vote By Mail	0	0	27	0	7	0	0	6	94	0	8	1	0	28	0	1	14	55	0	0	0	0	0	0	0	0	0	710	244	0	1	2	241	0
Precinct 1136 - Election Day	0	0	5	0	1	0	0	0	34	0	2	0	0	3	0	1	0	17	0	1	0	0	0	0	0	0	0	157	65	0	1	0	64	0
Precinct 1136	0	0	32	0	8	0	0	6	128	0	10	1	0	31	0	2	14	72	0	1	0	0	0	0	0	0	0	867	309	0	2	2	305	0
Precinct 1141 - Vote By Mail	0	0	42	0	1	0	0	3	115	0	5	0	1	42	0	0	14	70	1	0	0	0	0	0	0	0	0	836	296	0	0	2	294	0
Precinct 1141 - Election Day	0	0	16	0	1	0	0	1	54	0	1	0	1	5	0	0	0	33	1	0	0	0	0	0	0	0	0	220	113	0	0	0	113	0
Precinct 1141	0	0	58	0	2	0	0	4	169	0	6	0	2	47	0	0	14	103	2	0	0	0	0	0	0	0	0	1,056	409	0	0	2	407	0
Precinct 1142 - Vote By Mail	1	0	49	0	1	1	0	4	118	0	1	0	0	19	0	0	8	37	2	0	0	0	0	0	0	0	0	721	244	0	1	2	241	0
Precinct 1142 - Election Day	0	0	16	0	0	0	0	0	32	0	1	0	0	3	0	0	0	25	1	0	0	0	0	0	0	0	0	175	78	0	0	0	78	0
Precinct 1142	1	0	65	0	1	1	0	4	150	0	2	0	0	22	0	0	8	62	3	0	0	0	0	0	0	0	0	896	322	0	1	2	319	0
Precinct 1143 - Vote By Mail	2	1	33	1	4	0	0	6	128	1	3	0	1	25	0	0	8	35	2	0	0	0	0	0	0	0	0	824	254	0	1	3	250	0
