Subtotal Area	MARIA ELENA EVANGELISTA	PANG LY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1153 - Vote By Mail	150	100	730	285	0	1	34	250	0
Precinct 1153 - Election Day	71	32	210	117	0	0	14	103	0
Precinct 1153	221	132	940	402	0	1	48	353	0
Precinct 7001 - Vote By Mail	175	85	632	328	0	1	67	260	0
Precinct 7001 - Election Day	73	11	141	103	0	0	19	84	0
Precinct 7001	248	96	773	431	0	1	86	344	0
Precinct 7002 - Vote By Mail	133	69	598	267	0	0	65	202	0
Precinct 7002 - Election Day	54	25	116	88	0	0	9	79	0
Precinct 7002	187	94	714	355	0	0	74	281	0
Precinct 7003 - Vote By Mail	211	139	759	430	0	0	80	350	0
Precinct 7003 - Election Day	82	33	147	144	0	0	27	117	2
Precinct 7003	293	172	906	574	0	0	107	467	2
Precinct 7004 - Vote By Mail	204	129	764	416	0	0	83	333	0
Precinct 7004 - Election Day	63	38	149	143	0	0	41	102	1
Precinct 7004	267	167	913	559	0	0	124	435	1
Precinct 7005 - Vote By Mail	194	107	698	350	0	0	49	301	0
Precinct 7005 - Election Day	93	35	161	162	0	0	33	129	1
Precinct 7005	287	142	859	512	0	0	82	430	1
Precinct 7006 - Vote By Mail	226	73	729	359	0	1	59	299	0
Precinct 7006 - Election Day	101	20	203	149	0	0	28	121	0
Precinct 7006	327	93	932	508	0	1	87	420	0
Precinct 7007 - Vote By Mail	235	119	777	437	0	0	83	354	0
Precinct 7007 - Election Day	98	34	180	169	0	0	37	132	0
Precinct 7007	333	153	957	606	0	0	120	486	0
Precinct 7008 - Vote By Mail	173	105	732	367	0	0	89	278	0
Precinct 7008 - Election Day	107	44	177	192	0	0	40	152	1
Precinct 7008	280	149	909	559	0	0	129	430	1
Precinct 7009 - Vote By Mail	221	100	752	389	0	0	68	321	0
Precinct 7009 - Election Day	49	22	119	91	0	0	20	71	0
Precinct 7009	270	122	871	480	0	0	88	392	0
Precinct 7011 - Vote By Mail	118	65	704	231	0	0	48	183	0
Precinct 7011 - Election Day	51	26	269	87	0	0	10	77	0
Precinct 7011	169	91	973	318	0	0	58	260	0
Precinct 7012 - Vote By Mail	282	123	999	487	0	0	82	405	0
Precinct 7012 - Election Day	129	42	227	206	0	0	34	172	1
Precinct 7012	411	165	1,226	693	0	0	116	577	1
Precinct 7013 - Vote By Mail	143	85	984	280	0	0	52	228	0
Precinct 7013 - Election Day	88	24	155	151	0	0	38	113	1
Precinct 7013	231	109	1,139	431	0	0	90	341	1
Precinct 7014 - Vote By Mail	144	90	610	298	0	0	64	234	0
Precinct 7014 - Election Day	68	19	109	112	0	0	25	87	0
Precinct 7014	212	109	719	410	0	0	89	321	0
Precinct 7015 MB - Vote By Mail	33	3	128	40	0	0	4	36	0
Precinct 7015 MB - Election Day	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	33	3	110	40	0	0	4	36	0
Precinct 7016 - Vote By Mail	100	92	655	238	0	1	45	192	0
Precinct 7016 - Election Day	48	15	277	75	0	0	11	64	1
Precinct 7016	148	107	932	313	0	1	56	256	1
Precinct 7017 - Vote By Mail	104	43	543	180	0	0	33	147	0
Precinct 7017 - Election Day	26	8	238	53	0	0	18	35	1
Precinct 7017	130	51	781	233	0	0	51	182	1
Precinct 7018 - Vote By Mail	135	170	847	357	0	0	52	305	0
Precinct 7018 - Election Day	41	7	200	56	0	0	8	48	0
Precinct 7018	176	177	1,047	413	0	0	60	353	0
Precinct 7019 - Vote By Mail	178	127	734	355	0	0	50	305	0
Precinct 7019 - Election Day	42	17	166	74	0	0	15	59	0
Precinct 7019	220	144	900	429	0	0	65	364	0
Precinct 7021 - Vote By Mail	158	60	679	271	0	0	53	218	0
Precinct 7021 - Election Day	68	16	288	106	0	0	21	85	1
Precinct 7021	226	76	967	377	0	0	74	303	1
Precinct 7022 - Vote By Mail	177	85	770	311	0	0	49	262	0
Precinct 7022 - Election Day	38	12	193	55	0	0	4	51	1
Precinct 7022	215	97	963	366	0	0	53	313	1
Precinct 7023 - Vote By Mail	174	102	687	331	0	0	55	276	0
Precinct 7023 - Election Day	53	10	233	71	0	0	8	63	0
Precinct 7023	227	112	920	402	0	0	63	339	0
Precinct 7024 - Vote By Mail	25	21	251	50	0	0	4	46	0
Precinct 7024 - Election Day	7	3	190	20	0	0	7	13	3
Precinct 7024	32	24	441	70	0	0	11	59	3
Precinct 7025 - Vote By Mail	61	20	316	95	0	0	14	81	0
Precinct 7025 - Election Day	29	1	167	39	0	0	7	32	2
