Subtotal Area	JOHN P. MCDONNELL	PHIL TING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9151 - Election Day	25	161	168	228	0	0	42	186	0
Precinct 9151	64	429	861	580	0	0	87	493	0
Precinct 9152 - Vote By Mail	25	151	550	198	0	0	22	176	0
Precinct 9152 - Election Day	28	271	187	356	0	0	54	302	3
Precinct 9152	53	422	737	554	0	0	76	478	3
Precinct 9201 - Vote By Mail	42	273	785	358	0	0	43	315	0
Precinct 9201 - Election Day	22	196	186	252	0	0	33	219	1
Precinct 9201	64	469	971	610	0	0	76	534	1
Precinct 9202 - Vote By Mail	46	278	819	368	0	0	44	324	0
Precinct 9202 - Election Day	32	170	177	253	0	0	50	203	1
Precinct 9202	78	448	996	621	0	0	94	527	1
Precinct 9203 - Vote By Mail	105	217	847	374	0	0	52	322	0
Precinct 9203 - Election Day	50	97	155	208	0	0	61	147	0
Precinct 9203	155	314	1,002	582	0	0	113	469	0
Precinct 9204 - Vote By Mail	96	176	686	309	0	0	37	272	0
Precinct 9204 - Election Day	38	139	176	219	0	0	42	177	0
Precinct 9204	134	315	862	528	0	0	79	449	0
Precinct 9205 - Vote By Mail	48	202	621	289	0	0	39	250	0
Precinct 9205 - Election Day	32	95	115	171	0	0	41	130	3
Precinct 9205	80	297	736	460	0	0	80	380	3
Precinct 9206 - Vote By Mail	107	200	741	354	0	0	47	307	0
Precinct 9206 - Election Day	49	96	188	208	0	0	62	146	1
Precinct 9206	156	296	929	562	0	0	109	453	1
Precinct 9207 - Vote By Mail	107	218	824	370	0	0	45	325	0
Precinct 9207 - Election Day	51	111	165	208	0	0	45	163	1
Precinct 9207	158	329	989	578	0	0	90	488	1
Precinct 9208 - Vote By Mail	76	236	808	359	0	0	47	312	0
Precinct 9208 - Election Day	37	121	179	199	0	0	40	159	1
Precinct 9208	113	357	987	558	0	0	87	471	1
Precinct 9209 - Vote By Mail	75	165	615	276	0	0	36	240	0
Precinct 9209 - Election Day	37	109	156	190	0	0	44	146	0
Precinct 9209	112	274	771	466	0	0	80	386	0
Precinct 9211 - Vote By Mail	65	180	730	314	0	0	69	245	0
Precinct 9211 - Election Day	45	98	161	191	0	0	47	144	1
Precinct 9211	110	278	891	505	0	0	116	389	1
Precinct 9212 - Vote By Mail	59	192	671	284	0	0	33	251	0
Precinct 9212 - Election Day	28	107	137	192	0	0	57	135	0
Precinct 9212	87	299	808	476	0	0	90	386	0
Precinct 9213 - Vote By Mail	58	249	776	350	0	0	43	307	0
Precinct 9213 - Election Day	33	122	161	212	0	0	55	157	2
Precinct 9213	91	371	937	562	0	0	98	464	2
Precinct 9214 - Vote By Mail	55	153	517	236	0	0	28	208	0
Precinct 9214 - Election Day	36	83	110	156	0	0	37	119	0
Precinct 9214	91	236	627	392	0	0	65	327	0
Precinct 9215 - Vote By Mail	51	164	524	246	0	0	31	215	0
Precinct 9215 - Election Day	33	85	120	152	0	0	34	118	0
Precinct 9215	84	249	644	398	0	0	65	333	0
Precinct 9216 - Vote By Mail	70	150	669	266	0	1	45	220	0
Precinct 9216 - Election Day	35	136	155	223	0	0	51	172	1
Precinct 9216	105	286	824	489	0	1	96	392	1
Precinct 9217 - Vote By Mail	52	185	588	269	0	0	32	237	0
Precinct 9217 - Election Day	25	95	117	160	0	0	37	123	3
Precinct 9217	77	280	705	429	0	0	69	360	3
Precinct 9218 - Vote By Mail	60	171	652	278	0	0	47	231	0
Precinct 9218 - Election Day	24	116	164	188	0	0	47	141	1
Precinct 9218	84	287	816	466	0	0	94	372	1
Precinct 9219 - Vote By Mail	45	193	646	292	0	0	54	238	0
Precinct 9219 - Election Day	28	117	144	203	0	0	58	145	0
Precinct 9219	73	310	790	495	0	0	112	383	0
Precinct 9221 - Vote By Mail	86	196	562	325	0	0	43	282	0
Precinct 9221 - Election Day	17	95	89	144	0	0	31	113	1
Precinct 9221	103	291	651	469	0	0	74	395	1
Precinct 9222 - Vote By Mail	80	250	773	374	0	0	44	330	0
Precinct 9222 - Election Day	36	113	137	210	0	0	60	150	1
Precinct 9222	116	363	910	584	0	0	104	480	1
Precinct 9223 - Vote By Mail	62	169	558	268	0	0	37	231	0
Precinct 9223 - Election Day	19	73	109	127	0	0	35	92	0
Precinct 9223	81	242	667	395	0	0	72	323	0
Precinct 9224 - Vote By Mail	81	262	768	380	0	0	37	343	0
Precinct 9224 - Election Day	54	116	181	219	0	0	47	172	2
Precinct 9224	135	378	949	599	0	0	84	515	2
Precinct 9225 - Vote By Mail	59	215	757	304	0	0	30	274	0
Precinct 9225 - Election Day	38	150	169	234	0	0	45	189	1
Precinct 9225	97	365	926	538	0	0	75	463	1
Precinct 9226 - Vote By Mail	69	239	741	357	0	1	48	308	0
Precinct 9226 - Election Day	44	140	155	239	0	0	54	185	1
Precinct 9226	113	379	896	596	0	1	102	493	1
Precinct 9227 - Vote By Mail	75	260	605	373	0	0	38	335	0
Precinct 9227 - Election Day	23	117	124	156	0	0	16	140	0
Precinct 9227	98	377	729	529	0	0	54	475	0
Precinct 9228 - Vote By Mail	71	208	578	314	0	0	35	279	0
Precinct 9228 - Election Day	27	135	160	188	0	0	26	162	0
Precinct 9228	98	343	738	502	0	0	61	441	0
Precinct 9229 - Vote By Mail	58	165	460	257	0	0	34	223	0
Precinct 9229 - Election Day	21	103	119	147	0	0	23	124	0
Precinct 9229	79	268	579	404	0	0	57	347	0
Precinct 9231 - Vote By Mail	47	264	726	354	0	1	42	311	0
Precinct 9231 - Election Day	26	191	236	282	0	0	65	217	0
Precinct 9231	73	455	962	636	0	1	107	528	0
Precinct 9232 - Vote By Mail	40	220	608	295	0	0	35	260	0
Precinct 9232 - Election Day	34	118	126	183	0	0	30	153	1
Precinct 9232	74	338	734	478	0	0	65	413	1
Precinct 9233 - Vote By Mail	72	222	668	332	0	0	38	294	0
Precinct 9233 - Election Day	37	116	150	201	0	0	47	154	1
Precinct 9233	109	338	818	533	0	0	85	448	1
Precinct 9234 - Vote By Mail	53	225	643	322	0	0	44	278	0
Precinct 9234 - Election Day	23	90	91	155	0	0	42	113	0
Precinct 9234	76	315	734	477	0	0	86	391	0
Precinct 9235 - Vote By Mail	71	245	703	368	0	0	52	316	0
Precinct 9235 - Election Day	41	134	160	212	0	0	37	175	0
Precinct 9235	112	379	863	580	0	0	89	491	0
Precinct 9236 - Vote By Mail	43	205	537	283	0	0	35	248	0
Precinct 9236 - Election Day	11	101	136	148	0	0	34	114	2
Precinct 9236	54	306	673	431	0	0	69	362	2
Precinct 9237 - Vote By Mail	71	278	779	396	0	0	47	349	0
Precinct 9237 - Election Day	28	133	118	206	0	0	45	161	0
Precinct 9237	99	411	897	602	0	0	92	510	0
Precinct 9238 - Vote By Mail	72	222	687	330	0	0	36	294	0
Precinct 9238 - Election Day	27	120	118	192	0	0	44	148	1
Precinct 9238	99	342	805	522	0	0	80	442	1
Precinct 9239 - Vote By Mail	75	263	740	391	0	0	53	338	0
Precinct 9239 - Election Day	32	100	124	174	0	0	42	132	0
Precinct 9239	107	363	864	565	0	0	95	470	0
Precinct 9241 - Vote By Mail	81	265	819	404	0	0	58	346	0
Precinct 9241 - Election Day	34	128	141	211	0	0	49	162	0
Precinct 9241	115	393	960	615	0	0	107	508	0
Precinct 9242 - Vote By Mail	58	249	771	350	0	0	43	307	0
Precinct 9242 - Election Day	33	151	172	238	0	0	53	185	1
Precinct 9242	91	400	943	588	0	0	96	492	1
Precinct 9243 - Vote By Mail	28	186	480	242	0	1	27	214	0
Precinct 9243 - Election Day	23	92	123	154	0	0	39	115	0
Precinct 9243	51	278	603	396	0	1	66	329	0
