Subtotal Area	JACKIE SPEIER	RAN S. PETEL	CRISTOS GOODROW	ERIC TAYLOR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1123 - Election Day	63	6	8	2	208	89	0	1	8	80	1
Precinct 1123	241	41	14	11	938	346	0	5	33	308	1
Precinct 1124 - Vote By Mail	166	32	20	8	630	246	0	1	19	226	0
Precinct 1124 - Election Day	60	5	2	2	199	76	0	0	7	69	0
Precinct 1124	226	37	22	10	829	322	0	1	26	295	0
Precinct 1125 - Vote By Mail	249	58	24	16	919	364	0	4	13	347	0
Precinct 1125 - Election Day	41	4	7	7	178	68	0	1	7	60	1
Precinct 1125	290	62	31	23	1,097	432	0	5	20	407	1
Precinct 1126 - Vote By Mail	234	37	13	9	812	308	0	3	12	293	0
Precinct 1126 - Election Day	57	3	2	1	200	68	0	0	4	64	1
Precinct 1126	291	40	15	10	1,012	376	0	3	16	357	1
Precinct 1127 - Vote By Mail	195	51	14	10	743	293	0	1	22	270	0
Precinct 1127 - Election Day	71	8	3	6	222	101	0	0	12	89	1
Precinct 1127	266	59	17	16	965	394	0	1	34	359	1
Precinct 1128 - Vote By Mail	178	50	22	12	734	287	0	2	23	262	0
Precinct 1128 - Election Day	44	4	2	4	145	59	0	0	5	54	0
Precinct 1128	222	54	24	16	879	346	0	2	28	316	0
Precinct 1129 - Vote By Mail	205	55	12	19	790	314	0	1	22	291	0
Precinct 1129 - Election Day	73	15	6	5	246	109	0	1	9	99	0
Precinct 1129	278	70	18	24	1,036	423	0	2	31	390	0
Precinct 1131 - Vote By Mail	169	58	11	16	694	280	0	2	24	254	0
Precinct 1131 - Election Day	45	3	5	4	166	61	0	0	3	58	1
Precinct 1131	214	61	16	20	860	341	0	2	27	312	1
Precinct 1132 - Vote By Mail	260	51	15	11	839	370	0	0	33	337	0
Precinct 1132 - Election Day	48	1	4	1	193	60	0	0	4	56	2
Precinct 1132	308	52	19	12	1,032	430	0	0	37	393	2
Precinct 1133 - Vote By Mail	234	58	5	11	716	334	0	0	26	308	0
Precinct 1133 - Election Day	57	6	3	4	159	74	0	0	3	71	1
Precinct 1133	291	64	8	15	875	408	0	0	29	379	1
Precinct 1134 - Vote By Mail	184	60	9	8	585	293	0	1	31	261	0
Precinct 1134 - Election Day	62	2	5	5	182	80	0	0	5	75	1
Precinct 1134	246	62	14	13	767	373	0	1	36	336	1
Precinct 1135 - Vote By Mail	161	29	10	4	465	218	0	0	14	204	0
Precinct 1135 - Election Day	48	0	0	2	91	51	0	0	1	50	0
Precinct 1135	209	29	10	6	556	269	0	0	15	254	0
Precinct 1136 - Vote By Mail	240	64	12	7	710	340	0	0	17	323	0
Precinct 1136 - Election Day	53	10	5	3	157	79	0	1	6	72	1
Precinct 1136	293	74	17	10	867	419	0	1	23	395	1
Precinct 9001 MB - Vote By Mail	78	14	2	2	314	100	0	0	4	96	0
Precinct 9001 MB - Election Day	0	0	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	78	14	2	2	284	100	0	0	4	96	0
Precinct 9453 - Vote By Mail	146	39	3	6	409	217	0	1	22	194	0
Precinct 9453 - Election Day	62	9	5	1	115	84	0	0	7	77	0
Precinct 9453	208	48	8	7	524	301	0	1	29	271	0
Precinct 9712 - Vote By Mail	256	47	5	2	534	335	0	0	25	310	0
Precinct 9712 - Election Day	93	9	5	3	127	118	0	0	7	111	1
Precinct 9712	349	56	10	5	661	453	0	0	32	421	1
Precinct 9714 - Vote By Mail	321	75	8	9	795	447	0	1	33	413	0
Precinct 9714 - Election Day	104	21	0	2	156	137	0	0	8	129	2
Precinct 9714	425	96	8	11	951	584	0	1	41	542	2
Precinct 9715 - Vote By Mail	177	35	2	8	449	241	0	0	19	222	0
Precinct 9715 - Election Day	114	8	3	2	130	135	0	0	8	127	0
Precinct 9715	291	43	5	10	579	376	0	0	27	349	0
Precinct 9718 - Vote By Mail	339	58	8	14	749	449	0	0	30	419	0
Precinct 9718 - Election Day	108	23	2	2	152	145	0	0	9	136	1
Precinct 9718	447	81	10	16	901	594	0	0	39	555	1
Precinct 9719 - Vote By Mail	344	74	6	5	747	463	0	0	34	429	0
Precinct 9719 - Election Day	122	14	3	6	173	151	0	0	6	145	0
Precinct 9719	466	88	9	11	920	614	0	0	40	574	0
Precinct 9721 - Vote By Mail	212	44	6	3	498	288	0	0	23	265	0
Precinct 9721 - Election Day	112	16	2	1	164	135	0	0	3	132	1
Precinct 9721	324	60	8	4	662	423	0	0	26	397	1
Precinct 9722 - Vote By Mail	219	57	9	5	513	315	0	0	25	290	0
Precinct 9722 - Election Day	63	9	0	1	84	76	0	0	3	73	0
Precinct 9722	282	66	9	6	597	391	0	0	28	363	0
Precinct 9723 - Vote By Mail	142	47	4	10	436	224	0	0	21	203	0
Precinct 9723 - Election Day	28	11	0	3	72	46	0	0	4	42	0
Precinct 9723	170	58	4	13	508	270	0	0	25	245	0
Precinct 9724 - Vote By Mail	266	116	5	16	851	451	0	3	45	403	0
Precinct 9724 - Election Day	77	11	6	1	169	100	0	0	5	95	0
Precinct 9724	343	127	11	17	1,020	551	0	3	50	498	0
Precinct 9725 - Vote By Mail	275	93	18	11	814	437	0	1	39	397	0
Precinct 9725 - Election Day	65	14	1	4	157	97	0	0	11	86	2
Precinct 9725	340	107	19	15	971	534	0	1	50	483	2
Precinct 9726 - Vote By Mail	161	26	7	6	630	217	0	3	14	200	0
Precinct 9726 - Election Day	83	10	4	1	-14	103	0	0	4	99	1
Precinct 9726	244	36	11	7	616	320	0	3	18	299	1
Precinct 9727 - Vote By Mail	151	54	2	6	404	227	0	0	14	213	0
Precinct 9727 - Election Day	25	4	1	0	56	35	0	0	5	30	0
Precinct 9727	176	58	3	6	460	262	0	0	19	243	0
Precinct 9728 - Vote By Mail	286	101	17	6	751	446	0	0	36	410	0
Precinct 9728 - Election Day	102	21	1	4	212	137	0	0	9	128	0
Precinct 9728	388	122	18	10	963	583	0	0	45	538	0
Precinct 9729 - Vote By Mail	234	67	5	6	654	335	0	0	23	312	0
Precinct 9729 - Election Day	93	23	2	3	164	131	0	0	10	121	0
Precinct 9729	327	90	7	9	818	466	0	0	33	433	0
Precinct 9731 - Vote By Mail	177	36	7	5	436	245	0	0	20	225	0
Precinct 9731 - Election Day	85	13	0	2	143	111	0	0	11	100	0
Precinct 9731	262	49	7	7	579	356	0	0	31	325	0
Precinct 9733 MB - Vote By Mail	137	12	5	4	261	162	0	0	4	158	0
Precinct 9733 MB - Election Day	0	0	0	0	-21	1	0	0	1	0	0
Precinct 9733 MB	137	12	5	4	240	163	0	0	5	158	0
Precinct 9734 - Vote By Mail	220	41	6	2	473	286	0	0	17	269	0
Precinct 9734 - Election Day	79	17	4	3	131	110	0	0	7	103	0
Precinct 9734	299	58	10	5	604	396	0	0	24	372	0
Precinct 9735 - Vote By Mail	288	60	9	11	650	386	0	0	18	368	0
Precinct 9735 - Election Day	93	14	7	3	170	133	0	0	15	118	1
Precinct 9735	381	74	16	14	820	519	0	0	33	486	1
Precinct 9736 - Vote By Mail	260	30	5	7	586	325	0	0	23	302	0
Precinct 9736 - Election Day	120	16	3	3	150	155	0	0	12	143	1
Precinct 9736	380	46	8	10	736	480	0	0	35	445	1
Precinct 9737 - Vote By Mail	304	51	5	6	637	388	0	1	21	366	0
Precinct 9737 - Election Day	115	13	2	2	154	137	0	0	5	132	0
Precinct 9737	419	64	7	8	791	525	0	1	26	498	0
Precinct 9738 - Vote By Mail	228	46	7	10	688	320	0	2	27	291	0
Precinct 9738 - Election Day	46	9	4	1	150	66	0	0	6	60	0
Precinct 9738	274	55	11	11	838	386	0	2	33	351	0
Precinct 9739 - Vote By Mail	207	26	10	14	674	270	0	0	13	257	0
Precinct 9739 - Election Day	69	4	6	4	115	88	0	0	5	83	0
Precinct 9739	276	30	16	18	789	358	0	0	18	340	0
Precinct 9741 - Vote By Mail	126	6	16	7	837	173	0	0	18	155	0
Precinct 9741 - Election Day	9	0	0	0	-396	10	0	0	1	9	0
Precinct 9741	135	6	16	7	441	183	0	0	19	164	0
Precinct 9742 - Vote By Mail	151	43	7	10	530	229	0	0	18	211	0
Precinct 9742 - Election Day	69	16	5	4	165	101	0	0	7	94	0
Precinct 9742	220	59	12	14	695	330	0	0	25	305	0
Precinct 9743 - Vote By Mail	295	46	10	12	913	400	0	0	37	363	0
Precinct 9743 - Election Day	131	14	9	7	227	174	0	0	12	162	1
Precinct 9743	426	60	19	19	1,140	574	0	0	49	525	1
Precinct 9744 - Vote By Mail	235	46	24	11	783	333	0	0	17	316	0
Precinct 9744 - Election Day	88	11	6	3	160	126	0	0	18	108	0
Precinct 9744	323	57	30	14	943	459	0	0	35	424	0
Precinct 9745 - Vote By Mail	230	37	16	13	790	317	0	0	21	296	0
Precinct 9745 - Election Day	92	7	1	7	202	129	0	1	20	108	1
Precinct 9745	322	44	17	20	992	446	0	1	41	404	1
Precinct 9746 - Vote By Mail	263	61	10	7	714	373	0	0	32	341	0
Precinct 9746 - Election Day	92	15	1	3	189	120	0	0	9	111	0
Precinct 9746	355	76	11	10	903	493	0	0	41	452	0
Precinct 9747 - Vote By Mail	308	52	6	11	772	401	0	1	23	377	0
Precinct 9747 - Election Day	116	11	3	7	204	146	0	0	9	137	0
Precinct 9747	424	63	9	18	976	547	0	1	32	514	0
Precinct 9748 - Vote By Mail	325	63	6	5	746	425	0	0	26	399	0
Precinct 9748 - Election Day	90	9	3	3	167	119	0	0	13	106	1
Precinct 9748	415	72	9	8	913	544	0	0	39	505	1
Precinct 9749 - Vote By Mail	200	44	13	8	750	289	0	1	23	265	0
Precinct 9749 - Election Day	75	6	5	5	188	109	0	0	16	93	2
Precinct 9749	275	50	18	13	938	398	0	1	39	358	2
Precinct 9751 - Vote By Mail	352	55	17	6	857	472	0	1	41	430	0
