Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9248	67	44	89	32	76	50	102	115	80	91	76	72	92	34	77	55	88	107	90	92	37	907	412	0	0	2,554	1,566	0
Precinct 9249 - Vote By Mail	61	42	74	27	66	44	77	98	65	79	59	51	78	24	64	57	73	86	52	65	31	724	281	0	2	1,517	1,273	0
Precinct 9249 - Election Day	38	24	39	19	37	25	38	51	34	39	26	30	43	19	38	26	25	47	39	42	18	191	171	0	0	1,013	697	0
Precinct 9249	99	66	113	46	103	69	115	149	99	118	85	81	121	43	102	83	98	133	91	107	49	915	452	0	2	2,530	1,970	0
Precinct 9251 - Vote By Mail	49	30	74	25	64	42	86	90	74	81	49	47	84	24	64	67	69	93	64	73	30	792	292	0	1	1,631	1,279	0
Precinct 9251 - Election Day	33	26	42	13	31	19	33	63	39	28	19	32	39	11	29	27	38	37	27	35	12	174	170	0	0	1,057	643	10
Precinct 9251	82	56	116	38	95	61	119	153	113	109	68	79	123	35	93	94	107	130	91	108	42	966	462	0	1	2,688	1,922	10
Precinct 9252 - Vote By Mail	65	44	50	22	48	52	59	80	48	55	60	61	65	43	47	80	66	64	54	47	33	811	278	0	1	1,627	1,143	0
Precinct 9252 - Election Day	26	21	28	13	30	15	30	39	19	39	23	28	30	12	26	28	36	31	22	30	15	142	151	0	0	969	541	0
Precinct 9252	91	65	78	35	78	67	89	119	67	94	83	89	95	55	73	108	102	95	76	77	48	953	429	0	1	2,596	1,684	0
Precinct 9253 - Vote By Mail	56	35	51	28	45	40	50	64	45	53	42	30	63	27	46	32	54	68	49	57	30	599	199	0	0	1,025	965	0
Precinct 9253 - Election Day	29	7	32	11	23	12	29	38	21	29	12	16	31	8	22	11	31	28	24	26	8	162	140	0	0	952	448	0
Precinct 9253	85	42	83	39	68	52	79	102	66	82	54	46	94	35	68	43	85	96	73	83	38	761	339	0	0	1,977	1,413	0
Precinct 9254 - Vote By Mail	49	43	79	28	59	44	82	97	61	72	50	50	81	28	62	54	74	89	66	76	30	758	315	0	0	1,876	1,274	0
Precinct 9254 - Election Day	34	23	43	17	35	24	38	52	30	34	27	31	29	14	30	27	40	48	24	42	17	163	182	0	0	1,160	660	1
Precinct 9254	83	66	122	45	94	68	120	149	91	106	77	81	110	42	92	81	114	137	90	118	47	921	497	0	0	3,036	1,934	1
Precinct 9255 - Vote By Mail	24	21	38	11	37	23	37	33	34	41	29	28	39	15	29	24	33	35	41	40	15	437	139	0	0	763	627	0
Precinct 9255 - Election Day	21	24	28	12	25	17	27	24	25	24	21	20	20	11	25	22	26	32	23	26	13	113	109	0	0	624	466	0
Precinct 9255	45	45	66	23	62	40	64	57	59	65	50	48	59	26	54	46	59	67	64	66	28	550	248	0	0	1,387	1,093	0
Precinct 9256 - Vote By Mail	22	18	32	12	23	17	34	30	30	32	22	18	28	18	25	22	29	25	26	28	12	367	114	0	0	637	503	0
Precinct 9256 - Election Day	17	11	23	4	21	12	25	21	19	23	12	13	22	5	19	12	21	28	23	22	7	95	103	0	0	670	360	0
Precinct 9256	39	29	55	16	44	29	59	51	49	55	34	31	50	23	44	34	50	53	49	50	19	462	217	0	0	1,307	863	0
Precinct 9257 MB - Vote By Mail	18	10	40	10	40	13	42	29	41	43	18	16	42	8	34	21	29	43	37	50	9	359	133	0	0	737	593	0
Precinct 9257 MB - Election Day	2	0	3	1	3	0	2	1	2	1	2	1	2	1	2	1	2	3	3	1	0	-39	17	0	0	137	33	0
Precinct 9257 MB	20	10	43	11	43	13	44	30	43	44	20	17	44	9	36	22	31	46	40	51	9	320	150	0	0	874	626	0
Precinct 9258 - Vote By Mail	35	30	63	15	58	32	72	62	58	66	36	39	77	24	46	55	60	65	55	68	29	583	222	0	1	1,165	1,045	0
Precinct 9258 - Election Day	20	14	32	15	24	16	25	29	25	24	20	12	28	11	20	16	27	32	22	21	6	120	114	0	0	701	439	0
Precinct 9258	55	44	95	30	82	48	97	91	83	90	56	51	105	35	66	71	87	97	77	89	35	703	336	0	1	1,866	1,484	0
Precinct 9401 - Vote By Mail	39	19	113	26	92	31	93	70	95	92	44	43	127	16	87	51	51	105	102	115	20	796	260	0	0	1,169	1,431	0
Precinct 9401 - Election Day	27	13	56	11	51	17	50	33	41	57	18	20	79	8	44	22	22	52	51	65	7	242	173	0	0	985	745	1
Precinct 9401	66	32	169	37	143	48	143	103	136	149	62	63	206	24	131	73	73	157	153	180	27	1,038	433	0	0	2,154	2,176	1
Precinct 9402 - Vote By Mail	39	23	105	22	90	36	90	50	87	91	22	36	135	18	91	35	47	100	85	99	23	775	254	0	1	1,206	1,324	0
Precinct 9402 - Election Day	21	9	57	15	58	20	47	34	48	44	22	24	78	11	43	17	26	51	47	59	8	242	170	0	0	961	739	0
Precinct 9402	60	32	162	37	148	56	137	84	135	135	44	60	213	29	134	52	73	151	132	158	31	1,017	424	0	1	2,167	2,063	0
Precinct 9403 - Vote By Mail	40	21	72	23	77	38	82	54	69	78	26	48	113	18	72	51	62	88	71	82	19	731	235	0	3	1,116	1,204	0
Precinct 9403 - Election Day	15	12	39	10	34	15	32	21	37	37	15	16	52	10	35	22	20	43	32	44	6	190	126	0	0	710	550	3
Precinct 9403	55	33	111	33	111	53	114	75	106	115	41	64	165	28	107	73	82	131	103	126	25	921	361	0	3	1,826	1,754	3
Precinct 9404 - Vote By Mail	46	30	75	15	57	47	66	57	69	70	46	47	103	35	62	67	61	81	57	69	31	753	219	0	0	999	1,191	0
Precinct 9404 - Election Day	13	13	44	14	41	18	41	26	39	40	14	15	59	13	32	23	28	38	30	43	5	191	146	0	0	871	589	0
Precinct 9404	59	43	119	29	98	65	107	83	108	110	60	62	162	48	94	90	89	119	87	112	36	944	365	0	0	1,870	1,780	0
Precinct 9405 - Vote By Mail	31	26	54	15	39	31	59	54	44	52	35	38	80	19	33	39	46	48	41	58	17	629	168	0	0	821	859	0
Precinct 9405 - Election Day	12	12	26	8	25	9	25	38	20	24	13	11	48	9	23	17	13	30	19	34	11	151	105	0	0	623	427	0
Precinct 9405	43	38	80	23	64	40	84	92	64	76	48	49	128	28	56	56	59	78	60	92	28	780	273	0	0	1,444	1,286	0
Precinct 9406 - Vote By Mail	34	34	71	15	71	44	77	72	58	73	49	39	118	24	56	58	65	60	60	67	29	695	225	0	0	1,076	1,174	0
Precinct 9406 - Election Day	18	18	43	12	42	21	41	29	43	43	23	16	55	16	38	20	22	45	31	41	12	188	138	0	0	751	629	0
Precinct 9406	52	52	114	27	113	65	118	101	101	116	72	55	173	40	94	78	87	105	91	108	41	883	363	0	0	1,827	1,803	0
Precinct 9407 - Vote By Mail	45	26	82	25	80	43	79	56	86	88	53	49	121	29	74	56	48	78	79	91	22	712	244	0	3	1,100	1,310	0
Precinct 9407 - Election Day	23	18	26	9	31	18	31	34	28	37	16	23	50	10	24	23	27	27	27	42	14	201	132	0	0	782	538	0
Precinct 9407	68	44	108	34	111	61	110	90	114	125	69	72	171	39	98	79	75	105	106	133	36	913	376	0	3	1,882	1,848	0
Precinct 9408 - Vote By Mail	28	31	92	10	86	27	89	55	90	90	44	32	119	17	82	44	46	86	81	104	25	711	240	0	0	1,122	1,278	0
Precinct 9408 - Election Day	20	15	51	10	53	15	38	19	51	50	18	20	62	8	41	18	14	48	47	54	14	152	135	0	0	684	666	0
Precinct 9408	48	46	143	20	139	42	127	74	141	140	62	52	181	25	123	62	60	134	128	158	39	863	375	0	0	1,806	1,944	0
Precinct 9409 - Vote By Mail	19	22	54	8	45	22	49	40	50	48	25	27	72	14	48	26	23	47	45	59	14	443	172	0	0	963	757	0
Precinct 9409 - Election Day	17	14	44	13	40	11	47	26	42	37	17	13	61	6	42	18	25	46	38	48	9	158	124	0	0	626	614	0
Precinct 9409	36	36	98	21	85	33	96	66	92	85	42	40	133	20	90	44	48	93	83	107	23	601	296	0	0	1,589	1,371	0
Precinct 9411 - Vote By Mail	65	38	93	42	86	47	93	75	86	79	55	47	124	24	85	58	58	107	79	99	24	816	281	0	0	1,346	1,464	0
Precinct 9411 - Election Day	19	14	57	15	60	15	56	35	53	53	20	21	77	7	50	22	24	65	48	55	10	191	168	0	0	904	776	0
Precinct 9411	84	52	150	57	146	62	149	110	139	132	75	68	201	31	135	80	82	172	127	154	34	1,007	449	0	0	2,250	2,240	0
Precinct 9412 - Vote By Mail	29	19	59	19	63	30	56	60	56	70	26	35	110	24	58	44	49	62	50	60	22	668	215	0	1	1,139	1,001	0
Precinct 9412 - Election Day	18	9	37	8	31	14	32	43	34	28	20	9	49	7	37	16	23	41	30	38	14	202	136	0	0	821	539	1
Precinct 9412	47	28	96	27	94	44	88	103	90	98	46	44	159	31	95	60	72	103	80	98	36	870	351	0	1	1,960	1,540	1
Precinct 9413 - Vote By Mail	31	25	69	22	79	40	85	74	81	75	48	37	106	21	63	49	61	77	66	70	14	757	258	0	0	1,387	1,193	0
Precinct 9413 - Election Day	8	11	27	4	27	12	27	23	28	27	11	10	50	7	23	9	21	32	22	27	2	179	122	0	0	812	408	0
Precinct 9413	39	36	96	26	106	52	112	97	109	102	59	47	156	28	86	58	82	109	88	97	16	936	380	0	0	2,199	1,601	0
Precinct 9414 - Vote By Mail	33	32	69	17	56	41	73	65	60	81	40	47	102	29	56	58	62	70	52	67	27	734	231	0	1	1,163	1,137	0
Precinct 9414 - Election Day	17	14	21	6	23	18	22	34	21	23	12	20	39	13	22	22	22	29	15	27	7	186	110	0	0	673	427	0
Precinct 9414	50	46	90	23	79	59	95	99	81	104	52	67	141	42	78	80	84	99	67	94	34	920	341	0	1	1,836	1,564	0
Precinct 9415 - Vote By Mail	38	24	57	13	67	44	69	52	61	78	27	36	86	22	58	42	53	58	54	64	19	634	192	0	0	898	1,022	0
Precinct 9415 - Election Day	16	10	30	9	28	13	26	23	22	24	20	14	38	6	24	15	23	35	19	27	9	154	99	0	1	547	433	2
Precinct 9415	54	34	87	22	95	57	95	75	83	102	47	50	124	28	82	57	76	93	73	91	28	788	291	0	1	1,445	1,455	2
Precinct 9416 - Vote By Mail	53	29	53	22	68	41	61	90	58	83	42	55	115	32	56	72	70	78	53	62	30	769	257	0	1	1,337	1,223	0
Precinct 9416 - Election Day	31	22	35	17	40	25	38	58	30	30	25	23	54	15	33	26	41	48	34	39	19	230	156	0	0	877	683	0
Precinct 9416	84	51	88	39	108	66	99	148	88	113	67	78	169	47	89	98	111	126	87	101	49	999	413	0	1	2,214	1,906	0
Precinct 9417 - Vote By Mail	27	29	54	21	46	39	53	63	52	61	37	34	95	25	40	54	52	65	46	64	20	629	202	0	0	1,043	977	0
Precinct 9417 - Election Day	22	10	27	15	26	16	26	29	27	30	14	22	47	7	28	25	20	35	25	33	4	145	112	0	0	632	488	0
Precinct 9417	49	39	81	36	72	55	79	92	79	91	51	56	142	32	68	79	72	100	71	97	24	774	314	0	0	1,675	1,465	0
Precinct 9418 - Vote By Mail	34	19	34	23	40	41	48	64	44	46	35	33	79	20	39	53	43	60	32	46	22	631	176	0	0	905	855	0
Precinct 9418 - Election Day	16	7	29	9	29	16	29	32	29	35	15	15	45	9	25	26	19	26	26	27	4	188	117	0	0	702	468	0
Precinct 9418	50	26	63	32	69	57	77	96	73	81	50	48	124	29	64	79	62	86	58	73	26	819	293	0	0	1,607	1,323	0
Precinct 9419 - Vote By Mail	34	32	56	17	51	41	52	75	43	56	46	50	100	23	44	62	57	63	38	59	30	736	211	0	0	1,081	1,029	0
Precinct 9419 - Election Day	14	11	24	9	25	12	17	20	16	25	12	15	39	9	18	17	17	28	15	23	9	173	103	0	1	645	375	0
Precinct 9419	48	43	80	26	76	53	69	95	59	81	58	65	139	32	62	79	74	91	53	82	39	909	314	0	1	1,726	1,404	0
Precinct 9421 - Vote By Mail	30	24	63	13	62	45	65	69	54	77	30	46	102	29	59	59	58	57	44	57	26	752	217	0	1	1,091	1,069	0
Precinct 9421 - Election Day	12	12	32	8	29	17	22	26	26	24	15	17	43	10	24	16	22	26	27	28	7	173	118	0	0	736	444	1
Precinct 9421	42	36	95	21	91	62	87	95	80	101	45	63	145	39	83	75	80	83	71	85	33	925	335	0	1	1,827	1,513	1
Precinct 9422 - Vote By Mail	33	29	54	17	57	44	70	80	62	84	48	45	115	25	46	70	72	74	42	73	28	831	259	0	0	1,422	1,168	0
Precinct 9422 - Election Day	12	10	27	10	33	17	33	23	38	36	19	14	57	7	35	15	26	38	27	37	4	270	126	0	0	742	518	0
Precinct 9422	45	39	81	27	90	61	103	103	100	120	67	59	172	32	81	85	98	112	69	110	32	1,101	385	0	0	2,164	1,686	0
Precinct 9423 - Vote By Mail	31	14	67	18	57	33	65	66	62	57	36	45	98	21	46	62	59	73	49	61	15	714	219	0	0	1,155	1,035	0
Precinct 9423 - Election Day	18	11	44	13	44	16	31	28	41	36	13	21	50	6	37	24	20	50	35	43	7	190	127	0	1	671	589	1
Precinct 9423	49	25	111	31	101	49	96	94	103	93	49	66	148	27	83	86	79	123	84	104	22	904	346	0	1	1,826	1,624	1
Precinct 9424 - Vote By Mail	30	38	64	16	67	58	58	87	59	72	52	49	114	44	55	73	68	71	50	66	39	799	236	0	0	1,130	1,230	0
Precinct 9424 - Election Day	24	15	37	13	38	18	27	29	31	26	18	16	60	6	33	21	17	40	29	39	11	210	148	0	0	932	548	0
Precinct 9424	54	53	101	29	105	76	85	116	90	98	70	65	174	50	88	94	85	111	79	105	50	1,009	384	0	0	2,062	1,778	0
Precinct 9425 - Vote By Mail	30	22	56	19	71	37	64	49	56	73	33	32	98	30	54	54	58	69	44	67	31	789	195	0	0	903	1,047	0
Precinct 9425 - Election Day	12	7	34	10	34	13	34	31	33	35	13	19	61	8	30	22	27	33	30	41	7	187	125	0	0	716	534	0
Precinct 9425	42	29	90	29	105	50	98	80	89	108	46	51	159	38	84	76	85	102	74	108	38	976	320	0	0	1,619	1,581	0
Precinct 9426 - Vote By Mail	36	25	56	14	50	40	54	62	48	63	42	38	85	22	47	45	52	52	38	51	22	697	188	0	0	938	942	0
Precinct 9426 - Election Day	15	8	21	11	19	16	14	22	22	21	12	13	27	7	18	21	22	22	14	20	2	156	110	0	0	753	347	0
Precinct 9426	51	33	77	25	69	56	68	84	70	84	54	51	112	29	65	66	74	74	52	71	24	853	298	0	0	1,691	1,289	0
Precinct 9427 - Vote By Mail	34	27	60	26	67	50	64	76	62	67	34	35	103	36	51	52	57	68	49	69	21	799	216	0	1	1,042	1,108	0
Precinct 9427 - Election Day	15	6	28	8	22	16	20	33	20	23	15	19	42	13	19	28	18	24	19	20	7	188	115	0	0	735	415	0
Precinct 9427	49	33	88	34	89	66	84	109	82	90	49	54	145	49	70	80	75	92	68	89	28	987	331	0	1	1,777	1,523	0
Precinct 9428 - Vote By Mail	33	25	53	18	64	49	50	60	55	80	31	43	94	37	44	60	63	63	44	52	15	811	217	0	0	1,137	1,033	0
Precinct 9428 - Election Day	23	11	28	13	39	21	24	31	30	28	17	18	48	6	28	19	20	33	27	35	9	179	118	0	1	662	508	0
Precinct 9428	56	36	81	31	103	70	74	91	85	108	48	61	142	43	72	79	83	96	71	87	24	990	335	0	1	1,799	1,541	0
Precinct 9429 - Vote By Mail	32	26	56	21	69	48	62	88	61	70	40	49	122	32	38	64	72	63	36	64	20	709	222	0	0	1,087	1,133	0
Precinct 9429 - Election Day	19	10	22	7	23	14	28	34	27	24	13	25	33	9	23	34	31	28	21	27	7	197	112	0	0	661	459	0
Precinct 9429	51	36	78	28	92	62	90	122	88	94	53	74	155	41	61	98	103	91	57	91	27	906	334	0	0	1,748	1,592	0
Precinct 9431 - Vote By Mail	45	23	47	34	68	57	60	71	53	75	28	34	106	26	49	79	75	66	42	62	24	832	250	0	0	1,376	1,124	0
Precinct 9431 - Election Day	15	13	33	14	27	21	31	28	35	36	23	16	51	10	29	28	27	46	27	32	10	204	123	0	0	676	554	2
Precinct 9431	60	36	80	48	95	78	91	99	88	111	51	50	157	36	78	107	102	112	69	94	34	1,036	373	0	0	2,052	1,678	2
Precinct 9432 - Vote By Mail	44	25	55	23	55	45	66	64	51	72	42	47	113	23	45	57	63	67	45	66	28	743	228	0	0	1,184	1,096	0
Precinct 9432 - Election Day	19	11	23	11	26	13	27	36	26	27	22	19	54	5	23	22	24	27	18	28	6	215	113	0	0	663	467	0
Precinct 9432	63	36	78	34	81	58	93	100	77	99	64	66	167	28	68	79	87	94	63	94	34	958	341	0	0	1,847	1,563	0
Precinct 9433 - Vote By Mail	26	14	49	16	60	34	56	50	56	61	36	34	84	23	38	53	42	52	39	63	24	794	212	0	2	1,190	910	0
Precinct 9433 - Election Day	15	10	19	10	23	13	8	29	17	18	8	13	30	3	22	14	14	22	20	19	3	164	90	0	1	560	330	0
Precinct 9433	41	24	68	26	83	47	64	79	73	79	44	47	114	26	60	67	56	74	59	82	27	958	302	0	3	1,750	1,240	0
Precinct 9434 - Vote By Mail	44	30	62	17	68	55	66	90	69	70	47	46	98	23	58	60	67	77	60	69	29	785	237	0	1	1,155	1,205	0
Precinct 9434 - Election Day	22	12	31	10	39	15	34	46	30	29	21	26	69	11	36	26	24	49	27	38	9	227	166	0	0	1,056	604	0
Precinct 9434	66	42	93	27	107	70	100	136	99	99	68	72	167	34	94	86	91	126	87	107	38	1,012	403	0	1	2,211	1,809	0
Precinct 9435 - Vote By Mail	26	26	58	25	57	29	62	77	53	67	44	46	88	26	41	65	57	65	56	66	27	779	231	0	2	1,229	1,061	0
Precinct 9435 - Election Day	10	16	45	10	36	17	35	35	31	36	18	28	69	10	33	27	26	35	29	35	9	225	141	0	0	819	591	1
Precinct 9435	36	42	103	35	93	46	97	112	84	103	62	74	157	36	74	92	83	100	85	101	36	1,004	372	0	2	2,048	1,652	1
Precinct 9436 - Vote By Mail	47	36	58	28	64	44	62	83	68	65	52	44	107	36	59	68	71	67	54	72	33	842	242	0	1	1,192	1,218	0
Precinct 9436 - Election Day	19	17	22	10	25	23	18	32	24	20	16	17	33	10	22	27	22	27	21	24	9	226	112	0	0	682	438	0
Precinct 9436	66	53	80	38	89	67	80	115	92	85	68	61	140	46	81	95	93	94	75	96	42	1,068	354	0	1	1,874	1,656	0
Precinct 9437 - Vote By Mail	40	32	57	22	53	49	58	69	56	69	51	49	96	31	55	63	66	70	52	59	33	736	226	0	0	1,130	1,130	0
Precinct 9437 - Election Day	21	11	26	17	38	14	33	36	30	32	16	11	43	9	31	17	29	39	24	30	5	191	117	0	1	648	512	0
Precinct 9437	61	43	83	39	91	63	91	105	86	101	67	60	139	40	86	80	95	109	76	89	38	927	343	0	1	1,778	1,642	0
Precinct 9438 - Vote By Mail	51	38	76	21	65	67	72	85	67	75	54	61	125	34	70	78	79	85	50	81	29	837	260	0	0	1,237	1,363	0
Precinct 9438 - Election Day	7	7	17	9	22	10	16	11	17	21	13	6	31	4	14	16	11	16	18	23	5	152	75	0	0	456	294	0
Precinct 9438	58	45	93	30	87	77	88	96	84	96	67	67	156	38	84	94	90	101	68	104	34	989	335	0	0	1,693	1,657	0
Precinct 9439 - Vote By Mail	32	31	34	23	47	30	53	58	45	61	33	29	84	27	32	42	57	50	36	54	18	718	207	0	1	1,184	876	0
Precinct 9439 - Election Day	10	9	26	7	19	11	25	21	23	20	15	15	33	6	21	14	17	28	20	24	8	199	99	0	0	618	372	0
Precinct 9439	42	40	60	30	66	41	78	79	68	81	48	44	117	33	53	56	74	78	56	78	26	917	306	0	1	1,802	1,248	0
Precinct 9441 - Vote By Mail	42	33	82	17	71	36	82	71	80	75	55	52	101	28	70	56	67	88	63	85	37	778	242	0	1	1,119	1,291	0
Precinct 9441 - Election Day	12	6	30	11	30	11	28	24	37	30	12	15	49	8	26	21	16	37	23	32	3	193	127	0	0	809	461	0
Precinct 9441	54	39	112	28	101	47	110	95	117	105	67	67	150	36	96	77	83	125	86	117	40	971	369	0	1	1,928	1,752	0
Precinct 9442 - Vote By Mail	36	25	77	13	82	36	75	56	76	74	32	35	127	21	66	49	46	83	68	80	19	830	234	0	0	1,164	1,176	0
Precinct 9442 - Election Day	18	10	39	7	31	9	39	38	29	38	17	20	58	4	28	18	29	39	22	33	9	210	149	0	0	955	535	0
Precinct 9442	54	35	116	20	113	45	114	94	105	112	49	55	185	25	94	67	75	122	90	113	28	1,040	383	0	0	2,119	1,711	0
Precinct 9443 - Vote By Mail	51	30	87	41	93	54	80	65	83	85	41	36	128	30	84	66	63	102	68	98	22	760	248	0	0	1,073	1,407	0
Precinct 9443 - Election Day	24	16	30	19	31	22	29	35	32	23	18	18	46	8	30	28	19	46	22	35	9	195	128	0	0	740	540	0
Precinct 9443	75	46	117	60	124	76	109	100	115	108	59	54	174	38	114	94	82	148	90	133	31	955	376	0	0	1,813	1,947	0
Precinct 9444 - Vote By Mail	40	24	40	20	49	48	44	66	42	54	40	61	92	26	44	61	62	48	37	36	21	768	189	0	0	935	955	0
Precinct 9444 - Election Day	10	10	19	10	17	13	16	20	23	25	5	13	33	6	19	24	14	29	19	19	6	197	106	0	0	710	350	0
Precinct 9444	50	34	59	30	66	61	60	86	65	79	45	74	125	32	63	85	76	77	56	55	27	965	295	0	0	1,645	1,305	0
Precinct 9445 - Vote By Mail	46	31	63	26	72	46	77	68	68	79	52	48	113	33	55	79	79	81	56	71	25	830	262	0	1	1,342	1,268	0
Precinct 9445 - Election Day	21	10	27	8	30	12	26	28	32	26	15	17	40	7	23	22	20	33	28	36	5	166	113	0	0	664	466	0
Precinct 9445	67	41	90	34	102	58	103	96	100	105	67	65	153	40	78	101	99	114	84	107	30	996	375	0	1	2,006	1,734	0
Precinct 9446 - Vote By Mail	52	34	67	28	78	53	77	103	83	84	47	56	140	38	81	69	82	87	68	91	24	900	290	0	1	1,448	1,442	0
Precinct 9446 - Election Day	14	11	26	8	26	12	28	36	33	23	23	18	49	7	23	23	26	29	28	35	7	216	136	0	0	875	485	0
Precinct 9446	66	45	93	36	104	65	105	139	116	107	70	74	189	45	104	92	108	116	96	126	31	1,116	426	0	1	2,323	1,927	0
Precinct 9447 - Vote By Mail	50	35	52	21	69	40	65	83	55	64	43	50	96	39	47	58	74	68	52	64	27	729	250	0	0	1,348	1,152	0
Precinct 9447 - Election Day	20	12	31	12	25	14	26	47	30	26	16	18	46	13	27	25	23	31	23	31	9	192	133	0	1	815	505	0
Precinct 9447	70	47	83	33	94	54	91	130	85	90	59	68	142	52	74	83	97	99	75	95	36	921	383	0	1	2,163	1,657	0
Precinct 9448 - Vote By Mail	34	27	75	27	69	35	71	64	67	70	41	55	105	32	63	53	67	78	54	70	27	742	218	0	0	996	1,184	0
Precinct 9448 - Election Day	16	8	29	17	32	13	32	38	32	34	12	15	44	5	32	21	23	38	28	38	7	198	136	0	0	846	514	0
Precinct 9448	50	35	104	44	101	48	103	102	99	104	53	70	149	37	95	74	90	116	82	108	34	940	354	0	0	1,842	1,698	0
Precinct 9449 - Vote By Mail	33	20	53	15	53	49	65	57	52	68	31	35	99	23	52	48	64	56	37	54	19	719	210	0	1	1,107	983	0
Precinct 9449 - Election Day	18	12	23	7	14	13	20	25	20	22	15	13	34	5	21	22	10	21	9	23	8	162	87	0	0	512	358	3
Precinct 9449	51	32	76	22	67	62	85	82	72	90	46	48	133	28	73	70	74	77	46	77	27	881	297	0	1	1,619	1,341	3
Precinct 9451 - Vote By Mail	26	4	22	15	18	14	27	33	20	21	14	24	44	7	23	35	22	28	27	30	12	353	108	0	0	614	466	0
Precinct 9451 - Election Day	10	3	7	6	6	6	8	16	10	8	8	7	14	6	8	10	8	14	9	18	4	88	45	0	0	264	186	0
Precinct 9451	36	7	29	21	24	20	35	49	30	29	22	31	58	13	31	45	30	42	36	48	16	441	153	0	0	878	652	0
Precinct 9452 - Vote By Mail	38	26	60	18	71	54	62	72	63	72	48	53	106	34	57	64	71	71	50	61	30	647	228	0	0	1,099	1,181	0
Precinct 9452 - Election Day	27	12	22	12	22	21	30	39	25	26	15	15	38	11	24	33	21	33	21	33	12	195	128	0	0	788	492	0
Precinct 9452	65	38	82	30	93	75	92	111	88	98	63	68	144	45	81	97	92	104	71	94	42	842	356	0	0	1,887	1,673	0
Precinct 9453 - Vote By Mail	14	13	28	13	20	25	38	51	28	30	22	20	56	10	19	41	40	29	20	22	10	409	131	0	3	731	549	0
Precinct 9453 - Election Day	9	3	11	5	9	7	12	16	4	12	7	10	23	2	6	10	7	13	6	15	1	115	51	0	0	322	188	0
Precinct 9453	23	16	39	18	29	32	50	67	32	42	29	30	79	12	25	51	47	42	26	37	11	524	182	0	3	1,053	737	0
Precinct 9501 MB - Vote By Mail	15	9	7	7	8	5	14	23	11	8	8	8	18	3	13	16	14	26	14	14	7	158	65	0	0	402	248	0
Precinct 9501 MB - Election Day	2	0	1	1	0	2	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	-8	5	0	0	37	13	0
Precinct 9501 MB	17	9	8	8	8	7	15	23	11	8	8	9	19	3	14	16	15	26	15	14	8	150	70	0	0	439	261	0
Precinct 9502 MB - Vote By Mail	18	16	39	10	39	15	38	26	33	36	16	19	42	8	26	17	26	37	28	32	13	294	110	0	0	566	534	0
Precinct 9502 MB - Election Day	1	0	1	2	0	0	1	0	0	1	0	0	2	2	1	0	0	1	1	1	0	-43	9	0	0	76	14	0
Precinct 9502 MB	19	16	40	12	39	15	39	26	33	37	16	19	44	10	27	17	26	38	29	33	13	251	119	0	0	642	548	0
Precinct 9503/9504 - Vote By Mail	43	36	56	23	42	34	60	65	43	50	39	44	53	20	42	35	56	61	44	51	22	550	204	0	0	1,121	919	0
Precinct 9503/9504 - Election Day	10	10	20	5	16	8	19	21	18	23	14	12	23	4	15	10	14	21	16	22	4	150	98	0	0	675	305	0
Precinct 9503/9504	53	46	76	28	58	42	79	86	61	73	53	56	76	24	57	45	70	82	60	73	26	700	302	0	0	1,796	1,224	0
Precinct 9505 - Vote By Mail	38	33	71	19	56	29	66	64	55	64	34	47	74	22	53	56	45	85	53	75	25	589	235	0	3	1,256	1,064	0
Precinct 9505 - Election Day	25	13	28	9	17	12	29	38	18	24	17	21	27	9	22	21	25	36	17	27	6	176	116	0	0	709	451	10
Precinct 9505	63	46	99	28	73	41	95	102	73	88	51	68	101	31	75	77	70	121	70	102	31	765	351	0	3	1,965	1,515	10
Precinct 9506 - Vote By Mail	32	24	53	21	42	20	60	48	47	50	35	39	54	18	53	27	37	55	40	54	22	547	175	0	1	909	831	0
Precinct 9506 - Election Day	23	16	30	11	26	18	23	27	27	28	15	21	29	10	26	21	19	34	27	35	10	207	144	0	0	964	476	0
Precinct 9506	55	40	83	32	68	38	83	75	74	78	50	60	83	28	79	48	56	89	67	89	32	754	319	0	1	1,873	1,307	0
Precinct 9507 - Vote By Mail	39	28	85	20	67	37	89	65	69	86	52	35	75	25	66	29	47	80	74	90	30	556	248	0	0	1,292	1,188	0
Precinct 9507 - Election Day	23	17	43	11	33	18	43	31	38	39	20	22	43	19	36	22	25	35	37	42	16	160	152	0	0	907	613	0
Precinct 9507	62	45	128	31	100	55	132	96	107	125	72	57	118	44	102	51	72	115	111	132	46	716	400	0	0	2,199	1,801	0
Precinct 9508 - Vote By Mail	45	34	118	17	89	37	94	68	84	88	47	41	82	25	80	30	46	96	91	110	38	632	254	0	0	1,180	1,360	0
