Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1128 - Election Day	11	6	9	12	11	10	9	12	13	14	12	15	21	3	15	14	13	15	10	18	4	145	76	0	0	513	247	0
Precinct 1128	42	27	61	41	66	44	65	73	65	79	50	73	98	32	68	58	61	87	52	77	18	879	253	0	0	1,293	1,237	0
Precinct 1129 - Vote By Mail	34	30	68	27	55	37	69	73	67	80	51	69	104	28	71	60	70	68	51	72	24	790	204	0	2	812	1,208	0
Precinct 1129 - Election Day	21	7	30	18	32	8	28	16	42	33	13	21	38	5	39	25	9	40	34	40	6	246	95	0	0	445	505	0
Precinct 1129	55	37	98	45	87	45	97	89	109	113	64	90	142	33	110	85	79	108	85	112	30	1,036	299	0	2	1,257	1,713	0
Precinct 1131 - Vote By Mail	39	28	40	24	49	30	47	48	53	55	45	59	79	23	46	55	50	61	47	66	37	694	173	0	0	749	981	0
Precinct 1131 - Election Day	8	5	13	10	14	7	14	18	17	13	12	23	18	3	15	18	15	20	9	16	8	166	66	0	0	384	276	0
Precinct 1131	47	33	53	34	63	37	61	66	70	68	57	82	97	26	61	73	65	81	56	82	45	860	239	0	0	1,133	1,257	0
Precinct 1132 - Vote By Mail	42	22	65	31	55	37	70	62	56	72	45	90	97	26	67	63	66	74	49	79	26	838	237	0	0	1,176	1,194	0
Precinct 1132 - Election Day	14	5	17	11	15	7	17	22	13	19	13	25	20	4	12	6	11	14	14	22	2	194	77	0	0	487	283	0
Precinct 1132	56	27	82	42	70	44	87	84	69	91	58	115	117	30	79	69	77	88	63	101	28	1,032	314	0	0	1,663	1,477	0
Precinct 1133 - Vote By Mail	47	23	70	35	63	41	76	68	73	60	45	72	81	23	77	65	51	94	64	77	25	716	219	0	0	960	1,230	0
Precinct 1133 - Election Day	17	11	17	8	15	11	19	21	18	20	10	29	21	1	18	23	22	20	16	18	10	159	80	0	0	455	345	0
Precinct 1133	64	34	87	43	78	52	95	89	91	80	55	101	102	24	95	88	73	114	80	95	35	875	299	0	0	1,415	1,575	0
Precinct 1134 - Vote By Mail	27	27	38	18	52	35	47	57	47	46	29	62	65	31	53	47	49	52	40	55	25	585	181	0	0	908	902	0
Precinct 1134 - Election Day	19	11	30	14	33	13	21	22	24	23	14	26	35	10	35	23	15	25	26	35	7	182	90	0	0	438	462	1
Precinct 1134	46	38	68	32	85	48	68	79	71	69	43	88	100	41	88	70	64	77	66	90	32	767	271	0	0	1,346	1,364	1
Precinct 1135 - Vote By Mail	22	12	46	25	47	20	58	51	43	54	30	51	57	11	43	32	35	45	44	46	9	465	153	0	0	749	781	0
Precinct 1135 - Election Day	5	3	15	6	11	4	13	13	15	12	3	13	17	2	12	10	9	14	15	13	3	91	40	0	0	192	208	0
Precinct 1135	27	15	61	31	58	24	71	64	58	66	33	64	74	13	55	42	44	59	59	59	12	556	193	0	0	941	989	0
Precinct 1136 - Vote By Mail	41	23	61	25	57	25	71	69	80	69	47	67	90	17	70	57	58	87	51	81	16	710	221	0	0	1,048	1,162	0
Precinct 1136 - Election Day	23	9	19	12	22	13	18	21	20	21	15	23	23	6	15	21	19	20	15	29	5	157	91	0	1	531	369	0
Precinct 1136	64	32	80	37	79	38	89	90	100	90	62	90	113	23	85	78	77	107	66	110	21	867	312	0	1	1,579	1,531	0
Precinct 9001 MB - Vote By Mail	17	17	28	11	31	15	33	25	30	29	15	18	37	5	24	16	23	30	21	39	12	314	74	0	3	234	476	0
Precinct 9001 MB - Election Day	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-30	7	0	0	67	3	0
Precinct 9001 MB	17	18	28	11	32	15	33	26	30	29	15	18	37	5	24	16	23	30	21	39	12	284	81	0	3	301	479	0
Precinct 9101 - Vote By Mail	41	25	76	28	70	36	91	70	75	73	48	51	89	25	62	58	76	87	59	79	28	712	254	0	1	1,283	1,247	0
Precinct 9101 - Election Day	17	16	36	9	28	22	29	30	28	29	19	19	43	9	26	19	23	34	28	34	8	201	137	0	0	864	506	0
Precinct 9101	58	41	112	37	98	58	120	100	103	102	67	70	132	34	88	77	99	121	87	113	36	913	391	0	1	2,147	1,753	0
Precinct 9102 - Vote By Mail	40	35	95	27	85	46	86	64	92	98	46	48	117	36	75	54	66	86	71	97	26	788	282	0	1	1,420	1,390	0
Precinct 9102 - Election Day	16	9	35	10	35	12	28	27	35	32	12	16	44	11	27	20	20	35	32	34	7	204	119	0	0	693	497	0
Precinct 9102	56	44	130	37	120	58	114	91	127	130	58	64	161	47	102	74	86	121	103	131	33	992	401	0	1	2,113	1,887	0
Precinct 9103 - Vote By Mail	49	40	74	15	77	46	73	71	60	77	51	41	86	28	61	59	58	79	59	66	32	719	247	0	0	1,268	1,202	0
Precinct 9103 - Election Day	21	10	31	12	28	21	26	36	26	31	23	16	43	11	22	31	31	33	23	25	9	238	145	0	1	922	518	9
Precinct 9103	70	50	105	27	105	67	99	107	86	108	74	57	129	39	83	90	89	112	82	91	41	957	392	0	1	2,190	1,720	9
Precinct 9104 - Vote By Mail	47	32	72	26	76	45	69	60	69	71	52	33	80	25	73	42	57	86	67	79	21	810	235	0	2	1,148	1,182	0
Precinct 9104 - Election Day	14	14	38	12	35	11	31	31	30	33	17	20	43	5	32	27	25	38	30	31	10	220	140	0	0	873	527	0
Precinct 9104	61	46	110	38	111	56	100	91	99	104	69	53	123	30	105	69	82	124	97	110	31	1,030	375	0	2	2,021	1,709	0
Precinct 9105 - Vote By Mail	44	33	73	26	70	43	85	74	76	77	50	51	106	28	67	73	64	85	63	83	20	719	275	0	0	1,459	1,291	0
Precinct 9105 - Election Day	22	16	43	13	39	20	44	43	30	39	20	19	61	9	44	38	34	53	41	41	10	199	189	0	0	1,211	679	0
Precinct 9105	66	49	116	39	109	63	129	117	106	116	70	70	167	37	111	111	98	138	104	124	30	918	464	0	0	2,670	1,970	0
Precinct 9106 - Vote By Mail	50	30	80	17	69	40	84	95	74	69	56	55	106	28	66	64	71	98	65	78	39	748	297	0	0	1,636	1,334	0
Precinct 9106 - Election Day	33	18	45	21	49	17	48	54	45	45	27	33	61	10	35	33	43	54	36	48	7	198	183	0	0	1,067	763	1
Precinct 9106	83	48	125	38	118	57	132	149	119	114	83	88	167	38	101	97	114	152	101	126	46	946	480	0	0	2,703	2,097	1
Precinct 9107 - Vote By Mail	41	25	83	21	66	40	68	63	75	80	32	41	80	26	62	42	45	62	57	75	16	636	204	0	0	940	1,100	0
Precinct 9107 - Election Day	21	18	44	18	43	16	31	28	43	33	21	19	45	13	36	19	25	39	34	49	8	208	141	0	0	807	603	0
Precinct 9107	62	43	127	39	109	56	99	91	118	113	53	60	125	39	98	61	70	101	91	124	24	844	345	0	0	1,747	1,703	0
Precinct 9108 - Vote By Mail	22	17	94	14	78	27	87	48	75	83	32	30	91	19	76	52	54	91	67	85	15	610	235	0	1	1,183	1,157	0
Precinct 9108 - Election Day	21	14	50	16	43	17	48	32	47	49	19	23	55	12	47	29	25	51	50	48	9	200	144	0	0	735	705	0
Precinct 9108	43	31	144	30	121	44	135	80	122	132	51	53	146	31	123	81	79	142	117	133	24	810	379	0	1	1,918	1,862	0
Precinct 9109 - Vote By Mail	41	23	76	21	58	34	64	60	58	66	42	41	80	26	55	47	51	61	47	64	26	672	222	0	0	1,179	1,041	0
Precinct 9109 - Election Day	11	12	41	6	44	12	43	27	41	32	13	13	43	8	33	12	17	38	47	43	6	211	146	0	0	918	542	0
Precinct 9109	52	35	117	27	102	46	107	87	99	98	55	54	123	34	88	59	68	99	94	107	32	883	368	0	0	2,097	1,583	0
Precinct 9111 - Vote By Mail	33	22	64	23	55	41	59	48	61	70	35	31	73	20	63	43	39	76	62	71	27	639	221	0	0	1,194	1,016	0
Precinct 9111 - Election Day	20	9	48	10	42	24	40	35	36	46	15	16	43	12	43	23	27	43	35	43	6	195	144	0	0	824	616	0
Precinct 9111	53	31	112	33	97	65	99	83	97	116	50	47	116	32	106	66	66	119	97	114	33	834	365	0	0	2,018	1,632	0
Precinct 9112 - Vote By Mail	28	17	84	21	81	30	82	58	73	84	28	33	101	16	62	33	44	71	72	83	17	742	253	0	1	1,402	1,118	0
Precinct 9112 - Election Day	23	23	41	20	35	25	40	41	40	45	19	26	51	19	30	19	40	41	28	39	16	219	145	0	0	789	661	0
Precinct 9112	51	40	125	41	116	55	122	99	113	129	47	59	152	35	92	52	84	112	100	122	33	961	398	0	1	2,191	1,779	0
Precinct 9113 - Vote By Mail	34	30	73	24	72	33	69	80	58	82	46	39	82	21	66	48	54	82	64	70	29	797	277	0	2	1,594	1,156	0
Precinct 9113 - Election Day	32	14	56	20	45	18	50	53	47	48	22	25	59	11	41	31	38	54	52	56	16	207	178	0	0	992	788	0
Precinct 9113	66	44	129	44	117	51	119	133	105	130	68	64	141	32	107	79	92	136	116	126	45	1,004	455	0	2	2,586	1,944	0
Precinct 9114 - Vote By Mail	39	35	80	20	72	41	70	55	70	77	44	36	83	29	66	44	52	73	57	86	25	659	202	0	1	856	1,154	0
Precinct 9114 - Election Day	26	12	41	13	41	16	43	28	35	39	15	19	52	6	38	20	25	44	39	47	7	231	147	0	0	864	606	0
Precinct 9114	65	47	121	33	113	57	113	83	105	116	59	55	135	35	104	64	77	117	96	133	32	890	349	0	1	1,720	1,760	0
Precinct 9115 - Vote By Mail	39	30	81	21	75	32	83	44	86	82	38	30	82	16	76	37	48	86	84	89	20	699	229	0	0	1,111	1,179	0
Precinct 9115 - Election Day	18	13	43	8	47	23	36	24	40	45	18	18	48	11	38	23	33	38	33	43	10	182	153	0	0	920	610	0
Precinct 9115	57	43	124	29	122	55	119	68	126	127	56	48	130	27	114	60	81	124	117	132	30	881	382	0	0	2,031	1,789	0
Precinct 9116 - Vote By Mail	44	39	84	18	80	39	81	61	79	73	46	44	94	27	81	43	49	86	76	82	33	782	234	0	2	1,061	1,259	0
Precinct 9116 - Election Day	25	11	42	19	44	18	38	29	40	39	21	14	45	7	34	12	24	45	34	44	9	179	149	0	0	896	594	0
Precinct 9116	69	50	126	37	124	57	119	90	119	112	67	58	139	34	115	55	73	131	110	126	42	961	383	0	2	1,957	1,853	0
Precinct 9117 - Vote By Mail	48	27	67	26	60	45	63	76	50	67	49	43	82	23	46	59	80	73	43	52	34	629	223	0	0	1,117	1,113	0
Precinct 9117 - Election Day	16	15	40	15	40	13	45	40	33	33	23	12	47	8	40	21	31	38	31	39	12	171	148	0	0	887	593	1
Precinct 9117	64	42	107	41	100	58	108	116	83	100	72	55	129	31	86	80	111	111	74	91	46	800	371	0	0	2,004	1,706	1
Precinct 9118 - Vote By Mail	36	28	75	22	63	36	70	58	62	79	36	41	94	20	64	54	50	77	57	77	20	742	225	0	0	1,131	1,119	0
Precinct 9118 - Election Day	21	16	46	14	49	24	41	30	47	38	23	16	51	15	36	28	21	48	45	58	10	242	181	0	1	1,123	677	0
Precinct 9118	57	44	121	36	112	60	111	88	109	117	59	57	145	35	100	82	71	125	102	135	30	984	406	0	1	2,254	1,796	0
Precinct 9119 - Vote By Mail	41	24	80	23	81	32	80	56	68	72	35	37	105	24	73	45	49	91	67	86	19	703	249	0	1	1,292	1,188	0
Precinct 9119 - Election Day	14	9	38	13	31	13	27	29	26	27	16	14	34	4	26	16	23	38	30	38	9	197	129	0	0	815	475	0
Precinct 9119	55	33	118	36	112	45	107	85	94	99	51	51	139	28	99	61	72	129	97	124	28	900	378	0	1	2,107	1,663	0
Precinct 9121 - Vote By Mail	46	40	69	26	70	54	73	65	72	68	57	46	89	33	51	50	59	71	68	77	31	735	229	0	1	1,065	1,215	0
Precinct 9121 - Election Day	29	17	40	18	51	24	43	28	38	43	30	25	54	14	39	28	32	40	33	46	11	218	147	0	0	787	683	0
Precinct 9121	75	57	109	44	121	78	116	93	110	111	87	71	143	47	90	78	91	111	101	123	42	953	376	0	1	1,852	1,898	0
Precinct 9122 - Vote By Mail	32	19	72	15	75	32	71	59	60	70	44	36	93	22	64	71	63	77	59	73	21	775	230	0	0	1,172	1,128	0
Precinct 9122 - Election Day	15	7	34	9	34	14	24	20	32	32	18	15	36	9	27	18	16	37	30	36	8	192	127	0	0	799	471	0
Precinct 9122	47	26	106	24	109	46	95	79	92	102	62	51	129	31	91	89	79	114	89	109	29	967	357	0	0	1,971	1,599	0
Precinct 9123 - Vote By Mail	32	21	59	11	62	34	74	54	63	75	34	38	80	18	50	42	50	65	57	68	17	661	205	0	1	1,036	1,004	0
Precinct 9123 - Election Day	19	18	42	11	40	21	42	31	44	38	26	16	48	13	37	23	34	44	35	36	8	191	154	0	0	914	626	0
Precinct 9123	51	39	101	22	102	55	116	85	107	113	60	54	128	31	87	65	84	109	92	104	25	852	359	0	1	1,950	1,630	0
Precinct 9124 - Vote By Mail	40	34	62	14	56	42	64	56	51	66	37	37	78	31	53	44	60	66	53	67	16	736	217	0	0	1,143	1,027	0
Precinct 9124 - Election Day	19	17	37	11	36	17	33	24	31	33	21	23	49	11	30	20	24	36	32	35	10	167	122	0	0	671	549	0
Precinct 9124	59	51	99	25	92	59	97	80	82	99	58	60	127	42	83	64	84	102	85	102	26	903	339	0	0	1,814	1,576	0
Precinct 9125 - Vote By Mail	34	25	92	17	79	42	77	65	77	83	36	42	98	29	75	72	61	86	71	89	25	681	242	0	0	1,145	1,275	0
Precinct 9125 - Election Day	20	13	38	10	40	16	33	28	38	32	21	22	48	11	25	20	33	39	29	38	14	188	132	0	0	752	568	0
Precinct 9125	54	38	130	27	119	58	110	93	115	115	57	64	146	40	100	92	94	125	100	127	39	869	374	0	0	1,897	1,843	0
Precinct 9126 - Vote By Mail	31	23	77	26	77	56	64	63	65	85	27	44	97	37	60	59	66	75	55	71	26	819	244	0	0	1,256	1,184	0
Precinct 9126 - Election Day	14	11	51	11	44	16	44	35	43	41	18	19	56	11	42	20	20	47	38	47	8	194	162	0	0	984	636	0
Precinct 9126	45	34	128	37	121	72	108	98	108	126	45	63	153	48	102	79	86	122	93	118	34	1,013	406	0	0	2,240	1,820	0
Precinct 9127 - Vote By Mail	47	29	76	26	87	50	74	67	68	73	47	46	102	31	68	68	69	78	70	86	20	748	272	0	1	1,428	1,282	0
Precinct 9127 - Election Day	24	16	47	10	48	18	44	43	45	42	23	18	49	10	44	30	38	41	36	41	15	223	158	0	0	898	682	0
Precinct 9127	71	45	123	36	135	68	118	110	113	115	70	64	151	41	112	98	107	119	106	127	35	971	430	0	1	2,326	1,964	0
Precinct 9128 - Vote By Mail	39	33	76	16	76	34	74	65	62	72	38	38	82	23	60	37	53	78	57	68	29	628	225	0	0	1,140	1,110	0
Precinct 9128 - Election Day	15	8	31	9	34	22	29	31	30	32	13	15	42	13	34	22	24	35	26	29	6	190	141	0	0	908	502	2
Precinct 9128	54	41	107	25	110	56	103	96	92	104	51	53	124	36	94	59	77	113	83	97	35	818	366	0	0	2,048	1,612	2
Precinct 9129 - Vote By Mail	30	17	60	11	60	27	64	40	52	66	24	36	75	21	46	40	43	65	45	50	17	587	183	0	0	941	889	0
Precinct 9129 - Election Day	14	14	38	8	32	13	29	21	28	33	15	13	33	7	24	16	14	32	26	33	6	151	123	0	2	761	449	0
