Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1147 - Election Day	0	0	0	0	0	212	0	0	0	0	0	0
Precinct 1147	0	0	0	0	0	885	4	0	0	4	0	0
Precinct 1148 - Vote By Mail	1	0	0	2	0	804	3	0	0	0	3	0
Precinct 1148 - Election Day	0	0	0	0	0	224	2	0	0	1	1	1
Precinct 1148	1	0	0	2	0	1,028	5	0	0	1	4	1
Precinct 1149 - Vote By Mail	0	1	0	0	1	710	5	0	0	3	2	0
Precinct 1149 - Election Day	1	0	0	0	0	229	1	0	0	0	1	0
Precinct 1149	1	1	0	0	1	939	6	0	0	3	3	0
Precinct 1152 - Vote By Mail	1	0	0	0	0	710	4	0	0	3	1	0
Precinct 1152 - Election Day	0	0	0	0	0	180	1	0	0	1	0	0
Precinct 1152	1	0	0	0	0	890	5	0	0	4	1	0
Precinct 1153 - Vote By Mail	0	0	0	2	0	730	8	0	0	6	2	0
Precinct 1153 - Election Day	0	0	0	1	0	210	3	0	0	2	1	0
Precinct 1153	0	0	0	3	0	940	11	0	0	8	3	0
Precinct 7001 - Vote By Mail	1	0	0	0	0	632	1	0	0	0	1	0
Precinct 7001 - Election Day	0	0	0	0	0	141	1	0	0	0	1	1
Precinct 7001	1	0	0	0	0	773	2	0	0	0	2	1
Precinct 7002 - Vote By Mail	0	1	0	0	2	598	4	0	0	1	3	0
Precinct 7002 - Election Day	0	0	0	0	0	116	1	0	0	1	0	0
Precinct 7002	0	1	0	0	2	714	5	0	0	2	3	0
Precinct 7003 - Vote By Mail	0	0	0	0	0	759	2	0	0	2	0	0
Precinct 7003 - Election Day	1	0	0	0	0	147	4	0	0	2	2	1
Precinct 7003	1	0	0	0	0	906	6	0	0	4	2	1
Precinct 7004 - Vote By Mail	0	0	0	0	0	764	2	0	0	2	0	0
Precinct 7004 - Election Day	0	0	1	0	0	149	1	0	0	0	1	0
Precinct 7004	0	0	1	0	0	913	3	0	0	2	1	0
Precinct 7005 - Vote By Mail	0	0	0	0	0	698	1	0	0	1	0	0
Precinct 7005 - Election Day	0	0	0	0	0	161	0	0	0	0	0	0
Precinct 7005	0	0	0	0	0	859	1	0	0	1	0	0
Precinct 7006 - Vote By Mail	0	0	0	0	0	729	0	0	0	0	0	0
Precinct 7006 - Election Day	1	0	0	0	0	203	1	0	0	0	1	0
Precinct 7006	1	0	0	0	0	932	1	0	0	0	1	0
Precinct 7007 - Vote By Mail	3	0	0	0	0	777	7	0	0	4	3	0
Precinct 7007 - Election Day	0	0	0	0	0	180	0	0	0	0	0	0
Precinct 7007	3	0	0	0	0	957	7	0	0	4	3	0
Precinct 7008 - Vote By Mail	0	0	0	0	0	732	3	0	0	3	0	0
Precinct 7008 - Election Day	0	1	0	0	0	177	2	0	0	1	1	0
Precinct 7008	0	1	0	0	0	909	5	0	0	4	1	0
Precinct 7009 - Vote By Mail	1	0	0	0	0	752	6	0	0	5	1	0
Precinct 7009 - Election Day	0	0	0	0	0	119	1	0	0	1	0	0
Precinct 7009	1	0	0	0	0	871	7	0	0	6	1	0
Precinct 7011 - Vote By Mail	0	0	0	0	0	704	0	0	0	0	0	0
Precinct 7011 - Election Day	0	1	0	0	0	269	2	0	0	1	1	0
Precinct 7011	0	1	0	0	0	973	2	0	0	1	1	0
Precinct 7012 - Vote By Mail	0	0	0	0	0	999	5	0	0	5	0	0
Precinct 7012 - Election Day	0	0	0	0	0	227	0	0	0	0	0	0
Precinct 7012	0	0	0	0	0	1,226	5	0	0	5	0	0
Precinct 7013 - Vote By Mail	1	1	0	0	0	984	4	0	0	2	2	0
Precinct 7013 - Election Day	0	1	1	0	0	155	4	0	0	1	3	1
Precinct 7013	1	2	1	0	0	1,139	8	0	0	3	5	1
Precinct 7014 - Vote By Mail	0	0	0	0	0	610	3	0	0	3	0	0
Precinct 7014 - Election Day	0	0	0	0	0	109	0	0	0	0	0	0
Precinct 7014	0	0	0	0	0	719	3	0	0	3	0	0
Precinct 7015 MB - Vote By Mail	1	0	0	0	0	128	1	0	0	0	1	0
Precinct 7015 MB - Election Day	0	0	0	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	1	0	0	0	0	110	1	0	0	0	1	0
Precinct 7016 - Vote By Mail	0	0	0	1	0	655	5	0	0	4	1	0
Precinct 7016 - Election Day	0	0	0	1	0	277	1	0	0	0	1	0
Precinct 7016	0	0	0	2	0	932	6	0	0	4	2	0
Precinct 7017 - Vote By Mail	0	0	0	0	0	543	0	0	0	0	0	0
Precinct 7017 - Election Day	0	0	0	0	0	238	0	0	0	0	0	0
Precinct 7017	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7018 - Vote By Mail	1	1	1	0	0	847	3	0	0	0	3	0
Precinct 7018 - Election Day	0	0	0	0	0	200	0	0	0	0	0	0
Precinct 7018	1	1	1	0	0	1,047	3	0	0	0	3	0
Precinct 7019 - Vote By Mail	2	0	0	1	0	734	7	0	0	4	3	0
Precinct 7019 - Election Day	0	0	0	0	0	166	0	0	0	0	0	0
Precinct 7019	2	0	0	1	0	900	7	0	0	4	3	0
Precinct 7021 - Vote By Mail	1	1	0	0	1	679	4	0	0	1	3	0
Precinct 7021 - Election Day	1	0	1	0	1	288	3	0	0	0	3	0
Precinct 7021	2	1	1	0	2	967	7	0	0	1	6	0
Precinct 7022 - Vote By Mail	0	0	0	2	0	770	7	0	0	5	2	0
Precinct 7022 - Election Day	0	0	0	0	0	193	1	0	0	0	1	1
Precinct 7022	0	0	0	2	0	963	8	0	0	5	3	1
Precinct 7023 - Vote By Mail	1	0	0	1	1	687	9	0	0	6	3	0
Precinct 7023 - Election Day	0	0	0	0	0	233	0	0	0	0	0	0
Precinct 7023	1	0	0	1	1	920	9	0	0	6	3	0
Precinct 7024 - Vote By Mail	0	0	0	0	0	251	0	0	0	0	0	0
Precinct 7024 - Election Day	0	0	0	0	0	190	0	0	0	0	0	0
Precinct 7024	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7025 - Vote By Mail	0	0	1	0	0	316	2	0	0	1	1	0
Precinct 7025 - Election Day	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7025	0	0	1	0	0	483	2	0	0	1	1	0
Precinct 7026 - Vote By Mail	0	3	0	0	0	819	4	0	0	1	3	0
Precinct 7026 - Election Day	0	1	0	0	0	191	1	0	0	0	1	0
Precinct 7026	0	4	0	0	0	1,010	5	0	0	1	4	0
Precinct 7027 - Vote By Mail	0	0	0	0	1	677	2	0	0	1	1	0
Precinct 7027 - Election Day	0	0	0	1	0	219	1	0	0	0	1	0
Precinct 7027	0	0	0	1	1	896	3	0	0	1	2	0
Precinct 7028 - Vote By Mail	0	1	0	0	0	586	3	0	0	2	1	0
Precinct 7028 - Election Day	1	0	0	0	1	270	2	0	0	0	2	0
Precinct 7028	1	1	0	0	1	856	5	0	0	2	3	0
Precinct 7029 - Vote By Mail	0	1	0	0	0	643	2	0	0	1	1	0
Precinct 7029 - Election Day	0	0	0	0	0	266	0	0	0	0	0	0
Precinct 7029	0	1	0	0	0	909	2	0	0	1	1	0
Precinct 7030 - Vote By Mail	0	1	1	1	0	654	6	0	0	3	3	0
Precinct 7030 - Election Day	0	0	0	0	0	141	2	0	0	2	0	0
Precinct 7030	0	1	1	1	0	795	8	0	0	5	3	0
Precinct 7031 - Vote By Mail	0	1	2	2	0	622	7	0	0	2	5	0
Precinct 7031 - Election Day	0	0	0	0	0	72	0	0	0	0	0	0
Precinct 7031	0	1	2	2	0	694	7	0	0	2	5	0
Precinct 7032 - Vote By Mail	0	0	1	0	0	643	3	0	0	2	1	0
Precinct 7032 - Election Day	0	0	0	0	0	238	0	0	0	0	0	0
Precinct 7032	0	0	1	0	0	881	3	0	0	2	1	0
Precinct 7033 - Vote By Mail	0	0	0	0	0	549	1	0	0	1	0	0
Precinct 7033 - Election Day	1	1	0	0	0	229	2	0	0	0	2	0
Precinct 7033	1	1	0	0	0	778	3	0	0	1	2	0
Precinct 7034 - Vote By Mail	0	0	0	1	0	620	1	0	0	0	1	0
Precinct 7034 - Election Day	0	0	0	0	0	318	0	0	0	0	0	0
Precinct 7034	0	0	0	1	0	938	1	0	0	0	1	0
Precinct 7035 - Vote By Mail	0	0	0	0	0	567	4	0	0	4	0	0
Precinct 7035 - Election Day	0	0	0	0	0	152	1	0	0	0	1	1
Precinct 7035	0	0	0	0	0	719	5	0	0	4	1	1
Precinct 7036 - Vote By Mail	2	1	2	1	1	781	12	0	0	5	7	0
Precinct 7036 - Election Day	0	0	0	1	0	193	1	0	0	0	1	0
Precinct 7036	2	1	2	2	1	974	13	0	0	5	8	0
Precinct 7037 - Vote By Mail	0	0	0	0	0	434	1	0	0	1	0	0
Precinct 7037 - Election Day	0	0	1	0	0	312	2	0	0	0	2	1
Precinct 7037	0	0	1	0	0	746	3	0	0	1	2	1
Precinct 7038 - Vote By Mail	2	0	1	3	0	758	10	0	0	4	6	0
Precinct 7038 - Election Day	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 7038	2	0	1	3	0	961	10	0	0	4	6	0
Precinct 7039 - Vote By Mail	0	0	2	0	0	636	4	0	0	2	2	0
Precinct 7039 - Election Day	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7039	0	0	2	0	0	837	4	0	0	2	2	0
Precinct 7041 MB - Vote By Mail	0	0	0	0	0	70	0	0	0	0	0	0
Precinct 7041 MB - Election Day	0	0	0	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	0	0	0	0	0	66	0	0	0	0	0	0
Precinct 7042 - Vote By Mail	0	2	0	0	0	514	6	0	0	4	2	0
Precinct 7042 - Election Day	0	0	0	0	0	146	1	0	0	0	1	1
Precinct 7042	0	2	0	0	0	660	7	0	0	4	3	1
Precinct 7043 - Vote By Mail	2	0	0	0	0	754	5	0	0	3	2	0
Precinct 7043 - Election Day	0	0	0	0	0	224	1	0	0	1	0	0
Precinct 7043	2	0	0	0	0	978	6	0	0	4	2	0
Precinct 7044 - Vote By Mail	0	0	1	0	0	586	2	0	0	1	1	0
Precinct 7044 - Election Day	0	1	0	0	1	266	3	0	0	1	2	0
Precinct 7044	0	1	1	0	1	852	5	0	0	2	3	0
Precinct 7045 - Vote By Mail	2	0	1	0	0	632	6	0	0	3	3	0
Precinct 7045 - Election Day	1	0	0	1	0	154	2	0	0	0	2	0
Precinct 7045	3	0	1	1	0	786	8	0	0	3	5	0
Precinct 7046 - Vote By Mail	0	0	0	0	0	334	1	0	0	1	0	0
Precinct 7046 - Election Day	0	0	0	0	0	96	0	0	0	0	0	0
Precinct 7046	0	0	0	0	0	430	1	0	0	1	0	0
Precinct 7047 - Vote By Mail	0	0	0	0	0	733	3	0	0	3	0	0
Precinct 7047 - Election Day	0	0	0	0	0	150	1	0	0	1	0	0
Precinct 7047	0	0	0	0	0	883	4	0	0	4	0	0
Precinct 7048 - Vote By Mail	0	0	0	0	0	685	2	0	0	2	0	0
Precinct 7048 - Election Day	0	0	0	0	0	196	0	0	0	0	0	0
Precinct 7048	0	0	0	0	0	881	2	0	0	2	0	0
Precinct 7049 - Vote By Mail	0	0	0	0	0	616	1	0	0	1	0	0
Precinct 7049 - Election Day	1	1	0	0	0	210	3	0	0	0	3	1
Precinct 7049	1	1	0	0	0	826	4	0	0	1	3	1
Precinct 7051 - Vote By Mail	0	1	1	0	0	715	5	0	0	3	2	0
Precinct 7051 - Election Day	0	0	0	0	0	165	1	0	0	1	0	0
Precinct 7051	0	1	1	0	0	880	6	0	0	4	2	0
