Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - Vote By Mail	0	1	0	1	0	724	4	0	0	2	2	0
Precinct 7649 - Election Day	0	0	0	2	0	176	2	0	0	0	2	0
Precinct 7649	0	1	0	3	0	900	6	0	0	2	4	0
Precinct 7651 - Vote By Mail	0	1	0	0	0	834	2	0	0	1	1	0
Precinct 7651 - Election Day	0	0	0	0	1	113	1	0	0	0	1	0
Precinct 7651	0	1	0	0	1	947	3	0	0	1	2	0
Precinct 7652 - Vote By Mail	0	0	0	0	0	535	1	0	0	1	0	0
Precinct 7652 - Election Day	0	1	0	0	0	100	1	0	0	0	1	0
Precinct 7652	0	1	0	0	0	635	2	0	0	1	1	0
Precinct 7653 - Vote By Mail	0	0	0	0	0	750	0	0	0	0	0	0
Precinct 7653 - Election Day	0	0	0	0	0	89	2	0	0	2	0	0
Precinct 7653	0	0	0	0	0	839	2	0	0	2	0	0
Precinct 7654 - Vote By Mail	0	0	0	0	0	413	1	0	0	1	0	0
Precinct 7654 - Election Day	0	0	0	0	1	53	1	0	0	0	1	0
Precinct 7654	0	0	0	0	1	466	2	0	0	1	1	0
Precinct 7655 - Vote By Mail	1	0	0	0	0	583	2	0	0	1	1	0
Precinct 7655 - Election Day	0	0	0	0	0	96	0	0	0	0	0	0
Precinct 7655	1	0	0	0	0	679	2	0	0	1	1	0
Precinct 7656 - Vote By Mail	0	0	0	0	0	603	0	0	0	0	0	0
Precinct 7656 - Election Day	0	0	0	0	0	35	1	0	0	1	0	0
Precinct 7656	0	0	0	0	0	638	1	0	0	1	0	0
Precinct 7657 - Vote By Mail	1	0	0	0	0	561	4	0	0	3	1	0
Precinct 7657 - Election Day	0	0	0	0	0	37	1	0	0	1	0	0
Precinct 7657	1	0	0	0	0	598	5	0	0	4	1	0
Precinct 7701 - Vote By Mail	0	0	0	0	0	869	2	0	0	2	0	0
Precinct 7701 - Election Day	0	0	0	0	0	195	2	0	0	2	0	0
Precinct 7701	0	0	0	0	0	1,064	4	0	0	4	0	0
Precinct 7702 - Vote By Mail	0	0	0	0	0	623	2	0	0	2	0	0
Precinct 7702 - Election Day	0	0	0	0	0	133	0	0	0	0	0	0
Precinct 7702	0	0	0	0	0	756	2	0	0	2	0	0
Precinct 7703 MB - Vote By Mail	0	0	0	0	1	187	1	0	0	0	1	0
Precinct 7703 MB - Election Day	0	0	0	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	0	0	0	0	1	174	1	0	0	0	1	0
Precinct 7704 - Vote By Mail	0	0	0	0	0	798	3	0	0	3	0	0
Precinct 7704 - Election Day	0	0	0	0	0	204	2	0	0	2	0	0
Precinct 7704	0	0	0	0	0	1,002	5	0	0	5	0	0
Precinct 7705 - Vote By Mail	0	1	0	0	0	470	4	0	0	3	1	0
Precinct 7705 - Election Day	0	0	0	0	0	125	2	0	0	2	0	0
Precinct 7705	0	1	0	0	0	595	6	0	0	5	1	0
Precinct 7706 - Vote By Mail	0	1	0	0	0	687	5	0	0	4	1	0
Precinct 7706 - Election Day	0	1	0	0	0	179	1	0	0	0	1	0
Precinct 7706	0	2	0	0	0	866	6	0	0	4	2	0
Precinct 7707 - Vote By Mail	2	0	1	0	0	683	8	0	0	5	3	0
Precinct 7707 - Election Day	0	0	0	0	0	189	0	0	0	0	0	0
Precinct 7707	2	0	1	0	0	872	8	0	0	5	3	0
Precinct 7708 - Vote By Mail	0	0	0	0	0	710	0	0	0	0	0	0
Precinct 7708 - Election Day	0	0	0	0	0	165	3	0	0	3	0	0
Precinct 7708	0	0	0	0	0	875	3	0	0	3	0	0
Precinct 7709 - Vote By Mail	0	0	0	0	0	324	3	0	0	3	0	0
Precinct 7709 - Election Day	0	0	0	0	0	82	0	0	0	0	0	0
Precinct 7709	0	0	0	0	0	406	3	0	0	3	0	0
Precinct 7711 - Vote By Mail	0	0	0	0	0	658	3	0	0	3	0	0
Precinct 7711 - Election Day	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7711	0	0	0	0	0	811	3	0	0	3	0	0
Precinct 7712 - Vote By Mail	0	0	0	0	0	425	4	0	0	4	0	0
Precinct 7712 - Election Day	0	0	0	0	0	107	0	0	0	0	0	0
Precinct 7712	0	0	0	0	0	532	4	0	0	4	0	0
Precinct 7801 - Vote By Mail	1	0	0	0	0	824	4	0	0	3	1	0
Precinct 7801 - Election Day	0	0	0	0	0	150	1	0	0	1	0	0
Precinct 7801	1	0	0	0	0	974	5	0	0	4	1	0
Precinct 7802 - Vote By Mail	0	0	0	0	0	647	2	0	0	2	0	0
Precinct 7802 - Election Day	0	0	0	0	0	151	0	0	0	0	0	0
Precinct 7802	0	0	0	0	0	798	2	0	0	2	0	0
Precinct 7803 - Vote By Mail	1	0	0	0	0	718	2	0	0	1	1	0
Precinct 7803 - Election Day	0	0	0	0	0	113	2	0	0	0	2	2
Precinct 7803	1	0	0	0	0	831	4	0	0	1	3	2
Precinct 7804 - Vote By Mail	2	0	0	0	0	734	5	0	0	3	2	0
Precinct 7804 - Election Day	0	0	0	0	0	151	0	0	0	0	0	0
Precinct 7804	2	0	0	0	0	885	5	0	0	3	2	0
Precinct 7805 - Vote By Mail	0	1	0	0	0	644	3	0	0	2	1	0
Precinct 7805 - Election Day	0	0	0	0	0	156	0	0	0	0	0	0
Precinct 7805	0	1	0	0	0	800	3	0	0	2	1	0
Precinct 7806 - Vote By Mail	0	0	0	0	0	602	1	0	0	1	0	0
Precinct 7806 - Election Day	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7806	0	0	0	0	0	755	1	0	0	1	0	0
Precinct 7807 - Vote By Mail	0	0	0	0	0	642	0	0	0	0	0	0
Precinct 7807 - Election Day	1	2	0	0	0	185	3	0	0	0	3	0
Precinct 7807	1	2	0	0	0	827	3	0	0	0	3	0
Precinct 7808 - Vote By Mail	0	0	0	0	0	525	2	0	0	2	0	0
Precinct 7808 - Election Day	0	0	0	0	0	129	0	0	0	0	0	0
Precinct 7808	0	0	0	0	0	654	2	0	0	2	0	0
Precinct 7809 - Vote By Mail	0	0	0	0	0	624	1	0	0	1	0	0
Precinct 7809 - Election Day	0	0	0	0	0	140	0	0	0	0	0	0
Precinct 7809	0	0	0	0	0	764	1	0	0	1	0	0
Precinct 7811 - Vote By Mail	0	1	0	0	0	582	3	0	0	2	1	0
Precinct 7811 - Election Day	0	0	0	0	0	176	1	0	0	1	0	0
Precinct 7811	0	1	0	0	0	758	4	0	0	3	1	0
Precinct 7812 - Vote By Mail	1	0	0	0	0	680	4	0	0	3	1	0
Precinct 7812 - Election Day	0	1	0	0	0	217	1	0	0	0	1	0
Precinct 7812	1	1	0	0	0	897	5	0	0	3	2	0
Precinct 7813 - Vote By Mail	0	0	0	0	0	843	2	0	0	2	0	0
Precinct 7813 - Election Day	0	0	0	0	0	225	3	0	0	3	0	0
Precinct 7813	0	0	0	0	0	1,068	5	0	0	5	0	0
Precinct 7814 - Vote By Mail	0	0	0	0	0	660	4	0	0	4	0	0
Precinct 7814 - Election Day	0	0	0	0	1	241	2	0	0	1	1	0
Precinct 7814	0	0	0	0	1	901	6	0	0	5	1	0
Precinct 7815 - Vote By Mail	1	0	0	0	0	749	2	0	0	1	1	0
Precinct 7815 - Election Day	0	0	0	0	0	168	0	0	0	0	0	0
Precinct 7815	1	0	0	0	0	917	2	0	0	1	1	0
Precinct 7816 - Vote By Mail	0	0	0	0	0	724	1	0	0	1	0	0
Precinct 7816 - Election Day	0	0	0	0	0	148	1	0	0	1	0	0
Precinct 7816	0	0	0	0	0	872	2	0	0	2	0	0
Precinct 7817 - Vote By Mail	0	0	0	0	0	652	1	0	0	1	0	0
Precinct 7817 - Election Day	1	0	0	0	0	186	1	0	0	0	1	0
Precinct 7817	1	0	0	0	0	838	2	0	0	1	1	0
Precinct 7818 - Vote By Mail	0	2	0	0	0	668	7	0	0	5	2	0
Precinct 7818 - Election Day	0	0	0	0	0	171	1	0	0	1	0	0
Precinct 7818	0	2	0	0	0	839	8	0	0	6	2	0
Precinct 7819 - Vote By Mail	0	1	0	0	0	635	6	0	0	5	1	0
Precinct 7819 - Election Day	0	0	0	0	1	139	2	0	0	0	2	1
Precinct 7819	0	1	0	0	1	774	8	0	0	5	3	1
Precinct 7821 - Vote By Mail	0	0	0	0	1	806	2	0	0	1	1	0
Precinct 7821 - Election Day	0	0	0	0	0	170	2	0	0	2	0	0
Precinct 7821	0	0	0	0	1	976	4	0	0	3	1	0
Precinct 7822 - Vote By Mail	1	0	0	0	0	673	2	0	0	1	1	0
Precinct 7822 - Election Day	0	0	0	0	1	219	2	0	0	1	1	0
Precinct 7822	1	0	0	0	1	892	4	0	0	2	2	0
Precinct 7823 - Vote By Mail	1	0	0	0	0	706	4	0	0	3	1	0
Precinct 7823 - Election Day	0	0	0	0	0	177	0	0	0	0	0	0
Precinct 7823	1	0	0	0	0	883	4	0	0	3	1	0
Precinct 7824 - Vote By Mail	0	0	0	0	1	615	2	0	0	1	1	0
Precinct 7824 - Election Day	0	0	1	0	0	153	1	0	0	0	1	0
Precinct 7824	0	0	1	0	1	768	3	0	0	1	2	0
Precinct 7825 - Vote By Mail	0	0	0	0	0	457	1	0	0	1	0	0
Precinct 7825 - Election Day	0	0	0	0	0	151	0	0	0	0	0	0
Precinct 7825	0	0	0	0	0	608	1	0	0	1	0	0
Precinct 7826 - Vote By Mail	0	0	0	0	0	486	1	0	0	1	0	0
Precinct 7826 - Election Day	0	0	0	0	0	204	1	0	0	1	0	0
Precinct 7826	0	0	0	0	0	690	2	0	0	2	0	0
Precinct 7827 - Vote By Mail	0	1	0	0	0	609	2	0	0	1	1	0
Precinct 7827 - Election Day	0	1	0	0	0	217	3	0	0	1	2	1
Precinct 7827	0	2	0	0	0	826	5	0	0	2	3	1
Precinct 7828 - Vote By Mail	1	0	0	0	0	857	7	0	0	6	1	0
Precinct 7828 - Election Day	0	0	0	0	0	171	0	0	0	0	0	0
Precinct 7828	1	0	0	0	0	1,028	7	0	0	6	1	0
Precinct 7829 - Vote By Mail	0	0	0	0	0	742	2	0	0	2	0	0
Precinct 7829 - Election Day	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 7829	0	0	0	0	0	891	2	0	0	2	0	0
Precinct 7831 - Vote By Mail	0	0	0	0	0	763	2	0	0	2	0	0
Precinct 7831 - Election Day	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7831	0	0	0	0	0	902	2	0	0	2	0	0
Precinct 7832 - Vote By Mail	0	0	0	0	0	663	1	0	0	1	0	0
Precinct 7832 - Election Day	0	0	0	0	0	118	0	0	0	0	0	0
Precinct 7832	0	0	0	0	0	781	1	0	0	1	0	0
Precinct 7833 - Vote By Mail	0	0	0	0	0	587	1	0	0	1	0	0
Precinct 7833 - Election Day	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7833	0	0	0	0	0	733	1	0	0	1	0	0
Precinct 7834 - Vote By Mail	0	0	0	0	0	700	0	0	0	0	0	0
Precinct 7834 - Election Day	1	0	0	0	0	194	1	0	0	0	1	0
Precinct 7834	1	0	0	0	0	894	1	0	0	0	1	0
Precinct 7835 - Vote By Mail	0	0	0	0	0	721	5	0	0	5	0	0
Precinct 7835 - Election Day	1	0	0	0	0	142	1	0	0	0	1	0
Precinct 7835	1	0	0	0	0	863	6	0	0	5	1	0
Precinct 7836 - Vote By Mail	0	0	0	0	0	850	6	0	0	6	0	0
Precinct 7836 - Election Day	0	0	1	0	0	193	1	0	0	0	1	0
Precinct 7836	0	0	1	0	0	1,043	7	0	0	6	1	0
Precinct 7837 - Vote By Mail	0	0	0	0	0	718	2	0	0	2	0	0
Precinct 7837 - Election Day	0	1	0	0	0	205	1	0	0	0	1	0
Precinct 7837	0	1	0	0	0	923	3	0	0	2	1	0
Precinct 7838 - Vote By Mail	0	0	0	0	0	752	2	0	0	2	0	0
Precinct 7838 - Election Day	0	0	0	0	0	143	0	0	0	0	0	0
Precinct 7838	0	0	0	0	0	895	2	0	0	2	0	0
Precinct 7839 - Vote By Mail	0	0	0	0	0	731	4	0	0	4	0	0
Precinct 7839 - Election Day	0	0	0	0	0	130	1	0	0	1	0	0
Precinct 7839	0	0	0	0	0	861	5	0	0	5	0	0
Precinct 7841 - Vote By Mail	1	0	0	0	0	752	3	0	0	2	1	0
Precinct 7841 - Election Day	0	0	0	0	0	198	0	0	0	0	0	0
Precinct 7841	1	0	0	0	0	950	3	0	0	2	1	0
Precinct 7842 - Vote By Mail	1	0	0	0	0	702	7	0	0	6	1	0
Precinct 7842 - Election Day	0	0	0	0	0	177	0	0	0	0	0	0
Precinct 7842	1	0	0	0	0	879	7	0	0	6	1	0
Precinct 7843 - Vote By Mail	0	0	0	0	0	546	2	0	0	2	0	0
Precinct 7843 - Election Day	0	0	0	0	0	183	0	0	0	0	0	0
Precinct 7843	0	0	0	0	0	729	2	0	0	2	0	0
Precinct 7844 - Vote By Mail	0	0	0	0	0	499	0	0	0	0	0	0
Precinct 7844 - Election Day	0	0	0	0	0	152	1	0	0	0	1	1
Precinct 7844	0	0	0	0	0	651	1	0	0	0	1	1
Precinct 7845 - Vote By Mail	0	0	0	0	0	676	3	0	0	3	0	0
Precinct 7845 - Election Day	0	0	0	0	0	204	1	0	0	1	0	0
Precinct 7845	0	0	0	0	0	880	4	0	0	4	0	0
Precinct 7846 - Vote By Mail	0	0	0	0	0	736	2	0	0	2	0	0
Precinct 7846 - Election Day	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7846	0	0	0	0	0	908	2	0	0	2	0	0
Precinct 7847 - Vote By Mail	0	0	0	0	0	698	1	0	0	1	0	0
Precinct 7847 - Election Day	0	0	0	0	1	193	2	0	0	1	1	0
Precinct 7847	0	0	0	0	1	891	3	0	0	2	1	0
Precinct 7848 - Vote By Mail	1	0	0	0	0	665	1	0	0	0	1	0
Precinct 7848 - Election Day	0	0	0	0	0	182	1	0	0	1	0	0
Precinct 7848	1	0	0	0	0	847	2	0	0	1	1	0
Precinct 7849 - Vote By Mail	0	0	0	1	0	729	1	0	0	0	1	0
Precinct 7849 - Election Day	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7849	0	0	0	1	0	901	1	0	0	0	1	0
Precinct 7851 - Vote By Mail	0	0	0	0	0	414	1	0	0	1	0	0
Precinct 7851 - Election Day	0	0	0	0	0	112	2	0	0	1	1	1
Precinct 7851	0	0	0	0	0	526	3	0	0	2	1	1
Precinct 7852 - Vote By Mail	0	0	0	0	0	533	3	0	0	3	0	0
Precinct 7852 - Election Day	0	0	0	0	0	111	1	0	0	0	1	1
Precinct 7852	0	0	0	0	0	644	4	0	0	3	1	1
Precinct 7853 - Vote By Mail	1	0	0	0	0	694	5	0	0	4	1	0
Precinct 7853 - Election Day	0	0	0	0	0	161	2	0	0	1	1	1
Precinct 7853	1	0	0	0	0	855	7	0	0	5	2	1
Precinct 7854 - Vote By Mail	0	0	1	0	0	703	2	0	0	1	1	0
Precinct 7854 - Election Day	0	0	0	0	0	175	1	0	0	1	0	0
Precinct 7854	0	0	1	0	0	878	3	0	0	2	1	0
Precinct 7855 - Vote By Mail	0	0	0	0	1	763	5	0	0	4	1	0
Precinct 7855 - Election Day	0	0	0	0	0	211	1	0	0	0	1	1
Precinct 7855	0	0	0	0	1	974	6	0	0	4	2	1
Precinct 7856 - Vote By Mail	0	0	0	0	0	643	1	0	0	1	0	0
Precinct 7856 - Election Day	0	0	0	0	0	204	1	0	0	1	0	0
Precinct 7856	0	0	0	0	0	847	2	0	0	2	0	0
Precinct 7857 - Vote By Mail	0	0	0	0	0	748	6	0	0	6	0	0
Precinct 7857 - Election Day	0	0	0	0	0	158	0	0	0	0	0	0
Precinct 7857	0	0	0	0	0	906	6	0	0	6	0	0
Precinct 7858 - Vote By Mail	0	0	0	0	0	622	2	0	0	2	0	0
Precinct 7858 - Election Day	0	0	0	0	0	157	1	0	0	0	1	1
Precinct 7858	0	0	0	0	0	779	3	0	0	2	1	1
Precinct 7859 - Vote By Mail	1	0	0	0	0	747	2	0	0	1	1	0
Precinct 7859 - Election Day	0	0	0	0	0	152	0	0	0	0	0	0
Precinct 7859	1	0	0	0	0	899	2	0	0	1	1	0
Precinct 7861 - Vote By Mail	0	0	0	0	0	699	4	0	0	4	0	0
Precinct 7861 - Election Day	0	0	0	0	0	164	1	0	0	1	0	0
Precinct 7861	0	0	0	0	0	863	5	0	0	5	0	0
Precinct 7862 - Vote By Mail	1	0	0	0	0	669	1	0	0	0	1	0
Precinct 7862 - Election Day	0	0	0	0	0	195	1	0	0	1	0	0
Precinct 7862	1	0	0	0	0	864	2	0	0	1	1	0
Precinct 7863 - Vote By Mail	2	1	0	0	0	693	5	0	0	2	3	0
Precinct 7863 - Election Day	1	0	0	1	0	208	2	0	0	0	2	0
Precinct 7863	3	1	0	1	0	901	7	0	0	2	5	0
Precinct 7864 - Vote By Mail	0	1	0	0	0	661	3	0	0	2	1	0
Precinct 7864 - Election Day	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7864	0	1	0	0	0	814	3	0	0	2	1	0
Precinct 7865 - Vote By Mail	0	1	0	0	0	677	4	0	0	3	1	0
Precinct 7865 - Election Day	0	0	0	0	0	163	1	0	0	1	0	0
Precinct 7865	0	1	0	0	0	840	5	0	0	4	1	0
Precinct 7866 - Vote By Mail	0	1	1	0	0	690	3	0	0	1	2	0
Precinct 7866 - Election Day	0	0	0	0	0	158	0	0	0	0	0	0
Precinct 7866	0	1	1	0	0	848	3	0	0	1	2	0
Precinct 7867 - Vote By Mail	1	0	0	0	0	766	4	0	0	3	1	0
Precinct 7867 - Election Day	0	0	0	0	0	212	0	0	0	0	0	0
Precinct 7867	1	0	0	0	0	978	4	0	0	3	1	0
Precinct 7868 - Vote By Mail	2	0	0	0	0	659	5	0	0	3	2	0
Precinct 7868 - Election Day	1	0	0	0	0	217	1	0	0	0	1	0
Precinct 7868	3	0	0	0	0	876	6	0	0	3	3	0
Precinct 7869 - Vote By Mail	0	0	0	0	1	683	1	0	0	0	1	0
Precinct 7869 - Election Day	0	0	1	0	0	178	1	0	0	0	1	0
Precinct 7869	0	0	1	0	1	861	2	0	0	0	2	0
Precinct 7871 - Vote By Mail	0	0	0	0	0	702	3	0	0	3	0	0
Precinct 7871 - Election Day	0	0	0	0	0	200	0	0	0	0	0	0
Precinct 7871	0	0	0	0	0	902	3	0	0	3	0	0
Precinct 7872 - Vote By Mail	0	0	0	0	0	675	2	0	0	2	0	0
Precinct 7872 - Election Day	0	0	0	1	0	199	2	0	0	0	2	1
Precinct 7872	0	0	0	1	0	874	4	0	0	2	2	1
Precinct 7873 - Vote By Mail	0	0	0	0	0	689	1	0	0	1	0	0
Precinct 7873 - Election Day	0	0	1	0	0	202	3	0	0	0	3	2
Precinct 7873	0	0	1	0	0	891	4	0	0	1	3	2
Precinct 7874 - Vote By Mail	0	1	0	0	1	370	2	0	0	0	2	0
Precinct 7874 - Election Day	0	0	0	0	1	119	3	0	0	2	1	0
Precinct 7874	0	1	0	0	2	489	5	0	0	2	3	0
Precinct 7875 - Vote By Mail	0	0	0	0	0	500	3	0	0	3	0	0
Precinct 7875 - Election Day	0	1	0	0	0	147	1	0	0	0	1	0
Precinct 7875	0	1	0	0	0	647	4	0	0	3	1	0
Precinct 7876 - Vote By Mail	1	1	0	0	0	462	3	0	0	1	2	0
Precinct 7876 - Election Day	0	0	0	0	0	106	1	0	0	1	0	0
Precinct 7876	1	1	0	0	0	568	4	0	0	2	2	0
Precinct 7901 - Vote By Mail	0	0	0	0	0	399	0	0	0	0	0	0
Precinct 7901 - Election Day	0	0	0	0	0	150	0	0	0	0	0	0
Precinct 7901	0	0	0	0	0	549	0	0	0	0	0	0
Precinct 7902 - Vote By Mail	0	0	0	0	0	680	6	0	0	6	0	0
Precinct 7902 - Election Day	0	0	0	0	0	232	1	0	0	0	1	1
Precinct 7902	0	0	0	0	0	912	7	0	0	6	1	1
Precinct 7903 - Vote By Mail	0	0	0	0	0	623	2	0	0	2	0	0
Precinct 7903 - Election Day	1	0	0	1	0	229	3	0	0	0	3	1
Precinct 7903	1	0	0	1	0	852	5	0	0	2	3	1
Precinct 7904 - Vote By Mail	0	1	0	0	0	680	2	0	0	1	1	0
Precinct 7904 - Election Day	0	0	0	0	0	157	1	0	0	1	0	0
Precinct 7904	0	1	0	0	0	837	3	0	0	2	1	0
Precinct 7905 - Vote By Mail	1	0	0	0	0	684	4	0	0	3	1	0
Precinct 7905 - Election Day	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7905	1	0	0	0	0	875	4	0	0	3	1	0
Precinct 7906 - Vote By Mail	0	0	0	0	0	599	0	0	0	0	0	0
Precinct 7906 - Election Day	0	0	0	1	0	187	1	0	0	0	1	0
Precinct 7906	0	0	0	1	0	786	1	0	0	0	1	0
Precinct 7907 - Vote By Mail	0	0	0	0	0	704	0	0	0	0	0	0
Precinct 7907 - Election Day	0	0	0	0	0	238	1	0	0	0	1	1
Precinct 7907	0	0	0	0	0	942	1	0	0	0	1	1
Precinct 7908 - Vote By Mail	0	0	0	0	0	752	3	0	0	3	0	0
Precinct 7908 - Election Day	0	0	0	0	1	240	1	0	0	0	1	0
Precinct 7908	0	0	0	0	1	992	4	0	0	3	1	0
Precinct 7909 - Vote By Mail	0	0	0	0	0	558	1	0	0	1	0	0
Precinct 7909 - Election Day	2	0	0	0	0	185	2	0	0	0	2	0
Precinct 7909	2	0	0	0	0	743	3	0	0	1	2	0
Precinct 7911 - Vote By Mail	0	0	1	0	0	666	4	0	0	3	1	0
Precinct 7911 - Election Day	0	0	0	1	0	205	2	0	0	0	2	1
Precinct 7911	0	0	1	1	0	871	6	0	0	3	3	1
Precinct 7912 - Vote By Mail	0	0	0	0	0	800	1	0	0	1	0	0
Precinct 7912 - Election Day	0	1	0	1	0	259	2	0	0	0	2	0
Precinct 7912	0	1	0	1	0	1,059	3	0	0	1	2	0
Precinct 7913 - Vote By Mail	1	0	0	0	0	661	1	0	0	0	1	0
Precinct 7913 - Election Day	0	0	0	0	0	262	0	0	0	0	0	0
Precinct 7913	1	0	0	0	0	923	1	0	0	0	1	0
Precinct 7914 - Vote By Mail	1	0	0	0	0	716	2	0	0	1	1	0
Precinct 7914 - Election Day	0	0	0	0	0	186	0	0	0	0	0	0
Precinct 7914	1	0	0	0	0	902	2	0	0	1	1	0
Precinct 7915 - Vote By Mail	0	0	0	0	0	605	2	0	0	2	0	0
Precinct 7915 - Election Day	0	0	0	0	0	238	2	0	0	2	0	0
Precinct 7915	0	0	0	0	0	843	4	0	0	4	0	0
Precinct 7916 - Vote By Mail	1	0	1	0	0	639	2	0	0	0	2	0
Precinct 7916 - Election Day	1	0	0	0	0	219	3	0	0	2	1	0
Precinct 7916	2	0	1	0	0	858	5	0	0	2	3	0
Precinct 7917 - Vote By Mail	0	0	0	0	0	716	1	0	0	1	0	0
Precinct 7917 - Election Day	0	0	0	0	1	271	2	0	0	1	1	0
Precinct 7917	0	0	0	0	1	987	3	0	0	2	1	0
Precinct 7918 - Vote By Mail	0	1	0	0	0	597	2	0	0	1	1	0
Precinct 7918 - Election Day	1	0	0	0	0	227	3	0	0	0	3	2
Precinct 7918	1	1	0	0	0	824	5	0	0	1	4	2
Precinct 7919 - Vote By Mail	0	0	0	0	0	608	2	0	0	2	0	0
Precinct 7919 - Election Day	1	0	0	0	0	258	2	0	0	0	2	1
Precinct 7919	1	0	0	0	0	866	4	0	0	2	2	1
Precinct 7921 - Vote By Mail	0	0	0	0	0	682	2	0	0	2	0	0
Precinct 7921 - Election Day	0	0	0	0	1	229	1	0	0	0	1	0
Precinct 7921	0	0	0	0	1	911	3	0	0	2	1	0
Precinct 7922 - Vote By Mail	0	0	0	0	0	648	1	0	0	1	0	0
Precinct 7922 - Election Day	0	0	0	0	0	210	3	0	0	2	1	1
Precinct 7922	0	0	0	0	0	858	4	0	0	3	1	1
Precinct 7923 - Vote By Mail	0	0	0	0	0	666	3	0	0	3	0	0
Precinct 7923 - Election Day	0	0	0	0	1	214	1	0	0	0	1	0
Precinct 7923	0	0	0	0	1	880	4	0	0	3	1	0
Precinct 7924 - Vote By Mail	0	1	0	0	0	649	1	0	0	0	1	0
Precinct 7924 - Election Day	0	1	0	0	0	202	1	0	0	0	1	0
Precinct 7924	0	2	0	0	0	851	2	0	0	0	2	0
Precinct 7925 - Vote By Mail	0	0	0	0	0	434	0	0	0	0	0	0
Precinct 7925 - Election Day	0	0	0	0	0	110	1	0	0	0	1	1
Precinct 7925	0	0	0	0	0	544	1	0	0	0	1	1
Precinct 7926 - Vote By Mail	0	0	0	0	0	610	1	0	0	1	0	0
Precinct 7926 - Election Day	1	0	0	0	0	178	1	0	0	0	1	0
Precinct 7926	1	0	0	0	0	788	2	0	0	1	1	0
Precinct 7927 - Vote By Mail	0	0	0	0	0	580	1	0	0	1	0	0
Precinct 7927 - Election Day	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7927	0	0	0	0	0	742	1	0	0	1	0	0
Precinct 7928 - Vote By Mail	0	0	0	0	0	700	1	0	0	1	0	0
Precinct 7928 - Election Day	0	0	0	0	0	217	1	0	0	1	0	0
Precinct 7928	0	0	0	0	0	917	2	0	0	2	0	0
Precinct 7929 - Vote By Mail	0	1	1	0	0	678	5	0	0	3	2	0
Precinct 7929 - Election Day	0	0	0	1	0	169	3	0	0	2	1	0
Precinct 7929	0	1	1	1	0	847	8	0	0	5	3	0
Precinct 7931 - Vote By Mail	0	0	0	0	0	610	2	0	0	2	0	0
Precinct 7931 - Election Day	0	0	0	0	0	141	1	0	0	1	0	0
Precinct 7931	0	0	0	0	0	751	3	0	0	3	0	0
Precinct 7932 - Vote By Mail	0	0	0	0	0	443	3	0	0	3	0	0
Precinct 7932 - Election Day	0	0	0	0	0	118	0	0	0	0	0	0
Precinct 7932	0	0	0	0	0	561	3	0	0	3	0	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	0	9	0	0	0	0	0	0
Precinct 7933 MB - Election Day	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	0	0	0	0	0	8	0	0	0	0	0	0
Precinct 7934 - Vote By Mail	1	0	0	0	0	702	2	0	0	1	1	0
Precinct 7934 - Election Day	0	0	0	1	0	182	1	0	0	0	1	0
Precinct 7934	1	0	0	1	0	884	3	0	0	1	2	0
Precinct 7935 - Vote By Mail	0	0	1	0	0	716	4	0	0	3	1	0
Precinct 7935 - Election Day	0	0	1	0	0	227	1	0	0	0	1	0
Precinct 7935	0	0	2	0	0	943	5	0	0	3	2	0
Precinct 7936 - Vote By Mail	0	0	0	1	0	620	3	0	0	2	1	0
Precinct 7936 - Election Day	0	0	0	0	0	236	0	0	0	0	0	0
Precinct 7936	0	0	0	1	0	856	3	0	0	2	1	0
Precinct 7937 - Vote By Mail	1	1	0	0	0	698	5	0	0	3	2	0
Precinct 7937 - Election Day	1	0	0	1	0	202	3	0	0	1	2	0
Precinct 7937	2	1	0	1	0	900	8	0	0	4	4	0
Precinct 7938 - Vote By Mail	0	1	0	0	0	536	1	0	0	0	1	0
Precinct 7938 - Election Day	0	1	0	0	0	215	3	0	0	1	2	1
Precinct 7938	0	2	0	0	0	751	4	0	0	1	3	1
Precinct 7939 - Vote By Mail	0	0	0	0	0	481	0	0	0	0	0	0
Precinct 7939 - Election Day	0	0	0	0	0	205	1	0	0	1	0	0
Precinct 7939	0	0	0	0	0	686	1	0	0	1	0	0
