Subtotal Area	DAVID ROLDE	HOWIE HAWKINS	DARIO HUNTER	DENNIS LAMBERT	SEDINAM MOYOWASIFZA-CURRY	KENT MESPLAY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7637 - Vote By Mail	0	0	0	0	0	0	747	0	0	0	0	0	0
Precinct 7637 - Election Day	0	0	0	0	0	0	121	0	0	0	0	0	0
Precinct 7637	0	0	0	0	0	0	868	0	0	0	0	0	0
Precinct 7638 - Vote By Mail	0	0	0	0	0	0	806	0	0	0	0	0	0
Precinct 7638 - Election Day	0	0	0	0	0	0	83	0	0	0	0	0	0
Precinct 7638	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 7639 - Vote By Mail	0	0	0	0	0	0	889	1	0	0	1	0	0
Precinct 7639 - Election Day	0	0	0	0	0	0	133	0	0	0	0	0	0
Precinct 7639	0	0	0	0	0	0	1,022	1	0	0	1	0	0
Precinct 7641 - Vote By Mail	0	0	0	0	0	0	817	0	0	0	0	0	0
Precinct 7641 - Election Day	0	0	0	0	0	0	134	0	0	0	0	0	0
Precinct 7641	0	0	0	0	0	0	951	0	0	0	0	0	0
Precinct 7642 - Vote By Mail	0	0	0	0	0	0	647	0	0	0	0	0	0
Precinct 7642 - Election Day	0	0	0	0	0	0	118	0	0	0	0	0	0
Precinct 7642	0	0	0	0	0	0	765	0	0	0	0	0	0
Precinct 7643 - Vote By Mail	0	0	0	0	0	0	810	0	0	0	0	0	0
Precinct 7643 - Election Day	0	0	0	0	2	0	131	2	0	0	0	2	0
Precinct 7643	0	0	0	0	2	0	941	2	0	0	0	2	0
Precinct 7644 - Vote By Mail	0	0	0	0	0	0	1,014	1	0	0	1	0	0
Precinct 7644 - Election Day	0	0	0	0	0	0	162	0	0	0	0	0	0
Precinct 7644	0	0	0	0	0	0	1,176	1	0	0	1	0	0
Precinct 7645 - Vote By Mail	0	0	0	0	0	0	595	0	0	0	0	0	0
Precinct 7645 - Election Day	0	0	0	0	0	0	61	0	0	0	0	0	0
Precinct 7645	0	0	0	0	0	0	656	0	0	0	0	0	0
Precinct 7646 - Vote By Mail	0	0	0	0	0	0	1,032	0	0	0	0	0	0
Precinct 7646 - Election Day	0	0	0	0	0	0	121	0	0	0	0	0	0
Precinct 7646	0	0	0	0	0	0	1,153	0	0	0	0	0	0
Precinct 7647 - Vote By Mail	0	0	0	0	0	0	724	0	0	0	0	0	0
Precinct 7647 - Election Day	0	0	0	0	0	0	263	0	0	0	0	0	0
Precinct 7647	0	0	0	0	0	0	987	0	0	0	0	0	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7649 - Vote By Mail	0	0	0	0	0	0	723	3	0	0	3	0	0
Precinct 7649 - Election Day	0	0	0	0	0	0	177	0	0	0	0	0	0
Precinct 7649	0	0	0	0	0	0	900	3	0	0	3	0	0
Precinct 7651 - Vote By Mail	0	0	0	0	0	0	834	0	0	0	0	0	0
Precinct 7651 - Election Day	0	0	0	0	0	0	113	0	0	0	0	0	0
Precinct 7651	0	0	0	0	0	0	947	0	0	0	0	0	0
Precinct 7652 - Vote By Mail	0	0	1	0	0	0	535	2	0	0	1	1	0
Precinct 7652 - Election Day	0	0	0	0	0	0	100	0	0	0	0	0	0
Precinct 7652	0	0	1	0	0	0	635	2	0	0	1	1	0
Precinct 7653 - Vote By Mail	0	0	0	0	0	0	750	0	0	0	0	0	0
Precinct 7653 - Election Day	0	0	0	0	0	0	89	0	0	0	0	0	0
Precinct 7653	0	0	0	0	0	0	839	0	0	0	0	0	0
Precinct 7654 - Vote By Mail	0	0	0	0	0	0	413	1	0	0	1	0	0
Precinct 7654 - Election Day	0	0	0	0	0	0	53	1	0	0	1	0	0
Precinct 7654	0	0	0	0	0	0	466	2	0	0	2	0	0
Precinct 7655 - Vote By Mail	0	0	0	0	0	0	583	0	0	0	0	0	0
Precinct 7655 - Election Day	0	0	0	0	0	0	96	0	0	0	0	0	0
Precinct 7655	0	0	0	0	0	0	679	0	0	0	0	0	0
Precinct 7656 - Vote By Mail	0	0	0	0	0	0	603	0	0	0	0	0	0
Precinct 7656 - Election Day	0	0	0	0	0	0	35	0	0	0	0	0	0
Precinct 7656	0	0	0	0	0	0	638	0	0	0	0	0	0
Precinct 7657 - Vote By Mail	0	0	0	0	0	0	561	0	0	0	0	0	0
Precinct 7657 - Election Day	0	0	0	0	0	0	37	0	0	0	0	0	0
Precinct 7657	0	0	0	0	0	0	598	0	0	0	0	0	0
Precinct 7701 - Vote By Mail	0	0	0	0	0	0	868	4	0	0	4	0	0
Precinct 7701 - Election Day	0	0	0	0	0	0	196	0	0	0	0	0	0
Precinct 7701	0	0	0	0	0	0	1,064	4	0	0	4	0	0
Precinct 7702 - Vote By Mail	0	0	0	0	1	0	623	1	0	0	0	1	0
Precinct 7702 - Election Day	0	0	0	1	0	0	133	1	0	0	0	1	0
Precinct 7702	0	0	0	1	1	0	756	2	0	0	0	2	0
Precinct 7703 MB - Vote By Mail	0	0	0	0	0	0	187	1	0	0	1	0	0
Precinct 7703 MB - Election Day	0	0	0	0	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	0	0	0	0	0	0	174	1	0	0	1	0	0
Precinct 7704 - Vote By Mail	0	0	0	0	0	0	798	0	0	0	0	0	0
Precinct 7704 - Election Day	0	0	0	1	0	0	204	1	0	0	0	1	0
Precinct 7704	0	0	0	1	0	0	1,002	1	0	0	0	1	0
Precinct 7705 - Vote By Mail	0	0	1	0	0	0	470	1	0	0	0	1	0
Precinct 7705 - Election Day	0	0	0	0	0	0	125	0	0	0	0	0	0
Precinct 7705	0	0	1	0	0	0	595	1	0	0	0	1	0
Precinct 7706 - Vote By Mail	0	0	0	0	0	0	687	0	0	0	0	0	0
Precinct 7706 - Election Day	0	0	0	0	0	0	179	0	0	0	0	0	0
Precinct 7706	0	0	0	0	0	0	866	0	0	0	0	0	0
Precinct 7707 - Vote By Mail	0	0	0	0	0	0	683	2	0	0	2	0	0
Precinct 7707 - Election Day	0	0	0	0	0	0	189	0	0	0	0	0	0
Precinct 7707	0	0	0	0	0	0	872	2	0	0	2	0	0
Precinct 7708 - Vote By Mail	0	0	0	0	0	0	710	1	0	0	1	0	0
Precinct 7708 - Election Day	0	0	0	0	0	0	165	0	0	0	0	0	0
Precinct 7708	0	0	0	0	0	0	875	1	0	0	1	0	0
Precinct 7709 - Vote By Mail	0	0	1	0	0	0	324	1	0	0	0	1	0
Precinct 7709 - Election Day	0	0	0	0	0	0	82	0	0	0	0	0	0
Precinct 7709	0	0	1	0	0	0	406	1	0	0	0	1	0
Precinct 7711 - Vote By Mail	0	0	0	0	1	0	658	2	0	0	1	1	0
Precinct 7711 - Election Day	0	2	0	0	0	0	153	3	0	0	0	3	1
Precinct 7711	0	2	0	0	1	0	811	5	0	0	1	4	1
Precinct 7712 - Vote By Mail	0	1	1	0	0	0	425	4	0	0	2	2	0
Precinct 7712 - Election Day	0	1	0	0	0	0	107	1	0	0	0	1	0
Precinct 7712	0	2	1	0	0	0	532	5	0	0	2	3	0
Precinct 7801 - Vote By Mail	0	2	0	0	0	0	823	2	0	0	0	2	0
Precinct 7801 - Election Day	0	0	0	0	0	0	151	0	0	0	0	0	0
Precinct 7801	0	2	0	0	0	0	974	2	0	0	0	2	0
Precinct 7802 - Vote By Mail	0	0	0	0	0	0	646	2	0	0	2	0	0
Precinct 7802 - Election Day	0	0	0	0	0	0	152	0	0	0	0	0	0
Precinct 7802	0	0	0	0	0	0	798	2	0	0	2	0	0
Precinct 7803 - Vote By Mail	0	0	0	0	0	0	718	1	0	0	1	0	0
Precinct 7803 - Election Day	0	0	0	0	0	0	113	0	0	0	0	0	0
Precinct 7803	0	0	0	0	0	0	831	1	0	0	1	0	0
Precinct 7804 - Vote By Mail	0	0	0	0	0	0	734	4	0	0	4	0	0
Precinct 7804 - Election Day	0	0	0	0	1	0	151	3	0	0	1	2	1
Precinct 7804	0	0	0	0	1	0	885	7	0	0	5	2	1
Precinct 7805 - Vote By Mail	0	0	0	0	0	0	644	1	0	0	1	0	0
Precinct 7805 - Election Day	0	1	0	0	1	0	156	2	0	0	0	2	0
Precinct 7805	0	1	0	0	1	0	800	3	0	0	1	2	0
Precinct 7806 - Vote By Mail	0	2	1	0	0	0	602	5	0	0	2	3	0
Precinct 7806 - Election Day	0	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7806	0	2	1	0	0	0	755	5	0	0	2	3	0
Precinct 7807 - Vote By Mail	0	0	0	0	0	0	642	1	0	0	1	0	0
Precinct 7807 - Election Day	0	0	0	0	0	0	185	0	0	0	0	0	0
Precinct 7807	0	0	0	0	0	0	827	1	0	0	1	0	0
Precinct 7808 - Vote By Mail	0	0	0	0	0	0	525	0	0	0	0	0	0
Precinct 7808 - Election Day	0	0	1	0	0	0	129	1	0	0	0	1	0
Precinct 7808	0	0	1	0	0	0	654	1	0	0	0	1	0
Precinct 7809 - Vote By Mail	0	0	0	0	0	0	624	0	0	0	0	0	0
Precinct 7809 - Election Day	0	0	0	0	0	0	140	0	0	0	0	0	0
Precinct 7809	0	0	0	0	0	0	764	0	0	0	0	0	0
Precinct 7811 - Vote By Mail	0	0	0	0	0	0	582	0	0	0	0	0	0
Precinct 7811 - Election Day	0	0	0	1	0	0	176	2	0	0	0	2	1
Precinct 7811	0	0	0	1	0	0	758	2	0	0	0	2	1
Precinct 7812 - Vote By Mail	0	0	0	0	0	0	680	0	0	0	0	0	0
Precinct 7812 - Election Day	0	0	0	0	0	0	217	1	0	0	1	0	0
Precinct 7812	0	0	0	0	0	0	897	1	0	0	1	0	0
Precinct 7813 - Vote By Mail	0	0	0	0	1	0	843	1	0	0	0	1	0
Precinct 7813 - Election Day	0	0	0	0	0	0	225	0	0	0	0	0	0
Precinct 7813	0	0	0	0	1	0	1,068	1	0	0	0	1	0
Precinct 7814 - Vote By Mail	0	0	1	0	0	0	660	2	0	0	1	1	0
Precinct 7814 - Election Day	0	0	0	0	0	0	241	0	0	0	0	0	0
Precinct 7814	0	0	1	0	0	0	901	2	0	0	1	1	0
Precinct 7815 - Vote By Mail	0	1	1	0	1	0	749	4	0	0	1	3	0
Precinct 7815 - Election Day	0	0	0	0	0	0	168	0	0	0	0	0	0
Precinct 7815	0	1	1	0	1	0	917	4	0	0	1	3	0
Precinct 7816 - Vote By Mail	0	0	1	0	0	0	724	1	0	0	0	1	0
Precinct 7816 - Election Day	0	0	0	0	0	0	148	0	0	0	0	0	0
Precinct 7816	0	0	1	0	0	0	872	1	0	0	0	1	0
Precinct 7817 - Vote By Mail	0	1	0	1	0	0	652	3	0	0	1	2	0
Precinct 7817 - Election Day	0	0	0	0	0	0	186	1	0	0	1	0	0
Precinct 7817	0	1	0	1	0	0	838	4	0	0	2	2	0
Precinct 7818 - Vote By Mail	0	1	0	0	2	0	668	3	0	0	0	3	0
Precinct 7818 - Election Day	0	0	0	1	0	0	171	1	0	0	0	1	0
Precinct 7818	0	1	0	1	2	0	839	4	0	0	0	4	0
Precinct 7819 - Vote By Mail	0	0	0	0	0	0	635	0	0	0	0	0	0
Precinct 7819 - Election Day	0	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7819	0	0	0	0	0	0	774	0	0	0	0	0	0
Precinct 7821 - Vote By Mail	0	0	0	0	1	0	806	1	0	0	0	1	0
Precinct 7821 - Election Day	0	0	0	0	0	0	170	1	0	0	1	0	0
Precinct 7821	0	0	0	0	1	0	976	2	0	0	1	1	0
Precinct 7822 - Vote By Mail	0	0	0	0	0	0	673	1	0	0	1	0	0
Precinct 7822 - Election Day	0	1	1	0	0	0	219	2	0	0	0	2	0
Precinct 7822	0	1	1	0	0	0	892	3	0	0	1	2	0
Precinct 7823 - Vote By Mail	1	1	0	0	0	0	706	3	0	0	1	2	0
Precinct 7823 - Election Day	0	0	0	0	0	0	177	0	0	0	0	0	0
Precinct 7823	1	1	0	0	0	0	883	3	0	0	1	2	0
Precinct 7824 - Vote By Mail	0	0	0	0	0	0	615	0	0	0	0	0	0
Precinct 7824 - Election Day	0	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7824	0	0	0	0	0	0	768	0	0	0	0	0	0
Precinct 7825 - Vote By Mail	0	0	0	1	0	0	457	1	0	0	0	1	0
Precinct 7825 - Election Day	0	0	0	0	1	0	151	1	0	0	0	1	0
Precinct 7825	0	0	0	1	1	0	608	2	0	0	0	2	0
Precinct 7826 - Vote By Mail	0	0	1	0	0	0	486	2	0	0	1	1	0
Precinct 7826 - Election Day	0	0	0	0	1	0	204	1	0	0	0	1	0
Precinct 7826	0	0	1	0	1	0	690	3	0	0	1	2	0
Precinct 7827 - Vote By Mail	0	1	0	0	0	0	607	2	0	0	1	1	0
Precinct 7827 - Election Day	0	1	0	0	1	0	219	3	0	0	0	3	1
Precinct 7827	0	2	0	0	1	0	826	5	0	0	1	4	1
Precinct 7828 - Vote By Mail	0	0	0	0	0	0	857	0	0	0	0	0	0
Precinct 7828 - Election Day	0	0	0	0	0	0	171	0	0	0	0	0	0
Precinct 7828	0	0	0	0	0	0	1,028	0	0	0	0	0	0
Precinct 7829 - Vote By Mail	0	1	0	0	1	0	742	2	0	0	0	2	0
Precinct 7829 - Election Day	0	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 7829	0	1	0	0	1	0	891	2	0	0	0	2	0
Precinct 7831 - Vote By Mail	0	0	1	0	0	0	763	2	0	0	1	1	0
Precinct 7831 - Election Day	0	0	0	1	0	0	139	1	0	0	0	1	0
Precinct 7831	0	0	1	1	0	0	902	3	0	0	1	2	0
Precinct 7832 - Vote By Mail	0	0	1	0	1	0	663	8	0	0	6	2	0
Precinct 7832 - Election Day	0	0	1	1	0	0	118	3	0	0	1	2	0
Precinct 7832	0	0	2	1	1	0	781	11	0	0	7	4	0
Precinct 7833 - Vote By Mail	0	0	0	0	0	0	587	0	0	0	0	0	0
Precinct 7833 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7833	0	0	0	0	0	0	733	0	0	0	0	0	0
Precinct 7834 - Vote By Mail	0	0	0	0	2	0	700	3	0	0	1	2	0
Precinct 7834 - Election Day	0	0	0	0	2	0	194	2	0	0	0	2	0
Precinct 7834	0	0	0	0	4	0	894	5	0	0	1	4	0
Precinct 7835 - Vote By Mail	0	1	0	0	0	0	721	4	0	0	3	1	0
Precinct 7835 - Election Day	0	0	0	0	0	0	142	0	0	0	0	0	0
Precinct 7835	0	1	0	0	0	0	863	4	0	0	3	1	0
Precinct 7836 - Vote By Mail	0	1	0	0	0	0	850	1	0	0	0	1	0
Precinct 7836 - Election Day	0	0	0	0	1	0	193	1	0	0	0	1	0
Precinct 7836	0	1	0	0	1	0	1,043	2	0	0	0	2	0
Precinct 7837 - Vote By Mail	0	0	0	1	0	0	718	4	0	0	3	1	0
Precinct 7837 - Election Day	0	0	1	0	0	0	205	1	0	0	0	1	0
Precinct 7837	0	0	1	1	0	0	923	5	0	0	3	2	0
Precinct 7838 - Vote By Mail	0	1	0	1	1	0	752	4	0	0	1	3	0
Precinct 7838 - Election Day	0	0	1	0	0	0	143	1	0	0	0	1	0
Precinct 7838	0	1	1	1	1	0	895	5	0	0	1	4	0
Precinct 7839 - Vote By Mail	0	0	1	0	0	0	731	1	0	0	0	1	0
Precinct 7839 - Election Day	0	0	0	0	0	0	130	0	0	0	0	0	0
Precinct 7839	0	0	1	0	0	0	861	1	0	0	0	1	0
Precinct 7841 - Vote By Mail	0	1	0	0	0	0	752	1	0	0	0	1	0
Precinct 7841 - Election Day	0	0	1	0	0	0	198	1	0	0	0	1	0
Precinct 7841	0	1	1	0	0	0	950	2	0	0	0	2	0
Precinct 7842 - Vote By Mail	0	0	0	0	0	0	702	0	0	0	0	0	0
Precinct 7842 - Election Day	0	0	0	0	1	0	177	2	0	0	1	1	0
Precinct 7842	0	0	0	0	1	0	879	2	0	0	1	1	0
Precinct 7843 - Vote By Mail	0	0	0	0	0	0	546	0	0	0	0	0	0
Precinct 7843 - Election Day	0	0	0	0	1	0	183	1	0	0	0	1	0
Precinct 7843	0	0	0	0	1	0	729	1	0	0	0	1	0
Precinct 7844 - Vote By Mail	0	0	0	0	0	0	499	0	0	0	0	0	0
Precinct 7844 - Election Day	0	0	1	0	0	0	152	1	0	0	0	1	0
Precinct 7844	0	0	1	0	0	0	651	1	0	0	0	1	0
Precinct 7845 - Vote By Mail	0	2	1	0	0	0	676	6	0	0	3	3	0
Precinct 7845 - Election Day	0	1	0	0	0	0	204	1	0	0	0	1	0
Precinct 7845	0	3	1	0	0	0	880	7	0	0	3	4	0
Precinct 7846 - Vote By Mail	0	0	0	0	0	0	736	0	0	0	0	0	0
Precinct 7846 - Election Day	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7846	0	0	0	0	0	0	908	0	0	0	0	0	0
Precinct 7847 - Vote By Mail	0	0	0	0	0	0	698	2	0	0	2	0	0
Precinct 7847 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7847	0	0	0	0	0	0	891	2	0	0	2	0	0
Precinct 7848 - Vote By Mail	0	0	0	0	1	0	665	4	0	0	3	1	0
Precinct 7848 - Election Day	0	0	0	0	0	0	182	0	0	0	0	0	0
Precinct 7848	0	0	0	0	1	0	847	4	0	0	3	1	0
Precinct 7849 - Vote By Mail	0	1	0	0	0	0	729	3	0	0	2	1	0
Precinct 7849 - Election Day	0	0	1	0	0	0	172	1	0	0	0	1	0
Precinct 7849	0	1	1	0	0	0	901	4	0	0	2	2	0
Precinct 7851 - Vote By Mail	0	0	0	0	0	0	414	0	0	0	0	0	0
Precinct 7851 - Election Day	0	0	0	0	0	0	112	0	0	0	0	0	0
Precinct 7851	0	0	0	0	0	0	526	0	0	0	0	0	0
Precinct 7852 - Vote By Mail	0	1	0	0	0	0	533	1	0	0	0	1	0
Precinct 7852 - Election Day	0	0	0	0	0	0	111	0	0	0	0	0	0
Precinct 7852	0	1	0	0	0	0	644	1	0	0	0	1	0
Precinct 7853 - Vote By Mail	0	0	0	0	0	0	694	1	0	0	1	0	0
Precinct 7853 - Election Day	0	0	0	0	0	0	161	0	0	0	0	0	0
Precinct 7853	0	0	0	0	0	0	855	1	0	0	1	0	0
Precinct 7854 - Vote By Mail	0	1	0	0	0	0	703	2	0	0	1	1	0
Precinct 7854 - Election Day	0	0	1	0	0	0	175	1	0	0	0	1	0
Precinct 7854	0	1	1	0	0	0	878	3	0	0	1	2	0
Precinct 7855 - Vote By Mail	0	1	1	0	0	0	763	2	0	0	0	2	0
Precinct 7855 - Election Day	0	0	0	0	0	0	211	0	0	0	0	0	0
Precinct 7855	0	1	1	0	0	0	974	2	0	0	0	2	0
Precinct 7856 - Vote By Mail	0	0	0	0	0	0	643	0	0	0	0	0	0
Precinct 7856 - Election Day	0	0	0	0	1	0	204	1	0	0	0	1	0
Precinct 7856	0	0	0	0	1	0	847	1	0	0	0	1	0
Precinct 7857 - Vote By Mail	0	2	2	0	0	0	748	5	0	0	1	4	0
Precinct 7857 - Election Day	0	0	0	0	0	0	158	1	0	0	1	0	0
Precinct 7857	0	2	2	0	0	0	906	6	0	0	2	4	0
Precinct 7858 - Vote By Mail	0	0	0	0	0	0	622	1	0	0	1	0	0
Precinct 7858 - Election Day	1	1	0	0	0	0	157	2	0	0	0	2	0
Precinct 7858	1	1	0	0	0	0	779	3	0	0	1	2	0
Precinct 7859 - Vote By Mail	0	0	0	0	2	0	747	2	0	0	0	2	0
Precinct 7859 - Election Day	0	0	0	0	0	0	152	0	0	0	0	0	0
Precinct 7859	0	0	0	0	2	0	899	2	0	0	0	2	0
Precinct 7861 - Vote By Mail	0	1	0	0	1	0	699	3	0	0	1	2	0
Precinct 7861 - Election Day	0	1	0	0	0	0	164	1	0	0	0	1	0
Precinct 7861	0	2	0	0	1	0	863	4	0	0	1	3	0
Precinct 7862 - Vote By Mail	0	0	0	0	1	0	669	1	0	0	0	1	0
Precinct 7862 - Election Day	0	0	0	0	0	0	195	1	0	0	0	1	1
Precinct 7862	0	0	0	0	1	0	864	2	0	0	0	2	1
Precinct 7863 - Vote By Mail	0	0	1	0	0	0	693	3	0	0	2	1	0
Precinct 7863 - Election Day	0	0	2	0	0	0	208	5	0	0	2	3	1
Precinct 7863	0	0	3	0	0	0	901	8	0	0	4	4	1
Precinct 7864 - Vote By Mail	0	0	0	0	1	0	661	3	0	0	2	1	0
Precinct 7864 - Election Day	0	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7864	0	0	0	0	1	0	814	3	0	0	2	1	0
Precinct 7865 - Vote By Mail	0	0	0	0	0	0	677	2	0	0	2	0	0
Precinct 7865 - Election Day	0	0	0	0	0	0	163	0	0	0	0	0	0
Precinct 7865	0	0	0	0	0	0	840	2	0	0	2	0	0
Precinct 7866 - Vote By Mail	0	2	0	0	0	0	690	3	0	0	1	2	0
Precinct 7866 - Election Day	0	0	0	0	0	0	158	0	0	0	0	0	0
Precinct 7866	0	2	0	0	0	0	848	3	0	0	1	2	0
Precinct 7867 - Vote By Mail	0	0	0	0	0	0	766	1	0	0	1	0	0
Precinct 7867 - Election Day	0	0	0	0	0	0	212	0	0	0	0	0	0
Precinct 7867	0	0	0	0	0	0	978	1	0	0	1	0	0
Precinct 7868 - Vote By Mail	0	0	0	0	0	0	659	1	0	0	1	0	0
Precinct 7868 - Election Day	0	1	1	0	0	0	217	2	0	0	0	2	0
Precinct 7868	0	1	1	0	0	0	876	3	0	0	1	2	0
Precinct 7869 - Vote By Mail	0	0	1	1	0	0	683	3	0	0	1	2	0
Precinct 7869 - Election Day	0	0	0	0	0	0	178	0	0	0	0	0	0
Precinct 7869	0	0	1	1	0	0	861	3	0	0	1	2	0
Precinct 7871 - Vote By Mail	0	2	0	0	0	0	702	5	0	0	3	2	0
Precinct 7871 - Election Day	0	0	0	0	0	0	200	0	0	0	0	0	0
Precinct 7871	0	2	0	0	0	0	902	5	0	0	3	2	0
Precinct 7872 - Vote By Mail	0	0	0	0	0	0	675	1	0	0	1	0	0
Precinct 7872 - Election Day	0	0	0	0	0	0	199	2	0	0	1	1	1
Precinct 7872	0	0	0	0	0	0	874	3	0	0	2	1	1
Precinct 7873 - Vote By Mail	0	0	1	0	2	0	689	4	0	0	1	3	0
Precinct 7873 - Election Day	0	0	0	0	0	0	202	0	0	0	0	0	0
Precinct 7873	0	0	1	0	2	0	891	4	0	0	1	3	0
Precinct 7874 - Vote By Mail	0	0	0	0	1	0	370	1	0	0	0	1	0
Precinct 7874 - Election Day	0	0	0	0	0	0	119	0	0	0	0	0	0
Precinct 7874	0	0	0	0	1	0	489	1	0	0	0	1	0
Precinct 7875 - Vote By Mail	0	0	0	0	0	0	500	0	0	0	0	0	0
Precinct 7875 - Election Day	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7875	0	0	0	0	0	0	647	0	0	0	0	0	0
Precinct 7876 - Vote By Mail	0	0	0	0	0	0	462	0	0	0	0	0	0
Precinct 7876 - Election Day	0	0	0	0	0	0	106	0	0	0	0	0	0
Precinct 7876	0	0	0	0	0	0	568	0	0	0	0	0	0
Precinct 7901 - Vote By Mail	0	0	0	0	0	0	399	0	0	0	0	0	0
Precinct 7901 - Election Day	0	0	0	0	0	0	150	0	0	0	0	0	0
Precinct 7901	0	0	0	0	0	0	549	0	0	0	0	0	0
Precinct 7902 - Vote By Mail	0	0	0	0	0	0	680	2	0	0	2	0	0
Precinct 7902 - Election Day	0	0	0	0	0	0	232	0	0	0	0	0	0
Precinct 7902	0	0	0	0	0	0	912	2	0	0	2	0	0
Precinct 7903 - Vote By Mail	0	0	0	0	0	0	623	0	0	0	0	0	0
Precinct 7903 - Election Day	0	0	0	0	0	0	229	0	0	0	0	0	0
Precinct 7903	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7904 - Vote By Mail	0	1	0	0	0	0	680	2	0	0	1	1	0
Precinct 7904 - Election Day	0	0	1	0	1	0	157	2	0	0	0	2	0
Precinct 7904	0	1	1	0	1	0	837	4	0	0	1	3	0
Precinct 7905 - Vote By Mail	0	2	2	0	0	0	684	6	0	0	2	4	0
Precinct 7905 - Election Day	0	0	0	0	0	0	191	2	0	0	1	1	1
Precinct 7905	0	2	2	0	0	0	875	8	0	0	3	5	1
Precinct 7906 - Vote By Mail	0	1	0	0	0	0	599	1	0	0	0	1	0
Precinct 7906 - Election Day	0	0	0	0	0	0	187	1	0	0	1	0	0
Precinct 7906	0	1	0	0	0	0	786	2	0	0	1	1	0
Precinct 7907 - Vote By Mail	0	0	0	0	0	0	704	0	0	0	0	0	0
Precinct 7907 - Election Day	0	0	0	0	0	0	238	0	0	0	0	0	0
Precinct 7907	0	0	0	0	0	0	942	0	0	0	0	0	0
Precinct 7908 - Vote By Mail	0	1	0	0	0	0	752	2	0	0	1	1	0
Precinct 7908 - Election Day	0	0	0	0	0	0	240	0	0	0	0	0	0
Precinct 7908	0	1	0	0	0	0	992	2	0	0	1	1	0
Precinct 7909 - Vote By Mail	0	0	1	0	0	0	558	1	0	0	0	1	0
Precinct 7909 - Election Day	0	0	0	0	0	0	185	0	0	0	0	0	0
Precinct 7909	0	0	1	0	0	0	743	1	0	0	0	1	0
Precinct 7911 - Vote By Mail	0	1	0	1	0	0	666	3	0	0	1	2	0
Precinct 7911 - Election Day	0	0	0	0	0	0	205	0	0	0	0	0	0
Precinct 7911	0	1	0	1	0	0	871	3	0	0	1	2	0
Precinct 7912 - Vote By Mail	0	2	0	0	0	0	800	3	0	0	1	2	0
Precinct 7912 - Election Day	0	1	0	0	0	0	259	2	0	0	1	1	0
Precinct 7912	0	3	0	0	0	0	1,059	5	0	0	2	3	0
Precinct 7913 - Vote By Mail	0	0	3	0	0	0	660	4	0	0	1	3	0
Precinct 7913 - Election Day	0	0	0	0	0	0	263	1	0	0	0	1	1
Precinct 7913	0	0	3	0	0	0	923	5	0	0	1	4	1
Precinct 7914 - Vote By Mail	0	0	0	0	0	0	715	0	0	0	0	0	0
Precinct 7914 - Election Day	0	0	0	0	0	0	187	0	0	0	0	0	0
Precinct 7914	0	0	0	0	0	0	902	0	0	0	0	0	0
Precinct 7915 - Vote By Mail	0	0	0	0	0	0	605	1	0	0	1	0	0
Precinct 7915 - Election Day	0	0	2	0	0	0	238	2	0	0	0	2	0
Precinct 7915	0	0	2	0	0	0	843	3	0	0	1	2	0
Precinct 7916 - Vote By Mail	0	0	0	0	0	0	639	1	0	0	1	0	0
Precinct 7916 - Election Day	0	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 7916	0	0	0	0	0	0	858	1	0	0	1	0	0
Precinct 7917 - Vote By Mail	0	0	0	0	2	0	716	2	0	0	0	2	0
Precinct 7917 - Election Day	0	0	0	0	0	0	271	0	0	0	0	0	0
Precinct 7917	0	0	0	0	2	0	987	2	0	0	0	2	0
Precinct 7918 - Vote By Mail	0	0	0	0	0	0	597	1	0	0	1	0	0
Precinct 7918 - Election Day	0	0	0	0	0	0	227	0	0	0	0	0	0
Precinct 7918	0	0	0	0	0	0	824	1	0	0	1	0	0
Precinct 7919 - Vote By Mail	0	1	0	0	0	0	608	1	0	0	0	1	0
Precinct 7919 - Election Day	0	0	0	0	0	0	258	0	0	0	0	0	0
Precinct 7919	0	1	0	0	0	0	866	1	0	0	0	1	0
Precinct 7921 - Vote By Mail	0	0	0	0	0	0	682	5	0	0	5	0	0
Precinct 7921 - Election Day	0	0	0	0	0	0	229	1	0	0	1	0	0
Precinct 7921	0	0	0	0	0	0	911	6	0	0	6	0	0
Precinct 7922 - Vote By Mail	0	0	1	0	0	0	648	2	0	0	1	1	0
