Subtotal Area	DAVID ROLDE	HOWIE HAWKINS	DARIO HUNTER	DENNIS LAMBERT	SEDINAM MOYOWASIFZA-CURRY	KENT MESPLAY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7019 - Vote By Mail	0	2	0	0	0	0	734	3	0	0	1	2	0
Precinct 7019 - Election Day	0	0	0	0	0	0	166	1	0	0	0	1	1
Precinct 7019	0	2	0	0	0	0	900	4	0	0	1	3	1
Precinct 7021 - Vote By Mail	0	0	0	0	0	0	679	2	0	0	2	0	0
Precinct 7021 - Election Day	0	0	0	0	0	0	288	0	0	0	0	0	0
Precinct 7021	0	0	0	0	0	0	967	2	0	0	2	0	0
Precinct 7022 - Vote By Mail	0	0	0	0	0	0	770	1	0	0	1	0	0
Precinct 7022 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7022	0	0	0	0	0	0	963	1	0	0	1	0	0
Precinct 7023 - Vote By Mail	0	0	0	0	0	0	687	0	0	0	0	0	0
Precinct 7023 - Election Day	0	0	0	0	0	0	233	0	0	0	0	0	0
Precinct 7023	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 7024 - Vote By Mail	0	0	0	0	0	0	251	0	0	0	0	0	0
Precinct 7024 - Election Day	0	0	0	0	0	0	190	0	0	0	0	0	0
Precinct 7024	0	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7025 - Vote By Mail	0	0	0	0	0	0	316	0	0	0	0	0	0
Precinct 7025 - Election Day	0	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7025	0	0	0	0	0	0	483	0	0	0	0	0	0
Precinct 7026 - Vote By Mail	0	0	1	0	0	0	819	1	0	0	0	1	0
Precinct 7026 - Election Day	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7026	0	0	1	0	0	0	1,010	1	0	0	0	1	0
Precinct 7027 - Vote By Mail	0	0	0	0	0	0	677	0	0	0	0	0	0
Precinct 7027 - Election Day	0	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 7027	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 7028 - Vote By Mail	0	0	0	0	0	0	585	2	0	0	2	0	0
Precinct 7028 - Election Day	0	0	0	0	0	0	271	0	0	0	0	0	0
Precinct 7028	0	0	0	0	0	0	856	2	0	0	2	0	0
Precinct 7029 - Vote By Mail	0	0	0	0	0	0	642	0	0	0	0	0	0
Precinct 7029 - Election Day	0	0	0	0	0	0	267	0	0	0	0	0	0
Precinct 7029	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7030 - Vote By Mail	0	0	0	0	0	0	654	0	0	0	0	0	0
Precinct 7030 - Election Day	0	0	0	0	0	0	141	0	0	0	0	0	0
Precinct 7030	0	0	0	0	0	0	795	0	0	0	0	0	0
Precinct 7031 - Vote By Mail	0	0	0	0	0	0	622	0	0	0	0	0	0
Precinct 7031 - Election Day	0	0	0	0	0	0	72	0	0	0	0	0	0
Precinct 7031	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 7032 - Vote By Mail	0	0	0	0	0	0	643	0	0	0	0	0	0
Precinct 7032 - Election Day	0	0	0	0	1	0	238	1	0	0	0	1	0
Precinct 7032	0	0	0	0	1	0	881	1	0	0	0	1	0
Precinct 7033 - Vote By Mail	0	0	0	0	0	0	549	0	0	0	0	0	0
Precinct 7033 - Election Day	0	0	0	0	0	0	229	0	0	0	0	0	0
Precinct 7033	0	0	0	0	0	0	778	0	0	0	0	0	0
Precinct 7034 - Vote By Mail	0	0	0	0	0	0	620	0	0	0	0	0	0
Precinct 7034 - Election Day	0	0	0	0	0	0	318	0	0	0	0	0	0
Precinct 7034	0	0	0	0	0	0	938	0	0	0	0	0	0
Precinct 7035 - Vote By Mail	0	1	0	0	0	0	567	2	0	0	1	1	0
Precinct 7035 - Election Day	0	0	0	0	0	0	152	0	0	0	0	0	0
Precinct 7035	0	1	0	0	0	0	719	2	0	0	1	1	0
Precinct 7036 - Vote By Mail	0	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7036 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7036	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 7037 - Vote By Mail	0	0	0	0	0	0	434	0	0	0	0	0	0
Precinct 7037 - Election Day	0	0	0	0	0	0	312	0	0	0	0	0	0
Precinct 7037	0	0	0	0	0	0	746	0	0	0	0	0	0
Precinct 7038 - Vote By Mail	1	0	0	0	0	0	758	2	0	0	1	1	0
Precinct 7038 - Election Day	0	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 7038	1	0	0	0	0	0	961	2	0	0	1	1	0
Precinct 7039 - Vote By Mail	0	0	0	0	0	0	636	0	0	0	0	0	0
Precinct 7039 - Election Day	0	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7039	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	0	0	0	0	0	0	70	0	0	0	0	0	0
Precinct 7041 MB - Election Day	0	0	0	0	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	0	0	0	0	0	0	66	0	0	0	0	0	0
Precinct 7042 - Vote By Mail	0	0	0	0	0	0	514	0	0	0	0	0	0
Precinct 7042 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7042	0	0	0	0	0	0	660	0	0	0	0	0	0
Precinct 7043 - Vote By Mail	0	0	1	0	0	0	754	2	0	0	1	1	0
Precinct 7043 - Election Day	0	0	0	0	0	0	224	0	0	0	0	0	0
Precinct 7043	0	0	1	0	0	0	978	2	0	0	1	1	0
Precinct 7044 - Vote By Mail	0	0	0	0	0	0	586	0	0	0	0	0	0
Precinct 7044 - Election Day	0	0	0	0	0	0	266	0	0	0	0	0	0
Precinct 7044	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7045 - Vote By Mail	0	0	0	0	0	0	632	0	0	0	0	0	0
Precinct 7045 - Election Day	0	0	0	0	0	0	154	0	0	0	0	0	0
Precinct 7045	0	0	0	0	0	0	786	0	0	0	0	0	0
Precinct 7046 - Vote By Mail	0	0	0	0	0	0	334	0	0	0	0	0	0
Precinct 7046 - Election Day	0	0	0	0	0	0	96	0	0	0	0	0	0
Precinct 7046	0	0	0	0	0	0	430	0	0	0	0	0	0
Precinct 7047 - Vote By Mail	0	0	0	0	0	0	733	1	0	0	1	0	0
Precinct 7047 - Election Day	0	0	0	0	0	0	150	1	0	0	0	1	1
Precinct 7047	0	0	0	0	0	0	883	2	0	0	1	1	1
Precinct 7048 - Vote By Mail	0	0	0	0	0	0	685	1	0	0	1	0	0
Precinct 7048 - Election Day	0	0	0	0	0	0	196	0	0	0	0	0	0
Precinct 7048	0	0	0	0	0	0	881	1	0	0	1	0	0
Precinct 7049 - Vote By Mail	0	0	0	0	0	0	616	0	0	0	0	0	0
Precinct 7049 - Election Day	0	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 7049	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7051 - Vote By Mail	0	0	0	0	1	0	715	1	0	0	0	1	0
Precinct 7051 - Election Day	0	0	0	0	0	0	165	0	0	0	0	0	0
Precinct 7051	0	0	0	0	1	0	880	1	0	0	0	1	0
Precinct 7052 - Vote By Mail	0	0	0	0	0	0	722	1	0	0	1	0	0
Precinct 7052 - Election Day	0	0	0	0	0	0	184	0	0	0	0	0	0
Precinct 7052	0	0	0	0	0	0	906	1	0	0	1	0	0
Precinct 7053 - Vote By Mail	0	0	0	0	0	0	542	1	0	0	1	0	0
Precinct 7053 - Election Day	0	0	0	0	0	0	43	0	0	0	0	0	0
Precinct 7053	0	0	0	0	0	0	585	1	0	0	1	0	0
Precinct 7054 - Vote By Mail	0	0	0	0	0	0	863	1	0	0	1	0	0
Precinct 7054 - Election Day	0	0	0	0	0	0	273	0	0	0	0	0	0
Precinct 7054	0	0	0	0	0	0	1,136	1	0	0	1	0	0
Precinct 7055 - Vote By Mail	0	0	0	0	0	0	732	0	0	0	0	0	0
Precinct 7055 - Election Day	0	0	0	0	0	0	94	0	0	0	0	0	0
Precinct 7055	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7056 - Vote By Mail	0	0	0	0	0	0	618	1	0	0	1	0	0
Precinct 7056 - Election Day	0	0	0	0	0	0	87	0	0	0	0	0	0
Precinct 7056	0	0	0	0	0	0	705	1	0	0	1	0	0
Precinct 7101 MB - Vote By Mail	0	0	0	0	1	0	162	1	0	0	0	1	0
Precinct 7101 MB - Election Day	0	0	0	0	0	0	-15	0	0	0	0	0	0
Precinct 7101 MB	0	0	0	0	1	0	147	1	0	0	0	1	0
Precinct 7201 - Vote By Mail	0	0	0	0	0	0	788	0	0	0	0	0	0
Precinct 7201 - Election Day	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7201	0	0	0	0	0	0	935	0	0	0	0	0	0
Precinct 7202 - Vote By Mail	0	0	0	0	0	0	708	0	0	0	0	0	0
Precinct 7202 - Election Day	0	0	0	0	0	0	143	0	0	0	0	0	0
Precinct 7202	0	0	0	0	0	0	851	0	0	0	0	0	0
Precinct 7203 - Vote By Mail	0	0	0	0	0	0	693	1	0	0	1	0	0
Precinct 7203 - Election Day	0	0	0	0	0	0	186	0	0	0	0	0	0
Precinct 7203	0	0	0	0	0	0	879	1	0	0	1	0	0
Precinct 7204 - Vote By Mail	0	0	0	0	0	0	773	0	0	0	0	0	0
Precinct 7204 - Election Day	0	0	0	0	0	0	126	0	0	0	0	0	0
Precinct 7204	0	0	0	0	0	0	899	0	0	0	0	0	0
Precinct 7205 - Vote By Mail	0	0	0	1	0	0	724	2	0	0	1	1	0
Precinct 7205 - Election Day	0	0	1	0	0	0	147	1	0	0	0	1	0
Precinct 7205	0	0	1	1	0	0	871	3	0	0	1	2	0
Precinct 7206 - Vote By Mail	0	0	1	0	0	0	299	1	0	0	0	1	0
Precinct 7206 - Election Day	0	0	0	0	0	0	78	0	0	0	0	0	0
Precinct 7206	0	0	1	0	0	0	377	1	0	0	0	1	0
Precinct 7207 - Vote By Mail	0	1	0	1	0	0	744	2	0	0	0	2	0
Precinct 7207 - Election Day	0	1	0	0	0	0	123	1	0	0	0	1	0
Precinct 7207	0	2	0	1	0	0	867	3	0	0	0	3	0
Precinct 7208 - Vote By Mail	0	0	0	0	0	0	492	0	0	0	0	0	0
Precinct 7208 - Election Day	0	0	0	0	0	0	78	0	0	0	0	0	0
Precinct 7208	0	0	0	0	0	0	570	0	0	0	0	0	0
Precinct 7209 - Vote By Mail	0	0	0	0	0	0	595	0	0	0	0	0	0
Precinct 7209 - Election Day	0	0	0	0	0	0	52	0	0	0	0	0	0
Precinct 7209	0	0	0	0	0	0	647	0	0	0	0	0	0
Precinct 7301 - Vote By Mail	0	0	0	0	0	0	813	0	0	0	0	0	0
Precinct 7301 - Election Day	0	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7301	0	0	0	0	0	0	1,014	0	0	0	0	0	0
Precinct 7302 - Vote By Mail	0	0	0	0	0	0	713	2	0	0	2	0	0
Precinct 7302 - Election Day	0	0	0	0	0	0	136	0	0	0	0	0	0
Precinct 7302	0	0	0	0	0	0	849	2	0	0	2	0	0
Precinct 7303 - Vote By Mail	0	0	0	0	0	0	869	0	0	0	0	0	0
Precinct 7303 - Election Day	0	0	0	0	0	0	199	0	0	0	0	0	0
Precinct 7303	0	0	0	0	0	0	1,068	0	0	0	0	0	0
Precinct 7304 - Vote By Mail	0	0	0	0	0	0	802	0	0	0	0	0	0
Precinct 7304 - Election Day	0	0	0	0	0	0	199	0	0	0	0	0	0
Precinct 7304	0	0	0	0	0	0	1,001	0	0	0	0	0	0
Precinct 7305 - Vote By Mail	0	0	1	0	0	0	713	1	0	0	0	1	0
Precinct 7305 - Election Day	0	1	0	0	0	0	154	1	0	0	0	1	0
Precinct 7305	0	1	1	0	0	0	867	2	0	0	0	2	0
Precinct 7306 - Vote By Mail	0	1	0	0	0	0	801	2	0	0	1	1	0
Precinct 7306 - Election Day	0	0	0	0	0	0	243	0	0	0	0	0	0
Precinct 7306	0	1	0	0	0	0	1,044	2	0	0	1	1	0
Precinct 7307 - Vote By Mail	0	0	0	0	0	0	605	1	0	0	1	0	0
Precinct 7307 - Election Day	0	0	0	0	0	0	169	0	0	0	0	0	0
Precinct 7307	0	0	0	0	0	0	774	1	0	0	1	0	0
Precinct 7308 - Vote By Mail	0	0	0	0	1	0	520	1	0	0	0	1	0
Precinct 7308 - Election Day	0	0	0	0	0	0	105	1	0	0	1	0	0
Precinct 7308	0	0	0	0	1	0	625	2	0	0	1	1	0
Precinct 7309 - Vote By Mail	0	0	0	0	0	0	691	0	0	0	0	0	0
Precinct 7309 - Election Day	0	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7309	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 7311 - Vote By Mail	0	0	0	0	0	0	698	1	0	0	1	0	0
