Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7021 - Election Day	50	4	44	288	106	0	0	8	98	0
Precinct 7021	185	25	125	967	377	0	0	42	335	0
Precinct 7022 - Vote By Mail	188	18	80	770	311	0	0	25	286	0
Precinct 7022 - Election Day	23	1	28	193	55	0	0	2	53	1
Precinct 7022	211	19	108	963	366	0	0	27	339	1
Precinct 7023 - Vote By Mail	192	23	79	687	331	0	0	37	294	0
Precinct 7023 - Election Day	39	3	24	233	71	0	0	4	67	1
Precinct 7023	231	26	103	920	402	0	0	41	361	1
Precinct 7024 - Vote By Mail	26	7	14	251	50	0	1	2	47	0
Precinct 7024 - Election Day	12	2	3	190	20	0	0	3	17	0
Precinct 7024	38	9	17	441	70	0	1	5	64	0
Precinct 7025 - Vote By Mail	47	5	35	316	95	0	1	7	87	0
Precinct 7025 - Election Day	18	2	15	167	39	0	0	2	37	2
Precinct 7025	65	7	50	483	134	0	1	9	124	2
Precinct 7026 - Vote By Mail	192	52	68	819	336	0	0	24	312	0
Precinct 7026 - Election Day	28	5	31	191	72	0	0	7	65	1
Precinct 7026	220	57	99	1,010	408	0	0	31	377	1
Precinct 7027 - Vote By Mail	145	35	58	677	270	0	0	32	238	0
Precinct 7027 - Election Day	56	3	32	219	96	0	0	5	91	0
Precinct 7027	201	38	90	896	366	0	0	37	329	0
Precinct 7028 - Vote By Mail	116	16	65	585	220	0	0	23	197	0
Precinct 7028 - Election Day	44	4	38	271	97	0	0	11	86	0
Precinct 7028	160	20	103	856	317	0	0	34	283	0
Precinct 7029 - Vote By Mail	94	20	65	642	208	0	1	28	179	0
Precinct 7029 - Election Day	24	2	11	267	39	0	0	2	37	0
Precinct 7029	118	22	76	909	247	0	1	30	216	0
Precinct 7030 - Vote By Mail	132	54	54	654	274	0	1	33	240	0
Precinct 7030 - Election Day	25	9	20	141	58	0	0	4	54	0
Precinct 7030	157	63	74	795	332	0	1	37	294	0
Precinct 7031 - Vote By Mail	126	55	62	622	263	0	0	20	243	0
Precinct 7031 - Election Day	27	2	14	72	48	0	0	5	43	0
Precinct 7031	153	57	76	694	311	0	0	25	286	0
Precinct 7032 - Vote By Mail	152	32	60	643	266	0	0	22	244	0
Precinct 7032 - Election Day	23	4	19	238	53	0	0	7	46	0
Precinct 7032	175	36	79	881	319	0	0	29	290	0
Precinct 7033 - Vote By Mail	123	17	54	549	214	0	0	20	194	0
Precinct 7033 - Election Day	41	7	29	229	86	0	0	7	79	2
Precinct 7033	164	24	83	778	300	0	0	27	273	2
Precinct 7034 - Vote By Mail	71	10	40	620	140	0	1	18	121	0
Precinct 7034 - Election Day	41	4	10	318	58	0	0	3	55	0
Precinct 7034	112	14	50	938	198	0	1	21	176	0
Precinct 7035 - Vote By Mail	138	28	57	567	237	0	0	14	223	0
Precinct 7035 - Election Day	35	1	13	152	52	0	0	3	49	0
Precinct 7035	173	29	70	719	289	0	0	17	272	0
Precinct 7036 - Vote By Mail	127	51	61	781	262	0	4	19	239	0
Precinct 7036 - Election Day	19	4	15	193	39	0	0	1	38	0
Precinct 7036	146	55	76	974	301	0	4	20	277	0
Precinct 7037 - Vote By Mail	32	7	18	434	63	0	1	5	57	0
Precinct 7037 - Election Day	23	0	8	312	38	0	0	7	31	0
Precinct 7037	55	7	26	746	101	0	1	12	88	0
Precinct 7038 - Vote By Mail	156	46	67	758	308	0	0	39	269	0
Precinct 7038 - Election Day	24	3	23	203	58	0	0	8	50	0
Precinct 7038	180	49	90	961	366	0	0	47	319	0
Precinct 7039 - Vote By Mail	112	35	62	636	243	0	0	34	209	0
Precinct 7039 - Election Day	45	13	38	201	104	0	0	8	96	0
Precinct 7039	157	48	100	837	347	0	0	42	305	0
Precinct 7041 MB - Vote By Mail	12	3	10	70	29	0	0	4	25	0
