Subtotal Area	ROBERT ARDINI	JOE WALSH	BILL WELD	ROQUE "ROCKY" DE LA FUENTE	MATTHEW JOHN MATERN	ZOLTAN G. ISTVAN	DONALD J. TRUMP	DENIS C. GRASSKA	ROBERT LEE MANNING JR.	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1152 - Election Day	0	0	0	0	0	0	8	0	0	180	8	0	0	0	8	0
Precinct 1152	0	1	0	0	1	0	24	0	0	890	26	0	0	0	26	0
Precinct 1153 - Vote By Mail	0	2	3	0	0	0	18	0	0	730	25	0	0	2	23	0
Precinct 1153 - Election Day	0	0	1	0	0	0	10	0	0	210	12	0	0	0	12	1
Precinct 1153	0	2	4	0	0	0	28	0	0	940	37	0	0	2	35	1
Precinct 7001 - Vote By Mail	0	1	1	0	1	0	5	0	0	632	12	0	0	4	8	0
Precinct 7001 - Election Day	0	0	1	0	0	0	1	0	0	141	2	0	0	0	2	0
Precinct 7001	0	1	2	0	1	0	6	0	0	773	14	0	0	4	10	0
Precinct 7002 - Vote By Mail	0	0	1	0	0	0	9	0	0	598	12	0	0	2	10	0
Precinct 7002 - Election Day	0	0	1	0	0	0	1	0	0	116	2	0	0	0	2	0
Precinct 7002	0	0	2	0	0	0	10	0	0	714	14	0	0	2	12	0
Precinct 7003 - Vote By Mail	0	1	5	0	0	0	14	0	0	759	24	0	0	4	20	0
Precinct 7003 - Election Day	0	0	0	0	0	0	2	0	0	147	2	0	0	0	2	0
Precinct 7003	0	1	5	0	0	0	16	0	0	906	26	0	0	4	22	0
Precinct 7004 - Vote By Mail	0	0	2	0	0	0	17	0	0	764	20	0	0	1	19	0
Precinct 7004 - Election Day	0	0	1	0	0	0	3	0	0	149	4	0	0	0	4	0
Precinct 7004	0	0	3	0	0	0	20	0	0	913	24	0	0	1	23	0
Precinct 7005 - Vote By Mail	0	1	0	0	0	0	6	0	0	698	8	0	0	1	7	0
Precinct 7005 - Election Day	0	0	0	0	0	0	2	0	0	161	2	0	0	0	2	0
Precinct 7005	0	1	0	0	0	0	8	0	0	859	10	0	0	1	9	0
Precinct 7006 - Vote By Mail	1	2	0	0	0	0	6	0	0	729	9	0	0	0	9	0
Precinct 7006 - Election Day	0	0	0	0	0	0	3	0	0	203	3	0	0	0	3	0
Precinct 7006	1	2	0	0	0	0	9	0	0	932	12	0	0	0	12	0
Precinct 7007 - Vote By Mail	0	1	3	1	0	0	8	0	0	777	20	0	0	7	13	0
Precinct 7007 - Election Day	0	0	0	0	0	0	1	0	0	180	1	0	0	0	1	0
Precinct 7007	0	1	3	1	0	0	9	0	0	957	21	0	0	7	14	0
Precinct 7008 - Vote By Mail	0	0	2	1	0	0	7	0	0	732	13	0	0	3	10	0
Precinct 7008 - Election Day	0	1	2	0	0	0	2	0	0	177	5	0	0	0	5	0
Precinct 7008	0	1	4	1	0	0	9	0	0	909	18	0	0	3	15	0
Precinct 7009 - Vote By Mail	0	0	1	0	0	0	5	0	0	752	8	0	0	2	6	0
Precinct 7009 - Election Day	0	0	0	0	0	0	5	0	0	119	5	0	0	0	5	0
Precinct 7009	0	0	1	0	0	0	10	0	0	871	13	0	0	2	11	0
Precinct 7011 - Vote By Mail	1	0	1	1	0	0	2	0	0	704	5	0	0	0	5	0
Precinct 7011 - Election Day	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0
Precinct 7011	1	0	1	1	0	0	2	0	0	973	5	0	0	0	5	0
Precinct 7012 - Vote By Mail	1	0	4	0	0	0	17	0	0	999	24	0	0	2	22	0
Precinct 7012 - Election Day	0	0	0	0	0	0	8	0	0	227	9	0	0	0	9	1
Precinct 7012	1	0	4	0	0	0	25	0	0	1,226	33	0	0	2	31	1
Precinct 7013 - Vote By Mail	0	1	0	0	0	0	2	0	0	984	5	0	0	2	3	0
Precinct 7013 - Election Day	0	0	0	0	0	0	2	0	0	155	2	0	0	0	2	0
Precinct 7013	0	1	0	0	0	0	4	0	0	1,139	7	0	0	2	5	0
Precinct 7014 - Vote By Mail	0	0	2	0	0	0	4	0	0	610	9	0	0	3	6	0
Precinct 7014 - Election Day	0	0	0	0	0	0	2	0	0	109	2	0	0	0	2	0
