Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Potrero Hill	3,224	4,334	17,356	9,552	0	5	1,976	7,571	13
Richmond - Vote By Mail	5,294	6,581	29,447	14,415	0	16	2,524	11,875	0
Richmond - Election Day	2,315	3,689	8,178	7,576	0	6	1,538	6,032	28
Richmond	7,609	10,270	37,625	21,991	0	22	4,062	17,907	28
South of Bernal Heights - Vote By Mail	1,242	2,040	7,165	4,024	0	3	739	3,282	0
South of Bernal Heights - Election Day	558	971	2,406	1,880	0	1	343	1,536	7
South of Bernal Heights	1,800	3,011	9,571	5,904	0	4	1,082	4,818	7
Sea Cliff/Presidio Heights - Vote By Mail	1,462	1,174	6,458	3,414	0	3	775	2,636	0
Sea Cliff/Presidio Heights - Election Day	685	692	1,563	1,848	0	0	466	1,382	5
Sea Cliff/Presidio Heights	2,147	1,866	8,021	5,262	0	3	1,241	4,018	5
South of Market - Vote By Mail	3,242	3,741	20,910	8,912	0	17	1,912	6,983	0
South of Market - Election Day	954	1,528	4,167	3,399	0	1	892	2,506	24
South of Market	4,196	5,269	25,077	12,311	0	18	2,804	9,489	24
Sunset - Vote By Mail	6,040	7,709	34,606	16,657	0	21	2,887	13,749	0
Sunset - Election Day	2,308	3,603	8,887	7,428	0	2	1,493	5,933	22
Sunset	8,348	11,312	43,493	24,085	0	23	4,380	19,682	22
Upper Market/Eureka Valley - Vote By Mail	3,041	4,399	15,381	9,297	0	2	1,855	7,440	0
Upper Market/Eureka Valley - Election Day	1,038	1,853	3,512	3,650	0	1	746	2,903	12
Upper Market/Eureka Valley	4,079	6,252	18,893	12,947	0	3	2,601	10,343	12
Visitation Valley - Vote By Mail	881	1,148	6,638	2,511	0	6	476	2,029	0
Visitation Valley - Election Day	177	291	1,850	604	0	0	130	474	6
Visitation Valley	1,058	1,439	8,488	3,115	0	6	606	2,503	6
West of Twin Peaks - Vote By Mail	7,128	6,083	28,439	16,112	0	13	2,888	13,211	0
West of Twin Peaks - Election Day	2,447	2,256	6,935	5,821	0	1	1,085	4,735	32
West of Twin Peaks	9,575	8,339	35,374	21,933	0	14	3,973	17,946	32
Western Addition - Vote By Mail	4,127	5,921	23,712	12,546	0	11	2,487	10,048	0
Western Addition - Election Day	1,677	3,066	7,784	6,202	0	5	1,426	4,771	28
Western Addition	5,804	8,987	31,496	18,748	0	16	3,913	14,819	28
