Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7325 - Election Day	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7325 - Vote By Mail	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7326 - Election Day	0	0	0	0	0	0	876	0	0	0	0	0	0
Precinct 7326 - Vote By Mail	0	0	0	0	0	0	876	0	0	0	0	0	0
Precinct 7327 - Election Day	0	0	0	0	0	0	699	0	0	0	0	0	0
Precinct 7327 - Vote By Mail	0	0	0	0	0	0	699	0	0	0	0	0	0
Precinct 7328 - Election Day	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7328 - Vote By Mail	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7329 - Election Day	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 7329 - Vote By Mail	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 7331 - Election Day	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7331 - Vote By Mail	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7338 - Election Day	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 7338 - Vote By Mail	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 7706 - Election Day	0	0	0	0	0	0	840	0	0	0	0	0	0
Precinct 7706 - Vote By Mail	0	0	0	0	0	0	840	0	0	0	0	0	0
Precinct 7707 - Election Day	0	0	0	0	0	0	857	0	0	0	0	0	0
Precinct 7707 - Vote By Mail	0	0	0	0	0	0	857	0	0	0	0	0	0
Precinct 7708 - Election Day	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7708 - Vote By Mail	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7709 - Election Day	0	0	0	0	0	0	391	0	0	0	0	0	0
Precinct 7709 - Vote By Mail	0	0	0	0	0	0	391	0	0	0	0	0	0
Precinct 9001 MB - Vote By Mail	0	0	0	0	0	0	273	0	0	0	0	0	0
Precinct 9101 - Election Day	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 9101 - Vote By Mail	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 9102 - Election Day	0	0	0	0	0	0	985	0	0	0	0	0	0
Precinct 9102 - Vote By Mail	0	0	0	0	0	0	985	0	0	0	0	0	0
Precinct 9103 - Election Day	0	0	0	0	0	0	954	0	0	0	0	0	0
Precinct 9103 - Vote By Mail	0	0	0	0	0	0	954	0	0	0	0	0	0
Precinct 9104 - Election Day	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 9104 - Vote By Mail	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 9105 - Election Day	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 9105 - Vote By Mail	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 9106 - Election Day	0	0	0	0	0	0	937	0	0	0	0	0	0
Precinct 9106 - Vote By Mail	0	0	0	0	0	0	937	0	0	0	0	0	0
Precinct 9107 - Election Day	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 9107 - Vote By Mail	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 9108 - Election Day	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 9108 - Vote By Mail	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 9109 - Election Day	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 9109 - Vote By Mail	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 9111 - Election Day	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 9111 - Vote By Mail	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 9112 - Election Day	0	0	0	0	0	0	976	0	0	0	0	0	0
Precinct 9112 - Vote By Mail	0	0	0	0	0	0	976	0	0	0	0	0	0
Precinct 9113 - Election Day	0	0	0	0	0	0	999	0	0	0	0	0	0
Precinct 9113 - Vote By Mail	0	0	0	0	0	0	999	0	0	0	0	0	0
Precinct 9114 - Election Day	0	0	0	0	0	0	877	0	0	0	0	0	0
Precinct 9114 - Vote By Mail	0	0	0	0	0	0	877	0	0	0	0	0	0
Precinct 9115 - Election Day	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 9115 - Vote By Mail	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 9116 - Election Day	0	0	0	0	0	0	944	0	0	0	0	0	0
Precinct 9116 - Vote By Mail	0	0	0	0	0	0	944	0	0	0	0	0	0
Precinct 9117 - Election Day	0	0	0	0	0	0	783	0	0	0	0	0	0
Precinct 9117 - Vote By Mail	0	0	0	0	0	0	783	0	0	0	0	0	0
Precinct 9118 - Election Day	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 9118 - Vote By Mail	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 9119 - Election Day	0	0	0	0	0	0	891	0	0	0	0	0	0
Precinct 9119 - Vote By Mail	0	0	0	0	0	0	891	0	0	0	0	0	0
Precinct 9121 - Election Day	0	0	0	0	0	0	930	0	0	0	0	0	0
Precinct 9121 - Vote By Mail	0	0	0	0	0	0	930	0	0	0	0	0	0
Precinct 9122 - Election Day	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 9122 - Vote By Mail	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 9123 - Election Day	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 9123 - Vote By Mail	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 9124 - Election Day	0	0	0	0	0	0	874	0	0	0	0	0	0
Precinct 9124 - Vote By Mail	0	0	0	0	0	0	874	0	0	0	0	0	0
Precinct 9125 - Election Day	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 9125 - Vote By Mail	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 9126 - Election Day	0	0	0	0	0	0	1,015	0	0	0	0	0	0
Precinct 9126 - Vote By Mail	0	0	0	0	0	0	1,015	0	0	0	0	0	0
Precinct 9127 - Election Day	0	0	0	0	0	0	960	0	0	0	0	0	0
Precinct 9127 - Vote By Mail	0	0	0	0	0	0	960	0	0	0	0	0	0
Precinct 9128 - Election Day	0	0	0	0	0	0	828	0	0	0	0	0	0
Precinct 9128 - Vote By Mail	0	0	0	0	0	0	828	0	0	0	0	0	0
Precinct 9129 - Election Day	0	0	0	0	0	0	741	0	0	0	0	0	0
Precinct 9129 - Vote By Mail	0	0	0	0	0	0	741	0	0	0	0	0	0
Precinct 9131 - Election Day	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 9131 - Vote By Mail	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 9132 - Election Day	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 9132 - Vote By Mail	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 9133 - Election Day	0	0	0	0	0	0	1,021	0	0	0	0	0	0
Precinct 9133 - Vote By Mail	0	0	0	0	0	0	1,021	0	0	0	0	0	0
Precinct 9134 - Election Day	0	0	0	0	0	0	893	0	0	0	0	0	0
Precinct 9134 - Vote By Mail	0	0	0	0	0	0	893	0	0	0	0	0	0
Precinct 9135 - Election Day	0	0	0	0	0	0	808	0	0	0	0	0	0
Precinct 9135 - Vote By Mail	0	0	0	0	0	0	808	0	0	0	0	0	0
Precinct 9136 - Election Day	0	0	0	0	0	0	929	0	0	0	0	0	0
Precinct 9136 - Vote By Mail	0	0	0	0	0	0	929	0	0	0	0	0	0
Precinct 9137 - Election Day	0	0	0	0	0	0	1,006	0	0	0	0	0	0
Precinct 9137 - Vote By Mail	0	0	0	0	0	0	1,006	0	0	0	0	0	0
Precinct 9138 - Election Day	0	0	0	0	0	0	943	0	0	0	0	0	0
Precinct 9138 - Vote By Mail	0	0	0	0	0	0	943	0	0	0	0	0	0
Precinct 9139 - Election Day	0	0	0	0	0	0	975	0	0	0	0	0	0
Precinct 9139 - Vote By Mail	0	0	0	0	0	0	975	0	0	0	0	0	0
Precinct 9141 - Election Day	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 9141 - Vote By Mail	0	0	0	0	0	0	953	0	0	0	0	0	0
Precinct 9142 - Election Day	0	0	0	0	0	0	966	0	0	0	0	0	0
Precinct 9142 - Vote By Mail	0	0	0	0	0	0	966	0	0	0	0	0	0
Precinct 9143 - Election Day	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 9143 - Vote By Mail	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 9144 - Election Day	0	0	0	0	0	0	962	0	0	0	0	0	0
Precinct 9144 - Vote By Mail	0	0	0	0	0	0	962	0	0	0	0	0	0
Precinct 9145 - Election Day	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 9145 - Vote By Mail	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 9146 - Election Day	0	0	0	0	0	0	885	0	0	0	0	0	0
Precinct 9146 - Vote By Mail	0	0	0	0	0	0	885	0	0	0	0	0	0
Precinct 9147 - Election Day	0	0	0	0	0	0	971	0	0	0	0	0	0
Precinct 9147 - Vote By Mail	0	0	0	0	0	0	971	0	0	0	0	0	0
Precinct 9148 - Election Day	0	0	0	0	0	0	1,034	0	0	0	0	0	0
Precinct 9148 - Vote By Mail	0	0	0	0	0	0	1,034	0	0	0	0	0	0
Precinct 9149 - Election Day	0	0	0	0	0	0	948	0	0	0	0	0	0
Precinct 9149 - Vote By Mail	0	0	0	0	0	0	948	0	0	0	0	0	0
Precinct 9151 - Election Day	0	0	0	0	0	0	872	0	0	0	0	0	0
Precinct 9151 - Vote By Mail	0	0	0	0	0	0	872	0	0	0	0	0	0
Precinct 9152 - Election Day	0	0	0	0	0	0	721	0	0	0	0	0	0
Precinct 9152 - Vote By Mail	0	0	0	0	0	0	721	0	0	0	0	0	0
Precinct 9201 - Election Day	0	0	0	0	0	0	1,004	0	0	0	0	0	0
Precinct 9201 - Vote By Mail	0	0	0	0	0	0	1,004	0	0	0	0	0	0
Precinct 9202 - Election Day	0	0	0	0	0	0	971	0	0	0	0	0	0
Precinct 9202 - Vote By Mail	0	0	0	0	0	0	971	0	0	0	0	0	0
Precinct 9203 - Election Day	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 9203 - Vote By Mail	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 9204 - Election Day	0	0	0	0	0	0	873	0	0	0	0	0	0
Precinct 9204 - Vote By Mail	0	0	0	0	0	0	873	0	0	0	0	0	0
Precinct 9205 - Election Day	0	0	0	0	0	0	728	0	0	0	0	0	0
Precinct 9205 - Vote By Mail	0	0	0	0	0	0	728	0	0	0	0	0	0
Precinct 9206 - Election Day	0	0	0	0	0	0	931	0	0	0	0	0	0
Precinct 9206 - Vote By Mail	0	0	0	0	0	0	931	0	0	0	0	0	0
Precinct 9207 - Election Day	0	0	0	0	0	0	981	0	0	0	0	0	0
Precinct 9207 - Vote By Mail	0	0	0	0	0	0	981	0	0	0	0	0	0
Precinct 9208 - Election Day	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 9208 - Vote By Mail	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 9209 - Election Day	0	0	0	0	0	0	711	0	0	0	0	0	0
Precinct 9209 - Vote By Mail	0	0	0	0	0	0	711	0	0	0	0	0	0
Precinct 9211 - Election Day	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 9211 - Vote By Mail	0	0	0	0	0	0	889	0	0	0	0	0	0
Precinct 9212 - Election Day	0	0	0	0	0	0	803	0	0	0	0	0	0
Precinct 9212 - Vote By Mail	0	0	0	0	0	0	803	0	0	0	0	0	0
Precinct 9213 - Election Day	0	0	0	0	0	0	951	0	0	0	0	0	0
Precinct 9213 - Vote By Mail	0	0	0	0	0	0	951	0	0	0	0	0	0
Precinct 9214 - Election Day	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 9214 - Vote By Mail	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 9215 - Election Day	0	0	0	0	0	0	652	0	0	0	0	0	0
Precinct 9215 - Vote By Mail	0	0	0	0	0	0	652	0	0	0	0	0	0
Precinct 9216 - Election Day	0	0	0	0	0	0	845	0	0	0	0	0	0
Precinct 9216 - Vote By Mail	0	0	0	0	0	0	845	0	0	0	0	0	0
Precinct 9217 - Election Day	0	0	0	0	0	0	698	0	0	0	0	0	0
Precinct 9217 - Vote By Mail	0	0	0	0	0	0	698	0	0	0	0	0	0
Precinct 9218 - Election Day	0	0	0	0	0	0	841	0	0	0	0	0	0
Precinct 9218 - Vote By Mail	0	0	0	0	0	0	841	0	0	0	0	0	0
Precinct 9219 - Election Day	0	0	0	0	0	0	802	0	0	0	0	0	0
Precinct 9219 - Vote By Mail	0	0	0	0	0	0	802	0	0	0	0	0	0
Precinct 9221 - Election Day	0	0	0	0	0	0	651	0	0	0	0	0	0
Precinct 9221 - Vote By Mail	0	0	0	0	0	0	651	0	0	0	0	0	0
Precinct 9222 - Election Day	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 9222 - Vote By Mail	0	0	0	0	0	0	883	0	0	0	0	0	0
Precinct 9223 - Election Day	0	0	0	0	0	0	638	0	0	0	0	0	0
Precinct 9223 - Vote By Mail	0	0	0	0	0	0	638	0	0	0	0	0	0
Precinct 9224 - Election Day	0	0	0	0	0	0	960	0	0	0	0	0	0
Precinct 9224 - Vote By Mail	0	0	0	0	0	0	960	0	0	0	0	0	0
Precinct 9225 - Election Day	0	0	0	0	0	0	958	0	0	0	0	0	0
Precinct 9225 - Vote By Mail	0	0	0	0	0	0	958	0	0	0	0	0	0
