Subtotal Area	JOHN RIZZO	BRIGITTE DAVILA	VICTOR OLIVIERI	THEA SELBY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7315 - None	0	0	0	0	760	0	0	0	0	0	0
Precinct 7316 - None	0	0	0	0	853	0	0	0	0	0	0
Precinct 7316 - None	0	0	0	0	853	0	0	0	0	0	0
Precinct 7317 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7317 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7318 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7318 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7319 - None	0	0	0	0	1,079	0	0	0	0	0	0
Precinct 7319 - None	0	0	0	0	1,079	0	0	0	0	0	0
Precinct 7321 - None	0	0	0	0	671	0	0	0	0	0	0
Precinct 7321 - None	0	0	0	0	671	0	0	0	0	0	0
Precinct 7322 - None	0	0	0	0	874	0	0	0	0	0	0
Precinct 7322 - None	0	0	0	0	874	0	0	0	0	0	0
Precinct 7323 - None	0	0	0	0	950	0	0	0	0	0	0
Precinct 7323 - None	0	0	0	0	950	0	0	0	0	0	0
Precinct 7324 - None	0	0	0	0	755	0	0	0	0	0	0
Precinct 7324 - None	0	0	0	0	755	0	0	0	0	0	0
Precinct 7325 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7325 - None	0	0	0	0	904	0	0	0	0	0	0
Precinct 7326 - None	0	0	0	0	876	0	0	0	0	0	0
Precinct 7326 - None	0	0	0	0	876	0	0	0	0	0	0
Precinct 7327 - None	0	0	0	0	699	0	0	0	0	0	0
Precinct 7327 - None	0	0	0	0	699	0	0	0	0	0	0
Precinct 7328 - None	0	0	0	0	973	0	0	0	0	0	0
Precinct 7328 - None	0	0	0	0	973	0	0	0	0	0	0
Precinct 7329 - None	0	0	0	0	640	0	0	0	0	0	0
Precinct 7329 - None	0	0	0	0	640	0	0	0	0	0	0
Precinct 7331 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7331 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7332 - None	0	0	0	0	834	0	0	0	0	0	0
Precinct 7332 - None	0	0	0	0	834	0	0	0	0	0	0
Precinct 7333 - None	0	0	0	0	1,044	0	0	0	0	0	0
Precinct 7333 - None	0	0	0	0	1,044	0	0	0	0	0	0
Precinct 7334 - None	0	0	0	0	881	0	0	0	0	0	0
Precinct 7334 - None	0	0	0	0	881	0	0	0	0	0	0
Precinct 7335 - None	0	0	0	0	970	0	0	0	0	0	0
Precinct 7335 - None	0	0	0	0	970	0	0	0	0	0	0
Precinct 7336 - None	0	0	0	0	955	0	0	0	0	0	0
Precinct 7336 - None	0	0	0	0	955	0	0	0	0	0	0
Precinct 7337 - None	0	0	0	0	851	0	0	0	0	0	0
Precinct 7337 - None	0	0	0	0	851	0	0	0	0	0	0
Precinct 7338 - None	0	0	0	0	915	0	0	0	0	0	0
Precinct 7338 - None	0	0	0	0	915	0	0	0	0	0	0
Precinct 7339 - None	0	0	0	0	669	0	0	0	0	0	0
Precinct 7339 - None	0	0	0	0	669	0	0	0	0	0	0
Precinct 7341 - None	0	0	0	0	908	0	0	0	0	0	0
Precinct 7341 - None	0	0	0	0	908	0	0	0	0	0	0
Precinct 7342 - None	0	0	0	0	947	0	0	0	0	0	0
Precinct 7342 - None	0	0	0	0	947	0	0	0	0	0	0
Precinct 7343 - None	0	0	0	0	731	0	0	0	0	0	0
Precinct 7343 - None	0	0	0	0	731	0	0	0	0	0	0
Precinct 7344 - None	0	0	0	0	1,110	0	0	0	0	0	0
Precinct 7344 - None	0	0	0	0	1,110	0	0	0	0	0	0
Precinct 7345 - None	0	0	0	0	1,141	0	0	0	0	0	0
Precinct 7345 - None	0	0	0	0	1,141	0	0	0	0	0	0
Precinct 7346 - None	0	0	0	0	920	0	0	0	0	0	0
Precinct 7346 - None	0	0	0	0	920	0	0	0	0	0	0
Precinct 7347 - None	0	0	0	0	1,040	0	0	0	0	0	0
Precinct 7347 - None	0	0	0	0	1,040	0	0	0	0	0	0
Precinct 7348 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 7348 - None	0	0	0	0	861	0	0	0	0	0	0
Precinct 7349 - None	0	0	0	0	957	0	0	0	0	0	0
Precinct 7349 - None	0	0	0	0	957	0	0	0	0	0	0
Precinct 7501 - None	0	0	0	0	565	0	0	0	0	0	0
Precinct 7501 - None	0	0	0	0	565	0	0	0	0	0	0
Precinct 7502 - None	0	0	0	0	784	0	0	0	0	0	0
Precinct 7502 - None	0	0	0	0	784	0	0	0	0	0	0
Precinct 7503 - None	0	0	0	0	764	0	0	0	0	0	0
Precinct 7503 - None	0	0	0	0	764	0	0	0	0	0	0
Precinct 7504 - None	0	0	0	0	503	0	0	0	0	0	0
Precinct 7504 - None	0	0	0	0	503	0	0	0	0	0	0
Precinct 7505 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7505 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7506 - None	0	0	0	0	999	0	0	0	0	0	0
Precinct 7506 - None	0	0	0	0	999	0	0	0	0	0	0
Precinct 7507 - None	0	0	0	0	955	0	0	0	0	0	0
Precinct 7507 - None	0	0	0	0	955	0	0	0	0	0	0
Precinct 7508 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7508 - None	0	0	0	0	727	0	0	0	0	0	0
Precinct 7509/7511 - None	0	0	0	0	932	0	0	0	0	0	0
Precinct 7509/7511 - None	0	0	0	0	932	0	0	0	0	0	0
Precinct 7512 - None	0	0	0	0	612	0	0	0	0	0	0
Precinct 7512 - None	0	0	0	0	612	0	0	0	0	0	0
Precinct 7513 - None	0	0	0	0	818	0	0	0	0	0	0
Precinct 7513 - None	0	0	0	0	818	0	0	0	0	0	0
Precinct 7514 - None	0	0	0	0	874	0	0	0	0	0	0
Precinct 7514 - None	0	0	0	0	874	0	0	0	0	0	0
Precinct 7515 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7515 - None	0	0	0	0	869	0	0	0	0	0	0
Precinct 7516 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 7516 - None	0	0	0	0	922	0	0	0	0	0	0
Precinct 7517 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 7517 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 7518 - None	0	0	0	0	950	0	0	0	0	0	0
Precinct 7518 - None	0	0	0	0	950	0	0	0	0	0	0
Precinct 7519 - None	0	0	0	0	737	0	0	0	0	0	0
Precinct 7519 - None	0	0	0	0	737	0	0	0	0	0	0
Precinct 7521 - None	0	0	0	0	812	0	0	0	0	0	0
Precinct 7521 - None	0	0	0	0	812	0	0	0	0	0	0
Precinct 7522 - None	0	0	0	0	764	0	0	0	0	0	0
Precinct 7522 - None	0	0	0	0	764	0	0	0	0	0	0
Precinct 7523 - None	0	0	0	0	747	0	0	0	0	0	0
Precinct 7523 - None	0	0	0	0	747	0	0	0	0	0	0
Precinct 7524 - None	0	0	0	0	615	0	0	0	0	0	0
Precinct 7524 - None	0	0	0	0	615	0	0	0	0	0	0
Precinct 7525 - None	0	0	0	0	800	0	0	0	0	0	0
Precinct 7525 - None	0	0	0	0	800	0	0	0	0	0	0
Precinct 7526 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 7526 - None	0	0	0	0	1,011	0	0	0	0	0	0
Precinct 7527/7528 - None	0	0	0	0	725	0	0	0	0	0	0
Precinct 7527/7528 - None	0	0	0	0	725	0	0	0	0	0	0
Precinct 7529 - None	0	0	0	0	948	0	0	0	0	0	0
Precinct 7529 - None	0	0	0	0	948	0	0	0	0	0	0
Precinct 7531 - None	0	0	0	0	865	0	0	0	0	0	0
Precinct 7531 - None	0	0	0	0	865	0	0	0	0	0	0
Precinct 7532 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7532 - None	0	0	0	0	852	0	0	0	0	0	0
Precinct 7533 - None	0	0	0	0	1,015	0	0	0	0	0	0
Precinct 7533 - None	0	0	0	0	1,015	0	0	0	0	0	0
Precinct 7534 - None	0	0	0	0	936	0	0	0	0	0	0
Precinct 7534 - None	0	0	0	0	936	0	0	0	0	0	0
Precinct 7535 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7535 - None	0	0	0	0	767	0	0	0	0	0	0
Precinct 7536 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 7536 - None	0	0	0	0	863	0	0	0	0	0	0
Precinct 7537 - None	0	0	0	0	752	0	0	0	0	0	0
