Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7301 - None	0	0	1,016	0	0	0	0	0
Precinct 7302 - None	0	0	814	0	0	0	0	0
Precinct 7302 - None	0	0	814	0	0	0	0	0
Precinct 7303 - None	0	0	1,042	0	0	0	0	0
Precinct 7303 - None	0	0	1,042	0	0	0	0	0
Precinct 7304 - None	0	0	1,002	0	0	0	0	0
Precinct 7304 - None	0	0	1,002	0	0	0	0	0
Precinct 7305 - None	0	0	871	0	0	0	0	0
Precinct 7305 - None	0	0	871	0	0	0	0	0
Precinct 7306 - None	0	0	1,056	0	0	0	0	0
Precinct 7306 - None	0	0	1,056	0	0	0	0	0
Precinct 7307 - None	0	0	767	0	0	0	0	0
Precinct 7307 - None	0	0	767	0	0	0	0	0
Precinct 7308 - None	0	0	603	0	0	0	0	0
Precinct 7308 - None	0	0	603	0	0	0	0	0
Precinct 7309 - None	0	0	884	0	0	0	0	0
Precinct 7309 - None	0	0	884	0	0	0	0	0
Precinct 7311 - None	0	0	917	0	0	0	0	0
Precinct 7311 - None	0	0	917	0	0	0	0	0
Precinct 7312 - None	0	0	821	0	0	0	0	0
Precinct 7312 - None	0	0	821	0	0	0	0	0
Precinct 7313 - None	0	0	968	0	0	0	0	0
Precinct 7313 - None	0	0	968	0	0	0	0	0
Precinct 7314 - None	0	0	787	0	0	0	0	0
Precinct 7314 - None	0	0	787	0	0	0	0	0
Precinct 7315 - None	0	0	760	0	0	0	0	0
Precinct 7315 - None	0	0	760	0	0	0	0	0
Precinct 7316 - None	0	0	853	0	0	0	0	0
Precinct 7316 - None	0	0	853	0	0	0	0	0
Precinct 7317 - None	0	0	904	0	0	0	0	0
Precinct 7317 - None	0	0	904	0	0	0	0	0
Precinct 7318 - None	0	0	727	0	0	0	0	0
Precinct 7318 - None	0	0	727	0	0	0	0	0
Precinct 7319 - None	0	0	1,079	0	0	0	0	0
Precinct 7319 - None	0	0	1,079	0	0	0	0	0
Precinct 7321 - None	0	0	671	0	0	0	0	0
Precinct 7321 - None	0	0	671	0	0	0	0	0
Precinct 7322 - None	0	0	874	0	0	0	0	0
Precinct 7322 - None	0	0	874	0	0	0	0	0
Precinct 7323 - None	0	0	950	0	0	0	0	0
Precinct 7323 - None	0	0	950	0	0	0	0	0
Precinct 7324 - None	0	0	755	0	0	0	0	0
Precinct 7324 - None	0	0	755	0	0	0	0	0
Precinct 7325 - None	0	0	904	0	0	0	0	0
Precinct 7325 - None	0	0	904	0	0	0	0	0
Precinct 7326 - None	0	0	876	0	0	0	0	0
Precinct 7326 - None	0	0	876	0	0	0	0	0
Precinct 7327 - None	0	0	699	0	0	0	0	0
Precinct 7327 - None	0	0	699	0	0	0	0	0
Precinct 7328 - None	0	0	973	0	0	0	0	0
Precinct 7328 - None	0	0	973	0	0	0	0	0
Precinct 7329 - None	0	0	640	0	0	0	0	0
Precinct 7329 - None	0	0	640	0	0	0	0	0
Precinct 7331 - None	0	0	852	0	0	0	0	0
Precinct 7331 - None	0	0	852	0	0	0	0	0
Precinct 7332 - None	0	0	834	0	0	0	0	0
Precinct 7332 - None	0	0	834	0	0	0	0	0
Precinct 7333 - None	0	0	1,044	0	0	0	0	0
Precinct 7333 - None	0	0	1,044	0	0	0	0	0
Precinct 7334 - None	0	0	881	0	0	0	0	0
Precinct 7334 - None	0	0	881	0	0	0	0	0
Precinct 7335 - None	0	0	970	0	0	0	0	0
Precinct 7335 - None	0	0	970	0	0	0	0	0
Precinct 7336 - None	0	0	955	0	0	0	0	0
Precinct 7336 - None	0	0	955	0	0	0	0	0
Precinct 7337 - None	0	0	851	0	0	0	0	0
Precinct 7337 - None	0	0	851	0	0	0	0	0
Precinct 7338 - None	0	0	915	0	0	0	0	0
Precinct 7338 - None	0	0	915	0	0	0	0	0
Precinct 7339 - None	0	0	669	0	0	0	0	0
Precinct 7339 - None	0	0	669	0	0	0	0	0
Precinct 7341 - None	0	0	908	0	0	0	0	0
Precinct 7341 - None	0	0	908	0	0	0	0	0
Precinct 7342 - None	0	0	947	0	0	0	0	0
Precinct 7342 - None	0	0	947	0	0	0	0	0
Precinct 7343 - None	0	0	731	0	0	0	0	0
Precinct 7343 - None	0	0	731	0	0	0	0	0
Precinct 7344 - None	0	0	1,110	0	0	0	0	0
Precinct 7344 - None	0	0	1,110	0	0	0	0	0
Precinct 7345 - None	0	0	1,141	0	0	0	0	0
Precinct 7345 - None	0	0	1,141	0	0	0	0	0
Precinct 7346 - None	0	0	920	0	0	0	0	0
Precinct 7346 - None	0	0	920	0	0	0	0	0
Precinct 7347 - None	0	0	1,040	0	0	0	0	0
Precinct 7347 - None	0	0	1,040	0	0	0	0	0
Precinct 7348 - None	0	0	861	0	0	0	0	0
Precinct 7348 - None	0	0	861	0	0	0	0	0
Precinct 7349 - None	0	0	957	0	0	0	0	0
Precinct 7349 - None	0	0	957	0	0	0	0	0
Precinct 7501 - None	0	0	565	0	0	0	0	0
Precinct 7501 - None	0	0	565	0	0	0	0	0
Precinct 7502 - None	0	0	784	0	0	0	0	0
Precinct 7502 - None	0	0	784	0	0	0	0	0
Precinct 7503 - None	0	0	764	0	0	0	0	0
Precinct 7503 - None	0	0	764	0	0	0	0	0
Precinct 7504 - None	0	0	503	0	0	0	0	0
Precinct 7504 - None	0	0	503	0	0	0	0	0
Precinct 7505 - None	0	0	869	0	0	0	0	0
Precinct 7505 - None	0	0	869	0	0	0	0	0
Precinct 7506 - None	0	0	999	0	0	0	0	0
Precinct 7506 - None	0	0	999	0	0	0	0	0
Precinct 7507 - None	0	0	955	0	0	0	0	0
Precinct 7507 - None	0	0	955	0	0	0	0	0
Precinct 7508 - None	0	0	727	0	0	0	0	0
Precinct 7508 - None	0	0	727	0	0	0	0	0
Precinct 7509/7511 - None	0	0	932	0	0	0	0	0
Precinct 7509/7511 - None	0	0	932	0	0	0	0	0
Precinct 7512 - None	0	0	612	0	0	0	0	0
Precinct 7512 - None	0	0	612	0	0	0	0	0
Precinct 7513 - None	0	0	818	0	0	0	0	0
Precinct 7513 - None	0	0	818	0	0	0	0	0
Precinct 7514 - None	0	0	874	0	0	0	0	0
Precinct 7514 - None	0	0	874	0	0	0	0	0
Precinct 7515 - None	0	0	869	0	0	0	0	0
Precinct 7515 - None	0	0	869	0	0	0	0	0
Precinct 7516 - None	0	0	922	0	0	0	0	0
Precinct 7516 - None	0	0	922	0	0	0	0	0
Precinct 7517 - None	0	0	863	0	0	0	0	0
Precinct 7517 - None	0	0	863	0	0	0	0	0
Precinct 7518 - None	0	0	950	0	0	0	0	0
Precinct 7518 - None	0	0	950	0	0	0	0	0
Precinct 7519 - None	0	0	737	0	0	0	0	0
Precinct 7519 - None	0	0	737	0	0	0	0	0
Precinct 7521 - None	0	0	812	0	0	0	0	0
Precinct 7521 - None	0	0	812	0	0	0	0	0
Precinct 7522 - None	0	0	764	0	0	0	0	0
Precinct 7522 - None	0	0	764	0	0	0	0	0
Precinct 7523 - None	0	0	747	0	0	0	0	0
Precinct 7523 - None	0	0	747	0	0	0	0	0
Precinct 7524 - None	0	0	615	0	0	0	0	0
Precinct 7524 - None	0	0	615	0	0	0	0	0
Precinct 7525 - None	0	0	800	0	0	0	0	0
Precinct 7525 - None	0	0	800	0	0	0	0	0
Precinct 7526 - None	0	0	1,011	0	0	0	0	0
Precinct 7526 - None	0	0	1,011	0	0	0	0	0
Precinct 7527/7528 - None	0	0	725	0	0	0	0	0
Precinct 7527/7528 - None	0	0	725	0	0	0	0	0
Precinct 7529 - None	0	0	948	0	0	0	0	0
Precinct 7529 - None	0	0	948	0	0	0	0	0
Precinct 7531 - None	0	0	865	0	0	0	0	0
Precinct 7531 - None	0	0	865	0	0	0	0	0
Precinct 7532 - None	0	0	852	0	0	0	0	0
Precinct 7532 - None	0	0	852	0	0	0	0	0
Precinct 7533 - None	0	0	1,015	0	0	0	0	0
Precinct 7533 - None	0	0	1,015	0	0	0	0	0
Precinct 7534 - None	0	0	936	0	0	0	0	0
Precinct 7534 - None	0	0	936	0	0	0	0	0
Precinct 7535 - None	0	0	767	0	0	0	0	0
Precinct 7535 - None	0	0	767	0	0	0	0	0
Precinct 7536 - None	0	0	863	0	0	0	0	0
Precinct 7536 - None	0	0	863	0	0	0	0	0
Precinct 7537 - None	0	0	752	0	0	0	0	0
Precinct 7537 - None	0	0	752	0	0	0	0	0
Precinct 7538 - None	0	0	771	0	0	0	0	0
Precinct 7538 - None	0	0	771	0	0	0	0	0
Precinct 7539 - None	0	0	922	0	0	0	0	0
Precinct 7539 - None	0	0	922	0	0	0	0	0
Precinct 7541 - None	0	0	805	0	0	0	0	0
Precinct 7541 - None	0	0	805	0	0	0	0	0
Precinct 7542 - None	0	0	821	0	0	0	0	0
Precinct 7542 - None	0	0	821	0	0	0	0	0
Precinct 7543 - None	0	0	909	0	0	0	0	0
Precinct 7543 - None	0	0	909	0	0	0	0	0
Precinct 7544 - None	0	0	898	0	0	0	0	0
Precinct 7544 - None	0	0	898	0	0	0	0	0
Precinct 7545 - None	0	0	918	0	0	0	0	0
Precinct 7545 - None	0	0	918	0	0	0	0	0
Precinct 7546 - None	0	0	982	0	0	0	0	0
Precinct 7546 - None	0	0	982	0	0	0	0	0
Precinct 7547 - None	0	0	1,029	0	0	0	0	0
Precinct 7547 - None	0	0	1,029	0	0	0	0	0
Precinct 7548 - None	0	0	1,073	0	0	0	0	0
Precinct 7548 - None	0	0	1,073	0	0	0	0	0
Precinct 7549 - None	0	0	811	0	0	0	0	0
Precinct 7549 - None	0	0	811	0	0	0	0	0
Precinct 7551 - None	0	0	741	0	0	0	0	0
Precinct 7551 - None	0	0	741	0	0	0	0	0
Precinct 7552 - None	0	0	727	0	0	0	0	0
Precinct 7552 - None	0	0	727	0	0	0	0	0
Precinct 7553 MB - None	0	0	180	0	0	0	0	0
Precinct 7554 - None	0	0	808	0	0	0	0	0
Precinct 7554 - None	0	0	808	0	0	0	0	0
Precinct 7555 - None	0	0	886	0	0	0	0	0
Precinct 7555 - None	0	0	886	0	0	0	0	0
Precinct 7556/7557 - None	0	0	969	0	0	0	0	0
Precinct 7556/7557 - None	0	0	969	0	0	0	0	0
Precinct 7601 - None	0	0	767	0	0	0	0	0
Precinct 7601 - None	0	0	767	0	0	0	0	0
Precinct 7602 - None	0	0	901	0	0	0	0	0
Precinct 7602 - None	0	0	901	0	0	0	0	0
Precinct 7603 - None	0	0	830	0	0	0	0	0
Precinct 7603 - None	0	0	830	0	0	0	0	0
Precinct 7604 - None	0	0	954	0	0	0	0	0
Precinct 7604 - None	0	0	954	0	0	0	0	0
Precinct 7605 - None	0	0	648	0	0	0	0	0
Precinct 7605 - None	0	0	648	0	0	0	0	0
Precinct 7606 - None	0	0	924	0	0	0	0	0
Precinct 7606 - None	0	0	924	0	0	0	0	0
Precinct 7607 - None	0	0	960	0	0	0	0	0
Precinct 7607 - None	0	0	960	0	0	0	0	0
Precinct 7608 - None	0	0	392	0	0	0	0	0
Precinct 7608 - None	0	0	392	0	0	0	0	0
Precinct 7609 - None	0	0	926	0	0	0	0	0
Precinct 7609 - None	0	0	926	0	0	0	0	0
Precinct 7611 - None	0	0	755	0	0	0	0	0
Precinct 7611 - None	0	0	755	0	0	0	0	0
Precinct 7612 - None	0	0	583	0	0	0	0	0
Precinct 7612 - None	0	0	583	0	0	0	0	0
Precinct 7613 - None	0	0	908	0	0	0	0	0
Precinct 7613 - None	0	0	908	0	0	0	0	0
Precinct 7614 - None	0	0	1,029	0	0	0	0	0
Precinct 7614 - None	0	0	1,029	0	0	0	0	0
Precinct 7615 - None	0	0	762	0	0	0	0	0
Precinct 7615 - None	0	0	762	0	0	0	0	0
Precinct 7616 - None	0	0	1,203	0	0	0	0	0
Precinct 7616 - None	0	0	1,203	0	0	0	0	0
Precinct 7617 - None	0	0	768	0	0	0	0	0
Precinct 7617 - None	0	0	768	0	0	0	0	0
Precinct 7618 - None	0	0	862	0	0	0	0	0
Precinct 7618 - None	0	0	862	0	0	0	0	0
Precinct 7619 - None	0	0	1,063	0	0	0	0	0
Precinct 7619 - None	0	0	1,063	0	0	0	0	0
Precinct 7621 - None	0	0	1,320	0	0	0	0	0
Precinct 7621 - None	0	0	1,320	0	0	0	0	0
Precinct 7622 - None	0	0	988	0	0	0	0	0
Precinct 7622 - None	0	0	988	0	0	0	0	0
Precinct 7623 - None	0	0	746	0	0	0	0	0
Precinct 7623 - None	0	0	746	0	0	0	0	0
Precinct 7624 - None	0	0	859	0	0	0	0	0
Precinct 7624 - None	0	0	859	0	0	0	0	0
Precinct 7625 - None	0	0	822	0	0	0	0	0
Precinct 7625 - None	0	0	822	0	0	0	0	0
Precinct 7626 - None	0	0	1,114	0	0	0	0	0
Precinct 7626 - None	0	0	1,114	0	0	0	0	0
Precinct 7627 - None	0	0	1,187	0	0	0	0	0
Precinct 7627 - None	0	0	1,187	0	0	0	0	0
Precinct 7628 - None	0	0	960	0	0	0	0	0
Precinct 7628 - None	0	0	960	0	0	0	0	0
Precinct 7629 - None	0	0	809	0	0	0	0	0
Precinct 7629 - None	0	0	809	0	0	0	0	0
Precinct 7631 - None	0	0	1,155	0	0	0	0	0
Precinct 7631 - None	0	0	1,155	0	0	0	0	0
Precinct 7632 - None	0	0	1,124	0	0	0	0	0
