Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7305 - Election Day	0	0	871	0	0	0	0	0
Precinct 7305 - Vote By Mail	0	0	871	0	0	0	0	0
Precinct 7306 - Election Day	0	0	1,056	0	0	0	0	0
Precinct 7306 - Vote By Mail	0	0	1,056	0	0	0	0	0
Precinct 7307 - Election Day	0	0	767	0	0	0	0	0
Precinct 7307 - Vote By Mail	0	0	767	0	0	0	0	0
Precinct 7308 - Election Day	0	0	603	0	0	0	0	0
Precinct 7308 - Vote By Mail	0	0	603	0	0	0	0	0
Precinct 7309 - Election Day	0	0	884	0	0	0	0	0
Precinct 7309 - Vote By Mail	0	0	884	0	0	0	0	0
Precinct 7311 - Election Day	0	0	917	0	0	0	0	0
Precinct 7311 - Vote By Mail	0	0	917	0	0	0	0	0
Precinct 7312 - Election Day	0	0	821	0	0	0	0	0
Precinct 7312 - Vote By Mail	0	0	821	0	0	0	0	0
Precinct 7313 - Election Day	0	0	968	0	0	0	0	0
Precinct 7313 - Vote By Mail	0	0	968	0	0	0	0	0
Precinct 7314 - Election Day	0	0	787	0	0	0	0	0
Precinct 7314 - Vote By Mail	0	0	787	0	0	0	0	0
Precinct 7315 - Election Day	0	0	760	0	0	0	0	0
Precinct 7315 - Vote By Mail	0	0	760	0	0	0	0	0
Precinct 7316 - Election Day	0	0	853	0	0	0	0	0
Precinct 7316 - Vote By Mail	0	0	853	0	0	0	0	0
Precinct 7317 - Election Day	0	0	904	0	0	0	0	0
Precinct 7317 - Vote By Mail	0	0	904	0	0	0	0	0
Precinct 7318 - Election Day	0	0	727	0	0	0	0	0
Precinct 7318 - Vote By Mail	0	0	727	0	0	0	0	0
Precinct 7319 - Election Day	0	0	1,079	0	0	0	0	0
Precinct 7319 - Vote By Mail	0	0	1,079	0	0	0	0	0
Precinct 7321 - Election Day	0	0	671	0	0	0	0	0
Precinct 7321 - Vote By Mail	0	0	671	0	0	0	0	0
Precinct 7322 - Election Day	0	0	874	0	0	0	0	0
Precinct 7322 - Vote By Mail	0	0	874	0	0	0	0	0
Precinct 7323 - Election Day	0	0	950	0	0	0	0	0
Precinct 7323 - Vote By Mail	0	0	950	0	0	0	0	0
Precinct 7324 - Election Day	0	0	755	0	0	0	0	0
Precinct 7324 - Vote By Mail	0	0	755	0	0	0	0	0
Precinct 7325 - Election Day	0	0	904	0	0	0	0	0
Precinct 7325 - Vote By Mail	0	0	904	0	0	0	0	0
Precinct 7326 - Election Day	0	0	876	0	0	0	0	0
Precinct 7326 - Vote By Mail	0	0	876	0	0	0	0	0
Precinct 7327 - Election Day	0	0	699	0	0	0	0	0
Precinct 7327 - Vote By Mail	0	0	699	0	0	0	0	0
Precinct 7328 - Election Day	0	0	973	0	0	0	0	0
Precinct 7328 - Vote By Mail	0	0	973	0	0	0	0	0
Precinct 7329 - Election Day	0	0	640	0	0	0	0	0
Precinct 7329 - Vote By Mail	0	0	640	0	0	0	0	0
Precinct 7331 - Election Day	0	0	852	0	0	0	0	0
Precinct 7331 - Vote By Mail	0	0	852	0	0	0	0	0
Precinct 7332 - Election Day	0	0	834	0	0	0	0	0
Precinct 7332 - Vote By Mail	0	0	834	0	0	0	0	0
Precinct 7333 - Election Day	0	0	1,044	0	0	0	0	0
Precinct 7333 - Vote By Mail	0	0	1,044	0	0	0	0	0
Precinct 7334 - Election Day	0	0	881	0	0	0	0	0
Precinct 7334 - Vote By Mail	0	0	881	0	0	0	0	0
Precinct 7335 - Election Day	0	0	970	0	0	0	0	0
