Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9148 - None	0	0	1,034	0	0	0	0	0
Precinct 9148 - None	0	0	1,034	0	0	0	0	0
Precinct 9149 - None	0	0	948	0	0	0	0	0
Precinct 9149 - None	0	0	948	0	0	0	0	0
Precinct 9151 - None	0	0	872	0	0	0	0	0
Precinct 9151 - None	0	0	872	0	0	0	0	0
Precinct 9152 - None	0	0	721	0	0	0	0	0
Precinct 9152 - None	0	0	721	0	0	0	0	0
Precinct 9201 - None	0	0	1,004	0	0	0	0	0
Precinct 9201 - None	0	0	1,004	0	0	0	0	0
Precinct 9202 - None	0	0	971	0	0	0	0	0
Precinct 9202 - None	0	0	971	0	0	0	0	0
Precinct 9203 - None	0	0	1,002	0	0	0	0	0
Precinct 9203 - None	0	0	1,002	0	0	0	0	0
Precinct 9204 - None	0	0	873	0	0	0	0	0
Precinct 9204 - None	0	0	873	0	0	0	0	0
Precinct 9205 - None	0	0	728	0	0	0	0	0
Precinct 9205 - None	0	0	728	0	0	0	0	0
Precinct 9206 - None	0	0	931	0	0	0	0	0
Precinct 9206 - None	0	0	931	0	0	0	0	0
Precinct 9207 - None	0	0	981	0	0	0	0	0
Precinct 9207 - None	0	0	981	0	0	0	0	0
Precinct 9208 - None	0	0	1,002	0	0	0	0	0
Precinct 9208 - None	0	0	1,002	0	0	0	0	0
Precinct 9209 - None	0	0	711	0	0	0	0	0
Precinct 9209 - None	0	0	711	0	0	0	0	0
Precinct 9211 - None	0	0	889	0	0	0	0	0
Precinct 9211 - None	0	0	889	0	0	0	0	0
Precinct 9212 - None	0	0	803	0	0	0	0	0
Precinct 9212 - None	0	0	803	0	0	0	0	0
Precinct 9213 - None	0	0	951	0	0	0	0	0
Precinct 9213 - None	0	0	951	0	0	0	0	0
Precinct 9214 - None	0	0	640	0	0	0	0	0
Precinct 9214 - None	0	0	640	0	0	0	0	0
Precinct 9215 - None	0	0	652	0	0	0	0	0
Precinct 9215 - None	0	0	652	0	0	0	0	0
Precinct 9216 - None	0	0	845	0	0	0	0	0
Precinct 9216 - None	0	0	845	0	0	0	0	0
Precinct 9217 - None	0	0	698	0	0	0	0	0
Precinct 9217 - None	0	0	698	0	0	0	0	0
Precinct 9218 - None	0	0	841	0	0	0	0	0
Precinct 9218 - None	0	0	841	0	0	0	0	0
Precinct 9219 - None	0	0	802	0	0	0	0	0
Precinct 9219 - None	0	0	802	0	0	0	0	0
Precinct 9221 - None	0	0	651	0	0	0	0	0
Precinct 9221 - None	0	0	651	0	0	0	0	0
Precinct 9222 - None	0	0	883	0	0	0	0	0
Precinct 9222 - None	0	0	883	0	0	0	0	0
Precinct 9223 - None	0	0	638	0	0	0	0	0
Precinct 9223 - None	0	0	638	0	0	0	0	0
Precinct 9224 - None	0	0	960	0	0	0	0	0
Precinct 9224 - None	0	0	960	0	0	0	0	0
Precinct 9225 - None	0	0	958	0	0	0	0	0
Precinct 9225 - None	0	0	958	0	0	0	0	0
Precinct 9226 - None	0	0	926	0	0	0	0	0
Precinct 9226 - None	0	0	926	0	0	0	0	0
Precinct 9227 - None	0	0	738	0	0	0	0	0
Precinct 9227 - None	0	0	738	0	0	0	0	0
Precinct 9228 - None	0	0	747	0	0	0	0	0
Precinct 9228 - None	0	0	747	0	0	0	0	0
Precinct 9229 - None	0	0	598	0	0	0	0	0
Precinct 9229 - None	0	0	598	0	0	0	0	0
Precinct 9231 - None	0	0	953	0	0	0	0	0
Precinct 9231 - None	0	0	953	0	0	0	0	0
Precinct 9232 - None	0	0	735	0	0	0	0	0
Precinct 9232 - None	0	0	735	0	0	0	0	0
Precinct 9233 - None	0	0	793	0	0	0	0	0
Precinct 9233 - None	0	0	793	0	0	0	0	0
Precinct 9234 - None	0	0	746	0	0	0	0	0
Precinct 9234 - None	0	0	746	0	0	0	0	0
Precinct 9235 - None	0	0	884	0	0	0	0	0
Precinct 9235 - None	0	0	884	0	0	0	0	0
Precinct 9236 - None	0	0	683	0	0	0	0	0
Precinct 9236 - None	0	0	683	0	0	0	0	0
Precinct 9237 - None	0	0	936	0	0	0	0	0
Precinct 9237 - None	0	0	936	0	0	0	0	0
Precinct 9238 - None	0	0	842	0	0	0	0	0
Precinct 9238 - None	0	0	842	0	0	0	0	0
Precinct 9239 - None	0	0	881	0	0	0	0	0
Precinct 9239 - None	0	0	881	0	0	0	0	0
Precinct 9241 - None	0	0	1,005	0	0	0	0	0
Precinct 9241 - None	0	0	1,005	0	0	0	0	0
Precinct 9242 - None	0	0	972	0	0	0	0	0
Precinct 9242 - None	0	0	972	0	0	0	0	0
Precinct 9243 - None	0	0	594	0	0	0	0	0
Precinct 9243 - None	0	0	594	0	0	0	0	0
Precinct 9244 - None	0	0	903	0	0	0	0	0
Precinct 9244 - None	0	0	903	0	0	0	0	0
Precinct 9245 - None	0	0	742	0	0	0	0	0
Precinct 9245 - None	0	0	742	0	0	0	0	0
Precinct 9246 - None	0	0	929	0	0	0	0	0
Precinct 9246 - None	0	0	929	0	0	0	0	0
Precinct 9247 - None	0	0	927	0	0	0	0	0
Precinct 9247 - None	0	0	927	0	0	0	0	0
Precinct 9248 - None	0	0	907	0	0	0	0	0
Precinct 9248 - None	0	0	907	0	0	0	0	0
Precinct 9249 - None	0	0	917	0	0	0	0	0
Precinct 9249 - None	0	0	917	0	0	0	0	0
Precinct 9251 - None	0	0	995	0	0	0	0	0
Precinct 9251 - None	0	0	995	0	0	0	0	0
Precinct 9252 - None	0	0	944	0	0	0	0	0
Precinct 9252 - None	0	0	944	0	0	0	0	0
Precinct 9253 - None	0	0	772	0	0	0	0	0
Precinct 9253 - None	0	0	772	0	0	0	0	0
Precinct 9254 - None	0	0	935	0	0	0	0	0
Precinct 9254 - None	0	0	935	0	0	0	0	0
Precinct 9255 - None	0	0	553	0	0	0	0	0
Precinct 9255 - None	0	0	553	0	0	0	0	0
Precinct 9256 - None	0	0	474	0	0	0	0	0
Precinct 9256 - None	0	0	474	0	0	0	0	0
Precinct 9257 MB - None	0	0	321	0	0	0	0	0
Precinct 9258 - None	0	0	712	0	0	0	0	0
Precinct 9258 - None	0	0	712	0	0	0	0	0
Precinct 9401 - None	0	0	1,012	0	0	0	0	0
Precinct 9401 - None	0	0	1,012	0	0	0	0	0
Precinct 9402 - None	0	0	977	0	0	0	0	0
Precinct 9402 - None	0	0	977	0	0	0	0	0
Precinct 9403 - None	0	0	897	0	0	0	0	0
Precinct 9403 - None	0	0	897	0	0	0	0	0
Precinct 9404 - None	0	0	930	0	0	0	0	0
Precinct 9404 - None	0	0	930	0	0	0	0	0
Precinct 9405 - None	0	0	786	0	0	0	0	0
Precinct 9405 - None	0	0	786	0	0	0	0	0
Precinct 9406 - None	0	0	868	0	0	0	0	0
Precinct 9406 - None	0	0	868	0	0	0	0	0
Precinct 9407 - None	0	0	889	0	0	0	0	0
Precinct 9407 - None	0	0	889	0	0	0	0	0
Precinct 9408 - None	0	0	886	0	0	0	0	0
Precinct 9408 - None	0	0	886	0	0	0	0	0
Precinct 9409 - None	0	0	590	0	0	0	0	0
Precinct 9409 - None	0	0	590	0	0	0	0	0
Precinct 9411 - None	0	0	956	0	0	0	0	0
Precinct 9411 - None	0	0	956	0	0	0	0	0
Precinct 9412 - None	0	0	848	0	0	0	0	0
Precinct 9412 - None	0	0	848	0	0	0	0	0
Precinct 9413 - None	0	0	894	0	0	0	0	0
Precinct 9413 - None	0	0	894	0	0	0	0	0
Precinct 9414 - None	0	0	916	0	0	0	0	0
Precinct 9414 - None	0	0	916	0	0	0	0	0
Precinct 9415 - None	0	0	784	0	0	0	0	0
Precinct 9415 - None	0	0	784	0	0	0	0	0
Precinct 9416 - None	0	0	1,008	0	0	0	0	0
Precinct 9416 - None	0	0	1,008	0	0	0	0	0
Precinct 9417 - None	0	0	752	0	0	0	0	0
Precinct 9417 - None	0	0	752	0	0	0	0	0
Precinct 9418 - None	0	0	790	0	0	0	0	0
Precinct 9418 - None	0	0	790	0	0	0	0	0
Precinct 9419 - None	0	0	924	0	0	0	0	0
Precinct 9419 - None	0	0	924	0	0	0	0	0
Precinct 9421 - None	0	0	906	0	0	0	0	0
Precinct 9421 - None	0	0	906	0	0	0	0	0
Precinct 9422 - None	0	0	1,056	0	0	0	0	0
Precinct 9422 - None	0	0	1,056	0	0	0	0	0
Precinct 9423 - None	0	0	889	0	0	0	0	0
Precinct 9423 - None	0	0	889	0	0	0	0	0
Precinct 9424 - None	0	0	952	0	0	0	0	0
Precinct 9424 - None	0	0	952	0	0	0	0	0
Precinct 9425 - None	0	0	933	0	0	0	0	0
Precinct 9425 - None	0	0	933	0	0	0	0	0
Precinct 9426 - None	0	0	823	0	0	0	0	0
Precinct 9426 - None	0	0	823	0	0	0	0	0
Precinct 9427 - None	0	0	948	0	0	0	0	0
Precinct 9427 - None	0	0	948	0	0	0	0	0
Precinct 9428 - None	0	0	961	0	0	0	0	0
Precinct 9428 - None	0	0	961	0	0	0	0	0
Precinct 9429 - None	0	0	899	0	0	0	0	0
Precinct 9429 - None	0	0	899	0	0	0	0	0
Precinct 9431 - None	0	0	973	0	0	0	0	0
Precinct 9431 - None	0	0	973	0	0	0	0	0
Precinct 9432 - None	0	0	945	0	0	0	0	0
Precinct 9432 - None	0	0	945	0	0	0	0	0
Precinct 9433 - None	0	0	945	0	0	0	0	0
Precinct 9433 - None	0	0	945	0	0	0	0	0
Precinct 9434 - None	0	0	979	0	0	0	0	0
Precinct 9434 - None	0	0	979	0	0	0	0	0
Precinct 9435 - None	0	0	969	0	0	0	0	0
Precinct 9435 - None	0	0	969	0	0	0	0	0
Precinct 9436 - None	0	0	1,006	0	0	0	0	0
Precinct 9436 - None	0	0	1,006	0	0	0	0	0
Precinct 9437 - None	0	0	897	0	0	0	0	0
Precinct 9437 - None	0	0	897	0	0	0	0	0
Precinct 9438 - None	0	0	948	0	0	0	0	0
Precinct 9438 - None	0	0	948	0	0	0	0	0
Precinct 9439 - None	0	0	879	0	0	0	0	0
Precinct 9439 - None	0	0	879	0	0	0	0	0
Precinct 9441 - None	0	0	980	0	0	0	0	0
Precinct 9441 - None	0	0	980	0	0	0	0	0
Precinct 9442 - None	0	0	1,008	0	0	0	0	0
Precinct 9442 - None	0	0	1,008	0	0	0	0	0
Precinct 9443 - None	0	0	937	0	0	0	0	0
Precinct 9443 - None	0	0	937	0	0	0	0	0
Precinct 9444 - None	0	0	937	0	0	0	0	0
Precinct 9444 - None	0	0	937	0	0	0	0	0
Precinct 9445 - None	0	0	981	0	0	0	0	0
Precinct 9445 - None	0	0	981	0	0	0	0	0
Precinct 9446 - None	0	0	1,090	0	0	0	0	0
Precinct 9446 - None	0	0	1,090	0	0	0	0	0
Precinct 9447 - None	0	0	906	0	0	0	0	0
Precinct 9447 - None	0	0	906	0	0	0	0	0
Precinct 9448 - None	0	0	909	0	0	0	0	0
Precinct 9448 - None	0	0	909	0	0	0	0	0
Precinct 9449 - None	0	0	830	0	0	0	0	0
Precinct 9449 - None	0	0	830	0	0	0	0	0
Precinct 9451 - None	0	0	420	0	0	0	0	0
Precinct 9451 - None	0	0	420	0	0	0	0	0
Precinct 9452 - None	0	0	840	0	0	0	0	0
Precinct 9452 - None	0	0	840	0	0	0	0	0
Precinct 9453 - None	0	0	500	0	0	0	0	0
Precinct 9453 - None	0	0	500	0	0	0	0	0
Precinct 9501 MB - None	0	0	148	0	0	0	0	0
Precinct 9502 MB - None	0	0	245	0	0	0	0	0
Precinct 9503/9504 - None	0	0	729	0	0	0	0	0
Precinct 9503/9504 - None	0	0	729	0	0	0	0	0
Precinct 9505 - None	0	0	784	0	0	0	0	0
Precinct 9505 - None	0	0	784	0	0	0	0	0
Precinct 9506 - None	0	0	766	0	0	0	0	0
Precinct 9506 - None	0	0	766	0	0	0	0	0
Precinct 9507 - None	0	0	766	0	0	0	0	0
Precinct 9507 - None	0	0	766	0	0	0	0	0
Precinct 9508 - None	0	0	798	0	0	0	0	0
Precinct 9508 - None	0	0	798	0	0	0	0	0
Precinct 9509 - None	0	0	759	0	0	0	0	0
Precinct 9509 - None	0	0	759	0	0	0	0	0
Precinct 9511 - None	0	0	622	0	0	0	0	0
Precinct 9511 - None	0	0	622	0	0	0	0	0
Precinct 9512 - None	0	0	809	0	0	0	0	0
Precinct 9512 - None	0	0	809	0	0	0	0	0
Precinct 9513 - None	0	0	902	0	0	0	0	0
Precinct 9513 - None	0	0	902	0	0	0	0	0
Precinct 9514/9522 - None	0	0	928	0	0	0	0	0
Precinct 9514/9522 - None	0	0	928	0	0	0	0	0
Precinct 9515 - None	0	0	705	0	0	0	0	0
Precinct 9515 - None	0	0	705	0	0	0	0	0
Precinct 9516 - None	0	0	866	0	0	0	0	0
Precinct 9516 - None	0	0	866	0	0	0	0	0
Precinct 9517 - None	0	0	801	0	0	0	0	0
Precinct 9517 - None	0	0	801	0	0	0	0	0
Precinct 9518 - None	0	0	802	0	0	0	0	0
Precinct 9518 - None	0	0	802	0	0	0	0	0
Precinct 9519 - None	0	0	910	0	0	0	0	0
Precinct 9519 - None	0	0	910	0	0	0	0	0
Precinct 9521 - None	0	0	939	0	0	0	0	0
Precinct 9521 - None	0	0	939	0	0	0	0	0
Precinct 9701 - None	0	0	671	0	0	0	0	0
Precinct 9701 - None	0	0	671	0	0	0	0	0
Precinct 9702 - None	0	0	723	0	0	0	0	0
Precinct 9702 - None	0	0	723	0	0	0	0	0
Precinct 9703 - None	0	0	986	0	0	0	0	0
Precinct 9703 - None	0	0	986	0	0	0	0	0
Precinct 9704 - None	0	0	950	0	0	0	0	0
Precinct 9704 - None	0	0	950	0	0	0	0	0
Precinct 9705 - None	0	0	919	0	0	0	0	0
Precinct 9705 - None	0	0	919	0	0	0	0	0
Precinct 9706 MB - None	0	0	49	0	0	0	0	0
