Subtotal Area	CYNTHIA MING-MEI LEE	ELIZABETH ZAREH	KWIXUAN H. MALOOF	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9507 - Vote By Mail	91	15	72	733	218	-2	1	41	178	0
Precinct 9508 - Election Day	66	13	68	784	180	0	0	32	148	1
Precinct 9508 - Vote By Mail	117	16	87	784	258	3	0	32	223	3
Precinct 9509 - Election Day	60	13	56	719	165	0	0	36	129	0
Precinct 9509 - Vote By Mail	104	12	70	719	239	-1	0	54	186	0
Precinct 9511 - Election Day	40	15	54	600	147	0	0	36	111	2
Precinct 9511 - Vote By Mail	72	9	65	600	177	2	1	28	146	0
Precinct 9512 - Election Day	55	14	62	771	161	0	0	30	131	0
Precinct 9512 - Vote By Mail	104	22	84	771	251	-5	0	45	211	1
Precinct 9513 - Election Day	70	23	55	864	200	0	0	50	150	2
Precinct 9513 - Vote By Mail	110	18	79	864	261	5	0	49	207	0
Precinct 9514/9522 - Election Day	103	18	57	869	229	0	1	49	179	1
Precinct 9514/9522 - Vote By Mail	119	18	57	869	257	1	1	61	194	0
Precinct 9515 - Election Day	69	14	44	685	159	0	0	32	127	0
Precinct 9515 - Vote By Mail	120	12	56	685	243	0	0	55	188	0
Precinct 9516 - Election Day	77	11	69	864	206	0	0	47	159	2
Precinct 9516 - Vote By Mail	153	18	55	864	269	1	0	42	226	0
Precinct 9517 - Election Day	70	23	60	768	197	0	0	43	154	1
Precinct 9517 - Vote By Mail	106	16	68	768	235	1	0	44	190	0
Precinct 9518 - Election Day	64	15	60	783	180	1	0	38	141	2
Precinct 9518 - Vote By Mail	119	13	70	783	242	0	0	40	202	0
Precinct 9519 - Election Day	103	9	52	850	217	0	0	53	164	0
Precinct 9519 - Vote By Mail	169	13	70	850	294	-1	0	42	253	1
Precinct 9521 - Election Day	111	17	73	893	254	0	0	50	204	3
Precinct 9521 - Vote By Mail	150	20	65	893	290	3	1	51	235	0
Precinct 9701 - Election Day	72	8	46	665	156	0	1	29	126	0
Precinct 9701 - Vote By Mail	125	16	50	665	235	0	0	43	192	1
Precinct 9702 - Election Day	76	9	62	710	194	0	0	45	149	2
Precinct 9702 - Vote By Mail	129	9	42	710	231	0	0	51	180	0
Precinct 9703 - Election Day	95	20	31	931	182	1	0	34	147	1
Precinct 9703 - Vote By Mail	233	22	53	931	373	1	1	62	309	1
Precinct 9704 - Election Day	96	14	39	942	191	0	0	42	149	0
Precinct 9704 - Vote By Mail	201	19	70	942	354	-1	0	64	291	1
Precinct 9705 - Election Day	112	9	46	879	208	1	0	38	169	2
Precinct 9705 - Vote By Mail	190	9	61	879	309	0	0	49	260	0
Precinct 9706 MB - Vote By Mail	15	1	8	51	32	0	0	8	24	0
Precinct 9707 - Election Day	61	12	19	799	121	0	0	27	94	2
Precinct 9707 - Vote By Mail	236	23	48	799	355	-4	0	52	307	0
Precinct 9708 - Election Day	84	15	46	919	193	1	0	47	145	0
Precinct 9708 - Vote By Mail	166	14	60	919	324	2	0	79	243	3
Precinct 9709 - Election Day	102	17	27	998	196	1	0	48	147	1
Precinct 9709 - Vote By Mail	225	19	38	998	355	1	1	71	282	0
Precinct 9711 - Election Day	81	16	33	625	167	0	0	35	132	2
Precinct 9711 - Vote By Mail	170	13	34	625	254	0	2	33	219	2
Precinct 9712 - Election Day	83	7	24	651	134	-1	1	19	115	1
Precinct 9712 - Vote By Mail	185	13	43	651	288	1	0	46	241	0
Precinct 9713 - Election Day	97	7	19	930	161	0	0	37	124	1
Precinct 9713 - Vote By Mail	233	21	54	930	362	1	0	51	310	2
Precinct 9714 - Election Day	93	6	21	911	154	0	0	34	120	0
Precinct 9714 - Vote By Mail	244	18	40	911	367	2	0	61	304	2
Precinct 9715 - Election Day	103	10	22	566	162	0	0	25	137	2
Precinct 9715 - Vote By Mail	153	14	17	566	218	1	0	33	184	0
Precinct 9716 - Election Day	83	16	54	928	198	-1	0	46	153	0
Precinct 9716 - Vote By Mail	234	27	49	928	368	4	0	54	310	0
Precinct 9717 - Election Day	94	28	38	967	206	-1	0	47	160	0
Precinct 9717 - Vote By Mail	226	29	55	967	371	6	0	55	310	0
Precinct 9718 - Election Day	105	20	32	843	183	-2	1	27	157	0
Precinct 9718 - Vote By Mail	252	24	57	843	385	3	0	48	334	1
Precinct 9719 - Election Day	101	12	32	863	186	0	0	41	145	0
Precinct 9719 - Vote By Mail	250	21	47	863	389	1	0	66	322	4
Precinct 9721 - Election Day	115	14	16	653	182	-1	0	36	147	2
Precinct 9721 - Vote By Mail	148	14	24	653	250	1	0	62	187	1
Precinct 9722 - Election Day	45	6	12	593	86	0	0	23	63	0
Precinct 9722 - Vote By Mail	178	24	33	593	269	-3	0	35	237	2
Precinct 9723 - Election Day	37	5	12	458	74	0	0	20	54	0
Precinct 9723 - Vote By Mail	140	13	13	458	198	1	0	30	167	1
Precinct 9724 - Election Day	80	11	19	950	144	0	0	34	110	0
Precinct 9724 - Vote By Mail	256	29	35	950	386	-1	0	67	320	0
Precinct 9725 - Election Day	60	10	21	941	118	-1	0	28	91	0
Precinct 9725 - Vote By Mail	224	17	42	941	350	0	0	66	284	1
Precinct 9726 - Election Day	42	8	17	685	83	0	0	16	67	0
Precinct 9726 - Vote By Mail	79	14	14	685	137	0	0	28	109	2
Precinct 9727 - Election Day	28	8	10	435	60	1	0	13	46	0
Precinct 9727 - Vote By Mail	149	13	17	435	205	2	0	24	179	0
Precinct 9728 - Election Day	123	16	28	906	204	0	0	37	167	0
Precinct 9728 - Vote By Mail	255	25	37	906	378	-2	0	61	319	2
Precinct 9729 - Election Day	101	5	24	782	161	1	0	30	130	0
Precinct 9729 - Vote By Mail	213	13	27	782	304	0	0	51	253	0
Precinct 9731 - Election Day	78	16	13	529	138	0	0	30	108	1
Precinct 9731 - Vote By Mail	122	15	19	529	189	0	1	32	156	0
Precinct 9732 MB - Vote By Mail	22	3	9	73	43	1	0	8	34	0
Precinct 9733 MB - Vote By Mail	87	7	25	224	146	0	0	27	119	0
Precinct 9734 - Election Day	86	12	6	577	122	0	0	17	105	1
Precinct 9734 - Vote By Mail	182	19	28	577	261	1	0	31	229	0
Precinct 9735 - Election Day	101	14	15	782	167	1	0	34	132	2
Precinct 9735 - Vote By Mail	228	28	38	782	344	0	0	49	295	1
Precinct 9736 - Election Day	79	9	22	699	145	0	0	33	112	2
Precinct 9736 - Vote By Mail	181	28	47	699	305	1	0	47	257	1
Precinct 9737 - Election Day	86	15	36	792	175	-1	0	39	137	0
Precinct 9737 - Vote By Mail	207	21	61	792	343	-3	0	55	291	2
Precinct 9738 - Election Day	42	9	22	830	99	0	0	26	73	0
Precinct 9738 - Vote By Mail	125	31	56	830	263	4	0	46	213	1
Precinct 9739 - Election Day	46	16	33	826	126	0	1	28	97	2
Precinct 9739 - Vote By Mail	76	18	52	826	193	-3	1	49	146	0
Precinct 9741 - Election Day	6	4	6	1,022	19	0	0	3	16	0
Precinct 9741 - Vote By Mail	13	2	6	1,022	24	0	0	3	21	0
Precinct 9742 - Election Day	85	9	20	647	134	0	0	20	114	0
Precinct 9742 - Vote By Mail	113	18	22	647	187	1	0	33	153	0
Precinct 9743 - Election Day	65	24	51	1,093	172	0	0	31	141	1
Precinct 9743 - Vote By Mail	170	41	60	1,093	317	2	0	44	271	0
Precinct 9744 - Election Day	62	23	34	902	141	0	0	22	119	0
Precinct 9744 - Vote By Mail	117	27	40	902	234	1	0	48	185	1
Precinct 9745 - Election Day	60	25	27	934	141	0	0	28	113	1
Precinct 9745 - Vote By Mail	98	34	43	934	205	-1	0	29	177	2
Precinct 9746 - Election Day	99	13	26	867	192	0	0	53	139	1
Precinct 9746 - Vote By Mail	199	16	53	867	334	2	0	63	269	1
Precinct 9747 - Election Day	106	17	46	940	198	0	0	28	170	1
Precinct 9747 - Vote By Mail	187	19	59	940	323	0	0	57	266	1
Precinct 9748 - Election Day	93	13	23	913	164	0	0	32	132	3
Precinct 9748 - Vote By Mail	194	27	57	913	342	3	0	61	278	0
Precinct 9749 - Election Day	53	15	39	893	143	-1	0	33	111	4
Precinct 9749 - Vote By Mail	156	14	56	893	266	0	1	37	228	2
Precinct 9751 - Election Day	77	18	37	977	157	-1	0	26	132	0
Precinct 9751 - Vote By Mail	227	31	52	977	384	2	0	71	311	1
Precinct 9752 - Election Day	68	10	31	692	143	0	0	33	110	1
Precinct 9752 - Vote By Mail	169	24	56	692	305	2	0	53	250	1
Precinct 9753 - Election Day	77	13	29	735	148	0	0	29	119	0
Precinct 9753 - Vote By Mail	136	34	53	735	266	-1	0	43	224	1
Precinct 9754 - Election Day	86	8	42	701	169	0	0	32	137	1
Precinct 9754 - Vote By Mail	169	28	62	701	296	1	0	35	260	1
Precinct 9755 - Election Day	59	9	34	553	120	-1	0	19	102	0
Precinct 9755 - Vote By Mail	111	15	47	553	201	0	0	27	174	1
Precinct 9756 - Election Day	65	14	22	908	126	-1	0	25	102	1
Precinct 9756 - Vote By Mail	176	32	39	908	297	6	0	44	247	0
Precinct 9801 - Election Day	32	8	18	399	76	0	0	18	58	0
Precinct 9801 - Vote By Mail	62	20	42	399	148	0	1	20	127	3
Congressional District 12	111,629	17,886	50,184	426,647	225,360	215	139	44,454	180,552	853
Congressional District 14	15,284	2,837	4,886	55,344	28,223	31	16	5,021	23,155	148
Assembly District 17	70,052	11,928	35,695	280,269	147,301	86	100	28,853	118,262	587
Assembly District 19	56,861	8,795	19,375	201,722	106,282	160	55	20,622	85,445	414
BART District 7	7,683	1,419	2,893	36,166	15,261	16	15	3,161	12,069	74
BART District 8	61,322	9,076	19,033	215,670	112,119	160	61	22,026	89,872	441
BART District 9	57,908	10,228	33,144	230,155	126,203	70	79	24,288	101,766	486
Supervisorial District 1	11,672	1,633	4,863	40,919	22,431	37	9	4,149	18,236	68
Supervisorial District 2	13,116	2,277	3,372	48,242	24,389	59	12	5,482	18,836	71
Supervisorial District 3	9,945	1,224	3,415	38,273	18,567	-2	17	3,907	14,645	61
Supervisorial District 4	12,319	1,483	3,833	41,216	21,994	23	9	4,235	17,727	92
Supervisorial District 5	12,543	2,362	7,718	52,114	28,694	27	14	5,932	22,721	98
Supervisorial District 6	8,470	1,575	3,716	41,151	17,498	3	21	3,630	13,844	83
Supervisorial District 7	14,939	1,986	4,396	46,301	26,230	34	15	4,756	21,425	104
Supervisorial District 8	17,340	2,558	9,123	56,415	36,015	-8	12	6,883	29,128	107
Supervisorial District 9	9,251	1,850	7,397	41,665	22,565	25	12	3,916	18,612	114
Supervisorial District 10	8,920	1,562	3,777	39,848	17,900	39	18	3,485	14,358	99
Supervisorial District 11	8,398	2,213	3,460	35,847	17,300	9	16	3,100	14,175	104
Bayview/Hunters Point	3,805	863	1,593	19,131	7,881	23	11	1,547	6,300	39
Chinatown	4,432	499	1,318	16,742	8,038	-5	12	1,767	6,264	15
Civic Center/Downtown	5,850	1,043	2,830	27,631	12,231	3	15	2,428	9,785	62
Diamond Heights	2,446	307	907	6,857	4,487	1	1	804	3,681	21
Excelsior	6,269	1,726	2,542	26,541	12,895	5	15	2,260	10,615	78
Haight Ashbury	3,648	593	2,423	14,552	8,410	10	2	1,719	6,679	15
Ingleside	2,673	590	1,134	11,506	5,461	8	3	1,017	4,433	36
Inner Sunset	2,611	342	1,373	9,393	5,438	8	4	1,085	4,341	15
Lake Merced	1,798	361	603	8,641	3,424	2	2	646	2,774	12
Laurel Heights/Anza Vista	2,501	404	1,105	9,744	5,037	6	3	1,007	4,021	11
Marina Pacific Heights	10,038	1,905	2,649	38,757	19,070	49	8	4,358	14,655	63
Mission	6,034	1,319	5,733	30,096	16,088	11	9	2,905	13,163	77
Noe Valley	5,169	730	2,602	16,415	10,584	-11	3	2,055	8,537	36
North Bernal Heights	2,269	323	1,944	8,622	5,494	0	1	937	4,556	20
North Embarcadero	1,939	243	616	6,827	3,580	6	0	762	2,812	14
Portola	2,332	452	835	8,914	4,445	3	5	793	3,644	25
Potrero Hill	3,989	468	1,862	15,511	7,917	5	4	1,565	6,343	24
Richmond	10,284	1,438	4,260	35,688	19,724	30	9	3,641	16,044	62
Sea Cliff/Presidio Heights	2,679	325	609	7,813	4,593	10	2	956	3,625	12
South of Bernal Heights	2,446	418	1,552	9,230	5,452	8	0	1,008	4,436	20
South of Market	5,042	864	1,952	23,278	10,026	-3	9	2,116	7,904	46
Sunset	12,163	1,469	3,746	40,651	21,684	21	9	4,184	17,470	92
Upper Market/Eureka Valley	5,976	827	2,963	18,424	12,111	5	3	2,311	9,792	26
Visitation Valley	1,789	316	455	7,867	3,226	9	5	614	2,598	38
West of Twin Peaks	12,122	1,489	3,327	33,960	20,797	29	11	3,740	17,017	79
Western Addition	6,609	1,409	4,137	29,200	15,490	13	9	3,250	12,218	63
