Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7039 - Election Day	68	33	768	111	-1	0	11	101
Precinct 7039 - Vote By Mail	136	65	768	225	1	0	23	201
Precinct 7041 MB - Vote By Mail	16	7	60	24	0	0	1	23
Precinct 7042 - Election Day	51	14	632	75	0	0	10	65
Precinct 7042 - Vote By Mail	92	66	632	191	2	0	31	158
Precinct 7043 - Election Day	51	28	915	97	1	0	17	79
Precinct 7043 - Vote By Mail	171	76	915	282	2	0	33	247
Precinct 7044 - Election Day	40	30	805	86	-1	0	17	70
Precinct 7044 - Vote By Mail	60	48	805	125	-1	0	18	108
Precinct 7045 - Election Day	49	22	763	87	-1	0	17	71
Precinct 7045 - Vote By Mail	169	84	763	282	1	0	28	253
Precinct 7046 - Election Day	30	19	385	54	0	0	5	49
Precinct 7046 - Vote By Mail	80	44	385	136	0	0	12	124
Precinct 7047 - Election Day	40	25	781	68	-1	0	4	65
Precinct 7047 - Vote By Mail	185	88	781	298	1	0	24	273
Precinct 7048 - Election Day	45	37	815	94	0	0	12	82
Precinct 7048 - Vote By Mail	129	88	815	248	-1	0	32	217
Precinct 7049 - Election Day	60	32	751	108	0	0	16	92
Precinct 7049 - Vote By Mail	144	60	751	241	0	0	37	204
Precinct 7051 - Election Day	40	20	839	70	-2	0	12	60
Precinct 7051 - Vote By Mail	196	71	839	302	2	0	33	267
Precinct 7052 - Election Day	68	38	806	120	-1	1	14	106
Precinct 7052 - Vote By Mail	176	78	806	278	2	0	22	254
Precinct 7053 - Election Day	23	14	548	44	0	0	7	37
Precinct 7053 - Vote By Mail	118	62	548	205	1	0	24	180
Precinct 7054 - Election Day	72	56	1,024	141	3	0	10	128
Precinct 7054 - Vote By Mail	146	108	1,024	275	1	0	20	254
Precinct 7055 - Election Day	39	31	699	83	-3	0	16	70
Precinct 7055 - Vote By Mail	161	70	699	256	-1	0	26	231
Precinct 7101 MB - Vote By Mail	58	12	141	83	0	0	13	70
Precinct 7201 - Election Day	85	43	900	147	2	0	17	128
Precinct 7201 - Vote By Mail	203	95	900	333	-1	0	36	298
Precinct 7202 - Election Day	75	47	830	138	0	0	16	122
Precinct 7202 - Vote By Mail	143	97	830	271	0	0	31	240
Precinct 7203 - Election Day	105	50	867	174	-1	0	20	155
Precinct 7203 - Vote By Mail	159	62	867	243	3	0	19	221
Precinct 7204 - Election Day	105	34	888	157	0	0	18	139
Precinct 7204 - Vote By Mail	235	81	888	340	-4	0	28	316
Precinct 7205 - Election Day	124	47	847	183	0	0	12	171
Precinct 7205 - Vote By Mail	197	90	847	309	3	0	19	287
Precinct 7206 - Election Day	54	28	375	88	0	0	6	82
Precinct 7206 - Vote By Mail	65	44	375	124	0	0	15	109
Precinct 7207 - Election Day	70	28	744	119	-1	0	22	98
Precinct 7207 - Vote By Mail	129	80	744	231	0	0	22	209
Precinct 7208 - Election Day	52	17	567	76	0	0	7	69
Precinct 7208 - Vote By Mail	117	70	567	206	0	0	19	187
Precinct 7209 - Election Day	41	23	586	69	0	0	5	64
Precinct 7209 - Vote By Mail	213	87	586	326	1	0	25	300
Precinct 7301 - Election Day	82	46	1,002	150	0	0	22	128
Precinct 7301 - Vote By Mail	167	97	1,002	299	2	0	33	264
Precinct 7302 - Election Day	69	32	806	121	0	0	20	101
Precinct 7302 - Vote By Mail	224	92	806	352	3	1	32	316
Precinct 7303 - Election Day	106	36	986	167	-2	0	27	142
Precinct 7303 - Vote By Mail	204	75	986	318	4	0	35	279
Precinct 7304 - Election Day	116	70	972	203	0	0	17	186
Precinct 7304 - Vote By Mail	204	85	972	330	2	0	39	289
Precinct 7305 - Election Day	108	47	851	171	-1	0	17	155
Precinct 7305 - Vote By Mail	184	96	851	306	1	0	25	280
Precinct 7306 - Election Day	106	51	1,014	179	0	0	22	157
Precinct 7306 - Vote By Mail	191	77	1,014	302	2	1	31	268
Precinct 7307 - Election Day	93	31	726	143	0	0	19	124
Precinct 7307 - Vote By Mail	147	50	726	226	5	0	24	197
Precinct 7308 - Election Day	82	35	598	133	0	0	16	117
Precinct 7308 - Vote By Mail	133	50	598	204	1	0	20	183
Precinct 7309 - Election Day	93	45	826	160	1	0	21	138
Precinct 7309 - Vote By Mail	131	56	826	209	2	0	20	187
Precinct 7311 - Election Day	114	45	901	175	0	0	16	159
Precinct 7311 - Vote By Mail	158	85	901	266	1	0	22	243
Precinct 7312 - Election Day	90	25	810	128	-1	0	14	115
Precinct 7312 - Vote By Mail	196	102	810	332	4	0	30	298
Precinct 7313 - Election Day	94	25	925	135	1	0	15	119
Precinct 7313 - Vote By Mail	196	88	925	315	-1	0	32	284
Precinct 7314 - Election Day	37	34	760	92	0	0	21	71
Precinct 7314 - Vote By Mail	128	36	760	213	0	0	49	164
Precinct 7315 - Election Day	89	13	725	119	0	0	17	102
Precinct 7315 - Vote By Mail	122	44	725	178	2	0	10	166
Precinct 7316 - Election Day	76	28	824	122	0	0	18	104
Precinct 7316 - Vote By Mail	172	62	824	266	0	0	32	234
Precinct 7317 - Election Day	81	28	886	117	0	0	8	109
Precinct 7317 - Vote By Mail	204	107	886	340	2	0	27	311
Precinct 7318 - Election Day	72	29	709	123	0	0	22	101
Precinct 7318 - Vote By Mail	144	67	709	243	-3	0	35	211
Precinct 7319 - Election Day	114	50	1,035	182	0	0	18	164
Precinct 7319 - Vote By Mail	176	86	1,035	296	0	0	34	262
Precinct 7321 - Election Day	51	30	644	100	0	0	19	81
Precinct 7321 - Vote By Mail	123	63	644	211	3	0	22	186
Precinct 7322 - Election Day	29	16	859	60	0	0	15	45
