Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7945 - None	6	11	4	64	897	118	0	0	32	86	1
Precinct 7945 - None	18	39	10	175	897	294	3	0	49	242	0
Precinct 7946 - None	8	26	10	66	909	134	1	0	21	112	2
Precinct 7946 - None	54	64	64	111	909	348	3	1	48	296	3
Precinct 7947 - None	10	27	13	50	894	128	-1	1	26	102	2
Precinct 7947 - None	44	50	82	86	894	327	-1	0	66	262	0
Precinct 7948 - None	14	29	12	75	900	165	0	0	33	132	2
Precinct 7948 - None	43	52	39	131	900	313	-2	0	50	265	0
Precinct 7949 - None	13	11	15	22	552	78	3	0	14	61	0
Precinct 7949 - None	31	33	47	74	552	224	0	0	39	185	0
Precinct 7951 - None	10	18	6	45	830	97	0	0	18	79	0
Precinct 7951 - None	49	44	75	128	830	341	0	0	44	297	1
Precinct 7952 - None	17	14	16	39	823	100	0	0	14	86	0
Precinct 7952 - None	30	44	70	104	823	288	-1	0	36	253	5
Precinct 7953 - None	9	22	10	40	795	103	-2	0	23	82	1
Precinct 7953 - None	53	45	46	100	795	294	0	1	47	246	2
Precinct 7955 - None	12	20	10	58	854	116	0	0	15	101	1
Precinct 7955 - None	48	42	54	116	854	320	0	0	58	262	2
Precinct 7956 - None	13	15	10	36	779	101	0	2	24	75	1
Precinct 7956 - None	40	42	45	81	779	247	3	0	33	211	3
Precinct 7957 - None	6	16	12	42	623	97	1	0	19	77	1
Precinct 7957 - None	26	28	19	109	623	217	0	0	33	184	2
Precinct 7958 MB - None	18	13	21	37	263	104	0	0	15	89	0
Precinct 7959 - None	2	27	5	41	695	110	0	0	33	77	2
Precinct 7959 - None	7	34	8	82	695	190	0	0	58	132	1
Precinct 9001 MB - None	7	17	16	47	257	101	2	0	12	87	0
Precinct 9101 - None	20	24	15	89	833	190	0	0	41	149	1
Precinct 9101 - None	50	56	37	125	833	323	0	2	49	272	4
Precinct 9102 - None	23	25	17	73	950	182	-1	0	44	139	1
Precinct 9102 - None	48	43	49	123	950	335	4	0	67	264	1
Precinct 9103 - None	16	18	20	85	924	174	0	0	33	141	2
Precinct 9103 - None	45	47	33	120	924	302	0	0	51	251	6
Precinct 9104 - None	17	29	16	63	937	176	0	0	49	127	2
Precinct 9104 - None	33	41	51	130	937	332	0	0	74	258	3
Precinct 9105 - None	16	32	13	75	888	191	1	0	53	137	1
Precinct 9105 - None	47	51	42	130	888	339	-1	1	67	272	2
Precinct 9106 - None	27	30	16	95	907	213	1	0	44	168	0
Precinct 9106 - None	46	45	19	149	907	334	4	0	70	260	1
Precinct 9107 - None	16	24	21	73	806	164	0	0	29	135	1
Precinct 9107 - None	36	31	32	96	806	246	1	0	49	196	1
Precinct 9108 - None	18	29	13	80	761	185	-1	0	41	145	5
