Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7707 - Vote By Mail	27	4	274	839	379	0	0	74	305	0
Precinct 7708 - Election Day	15	3	119	860	181	0	0	44	137	0
Precinct 7708 - Vote By Mail	30	6	308	860	400	0	1	55	344	0
Precinct 7709 - Election Day	4	6	53	383	85	0	0	22	63	0
Precinct 7709 - Vote By Mail	12	4	129	383	174	0	0	29	145	0
Precinct 7711 - Election Day	7	6	112	772	162	0	0	37	125	0
Precinct 7711 - Vote By Mail	24	13	245	772	344	0	0	62	282	0
Precinct 7712 - Election Day	7	6	92	524	131	0	0	26	105	0
Precinct 7712 - Vote By Mail	13	13	166	524	230	0	0	37	193	1
Precinct 7801 - Election Day	9	9	152	970	230	0	0	60	170	0
Precinct 7801 - Vote By Mail	30	5	308	970	424	0	0	81	343	0
Precinct 7802 - Election Day	3	5	146	762	205	0	0	51	154	0
Precinct 7802 - Vote By Mail	16	5	218	762	313	0	0	74	239	0
Precinct 7803 - Election Day	6	3	101	823	143	0	0	33	110	0
Precinct 7803 - Vote By Mail	19	9	295	823	412	0	0	89	323	0
Precinct 7804 - Election Day	5	6	173	891	236	0	0	51	185	1
Precinct 7804 - Vote By Mail	15	7	295	891	394	0	0	77	317	0
Precinct 7805 - Election Day	3	5	136	785	176	0	0	31	145	1
Precinct 7805 - Vote By Mail	20	11	250	785	348	0	0	67	281	0
Precinct 7806 - Election Day	1	6	112	699	163	0	0	44	119	0
Precinct 7806 - Vote By Mail	17	6	210	699	283	0	0	50	233	0
Precinct 7807 - Election Day	6	9	168	796	228	0	0	45	183	0
Precinct 7807 - Vote By Mail	7	5	204	796	273	0	0	56	217	1
Precinct 7808 - Election Day	1	5	134	655	178	0	0	38	140	0
Precinct 7808 - Vote By Mail	6	3	185	655	243	0	0	49	194	0
Precinct 7809 - Election Day	2	6	120	742	160	0	0	31	129	1
Precinct 7809 - Vote By Mail	7	8	206	742	267	0	0	46	221	0
Precinct 7811 - Election Day	5	7	135	726	186	0	0	39	147	0
Precinct 7811 - Vote By Mail	6	11	181	726	243	0	0	45	198	0
Precinct 7812 - Election Day	9	8	138	843	207	0	0	51	156	1
Precinct 7812 - Vote By Mail	10	16	214	843	292	0	0	49	243	3
Precinct 7813 - Election Day	5	12	174	988	251	0	0	58	193	2
Precinct 7813 - Vote By Mail	9	15	276	988	362	0	0	62	300	0
Precinct 7814 - Election Day	8	10	106	892	173	0	0	48	125	1
Precinct 7814 - Vote By Mail	8	13	169	892	223	0	1	31	191	1
Precinct 7815 - Election Day	8	5	128	914	178	0	0	37	141	0
Precinct 7815 - Vote By Mail	11	12	313	914	407	0	0	70	337	1
Precinct 7816 - Election Day	5	7	148	858	202	0	0	41	161	1
Precinct 7816 - Vote By Mail	8	6	286	858	390	0	0	90	300	0
Precinct 7817 - Election Day	4	11	156	795	215	0	0	44	171	0
Precinct 7817 - Vote By Mail	6	11	231	795	309	0	0	61	248	0
Precinct 7818 - Election Day	2	8	124	823	172	0	0	38	134	0
Precinct 7818 - Vote By Mail	6	10	256	823	335	0	0	63	272	0
Precinct 7819 - Election Day	7	8	118	760	169	0	0	36	133	0
Precinct 7819 - Vote By Mail	20	11	213	760	297	0	0	52	245	1
Precinct 7821 - Election Day	6	0	180	947	229	0	0	43	186	0
Precinct 7821 - Vote By Mail	22	6	322	947	439	0	0	89	350	0
Precinct 7822 - Election Day	8	8	172	927	244	0	1	55	188	0
Precinct 7822 - Vote By Mail	13	8	275	927	343	0	1	46	296	0
Precinct 7823 - Election Day	0	7	173	857	237	0	0	57	180	0
Precinct 7823 - Vote By Mail	14	12	259	857	347	0	0	62	285	0
Precinct 7824 - Election Day	5	9	105	756	170	0	0	50	120	1
Precinct 7824 - Vote By Mail	10	7	220	756	274	0	0	37	237	0
Precinct 7825 - Election Day	3	6	116	580	160	0	0	35	125	0
Precinct 7825 - Vote By Mail	7	5	170	580	215	0	0	33	182	0
Precinct 7826 - Election Day	5	8	145	665	214	0	0	54	160	2
Precinct 7826 - Vote By Mail	8	5	147	665	194	0	0	34	160	0
Precinct 7827 - Election Day	6	11	139	828	199	0	0	42	157	1
Precinct 7827 - Vote By Mail	15	13	185	828	252	0	0	37	215	2
Precinct 7828 - Election Day	8	8	130	976	205	0	0	59	146	0
Precinct 7828 - Vote By Mail	14	8	300	976	397	0	0	74	323	1
Precinct 7829 - Election Day	6	8	133	882	199	0	0	52	147	0
Precinct 7829 - Vote By Mail	22	8	290	882	391	0	1	70	320	0
Precinct 7831 - Election Day	7	6	148	828	202	0	0	41	161	0
Precinct 7831 - Vote By Mail	13	5	268	828	369	0	0	83	286	0
Precinct 7832 - Election Day	7	5	113	781	162	0	0	36	126	1
Precinct 7832 - Vote By Mail	16	5	266	781	343	0	0	56	287	0
Precinct 7833 - Election Day	5	4	131	745	182	0	0	42	140	0
Precinct 7833 - Vote By Mail	12	5	205	745	271	0	0	49	222	0
Precinct 7834 - Election Day	5	8	165	836	225	0	0	45	180	2
Precinct 7834 - Vote By Mail	2	9	225	836	288	0	0	52	236	0
Precinct 7835 - Election Day	11	2	118	808	175	0	0	42	133	2
Precinct 7835 - Vote By Mail	29	9	246	808	338	0	0	54	284	0
Precinct 7836 - Election Day	6	7	139	979	199	0	0	46	153	1
Precinct 7836 - Vote By Mail	23	10	316	979	421	0	0	72	349	0
Precinct 7837 - Election Day	8	6	169	883	237	0	0	53	184	1
Precinct 7837 - Vote By Mail	14	1	247	883	339	0	0	77	262	0
Precinct 7838 - Election Day	8	5	160	891	210	0	0	37	173	0
Precinct 7838 - Vote By Mail	15	7	312	891	413	0	0	78	335	1
Precinct 7839 - Election Day	5	5	104	830	172	0	0	58	114	0
Precinct 7839 - Vote By Mail	15	9	284	830	389	0	0	81	308	0
Precinct 7841 - Election Day	4	5	168	898	240	0	0	61	179	2
Precinct 7841 - Vote By Mail	12	11	265	898	353	0	0	64	289	1
Precinct 7842 - Election Day	10	9	153	873	214	0	0	42	172	0
Precinct 7842 - Vote By Mail	21	7	216	873	308	0	0	64	244	0
Precinct 7843 - Election Day	4	12	124	751	182	0	0	42	140	0
Precinct 7843 - Vote By Mail	12	8	201	751	267	0	0	46	221	0
Precinct 7844 - Election Day	8	1	113	635	160	0	0	38	122	0
Precinct 7844 - Vote By Mail	6	7	194	635	245	0	0	37	208	1
Precinct 7845 - Election Day	8	6	136	803	202	0	0	52	150	0
Precinct 7845 - Vote By Mail	9	3	240	803	314	0	0	61	253	1
Precinct 7846 - Election Day	12	3	143	871	221	0	1	61	159	1
Precinct 7846 - Vote By Mail	21	2	240	871	330	0	0	67	263	0
Precinct 7847 - Election Day	9	4	148	878	207	0	0	46	161	0
Precinct 7847 - Vote By Mail	13	4	255	878	358	0	0	86	272	0
Precinct 7848 - Election Day	9	2	142	838	209	0	0	55	154	1
Precinct 7848 - Vote By Mail	12	10	262	838	346	0	0	62	284	0
Precinct 7849 - Election Day	14	12	151	904	237	0	0	60	177	0
Precinct 7849 - Vote By Mail	18	9	263	904	353	0	0	63	290	0
Precinct 7851 - Election Day	11	3	77	493	118	0	0	26	92	1
Precinct 7851 - Vote By Mail	14	4	150	493	204	0	0	36	168	0
Precinct 7852 - Election Day	8	1	74	634	104	0	0	21	83	0
Precinct 7852 - Vote By Mail	29	5	224	634	303	0	0	45	258	0
Precinct 7853 - Election Day	9	5	122	837	180	0	0	43	137	1
Precinct 7853 - Vote By Mail	13	6	246	837	333	0	0	68	265	0
Precinct 7854 - Election Day	8	7	152	874	216	0	0	49	167	0
Precinct 7854 - Vote By Mail	14	13	251	874	346	0	0	68	278	0
Precinct 7855 - Election Day	7	8	179	949	259	0	0	65	194	0
Precinct 7855 - Vote By Mail	23	14	246	949	359	0	0	76	283	0
Precinct 7856 - Election Day	4	5	141	790	204	0	0	54	150	0
Precinct 7856 - Vote By Mail	13	6	235	790	312	0	0	57	255	1
Precinct 7857 - Election Day	2	4	160	913	226	0	0	60	166	0
Precinct 7857 - Vote By Mail	16	15	242	913	350	0	0	76	274	1
Precinct 7858 - Election Day	6	10	130	743	192	0	0	46	146	0
Precinct 7858 - Vote By Mail	7	10	187	743	252	0	0	48	204	0
Precinct 7859 - Election Day	8	5	161	879	219	0	0	45	174	0
Precinct 7859 - Vote By Mail	21	10	249	879	352	0	0	72	280	0
Precinct 7861 - Election Day	10	6	132	835	184	0	0	36	148	0
Precinct 7861 - Vote By Mail	22	8	277	835	367	0	0	60	307	0
Precinct 7862 - Election Day	10	8	172	850	237	0	0	47	190	0
Precinct 7862 - Vote By Mail	17	8	235	850	323	0	0	63	260	0
Precinct 7863 - Election Day	7	12	167	870	237	0	0	50	187	1
Precinct 7863 - Vote By Mail	12	9	237	870	302	0	0	43	259	1
Precinct 7864 - Election Day	7	9	135	773	188	0	0	37	151	0
Precinct 7864 - Vote By Mail	21	8	201	773	284	0	1	53	230	0
Precinct 7865 - Election Day	10	10	124	808	178	0	0	34	144	0
Precinct 7865 - Vote By Mail	16	6	225	808	310	0	0	63	247	0
Precinct 7866 - Election Day	13	4	124	816	184	0	0	41	143	2
Precinct 7866 - Vote By Mail	34	6	273	816	389	0	1	75	313	0
Precinct 7867 - Election Day	15	6	141	932	209	0	0	46	163	1
Precinct 7867 - Vote By Mail	14	15	289	932	385	0	0	66	319	1
Precinct 7868 - Election Day	6	12	154	860	218	0	0	46	172	0
Precinct 7868 - Vote By Mail	15	8	245	860	324	0	0	56	268	0
Precinct 7869 - Election Day	11	5	149	842	219	0	1	53	165	0
Precinct 7869 - Vote By Mail	21	9	283	842	376	0	0	62	314	1
Precinct 7871 - Election Day	8	7	170	882	240	0	0	55	185	0
Precinct 7871 - Vote By Mail	11	5	277	882	364	0	0	70	294	1
Precinct 7872 - Election Day	7	8	173	864	242	0	0	53	189	1
Precinct 7872 - Vote By Mail	11	9	268	864	369	0	0	81	288	0
Precinct 7873 - Election Day	5	4	155	841	231	0	0	66	165	1
Precinct 7873 - Vote By Mail	19	8	298	841	387	0	0	62	325	0
Precinct 7874 - Election Day	8	3	56	453	85	0	0	18	67	0
Precinct 7874 - Vote By Mail	5	6	129	453	174	0	0	33	141	1
Precinct 7875 - Election Day	8	9	81	615	127	0	0	28	99	1
Precinct 7875 - Vote By Mail	13	10	145	615	203	0	0	35	168	0
Precinct 7876 - Election Day	6	5	66	491	101	0	0	24	77	0
Precinct 7876 - Vote By Mail	4	5	104	491	148	0	0	35	113	0
Precinct 7901 - Election Day	4	10	48	466	87	0	0	24	63	1
Precinct 7901 - Vote By Mail	4	7	90	466	133	0	0	32	101	0
Precinct 7902 - Election Day	5	5	127	921	188	0	0	51	137	0
Precinct 7902 - Vote By Mail	14	10	179	921	259	0	0	55	204	1
Precinct 7903 - Election Day	5	12	82	819	144	0	0	44	100	1
Precinct 7903 - Vote By Mail	14	13	171	819	244	0	1	45	198	0
Precinct 7904 - Election Day	8	4	98	846	137	0	0	27	110	0
Precinct 7904 - Vote By Mail	13	15	177	846	248	0	0	42	206	1
Precinct 7905 - Election Day	5	14	129	821	199	0	0	51	148	0
Precinct 7905 - Vote By Mail	13	12	200	821	275	0	0	50	225	0
Precinct 7906 - Election Day	6	9	111	769	164	0	0	37	127	1
Precinct 7906 - Vote By Mail	7	5	169	769	214	0	0	33	181	0
Precinct 7907 - Election Day	4	11	142	926	201	0	0	44	157	0
Precinct 7907 - Vote By Mail	6	5	226	926	286	0	0	49	237	0
Precinct 7908 - Election Day	9	12	125	936	191	0	0	44	147	1
Precinct 7908 - Vote By Mail	14	9	187	936	267	0	0	57	210	0
Precinct 7909 - Election Day	4	15	132	726	190	0	0	39	151	0
Precinct 7909 - Vote By Mail	3	6	182	726	221	0	0	30	191	0
Precinct 7911 - Election Day	4	6	139	849	192	0	0	39	153	4
Precinct 7911 - Vote By Mail	9	10	195	849	250	0	0	34	216	2
Precinct 7912 - Election Day	3	11	149	1,036	215	0	0	51	164	1
Precinct 7912 - Vote By Mail	8	13	233	1,036	314	0	0	59	255	1
Precinct 7913 - Election Day	8	17	161	887	240	0	0	54	186	0
Precinct 7913 - Vote By Mail	7	7	190	887	244	0	0	40	204	0
Precinct 7914 - Election Day	5	13	144	833	208	0	0	45	163	1
Precinct 7914 - Vote By Mail	10	11	192	833	253	0	2	38	213	0
Precinct 7915 - Election Day	12	5	145	802	213	0	1	50	162	0
Precinct 7915 - Vote By Mail	3	7	171	802	222	0	0	41	181	0
Precinct 7916 - Election Day	5	10	158	887	215	0	0	42	173	0
Precinct 7916 - Vote By Mail	11	12	226	887	289	0	0	40	249	0
Precinct 7917 - Election Day	9	22	165	983	254	0	0	56	198	2
Precinct 7917 - Vote By Mail	5	19	224	983	287	0	0	37	250	2
Precinct 7918 - Election Day	4	12	131	790	191	0	0	42	149	2
Precinct 7918 - Vote By Mail	6	4	189	790	234	0	0	34	200	1
Precinct 7919 - Election Day	5	17	147	857	217	0	0	46	171	2
Precinct 7919 - Vote By Mail	12	10	176	857	241	0	0	43	198	0
Precinct 7921 - Election Day	2	19	90	883	151	0	0	36	115	4
Precinct 7921 - Vote By Mail	14	17	135	883	210	0	0	44	166	0
Precinct 7922 - Election Day	3	8	133	797	182	0	0	38	144	0
Precinct 7922 - Vote By Mail	12	11	186	797	241	0	0	32	209	0
Precinct 7923 - Election Day	3	10	135	863	202	0	0	53	149	1
Precinct 7923 - Vote By Mail	12	10	174	863	241	0	0	45	196	0
Precinct 7924 - Election Day	3	13	118	806	172	0	0	37	135	1
Precinct 7924 - Vote By Mail	18	15	174	806	247	0	0	40	207	0
Precinct 7925 - Election Day	2	3	79	570	114	0	0	29	85	1
Precinct 7925 - Vote By Mail	6	13	143	570	191	0	0	29	162	0
Precinct 7926 - Election Day	0	9	126	768	177	0	0	40	137	2
Precinct 7926 - Vote By Mail	18	17	209	768	296	0	0	51	245	1
Precinct 7927 - Election Day	3	10	130	733	187	0	0	42	145	2
Precinct 7927 - Vote By Mail	4	12	220	733	289	0	0	53	236	0
Precinct 7928 - Election Day	7	10	180	899	253	0	1	55	197	0
Precinct 7928 - Vote By Mail	7	15	227	899	297	0	0	48	249	0
Precinct 7929 - Election Day	3	2	153	840	200	0	0	42	158	0
Precinct 7929 - Vote By Mail	7	7	270	840	367	0	0	83	284	0
Precinct 7931 - Election Day	2	3	147	732	189	0	0	36	153	1
Precinct 7931 - Vote By Mail	5	8	244	732	317	0	1	59	257	0
Precinct 7932 - Election Day	3	3	83	551	112	0	0	23	89	0
Precinct 7932 - Vote By Mail	7	5	166	551	225	0	0	47	178	0
Precinct 7933 MB - Vote By Mail	0	0	3	8	4	0	0	1	3	0
Precinct 7934 - Election Day	5	10	141	885	195	0	0	39	156	0
Precinct 7934 - Vote By Mail	4	10	243	885	328	0	0	68	260	3
Precinct 7935 - Election Day	9	11	200	938	283	0	0	63	220	0
Precinct 7935 - Vote By Mail	11	6	285	938	370	0	0	68	302	0
Precinct 7936 - Election Day	4	10	177	832	246	0	0	53	193	2
Precinct 7936 - Vote By Mail	11	14	240	832	326	0	0	58	268	3
Precinct 7937 - Election Day	6	8	156	874	223	0	0	53	170	0
Precinct 7937 - Vote By Mail	12	7	242	874	309	0	0	48	261	0
Precinct 7938 - Election Day	6	8	98	774	162	0	1	49	112	0
Precinct 7938 - Vote By Mail	9	12	184	774	247	0	0	42	205	0
Precinct 7939 - Election Day	5	7	135	667	186	0	0	39	147	0
Precinct 7939 - Vote By Mail	12	5	164	667	230	0	1	48	181	0
Precinct 7941 - Election Day	8	3	120	728	167	0	0	35	132	1
Precinct 7941 - Vote By Mail	6	10	183	728	236	0	0	37	199	0
Precinct 7942 - Election Day	8	11	101	893	166	0	0	45	121	1
Precinct 7942 - Vote By Mail	6	9	215	893	286	0	0	54	232	2
Precinct 7943 - Election Day	14	9	120	887	192	0	0	49	143	0
Precinct 7943 - Vote By Mail	22	25	223	887	319	0	1	48	270	0
Precinct 7944 - Election Day	2	12	148	769	201	0	0	39	162	0
Precinct 7944 - Vote By Mail	12	6	183	769	235	0	0	34	201	0
Precinct 7945 - Election Day	4	7	76	897	118	0	0	31	87	0
Precinct 7945 - Vote By Mail	13	9	219	897	294	0	0	53	241	0
Precinct 7946 - Election Day	10	10	94	909	134	0	0	20	114	0
Precinct 7946 - Vote By Mail	30	5	239	909	348	0	0	72	276	2
Precinct 7947 - Election Day	7	12	71	894	128	0	0	36	92	2
Precinct 7947 - Vote By Mail	30	16	203	894	327	0	0	78	249	0
Precinct 7948 - Election Day	12	8	106	900	165	0	1	38	126	0
Precinct 7948 - Vote By Mail	28	18	204	900	313	0	0	63	250	0
Precinct 7949 - Election Day	8	5	52	552	78	0	0	13	65	0
Precinct 7949 - Vote By Mail	18	8	155	552	224	0	0	43	181	0
Precinct 7951 - Election Day	8	7	58	830	97	0	0	24	73	0
Precinct 7951 - Vote By Mail	39	16	219	830	341	0	0	66	275	1
Precinct 7952 - Election Day	9	9	56	823	100	0	0	25	75	1
Precinct 7952 - Vote By Mail	16	21	196	823	288	0	1	54	233	0
Precinct 7953 - Election Day	6	8	62	795	103	0	0	27	76	0
Precinct 7953 - Vote By Mail	45	11	185	795	294	0	0	53	241	0
Precinct 7955 - Election Day	12	5	70	854	116	0	0	28	88	1
Precinct 7955 - Vote By Mail	30	15	194	854	320	0	0	81	239	0
Precinct 7956 - Election Day	11	2	57	779	101	0	0	30	71	1
Precinct 7956 - Vote By Mail	33	14	157	779	247	0	0	43	204	0
Precinct 7957 - Election Day	6	6	62	623	97	0	0	23	74	0
Precinct 7957 - Vote By Mail	16	8	143	623	217	0	0	49	168	1
Precinct 7958 MB - Vote By Mail	13	8	64	263	104	0	0	18	86	1
Precinct 7959 - Election Day	1	13	70	695	110	0	0	26	84	0
Precinct 7959 - Vote By Mail	4	8	140	695	190	0	0	37	153	1
Precinct 9001 MB - Vote By Mail	3	4	73	257	101	0	0	21	80	0
Precinct 9101 - Election Day	20	7	116	833	190	0	0	45	145	2
Precinct 9101 - Vote By Mail	35	11	217	833	323	0	0	60	263	0
Precinct 9102 - Election Day	24	10	116	950	182	0	0	32	150	0
Precinct 9102 - Vote By Mail	37	9	235	950	335	0	0	53	282	1
Precinct 9103 - Election Day	12	4	127	924	174	0	0	31	143	0
Precinct 9103 - Vote By Mail	43	6	207	924	302	0	0	43	259	3
Precinct 9104 - Election Day	18	10	112	937	176	0	0	35	141	1
Precinct 9104 - Vote By Mail	26	14	237	937	332	0	0	55	277	0
Precinct 9105 - Election Day	15	9	125	888	191	0	0	40	151	2
Precinct 9105 - Vote By Mail	39	9	236	888	339	0	0	53	286	2
Precinct 9106 - Election Day	22	6	138	907	213	0	0	47	166	0
Precinct 9106 - Vote By Mail	32	9	225	907	334	0	0	68	266	0
Precinct 9107 - Election Day	14	2	123	806	164	0	1	24	139	0
Precinct 9107 - Vote By Mail	28	10	174	806	246	0	0	33	213	1
Precinct 9108 - Election Day	13	12	132	761	185	0	0	28	157	0
Precinct 9108 - Vote By Mail	15	8	162	761	220	0	0	35	185	0
Precinct 9109 - Election Day	14	4	144	848	205	0	0	42	163	1
Precinct 9109 - Vote By Mail	17	6	209	848	285	0	0	53	232	0
Precinct 9111 - Election Day	13	7	100	756	150	0	0	30	120	0
Precinct 9111 - Vote By Mail	22	7	165	756	226	0	0	32	194	0
Precinct 9112 - Election Day	14	11	148	918	211	0	1	37	173	0
Precinct 9112 - Vote By Mail	18	6	222	918	295	0	1	48	246	0
Precinct 9113 - Election Day	23	10	142	959	231	0	0	54	177	2
Precinct 9113 - Vote By Mail	32	4	258	959	351	0	0	54	297	3
Precinct 9114 - Election Day	10	10	122	820	170	0	1	27	142	0
Precinct 9114 - Vote By Mail	17	12	198	820	273	0	0	46	227	0
Precinct 9115 - Election Day	11	7	132	873	172	0	0	21	151	1
Precinct 9115 - Vote By Mail	20	10	219	873	287	0	0	38	249	0
Precinct 9116 - Election Day	9	14	134	903	193	0	0	35	158	1
Precinct 9116 - Vote By Mail	27	11	224	903	314	0	0	52	262	0
Precinct 9117 - Election Day	13	12	127	756	180	0	0	28	152	0
Precinct 9117 - Vote By Mail	25	9	197	756	285	0	0	54	231	0
Precinct 9118 - Election Day	17	9	117	923	184	0	0	40	144	1
Precinct 9118 - Vote By Mail	27	6	195	923	268	0	1	39	228	0
Precinct 9119 - Election Day	11	11	97	856	152	0	0	33	119	0
Precinct 9119 - Vote By Mail	31	9	227	856	323	0	1	54	268	1
Precinct 9121 - Election Day	23	7	118	890	188	0	0	40	148	0
Precinct 9121 - Vote By Mail	16	4	204	890	274	0	0	49	225	1
Precinct 9122 - Election Day	11	4	95	913	131	0	0	21	110	0
Precinct 9122 - Vote By Mail	45	7	194	913	292	0	0	46	246	0
Precinct 9123 - Election Day	18	8	120	829	175	0	0	29	146	0
Precinct 9123 - Vote By Mail	31	10	190	829	270	0	0	38	232	1
Precinct 9124 - Election Day	9	9	101	832	150	0	0	31	119	0
Precinct 9124 - Vote By Mail	38	6	192	832	290	0	0	54	236	0
Precinct 9125 - Election Day	12	9	110	822	159	0	0	27	132	1
Precinct 9125 - Vote By Mail	20	8	219	822	299	0	0	50	249	2
Precinct 9126 - Election Day	15	5	127	945	186	0	0	39	147	0
Precinct 9126 - Vote By Mail	42	5	246	945	350	0	0	57	293	0
Precinct 9127 - Election Day	13	8	146	908	209	0	0	42	167	0
Precinct 9127 - Vote By Mail	20	12	223	908	315	0	0	60	255	0
Precinct 9128 - Election Day	15	8	124	805	188	0	0	41	147	0
Precinct 9128 - Vote By Mail	33	8	210	805	296	0	0	45	251	0
Precinct 9129 - Election Day	10	6	129	713	173	0	0	27	146	1
Precinct 9129 - Vote By Mail	19	7	151	713	225	0	0	48	177	0
Precinct 9131 - Election Day	7	6	107	740	151	0	0	30	121	1
Precinct 9131 - Vote By Mail	25	9	197	740	274	0	0	43	231	0
Precinct 9132 - Election Day	7	6	122	827	167	0	0	31	136	1
Precinct 9132 - Vote By Mail	18	5	181	827	251	0	0	46	205	1
Precinct 9133 - Election Day	4	6	155	1,007	188	0	0	23	165	0
Precinct 9133 - Vote By Mail	22	4	291	1,007	388	0	0	70	318	1
Precinct 9134 - Election Day	7	5	99	893	132	0	0	21	111	0
Precinct 9134 - Vote By Mail	17	7	223	893	297	0	0	50	247	0
Precinct 9135 - Election Day	15	12	90	778	149	0	0	32	117	0
Precinct 9135 - Vote By Mail	32	11	164	778	269	0	0	62	207	0
Precinct 9136 - Election Day	12	7	142	894	191	0	0	29	162	1
Precinct 9136 - Vote By Mail	20	6	201	894	289	0	0	62	227	0
Precinct 9137 - Election Day	30	14	125	946	201	0	0	32	169	0
Precinct 9137 - Vote By Mail	29	11	224	946	323	0	0	55	268	4
Precinct 9138 - Election Day	14	3	104	892	155	0	0	34	121	0
Precinct 9138 - Vote By Mail	33	12	227	892	323	0	0	51	272	0
Precinct 9139 - Election Day	15	7	111	912	163	0	0	30	133	0
Precinct 9139 - Vote By Mail	47	11	236	912	356	0	0	61	295	1
Precinct 9141 - Election Day	11	5	114	904	168	0	0	38	130	0
Precinct 9141 - Vote By Mail	30	10	237	904	328	0	0	51	277	0
Precinct 9142 - Election Day	13	14	163	921	219	0	0	24	195	5
Precinct 9142 - Vote By Mail	17	7	218	921	288	0	0	46	242	0
Precinct 9143 - Election Day	12	7	139	887	196	0	0	38	158	0
Precinct 9143 - Vote By Mail	38	6	221	887	315	0	0	49	266	1
Precinct 9144 - Election Day	15	7	157	931	221	0	0	41	180	1
Precinct 9144 - Vote By Mail	29	15	224	931	322	0	0	54	268	0
Precinct 9145 - Election Day	14	7	140	837	197	0	0	36	161	0
Precinct 9145 - Vote By Mail	26	5	201	837	282	0	0	50	232	0
Precinct 9146 - Election Day	10	7	151	866	206	0	0	37	169	1
Precinct 9146 - Vote By Mail	23	7	222	866	297	0	0	45	252	0
Precinct 9147 - Election Day	6	12	163	920	227	0	0	46	181	0
Precinct 9147 - Vote By Mail	18	6	241	920	318	0	1	52	265	0
Precinct 9148 - Election Day	10	8	170	946	226	0	0	36	190	2
Precinct 9148 - Vote By Mail	29	9	224	946	322	0	0	60	262	0
Precinct 9149 - Election Day	8	10	139	884	196	0	0	39	157	0
Precinct 9149 - Vote By Mail	18	6	219	884	296	0	0	53	243	0
Precinct 9151 - Election Day	12	6	107	806	152	0	0	27	125	0
Precinct 9151 - Vote By Mail	19	7	188	806	267	0	0	53	214	0
Precinct 9152 - Election Day	4	6	47	712	67	0	0	10	57	0
Precinct 9152 - Vote By Mail	11	6	104	712	138	0	0	17	121	0
Precinct 9201 - Election Day	10	7	154	953	201	0	0	30	171	0
Precinct 9201 - Vote By Mail	19	9	165	953	229	0	0	36	193	0
Precinct 9202 - Election Day	10	5	131	908	184	0	0	38	146	0
Precinct 9202 - Vote By Mail	17	7	149	908	218	0	0	45	173	0
Precinct 9203 - Election Day	27	4	80	968	145	0	0	34	111	0
Precinct 9203 - Vote By Mail	71	5	169	968	300	0	0	55	245	0
Precinct 9204 - Election Day	31	6	77	809	147	0	0	32	115	1
Precinct 9204 - Vote By Mail	49	2	131	809	223	0	0	40	183	1
Precinct 9205 - Election Day	14	3	74	694	113	0	0	22	91	0
Precinct 9205 - Vote By Mail	24	4	127	694	201	0	0	46	155	0
Precinct 9206 - Election Day	27	5	70	887	135	0	0	32	103	1
Precinct 9206 - Vote By Mail	73	3	163	887	294	0	0	54	240	1
Precinct 9207 - Election Day	33	2	85	913	148	0	0	28	120	0
Precinct 9207 - Vote By Mail	48	7	153	913	249	0	0	41	208	0
Precinct 9208 - Election Day	25	4	92	936	147	0	0	26	121	0
Precinct 9208 - Vote By Mail	41	5	151	936	240	0	0	43	197	0
Precinct 9209 - Election Day	20	2	67	675	121	0	0	32	89	0
Precinct 9209 - Vote By Mail	35	4	114	675	188	0	0	35	153	0
Precinct 9211 - Election Day	17	3	78	834	130	0	0	32	98	0
Precinct 9211 - Vote By Mail	37	7	125	834	212	0	0	43	169	0
Precinct 9212 - Election Day	14	3	79	764	121	0	0	25	96	0
Precinct 9212 - Vote By Mail	30	7	121	764	205	0	0	45	160	2
Precinct 9213 - Election Day	10	5	95	890	140	0	0	30	110	0
Precinct 9213 - Vote By Mail	29	6	172	890	260	0	0	53	207	0
Precinct 9214 - Election Day	12	1	54	581	92	0	0	25	67	0
Precinct 9214 - Vote By Mail	37	2	124	581	203	0	1	39	163	0
Precinct 9215 - Election Day	27	3	73	626	130	0	0	27	103	0
Precinct 9215 - Vote By Mail	22	1	116	626	170	0	0	31	139	0
Precinct 9216 - Election Day	16	4	83	798	134	0	0	31	103	0
Precinct 9216 - Vote By Mail	34	2	126	798	206	0	0	44	162	0
Precinct 9217 - Election Day	19	6	67	684	123	0	0	30	93	1
Precinct 9217 - Vote By Mail	27	4	118	684	187	0	0	38	149	0
Precinct 9218 - Election Day	15	3	72	797	119	0	0	29	90	0
Precinct 9218 - Vote By Mail	31	4	132	797	225	0	0	58	167	0
Precinct 9219 - Election Day	21	9	93	733	146	0	0	23	123	0
Precinct 9219 - Vote By Mail	16	5	138	733	187	0	0	28	159	0
Precinct 9221 - Election Day	14	2	78	641	121	0	0	25	96	2
Precinct 9221 - Vote By Mail	53	4	170	641	278	0	1	50	227	0
Precinct 9222 - Election Day	15	1	90	842	139	0	0	33	106	0
Precinct 9222 - Vote By Mail	41	0	170	842	268	0	0	57	211	0
Precinct 9223 - Election Day	11	1	56	606	88	0	0	19	69	1
Precinct 9223 - Vote By Mail	34	3	120	606	202	0	0	45	157	0
Precinct 9224 - Election Day	28	5	90	912	171	0	0	48	123	0
Precinct 9224 - Vote By Mail	60	5	182	912	308	0	1	59	248	1
Precinct 9225 - Election Day	22	4	107	898	161	0	0	28	133	0
