Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9713 - Election Day	19	1	102	930	161	0	0	36	125	3
Precinct 9713 - Vote By Mail	40	7	254	930	362	0	0	61	301	0
Precinct 9714 - Election Day	23	3	98	911	154	0	0	30	124	0
Precinct 9714 - Vote By Mail	55	5	243	911	367	0	0	64	303	0
Precinct 9715 - Election Day	16	5	101	566	162	0	0	38	124	2
Precinct 9715 - Vote By Mail	36	0	142	566	218	0	0	40	178	0
Precinct 9716 - Election Day	19	11	126	928	198	0	0	42	156	0
Precinct 9716 - Vote By Mail	43	8	253	928	368	0	0	64	304	0
Precinct 9717 - Election Day	24	15	131	967	206	0	0	36	170	0
Precinct 9717 - Vote By Mail	35	10	274	967	371	0	0	51	320	1
Precinct 9718 - Election Day	23	2	134	843	183	0	0	24	159	0
Precinct 9718 - Vote By Mail	53	14	256	843	385	0	0	62	323	0
Precinct 9719 - Election Day	19	5	122	863	186	0	0	40	146	0
Precinct 9719 - Vote By Mail	55	8	273	863	389	0	0	52	337	1
Precinct 9721 - Election Day	22	10	111	653	182	0	0	36	146	3
Precinct 9721 - Vote By Mail	26	6	161	653	250	0	0	56	194	1
Precinct 9722 - Election Day	9	0	60	593	86	0	0	17	69	0
Precinct 9722 - Vote By Mail	48	10	176	593	269	0	1	34	234	0
Precinct 9723 - Election Day	9	2	49	458	74	0	0	14	60	0
Precinct 9723 - Vote By Mail	30	1	139	458	198	0	0	27	171	1
Precinct 9724 - Election Day	26	6	93	950	144	0	0	18	126	1
Precinct 9724 - Vote By Mail	68	8	244	950	386	0	0	66	320	0
Precinct 9725 - Election Day	20	6	64	941	118	0	0	28	90	0
Precinct 9725 - Vote By Mail	64	7	207	941	350	0	0	71	279	1
Precinct 9726 - Election Day	9	4	56	685	83	0	0	14	69	0
Precinct 9726 - Vote By Mail	19	5	96	685	137	0	0	17	120	0
Precinct 9727 - Election Day	7	1	37	435	60	0	0	15	45	0
Precinct 9727 - Vote By Mail	51	4	122	435	205	0	0	28	177	0
Precinct 9728 - Election Day	30	3	137	906	204	0	0	34	170	0
Precinct 9728 - Vote By Mail	55	10	246	906	378	0	0	66	312	1
Precinct 9729 - Election Day	29	3	95	782	161	0	0	34	127	0
Precinct 9729 - Vote By Mail	49	1	183	782	304	0	0	71	233	0
Precinct 9731 - Election Day	22	3	80	529	138	0	0	33	105	0
Precinct 9731 - Vote By Mail	29	6	118	529	189	0	1	34	154	1
Precinct 9732 MB - Vote By Mail	3	0	35	73	43	0	0	5	38	0
Precinct 9733 MB - Vote By Mail	12	1	110	224	146	0	0	23	123	0
Precinct 9734 - Election Day	19	1	79	577	122	0	0	23	99	0
Precinct 9734 - Vote By Mail	35	1	180	577	261	0	0	45	216	0
Precinct 9735 - Election Day	15	4	103	782	167	0	0	44	123	1
Precinct 9735 - Vote By Mail	49	7	231	782	344	0	0	57	287	0
Precinct 9736 - Election Day	19	4	98	699	145	0	0	24	121	0
Precinct 9736 - Vote By Mail	28	5	220	699	305	0	0	51	254	1
Precinct 9737 - Election Day	14	2	125	792	175	0	0	34	141	0
Precinct 9737 - Vote By Mail	34	9	252	792	343	0	0	48	295	0
Precinct 9738 - Election Day	15	2	67	830	99	0	0	15	84	0
Precinct 9738 - Vote By Mail	30	8	183	830	263	0	1	40	222	1
Precinct 9739 - Election Day	14	10	79	826	126	0	1	22	103	0
Precinct 9739 - Vote By Mail	17	14	133	826	193	0	0	29	164	0
Precinct 9741 - Election Day	0	2	13	1,022	19	0	0	4	15	0
Precinct 9741 - Vote By Mail	0	1	21	1,022	24	0	0	2	22	0
Precinct 9742 - Election Day	16	3	95	647	134	0	0	20	114	0
Precinct 9742 - Vote By Mail	30	2	132	647	187	0	0	23	164	0
Precinct 9743 - Election Day	9	13	111	1,093	172	0	0	39	133	0
Precinct 9743 - Vote By Mail	28	15	219	1,093	317	0	0	54	263	1
Precinct 9744 - Election Day	18	14	80	902	141	0	0	28	113	1
Precinct 9744 - Vote By Mail	35	12	144	902	234	0	1	41	192	1
Precinct 9745 - Election Day	14	7	90	934	141	0	0	29	112	1
Precinct 9745 - Vote By Mail	21	11	147	934	205	0	0	25	180	1
Precinct 9746 - Election Day	34	3	104	867	192	0	0	50	142	1
Precinct 9746 - Vote By Mail	47	10	216	867	334	0	0	61	273	0
Precinct 9747 - Election Day	12	10	137	940	198	0	0	39	159	0
Precinct 9747 - Vote By Mail	31	9	224	940	323	0	0	56	267	3
Precinct 9748 - Election Day	11	3	116	913	164	0	0	32	132	2
Precinct 9748 - Vote By Mail	42	10	232	913	342	0	1	56	285	1
Precinct 9749 - Election Day	9	10	85	893	143	0	0	38	105	1
Precinct 9749 - Vote By Mail	18	14	201	893	266	0	0	33	233	0
Precinct 9751 - Election Day	12	6	108	977	157	0	0	30	127	1
Precinct 9751 - Vote By Mail	37	9	271	977	384	0	0	66	318	1
Precinct 9752 - Election Day	18	5	89	692	143	0	0	31	112	0
Precinct 9752 - Vote By Mail	40	8	201	692	305	0	0	56	249	0
Precinct 9753 - Election Day	8	7	103	735	148	0	0	29	119	1
Precinct 9753 - Vote By Mail	15	15	189	735	266	0	0	47	219	0
Precinct 9754 - Election Day	9	10	123	701	169	0	0	26	143	1
Precinct 9754 - Vote By Mail	23	10	222	701	296	0	0	41	255	0
Precinct 9755 - Election Day	4	4	98	553	120	0	0	14	106	0
Precinct 9755 - Vote By Mail	13	6	153	553	201	0	0	29	172	0
Precinct 9756 - Election Day	9	8	87	908	126	0	0	22	104	0
Precinct 9756 - Vote By Mail	37	8	210	908	297	0	0	41	256	1
Precinct 9801 - Election Day	8	1	49	399	76	0	0	18	58	0
Precinct 9801 - Vote By Mail	6	7	112	399	148	0	0	22	126	1
Congressional District 12	16,173	8,003	155,504	426,647	225,360	0	92	45,160	180,108	428
Congressional District 14	2,940	1,068	19,013	55,344	28,223	0	13	5,099	23,111	90
Assembly District 17	8,509	5,685	101,879	280,269	147,301	0	65	30,886	116,350	277
Assembly District 19	10,604	3,386	72,638	201,722	106,282	0	40	19,373	86,869	241
BART District 7	1,056	742	10,152	36,166	15,261	0	4	3,267	11,990	40
BART District 8	11,563	3,514	75,578	215,670	112,119	0	37	21,189	90,893	238
BART District 9	6,494	4,815	88,787	230,155	126,203	0	64	25,803	100,336	240
Supervisorial District 1	1,883	757	15,816	40,919	22,431	0	7	3,920	18,504	48
