Subtotal Area	GERALD PLUMMER	TOM PALZER	JOHN THOMPSON PARKER	DOUGLAS HOWARD PIERCE	HERBERT G. PETERS	JAMES P BRADLEY	ARUN K. BHUMITRA	JERRY JOSEPH LAWS	PATRICK LITTLE	TIM GILDERSLEEVE	MICHAEL FAHMY GIRGIS	DON J. GRUNDMANN	RASH BIHARI GHOSH	LING LING SHI	JOHN "JACK" CREW	ERIN CRUZ	DERRICK MICHAEL REID	DIANNE FEINSTEIN	COLLEEN SHEA FERNALD	ADRIENNE NICOLE EDWARDS	PAUL A TAYLOR	DONNIE O. TURNER	PAT HARRIS	ALISON HARTSON	JASON M. HANANIA	DAVID HILDEBRAND	LEE OLSON	ROQUE "ROCKY" DE LA FUENTE	KEVIN DE LEON	KEVIN MOTTUS	DAVID MOORE	MARIO NABLIBA	SEELAM PRABHAKAR REDDY	MICHAEL V. ZIESING	URSULA M. SCHILLING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7539 - None	0	0	2	3	0	2	0	0	0	0	0	0	0	1	0	0	3	153	1	1	0	0	2	0	0	2	0	1	100	0	0	2	0	0	0	884	286	-1	1	11	275	2
Precinct 7541 - None	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	1	109	0	0	0	1	4	3	1	1	0	0	70	0	2	0	0	0	0	791	215	1	1	15	198	0
Precinct 7541 - None	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	1	0	138	1	1	0	0	1	2	0	0	1	0	83	0	0	0	0	0	0	791	245	1	1	8	235	1
Precinct 7542 - None	0	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	90	0	1	0	1	6	3	0	0	0	0	64	0	0	0	0	0	0	787	183	0	0	11	172	1
Precinct 7542 - None	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	4	126	0	1	1	1	1	5	0	0	0	0	92	1	0	1	0	0	0	787	247	1	0	7	239	0
Precinct 7543 - None	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	1	0	100	0	1	2	1	2	2	0	2	1	1	52	0	0	0	0	0	0	910	187	-2	1	16	172	1
Precinct 7543 - None	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	193	1	1	3	0	3	3	1	1	0	1	101	1	0	0	0	0	0	910	332	0	1	15	316	2
Precinct 7544 - None	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	108	0	0	2	0	0	2	0	2	1	0	57	2	0	0	0	0	0	877	186	0	1	7	178	0
Precinct 7544 - None	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	2	1	180	1	0	0	1	3	9	1	0	1	1	112	0	0	0	0	0	0	877	331	-3	2	14	318	0
Precinct 7545 - None	1	0	1	1	0	2	1	0	0	0	0	0	1	0	0	1	1	100	0	3	1	0	5	1	0	1	1	1	47	0	0	1	0	0	0	877	179	-1	0	10	170	0
Precinct 7545 - None	0	0	2	1	0	2	1	1	0	0	0	0	1	0	0	0	2	155	0	0	2	1	2	7	2	1	2	0	84	0	1	0	0	0	0	877	291	0	1	23	267	0
Precinct 7546 - None	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	3	130	0	1	2	1	1	2	1	1	0	1	50	1	0	0	0	0	0	913	219	0	1	16	202	1
Precinct 7546 - None	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	3	172	0	3	0	0	9	2	0	0	0	1	96	2	0	0	0	0	0	913	310	1	2	14	293	0
Precinct 7547 - None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	127	0	0	1	3	5	6	0	0	0	0	76	1	1	0	0	0	0	987	244	-2	0	23	223	0
Precinct 7547 - None	0	0	4	0	0	2	0	0	0	1	0	0	1	0	0	3	3	161	0	4	2	1	2	3	0	3	0	0	119	0	0	0	0	0	0	987	322	5	0	8	309	0
Precinct 7548 - None	1	0	2	0	2	1	1	1	2	1	0	0	0	0	1	0	1	134	0	2	1	2	2	3	1	0	0	0	66	0	1	0	0	0	0	1,054	236	1	0	10	225	0
Precinct 7548 - None	0	1	3	1	0	2	0	0	1	0	0	0	0	0	1	2	1	209	0	0	3	0	0	3	1	1	0	0	97	0	2	1	0	0	0	1,054	345	4	2	10	329	0
Precinct 7549 - None	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	5	89	0	0	0	0	1	3	0	1	0	1	50	0	0	0	0	0	0	785	165	-2	0	12	155	0
Precinct 7549 - None	0	3	5	1	0	0	3	0	1	0	0	0	0	3	0	3	0	165	2	5	0	0	5	4	1	3	0	0	60	1	0	0	0	0	0	785	281	1	0	15	265	0
Precinct 7551 - None	0	0	2	1	0	1	2	0	0	0	0	0	1	0	0	1	1	132	0	0	0	1	2	4	0	0	1	0	41	0	0	0	0	0	0	705	199	-1	0	10	190	0
Precinct 7551 - None	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	2	147	0	1	0	0	0	3	2	2	0	1	65	0	0	0	0	0	0	705	240	2	1	9	228	0
Precinct 7552 - None	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	112	0	4	1	0	0	2	0	2	0	0	59	0	1	1	0	0	0	718	191	0	0	5	186	1
Precinct 7552 - None	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	151	1	0	0	0	0	3	0	0	1	0	61	1	0	0	0	0	0	718	232	0	3	5	224	0
Precinct 7553 MB - None	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	2	1	1	0	0	1	0	0	16	0	1	0	0	0	0	171	87	2	0	2	83	0
Precinct 7554 - None	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	1	116	0	0	0	0	2	1	0	0	0	0	46	0	0	0	0	0	0	785	179	-1	0	8	172	0
Precinct 7554 - None	0	0	0	0	0	7	1	0	1	0	0	0	1	1	1	2	3	213	0	0	2	0	4	2	0	1	1	0	68	0	1	0	0	0	0	785	323	0	3	11	309	0
Precinct 7555 - None	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	2	167	1	1	1	1	1	1	0	2	0	0	50	1	1	0	0	0	0	847	242	0	0	7	235	0
Precinct 7555 - None	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	200	1	1	1	0	1	4	0	0	1	0	75	0	0	1	0	0	0	847	304	1	1	11	291	0
Precinct 7556/7557 - None	0	0	0	0	0	3	2	0	1	0	0	1	0	0	1	0	0	153	0	1	1	0	3	3	1	1	0	5	41	1	0	0	0	0	0	961	223	-3	1	7	218	0
Precinct 7556/7557 - None	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	3	292	0	1	4	0	2	3	1	1	0	1	89	2	0	0	0	0	0	961	422	1	0	16	405	0
Precinct 7601 - None	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	3	61	0	2	2	3	2	1	0	0	1	1	31	1	4	0	0	0	0	744	128	-1	2	10	117	1
Precinct 7601 - None	1	0	0	2	1	0	2	2	0	0	0	0	1	1	0	1	6	88	0	3	4	0	7	4	1	2	2	2	36	1	0	0	0	0	0	744	185	3	1	12	169	2
Precinct 7602 - None	0	1	2	1	0	0	1	0	1	0	0	0	1	0	2	1	1	64	2	4	2	2	3	8	0	4	0	5	31	0	0	2	0	0	0	880	147	-3	1	11	138	0
Precinct 7602 - None	0	2	2	1	0	1	3	0	0	0	0	0	2	4	0	3	3	125	0	1	2	2	5	6	2	1	2	1	58	0	0	0	0	0	0	880	243	3	4	10	226	0
