Subtotal Area	GERALD PLUMMER	TOM PALZER	JOHN THOMPSON PARKER	DOUGLAS HOWARD PIERCE	HERBERT G. PETERS	JAMES P BRADLEY	ARUN K. BHUMITRA	JERRY JOSEPH LAWS	PATRICK LITTLE	TIM GILDERSLEEVE	MICHAEL FAHMY GIRGIS	DON J. GRUNDMANN	RASH BIHARI GHOSH	LING LING SHI	JOHN "JACK" CREW	ERIN CRUZ	DERRICK MICHAEL REID	DIANNE FEINSTEIN	COLLEEN SHEA FERNALD	ADRIENNE NICOLE EDWARDS	PAUL A TAYLOR	DONNIE O. TURNER	PAT HARRIS	ALISON HARTSON	JASON M. HANANIA	DAVID HILDEBRAND	LEE OLSON	ROQUE "ROCKY" DE LA FUENTE	KEVIN DE LEON	KEVIN MOTTUS	DAVID MOORE	MARIO NABLIBA	SEELAM PRABHAKAR REDDY	MICHAEL V. ZIESING	URSULA M. SCHILLING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7816 - None	0	0	2	0	0	3	1	0	0	0	0	1	0	0	0	1	2	282	1	1	1	0	4	4	0	1	0	0	74	0	0	0	0	0	0	858	390	0	1	10	379	1
Precinct 7817 - None	0	0	1	0	0	1	1	0	2	0	0	0	1	0	0	1	1	124	0	2	1	1	2	3	1	1	1	1	62	0	0	0	0	0	0	795	215	-1	0	9	207	0
Precinct 7817 - None	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	2	177	0	2	0	0	4	7	0	1	0	0	97	0	0	0	0	0	0	795	309	2	1	11	295	0
Precinct 7818 - None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	97	1	2	1	0	4	1	0	0	0	0	52	1	0	0	0	0	0	823	172	0	0	9	163	0
Precinct 7818 - None	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	2	197	0	0	1	0	1	2	1	1	0	0	105	1	0	0	0	0	0	823	335	0	0	18	317	0
Precinct 7819 - None	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3	90	0	1	1	0	3	3	1	1	0	0	52	0	1	0	0	0	0	760	169	0	1	7	161	0
Precinct 7819 - None	0	1	3	1	0	3	0	0	1	0	0	1	1	1	0	3	2	162	0	2	3	1	5	4	1	4	0	0	78	2	0	0	0	0	0	760	297	1	0	17	279	0
Precinct 7821 - None	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	149	0	1	1	1	4	3	0	0	1	0	56	0	0	0	0	0	0	947	229	0	0	6	223	0
Precinct 7821 - None	0	0	2	0	0	4	2	1	1	0	0	0	0	0	0	1	6	255	1	7	2	1	4	3	2	3	0	1	119	1	0	0	0	0	0	947	439	0	0	23	416	0
Precinct 7822 - None	1	1	2	0	0	3	0	1	0	0	0	0	1	0	2	1	1	135	0	3	1	0	7	2	0	1	0	0	69	0	1	0	0	0	0	927	244	0	2	10	232	0
Precinct 7822 - None	0	0	2	0	0	2	5	1	1	0	0	0	0	0	1	2	0	198	1	1	1	0	1	6	0	3	0	0	100	0	0	0	0	0	0	927	343	1	1	16	325	0
Precinct 7823 - None	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	129	1	2	0	0	4	2	1	1	0	0	81	0	0	0	0	0	0	857	237	0	2	11	224	1
Precinct 7823 - None	0	0	2	1	1	2	1	0	0	0	0	0	0	0	0	0	1	211	2	4	3	1	3	5	1	1	2	2	95	0	0	0	0	0	0	857	347	1	0	8	338	0
Precinct 7824 - None	0	0	4	0	0	0	1	0	1	0	0	1	0	0	0	0	3	98	0	3	1	0	4	1	0	0	0	0	41	0	0	2	0	0	0	756	170	0	0	8	162	2
Precinct 7824 - None	0	0	2	1	1	0	1	1	1	0	0	0	0	0	0	0	1	165	0	0	3	0	3	5	0	0	1	1	73	0	0	0	0	0	0	756	274	3	1	10	260	1
Precinct 7825 - None	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	98	0	1	1	0	5	2	0	1	0	1	37	0	0	0	0	0	0	580	160	-1	0	8	153	0
Precinct 7825 - None	1	1	1	0	0	4	1	0	0	0	0	0	0	1	1	0	2	118	1	0	0	1	3	1	0	1	0	0	73	0	0	0	0	0	0	580	215	0	0	5	210	0
Precinct 7826 - None	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	122	1	2	1	1	4	2	0	2	0	0	64	1	1	0	0	0	0	665	214	0	0	8	206	0
Precinct 7826 - None	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	2	91	1	2	0	0	4	2	0	0	1	0	76	1	0	0	0	0	0	665	194	-2	0	10	186	0
Precinct 7827 - None	1	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	2	92	2	0	1	0	8	2	1	0	0	0	70	0	0	1	0	0	0	828	199	0	1	12	186	0
Precinct 7827 - None	0	0	2	0	0	4	2	0	2	0	0	0	0	0	0	1	2	118	0	0	3	0	3	1	1	3	1	1	88	2	1	1	0	0	0	828	252	0	3	13	236	0
Precinct 7828 - None	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	133	1	2	1	1	2	2	0	0	0	1	48	1	0	0	0	0	0	976	205	2	1	4	198	0
Precinct 7828 - None	1	0	1	0	2	4	0	0	1	0	0	0	1	0	0	2	1	265	0	3	4	2	3	3	1	0	0	1	90	1	0	0	0	0	0	976	397	-1	0	11	387	1
Precinct 7829 - None	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	121	1	0	3	0	2	2	2	1	0	0	52	0	0	1	0	0	0	882	199	0	0	8	191	0
Precinct 7829 - None	0	0	2	1	0	4	3	1	0	0	1	0	0	1	1	0	3	270	1	0	3	0	1	4	0	0	1	1	74	4	0	0	0	0	0	882	391	-1	1	15	376	0
Precinct 7831 - None	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	126	1	0	0	0	0	4	0	1	0	0	56	0	0	1	0	0	0	828	202	1	1	8	192	0
Precinct 7831 - None	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	1	271	0	3	1	2	1	2	3	1	0	0	64	2	0	0	0	0	0	828	369	1	1	10	357	0
Precinct 7832 - None	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	2	105	0	1	0	0	1	1	0	0	0	1	35	0	0	0	0	0	0	781	162	-1	0	11	152	1
Precinct 7832 - None	0	0	2	0	0	1	0	2	1	0	0	0	0	0	0	1	0	231	0	1	3	0	4	3	1	1	0	1	75	0	0	0	0	0	0	781	343	-1	1	15	328	1
Precinct 7833 - None	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	2	1	96	1	0	0	0	3	2	1	0	0	1	63	0	0	0	0	0	0	745	182	-1	0	7	176	0
Precinct 7833 - None	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	149	0	1	1	0	4	7	0	1	0	1	95	0	0	1	0	0	0	745	271	0	0	7	264	0
Precinct 7834 - None	0	0	4	0	2	1	0	0	0	0	0	0	0	1	0	1	3	106	1	0	0	0	5	2	1	1	1	1	76	1	1	0	0	0	0	836	225	-1	0	18	208	0
Precinct 7834 - None	0	1	3	0	0	2	0	0	0	0	0	0	2	0	1	0	0	140	0	2	0	0	2	3	2	1	1	0	115	0	0	0	0	0	0	836	288	-1	1	13	275	0
Precinct 7835 - None	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	104	0	1	2	0	2	3	0	0	0	1	42	1	0	2	0	0	0	808	175	0	0	8	167	3
Precinct 7835 - None	1	0	3	1	0	4	4	0	1	0	0	0	0	1	0	3	3	222	0	1	1	2	5	7	0	0	0	5	59	1	1	1	0	0	0	808	338	-1	0	12	327	1
Precinct 7836 - None	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	2	124	1	2	1	1	3	3	1	0	1	0	47	0	1	1	0	0	0	979	199	0	1	6	192	0
Precinct 7836 - None	2	0	1	0	1	5	1	1	1	0	0	0	1	1	1	3	4	279	0	3	4	1	4	5	0	1	0	3	87	0	1	2	0	0	0	979	421	0	3	6	412	0
Precinct 7837 - None	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	165	0	1	3	0	2	3	0	1	0	0	53	0	0	0	0	0	0	883	237	1	0	6	230	0
Precinct 7837 - None	0	0	1	0	1	3	1	1	0	0	0	0	1	0	1	1	2	237	0	0	4	1	1	4	0	0	0	0	68	0	0	0	0	0	0	883	339	0	0	12	327	0
Precinct 7838 - None	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	3	139	0	4	3	0	6	1	2	1	0	0	32	1	0	0	0	0	0	891	210	0	0	14	196	0
Precinct 7838 - None	0	0	2	0	0	4	3	0	0	0	0	0	0	0	0	0	4	278	0	1	3	1	1	2	0	0	0	2	93	1	0	0	0	0	0	891	413	1	1	15	396	1
Precinct 7839 - None	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1	0	1	113	0	1	1	0	2	2	0	1	0	0	39	0	0	0	0	0	0	830	172	-2	0	8	166	0
Precinct 7839 - None	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	4	255	1	1	3	0	2	2	0	0	1	1	92	0	0	3	0	0	0	830	389	1	0	18	370	0
Precinct 7841 - None	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	145	0	1	1	1	3	3	0	1	0	0	66	0	0	0	0	0	0	898	240	0	1	11	228	2
Precinct 7841 - None	0	0	3	0	0	2	0	0	1	0	0	0	1	0	0	0	0	223	0	1	4	0	2	6	2	0	0	3	87	0	0	0	0	0	0	898	353	0	0	16	337	2
Precinct 7842 - None	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	2	2	129	1	1	0	0	3	1	0	0	0	0	65	1	0	0	0	0	0	873	214	0	0	4	210	0
Precinct 7842 - None	0	0	1	0	0	2	1	0	1	0	0	0	0	0	3	0	8	172	2	2	2	0	2	1	0	1	2	2	91	0	0	0	0	0	0	873	308	2	2	11	293	0
Precinct 7843 - None	0	1	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	105	0	0	1	0	5	4	0	1	0	0	56	0	0	0	0	0	0	751	182	-1	0	4	179	0
Precinct 7843 - None	0	0	1	1	0	4	1	0	1	0	0	3	1	1	0	2	3	135	0	0	0	0	3	2	1	4	1	0	83	0	0	0	0	0	0	751	267	0	0	20	247	0
Precinct 7844 - None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	80	0	1	3	0	3	3	0	2	0	1	52	1	0	1	0	0	0	635	160	1	0	9	150	1
Precinct 7844 - None	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	114	0	0	1	1	6	3	0	1	0	0	97	0	0	0	0	0	0	635	245	-1	0	15	231	1
Precinct 7845 - None	0	0	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	126	1	1	2	0	3	3	0	0	0	2	46	0	0	0	0	0	0	803	202	-1	0	12	191	0
Precinct 7845 - None	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	1	229	0	2	0	0	2	3	0	0	0	0	58	0	1	1	0	0	0	803	314	-1	0	12	303	0
Precinct 7846 - None	0	0	2	0	1	1	1	0	0	0	0	0	0	0	1	0	5	144	0	0	1	0	2	1	0	0	0	3	45	0	0	1	0	0	0	871	221	-1	0	13	209	1
Precinct 7846 - None	0	2	0	2	0	2	3	0	0	1	0	1	0	0	1	1	1	216	0	1	8	0	2	2	1	1	1	1	67	0	0	0	0	0	0	871	330	3	0	13	314	0
Precinct 7847 - None	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	1	2	132	0	0	1	0	5	4	0	2	0	0	42	2	1	0	0	0	0	878	207	0	0	9	198	1
Precinct 7847 - None	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	218	1	1	1	0	1	9	2	0	0	1	99	1	0	0	0	0	0	878	358	-2	0	19	341	0
Precinct 7848 - None	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	147	0	1	4	0	1	1	0	0	0	0	41	0	0	0	0	0	0	838	209	-2	0	10	201	1
Precinct 7848 - None	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	5	5	237	0	2	3	1	2	3	0	1	0	2	72	1	0	0	0	0	0	838	346	-2	0	11	337	0
Precinct 7849 - None	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	139	0	1	1	0	3	2	0	1	0	1	70	0	0	0	0	0	0	904	237	-1	2	11	225	0
Precinct 7849 - None	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	6	229	0	1	1	0	2	2	0	0	0	2	99	0	0	0	0	0	0	904	353	0	1	4	348	1
Precinct 7851 - None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	2	72	0	1	2	0	1	1	0	0	1	0	21	0	1	0	0	0	0	493	118	0	0	9	109	1
Precinct 7851 - None	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	156	0	0	0	0	0	0	0	1	1	4	27	0	1	1	0	0	0	493	204	0	1	8	195	0
Precinct 7852 - None	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	4	73	0	2	1	0	0	1	0	0	0	1	11	0	0	0	0	0	0	634	104	0	0	5	99	0
Precinct 7852 - None	0	0	1	1	0	4	9	0	1	0	0	0	1	1	1	2	0	193	2	0	6	0	3	9	1	4	0	4	50	0	0	0	0	0	0	634	303	0	1	9	293	0
Precinct 7853 - None	0	0	2	0	0	1	2	0	0	0	0	0	0	1	0	0	2	114	0	0	2	0	2	5	0	0	0	1	39	1	0	1	0	0	0	837	180	0	0	7	173	0
Precinct 7853 - None	1	0	4	1	0	1	1	0	0	0	0	0	0	0	0	2	3	238	1	2	2	0	6	1	0	0	0	2	50	0	0	0	0	0	0	837	333	0	1	17	315	0
Precinct 7854 - None	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	127	0	2	2	0	3	3	0	0	0	2	59	0	0	1	0	0	0	874	216	0	0	11	205	0
Precinct 7854 - None	0	1	0	0	0	3	2	1	0	0	0	1	1	0	0	0	1	225	0	0	2	0	0	6	2	0	0	0	91	0	0	2	0	0	0	874	346	0	1	7	338	0
Precinct 7855 - None	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	150	0	1	1	0	6	2	0	0	0	0	81	0	0	0	0	0	0	949	259	0	0	13	246	0
Precinct 7855 - None	0	0	4	0	0	9	0	0	1	0	0	0	0	0	1	1	5	204	1	0	4	0	4	3	0	0	0	2	96	1	0	1	0	0	0	949	359	-2	1	23	337	0
Precinct 7856 - None	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	113	2	3	0	0	2	4	0	1	0	0	63	0	0	0	0	0	0	790	204	1	0	11	192	0
Precinct 7856 - None	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	217	0	4	1	0	2	4	1	0	0	1	71	0	0	1	0	0	0	790	312	-1	0	4	309	0
Precinct 7857 - None	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	110	0	0	1	0	4	6	0	0	0	1	83	0	1	0	0	0	0	913	226	0	1	13	212	1
Precinct 7857 - None	1	1	5	0	0	1	5	0	1	0	0	0	1	0	0	2	2	197	0	0	3	0	3	10	1	0	1	0	96	0	0	0	0	0	0	913	350	0	1	19	330	0
Precinct 7858 - None	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	3	102	1	3	1	0	2	2	0	0	1	0	64	0	0	0	0	0	0	743	192	0	0	9	183	0
Precinct 7858 - None	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	113	0	1	3	0	3	6	1	2	0	0	107	1	0	0	0	0	0	743	252	1	0	7	244	1
Precinct 7859 - None	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	149	0	4	2	1	0	3	0	0	0	1	45	1	0	0	0	0	0	879	219	0	0	7	212	0
Precinct 7859 - None	0	0	2	0	0	6	3	1	1	0	0	0	1	0	0	4	3	233	1	1	3	1	5	3	1	0	0	3	63	2	2	0	0	0	0	879	352	0	1	11	340	1
Precinct 7861 - None	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	3	0	106	0	1	0	0	1	2	0	4	2	1	50	1	1	0	0	0	0	835	184	0	1	8	175	0
Precinct 7861 - None	0	0	2	0	2	9	2	0	0	0	0	0	0	0	2	2	3	234	0	2	9	0	0	4	0	0	0	2	81	0	0	0	0	0	0	835	367	0	1	12	354	0
Precinct 7862 - None	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	132	0	1	2	0	3	3	0	1	0	1	70	0	0	0	0	0	0	850	237	0	0	17	220	0
Precinct 7862 - None	0	0	2	0	0	4	1	0	1	0	0	0	1	0	0	1	0	206	0	3	4	1	1	2	1	0	0	4	81	1	0	1	0	0	0	850	323	-1	0	9	315	0
Precinct 7863 - None	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	3	139	0	0	3	1	3	3	1	0	1	1	67	1	0	0	0	0	0	870	237	0	0	8	229	1
Precinct 7863 - None	0	0	0	2	1	4	4	0	0	0	0	0	0	0	0	1	4	173	2	2	1	1	5	5	0	1	2	1	80	2	0	0	0	0	0	870	302	0	1	10	291	0
Precinct 7864 - None	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	2	5	94	0	1	1	1	2	5	0	0	0	0	64	0	0	0	0	1	0	773	188	0	0	6	182	0
Precinct 7864 - None	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	159	1	1	6	0	4	5	0	2	0	0	85	1	0	2	0	0	0	773	284	-2	1	12	273	1
Precinct 7865 - None	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	2	0	91	0	2	1	0	3	1	0	0	0	1	60	0	0	1	0	0	0	808	178	0	0	10	168	0
Precinct 7865 - None	0	2	0	0	0	3	1	0	0	0	0	0	1	1	2	1	3	180	0	3	3	0	1	3	0	0	1	4	82	0	0	1	0	0	0	808	310	0	1	17	292	0
Precinct 7866 - None	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	2	1	109	0	2	5	0	2	1	0	0	0	0	43	0	0	0	0	0	0	816	184	0	1	12	171	0
Precinct 7866 - None	0	0	2	0	0	11	4	1	3	0	0	0	1	0	0	4	1	264	0	6	5	1	4	8	0	0	0	4	38	2	0	6	0	0	0	816	389	0	4	19	366	1
Precinct 7867 - None	0	2	2	0	0	1	0	2	1	0	0	0	1	0	0	3	2	136	0	0	0	0	3	2	1	0	0	1	38	0	0	1	0	0	0	932	209	0	0	12	197	1
Precinct 7867 - None	0	0	4	0	0	1	2	0	0	0	0	1	1	0	0	6	1	233	0	4	0	1	5	2	1	3	0	0	94	3	0	0	0	0	0	932	385	3	0	19	363	1
Precinct 7868 - None	0	0	3	1	0	1	0	1	2	0	0	0	0	1	0	0	0	142	1	3	2	0	4	1	0	0	0	1	41	1	1	1	0	0	0	860	218	0	0	10	208	1
Precinct 7868 - None	0	0	1	0	0	1	2	0	1	2	1	0	0	1	1	2	0	214	0	2	8	0	1	4	2	1	0	1	63	1	0	0	0	0	0	860	324	1	1	12	310	1
Precinct 7869 - None	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	3	139	0	1	1	0	5	2	1	0	0	3	46	2	0	0	0	0	0	842	219	1	1	8	209	0
Precinct 7869 - None	1	0	1	0	0	1	4	2	0	0	0	0	0	0	0	4	2	239	0	2	1	0	0	6	2	0	0	3	93	0	0	0	0	0	0	842	376	-1	0	16	361	0
Precinct 7871 - None	0	1	0	2	1	1	2	0	0	0	0	0	1	1	1	2	2	141	0	1	2	0	2	3	0	0	2	1	60	0	1	0	0	0	0	882	240	-3	2	14	227	0
Precinct 7871 - None	0	0	1	0	0	3	3	0	0	0	0	2	1	0	1	1	1	243	0	1	2	1	4	5	0	2	4	0	71	0	0	0	0	0	0	882	364	1	0	16	347	1
Precinct 7872 - None	0	0	4	0	1	1	1	1	0	0	0	0	0	0	0	1	1	152	0	2	2	1	0	5	0	0	1	1	52	0	2	0	0	0	0	864	242	0	1	13	228	0
Precinct 7872 - None	0	0	0	1	0	4	1	0	0	0	0	0	0	0	2	0	0	236	1	2	5	0	3	9	0	0	0	0	88	0	0	0	0	0	0	864	369	0	0	17	352	0
Precinct 7873 - None	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	150	1	2	3	0	3	4	0	0	0	1	56	0	0	0	0	0	0	841	231	0	0	9	222	1
Precinct 7873 - None	1	0	2	0	0	3	1	2	0	0	0	0	1	1	1	3	0	263	0	3	2	0	3	5	0	1	0	2	81	1	0	0	0	0	0	841	387	0	0	11	376	0
Precinct 7874 - None	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	45	0	0	0	0	1	2	0	0	0	0	24	2	1	0	0	0	0	453	85	0	0	5	80	0
Precinct 7874 - None	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	108	0	5	2	0	1	2	0	0	0	0	45	1	0	0	0	0	0	453	174	1	0	4	169	0
Precinct 7875 - None	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	63	1	1	4	0	2	0	0	0	0	0	39	1	0	0	0	0	0	615	127	0	1	9	117	0
Precinct 7875 - None	0	0	3	0	0	2	4	2	2	0	0	0	0	1	0	3	1	107	0	4	0	0	4	4	1	0	1	3	52	0	0	0	0	0	0	615	203	-2	2	9	194	0
Precinct 7876 - None	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	58	0	1	1	0	0	1	0	2	0	0	31	0	1	0	0	0	0	491	101	0	0	3	98	0
Precinct 7876 - None	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	86	1	3	0	0	1	5	0	0	0	0	43	0	0	0	0	0	0	491	148	-1	1	7	141	0
Precinct 7901 - None	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	45	0	3	1	0	2	2	0	1	0	1	21	0	2	0	0	0	0	466	87	-1	0	5	83	0
Precinct 7901 - None	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	69	1	0	1	0	4	1	0	0	0	0	40	2	0	0	0	0	0	466	133	0	2	8	123	1
Precinct 7902 - None	0	0	0	0	2	1	2	0	1	0	0	0	0	1	1	0	1	83	0	1	4	0	5	3	2	1	1	1	72	0	0	0	0	0	0	921	188	0	0	6	182	0
Precinct 7902 - None	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	125	1	2	1	0	3	5	1	2	1	4	91	3	0	1	0	0	0	921	259	0	1	11	247	1
Precinct 7903 - None	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	2	0	72	0	0	0	0	1	4	0	2	1	2	37	0	0	0	0	0	0	819	144	0	2	13	129	2
Precinct 7903 - None	0	0	2	1	0	2	4	0	0	0	0	0	3	2	0	0	2	116	0	2	5	0	2	7	2	0	0	2	75	0	0	2	0	0	0	819	244	0	3	11	230	1
Precinct 7904 - None	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	52	0	2	0	1	2	1	1	0	0	1	62	1	0	0	0	0	0	846	137	0	1	7	129	0
Precinct 7904 - None	0	0	1	1	0	4	2	0	0	0	0	2	0	2	1	7	1	129	0	2	1	0	3	2	0	0	1	0	70	0	2	0	0	0	0	846	248	-1	2	16	231	0
Precinct 7905 - None	0	0	2	0	0	1	0	0	2	0	0	1	0	1	1	1	4	92	0	2	0	0	1	5	1	0	3	4	63	0	3	2	0	0	0	821	199	1	0	9	189	0
Precinct 7905 - None	0	2	2	0	0	2	0	0	1	0	0	0	0	1	0	1	3	155	2	0	2	0	0	6	1	2	1	2	81	0	0	1	0	0	0	821	275	3	1	6	265	0
Precinct 7906 - None	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	5	67	1	0	0	1	3	1	0	0	0	0	66	0	0	0	0	0	0	769	164	1	2	12	149	1
Precinct 7906 - None	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	109	0	1	0	1	1	3	0	2	0	0	77	0	0	0	0	0	0	769	214	-1	3	12	200	0
Precinct 7907 - None	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	92	0	2	1	0	1	3	1	1	0	2	77	0	2	0	0	0	0	926	201	2	0	10	189	1
Precinct 7907 - None	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1	3	142	0	2	2	0	2	3	1	1	1	1	102	0	1	1	0	0	0	926	286	1	1	15	269	0
Precinct 7908 - None	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	4	1	82	0	2	0	1	1	2	0	0	0	4	69	1	1	2	0	0	0	936	191	0	4	11	176	1
Precinct 7908 - None	0	0	1	2	0	3	3	0	3	0	0	0	1	0	0	1	4	125	0	1	2	1	1	3	1	0	1	3	84	1	0	1	0	0	0	936	267	0	1	24	242	0
Precinct 7909 - None	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	73	1	3	0	1	4	5	0	1	0	0	85	0	1	0	0	0	0	726	190	0	0	12	178	0
Precinct 7909 - None	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	108	0	1	0	0	2	2	1	0	0	0	86	0	1	1	0	0	0	726	221	0	1	12	208	0
Precinct 7911 - None	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	97	0	2	0	1	4	3	0	1	1	0	67	1	0	0	0	0	0	849	192	0	1	6	185	2
Precinct 7911 - None	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	3	1	129	0	2	4	0	5	10	0	2	0	0	80	1	0	0	0	0	0	849	250	1	0	7	242	1
Precinct 7912 - None	1	0	1	2	1	0	0	0	0	0	0	0	1	1	0	1	1	77	0	1	0	0	4	3	1	2	0	1	94	0	4	0	0	0	0	1,036	215	2	0	17	196	0
Precinct 7912 - None	0	0	1	1	0	0	1	0	1	0	0	0	2	0	0	2	1	157	0	7	1	0	3	2	2	0	0	2	116	0	1	0	0	0	0	1,036	314	4	1	9	300	0
Precinct 7913 - None	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	105	0	1	2	0	7	2	1	0	0	1	93	1	0	3	0	0	0	887	240	0	1	16	223	0
Precinct 7913 - None	0	0	4	0	0	2	1	1	0	0	0	1	1	0	1	0	1	106	0	4	2	0	2	2	0	0	7	1	93	0	1	2	0	0	0	887	244	-1	1	12	232	0
Precinct 7914 - None	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	3	86	0	1	1	0	2	2	0	1	1	0	84	1	0	2	0	0	0	833	208	0	1	15	192	1
Precinct 7914 - None	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	2	1	105	0	1	2	1	2	5	1	1	0	1	112	0	0	0	0	0	0	833	253	1	4	8	240	0
Precinct 7915 - None	0	0	2	1	0	1	0	1	0	0	0	0	2	0	2	3	0	98	0	3	2	0	3	1	0	0	0	3	75	0	0	0	0	0	0	802	213	0	3	13	197	0
Precinct 7915 - None	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	105	1	4	0	1	0	2	0	1	0	1	87	0	0	1	0	0	0	802	222	1	2	9	210	1
Precinct 7916 - None	0	0	2	1	0	1	1	0	0	1	0	1	0	0	0	1	1	93	1	3	0	0	6	4	0	1	1	2	83	0	0	0	0	0	0	887	215	0	1	11	203	0
Precinct 7916 - None	1	2	0	0	1	1	0	0	4	0	0	0	0	1	0	4	1	137	0	2	0	0	3	1	2	0	1	2	113	2	0	0	0	0	0	887	289	0	1	9	279	1
Precinct 7917 - None	0	0	3	0	1	2	0	1	2	1	1	0	0	1	3	2	1	103	0	2	1	1	2	4	0	0	1	1	100	1	0	0	0	0	0	983	254	-1	2	19	234	0
Precinct 7917 - None	1	1	4	3	1	1	0	0	0	0	0	0	0	1	2	0	1	129	1	3	2	0	6	6	1	0	2	0	107	1	0	1	0	0	0	983	287	0	2	11	274	0
