Subtotal Area	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN "HAWK" MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	K. PEARCE	VERONIKA FIMBRES	ARMANDO M. ARREOLA	ARMAN SOLTANI	PETER CRAWFORD VALENTINO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9519 - Vote By Mail	2	0	2	0	30	0	0	0	2	0	0	0	0	0	2	1	0	12	14	7	49	0	0	0	0	169	0	0	0	0	0	0	850	294	0	2	2	290	0
Precinct 9521 - Election Day	3	1	1	0	25	0	1	0	0	0	0	0	0	0	1	2	1	10	7	5	52	0	1	0	0	134	0	0	0	0	0	0	893	254	0	3	5	246	2
Precinct 9521 - Vote By Mail	0	0	1	0	26	0	2	0	2	0	0	2	0	0	1	0	0	24	11	4	47	0	0	1	0	164	0	0	0	0	0	0	893	290	0	1	4	285	0
Precinct 9701 - Election Day	1	0	1	0	12	0	0	0	0	0	0	0	0	1	1	2	0	10	6	2	29	0	1	0	0	86	1	0	0	0	0	0	665	156	0	0	3	153	0
Precinct 9701 - Vote By Mail	1	1	0	1	21	0	0	0	4	0	0	0	0	0	0	0	0	25	27	1	34	0	0	0	0	105	0	0	0	0	0	0	665	235	0	2	13	220	0
Precinct 9702 - Election Day	0	0	0	1	10	1	0	0	1	0	0	0	0	0	0	0	0	4	8	2	37	0	0	0	1	125	0	0	0	0	0	0	710	194	0	1	3	190	0
Precinct 9702 - Vote By Mail	1	0	1	1	19	0	0	0	3	1	0	0	0	1	0	1	0	15	17	2	27	1	1	0	0	126	1	0	0	0	0	0	710	231	0	3	10	218	0
Precinct 9703 - Election Day	1	0	0	0	12	0	0	0	7	0	0	0	0	0	1	0	0	21	15	3	14	0	1	0	1	102	1	0	0	0	0	0	931	182	0	1	2	179	0
Precinct 9703 - Vote By Mail	2	0	1	1	17	0	1	0	21	0	0	0	0	2	1	1	0	53	25	5	40	0	0	0	1	189	2	0	0	0	0	0	931	373	0	9	2	362	0
Precinct 9704 - Election Day	0	0	1	2	9	0	0	0	3	0	0	0	0	1	0	0	0	10	14	3	26	0	0	0	1	116	0	0	0	0	0	0	942	191	0	1	4	186	0
Precinct 9704 - Vote By Mail	0	0	3	0	31	0	0	0	4	0	0	0	0	0	1	0	0	40	29	5	31	0	0	1	1	198	0	0	0	0	0	0	942	354	0	4	6	344	0
Precinct 9705 - Election Day	0	0	0	0	16	1	0	0	4	1	0	1	0	1	0	1	0	15	12	2	33	0	1	0	1	113	1	0	0	0	0	0	879	208	0	0	5	203	0
Precinct 9705 - Vote By Mail	3	0	0	1	35	0	0	0	2	0	0	0	0	0	1	0	1	34	13	3	35	0	0	0	0	171	1	0	0	0	0	0	879	309	0	2	7	300	0
Precinct 9706 MB - Vote By Mail	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	8	0	0	0	0	13	0	0	0	0	0	0	51	32	0	0	1	31	0
Precinct 9707 - Election Day	0	0	0	0	17	0	0	0	2	0	0	1	0	0	1	0	0	11	16	1	8	0	0	0	1	60	0	0	0	0	0	0	799	121	0	2	1	118	0
Precinct 9707 - Vote By Mail	0	0	1	1	29	0	0	0	6	1	0	0	0	2	1	0	0	65	38	3	25	0	0	1	0	165	2	0	0	0	0	0	799	355	0	6	8	341	1
Precinct 9708 - Election Day	1	0	1	1	20	0	0	0	1	0	0	0	0	0	0	0	0	14	9	1	29	0	0	0	1	104	0	0	0	0	0	0	919	193	0	5	6	182	0
Precinct 9708 - Vote By Mail	1	0	2	0	18	0	0	0	5	0	0	0	0	0	2	0	0	25	18	2	30	0	0	0	0	203	2	0	0	0	0	0	919	324	0	4	11	309	1
Precinct 9709 - Election Day	3	0	0	1	23	2	0	0	4	1	0	0	0	0	1	0	0	21	15	4	14	0	0	0	0	103	0	0	0	0	0	0	998	196	0	1	3	192	0
