Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7918 - Vote By Mail	143	27	790	234	-1	0	63	172	2
Precinct 7919 - Election Day	117	53	857	217	0	0	46	171	1
Precinct 7919 - Vote By Mail	146	39	857	241	0	1	53	187	2
Precinct 7921 - Election Day	93	32	883	151	-1	0	24	128	3
Precinct 7921 - Vote By Mail	105	53	883	210	0	0	51	159	1
Precinct 7922 - Election Day	87	30	797	182	1	0	59	122	5
Precinct 7922 - Vote By Mail	145	47	797	241	1	0	47	193	1
Precinct 7923 - Election Day	98	44	863	202	0	0	55	147	5
Precinct 7923 - Vote By Mail	129	47	863	241	0	1	63	177	1
Precinct 7924 - Election Day	79	40	806	172	1	0	50	121	2
Precinct 7924 - Vote By Mail	145	50	806	247	0	0	50	197	2
Precinct 7925 - Election Day	53	31	570	114	0	0	29	85	1
Precinct 7925 - Vote By Mail	113	32	570	191	0	0	45	146	1
Precinct 7926 - Election Day	99	30	768	177	0	0	43	134	5
Precinct 7926 - Vote By Mail	172	43	768	296	0	0	78	218	3
Precinct 7927 - Election Day	103	30	733	187	0	0	51	136	3
Precinct 7927 - Vote By Mail	197	33	733	289	-1	0	59	231	1
Precinct 7928 - Election Day	166	35	899	253	-1	0	48	206	5
Precinct 7928 - Vote By Mail	190	42	899	297	2	0	61	234	2
Precinct 7929 - Election Day	134	25	840	200	-1	0	41	160	1
Precinct 7929 - Vote By Mail	250	42	840	367	2	0	72	293	1
Precinct 7931 - Election Day	124	20	732	189	0	1	44	144	0
Precinct 7931 - Vote By Mail	227	34	732	317	-1	0	53	265	4
Precinct 7932 - Election Day	63	20	551	112	0	0	28	84	1
Precinct 7932 - Vote By Mail	149	21	551	225	0	0	55	170	0
Precinct 7933 MB - Vote By Mail	3	1	8	4	0	0	0	4	0
Precinct 7934 - Election Day	106	31	885	195	-4	0	60	139	2
Precinct 7934 - Vote By Mail	194	50	885	328	2	0	80	246	2
Precinct 7935 - Election Day	182	28	938	283	0	0	70	213	3
Precinct 7935 - Vote By Mail	246	32	938	370	2	0	87	281	3
Precinct 7936 - Election Day	143	31	832	246	-1	0	72	175	1
Precinct 7936 - Vote By Mail	207	42	832	326	1	0	76	249	0
Precinct 7937 - Election Day	145	28	874	223	0	0	50	173	0
Precinct 7937 - Vote By Mail	204	36	874	309	0	0	60	249	9
Precinct 7938 - Election Day	81	36	774	162	0	0	45	117	0
Precinct 7938 - Vote By Mail	162	39	774	247	0	0	44	203	2
Precinct 7939 - Election Day	120	22	667	186	2	0	41	143	1
Precinct 7939 - Vote By Mail	149	27	667	230	1	0	53	176	0
Precinct 7941 - Election Day	108	23	728	167	1	0	32	134	3
Precinct 7941 - Vote By Mail	135	42	728	236	1	0	57	178	1
Precinct 7942 - Election Day	92	28	893	166	1	0	43	122	2
Precinct 7942 - Vote By Mail	181	41	893	286	-1	0	63	224	2
Precinct 7943 - Election Day	109	38	887	192	0	0	44	148	1
Precinct 7943 - Vote By Mail	204	59	887	319	2	0	51	266	3
Precinct 7944 - Election Day	129	29	769	201	-1	0	43	159	1
Precinct 7944 - Vote By Mail	159	28	769	235	0	0	48	187	0
Precinct 7945 - Election Day	60	23	897	118	0	0	33	85	2
Precinct 7945 - Vote By Mail	191	36	897	294	3	0	64	227	0
Precinct 7946 - Election Day	69	38	909	134	1	0	22	111	4
Precinct 7946 - Vote By Mail	205	56	909	348	3	3	74	268	7
Precinct 7947 - Election Day	63	32	894	128	-1	0	32	97	2
Precinct 7947 - Vote By Mail	189	66	894	327	-1	0	70	258	3
Precinct 7948 - Election Day	87	35	900	165	0	0	41	124	2
Precinct 7948 - Vote By Mail	198	52	900	313	-2	0	61	254	4
Precinct 7949 - Election Day	48	8	552	78	3	0	18	57	1
Precinct 7949 - Vote By Mail	152	32	552	224	0	0	39	185	1
Precinct 7951 - Election Day	59	13	830	97	0	0	25	72	0
Precinct 7951 - Vote By Mail	215	47	830	341	0	0	73	268	6
Precinct 7952 - Election Day	51	24	823	100	0	0	25	75	0
Precinct 7952 - Vote By Mail	194	51	823	288	-1	0	43	246	1
Precinct 7953 - Election Day	66	18	795	103	-2	0	16	89	5
Precinct 7953 - Vote By Mail	168	64	795	294	0	0	59	235	3
Precinct 7955 - Election Day	65	28	854	116	0	0	22	94	1
Precinct 7955 - Vote By Mail	192	67	854	320	0	0	60	260	1
Precinct 7956 - Election Day	46	21	779	101	0	0	33	68	1
Precinct 7956 - Vote By Mail	143	50	779	247	3	0	48	196	3
Precinct 7957 - Election Day	59	17	623	97	1	0	20	76	0
Precinct 7957 - Vote By Mail	140	41	623	217	0	0	34	183	2
Precinct 7958 MB - Vote By Mail	59	22	263	104	0	1	21	82	1
Precinct 7959 - Election Day	52	28	695	110	0	0	28	82	2
Precinct 7959 - Vote By Mail	133	22	695	190	0	0	34	156	1
Congressional District 12	93,212	20,639	280,269	147,301	86	58	32,145	115,012	1,161
Assembly District 17	93,212	20,639	280,269	147,301	86	58	32,145	115,012	1,161
BART District 7	9,564	2,390	36,166	15,261	16	9	3,165	12,071	117
BART District 8	11,692	2,568	36,801	18,240	4	4	3,857	14,375	115
BART District 9	71,956	15,681	207,302	113,800	66	45	25,123	88,566	929
Supervisorial District 1	70	7	141	85	0	0	7	78	1
Supervisorial District 2	2,239	444	6,604	3,534	7	0	820	2,707	24
Supervisorial District 3	11,939	2,500	38,273	18,567	-2	8	4,005	14,556	117
Supervisorial District 5	13,516	2,817	39,297	21,709	23	3	5,207	16,476	143
Supervisorial District 6	11,024	2,524	41,151	17,498	3	15	3,753	13,727	179
Supervisorial District 7	3,149	658	7,611	4,863	3	1	1,009	3,850	43
Supervisorial District 8	23,854	4,077	56,016	35,791	-8	9	7,616	28,174	243
Supervisorial District 9	13,482	3,739	41,665	22,565	25	12	5,092	17,436	215
Supervisorial District 10	11,134	2,854	39,591	17,791	37	7	3,619	14,128	140
Supervisorial District 11	2,805	1,019	9,920	4,898	-2	3	1,017	3,880	56
Bayview/Hunters Point	4,817	1,407	19,131	7,881	23	5	1,581	6,272	48
Chinatown	5,167	1,031	16,742	8,038	-5	3	1,801	6,239	41
Civic Center/Downtown	7,662	1,812	27,631	12,231	3	11	2,624	9,593	119
Diamond Heights	3,114	493	6,857	4,487	1	3	847	3,636	29
Excelsior	2,805	1,019	9,920	4,898	-2	3	1,017	3,880	56
Haight Ashbury	5,262	1,043	14,552	8,410	10	1	2,042	6,357	52
Inner Sunset	675	122	1,741	1,040	0	0	236	804	7
Marina Pacific Heights	3,243	661	9,535	5,130	4	1	1,183	3,942	38
Mission	9,501	2,589	30,096	16,088	11	9	3,805	12,263	173
Noe Valley	7,100	1,132	16,415	10,584	-11	3	2,296	8,296	64
North Bernal Heights	3,467	716	8,622	5,494	0	1	1,262	4,231	48
North Embarcadero	2,338	512	6,827	3,580	6	1	705	2,868	18
Portola	2,654	831	8,914	4,445	3	4	899	3,539	54
Potrero Hill	5,237	971	15,511	7,917	5	1	1,644	6,267	59
South of Bernal Heights	3,480	773	9,230	5,452	8	1	1,154	4,289	36
South of Market	6,348	1,387	23,278	10,026	-3	7	2,183	7,839	104
Upper Market/Eureka Valley	8,182	1,366	18,424	12,111	5	0	2,493	9,613	65
Visitation Valley	1,868	616	7,610	3,117	7	2	589	2,519	35
West of Twin Peaks	2,933	591	7,087	4,502	4	1	934	3,563	39
Western Addition	7,359	1,567	22,146	11,870	17	1	2,850	9,002	76
