Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7004 - None	47	48	2	5	5	0	5	19	1	4	20	0	835	175	0	0	19	156	0
Precinct 7004 - None	59	85	0	4	11	0	5	34	5	9	59	0	835	306	0	0	35	271	0
Precinct 7005 - None	31	47	1	2	1	0	3	25	1	2	46	0	812	180	0	0	21	159	0
Precinct 7005 - None	74	84	0	4	3	1	9	36	1	4	53	0	812	295	0	0	26	269	0
Precinct 7006 - None	27	46	1	3	3	0	4	26	3	1	75	0	884	213	0	0	24	189	0
Precinct 7006 - None	50	75	3	2	2	1	10	39	0	5	80	0	884	290	0	0	23	267	0
Precinct 7007 - None	54	57	0	5	2	0	1	37	1	4	46	0	916	233	0	0	26	207	0
Precinct 7007 - None	89	91	2	1	2	0	7	38	0	5	54	0	916	323	0	1	33	289	0
Precinct 7008 - None	35	47	1	5	3	0	2	18	0	5	43	0	861	187	0	0	28	159	0
Precinct 7008 - None	87	115	4	2	8	0	6	44	1	7	31	0	861	345	0	1	39	305	0
Precinct 7009 - None	26	22	4	3	0	3	8	20	1	3	30	0	864	133	0	0	13	120	0
Precinct 7009 - None	42	101	2	2	9	1	11	55	6	4	48	0	864	312	0	0	31	281	0
Precinct 7011 - None	27	33	4	2	2	2	3	19	2	3	22	0	976	141	0	1	19	121	2
Precinct 7011 - None	38	61	4	2	2	1	6	25	5	1	31	0	976	205	0	2	26	177	1
Precinct 7012 - None	30	65	2	6	3	0	16	36	2	2	40	0	1,061	224	0	0	22	202	0
Precinct 7012 - None	64	118	3	5	4	2	13	56	1	10	54	0	1,061	383	0	1	52	330	0
Precinct 7013 - None	27	33	0	4	1	1	1	24	4	1	24	0	805	132	0	1	11	120	0
Precinct 7013 - None	53	79	1	7	3	0	12	20	2	4	38	0	805	251	0	0	31	220	1
Precinct 7014 - None	38	59	1	9	1	1	2	20	2	4	35	0	1,213	188	0	0	16	172	0
