Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7812 - None	31	48	0	2	6	0	5	35	4	5	48	0	843	207	0	0	23	184	0
Precinct 7812 - None	68	80	1	5	0	4	8	46	4	3	49	0	843	292	0	0	22	270	2
Precinct 7813 - None	35	72	0	4	1	0	2	26	0	2	76	0	988	251	0	0	32	219	1
Precinct 7813 - None	66	124	2	1	2	1	4	40	1	5	74	0	988	362	0	2	40	320	0
Precinct 7814 - None	19	24	3	2	0	1	2	29	4	8	52	0	892	173	0	0	27	146	2
Precinct 7814 - None	27	53	1	4	3	3	4	54	1	7	40	0	892	223	0	1	25	197	0
Precinct 7815 - None	32	56	1	3	1	2	2	22	4	4	33	0	914	178	0	1	17	160	0
Precinct 7815 - None	83	182	1	3	2	0	6	40	1	3	60	0	914	407	0	0	26	381	0
Precinct 7816 - None	48	72	0	4	0	0	1	30	4	4	23	0	858	202	0	0	16	186	0
Precinct 7816 - None	83	164	6	1	3	0	8	45	0	0	37	0	858	390	0	0	43	347	0
Precinct 7817 - None	31	71	1	2	1	1	2	34	4	1	52	0	795	215	0	0	15	200	0
Precinct 7817 - None	56	102	2	2	2	1	1	36	0	4	77	0	795	309	0	0	26	283	0
Precinct 7818 - None	31	55	4	0	0	1	1	23	3	0	31	0	823	172	0	0	23	149	0
Precinct 7818 - None	68	111	2	5	0	0	3	47	2	3	52	0	823	335	0	0	42	293	0
Precinct 7819 - None	35	49	0	2	3	1	6	13	1	2	45	0	760	169	0	0	11	158	1
Precinct 7819 - None	50	84	1	4	5	3	8	42	3	9	45	0	760	297	0	0	41	256	2
Precinct 7821 - None	53	77	2	5	1	1	0	36	0	2	36	0	947	229	0	0	16	213	0
Precinct 7821 - None	90	160	4	5	6	2	11	42	4	2	67	0	947	439	0	0	45	394	1
Precinct 7822 - None	30	71	1	6	0	2	6	32	1	3	69	0	927	244	0	0	23	221	0
Precinct 7822 - None	72	123	3	1	5	1	10	45	3	1	45	1	927	343	0	1	32	310	0
Precinct 7823 - None	42	71	3	0	1	1	1	35	0	1	59	0	857	237	0	0	21	216	2
Precinct 7823 - None	65	152	4	4	2	1	5	33	3	1	41	0	857	347	0	1	35	311	0
Precinct 7824 - None	30	53	0	0	0	1	6	15	0	3	34	0	756	170	0	0	27	143	1
Precinct 7824 - None	67	91	0	4	4	1	2	35	3	0	39	0	756	274	0	1	27	246	0
Precinct 7825 - None	29	49	0	3	2	1	1	19	1	5	34	0	580	160	0	0	16	144	0
Precinct 7825 - None	31	81	2	1	3	0	3	25	2	1	42	0	580	215	0	0	24	191	0
Precinct 7826 - None	26	61	2	4	2	1	1	29	0	4	60	0	665	214	0	0	22	192	2
Precinct 7826 - None	37	39	0	1	2	1	4	26	1	3	57	0	665	194	0	1	22	171	0
Precinct 7827 - None	22	40	6	6	0	2	2	18	4	2	73	0	828	199	0	1	22	176	1
Precinct 7827 - None	44	52	0	3	2	2	7	28	2	10	77	0	828	252	0	0	23	229	2
Precinct 7828 - None	47	48	3	6	5	4	2	35	1	1	29	0	976	205	0	0	24	181	0
Precinct 7828 - None	88	140	2	3	1	1	13	42	3	9	47	0	976	397	0	2	46	349	0
Precinct 7829 - None	36	73	2	2	2	3	6	17	1	2	35	0	882	199	0	0	20	179	0
Precinct 7829 - None	79	155	0	7	2	2	9	39	2	9	37	0	882	391	0	0	50	341	0
Precinct 7831 - None	40	77	1	1	2	1	4	28	1	2	27	0	828	202	0	0	18	184	0
Precinct 7831 - None	84	147	2	3	5	0	7	42	3	2	36	0	828	369	0	0	37	332	1
Precinct 7832 - None	36	49	1	2	1	0	5	22	0	3	21	0	781	162	0	0	21	141	1
Precinct 7832 - None	70	134	0	3	2	0	7	42	4	2	40	0	781	343	0	1	38	304	0
Precinct 7833 - None	32	41	0	1	2	1	1	21	2	1	54	0	745	182	0	0	26	156	0
Precinct 7833 - None	59	78	2	1	2	0	7	20	1	1	73	0	745	271	0	1	25	245	1
Precinct 7834 - None	42	42	1	2	0	1	3	18	0	7	78	0	836	225	0	1	29	195	1
Precinct 7834 - None	50	75	2	0	0	2	2	28	1	3	88	0	836	288	0	1	36	251	0
Precinct 7835 - None	41	56	1	1	2	0	4	17	2	3	24	0	808	175	0	0	21	154	3
Precinct 7835 - None	52	132	1	4	10	1	11	51	4	6	36	0	808	338	0	0	30	308	0
Precinct 7836 - None	40	62	2	4	2	0	1	33	0	2	34	0	979	199	0	0	18	181	1
Precinct 7836 - None	83	156	4	7	5	1	11	68	4	6	45	0	979	421	0	0	31	390	0
Precinct 7837 - None	42	73	2	2	0	0	6	50	0	5	34	0	883	237	0	0	23	214	0
Precinct 7837 - None	89	114	2	3	1	0	8	44	3	4	30	0	883	339	0	1	40	298	0
Precinct 7838 - None	43	64	2	2	3	0	7	26	0	2	35	0	891	210	0	0	26	184	0
Precinct 7838 - None	95	136	2	3	2	1	9	63	4	7	49	0	891	413	0	1	40	372	1
Precinct 7839 - None	37	52	1	3	0	2	2	22	0	3	25	0	830	172	0	0	25	147	0
Precinct 7839 - None	96	133	0	1	4	1	10	41	3	6	46	0	830	389	0	0	48	341	0
Precinct 7841 - None	55	54	2	2	2	1	1	25	1	1	57	0	898	240	0	0	38	202	1
Precinct 7841 - None	88	116	3	2	3	0	6	32	0	4	68	0	898	353	0	0	30	323	1
Precinct 7842 - None	45	49	2	3	0	1	5	30	3	3	57	0	873	214	0	0	16	198	0
Precinct 7842 - None	63	81	0	6	6	0	6	31	2	4	72	0	873	308	0	0	36	272	1
Precinct 7843 - None	29	44	0	2	0	1	2	22	3	3	59	0	751	182	0	0	17	165	0
Precinct 7843 - None	55	65	1	4	6	1	7	39	0	3	50	0	751	267	0	1	35	231	0
Precinct 7844 - None	32	33	0	4	0	1	6	16	4	1	46	0	635	160	0	0	17	143	0
Precinct 7844 - None	36	65	2	6	2	1	3	30	1	1	72	0	635	245	0	0	26	219	0
Precinct 7845 - None	41	68	1	0	0	0	6	25	1	0	35	0	803	202	0	0	25	177	0
Precinct 7845 - None	72	128	0	0	1	0	6	44	2	2	24	0	803	314	0	0	35	279	0
Precinct 7846 - None	57	53	0	4	8	0	7	23	1	5	38	0	871	221	0	0	24	197	1
Precinct 7846 - None	85	98	6	4	8	0	8	41	3	5	31	0	871	330	0	0	41	289	0
Precinct 7847 - None	48	50	2	1	4	1	5	25	0	4	40	0	878	207	0	0	27	180	0
Precinct 7847 - None	82	111	1	2	3	0	9	51	1	2	58	0	878	358	0	0	38	320	0
Precinct 7848 - None	52	66	2	3	2	0	7	22	2	0	29	0	838	209	0	0	23	186	1
Precinct 7848 - None	93	109	0	3	4	2	5	41	2	6	49	0	838	346	0	0	32	314	0
Precinct 7849 - None	45	52	3	1	3	0	5	35	1	3	66	0	904	237	0	0	23	214	0
Precinct 7849 - None	67	107	2	6	1	1	5	45	4	5	70	0	904	353	0	0	40	313	0
Precinct 7851 - None	30	35	0	1	7	1	3	11	0	4	7	0	493	118	0	0	18	100	1
Precinct 7851 - None	55	59	1	1	2	2	7	30	2	11	13	0	493	204	0	1	20	183	0
Precinct 7852 - None	26	29	1	2	1	0	6	14	0	1	10	0	634	104	0	0	14	90	0
Precinct 7852 - None	60	111	6	3	2	3	19	52	3	5	24	0	634	303	0	0	15	288	0
Precinct 7853 - None	40	51	1	1	5	1	6	22	3	3	24	0	837	180	0	0	22	158	1
Precinct 7853 - None	81	120	1	0	3	1	4	53	5	8	29	0	837	333	0	1	27	305	0
Precinct 7854 - None	47	61	2	5	1	0	5	25	0	4	43	0	874	216	0	0	23	193	0
Precinct 7854 - None	80	112	0	5	5	0	8	48	4	6	44	0	874	346	0	0	34	312	0
Precinct 7855 - None	54	68	0	2	1	0	2	35	3	2	63	0	949	259	0	0	29	230	0
Precinct 7855 - None	83	111	1	7	8	0	8	27	5	7	54	0	949	359	0	2	46	311	0
Precinct 7856 - None	46	58	1	3	1	0	3	21	1	3	49	0	790	204	0	0	18	186	0
Precinct 7856 - None	77	101	2	5	3	0	3	43	3	8	38	0	790	312	0	0	29	283	0
Precinct 7857 - None	43	50	2	2	4	0	0	23	3	3	67	0	913	226	0	1	26	199	2
Precinct 7857 - None	75	93	1	7	7	0	13	30	2	3	79	0	913	350	0	0	38	312	2
Precinct 7858 - None	28	43	2	5	1	1	0	32	1	1	53	0	743	192	0	0	23	169	2
Precinct 7858 - None	46	66	2	2	0	2	2	29	1	4	74	0	743	252	0	0	23	229	1
Precinct 7859 - None	54	66	1	2	2	2	4	28	0	2	41	0	879	219	0	1	16	202	0
Precinct 7859 - None	88	119	1	2	10	3	9	41	2	3	33	0	879	352	0	1	40	311	0
Precinct 7861 - None	35	45	2	1	6	2	1	19	4	5	42	0	835	184	0	0	21	163	1
Precinct 7861 - None	85	124	1	6	8	1	11	41	3	5	58	0	835	367	0	0	24	343	0
Precinct 7862 - None	51	68	1	3	6	4	3	27	2	1	50	0	850	237	0	0	20	217	1
Precinct 7862 - None	68	100	1	3	7	1	6	47	3	2	44	0	850	323	0	1	40	282	0
Precinct 7863 - None	42	71	2	3	2	1	5	28	0	2	57	0	870	237	0	1	22	214	1
Precinct 7863 - None	54	94	0	4	6	1	6	36	3	3	63	0	870	302	0	0	32	270	0
Precinct 7864 - None	33	54	1	5	4	0	2	22	2	3	44	0	773	188	0	0	18	170	0
Precinct 7864 - None	60	75	1	1	3	1	10	38	2	6	60	0	773	284	0	0	27	257	0
Precinct 7865 - None	35	47	1	2	2	0	2	23	0	3	42	0	808	178	0	1	20	157	0
Precinct 7865 - None	50	99	2	3	2	0	13	43	2	6	57	0	808	310	0	0	33	277	0
Precinct 7866 - None	45	58	0	2	1	2	8	23	1	6	19	0	816	184	0	0	19	165	0
Precinct 7866 - None	96	110	2	4	8	6	30	39	2	12	31	0	816	389	0	4	45	340	0
Precinct 7867 - None	60	54	0	3	7	0	8	22	0	2	23	0	932	209	0	2	27	180	1
Precinct 7867 - None	93	121	2	4	7	1	9	45	3	8	61	0	932	385	0	1	28	356	2
Precinct 7868 - None	50	65	3	0	3	3	5	35	1	1	29	0	860	218	0	0	23	195	0
Precinct 7868 - None	58	141	0	1	9	2	9	35	2	5	36	0	860	324	0	0	26	298	0
Precinct 7869 - None	40	58	3	3	5	2	4	30	3	3	46	0	842	219	0	1	21	197	0
Precinct 7869 - None	89	131	3	4	8	1	9	31	4	8	50	0	842	376	0	0	37	339	1
Precinct 7871 - None	55	70	0	2	1	1	8	30	2	3	37	0	882	240	0	2	29	209	0
Precinct 7871 - None	88	133	2	5	3	1	8	48	4	3	37	0	882	364	0	0	31	333	1
Precinct 7872 - None	57	67	1	1	0	1	5	23	3	1	46	0	864	242	0	0	36	206	1
Precinct 7872 - None	80	133	2	5	4	1	9	45	3	3	52	0	864	369	0	0	32	337	0
Precinct 7873 - None	58	62	0	0	1	0	2	24	1	2	52	0	841	231	0	0	28	203	1
Precinct 7873 - None	104	111	3	0	4	0	10	44	5	4	57	0	841	387	0	0	45	342	0
Precinct 7874 - None	17	22	1	0	2	0	3	8	1	2	17	0	453	85	0	0	12	73	0
Precinct 7874 - None	28	70	0	2	3	0	0	28	3	3	20	0	453	174	0	0	17	157	0
Precinct 7875 - None	21	26	0	2	2	1	3	19	4	5	32	0	615	127	0	0	11	116	1
Precinct 7875 - None	32	58	0	4	7	1	5	22	4	3	41	0	615	203	0	0	25	178	1
Precinct 7876 - None	16	28	1	2	1	0	1	17	0	3	18	0	491	101	0	0	14	87	0
Precinct 7876 - None	21	52	0	1	0	1	2	24	0	0	25	0	491	148	0	0	22	126	0
Precinct 7901 - None	14	13	1	1	0	2	3	16	2	3	14	0	466	87	0	0	17	70	1
Precinct 7901 - None	18	32	1	0	1	3	3	31	2	3	21	0	466	133	0	0	18	115	0
Precinct 7902 - None	23	36	0	3	0	4	6	33	4	3	60	0	921	188	0	1	15	172	0
Precinct 7902 - None	38	65	1	4	4	3	6	42	7	4	58	0	921	259	0	0	26	233	1
Precinct 7903 - None	16	31	4	7	0	2	3	21	7	4	29	0	819	144	0	0	19	125	1
Precinct 7903 - None	31	54	2	3	1	3	20	54	1	3	50	0	819	244	0	1	21	222	0
Precinct 7904 - None	23	25	3	2	1	0	3	14	0	2	49	0	846	137	0	0	15	122	0
Precinct 7904 - None	35	51	1	6	2	2	13	52	2	13	49	0	846	248	0	0	22	226	0
Precinct 7905 - None	35	37	1	3	0	3	6	36	4	5	56	0	821	199	0	0	13	186	0
Precinct 7905 - None	53	81	1	6	1	1	6	34	5	6	52	0	821	275	0	0	29	246	0
Precinct 7906 - None	15	36	1	2	0	1	1	21	4	3	60	0	769	164	0	0	19	145	1
Precinct 7906 - None	47	52	2	3	0	1	5	25	4	2	54	0	769	214	0	1	18	195	0
Precinct 7907 - None	23	39	0	5	2	0	1	25	4	3	77	0	926	201	0	0	20	181	2
Precinct 7907 - None	50	59	0	4	2	2	2	50	3	7	71	0	926	286	0	0	35	251	1
Precinct 7908 - None	29	33	1	0	3	0	6	28	6	5	51	0	936	191	0	2	26	163	1
Precinct 7908 - None	39	48	4	2	8	1	8	44	3	9	62	0	936	267	0	1	38	228	0
Precinct 7909 - None	29	29	3	3	0	2	1	26	1	2	71	0	726	190	0	2	21	167	0
Precinct 7909 - None	38	56	0	2	1	1	1	28	3	0	69	0	726	221	0	1	21	199	0
Precinct 7911 - None	44	45	0	2	3	1	1	26	1	2	45	0	849	192	0	1	20	171	1
Precinct 7911 - None	47	71	5	2	1	1	9	29	5	3	49	0	849	250	0	1	26	223	1
Precinct 7912 - None	28	33	2	3	3	1	1	23	4	1	90	0	1,036	215	0	1	25	189	0
Precinct 7912 - None	54	76	7	2	4	2	3	40	6	3	87	0	1,036	314	0	2	28	284	0
Precinct 7913 - None	29	50	1	0	1	1	4	39	5	3	83	0	887	240	0	0	24	216	0
Precinct 7913 - None	51	49	0	2	3	0	0	29	12	5	72	0	887	244	0	0	20	224	1
Precinct 7914 - None	37	33	1	1	1	2	2	33	6	4	65	0	833	208	0	1	21	186	1
Precinct 7914 - None	43	58	5	3	1	4	2	42	4	4	67	0	833	253	0	5	15	233	0
Precinct 7915 - None	18	48	4	2	4	1	1	34	5	7	63	0	802	213	0	3	23	187	0
Precinct 7915 - None	40	45	0	2	0	0	3	31	4	7	59	0	802	222	0	2	29	191	0
Precinct 7916 - None	28	38	5	2	2	2	2	31	0	3	80	0	887	215	0	0	22	193	0
Precinct 7916 - None	51	64	1	4	2	0	2	44	0	13	86	0	887	289	0	0	22	267	0
Precinct 7917 - None	29	35	3	4	5	0	3	42	7	4	89	0	983	254	0	0	33	221	0
Precinct 7917 - None	39	59	1	1	1	2	6	46	2	7	92	0	983	287	0	2	26	259	3
Precinct 7918 - None	27	31	0	2	1	1	3	23	4	1	72	0	790	191	0	0	26	165	0
Precinct 7918 - None	55	58	0	0	0	2	6	33	0	0	62	0	790	234	0	0	17	217	1
Precinct 7919 - None	19	37	1	3	0	3	5	36	7	3	77	0	857	217	0	0	25	192	1
Precinct 7919 - None	29	47	1	4	4	0	8	40	2	6	80	0	857	241	0	0	20	221	0
Precinct 7921 - None	19	21	2	1	3	3	2	25	0	3	49	0	883	151	0	0	21	130	2
Precinct 7921 - None	23	39	1	3	6	4	10	44	6	7	50	0	883	210	0	0	17	193	0
Precinct 7922 - None	15	33	3	1	0	0	2	28	1	1	85	0	797	182	0	0	13	169	0
Precinct 7922 - None	34	67	2	1	3	1	7	51	2	4	54	0	797	241	0	1	14	226	0
Precinct 7923 - None	20	28	0	4	2	1	0	34	9	3	78	0	863	202	0	1	22	179	0
Precinct 7923 - None	34	50	2	4	2	0	5	42	6	5	66	0	863	241	0	0	25	216	0
Precinct 7924 - None	11	29	2	3	0	1	1	34	6	5	64	0	806	172	0	0	15	157	1
Precinct 7924 - None	31	50	2	3	1	3	11	47	6	6	66	0	806	247	0	1	20	226	0
Precinct 7925 - None	10	25	0	1	0	0	2	15	1	3	38	0	570	114	0	1	16	97	2
Precinct 7925 - None	28	48	1	5	1	0	4	26	4	4	56	0	570	191	0	0	14	177	0
Precinct 7926 - None	30	50	1	2	0	0	0	28	1	2	49	0	768	177	0	0	12	165	2
Precinct 7926 - None	46	72	0	5	6	1	11	38	4	8	77	0	768	296	0	1	25	270	2
Precinct 7927 - None	25	35	1	2	0	0	2	25	2	2	71	0	733	187	0	0	20	167	2
Precinct 7927 - None	51	99	1	1	5	0	1	41	2	0	64	0	733	289	0	1	23	265	0
Precinct 7928 - None	57	54	1	2	2	1	6	31	1	6	73	0	899	253	0	0	19	234	0
Precinct 7928 - None	51	84	0	4	4	0	4	43	4	5	73	0	899	297	0	0	25	272	0
Precinct 7929 - None	39	44	0	3	2	0	3	32	2	1	53	0	840	200	0	0	21	179	0
Precinct 7929 - None	70	98	8	3	1	1	4	43	4	9	88	0	840	367	0	3	35	329	0
Precinct 7931 - None	47	58	1	1	1	1	5	19	1	0	35	0	732	189	0	0	20	169	0
Precinct 7931 - None	66	108	3	1	1	2	7	39	1	3	48	0	732	317	0	1	37	279	0
Precinct 7932 - None	20	29	0	1	0	0	3	12	2	4	34	0	551	112	0	0	7	105	0
Precinct 7932 - None	39	61	4	2	2	4	5	27	1	5	48	0	551	225	0	1	26	198	0
Precinct 7933 MB - None	2	1	0	0	0	0	0	0	0	0	0	0	8	4	0	0	1	3	0
Precinct 7934 - None	26	41	2	1	0	1	3	28	4	0	64	0	885	195	0	0	25	170	0
Precinct 7934 - None	41	86	4	1	1	2	5	53	5	7	89	0	885	328	0	1	30	297	3
Precinct 7935 - None	58	59	1	4	1	0	5	35	1	2	82	0	938	283	0	0	35	248	0
Precinct 7935 - None	68	109	1	2	4	1	3	50	0	10	86	0	938	370	0	1	35	334	0
Precinct 7936 - None	38	52	2	1	3	2	3	36	1	5	79	0	832	246	0	0	24	222	0
Precinct 7936 - None	62	87	3	8	3	2	2	35	5	7	72	0	832	326	0	0	38	288	2
Precinct 7937 - None	28	56	2	1	4	2	3	31	4	1	64	0	874	223	0	1	26	196	0
Precinct 7937 - None	45	96	1	5	0	2	7	49	3	4	65	0	874	309	0	0	31	278	1
Precinct 7938 - None	29	31	0	4	3	1	1	26	5	3	40	0	774	162	0	0	19	143	0
Precinct 7938 - None	34	69	0	2	1	1	3	42	3	8	66	0	774	247	0	1	17	229	0
Precinct 7939 - None	30	50	0	2	2	3	3	24	0	2	46	0	667	186	0	0	23	163	1
Precinct 7939 - None	37	60	1	1	1	3	4	31	3	2	51	0	667	230	0	2	34	194	0
Precinct 7941 - None	28	29	2	4	1	0	4	30	3	2	43	0	728	167	0	0	20	147	1
Precinct 7941 - None	36	60	3	7	2	0	3	34	1	2	55	0	728	236	0	0	33	203	0
Precinct 7942 - None	24	39	0	1	1	1	7	26	4	3	34	0	893	166	0	0	26	140	0
Precinct 7942 - None	52	76	3	1	3	7	10	50	5	5	44	0	893	286	0	0	29	257	1
Precinct 7943 - None	24	50	1	5	6	1	8	34	5	7	36	0	887	192	0	0	15	177	0
Precinct 7943 - None	52	89	4	3	6	4	21	55	6	4	48	0	887	319	0	1	26	292	0
Precinct 7944 - None	46	48	0	1	2	2	1	23	4	0	59	0	769	201	0	0	15	186	0
Precinct 7944 - None	44	70	4	3	3	0	3	37	3	5	39	0	769	235	0	1	23	211	0
Precinct 7945 - None	24	30	0	1	1	0	3	18	2	2	26	0	897	118	0	0	11	107	0
Precinct 7945 - None	39	82	2	1	0	2	10	43	4	7	72	0	897	294	0	1	31	262	0
Precinct 7946 - None	22	29	1	2	5	1	4	21	2	3	31	0	909	134	0	0	13	121	0
Precinct 7946 - None	36	65	5	3	17	2	41	80	8	15	27	0	909	348	0	1	46	301	2
Precinct 7947 - None	17	34	2	3	3	4	5	26	4	1	9	0	894	128	0	1	18	109	1
Precinct 7947 - None	44	43	4	4	8	6	23	70	13	15	26	0	894	327	0	5	66	256	0
Precinct 7948 - None	24	31	0	0	4	2	8	32	5	3	36	0	900	165	0	1	18	146	1
Precinct 7948 - None	53	60	1	4	10	2	28	58	4	18	36	0	900	313	0	1	37	275	1
Precinct 7949 - None	6	19	0	2	6	0	5	12	3	3	9	0	552	78	0	0	12	66	1
Precinct 7949 - None	21	57	2	2	9	5	30	39	7	8	10	0	552	224	0	2	32	190	0
Precinct 7951 - None	14	23	1	0	1	2	7	16	1	1	14	0	830	97	0	0	17	80	0
Precinct 7951 - None	47	46	3	8	17	10	43	68	8	18	30	0	830	341	0	1	41	299	1
Precinct 7952 - None	11	21	0	2	4	4	12	18	1	7	5	0	823	100	0	0	13	87	2
Precinct 7952 - None	30	63	5	5	5	8	20	61	6	16	33	0	823	288	0	2	33	253	1
Precinct 7953 - None	22	25	2	3	3	1	3	17	2	2	14	0	795	103	0	0	9	94	0
Precinct 7953 - None	37	66	2	2	18	3	25	49	13	13	25	0	795	294	0	2	39	253	0
Precinct 7955 - None	15	27	0	3	4	0	10	21	1	4	20	0	854	116	0	0	11	105	0
Precinct 7955 - None	39	61	6	1	9	9	23	61	10	19	28	0	854	320	0	1	52	267	1
Precinct 7956 - None	8	16	1	4	5	1	6	15	3	5	9	0	779	101	0	0	27	74	1
Precinct 7956 - None	35	41	3	1	10	8	34	42	5	13	19	0	779	247	0	0	36	211	0
Precinct 7957 - None	18	27	2	2	0	1	4	12	3	1	17	0	623	97	0	1	8	88	1
Precinct 7957 - None	28	65	0	4	3	1	17	39	5	8	25	0	623	217	0	0	21	196	1
Precinct 7958 MB - None	13	19	2	0	4	6	4	22	5	3	16	0	263	104	0	0	10	94	0
Precinct 7959 - None	21	17	1	6	0	1	1	16	1	2	32	0	695	110	0	0	12	98	0
Precinct 7959 - None	34	66	2	5	1	1	4	30	1	0	29	0	695	190	0	0	16	174	1
Precinct 9001 MB - None	11	33	1	3	1	0	1	35	3	3	1	0	257	101	0	0	9	92	0
Precinct 9101 - None	28	54	1	5	0	2	9	29	5	8	24	0	833	190	0	0	24	166	1
Precinct 9101 - None	47	102	2	8	5	1	26	47	9	11	25	0	833	323	0	3	37	283	0
Precinct 9102 - None	36	38	0	0	4	2	11	26	4	8	27	0	950	182	0	0	25	157	1
Precinct 9102 - None	61	87	4	1	12	3	22	43	11	13	39	0	950	335	0	1	36	298	2
Precinct 9103 - None	46	43	1	0	7	0	7	22	3	4	21	0	924	174	0	1	19	154	0
Precinct 9103 - None	46	72	3	8	12	3	17	52	9	10	24	0	924	302	0	0	42	260	4
Precinct 9104 - None	22	32	1	8	3	2	4	31	7	4	37	0	937	176	0	0	24	152	1
Precinct 9104 - None	54	80	2	7	9	2	14	65	6	18	35	0	937	332	0	0	40	292	0
Precinct 9105 - None	34	39	1	3	6	0	7	44	2	3	26	0	888	191	0	0	24	167	2
Precinct 9105 - None	61	78	6	3	4	2	28	55	5	10	44	0	888	339	0	2	39	298	2
Precinct 9106 - None	48	55	0	5	2	1	5	26	13	6	29	0	907	213	0	0	23	190	0
Precinct 9106 - None	61	89	3	1	7	2	21	53	9	13	36	0	907	334	0	0	39	295	0
Precinct 9107 - None	20	50	0	1	8	1	3	27	6	2	28	0	806	164	0	1	17	146	0
Precinct 9107 - None	36	52	2	3	9	0	22	43	3	14	36	0	806	246	0	1	25	220	0
Precinct 9108 - None	26	43	5	6	2	0	13	25	3	1	44	0	761	185	0	0	17	168	0
Precinct 9108 - None	41	50	1	5	6	0	8	41	3	6	30	0	761	220	0	0	29	191	0
Precinct 9109 - None	39	43	1	5	4	0	6	31	7	4	37	0	848	205	0	0	28	177	0
Precinct 9109 - None	61	75	1	6	3	1	10	49	4	7	30	0	848	285	0	0	38	247	0
Precinct 9111 - None	26	26	1	3	2	1	7	32	4	7	23	0	756	150	0	1	17	132	0
Precinct 9111 - None	38	50	2	6	4	2	18	38	1	4	39	0	756	226	0	1	23	202	0
Precinct 9112 - None	35	37	0	5	2	0	5	31	7	6	52	0	918	211	0	1	29	181	1
Precinct 9112 - None	66	75	4	2	3	0	12	41	5	11	42	0	918	295	0	2	31	262	1
Precinct 9113 - None	45	46	0	7	5	1	7	43	9	5	36	0	959	231	0	1	25	205	1
Precinct 9113 - None	78	74	4	1	8	2	19	44	16	12	53	0	959	351	0	0	39	312	1
Precinct 9114 - None	22	49	0	1	1	1	5	34	3	3	30	0	820	170	0	1	20	149	0
Precinct 9114 - None	34	63	1	5	8	3	10	50	5	9	49	0	820	273	0	0	36	237	0
Precinct 9115 - None	28	44	3	2	0	0	3	29	10	5	37	0	873	172	0	0	11	161	0
Precinct 9115 - None	54	60	1	2	9	0	11	54	6	4	58	0	873	287	0	0	28	259	0
Precinct 9116 - None	29	37	0	3	2	0	4	37	4	6	50	0	903	193	0	0	20	173	1
Precinct 9116 - None	51	74	1	5	11	3	14	46	5	12	52	0	903	314	0	0	39	275	1
Precinct 9117 - None	40	42	1	2	3	0	8	30	2	2	34	0	756	180	0	0	16	164	0
Precinct 9117 - None	56	82	0	5	10	2	10	44	6	7	25	0	756	285	0	0	38	247	0
Precinct 9118 - None	31	29	0	3	7	1	8	29	6	5	36	0	923	184	0	0	29	155	0
Precinct 9118 - None	31	62	0	1	9	0	22	40	7	10	40	0	923	268	0	2	44	222	0
Precinct 9119 - None	26	26	0	2	8	2	2	22	2	6	33	0	856	152	0	0	23	129	0
Precinct 9119 - None	48	70	2	3	13	7	17	54	16	11	43	0	856	323	0	0	39	284	0
Precinct 9121 - None	25	42	2	3	3	1	11	24	12	7	36	0	890	188	0	0	22	166	0
Precinct 9121 - None	45	67	1	0	9	2	17	46	10	7	34	0	890	274	0	0	35	239	1
Precinct 9122 - None	21	25	0	1	2	0	7	21	5	2	31	0	913	131	0	0	16	115	0
Precinct 9122 - None	35	65	2	4	11	2	25	48	5	20	32	0	913	292	0	1	42	249	0
Precinct 9123 - None	42	36	1	1	4	2	3	29	9	7	23	0	829	175	0	0	18	157	0
Precinct 9123 - None	35	52	0	2	8	4	23	55	6	16	40	0	829	270	0	0	28	242	1
Precinct 9124 - None	18	34	6	2	1	0	5	23	4	5	33	0	832	150	0	0	19	131	0
Precinct 9124 - None	49	62	1	6	6	1	16	54	7	15	34	0	832	290	0	0	39	251	0
Precinct 9125 - None	22	34	0	4	6	0	2	28	3	4	30	0	822	159	0	0	25	134	1
Precinct 9125 - None	51	87	2	5	5	1	18	39	6	9	37	0	822	299	0	0	38	261	1
Precinct 9126 - None	29	42	7	1	7	1	5	25	7	6	37	0	945	186	0	0	19	167	0
Precinct 9126 - None	55	66	0	2	12	3	19	51	11	18	54	0	945	350	0	0	58	292	1
Precinct 9127 - None	41	59	0	2	4	2	6	29	5	4	36	0	908	209	0	0	21	188	0
Precinct 9127 - None	57	69	3	3	7	2	6	64	7	10	40	0	908	315	0	1	45	269	1
Precinct 9128 - None	32	52	1	3	2	0	7	26	6	4	32	0	805	188	0	1	22	165	0
Precinct 9128 - None	66	73	3	2	17	1	14	30	14	16	28	0	805	296	0	0	32	264	0
Precinct 9129 - None	24	38	3	2	3	0	6	30	4	4	37	0	713	173	0	1	20	152	1
Precinct 9129 - None	42	57	5	2	5	0	13	37	4	7	21	0	713	225	0	0	32	193	0
Precinct 9131 - None	33	31	1	2	2	0	3	27	4	1	29	0	740	151	0	0	17	134	1
Precinct 9131 - None	56	65	2	4	5	1	15	44	6	6	45	0	740	274	0	1	24	249	0
Precinct 9132 - None	32	35	1	0	4	0	1	19	3	1	44	0	827	167	0	0	26	141	1
Precinct 9132 - None	50	56	2	1	4	1	7	47	4	8	33	0	827	251	0	2	34	215	2
