Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7813 - Election Day	1	68	89	86	1	5	0	0	0	988	251	-1	0	2	0	250	0
Precinct 7813 - Vote By Mail	2	119	134	82	1	16	2	0	0	988	362	1	2	3	0	356	0
Precinct 7814 - Election Day	2	55	35	63	6	5	1	4	0	892	173	0	1	1	0	171	0
Precinct 7814 - Vote By Mail	1	64	62	75	2	8	2	7	0	892	223	-2	2	1	0	222	1
Precinct 7815 - Election Day	0	49	81	36	1	8	2	1	0	914	178	-1	0	1	0	178	0
Precinct 7815 - Vote By Mail	1	149	176	69	3	6	1	1	0	914	407	-1	0	2	0	406	0
Precinct 7816 - Election Day	2	60	79	44	3	9	4	0	0	858	202	1	0	0	0	201	0
Precinct 7816 - Vote By Mail	0	119	214	32	5	15	1	1	0	858	390	0	1	2	0	387	0
Precinct 7817 - Election Day	0	55	101	53	1	4	2	0	0	795	215	-1	0	0	0	216	0
Precinct 7817 - Vote By Mail	0	92	138	69	0	8	0	0	0	795	309	0	0	2	0	307	0
Precinct 7818 - Election Day	0	42	58	58	2	9	1	1	0	823	172	-1	0	2	0	171	0
Precinct 7818 - Vote By Mail	0	104	134	77	3	13	1	2	0	823	335	-2	1	2	0	334	0
Precinct 7819 - Election Day	0	44	51	62	2	3	2	2	0	760	169	0	2	1	0	166	0
Precinct 7819 - Vote By Mail	1	92	97	71	7	18	2	5	0	760	297	2	0	2	0	293	0
Precinct 7821 - Election Day	0	71	91	56	3	4	3	0	0	947	229	-1	0	2	0	228	0
Precinct 7821 - Vote By Mail	0	148	192	63	10	14	4	0	0	947	439	2	1	2	0	434	3
Precinct 7822 - Election Day	0	47	133	51	5	5	1	1	0	927	244	0	0	1	0	243	0
Precinct 7822 - Vote By Mail	0	99	173	41	4	14	3	1	0	927	343	1	0	6	0	336	1
Precinct 7823 - Election Day	0	65	108	58	0	6	0	0	0	857	237	0	0	0	0	237	0
Precinct 7823 - Vote By Mail	0	122	155	48	5	11	6	1	0	857	347	-1	0	0	0	348	0
Precinct 7824 - Election Day	0	55	61	38	1	11	1	0	0	756	170	0	0	1	0	169	2
Precinct 7824 - Vote By Mail	0	99	102	56	2	6	4	2	0	756	274	0	1	2	0	271	0
Precinct 7825 - Election Day	0	37	56	55	1	4	1	1	0	580	160	1	1	3	0	155	0
Precinct 7825 - Vote By Mail	0	60	75	57	4	10	3	1	0	580	215	1	3	1	0	210	0
Precinct 7826 - Election Day	0	64	59	79	2	8	1	0	0	665	214	-1	1	1	0	213	0
Precinct 7826 - Vote By Mail	1	60	62	57	3	9	1	0	0	665	194	-2	0	3	0	193	0
Precinct 7827 - Election Day	1	39	49	94	2	10	1	1	0	828	199	0	0	2	0	197	0
Precinct 7827 - Vote By Mail	3	80	52	91	5	9	3	8	0	828	252	0	0	1	0	251	0
Precinct 7828 - Election Day	0	67	80	47	2	9	0	0	0	976	205	0	0	0	0	205	0
Precinct 7828 - Vote By Mail	0	122	178	70	5	16	3	1	0	976	397	0	0	0	0	397	2
Precinct 7829 - Election Day	1	70	79	42	2	3	0	1	0	882	199	0	0	1	0	198	0
Precinct 7829 - Vote By Mail	0	129	180	57	5	16	3	1	0	882	391	-1	0	1	0	391	0
Precinct 7831 - Election Day	0	67	86	41	1	2	3	0	0	828	202	1	1	0	0	200	0
Precinct 7831 - Vote By Mail	0	128	178	39	5	12	4	0	0	828	369	0	0	2	0	367	1
Precinct 7832 - Election Day	0	72	50	31	0	8	1	1	0	781	162	-1	0	0	0	163	0
Precinct 7832 - Vote By Mail	0	115	144	63	2	12	2	1	0	781	343	-1	1	4	0	339	0
Precinct 7833 - Election Day	0	46	56	74	3	2	0	0	0	745	182	0	0	1	0	181	0
Precinct 7833 - Vote By Mail	1	91	62	96	5	12	4	0	0	745	271	-1	0	0	0	272	1
Precinct 7834 - Election Day	0	70	60	81	2	8	2	0	0	836	225	-1	0	3	0	223	0
Precinct 7834 - Vote By Mail	1	95	70	98	4	8	1	4	0	836	288	-1	1	7	0	281	0
Precinct 7835 - Election Day	1	45	65	46	2	7	3	1	0	808	175	0	0	3	0	172	2
Precinct 7835 - Vote By Mail	0	108	151	49	7	23	0	1	0	808	338	-3	1	0	0	340	1
Precinct 7836 - Election Day	0	56	77	47	1	16	2	0	0	979	199	0	0	0	0	199	0
Precinct 7836 - Vote By Mail	3	114	192	74	8	25	0	1	0	979	421	1	1	1	0	418	1
Precinct 7837 - Election Day	1	78	79	66	1	6	2	1	0	883	237	1	0	2	0	234	0
Precinct 7837 - Vote By Mail	1	119	131	57	3	20	1	0	0	883	339	3	1	3	0	332	0
Precinct 7838 - Election Day	0	86	73	42	2	4	1	2	0	891	210	0	0	0	0	210	0
Precinct 7838 - Vote By Mail	0	138	185	66	4	12	0	0	0	891	413	0	0	7	0	406	1
Precinct 7839 - Election Day	0	51	66	45	2	6	1	0	0	830	172	-1	0	2	0	171	0
Precinct 7839 - Vote By Mail	0	143	156	63	8	14	2	1	0	830	389	-1	2	1	0	387	0
Precinct 7841 - Election Day	1	78	75	70	0	5	4	1	0	898	240	0	0	4	0	236	2
Precinct 7841 - Vote By Mail	0	125	144	61	1	15	4	0	0	898	353	1	0	1	0	351	1
Precinct 7842 - Election Day	0	70	47	83	0	8	3	0	0	873	214	0	1	1	0	212	1
Precinct 7842 - Vote By Mail	3	98	74	102	9	16	3	0	0	873	308	1	1	1	0	305	0
Precinct 7843 - Election Day	0	60	47	68	2	3	1	0	0	751	182	-1	0	0	0	183	2
Precinct 7843 - Vote By Mail	1	88	75	78	6	8	3	5	0	751	267	1	0	2	0	264	0
Precinct 7844 - Election Day	0	43	45	58	3	5	2	0	0	635	160	0	0	4	0	156	0
Precinct 7844 - Vote By Mail	1	73	60	95	3	8	0	1	0	635	245	-1	1	3	0	242	1
Precinct 7845 - Election Day	1	59	82	42	2	13	0	0	0	803	202	0	0	3	0	199	0
Precinct 7845 - Vote By Mail	2	121	127	49	1	10	0	2	0	803	314	-2	0	4	0	312	0
Precinct 7846 - Election Day	0	75	83	46	2	9	2	1	0	871	221	0	1	1	0	219	1
Precinct 7846 - Vote By Mail	1	126	114	57	8	17	0	0	0	871	330	2	1	2	0	325	2
Precinct 7847 - Election Day	0	58	77	56	3	10	1	3	0	878	207	-2	0	1	0	208	0
Precinct 7847 - Vote By Mail	1	116	138	75	6	17	1	0	0	878	358	-2	2	4	0	354	0
Precinct 7848 - Election Day	0	64	82	51	1	11	1	0	0	838	209	-1	0	0	0	210	0
Precinct 7848 - Vote By Mail	1	149	97	78	6	13	0	2	0	838	346	-3	1	1	0	347	1
Precinct 7849 - Election Day	1	72	76	74	2	8	2	1	0	904	237	-1	1	1	0	236	0
Precinct 7849 - Vote By Mail	1	143	113	79	7	9	1	1	0	904	353	-2	1	0	0	354	0
Precinct 7851 - Election Day	1	46	28	20	6	10	3	2	0	493	118	0	0	1	0	117	1
Precinct 7851 - Vote By Mail	0	90	65	25	9	5	0	6	0	493	204	0	0	1	0	203	3
Precinct 7852 - Election Day	1	26	59	6	4	5	0	0	0	634	104	0	1	2	0	101	0
Precinct 7852 - Vote By Mail	0	92	126	46	10	19	4	4	0	634	303	-1	0	3	0	301	0
Precinct 7853 - Election Day	0	60	76	30	0	9	1	1	0	837	180	0	1	1	0	178	1
Precinct 7853 - Vote By Mail	2	129	117	51	6	19	0	1	0	837	333	1	0	7	0	325	0
Precinct 7854 - Election Day	1	72	68	56	4	13	2	0	0	874	216	-1	0	1	0	216	0
Precinct 7854 - Vote By Mail	0	143	107	63	5	20	1	2	0	874	346	-1	1	5	0	341	0
Precinct 7855 - Election Day	0	89	93	65	1	10	0	0	0	949	259	0	0	1	0	258	0
Precinct 7855 - Vote By Mail	1	140	91	87	7	24	5	4	0	949	359	-6	0	6	0	359	0
Precinct 7856 - Election Day	0	62	76	52	1	8	0	1	0	790	204	2	0	2	0	200	0
Precinct 7856 - Vote By Mail	0	124	90	74	2	16	1	3	0	790	312	-1	1	2	0	310	0
Precinct 7857 - Election Day	0	69	52	88	2	8	3	0	0	913	226	1	0	2	0	223	1
Precinct 7857 - Vote By Mail	2	119	84	113	7	19	2	1	0	913	350	-1	0	4	0	347	0
Precinct 7858 - Election Day	2	44	50	82	1	8	1	0	0	743	192	0	1	3	0	188	0
Precinct 7858 - Vote By Mail	0	80	62	96	0	8	2	0	0	743	252	0	2	2	0	248	0
Precinct 7859 - Election Day	2	87	56	53	1	15	1	0	0	879	219	0	0	3	0	216	1
Precinct 7859 - Vote By Mail	1	162	101	50	13	17	0	3	0	879	352	-1	1	5	0	347	0
Precinct 7861 - Election Day	0	62	61	51	2	5	0	1	0	835	184	0	0	0	0	184	2
Precinct 7861 - Vote By Mail	1	134	129	71	3	21	4	1	0	835	367	0	0	3	0	364	0
Precinct 7862 - Election Day	1	75	88	53	6	10	3	1	0	850	237	0	0	0	0	237	0
Precinct 7862 - Vote By Mail	0	135	92	68	6	15	2	2	0	850	323	-3	2	4	0	320	0
Precinct 7863 - Election Day	0	74	71	75	5	10	0	1	0	870	237	1	0	0	0	236	0
Precinct 7863 - Vote By Mail	0	104	89	77	4	18	3	2	0	870	302	-1	2	3	0	298	1
Precinct 7864 - Election Day	1	55	51	65	5	7	1	2	0	773	188	0	0	1	0	187	0
Precinct 7864 - Vote By Mail	0	104	73	85	8	14	1	1	0	773	284	-2	0	0	0	286	0
Precinct 7865 - Election Day	1	50	53	58	6	6	0	0	0	808	178	0	0	3	0	175	1
Precinct 7865 - Vote By Mail	4	87	102	74	8	27	4	3	0	808	310	-3	1	3	0	309	0
Precinct 7866 - Election Day	0	68	66	34	3	12	0	0	0	816	184	0	0	1	0	183	0
Precinct 7866 - Vote By Mail	0	162	104	49	15	33	3	15	0	816	389	0	3	5	0	381	0
Precinct 7867 - Election Day	1	82	73	31	1	13	1	2	0	932	209	0	1	3	0	205	1
Precinct 7867 - Vote By Mail	1	148	134	62	4	19	0	10	0	932	385	1	1	5	0	378	0
Precinct 7868 - Election Day	0	109	55	40	1	9	2	1	0	860	218	0	0	1	0	217	0
Precinct 7868 - Vote By Mail	0	127	113	49	7	23	0	3	0	860	324	-1	1	1	0	323	1
Precinct 7869 - Election Day	1	74	71	49	3	16	3	1	0	842	219	0	0	1	0	218	0
Precinct 7869 - Vote By Mail	0	136	129	77	4	22	1	1	0	842	376	-2	1	7	0	370	0
Precinct 7871 - Election Day	0	83	77	55	2	17	0	3	0	882	240	-2	4	1	0	237	0
Precinct 7871 - Vote By Mail	1	143	126	57	4	20	2	4	0	882	364	1	1	3	0	359	2
Precinct 7872 - Election Day	1	97	63	61	2	10	3	0	0	864	242	0	0	5	0	237	0
Precinct 7872 - Vote By Mail	0	146	110	80	10	14	4	0	0	864	369	-1	0	6	0	364	0
Precinct 7873 - Election Day	1	83	70	64	2	6	3	0	0	841	231	1	0	1	0	229	0
Precinct 7873 - Vote By Mail	0	145	134	70	8	19	4	0	0	841	387	-1	3	5	0	380	0
Precinct 7874 - Election Day	0	23	26	25	1	9	0	0	0	453	85	0	0	1	0	84	0
Precinct 7874 - Vote By Mail	0	60	68	28	2	8	1	3	0	453	174	0	0	3	0	171	1
Precinct 7875 - Election Day	1	47	24	39	4	7	2	3	0	615	127	0	0	0	0	127	0
Precinct 7875 - Vote By Mail	0	69	42	54	7	11	3	13	0	615	203	-1	0	4	0	200	1
Precinct 7876 - Election Day	0	39	32	26	0	2	0	2	0	491	101	0	0	0	0	101	0
Precinct 7876 - Vote By Mail	0	59	45	38	1	3	2	0	0	491	148	-1	1	0	0	148	0
Precinct 7901 - Election Day	1	23	26	33	1	2	0	0	0	466	87	0	0	1	0	86	0
Precinct 7901 - Vote By Mail	1	44	40	36	1	6	1	2	0	466	133	0	1	0	0	132	1
Precinct 7902 - Election Day	2	57	33	77	4	7	4	2	0	921	188	2	0	0	0	186	0
Precinct 7902 - Vote By Mail	2	66	74	89	6	13	3	3	0	921	259	-3	2	1	0	259	3
Precinct 7903 - Election Day	1	37	34	55	2	11	1	0	0	819	144	0	1	2	0	141	0
Precinct 7903 - Vote By Mail	5	73	62	74	5	10	1	8	0	819	244	0	2	4	0	238	0
Precinct 7904 - Election Day	1	35	25	69	2	2	0	0	0	846	137	1	2	0	0	134	0
Precinct 7904 - Vote By Mail	2	84	62	63	9	15	0	8	0	846	248	-2	3	4	0	243	0
Precinct 7905 - Election Day	2	67	43	67	1	15	0	1	0	821	199	2	0	1	0	196	0
Precinct 7905 - Vote By Mail	1	104	72	67	9	13	1	3	0	821	275	0	1	2	0	272	2
Precinct 7906 - Election Day	0	40	27	84	1	8	2	0	0	769	164	-1	1	2	0	162	0
Precinct 7906 - Vote By Mail	2	66	56	70	0	9	4	6	0	769	214	-1	0	2	0	213	0
Precinct 7907 - Election Day	1	46	46	91	2	8	1	3	0	926	201	3	0	0	0	198	0
Precinct 7907 - Vote By Mail	1	107	60	93	1	12	4	5	0	926	286	0	0	3	0	283	0
Precinct 7908 - Election Day	4	49	47	74	5	7	2	1	0	936	191	0	0	2	0	189	0
Precinct 7908 - Vote By Mail	5	86	54	92	2	13	2	10	0	936	267	-1	2	2	0	264	0
Precinct 7909 - Election Day	0	48	30	101	0	6	4	0	0	726	190	-1	0	1	0	190	1
Precinct 7909 - Vote By Mail	1	74	51	82	0	8	2	3	0	726	221	-2	0	1	0	222	1
Precinct 7911 - Election Day	0	56	36	83	2	10	1	3	0	849	192	0	0	1	0	191	0
Precinct 7911 - Vote By Mail	5	94	58	69	2	18	1	4	0	849	250	-3	1	0	0	252	1
Precinct 7912 - Election Day	1	53	48	92	1	10	2	4	0	1,036	215	1	1	2	0	211	0
Precinct 7912 - Vote By Mail	2	100	88	94	2	10	6	10	0	1,036	314	-1	0	3	0	312	0
Precinct 7913 - Election Day	0	56	44	121	2	11	4	0	0	887	240	0	0	2	0	238	0
Precinct 7913 - Vote By Mail	1	78	47	81	6	13	5	6	0	887	244	0	1	4	0	239	2
Precinct 7914 - Election Day	1	64	34	90	3	9	2	1	0	833	208	0	1	3	0	204	0
Precinct 7914 - Vote By Mail	0	84	56	89	6	8	2	1	0	833	253	1	4	1	0	247	1
Precinct 7915 - Election Day	2	51	41	97	2	12	2	2	0	802	213	0	1	3	0	209	0
Precinct 7915 - Vote By Mail	2	62	49	82	1	14	3	8	0	802	222	0	1	0	0	221	0
Precinct 7916 - Election Day	1	48	52	102	1	7	3	0	0	887	215	0	0	1	0	214	0
Precinct 7916 - Vote By Mail	2	84	77	99	4	17	2	4	0	887	289	0	0	0	0	289	0
Precinct 7917 - Election Day	3	50	45	121	5	18	3	3	0	983	254	0	0	5	0	249	1
Precinct 7917 - Vote By Mail	1	76	53	128	4	14	0	4	0	983	287	0	5	2	0	280	0
Precinct 7918 - Election Day	0	47	39	89	3	6	2	1	0	790	191	1	0	2	0	188	1
Precinct 7918 - Vote By Mail	1	80	56	80	3	12	2	0	0	790	234	-1	1	0	0	234	0
Precinct 7919 - Election Day	2	48	53	88	3	14	4	0	0	857	217	0	1	4	0	212	0
Precinct 7919 - Vote By Mail	2	67	62	87	0	16	1	3	0	857	241	1	1	1	0	238	0
Precinct 7921 - Election Day	4	43	38	53	0	8	2	2	0	883	151	-1	0	0	0	152	2
Precinct 7921 - Vote By Mail	5	65	52	59	2	21	1	0	0	883	210	1	2	1	0	206	1
Precinct 7922 - Election Day	1	36	38	95	2	4	5	0	0	797	182	0	0	1	0	181	0
Precinct 7922 - Vote By Mail	1	76	52	84	4	14	0	7	0	797	241	1	1	1	0	238	0
Precinct 7923 - Election Day	1	44	55	84	0	10	4	0	0	863	202	0	0	4	0	198	0
Precinct 7923 - Vote By Mail	4	64	42	100	6	21	1	3	0	863	241	-4	2	2	0	241	0
Precinct 7924 - Election Day	3	36	40	75	2	8	0	3	0	806	172	1	3	1	0	167	0
Precinct 7924 - Vote By Mail	2	64	61	82	5	15	5	13	0	806	247	0	0	0	0	247	0
Precinct 7925 - Election Day	1	23	28	49	2	9	1	0	0	570	114	0	0	1	0	113	0
Precinct 7925 - Vote By Mail	1	56	43	74	2	8	3	0	0	570	191	0	0	4	0	187	0
Precinct 7926 - Election Day	0	48	43	76	1	7	1	0	0	768	177	0	0	0	0	177	1
Precinct 7926 - Vote By Mail	3	103	72	86	9	17	0	1	0	768	296	0	0	4	0	292	1
Precinct 7927 - Election Day	1	38	55	77	0	9	1	4	0	733	187	0	0	1	0	186	1
Precinct 7927 - Vote By Mail	1	75	88	110	0	12	2	0	0	733	289	-1	1	1	0	288	0
Precinct 7928 - Election Day	1	70	57	104	3	12	5	1	0	899	253	0	0	0	0	253	0
Precinct 7928 - Vote By Mail	4	81	90	107	2	10	2	0	0	899	297	-1	1	0	0	297	1
Precinct 7929 - Election Day	0	59	63	69	1	4	1	1	0	840	200	0	0	2	0	198	0
Precinct 7929 - Vote By Mail	0	114	121	108	4	12	0	0	0	840	367	0	1	7	0	359	0
Precinct 7931 - Election Day	0	70	58	55	1	2	0	0	0	732	189	1	1	0	0	187	1
Precinct 7931 - Vote By Mail	0	117	110	71	3	10	1	1	0	732	317	0	0	2	0	315	2
Precinct 7932 - Election Day	1	32	34	37	1	6	1	0	0	551	112	0	0	0	0	112	0
Precinct 7932 - Vote By Mail	0	73	63	72	4	7	1	3	0	551	225	-1	0	3	0	223	0
Precinct 7933 MB - Vote By Mail	0	2	1	0	0	0	0	1	0	8	4	0	0	0	0	4	0
Precinct 7934 - Election Day	2	46	55	79	3	10	1	0	0	885	195	-1	0	0	0	196	0
Precinct 7934 - Vote By Mail	3	90	101	111	3	9	3	3	0	885	328	-1	1	3	0	325	2
Precinct 7935 - Election Day	0	73	76	115	2	9	3	0	0	938	283	0	1	4	0	278	0
Precinct 7935 - Vote By Mail	0	117	111	111	6	14	4	1	0	938	370	2	2	2	0	364	0
Precinct 7936 - Election Day	0	54	77	100	0	8	3	2	0	832	246	0	0	2	0	244	0
Precinct 7936 - Vote By Mail	3	94	91	110	2	18	3	0	0	832	326	1	1	3	0	321	0
Precinct 7937 - Election Day	0	61	67	81	0	8	3	2	0	874	223	0	0	1	0	222	0
Precinct 7937 - Vote By Mail	1	103	90	88	2	20	2	2	0	874	309	-1	0	1	0	309	1
Precinct 7938 - Election Day	0	52	39	53	2	11	2	2	0	774	162	0	0	1	0	161	0
Precinct 7938 - Vote By Mail	0	55	71	98	1	13	1	7	0	774	247	-1	1	1	0	246	0
Precinct 7939 - Election Day	0	64	50	60	1	4	4	0	0	667	186	2	0	1	0	183	0
Precinct 7939 - Vote By Mail	0	70	68	74	3	11	2	0	0	667	230	-2	3	1	0	228	0
Precinct 7941 - Election Day	1	48	46	58	0	13	0	1	0	728	167	0	0	0	0	167	0
Precinct 7941 - Vote By Mail	1	71	61	85	1	9	1	2	0	728	236	2	1	2	0	231	0
Precinct 7942 - Election Day	0	57	44	50	2	9	0	2	0	893	166	0	1	1	0	164	0
Precinct 7942 - Vote By Mail	5	84	95	55	4	20	2	13	0	893	286	-1	2	7	0	278	0
Precinct 7943 - Election Day	0	66	55	45	4	17	2	1	0	887	192	0	0	2	0	190	0
Precinct 7943 - Vote By Mail	4	89	93	81	4	22	5	14	0	887	319	0	3	2	0	314	2
Precinct 7944 - Election Day	0	48	66	72	1	8	2	1	0	769	201	1	0	2	0	198	0
Precinct 7944 - Vote By Mail	4	71	80	62	4	7	2	5	0	769	235	-1	0	0	0	236	1
Precinct 7945 - Election Day	0	37	28	39	2	9	1	1	0	897	118	-1	0	1	0	118	1
Precinct 7945 - Vote By Mail	3	76	80	98	5	21	3	6	0	897	294	-1	1	2	0	292	0
Precinct 7946 - Election Day	1	54	24	40	0	6	0	8	0	909	134	-1	1	1	0	133	0
Precinct 7946 - Vote By Mail	5	101	61	63	16	36	4	54	0	909	348	1	2	3	0	342	2
Precinct 7947 - Election Day	4	53	28	24	1	9	1	7	0	894	128	0	0	1	0	127	0
Precinct 7947 - Vote By Mail	2	91	60	73	9	31	1	54	0	894	327	-3	0	9	0	321	0
Precinct 7948 - Election Day	1	59	39	41	3	13	0	9	0	900	165	0	0	0	0	165	0
Precinct 7948 - Vote By Mail	0	99	76	58	13	28	0	30	0	900	313	-1	1	7	0	306	2
Precinct 7949 - Election Day	1	24	12	22	2	11	0	3	0	552	78	2	0	1	0	75	0
Precinct 7949 - Vote By Mail	4	76	39	31	8	24	1	37	0	552	224	1	0	3	0	220	0
Precinct 7951 - Election Day	0	39	20	24	3	7	1	3	0	830	97	0	0	0	0	97	0
Precinct 7951 - Vote By Mail	3	93	60	53	14	37	3	79	0	830	341	-3	0	1	0	343	1
Precinct 7952 - Election Day	1	24	19	25	2	17	0	10	0	823	100	0	1	1	0	98	0
Precinct 7952 - Vote By Mail	2	73	60	65	6	35	1	43	0	823	288	1	1	1	0	285	0
Precinct 7953 - Election Day	0	35	20	34	4	9	0	3	0	795	103	-3	0	1	0	105	0
Precinct 7953 - Vote By Mail	3	103	55	54	7	38	1	30	0	795	294	-1	0	4	0	291	0
Precinct 7955 - Election Day	0	38	22	29	3	16	0	7	0	854	116	0	1	0	0	115	0
Precinct 7955 - Vote By Mail	4	101	56	66	3	38	0	48	0	854	320	-1	1	3	0	317	1
Precinct 7956 - Election Day	0	35	19	23	3	6	1	8	0	779	101	2	0	4	0	95	0
Precinct 7956 - Vote By Mail	1	92	38	39	8	17	2	50	0	779	247	0	0	0	0	247	0
Precinct 7957 - Election Day	0	43	19	21	0	7	0	4	0	623	97	1	0	0	0	96	2
Precinct 7957 - Vote By Mail	4	100	30	42	7	18	2	12	0	623	217	0	1	1	0	215	0
Precinct 7958 MB - Vote By Mail	3	35	15	18	5	6	3	20	0	263	104	-3	2	0	0	105	0
Precinct 7959 - Election Day	1	43	32	27	1	4	2	0	0	695	110	-2	0	1	0	111	1
Precinct 7959 - Vote By Mail	0	70	47	54	0	6	6	4	0	695	190	1	1	1	0	187	0
Precinct 9001 MB - Vote By Mail	2	45	26	16	0	5	0	5	0	257	101	0	1	1	0	99	0
Precinct 9101 - Election Day	0	62	40	55	4	19	0	8	0	833	190	0	0	1	0	189	1
Precinct 9101 - Vote By Mail	1	116	65	66	24	28	3	17	0	833	323	-1	0	4	0	320	0
Precinct 9102 - Election Day	2	55	37	50	15	12	3	1	0	950	182	0	0	7	0	175	0
Precinct 9102 - Vote By Mail	1	106	83	83	19	23	0	16	0	950	335	-1	1	4	0	331	0
Precinct 9103 - Election Day	2	67	41	35	8	8	1	10	0	924	174	0	0	2	0	172	0
Precinct 9103 - Vote By Mail	2	110	61	64	23	18	1	17	0	924	302	-3	0	6	0	299	3
Precinct 9104 - Election Day	4	42	38	65	4	12	2	4	0	937	176	0	2	3	0	171	0
Precinct 9104 - Vote By Mail	2	107	78	79	14	19	1	25	0	937	332	1	1	5	0	325	0
Precinct 9105 - Election Day	2	54	54	54	6	11	0	9	0	888	191	-1	1	0	0	191	1
Precinct 9105 - Vote By Mail	3	114	80	82	24	20	2	9	0	888	339	-1	2	2	0	336	2
Precinct 9106 - Election Day	0	80	49	51	5	21	2	0	0	907	213	2	0	3	0	208	0
Precinct 9106 - Vote By Mail	1	123	83	67	11	30	1	8	0	907	334	-3	4	8	0	325	1
Precinct 9107 - Election Day	1	45	32	61	4	10	0	8	0	806	164	0	1	2	0	161	0
Precinct 9107 - Vote By Mail	2	78	44	79	14	19	2	6	0	806	246	1	0	1	0	244	0
Precinct 9108 - Election Day	0	69	28	56	9	14	4	5	0	761	185	-1	0	1	0	185	0
Precinct 9108 - Vote By Mail	1	103	38	48	5	12	2	8	0	761	220	-1	0	3	0	218	1
Precinct 9109 - Election Day	0	63	59	54	9	17	0	4	0	848	205	-1	0	0	0	206	0
Precinct 9109 - Vote By Mail	0	117	63	75	8	10	1	7	0	848	285	2	0	2	0	281	0
Precinct 9111 - Election Day	1	51	27	43	8	13	2	3	0	756	150	0	0	2	0	148	0
Precinct 9111 - Vote By Mail	2	75	50	58	10	15	3	11	0	756	226	-1	0	2	0	225	1
Precinct 9112 - Election Day	0	71	54	60	5	12	1	7	0	918	211	0	0	1	0	210	0
Precinct 9112 - Vote By Mail	0	105	79	69	6	20	2	8	0	918	295	0	1	3	0	291	2
Precinct 9113 - Election Day	1	82	50	67	3	19	1	4	0	959	231	1	0	2	0	228	1
Precinct 9113 - Vote By Mail	1	113	89	95	10	18	0	20	0	959	351	2	2	1	0	346	0
Precinct 9114 - Election Day	1	45	43	53	4	12	3	6	0	820	170	0	1	2	0	167	0
Precinct 9114 - Vote By Mail	4	78	67	73	7	21	3	14	0	820	273	2	1	3	0	267	0
Precinct 9115 - Election Day	2	59	36	53	3	11	1	5	0	873	172	0	0	2	0	170	0
Precinct 9115 - Vote By Mail	1	96	57	92	11	17	2	8	0	873	287	0	0	3	0	284	0
Precinct 9116 - Election Day	2	57	34	85	2	4	3	2	0	903	193	2	0	2	0	189	0
Precinct 9116 - Vote By Mail	0	115	56	103	11	15	2	7	0	903	314	2	1	2	0	309	0
Precinct 9117 - Election Day	0	57	45	53	2	20	1	1	0	756	180	0	0	1	0	179	0
Precinct 9117 - Vote By Mail	0	114	64	56	18	24	2	1	0	756	285	2	0	4	0	279	0
Precinct 9118 - Election Day	0	60	42	53	6	11	1	5	0	923	184	-1	0	7	0	178	0
Precinct 9118 - Vote By Mail	0	78	55	72	16	21	3	22	0	923	268	-2	1	1	0	268	1
Precinct 9119 - Election Day	2	44	37	51	7	7	2	2	0	856	152	-2	0	2	0	152	0
Precinct 9119 - Vote By Mail	1	103	73	87	15	28	2	11	0	856	323	-1	1	2	0	321	1
Precinct 9121 - Election Day	2	61	32	50	8	23	1	10	0	890	188	0	0	1	0	187	0
Precinct 9121 - Vote By Mail	1	99	58	63	11	14	1	21	0	890	274	1	1	2	0	270	2
Precinct 9122 - Election Day	0	47	30	36	7	3	0	7	0	913	131	0	0	1	0	130	0
Precinct 9122 - Vote By Mail	1	97	52	80	14	15	0	26	0	913	292	0	0	5	0	287	2
Precinct 9123 - Election Day	3	50	42	60	5	7	0	4	0	829	175	0	0	4	0	171	0
Precinct 9123 - Vote By Mail	0	73	66	68	20	8	0	28	0	829	270	2	2	2	0	264	1
Precinct 9124 - Election Day	0	50	28	49	6	8	0	6	0	832	150	0	2	1	0	147	0
Precinct 9124 - Vote By Mail	1	98	58	74	16	15	2	17	0	832	290	0	1	7	0	282	1
Precinct 9125 - Election Day	0	60	27	52	8	11	0	1	0	822	159	0	0	0	0	159	0
Precinct 9125 - Vote By Mail	5	91	54	82	11	18	1	32	0	822	299	-3	0	6	0	296	2
Precinct 9126 - Election Day	0	62	29	66	5	11	1	8	0	945	186	0	0	3	0	183	1
Precinct 9126 - Vote By Mail	4	111	72	89	8	22	0	38	0	945	350	-1	0	4	0	347	3
Precinct 9127 - Election Day	0	75	40	65	7	15	1	3	0	908	209	1	0	2	0	206	0
Precinct 9127 - Vote By Mail	0	106	73	91	13	18	5	6	0	908	315	-4	0	5	0	314	2
Precinct 9128 - Election Day	1	62	42	56	4	14	1	5	0	805	188	0	0	3	0	185	0
Precinct 9128 - Vote By Mail	0	112	75	57	5	32	1	8	0	805	296	-2	0	5	0	293	3
Precinct 9129 - Election Day	1	61	34	55	3	9	0	9	0	713	173	0	0	1	0	172	0
Precinct 9129 - Vote By Mail	3	73	34	58	15	13	3	20	0	713	225	2	0	3	0	220	1
Precinct 9131 - Election Day	0	49	28	60	4	3	0	5	0	740	151	1	0	0	0	150	1
Precinct 9131 - Vote By Mail	3	94	50	79	9	19	0	19	0	740	274	1	0	0	0	273	0
