Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7037 - None	22	30	730	64	1	0	11	52	0
Precinct 7038 - None	27	30	880	84	0	0	25	59	2
Precinct 7038 - None	119	83	880	255	0	0	52	203	1
Precinct 7039 - None	37	49	768	111	0	0	22	89	3
Precinct 7039 - None	100	61	768	225	3	0	58	164	3
Precinct 7041 MB - None	13	6	60	24	1	0	4	19	0
Precinct 7042 - None	26	36	632	75	0	0	11	64	2
Precinct 7042 - None	67	87	632	191	0	0	37	154	0
Precinct 7043 - None	18	53	915	97	0	0	25	72	1
Precinct 7043 - None	113	119	915	282	0	0	49	233	1
Precinct 7044 - None	18	34	805	86	-1	0	34	53	1
Precinct 7044 - None	48	53	805	125	-1	0	25	101	0
Precinct 7045 - None	14	45	763	87	0	0	28	59	0
Precinct 7045 - None	134	62	763	282	1	0	84	197	1
Precinct 7046 - None	18	25	385	54	0	0	10	44	1
Precinct 7046 - None	63	52	385	136	-1	0	22	115	0
Precinct 7047 - None	19	29	781	68	-1	1	20	48	0
Precinct 7047 - None	130	118	781	298	2	0	45	251	3
Precinct 7048 - None	21	53	815	94	0	0	18	76	2
Precinct 7048 - None	102	87	815	248	1	0	53	194	5
Precinct 7049 - None	39	38	751	108	0	0	29	79	2
Precinct 7049 - None	116	69	751	241	0	0	54	187	2
Precinct 7051 - None	19	35	839	70	-1	1	16	54	0
Precinct 7051 - None	168	63	839	302	2	0	69	231	0
Precinct 7052 - None	54	45	806	120	-1	0	22	99	0
Precinct 7052 - None	143	83	806	278	1	0	51	226	0
Precinct 7053 - None	16	18	548	44	0	0	10	34	0
Precinct 7053 - None	102	63	548	205	3	0	37	165	0
Precinct 7054 - None	23	87	1,024	141	0	0	31	110	0
Precinct 7054 - None	105	120	1,024	275	1	0	49	225	0
Precinct 7055 - None	29	34	699	83	-1	0	21	63	0
Precinct 7055 - None	108	88	699	256	2	0	58	196	0
Precinct 7101 MB - None	38	26	141	83	0	0	19	64	0
Precinct 7201 - None	60	38	900	147	0	0	47	100	2
Precinct 7201 - None	151	108	900	333	0	0	74	259	0
Precinct 7202 - None	63	39	830	138	-1	0	36	103	1
Precinct 7202 - None	153	68	830	271	-2	0	52	221	0
Precinct 7203 - None	72	64	867	174	0	0	38	136	0
Precinct 7203 - None	111	78	867	243	1	1	51	190	1
Precinct 7204 - None	64	49	888	157	0	0	44	113	0
Precinct 7204 - None	179	103	888	340	2	0	56	282	0
Precinct 7205 - None	89	53	847	183	0	0	40	143	1
Precinct 7205 - None	188	71	847	309	0	1	49	259	0
