Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9245 - None	115	57	706	226	2	0	51	173	1
Precinct 9246 - None	55	36	910	139	0	0	48	91	0
Precinct 9246 - None	135	83	910	299	-1	0	81	219	1
Precinct 9247 - None	58	59	936	151	-1	0	34	118	1
Precinct 9247 - None	135	112	936	303	1	0	55	247	0
Precinct 9248 - None	56	75	898	181	0	0	50	131	0
Precinct 9248 - None	130	82	898	282	6	0	64	212	0
Precinct 9249 - None	80	59	910	187	1	0	47	139	0
Precinct 9249 - None	168	80	910	314	3	0	62	249	1
Precinct 9251 - None	97	64	946	204	0	0	43	161	0
Precinct 9251 - None	181	87	946	342	-1	1	74	268	0
Precinct 9252 - None	57	51	913	140	-1	0	33	108	0
Precinct 9252 - None	180	109	913	352	1	0	60	291	2
Precinct 9253 - None	61	38	751	138	4	0	34	100	1
Precinct 9253 - None	135	78	751	272	0	1	58	213	0
Precinct 9254 - None	62	71	889	168	0	0	34	134	1
Precinct 9254 - None	166	94	889	318	-2	0	60	260	0
Precinct 9255 - None	42	59	545	126	0	0	25	101	0
Precinct 9255 - None	57	45	545	128	1	0	25	102	0
Precinct 9256 - None	24	28	433	77	0	0	25	52	0
Precinct 9256 - None	36	47	433	103	-1	0	21	83	0
Precinct 9257 MB - None	63	63	312	150	-1	0	24	127	1
Precinct 9258 - None	51	47	699	127	0	0	29	98	0
Precinct 9258 - None	126	76	699	244	-2	0	44	202	0
Precinct 9401 - None	56	94	970	194	-1	0	42	153	3
Precinct 9401 - None	120	121	970	293	-2	0	52	243	2
Precinct 9402 - None	67	83	931	197	0	1	46	150	0
Precinct 9402 - None	122	115	931	307	1	0	68	238	1
Precinct 9403 - None	53	80	853	167	0	0	34	133	0
Precinct 9403 - None	123	112	853	286	2	0	49	235	0
Precinct 9404 - None	54	66	889	153	0	0	33	120	0
Precinct 9404 - None	142	104	889	320	3	0	71	246	0
Precinct 9405 - None	59	62	757	160	-1	0	40	121	0
Precinct 9405 - None	119	73	757	245	1	1	50	193	1
Precinct 9406 - None	71	72	815	179	0	0	36	143	0
Precinct 9406 - None	124	97	815	277	1	1	54	221	0
Precinct 9407 - None	68	73	861	191	1	0	48	142	1
Precinct 9407 - None	109	122	861	284	-1	0	54	231	0
Precinct 9408 - None	51	89	837	187	1	0	45	141	1
Precinct 9408 - None	102	98	837	246	-2	0	48	200	0
Precinct 9409 - None	42	79	565	140	0	0	19	121	0
Precinct 9409 - None	73	62	565	170	2	1	32	135	0
Precinct 9411 - None	54	89	936	175	-1	0	33	143	0
Precinct 9411 - None	104	110	936	261	1	0	45	215	1
Precinct 9412 - None	51	75	843	164	0	0	34	130	4
Precinct 9412 - None	114	97	843	285	0	0	72	213	2
Precinct 9413 - None	63	64	858	172	-1	0	45	128	1
Precinct 9413 - None	138	89	858	310	3	0	80	227	0
Precinct 9414 - None	47	51	862	159	1	0	59	99	1
Precinct 9414 - None	162	85	862	307	1	0	58	248	1
Precinct 9415 - None	55	44	755	121	0	0	22	99	0
Precinct 9415 - None	143	84	755	284	-2	0	58	228	1
Precinct 9416 - None	78	79	962	198	0	0	41	157	0
Precinct 9416 - None	147	96	962	316	3	0	70	243	0
Precinct 9417 - None	38	51	714	117	-1	0	29	89	0
Precinct 9417 - None	148	78	714	286	8	0	51	227	1
Precinct 9418 - None	64	50	753	157	1	0	42	114	0
Precinct 9418 - None	130	66	753	269	0	0	71	198	2
Precinct 9419 - None	52	64	893	167	0	0	50	117	1
Precinct 9419 - None	170	94	893	326	1	1	60	264	0
Precinct 9421 - None	52	53	878	150	-1	0	45	106	1
Precinct 9421 - None	158	84	878	316	-1	1	73	243	1
Precinct 9422 - None	68	76	1,010	200	-1	0	57	144	0
Precinct 9422 - None	194	89	1,010	358	0	0	72	286	3
Precinct 9423 - None	57	52	853	147	0	0	38	109	0
Precinct 9423 - None	145	88	853	292	-1	0	58	235	2
Precinct 9424 - None	52	63	910	146	1	0	30	115	0
Precinct 9424 - None	168	93	910	331	-1	0	69	263	2
Precinct 9425 - None	45	50	903	136	1	0	40	95	0
Precinct 9425 - None	149	80	903	313	3	0	79	231	2
Precinct 9426 - None	59	51	801	143	-1	0	33	111	1
Precinct 9426 - None	138	61	801	283	1	0	80	202	3
Precinct 9427 - None	58	40	889	129	-1	0	30	100	2
Precinct 9427 - None	150	95	889	333	1	0	87	245	0
Precinct 9428 - None	43	46	892	122	-1	0	31	92	3
Precinct 9428 - None	175	103	892	346	-1	0	66	281	3
Precinct 9429 - None	74	54	866	173	0	0	44	129	1
Precinct 9429 - None	162	82	866	308	0	0	63	245	1
Precinct 9431 - None	73	47	954	152	-1	0	32	121	1
Precinct 9431 - None	193	82	954	352	4	1	69	278	3
Precinct 9432 - None	64	51	901	155	0	0	39	116	1
Precinct 9432 - None	134	87	901	307	0	0	81	226	5
Precinct 9433 - None	58	52	912	155	0	0	43	112	2
Precinct 9433 - None	152	82	912	317	-2	1	84	234	0
Precinct 9434 - None	66	62	963	188	0	0	58	130	2
Precinct 9434 - None	185	111	963	349	-1	1	53	296	0
Precinct 9435 - None	78	68	934	195	0	0	47	148	2
Precinct 9435 - None	140	92	934	320	2	0	84	234	2
Precinct 9436 - None	73	51	941	161	0	0	37	124	0
Precinct 9436 - None	160	92	941	337	0	0	83	254	2
Precinct 9437 - None	66	57	873	170	0	0	46	124	1
Precinct 9437 - None	186	75	873	324	1	0	62	261	0
Precinct 9438 - None	49	54	918	129	1	0	24	104	1
Precinct 9438 - None	196	78	918	336	-1	0	63	274	0
Precinct 9439 - None	54	42	827	126	0	0	28	98	2
Precinct 9439 - None	180	63	827	314	-1	0	72	243	0
Precinct 9441 - None	64	88	939	205	-1	0	51	155	3
Precinct 9441 - None	170	98	939	337	-1	0	69	269	1
Precinct 9442 - None	80	81	970	200	0	0	37	163	2
Precinct 9442 - None	145	98	970	325	0	0	76	249	6
Precinct 9443 - None	53	61	886	138	0	0	22	116	2
Precinct 9443 - None	135	112	886	304	2	0	54	248	1
Precinct 9444 - None	43	38	901	118	-1	0	37	82	1
Precinct 9444 - None	148	80	901	312	-1	2	81	230	2
Precinct 9445 - None	63	55	945	154	0	0	34	120	2
Precinct 9445 - None	180	91	945	342	0	0	67	275	4
Precinct 9446 - None	71	50	1,043	164	2	0	39	123	2
Precinct 9446 - None	209	105	1,043	417	-3	1	105	314	0
Precinct 9447 - None	70	58	891	171	1	0	39	131	3
Precinct 9447 - None	152	100	891	327	1	0	73	253	1
Precinct 9448 - None	65	65	877	159	0	0	28	131	1
Precinct 9448 - None	145	87	877	307	-2	0	74	235	3
Precinct 9449 - None	38	41	784	97	-1	0	19	79	0
Precinct 9449 - None	152	81	784	302	4	0	65	233	0
Precinct 9451 - None	30	17	414	57	0	0	10	47	0
Precinct 9451 - None	88	35	414	154	3	0	27	124	1
Precinct 9452 - None	69	65	799	175	1	0	39	135	1
Precinct 9452 - None	129	82	799	281	0	0	69	212	1
Precinct 9453 - None	48	26	488	90	0	0	16	74	0
Precinct 9453 - None	94	48	488	175	0	0	32	143	1
Precinct 9501 MB - None	30	19	149	71	-2	0	24	49	0
Precinct 9502 MB - None	54	37	233	116	0	0	24	92	1
Precinct 9503/9504 - None	46	47	725	128	-2	0	37	93	0
Precinct 9503/9504 - None	78	65	725	184	0	1	40	143	0
Precinct 9505 - None	50	61	756	147	-2	0	38	111	0
Precinct 9505 - None	102	105	756	274	0	0	66	208	1
Precinct 9506 - None	44	54	771	134	0	1	35	98	0
Precinct 9506 - None	92	90	771	217	1	0	34	182	0
Precinct 9507 - None	54	70	733	170	1	0	44	125	1
Precinct 9507 - None	76	105	733	218	-2	0	39	181	0
Precinct 9508 - None	52	96	784	180	0	0	32	148	0
Precinct 9508 - None	95	125	784	258	3	1	30	224	4
Precinct 9509 - None	43	84	719	165	0	0	38	127	0
Precinct 9509 - None	104	84	719	239	-1	0	51	189	1
Precinct 9511 - None	34	79	600	147	0	0	32	115	2
Precinct 9511 - None	58	88	600	177	2	0	29	146	0
Precinct 9512 - None	49	78	771	161	0	0	34	127	0
Precinct 9512 - None	103	104	771	251	-5	0	48	208	1
Precinct 9513 - None	65	87	864	200	0	0	47	153	1
Precinct 9513 - None	94	118	864	261	5	0	44	212	0
Precinct 9514/9522 - None	83	93	869	229	0	0	53	176	0
Precinct 9514/9522 - None	103	95	869	257	1	1	57	198	0
Precinct 9515 - None	55	73	685	159	0	0	31	128	0
Precinct 9515 - None	102	82	685	243	0	0	58	185	1
Precinct 9516 - None	70	85	864	206	0	0	50	156	1
Precinct 9516 - None	120	102	864	269	1	0	46	222	0
Precinct 9517 - None	58	91	768	197	0	0	48	149	0
Precinct 9517 - None	82	106	768	235	1	0	46	188	0
Precinct 9518 - None	55	84	783	180	1	0	38	141	2
Precinct 9518 - None	91	108	783	242	0	0	43	199	0
Precinct 9519 - None	87	73	850	217	0	0	57	160	0
Precinct 9519 - None	139	115	850	294	-1	0	41	254	0
Precinct 9521 - None	90	112	893	254	0	0	49	205	3
Precinct 9521 - None	137	95	893	290	3	1	54	232	0
Precinct 9701 - None	60	65	665	156	0	0	30	126	1
Precinct 9701 - None	97	87	665	235	0	0	51	184	0
Precinct 9702 - None	64	86	710	194	0	0	43	151	1
Precinct 9702 - None	108	71	710	231	0	0	52	179	0
Precinct 9703 - None	85	57	931	182	1	0	37	144	2
Precinct 9703 - None	198	104	931	373	1	0	70	302	0
Precinct 9704 - None	73	71	942	191	0	0	47	144	0
Precinct 9704 - None	179	107	942	354	-1	0	68	287	1
Precinct 9705 - None	90	75	879	208	1	0	41	166	1
Precinct 9705 - None	162	99	879	309	0	0	48	261	0
Precinct 9706 MB - None	11	13	51	32	0	0	8	24	0
Precinct 9707 - None	61	33	799	121	0	0	25	96	2
Precinct 9707 - None	190	106	799	355	-4	0	63	296	0
Precinct 9708 - None	68	76	919	193	1	0	48	144	0
Precinct 9708 - None	132	103	919	324	2	1	84	237	2
Precinct 9709 - None	82	61	998	196	1	0	51	144	1
Precinct 9709 - None	205	79	998	355	1	0	69	285	1
Precinct 9711 - None	73	52	625	167	0	0	40	127	2
Precinct 9711 - None	159	57	625	254	0	0	35	219	3
Precinct 9712 - None	77	33	651	134	-1	0	24	111	1
Precinct 9712 - None	174	68	651	288	1	0	45	242	0
Precinct 9713 - None	70	39	930	161	0	0	50	111	2
Precinct 9713 - None	201	91	930	362	1	0	69	292	0
Precinct 9714 - None	83	36	911	154	0	0	34	120	1
Precinct 9714 - None	226	71	911	367	2	0	66	299	2
Precinct 9715 - None	103	33	566	162	0	0	24	138	2
Precinct 9715 - None	145	42	566	218	1	0	30	187	0
Precinct 9716 - None	73	78	928	198	-1	0	48	151	0
Precinct 9716 - None	199	96	928	368	4	0	68	296	1
Precinct 9717 - None	92	69	967	206	-1	0	46	161	0
Precinct 9717 - None	204	106	967	371	6	0	55	310	0
Precinct 9718 - None	103	53	843	183	-2	0	29	156	0
Precinct 9718 - None	227	107	843	385	3	0	48	334	0
Precinct 9719 - None	91	59	863	186	0	0	35	151	1
Precinct 9719 - None	228	95	863	389	1	0	63	325	2
Precinct 9721 - None	113	35	653	182	-1	0	34	149	1
Precinct 9721 - None	135	54	653	250	1	1	58	190	1
Precinct 9722 - None	45	19	593	86	0	0	22	64	0
Precinct 9722 - None	157	70	593	269	-3	0	44	228	1
Precinct 9723 - None	37	17	458	74	0	0	20	54	0
Precinct 9723 - None	119	36	458	198	1	0	39	158	3
Precinct 9724 - None	76	34	950	144	0	0	33	111	1
Precinct 9724 - None	217	85	950	386	-1	0	82	305	3
Precinct 9725 - None	53	35	941	118	-1	0	31	88	0
Precinct 9725 - None	198	69	941	350	0	0	81	269	2
Precinct 9726 - None	34	30	685	83	0	0	19	64	0
Precinct 9726 - None	54	52	685	137	0	0	29	108	2
Precinct 9727 - None	34	13	435	60	1	0	11	48	1
Precinct 9727 - None	126	43	435	205	2	0	34	169	0
Precinct 9728 - None	121	47	906	204	0	0	36	168	0
Precinct 9728 - None	231	86	906	378	-2	0	60	320	3
Precinct 9729 - None	101	31	782	161	1	0	27	133	1
Precinct 9729 - None	201	48	782	304	0	0	55	249	0
Precinct 9731 - None	79	32	529	138	0	0	25	113	2
Precinct 9731 - None	119	36	529	189	0	1	33	155	0
Precinct 9732 MB - None	24	10	73	43	1	0	8	34	0
Precinct 9733 MB - None	74	47	224	146	0	1	24	121	0
Precinct 9734 - None	83	18	577	122	0	1	20	101	0
Precinct 9734 - None	169	51	577	261	1	0	40	220	0
Precinct 9735 - None	90	37	782	167	1	0	37	129	2
Precinct 9735 - None	220	72	782	344	0	0	52	292	0
Precinct 9736 - None	71	45	699	145	0	0	27	118	2
Precinct 9736 - None	172	87	699	305	1	0	45	259	0
Precinct 9737 - None	80	62	792	175	-1	0	34	142	0
Precinct 9737 - None	193	97	792	343	-3	0	54	292	2
Precinct 9738 - None	35	42	830	99	0	0	22	77	0
Precinct 9738 - None	124	92	830	263	4	0	42	217	1
Precinct 9739 - None	35	64	826	126	0	1	25	100	1
Precinct 9739 - None	64	85	826	193	-3	0	47	149	0
Precinct 9741 - None	4	11	1,022	19	0	0	4	15	0
Precinct 9741 - None	6	15	1,022	24	0	0	3	21	0
Precinct 9742 - None	75	38	647	134	0	0	21	113	0
Precinct 9742 - None	102	44	647	187	1	1	38	147	1
Precinct 9743 - None	42	97	1,093	172	0	0	31	141	2
Precinct 9743 - None	155	121	1,093	317	2	0	39	276	0
Precinct 9744 - None	55	65	902	141	0	0	21	120	0
Precinct 9744 - None	101	84	902	234	1	0	47	186	1
Precinct 9745 - None	53	61	934	141	0	0	26	115	1
Precinct 9745 - None	78	96	934	205	-1	0	30	176	2
Precinct 9746 - None	90	55	867	192	0	0	46	146	1
Precinct 9746 - None	181	91	867	334	2	0	59	273	1
Precinct 9747 - None	91	77	940	198	0	0	28	170	2
Precinct 9747 - None	157	103	940	323	0	0	61	262	2
Precinct 9748 - None	74	49	913	164	0	0	38	126	3
Precinct 9748 - None	168	107	913	342	3	0	63	276	1
Precinct 9749 - None	48	59	893	143	-1	0	34	110	3
Precinct 9749 - None	117	107	893	266	0	0	40	226	2
Precinct 9751 - None	69	59	977	157	-1	0	30	128	0
Precinct 9751 - None	207	103	977	384	2	0	69	313	3
Precinct 9752 - None	47	58	692	143	0	0	37	106	1
Precinct 9752 - None	150	96	692	305	2	0	56	247	1
Precinct 9753 - None	68	49	735	148	0	0	30	118	1
Precinct 9753 - None	116	107	735	266	-1	0	44	223	0
Precinct 9754 - None	71	62	701	169	0	0	35	134	1
Precinct 9754 - None	146	112	701	296	1	1	36	258	0
Precinct 9755 - None	54	48	553	120	-1	0	19	102	0
Precinct 9755 - None	100	71	553	201	0	1	28	172	1
Precinct 9756 - None	54	47	908	126	-1	0	26	101	0
Precinct 9756 - None	136	100	908	297	6	0	53	238	2
Precinct 9801 - None	26	31	399	76	0	0	19	57	0
Precinct 9801 - None	57	71	399	148	0	0	18	130	2
Congressional District 12	95,217	83,007	426,647	225,360	215	106	46,015	179,024	800
Congressional District 14	13,431	9,418	55,344	28,223	31	16	5,176	23,000	151
Assembly District 17	59,932	57,485	280,269	147,301	86	71	29,200	117,944	527
Assembly District 19	48,716	34,940	201,722	106,282	160	51	21,991	84,080	424
BART District 7	6,107	5,760	36,166	15,261	16	5	3,300	11,940	73
BART District 8	52,723	35,113	215,670	112,119	160	52	23,616	88,291	455
BART District 9	49,818	51,552	230,155	126,203	70	65	24,275	101,793	423
Supervisorial District 1	9,757	7,995	40,919	22,431	37	9	4,562	17,823	71
Supervisorial District 2	12,071	6,720	48,242	24,389	59	12	5,467	18,851	60
Supervisorial District 3	8,654	5,708	38,273	18,567	-2	10	4,139	14,420	58
Supervisorial District 4	9,808	7,136	41,216	21,994	23	12	4,904	17,055	111
Supervisorial District 5	11,048	11,591	52,114	28,694	27	12	5,921	22,734	95
Supervisorial District 6	7,069	6,671	41,151	17,498	3	14	3,670	13,811	71
Supervisorial District 7	13,193	7,944	46,301	26,230	34	13	4,941	21,242	105
Supervisorial District 8	15,426	13,841	56,415	36,015	-8	13	6,648	29,362	95
Supervisorial District 9	7,608	10,875	41,665	22,565	25	8	3,959	18,573	90
Supervisorial District 10	6,911	7,137	39,848	17,900	39	6	3,714	14,141	93
Supervisorial District 11	7,103	6,807	35,847	17,300	9	13	3,266	14,012	102
Bayview/Hunters Point	2,937	3,205	19,131	7,881	23	3	1,673	6,182	40
Chinatown	3,800	2,291	16,742	8,038	-5	2	1,933	6,108	17
Civic Center/Downtown	4,974	4,680	27,631	12,231	3	8	2,511	9,709	55
Diamond Heights	2,192	1,480	6,857	4,487	1	2	792	3,692	20
Excelsior	5,251	5,163	26,541	12,895	5	9	2,394	10,487	73
Haight Ashbury	3,220	3,501	14,552	8,410	10	0	1,659	6,741	20
Ingleside	2,290	2,059	11,506	5,461	8	4	1,062	4,387	38
Inner Sunset	2,189	2,104	9,393	5,438	8	4	1,122	4,304	11
Lake Merced	1,540	1,191	8,641	3,424	2	1	671	2,750	19
Laurel Heights/Anza Vista	2,218	1,762	9,744	5,037	6	2	1,036	3,993	13
Marina Pacific Heights	9,247	5,381	38,757	19,070	49	8	4,331	14,682	54
Mission	4,984	8,244	30,096	16,088	11	6	2,785	13,286	58
Noe Valley	4,584	3,975	16,415	10,584	-11	7	1,996	8,592	33
North Bernal Heights	1,909	2,640	8,622	5,494	0	1	925	4,568	19
North Embarcadero	1,785	1,006	6,827	3,580	6	4	769	2,801	10
Portola	1,931	1,587	8,914	4,445	3	2	903	3,537	19
Potrero Hill	3,193	3,075	15,511	7,917	5	3	1,616	6,293	25
Richmond	8,535	7,059	35,688	19,724	30	8	4,031	15,655	61
Sea Cliff/Presidio Heights	2,496	1,098	7,813	4,593	10	3	976	3,604	10
South of Bernal Heights	2,038	2,409	9,230	5,452	8	2	978	4,464	17
South of Market	4,223	3,651	23,278	10,026	-3	8	2,107	7,914	40
Sunset	9,693	6,995	40,651	21,684	21	11	4,853	16,799	111
Upper Market/Eureka Valley	5,389	4,446	18,424	12,111	5	1	2,246	9,859	24
Visitation Valley	1,354	1,125	7,867	3,226	9	2	706	2,509	30
West of Twin Peaks	10,822	5,987	33,960	20,797	29	12	3,873	16,883	74
Western Addition	5,854	6,311	29,200	15,490	13	9	3,243	12,225	60
