Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7207 - None	30	35	12	14	744	119	0	0	28	91	0
Precinct 7207 - None	77	78	7	28	744	231	2	0	38	191	1
Precinct 7208 - None	10	33	15	6	567	76	0	0	12	64	0
Precinct 7208 - None	56	63	17	35	567	206	1	1	32	172	1
Precinct 7209 - None	20	25	4	8	586	69	0	0	12	57	0
Precinct 7209 - None	130	95	19	23	586	326	3	0	56	267	0
Precinct 7301 - None	37	65	12	15	1,002	150	0	0	20	130	1
Precinct 7301 - None	80	102	25	31	1,002	299	3	0	58	238	0
Precinct 7302 - None	35	30	14	14	806	121	0	0	27	94	1
Precinct 7302 - None	128	102	12	59	806	352	0	0	51	301	0
Precinct 7303 - None	39	55	17	13	986	167	-1	1	42	125	1
Precinct 7303 - None	90	104	22	45	986	318	1	0	56	261	0
Precinct 7304 - None	58	60	18	24	972	203	1	0	42	160	0
Precinct 7304 - None	101	114	17	35	972	330	0	1	61	268	1
Precinct 7305 - None	47	54	24	23	851	171	0	0	23	148	0
Precinct 7305 - None	80	101	22	31	851	306	-1	0	71	236	2
Precinct 7306 - None	39	43	23	23	1,014	179	0	1	49	129	1
Precinct 7306 - None	82	97	31	27	1,014	302	-2	0	65	239	2
Precinct 7307 - None	38	47	19	17	726	143	0	0	22	121	0
Precinct 7307 - None	75	67	18	21	726	226	2	0	43	181	0
Precinct 7308 - None	41	38	12	19	598	133	0	1	22	110	0
Precinct 7308 - None	67	75	12	28	598	204	-1	0	22	183	1
Precinct 7309 - None	39	55	15	19	826	160	-2	1	33	128	0
Precinct 7309 - None	59	74	15	29	826	209	0	0	32	177	0
Precinct 7311 - None	42	58	18	19	901	175	-1	0	38	138	1
Precinct 7311 - None	84	103	17	25	901	266	0	0	37	229	0
Precinct 7312 - None	48	32	15	14	810	128	0	0	19	109	0
Precinct 7312 - None	127	106	22	20	810	332	3	0	54	275	0
