Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9135 - Vote By Mail	22	22	15	28	146	778	269	0	1	35	233	0
Precinct 9136 - Election Day	18	6	18	9	121	894	191	0	0	19	172	0
Precinct 9136 - Vote By Mail	35	7	16	20	159	894	289	0	0	52	237	0
Precinct 9137 - Election Day	12	13	23	15	109	946	201	0	0	28	173	1
Precinct 9137 - Vote By Mail	13	12	33	27	189	946	323	0	0	47	276	2
Precinct 9138 - Election Day	9	7	12	13	90	892	155	0	0	23	132	1
Precinct 9138 - Vote By Mail	26	20	16	22	211	892	323	0	1	27	295	0
Precinct 9139 - Election Day	11	11	19	8	87	912	163	0	0	27	136	0
Precinct 9139 - Vote By Mail	26	32	18	42	193	912	356	0	1	44	311	0
Precinct 9141 - Election Day	23	10	17	9	87	904	168	0	0	22	146	0
Precinct 9141 - Vote By Mail	34	19	26	23	188	904	328	0	0	38	290	0
Precinct 9142 - Election Day	23	10	31	11	120	921	219	0	0	22	197	2
Precinct 9142 - Vote By Mail	33	17	18	13	177	921	288	0	1	29	258	0
Precinct 9143 - Election Day	19	7	21	5	110	887	196	0	0	33	163	1
Precinct 9143 - Vote By Mail	31	19	36	30	166	887	315	0	0	33	282	0
Precinct 9144 - Election Day	17	14	29	12	120	931	221	0	0	28	193	1
Precinct 9144 - Vote By Mail	39	19	27	24	176	931	322	0	0	37	285	0
Precinct 9145 - Election Day	15	11	20	12	112	837	197	0	0	26	171	1
Precinct 9145 - Vote By Mail	32	18	15	20	156	837	282	0	0	41	241	0
Precinct 9146 - Election Day	19	5	31	9	114	866	206	0	0	28	178	0
Precinct 9146 - Vote By Mail	43	11	30	15	166	866	297	0	0	32	265	0
Precinct 9147 - Election Day	28	8	33	8	111	920	227	0	0	39	188	0
Precinct 9147 - Vote By Mail	31	14	46	14	162	920	318	0	0	51	267	0
Precinct 9148 - Election Day	29	8	24	9	126	946	226	0	0	29	197	1
Precinct 9148 - Vote By Mail	46	15	32	18	169	946	322	0	1	41	280	0
Precinct 9149 - Election Day	23	6	17	10	107	884	196	0	1	32	163	0
Precinct 9149 - Vote By Mail	31	12	26	19	172	884	296	0	0	36	260	0
Precinct 9151 - Election Day	21	7	12	9	73	806	152	0	0	30	122	0
Precinct 9151 - Vote By Mail	32	11	16	16	155	806	267	0	0	37	230	0
Precinct 9152 - Election Day	5	3	8	5	38	712	67	0	0	8	59	0
Precinct 9152 - Vote By Mail	17	3	12	17	78	712	138	0	0	11	127	0
Precinct 9201 - Election Day	32	7	16	11	120	953	201	0	0	15	186	0
Precinct 9201 - Vote By Mail	24	12	23	13	131	953	229	0	0	26	203	0
Precinct 9202 - Election Day	24	14	10	9	101	908	184	0	0	25	159	1
Precinct 9202 - Vote By Mail	35	11	15	11	113	908	218	0	0	32	186	1
Precinct 9203 - Election Day	17	10	3	23	65	968	145	0	0	27	118	0
Precinct 9203 - Vote By Mail	28	32	3	55	142	968	300	0	0	40	260	0
Precinct 9204 - Election Day	8	19	3	21	65	809	147	0	0	30	117	1
Precinct 9204 - Vote By Mail	28	23	8	37	100	809	223	0	0	26	197	1
Precinct 9205 - Election Day	13	7	7	8	59	694	113	0	0	19	94	0
Precinct 9205 - Vote By Mail	27	17	4	16	99	694	201	0	0	38	163	0
Precinct 9206 - Election Day	11	12	2	19	73	887	135	0	0	18	117	0
Precinct 9206 - Vote By Mail	27	42	4	43	147	887	294	0	0	31	263	0
Precinct 9207 - Election Day	11	14	2	26	70	913	148	0	0	25	123	0
Precinct 9207 - Vote By Mail	27	23	10	31	130	913	249	0	0	28	221	0
Precinct 9208 - Election Day	26	10	3	20	68	936	147	0	0	20	127	0
Precinct 9208 - Vote By Mail	22	20	6	27	130	936	240	0	0	35	205	0
Precinct 9209 - Election Day	11	8	2	16	66	675	121	0	0	18	103	0
Precinct 9209 - Vote By Mail	24	15	0	29	97	675	188	0	0	23	165	0
Precinct 9211 - Election Day	21	6	4	10	68	834	130	0	0	21	109	0
Precinct 9211 - Vote By Mail	21	20	8	28	103	834	212	0	1	31	180	0
Precinct 9212 - Election Day	20	4	4	10	60	764	121	0	1	21	99	1
Precinct 9212 - Vote By Mail	29	18	13	20	100	764	205	0	0	24	181	1
Precinct 9213 - Election Day	15	8	10	6	81	890	140	0	0	20	120	0
Precinct 9213 - Vote By Mail	27	21	9	22	139	890	260	0	0	42	218	0
Precinct 9214 - Election Day	10	7	3	10	41	581	92	0	0	21	71	0
Precinct 9214 - Vote By Mail	18	21	7	27	109	581	203	0	1	20	182	0
Precinct 9215 - Election Day	16	14	1	24	53	626	130	0	0	21	109	1
Precinct 9215 - Vote By Mail	17	9	2	18	100	626	170	0	0	24	146	0
Precinct 9216 - Election Day	16	3	3	17	69	798	134	0	0	26	108	0
Precinct 9216 - Vote By Mail	26	20	1	21	105	798	206	0	1	32	173	0
Precinct 9217 - Election Day	10	13	5	17	56	684	123	0	0	22	101	0
Precinct 9217 - Vote By Mail	26	19	4	19	92	684	187	0	0	27	160	0
Precinct 9218 - Election Day	12	6	5	15	60	797	119	0	0	21	98	0
Precinct 9218 - Vote By Mail	20	25	6	20	113	797	225	0	0	40	185	1
Precinct 9219 - Election Day	17	11	6	16	73	733	146	0	0	23	123	0
Precinct 9219 - Vote By Mail	29	8	4	11	111	733	187	0	1	23	163	0
Precinct 9221 - Election Day	10	5	2	18	68	641	121	0	0	17	104	1
Precinct 9221 - Vote By Mail	42	24	6	40	134	641	278	0	0	32	246	0
Precinct 9222 - Election Day	12	8	2	15	77	842	139	0	0	25	114	0
Precinct 9222 - Vote By Mail	33	22	3	35	140	842	268	0	0	35	233	0
Precinct 9223 - Election Day	8	3	3	13	45	606	88	0	0	15	73	1
Precinct 9223 - Vote By Mail	15	20	1	22	108	606	202	0	0	36	166	0
Precinct 9224 - Election Day	17	12	8	25	80	912	171	0	0	29	142	0
Precinct 9224 - Vote By Mail	40	28	10	45	142	912	308	0	0	43	265	0
Precinct 9225 - Election Day	15	10	7	21	89	898	161	0	0	19	142	0
Precinct 9225 - Vote By Mail	32	25	6	23	124	898	243	0	0	33	210	0
Precinct 9226 - Election Day	17	10	4	17	76	905	143	0	0	19	124	0
Precinct 9226 - Vote By Mail	44	21	6	32	148	905	312	0	2	57	253	2
Precinct 9227 - Election Day	16	9	6	8	87	729	140	0	0	13	127	1
Precinct 9227 - Vote By Mail	26	23	4	30	178	729	304	0	1	42	261	0
Precinct 9228 - Election Day	18	9	7	17	102	726	175	0	0	22	153	0
Precinct 9228 - Vote By Mail	24	22	3	41	152	726	277	0	0	34	243	1
Precinct 9229 - Election Day	15	7	4	9	73	596	130	0	0	20	110	2
Precinct 9229 - Vote By Mail	14	23	8	18	130	596	219	0	0	26	193	0
Precinct 9231 - Election Day	22	6	13	10	143	919	221	0	0	27	194	0
Precinct 9231 - Vote By Mail	30	10	16	18	179	919	294	0	0	40	254	1
Precinct 9232 - Election Day	20	4	9	13	81	701	151	0	0	24	127	0
Precinct 9232 - Vote By Mail	23	21	5	24	171	701	274	0	1	29	244	0
Precinct 9233 - Election Day	10	12	2	9	75	774	139	0	0	31	108	0
Precinct 9233 - Vote By Mail	38	23	5	42	148	774	308	0	0	52	256	0
Precinct 9234 - Election Day	17	5	6	11	65	731	131	0	0	27	104	0
Precinct 9234 - Vote By Mail	38	15	8	34	152	731	281	0	0	34	247	0
Precinct 9235 - Election Day	17	17	7	18	91	842	174	0	0	24	150	0
Precinct 9235 - Vote By Mail	35	25	1	34	164	842	298	0	0	39	259	0
Precinct 9236 - Election Day	14	9	6	19	58	658	130	0	1	23	106	0
Precinct 9236 - Vote By Mail	20	8	4	17	137	658	207	0	0	21	186	0
Precinct 9237 - Election Day	30	2	4	14	73	880	145	0	0	21	124	1
Precinct 9237 - Vote By Mail	37	29	8	29	165	880	331	0	0	63	268	0
Precinct 9238 - Election Day	23	6	2	8	63	792	130	0	0	28	102	0
Precinct 9238 - Vote By Mail	46	21	6	35	121	792	271	0	1	41	229	0
Precinct 9239 - Election Day	6	12	3	9	71	835	117	0	0	16	101	0
Precinct 9239 - Vote By Mail	42	26	6	42	160	835	318	0	0	41	277	1
Precinct 9241 - Election Day	23	4	6	14	90	961	158	0	0	20	138	1
Precinct 9241 - Vote By Mail	49	37	8	25	170	961	322	0	0	33	289	0
Precinct 9242 - Election Day	19	10	7	13	78	940	154	0	0	27	127	0
Precinct 9242 - Vote By Mail	34	10	7	26	182	940	300	0	0	41	259	0
Precinct 9243 - Election Day	16	9	5	8	75	572	135	0	0	22	113	0
Precinct 9243 - Vote By Mail	28	9	3	12	109	572	188	0	0	27	161	0
Precinct 9244 - Election Day	20	5	5	5	93	880	149	0	0	21	128	0
Precinct 9244 - Vote By Mail	32	7	10	13	159	880	269	0	1	47	221	0
Precinct 9245 - Election Day	14	6	6	13	69	706	128	0	0	20	108	0
Precinct 9245 - Vote By Mail	33	8	11	18	115	706	226	0	0	41	185	0
Precinct 9246 - Election Day	18	4	6	12	81	910	139	0	0	18	121	0
Precinct 9246 - Vote By Mail	40	26	8	15	159	910	299	0	0	51	248	0
Precinct 9247 - Election Day	11	11	14	10	84	936	151	0	0	20	131	1
Precinct 9247 - Vote By Mail	50	21	12	25	168	936	303	0	1	26	276	0
Precinct 9248 - Election Day	23	5	8	7	114	898	181	0	0	24	157	0
Precinct 9248 - Vote By Mail	30	12	16	15	159	898	282	0	0	50	232	0
Precinct 9249 - Election Day	24	9	9	16	98	910	187	0	0	31	156	0
Precinct 9249 - Vote By Mail	38	12	12	25	177	910	314	0	1	49	264	0
Precinct 9251 - Election Day	23	9	15	12	109	946	204	0	0	36	168	0
Precinct 9251 - Vote By Mail	50	16	13	22	199	946	342	0	0	42	300	0
Precinct 9252 - Election Day	22	7	11	5	77	913	140	0	0	18	122	0
Precinct 9252 - Vote By Mail	47	19	16	33	192	913	352	0	0	45	307	0
Precinct 9253 - Election Day	16	7	3	8	78	751	138	0	0	26	112	0
Precinct 9253 - Vote By Mail	30	23	7	23	145	751	272	0	3	41	228	0
Precinct 9254 - Election Day	20	7	11	5	96	889	168	0	0	29	139	0
Precinct 9254 - Vote By Mail	48	17	17	18	184	889	318	0	0	33	285	1
Precinct 9255 - Election Day	21	4	12	6	67	545	126	0	0	16	110	0
Precinct 9255 - Vote By Mail	17	9	7	8	75	545	128	0	0	12	116	0
Precinct 9256 - Election Day	12	2	4	4	44	433	77	0	0	11	66	0
Precinct 9256 - Vote By Mail	14	4	7	4	63	433	103	0	0	11	92	0
Precinct 9257 MB - Vote By Mail	18	9	18	3	88	312	150	0	0	14	136	0
Precinct 9258 - Election Day	15	2	11	6	79	699	127	0	0	13	114	1
Precinct 9258 - Vote By Mail	30	9	23	18	135	699	244	0	0	29	215	0
Precinct 9401 - Election Day	24	6	29	3	99	970	194	0	0	33	161	0
Precinct 9401 - Vote By Mail	24	17	34	14	171	970	293	0	0	32	261	1
Precinct 9402 - Election Day	16	8	26	9	107	931	197	0	0	31	166	0
Precinct 9402 - Vote By Mail	21	18	25	24	175	931	307	0	0	44	263	0
Precinct 9403 - Election Day	13	9	20	6	92	853	167	0	0	27	140	0
Precinct 9403 - Vote By Mail	28	24	27	21	153	853	286	0	0	31	255	2
Precinct 9404 - Election Day	14	8	14	10	82	889	153	0	0	25	128	0
Precinct 9404 - Vote By Mail	27	19	19	29	180	889	320	0	0	46	274	0
Precinct 9405 - Election Day	14	17	11	11	92	757	160	0	0	15	145	0
Precinct 9405 - Vote By Mail	25	18	14	21	131	757	245	0	0	35	210	1
Precinct 9406 - Election Day	16	13	18	14	93	815	179	0	1	24	154	0
Precinct 9406 - Vote By Mail	34	33	21	12	150	815	277	0	1	26	250	0
Precinct 9407 - Election Day	22	11	15	7	105	861	191	0	0	31	160	0
Precinct 9407 - Vote By Mail	49	23	27	21	137	861	284	0	0	27	257	0
Precinct 9408 - Election Day	21	10	27	5	89	837	187	0	0	35	152	0
Precinct 9408 - Vote By Mail	27	12	38	10	126	837	246	0	0	33	213	0
Precinct 9409 - Election Day	21	5	17	6	81	565	140	0	0	10	130	0
Precinct 9409 - Vote By Mail	23	5	12	11	91	565	170	0	0	28	142	0
Precinct 9411 - Election Day	28	3	24	6	93	936	175	0	0	21	154	0
Precinct 9411 - Vote By Mail	30	13	28	15	146	936	261	0	0	28	233	1
Precinct 9412 - Election Day	10	7	15	11	105	843	164	0	0	14	150	2
Precinct 9412 - Vote By Mail	27	16	20	17	154	843	285	0	0	49	236	2
Precinct 9413 - Election Day	15	8	18	13	97	858	172	0	0	21	151	0
Precinct 9413 - Vote By Mail	25	19	17	15	192	858	310	0	1	41	268	0
Precinct 9414 - Election Day	19	7	13	16	79	862	159	0	0	24	135	1
Precinct 9414 - Vote By Mail	32	14	20	24	178	862	307	0	0	38	269	1
Precinct 9415 - Election Day	10	6	10	9	73	755	121	0	0	13	108	0
Precinct 9415 - Vote By Mail	35	25	13	29	148	755	284	0	0	34	250	0
Precinct 9416 - Election Day	24	8	20	11	113	962	198	0	0	22	176	0
Precinct 9416 - Vote By Mail	21	26	13	14	199	962	316	0	0	42	274	1
Precinct 9417 - Election Day	10	12	11	6	60	714	117	0	0	18	99	0
Precinct 9417 - Vote By Mail	25	28	16	30	153	714	286	0	0	32	254	2
Precinct 9418 - Election Day	15	5	11	14	85	753	157	0	0	26	131	1
Precinct 9418 - Vote By Mail	18	16	11	27	146	753	269	0	0	50	219	1
Precinct 9419 - Election Day	6	10	13	18	90	893	167	0	1	29	137	0
Precinct 9419 - Vote By Mail	15	31	13	38	190	893	326	0	0	39	287	0
Precinct 9421 - Election Day	15	7	11	13	79	878	150	0	0	24	126	1
Precinct 9421 - Vote By Mail	25	25	18	26	189	878	316	0	0	33	283	0
Precinct 9422 - Election Day	20	7	14	25	104	1,010	200	0	1	29	170	0
Precinct 9422 - Vote By Mail	25	31	20	33	207	1,010	358	0	0	40	318	2
Precinct 9423 - Election Day	13	6	17	9	85	853	147	0	0	17	130	0
Precinct 9423 - Vote By Mail	18	11	19	19	190	853	292	0	1	30	261	4
Precinct 9424 - Election Day	16	9	18	10	71	910	146	0	0	22	124	0
Precinct 9424 - Vote By Mail	35	19	14	14	224	910	331	0	0	25	306	0
Precinct 9425 - Election Day	6	7	20	6	79	903	136	0	0	18	118	0
Precinct 9425 - Vote By Mail	31	20	16	27	182	903	313	0	0	36	277	1
Precinct 9426 - Election Day	7	10	8	21	82	801	143	0	0	15	128	0
Precinct 9426 - Vote By Mail	14	21	17	34	146	801	283	0	0	51	232	0
Precinct 9427 - Election Day	7	12	7	14	72	889	129	0	0	17	112	0
Precinct 9427 - Vote By Mail	23	27	13	42	174	889	333	0	0	53	280	1
Precinct 9428 - Election Day	14	12	10	6	60	892	122	0	0	19	103	1
Precinct 9428 - Vote By Mail	33	26	20	29	196	892	346	0	0	41	305	1
Precinct 9429 - Election Day	10	13	14	12	101	866	173	0	0	22	151	1
Precinct 9429 - Vote By Mail	17	23	13	31	186	866	308	0	1	37	270	0
Precinct 9431 - Election Day	17	12	6	11	89	954	152	0	0	17	135	0
Precinct 9431 - Vote By Mail	35	29	14	33	200	954	352	0	0	41	311	0
Precinct 9432 - Election Day	11	6	13	10	97	901	155	0	0	18	137	0
Precinct 9432 - Vote By Mail	15	29	10	17	193	901	307	0	0	40	267	3
Precinct 9433 - Election Day	20	14	8	17	80	912	155	0	0	16	139	0
Precinct 9433 - Vote By Mail	15	17	14	36	194	912	317	0	0	41	276	0
Precinct 9434 - Election Day	11	9	11	22	101	963	188	0	0	34	154	0
Precinct 9434 - Vote By Mail	37	19	18	27	212	963	349	0	1	35	313	0
Precinct 9435 - Election Day	14	18	16	13	112	934	195	0	0	21	174	1
Precinct 9435 - Vote By Mail	18	20	14	25	191	934	320	0	0	50	270	2
Precinct 9436 - Election Day	13	15	4	14	92	941	161	0	0	23	138	0
Precinct 9436 - Vote By Mail	21	26	23	29	194	941	337	0	0	44	293	0
Precinct 9437 - Election Day	20	8	8	13	95	873	170	0	0	26	144	0
Precinct 9437 - Vote By Mail	24	33	14	35	181	873	324	0	0	37	287	0
Precinct 9438 - Election Day	8	10	14	8	76	918	129	0	0	13	116	0
Precinct 9438 - Vote By Mail	28	23	13	34	187	918	336	0	0	51	285	0
Precinct 9439 - Election Day	12	7	8	6	79	827	126	0	0	13	113	1
Precinct 9439 - Vote By Mail	22	30	9	37	162	827	314	0	1	53	260	0
Precinct 9441 - Election Day	20	9	24	10	110	939	205	0	0	32	173	0
Precinct 9441 - Vote By Mail	39	22	19	24	185	939	337	0	0	47	290	1
Precinct 9442 - Election Day	20	7	17	20	116	970	200	0	0	20	180	0
Precinct 9442 - Vote By Mail	22	34	21	29	173	970	325	0	0	44	281	2
Precinct 9443 - Election Day	10	6	13	12	75	886	138	0	0	21	117	1
Precinct 9443 - Vote By Mail	36	18	28	16	175	886	304	0	0	30	274	1
Precinct 9444 - Election Day	6	5	12	16	63	901	118	0	0	15	103	1
Precinct 9444 - Vote By Mail	24	32	7	29	184	901	312	0	0	36	276	0
Precinct 9445 - Election Day	9	10	13	18	86	945	154	0	0	16	138	2
Precinct 9445 - Vote By Mail	18	23	19	36	200	945	342	0	0	46	296	0
Precinct 9446 - Election Day	14	12	5	13	99	1,043	164	0	0	21	143	0
Precinct 9446 - Vote By Mail	35	43	16	36	235	1,043	417	0	0	52	365	0
Precinct 9447 - Election Day	14	10	13	12	101	891	171	0	0	21	150	0
Precinct 9447 - Vote By Mail	39	18	10	30	186	891	327	0	0	44	283	0
Precinct 9448 - Election Day	15	11	21	11	79	877	159	0	0	20	139	2
Precinct 9448 - Vote By Mail	20	19	19	21	180	877	307	0	0	47	260	1
Precinct 9449 - Election Day	10	7	8	7	59	784	97	0	0	6	91	0
Precinct 9449 - Vote By Mail	20	24	16	28	174	784	302	0	1	39	262	0
Precinct 9451 - Election Day	4	5	3	3	42	414	57	0	0	0	57	0
Precinct 9451 - Vote By Mail	9	13	5	27	83	414	154	0	1	15	138	1
Precinct 9452 - Election Day	10	19	14	18	96	799	175	0	0	18	157	0
Precinct 9452 - Vote By Mail	24	18	19	30	146	799	281	0	0	44	237	0
Precinct 9453 - Election Day	5	5	3	8	60	488	90	0	0	8	82	1
Precinct 9453 - Vote By Mail	10	16	4	17	115	488	175	0	1	12	162	0
Precinct 9501 MB - Vote By Mail	11	7	3	3	34	149	71	0	0	13	58	0
Precinct 9502 MB - Vote By Mail	17	7	1	2	77	233	116	0	0	12	104	0
Precinct 9503/9504 - Election Day	9	7	13	3	69	725	128	0	1	26	101	0
Precinct 9503/9504 - Vote By Mail	27	8	7	9	107	725	184	0	1	25	158	0
Precinct 9505 - Election Day	7	6	9	5	94	756	147	0	1	25	121	0
Precinct 9505 - Vote By Mail	33	6	25	10	151	756	274	0	0	49	225	0
Precinct 9506 - Election Day	21	7	12	3	79	771	134	0	0	12	122	0
Precinct 9506 - Vote By Mail	22	7	15	5	132	771	217	0	0	36	181	0
Precinct 9507 - Election Day	27	3	29	5	81	733	170	0	0	25	145	0
Precinct 9507 - Vote By Mail	31	4	36	3	122	733	218	0	0	22	196	0
Precinct 9508 - Election Day	30	4	34	4	85	784	180	0	0	22	158	1
Precinct 9508 - Vote By Mail	38	4	36	0	147	784	258	0	1	31	226	1
Precinct 9509 - Election Day	21	1	20	8	89	719	165	0	1	24	140	1
Precinct 9509 - Vote By Mail	37	2	22	1	146	719	239	0	0	31	208	0
Precinct 9511 - Election Day	26	6	28	5	61	600	147	0	0	21	126	0
Precinct 9511 - Vote By Mail	27	7	22	10	85	600	177	0	1	24	152	1
Precinct 9512 - Election Day	15	5	34	2	82	771	161	0	0	22	139	1
Precinct 9512 - Vote By Mail	35	8	27	5	141	771	251	0	0	34	217	1
Precinct 9513 - Election Day	28	8	21	4	108	864	200	0	0	30	170	1
Precinct 9513 - Vote By Mail	43	8	29	6	137	864	261	0	0	38	223	0
Precinct 9514/9522 - Election Day	27	7	20	9	141	869	229	0	0	25	204	0
Precinct 9514/9522 - Vote By Mail	31	10	15	6	154	869	257	0	1	40	216	0
Precinct 9515 - Election Day	14	7	18	3	98	685	159	0	0	18	141	1
Precinct 9515 - Vote By Mail	29	10	20	10	136	685	243	0	0	38	205	0
Precinct 9516 - Election Day	21	10	32	11	102	864	206	0	0	30	176	0
Precinct 9516 - Vote By Mail	33	14	25	11	152	864	269	0	1	33	235	0
Precinct 9517 - Election Day	31	10	26	4	96	768	197	0	0	30	167	0
Precinct 9517 - Vote By Mail	26	10	25	18	133	768	235	0	0	23	212	0
Precinct 9518 - Election Day	29	6	23	2	97	783	180	0	0	22	158	1
Precinct 9518 - Vote By Mail	27	9	20	9	148	783	242	0	0	29	213	0
Precinct 9519 - Election Day	29	7	26	9	115	850	217	0	0	31	186	0
Precinct 9519 - Vote By Mail	35	10	30	7	178	850	294	0	0	34	260	0
Precinct 9521 - Election Day	33	7	31	4	151	893	254	0	0	26	228	2
Precinct 9521 - Vote By Mail	40	4	30	7	176	893	290	0	0	33	257	0
Precinct 9701 - Election Day	23	2	20	5	85	665	156	0	0	21	135	0
Precinct 9701 - Vote By Mail	30	12	19	14	124	665	235	0	1	33	201	2
Precinct 9702 - Election Day	29	5	22	8	101	710	194	0	0	28	166	1
Precinct 9702 - Vote By Mail	23	12	21	10	129	710	231	0	0	36	195	0
Precinct 9703 - Election Day	21	10	12	15	98	931	182	0	0	25	157	1
Precinct 9703 - Vote By Mail	20	28	34	23	215	931	373	0	0	53	320	0
Precinct 9704 - Election Day	25	7	18	11	112	942	191	0	0	18	173	0
Precinct 9704 - Vote By Mail	33	17	29	12	220	942	354	0	0	42	312	1
Precinct 9705 - Election Day	26	2	24	12	115	879	208	0	0	29	179	0
Precinct 9705 - Vote By Mail	40	11	25	10	189	879	309	0	0	34	275	0
Precinct 9706 MB - Vote By Mail	2	2	2	1	23	51	32	0	0	2	30	0
Precinct 9707 - Election Day	8	7	8	13	76	799	121	0	0	9	112	0
Precinct 9707 - Vote By Mail	26	19	13	35	222	799	355	0	0	40	315	0
Precinct 9708 - Election Day	21	6	21	8	112	919	193	0	0	25	168	0
Precinct 9708 - Vote By Mail	36	9	25	19	179	919	324	0	1	54	269	1
Precinct 9709 - Election Day	18	6	10	14	118	998	196	0	0	29	167	1
Precinct 9709 - Vote By Mail	35	16	10	34	220	998	355	0	0	40	315	0
Precinct 9711 - Election Day	20	8	8	14	97	625	167	0	0	19	148	1
Precinct 9711 - Vote By Mail	27	14	6	18	171	625	254	0	0	18	236	0
Precinct 9712 - Election Day	12	7	6	10	88	651	134	0	0	10	124	1
Precinct 9712 - Vote By Mail	25	24	10	22	174	651	288	0	0	33	255	0
Precinct 9713 - Election Day	13	8	10	17	82	930	161	0	0	29	132	2
Precinct 9713 - Vote By Mail	36	20	12	29	230	930	362	0	0	35	327	0
Precinct 9714 - Election Day	10	8	7	21	89	911	154	0	0	19	135	0
Precinct 9714 - Vote By Mail	35	24	5	43	219	911	367	0	0	39	328	2
Precinct 9715 - Election Day	13	10	8	12	102	566	162	0	0	15	147	2
Precinct 9715 - Vote By Mail	16	20	7	25	129	566	218	0	0	21	197	0
Precinct 9716 - Election Day	21	16	20	13	103	928	198	0	0	25	173	0
Precinct 9716 - Vote By Mail	32	25	13	36	224	928	368	0	0	38	330	0
Precinct 9717 - Election Day	15	15	22	18	111	967	206	0	0	25	181	0
Precinct 9717 - Vote By Mail	30	23	21	22	243	967	371	0	0	32	339	0
Precinct 9718 - Election Day	12	8	9	21	117	843	183	0	0	15	168	1
Precinct 9718 - Vote By Mail	26	32	20	42	236	843	385	0	0	28	357	1
Precinct 9719 - Election Day	14	12	10	12	122	863	186	0	0	16	170	0
Precinct 9719 - Vote By Mail	41	21	10	38	244	863	389	0	0	34	355	1
Precinct 9721 - Election Day	15	9	5	21	113	653	182	0	0	17	165	2
Precinct 9721 - Vote By Mail	16	9	7	32	147	653	250	0	0	38	212	1
Precinct 9722 - Election Day	14	6	3	7	49	593	86	0	0	7	79	0
Precinct 9722 - Vote By Mail	25	15	8	41	159	593	269	0	0	21	248	0
Precinct 9723 - Election Day	5	5	2	7	46	458	74	0	0	9	65	0
Precinct 9723 - Vote By Mail	11	12	3	32	117	458	198	0	0	23	175	0
Precinct 9724 - Election Day	8	13	5	24	83	950	144	0	0	10	134	1
Precinct 9724 - Vote By Mail	22	38	9	64	204	950	386	0	0	49	337	0
Precinct 9725 - Election Day	10	15	5	21	56	941	118	0	0	11	107	0
Precinct 9725 - Vote By Mail	30	32	4	40	204	941	350	0	0	40	310	0
Precinct 9726 - Election Day	6	2	7	8	50	685	83	0	0	10	73	0
Precinct 9726 - Vote By Mail	16	8	6	24	70	685	137	0	1	11	125	1
Precinct 9727 - Election Day	4	3	2	9	35	435	60	0	0	7	53	0
Precinct 9727 - Vote By Mail	18	20	1	38	110	435	205	0	0	18	187	0
Precinct 9728 - Election Day	16	17	2	26	125	906	204	0	0	18	186	0
Precinct 9728 - Vote By Mail	36	36	7	48	219	906	378	0	1	31	346	0
Precinct 9729 - Election Day	7	11	2	23	93	782	161	0	0	25	136	0
Precinct 9729 - Vote By Mail	26	24	4	42	171	782	304	0	0	37	267	0
Precinct 9731 - Election Day	10	16	2	13	80	529	138	0	0	17	121	0
Precinct 9731 - Vote By Mail	10	17	4	21	113	529	189	0	0	22	167	2
Precinct 9732 MB - Vote By Mail	6	1	1	2	30	73	43	0	0	3	40	0
Precinct 9733 MB - Vote By Mail	9	8	7	7	105	224	146	0	0	10	136	0
Precinct 9734 - Election Day	10	6	0	11	82	577	122	0	0	13	109	0
Precinct 9734 - Vote By Mail	21	15	3	29	171	577	261	0	0	22	239	0
Precinct 9735 - Election Day	13	12	7	10	93	782	167	0	1	30	136	1
Precinct 9735 - Vote By Mail	29	24	12	36	209	782	344	0	0	34	310	0
Precinct 9736 - Election Day	15	7	5	21	80	699	145	0	0	17	128	0
Precinct 9736 - Vote By Mail	22	13	9	18	206	699	305	0	0	37	268	0
Precinct 9737 - Election Day	11	7	6	13	117	792	175	0	0	21	154	0
Precinct 9737 - Vote By Mail	27	15	14	30	232	792	343	0	0	25	318	0
Precinct 9738 - Election Day	9	8	7	8	56	830	99	0	0	10	89	1
Precinct 9738 - Vote By Mail	23	10	8	30	168	830	263	0	1	22	240	1
Precinct 9739 - Election Day	12	3	15	12	71	826	126	0	1	12	113	0
Precinct 9739 - Vote By Mail	21	13	15	18	114	826	193	0	0	12	181	0
Precinct 9741 - Election Day	6	0	2	0	9	1,022	19	0	0	2	17	0
Precinct 9741 - Vote By Mail	5	1	0	0	17	1,022	24	0	0	1	23	0
Precinct 9742 - Election Day	10	6	6	19	81	647	134	0	0	12	122	0
Precinct 9742 - Vote By Mail	16	16	5	23	103	647	187	0	0	24	163	0
Precinct 9743 - Election Day	13	11	17	8	101	1,093	172	0	0	22	150	0
Precinct 9743 - Vote By Mail	26	22	23	25	194	1,093	317	0	0	27	290	0
Precinct 9744 - Election Day	15	4	16	18	74	902	141	0	1	12	128	1
Precinct 9744 - Vote By Mail	26	25	10	24	124	902	234	0	0	24	210	1
Precinct 9745 - Election Day	13	6	11	13	78	934	141	0	0	18	123	2
Precinct 9745 - Vote By Mail	30	8	12	20	121	934	205	0	0	14	191	0
Precinct 9746 - Election Day	11	16	5	24	108	867	192	0	0	28	164	0
Precinct 9746 - Vote By Mail	20	25	11	43	197	867	334	0	0	38	296	0
Precinct 9747 - Election Day	27	3	12	13	125	940	198	0	0	18	180	0
Precinct 9747 - Vote By Mail	38	21	20	22	186	940	323	0	0	36	287	0
Precinct 9748 - Election Day	10	4	9	18	103	913	164	0	0	19	145	1
