Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7334 - Vote By Mail	36	30	13	13	141	854	275	0	0	41	234	1
Precinct 7335 - Election Day	19	5	6	7	78	936	144	0	0	27	117	2
Precinct 7335 - Vote By Mail	40	34	15	31	195	936	354	0	1	37	316	1
Precinct 7336 - Election Day	24	8	13	7	79	920	155	0	0	24	131	0
Precinct 7336 - Vote By Mail	37	33	11	28	175	920	324	0	1	39	284	0
Precinct 7337 - Election Day	10	10	5	4	65	825	115	0	0	21	94	0
Precinct 7337 - Vote By Mail	30	34	16	19	162	825	305	0	1	43	261	0
Precinct 7338 - Election Day	8	2	9	4	54	884	100	0	0	23	77	0
Precinct 7338 - Vote By Mail	51	44	13	23	158	884	364	0	0	75	289	0
Precinct 7339 - Election Day	9	7	12	5	57	618	111	0	0	21	90	0
Precinct 7339 - Vote By Mail	34	7	11	11	93	618	181	0	1	23	157	1
Precinct 7341 - Election Day	20	6	21	3	54	877	124	0	0	20	104	0
Precinct 7341 - Vote By Mail	37	14	18	12	137	877	246	0	0	26	220	2
Precinct 7342 - Election Day	24	12	23	12	134	911	234	0	0	29	205	0
Precinct 7342 - Vote By Mail	23	21	18	13	140	911	251	0	0	36	215	0
Precinct 7343 - Election Day	15	7	23	3	69	707	144	0	0	27	117	0
Precinct 7343 - Vote By Mail	26	8	22	10	92	707	186	0	0	28	158	0
Precinct 7344 - Election Day	16	14	21	5	95	1,039	179	0	0	28	151	0
Precinct 7344 - Vote By Mail	52	23	27	13	178	1,039	334	0	0	41	293	0
Precinct 7345 - Election Day	22	5	29	7	96	1,077	183	0	0	24	159	0
Precinct 7345 - Vote By Mail	40	12	21	11	159	1,077	283	0	0	39	244	1
Precinct 7346 - Election Day	21	5	24	11	87	877	168	0	0	20	148	0
Precinct 7346 - Vote By Mail	28	18	18	8	117	877	221	0	0	31	190	1
Precinct 7347 - Election Day	13	5	23	4	77	968	137	0	0	14	123	1
Precinct 7347 - Vote By Mail	36	15	29	11	164	968	279	0	0	24	255	0
Precinct 7348 - Election Day	12	9	12	8	84	832	139	0	0	14	125	0
Precinct 7348 - Vote By Mail	28	12	18	9	110	832	202	0	0	25	177	0
Precinct 7349 - Election Day	10	10	18	7	80	921	147	0	1	21	125	0
Precinct 7349 - Vote By Mail	36	25	19	17	154	921	282	0	0	31	251	0
Precinct 7501 - Election Day	8	6	5	3	73	554	118	0	0	23	95	0
Precinct 7501 - Vote By Mail	14	17	3	7	93	554	168	0	0	34	134	0
Precinct 7502 - Election Day	14	8	13	2	61	741	113	0	0	15	98	0
Precinct 7502 - Vote By Mail	58	19	13	27	188	741	349	0	1	41	307	2
Precinct 7503 - Election Day	14	11	15	2	70	727	132	0	0	20	112	0
Precinct 7503 - Vote By Mail	32	16	13	7	131	727	226	0	2	25	199	0
Precinct 7504 - Election Day	8	1	4	3	44	484	76	0	0	16	60	0
Precinct 7504 - Vote By Mail	19	4	6	12	93	484	158	0	0	22	136	2
Precinct 7505 - Election Day	16	4	3	7	86	871	131	0	0	15	116	0
Precinct 7505 - Vote By Mail	42	20	12	31	247	871	417	0	0	65	352	0
Precinct 7506 - Election Day	18	5	11	4	76	920	133	0	0	19	114	0
Precinct 7506 - Vote By Mail	25	20	11	8	151	920	252	0	0	37	215	0
Precinct 7507 - Election Day	8	7	11	2	91	919	158	0	0	37	121	2
Precinct 7507 - Vote By Mail	31	13	18	11	141	919	255	0	2	39	214	0
Precinct 7508 - Election Day	8	7	9	6	54	702	106	0	0	22	84	0
Precinct 7508 - Vote By Mail	23	26	17	20	205	702	340	0	0	49	291	0
Precinct 7509/7511 - Election Day	17	7	15	9	105	909	171	0	0	18	153	0
Precinct 7509/7511 - Vote By Mail	43	18	25	11	186	909	319	0	1	33	285	2
Precinct 7512 - Election Day	13	9	10	3	49	604	96	0	0	12	84	0
Precinct 7512 - Vote By Mail	21	27	18	13	95	604	196	0	2	20	174	0
Precinct 7513 - Election Day	17	6	16	3	76	790	142	0	0	24	118	0
Precinct 7513 - Vote By Mail	23	19	11	15	109	790	208	0	1	30	177	0
Precinct 7514 - Election Day	7	1	2	4	49	863	95	0	0	32	63	0
Precinct 7514 - Vote By Mail	19	22	15	17	123	863	235	0	1	38	196	0
Precinct 7515 - Election Day	4	6	16	3	89	845	150	0	0	30	120	2
Precinct 7515 - Vote By Mail	28	18	21	7	164	845	289	0	0	50	239	1
Precinct 7516 - Election Day	7	8	9	8	90	886	145	0	0	23	122	0
Precinct 7516 - Vote By Mail	45	29	11	24	225	886	378	0	0	43	335	1
Precinct 7517 - Election Day	21	9	37	3	125	863	228	0	1	31	196	1
Precinct 7517 - Vote By Mail	35	6	26	0	145	863	251	0	0	39	212	0
Precinct 7518 - Election Day	27	10	31	2	131	939	235	0	0	34	201	0
Precinct 7518 - Vote By Mail	40	7	35	10	170	939	298	0	0	36	262	0
Precinct 7519 - Election Day	21	9	41	0	85	726	179	0	0	23	156	0
Precinct 7519 - Vote By Mail	25	5	26	3	98	726	185	0	0	28	157	0
Precinct 7521 - Election Day	22	8	39	8	102	802	211	0	0	32	179	0
Precinct 7521 - Vote By Mail	34	2	22	2	116	802	215	0	0	38	177	1
Precinct 7522 - Election Day	17	8	35	3	88	743	175	0	0	24	151	0
Precinct 7522 - Vote By Mail	35	5	38	1	124	743	240	0	0	37	203	0
Precinct 7523 - Election Day	24	9	55	1	91	737	208	0	0	28	180	0
Precinct 7523 - Vote By Mail	43	11	27	3	110	737	223	0	0	29	194	0
Precinct 7524 - Election Day	17	8	14	2	78	646	143	0	0	23	120	1
Precinct 7524 - Vote By Mail	29	7	16	4	92	646	165	0	0	17	148	0
Precinct 7525 - Election Day	13	4	16	1	82	779	145	0	0	29	116	0
Precinct 7525 - Vote By Mail	25	5	24	3	118	779	214	0	1	38	175	0
Precinct 7526 - Election Day	36	10	25	4	100	947	197	0	1	20	176	1
Precinct 7526 - Vote By Mail	40	17	27	7	184	947	313	0	0	37	276	1
Precinct 7527/7528 - Election Day	16	9	33	7	62	729	162	0	1	34	127	0
Precinct 7527/7528 - Vote By Mail	30	10	23	10	122	729	237	0	1	41	195	0
Precinct 7529 - Election Day	29	4	44	3	105	925	214	0	0	29	185	0
Precinct 7529 - Vote By Mail	37	10	40	6	164	925	300	0	1	42	257	0
Precinct 7531 - Election Day	29	5	30	0	88	847	179	0	0	27	152	0
Precinct 7531 - Vote By Mail	51	7	35	4	136	847	263	0	0	30	233	0
Precinct 7532 - Election Day	15	7	25	5	96	823	172	0	0	24	148	0
Precinct 7532 - Vote By Mail	41	10	19	15	121	823	226	0	0	20	206	0
Precinct 7533 - Election Day	41	9	54	8	127	951	268	0	0	28	240	1
Precinct 7533 - Vote By Mail	36	11	52	12	142	951	297	0	0	44	253	0
Precinct 7534 - Election Day	33	7	47	0	122	883	241	0	1	31	209	0
Precinct 7534 - Vote By Mail	33	9	31	7	134	883	240	0	1	25	214	0
Precinct 7535 - Election Day	17	6	31	5	111	743	201	0	0	31	170	0
Precinct 7535 - Vote By Mail	37	12	37	3	137	743	251	0	0	25	226	0
Precinct 7536 - Election Day	26	6	32	3	105	856	206	0	0	34	172	0
Precinct 7536 - Vote By Mail	38	7	25	4	169	856	279	0	0	36	243	0
Precinct 7537 - Election Day	21	4	30	3	102	734	187	0	0	27	160	0
Precinct 7537 - Vote By Mail	33	5	29	4	118	734	225	0	0	36	189	0
Precinct 7538 - Election Day	28	7	39	1	108	757	223	0	0	40	183	0
Precinct 7538 - Vote By Mail	35	9	29	4	148	757	256	0	0	31	225	0
Precinct 7539 - Election Day	28	10	51	4	110	884	250	0	0	46	204	1
Precinct 7539 - Vote By Mail	33	9	45	1	158	884	286	0	1	37	248	2
Precinct 7541 - Election Day	25	6	37	4	94	791	215	0	0	48	167	1
