Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7027 - None	72	124	845	271	2	0	69	200	4
Precinct 7028 - None	61	59	835	157	-1	2	36	120	0
Precinct 7028 - None	60	86	835	180	0	0	32	148	2
Precinct 7029 - None	44	42	855	115	1	0	28	86	0
Precinct 7029 - None	55	75	855	166	2	1	30	133	3
Precinct 7030 - None	30	44	729	94	0	0	18	76	2
Precinct 7030 - None	61	160	729	277	0	0	54	223	2
Precinct 7031 - None	16	25	611	50	0	0	9	41	0
Precinct 7031 - None	51	118	611	224	0	0	54	170	1
Precinct 7032 - None	45	43	867	126	-2	0	38	90	2
Precinct 7032 - None	82	117	867	238	1	0	37	200	1
Precinct 7033 - None	50	50	765	135	0	0	32	103	3
Precinct 7033 - None	58	95	765	181	0	0	27	154	1
Precinct 7034 - None	28	37	914	97	0	1	31	65	0
Precinct 7034 - None	52	68	914	154	-1	0	33	122	2
Precinct 7035 - None	31	27	553	73	-1	0	16	58	0
Precinct 7035 - None	58	77	553	170	1	0	32	137	2
Precinct 7036 - None	24	19	898	52	0	0	9	43	0
Precinct 7036 - None	62	162	898	265	0	0	39	226	2
Precinct 7037 - None	22	25	730	73	0	0	26	47	0
Precinct 7037 - None	23	33	730	64	1	0	7	56	0
Precinct 7038 - None	28	32	880	84	0	0	21	63	3
Precinct 7038 - None	49	156	880	255	0	0	49	206	1
Precinct 7039 - None	36	53	768	111	0	1	20	90	1
Precinct 7039 - None	46	130	768	225	3	0	42	180	4
Precinct 7041 MB - None	6	12	60	24	1	0	5	18	0
Precinct 7042 - None	27	33	632	75	0	0	13	62	2
Precinct 7042 - None	58	94	632	191	0	0	39	152	0
Precinct 7043 - None	48	26	915	97	0	0	22	75	1
Precinct 7043 - None	96	136	915	282	0	1	49	232	0
Precinct 7044 - None	22	31	805	86	-1	0	32	55	2
Precinct 7044 - None	42	59	805	125	-1	0	24	102	1
Precinct 7045 - None	26	31	763	87	0	0	28	59	2
Precinct 7045 - None	52	140	763	282	1	0	88	193	1
Precinct 7046 - None	16	28	385	54	0	0	10	44	0
Precinct 7046 - None	43	72	385	136	-1	0	21	116	1
Precinct 7047 - None	26	27	781	68	-1	0	16	53	0
Precinct 7047 - None	82	165	781	298	2	0	46	250	3
Precinct 7048 - None	34	42	815	94	0	0	16	78	2
Precinct 7048 - None	62	135	815	248	1	0	46	201	4
Precinct 7049 - None	24	54	751	108	0	0	28	80	2
Precinct 7049 - None	47	136	751	241	0	0	54	187	4
Precinct 7051 - None	32	20	839	70	-1	0	19	52	0
Precinct 7051 - None	60	181	839	302	2	1	52	247	6
Precinct 7052 - None	43	57	806	120	-1	0	21	100	0
Precinct 7052 - None	58	171	806	278	1	0	48	229	0
Precinct 7053 - None	16	18	548	44	0	0	10	34	0
Precinct 7053 - None	38	126	548	205	3	0	37	165	1
Precinct 7054 - None	60	48	1,024	141	0	0	32	109	1
Precinct 7054 - None	115	113	1,024	275	1	0	46	228	0
Precinct 7055 - None	32	30	699	83	-1	0	22	62	0
Precinct 7055 - None	76	119	699	256	2	0	59	195	0
Precinct 7101 MB - None	24	40	141	83	0	0	19	64	0
Precinct 7201 - None	34	59	900	147	0	0	53	94	1
Precinct 7201 - None	88	167	900	333	0	0	78	255	0
Precinct 7202 - None	28	76	830	138	-1	0	33	106	2
Precinct 7202 - None	54	167	830	271	-2	0	52	221	0
Precinct 7203 - None	49	82	867	174	0	0	43	131	0
Precinct 7203 - None	67	120	867	243	1	0	53	189	2
Precinct 7204 - None	36	75	888	157	0	0	46	111	0
Precinct 7204 - None	86	193	888	340	2	0	59	279	0
