Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9246 - None	77	136	910	299	-1	0	86	214	1
Precinct 9247 - None	48	70	936	151	-1	0	33	119	1
Precinct 9247 - None	82	161	936	303	1	0	59	243	0
Precinct 9248 - None	63	64	898	181	0	0	54	127	0
Precinct 9248 - None	76	138	898	282	6	0	62	214	0
Precinct 9249 - None	50	87	910	187	1	0	49	137	0
Precinct 9249 - None	68	184	910	314	3	0	58	253	1
Precinct 9251 - None	46	113	946	204	0	0	45	159	0
Precinct 9251 - None	80	194	946	342	-1	0	69	274	0
Precinct 9252 - None	51	56	913	140	-1	0	34	107	0
Precinct 9252 - None	93	196	913	352	1	0	60	291	2
Precinct 9253 - None	39	59	751	138	4	0	35	99	1
Precinct 9253 - None	56	157	751	272	0	0	59	213	0
Precinct 9254 - None	59	74	889	168	0	0	34	134	1
Precinct 9254 - None	78	181	889	318	-2	0	60	260	1
Precinct 9255 - None	54	45	545	126	0	0	27	99	0
Precinct 9255 - None	41	58	545	128	1	0	28	99	0
Precinct 9256 - None	27	25	433	77	0	0	25	52	0
Precinct 9256 - None	41	42	433	103	-1	0	21	83	0
Precinct 9257 MB - None	62	64	312	150	-1	0	24	127	1
Precinct 9258 - None	38	60	699	127	0	0	29	98	0
Precinct 9258 - None	74	126	699	244	-2	0	46	200	0
Precinct 9401 - None	93	60	970	194	-1	0	40	155	2
Precinct 9401 - None	109	127	970	293	-2	0	58	237	1
Precinct 9402 - None	77	75	931	197	0	0	45	152	0
Precinct 9402 - None	99	138	931	307	1	0	68	238	1
Precinct 9403 - None	66	64	853	167	0	0	36	131	1
Precinct 9403 - None	95	140	853	286	2	0	48	236	1
Precinct 9404 - None	61	59	889	153	0	0	33	120	0
Precinct 9404 - None	93	157	889	320	3	0	67	250	0
Precinct 9405 - None	41	74	757	160	-1	0	46	115	0
Precinct 9405 - None	61	134	757	245	1	0	49	195	0
Precinct 9406 - None	55	85	815	179	0	0	39	140	0
Precinct 9406 - None	78	138	815	277	1	0	55	221	5
Precinct 9407 - None	54	86	861	191	1	0	49	141	1
Precinct 9407 - None	117	117	861	284	-1	0	51	234	0
Precinct 9408 - None	76	64	837	187	1	0	45	141	1
Precinct 9408 - None	91	110	837	246	-2	0	47	201	0
Precinct 9409 - None	59	60	565	140	0	0	21	119	0
Precinct 9409 - None	54	79	565	170	2	0	34	134	1
Precinct 9411 - None	79	62	936	175	-1	0	34	142	1
Precinct 9411 - None	95	122	936	261	1	0	42	218	1
Precinct 9412 - None	61	66	843	164	0	0	33	131	4
Precinct 9412 - None	86	130	843	285	0	0	67	218	2
Precinct 9413 - None	53	71	858	172	-1	0	49	124	0
Precinct 9413 - None	72	151	858	310	3	0	84	223	0
Precinct 9414 - None	42	55	862	159	1	0	60	98	1
Precinct 9414 - None	84	161	862	307	1	0	59	247	2
Precinct 9415 - None	31	66	755	121	0	0	24	97	0
Precinct 9415 - None	69	161	755	284	-2	0	55	231	1
Precinct 9416 - None	66	84	962	198	0	0	46	152	2
Precinct 9416 - None	86	159	962	316	3	0	68	245	0
Precinct 9417 - None	42	47	714	117	-1	0	29	89	0
Precinct 9417 - None	63	161	714	286	8	0	53	225	1
Precinct 9418 - None	43	69	753	157	1	0	44	112	0
Precinct 9418 - None	46	147	753	269	0	0	73	196	3
Precinct 9419 - None	50	68	893	167	0	0	49	118	0
Precinct 9419 - None	76	187	893	326	1	0	61	264	1
Precinct 9421 - None	40	70	878	150	-1	0	40	111	1
Precinct 9421 - None	75	171	878	316	-1	0	69	248	2
Precinct 9422 - None	67	77	1,010	200	-1	0	57	144	0
Precinct 9422 - None	75	201	1,010	358	0	0	79	279	3
Precinct 9423 - None	43	61	853	147	0	0	43	104	0
Precinct 9423 - None	77	157	853	292	-1	0	57	236	2
Precinct 9424 - None	46	66	910	146	1	0	33	112	0
Precinct 9424 - None	79	187	910	331	-1	0	64	268	2
Precinct 9425 - None	40	53	903	136	1	0	42	93	0
Precinct 9425 - None	68	164	903	313	3	0	75	235	3
Precinct 9426 - None	44	64	801	143	-1	0	34	110	2
Precinct 9426 - None	54	143	801	283	1	0	84	198	1
Precinct 9427 - None	28	67	889	129	-1	0	34	96	1
Precinct 9427 - None	84	159	889	333	1	0	86	246	3
Precinct 9428 - None	39	49	892	122	-1	0	33	90	2
Precinct 9428 - None	84	192	892	346	-1	0	68	279	3
Precinct 9429 - None	47	86	866	173	0	0	40	133	0
Precinct 9429 - None	71	174	866	308	0	0	61	247	2
Precinct 9431 - None	33	84	954	152	-1	0	35	118	1
Precinct 9431 - None	63	213	954	352	4	1	69	278	2
Precinct 9432 - None	45	72	901	155	0	0	38	117	0
Precinct 9432 - None	65	161	901	307	0	0	78	229	3
Precinct 9433 - None	44	68	912	155	0	0	40	115	3
Precinct 9433 - None	66	168	912	317	-2	0	85	234	0
Precinct 9434 - None	48	77	963	188	0	0	60	128	3
Precinct 9434 - None	83	214	963	349	-1	0	53	297	0
Precinct 9435 - None	60	90	934	195	0	0	42	153	3
Precinct 9435 - None	76	154	934	320	2	0	85	233	3
Precinct 9436 - None	42	81	941	161	0	0	38	123	0
Precinct 9436 - None	79	171	941	337	0	0	85	252	2
Precinct 9437 - None	42	81	873	170	0	0	46	124	1
Precinct 9437 - None	71	195	873	324	1	0	57	266	0
Precinct 9438 - None	42	59	918	129	1	0	26	102	1
Precinct 9438 - None	74	199	918	336	-1	0	64	273	0
Precinct 9439 - None	30	62	827	126	0	0	33	93	1
Precinct 9439 - None	46	193	827	314	-1	0	76	239	0
Precinct 9441 - None	76	78	939	205	-1	0	50	156	2
Precinct 9441 - None	75	195	939	337	-1	0	67	271	1
Precinct 9442 - None	72	84	970	200	0	1	42	157	1
Precinct 9442 - None	77	165	970	325	0	0	76	249	7
Precinct 9443 - None	47	66	886	138	0	0	25	113	0
Precinct 9443 - None	99	150	886	304	2	1	51	250	1
Precinct 9444 - None	34	50	901	118	-1	0	34	85	1
Precinct 9444 - None	69	166	901	312	-1	0	76	237	2
Precinct 9445 - None	36	80	945	154	0	0	36	118	2
Precinct 9445 - None	79	192	945	342	0	0	69	273	2
Precinct 9446 - None	39	84	1,043	164	2	0	39	123	0
Precinct 9446 - None	100	215	1,043	417	-3	1	103	316	1
Precinct 9447 - None	55	73	891	171	1	0	40	130	2
Precinct 9447 - None	74	177	891	327	1	0	75	251	0
Precinct 9448 - None	54	68	877	159	0	0	36	123	1
Precinct 9448 - None	77	154	877	307	-2	0	77	232	1
Precinct 9449 - None	24	52	784	97	-1	0	22	76	0
Precinct 9449 - None	69	166	784	302	4	0	62	236	1
Precinct 9451 - None	18	32	414	57	0	0	7	50	0
Precinct 9451 - None	22	101	414	154	3	0	27	124	1
Precinct 9452 - None	44	94	799	175	1	0	36	138	0
Precinct 9452 - None	63	151	799	281	0	0	66	215	1
Precinct 9453 - None	21	54	488	90	0	0	14	76	1
Precinct 9453 - None	40	100	488	175	0	0	35	140	0
Precinct 9501 MB - None	19	31	149	71	-2	0	22	51	1
Precinct 9502 MB - None	39	56	233	116	0	0	20	96	1
Precinct 9503/9504 - None	39	57	725	128	-2	0	34	96	0
Precinct 9503/9504 - None	56	84	725	184	0	1	43	140	0
Precinct 9505 - None	44	62	756	147	-2	0	43	106	0
Precinct 9505 - None	89	115	756	274	0	0	68	206	2
Precinct 9506 - None	50	55	771	134	0	0	29	105	0
Precinct 9506 - None	76	106	771	217	1	0	34	182	0
Precinct 9507 - None	64	65	733	170	1	0	40	129	0
Precinct 9507 - None	92	85	733	218	-2	1	42	177	0
Precinct 9508 - None	101	49	784	180	0	0	30	150	0
Precinct 9508 - None	117	102	784	258	3	0	32	223	4
Precinct 9509 - None	78	48	719	165	0	0	39	126	0
Precinct 9509 - None	92	93	719	239	-1	1	54	185	0
Precinct 9511 - None	70	37	600	147	0	0	39	108	1
Precinct 9511 - None	88	57	600	177	2	0	30	145	0
Precinct 9512 - None	82	49	771	161	0	0	30	131	0
Precinct 9512 - None	106	106	771	251	-5	0	43	213	1
Precinct 9513 - None	74	73	864	200	0	0	51	149	2
Precinct 9513 - None	98	109	864	261	5	0	49	207	0
Precinct 9514/9522 - None	91	86	869	229	0	0	51	178	1
Precinct 9514/9522 - None	84	109	869	257	1	0	63	193	0
Precinct 9515 - None	66	58	685	159	0	0	35	124	0
Precinct 9515 - None	80	106	685	243	0	0	56	187	1
Precinct 9516 - None	76	79	864	206	0	0	50	156	1
Precinct 9516 - None	98	124	864	269	1	0	46	222	0
Precinct 9517 - None	85	64	768	197	0	0	48	149	0
Precinct 9517 - None	88	102	768	235	1	0	44	190	0
Precinct 9518 - None	75	66	783	180	1	0	37	142	1
Precinct 9518 - None	88	114	783	242	0	0	40	202	0
Precinct 9519 - None	73	88	850	217	0	0	56	161	0
Precinct 9519 - None	103	147	850	294	-1	0	44	251	1
Precinct 9521 - None	105	95	893	254	0	0	51	203	3
Precinct 9521 - None	97	135	893	290	3	1	54	232	0
Precinct 9701 - None	63	62	665	156	0	0	31	125	0
Precinct 9701 - None	76	106	665	235	0	0	53	182	0
Precinct 9702 - None	81	65	710	194	0	0	47	147	1
Precinct 9702 - None	63	110	710	231	0	0	58	173	0
Precinct 9703 - None	49	91	931	182	1	0	39	142	2
Precinct 9703 - None	103	199	931	373	1	0	70	302	0
Precinct 9704 - None	66	78	942	191	0	0	47	144	0
Precinct 9704 - None	97	188	942	354	-1	0	68	287	2
Precinct 9705 - None	71	100	879	208	1	0	35	172	1
Precinct 9705 - None	96	162	879	309	0	0	51	258	0
Precinct 9706 MB - None	14	12	51	32	0	0	6	26	0
Precinct 9707 - None	22	66	799	121	0	0	31	90	2
Precinct 9707 - None	84	214	799	355	-4	0	61	298	0
Precinct 9708 - None	67	72	919	193	1	0	53	139	0
Precinct 9708 - None	93	139	919	324	2	0	88	234	2
Precinct 9709 - None	52	86	998	196	1	0	56	139	1
Precinct 9709 - None	58	218	998	355	1	0	77	277	1
Precinct 9711 - None	45	81	625	167	0	0	38	129	3
Precinct 9711 - None	45	168	625	254	0	0	37	217	4
Precinct 9712 - None	29	84	651	134	-1	1	20	114	1
Precinct 9712 - None	59	178	651	288	1	0	50	237	0
Precinct 9713 - None	36	72	930	161	0	0	51	110	2
Precinct 9713 - None	80	209	930	362	1	0	70	291	2
Precinct 9714 - None	31	85	911	154	0	0	37	117	1
Precinct 9714 - None	66	225	911	367	2	0	71	294	3
Precinct 9715 - None	32	103	566	162	0	0	25	137	2
Precinct 9715 - None	31	155	566	218	1	0	31	186	0
Precinct 9716 - None	67	79	928	198	-1	0	53	146	0
Precinct 9716 - None	91	208	928	368	4	0	64	300	1
Precinct 9717 - None	57	101	967	206	-1	0	48	159	1
Precinct 9717 - None	101	206	967	371	6	1	57	307	0
Precinct 9718 - None	47	104	843	183	-2	0	34	151	0
Precinct 9718 - None	95	228	843	385	3	0	57	325	2
Precinct 9719 - None	53	97	863	186	0	0	35	151	1
Precinct 9719 - None	64	246	863	389	1	0	76	312	2
Precinct 9721 - None	24	125	653	182	-1	0	33	150	1
Precinct 9721 - None	45	144	653	250	1	0	58	191	2
Precinct 9722 - None	20	42	593	86	0	0	24	62	0
Precinct 9722 - None	59	164	593	269	-3	0	48	224	1
Precinct 9723 - None	13	39	458	74	0	0	22	52	0
Precinct 9723 - None	36	115	458	198	1	0	42	155	4
Precinct 9724 - None	30	80	950	144	0	0	33	111	1
Precinct 9724 - None	59	239	950	386	-1	0	89	298	0
Precinct 9725 - None	30	57	941	118	-1	0	32	87	0
Precinct 9725 - None	64	204	941	350	0	0	80	270	2
Precinct 9726 - None	26	36	685	83	0	0	21	62	0
Precinct 9726 - None	37	69	685	137	0	0	29	108	2
Precinct 9727 - None	10	36	435	60	1	0	13	46	0
Precinct 9727 - None	36	133	435	205	2	0	34	169	0
Precinct 9728 - None	40	129	906	204	0	0	35	169	0
Precinct 9728 - None	72	243	906	378	-2	0	62	318	3
Precinct 9729 - None	28	97	782	161	1	0	34	126	1
Precinct 9729 - None	37	211	782	304	0	0	56	248	0
Precinct 9731 - None	21	86	529	138	0	0	29	109	2
Precinct 9731 - None	36	121	529	189	0	1	31	157	0
Precinct 9732 MB - None	12	22	73	43	1	0	8	34	0
Precinct 9733 MB - None	38	80	224	146	0	0	27	119	1
Precinct 9734 - None	22	80	577	122	0	0	20	102	0
Precinct 9734 - None	45	173	577	261	1	0	42	218	0
Precinct 9735 - None	32	95	782	167	1	0	36	130	3
Precinct 9735 - None	70	224	782	344	0	0	50	294	0
Precinct 9736 - None	39	76	699	145	0	0	28	117	2
Precinct 9736 - None	82	173	699	305	1	0	49	255	0
Precinct 9737 - None	58	81	792	175	-1	0	37	139	0
Precinct 9737 - None	91	194	792	343	-3	0	60	286	1
Precinct 9738 - None	40	38	830	99	0	0	21	78	0
Precinct 9738 - None	89	126	830	263	4	0	43	216	1
Precinct 9739 - None	53	51	826	126	0	1	20	105	1
Precinct 9739 - None	74	77	826	193	-3	0	45	151	0
Precinct 9741 - None	12	4	1,022	19	0	0	3	16	0
Precinct 9741 - None	14	6	1,022	24	0	0	4	20	0
Precinct 9742 - None	27	78	647	134	0	0	29	105	0
Precinct 9742 - None	39	109	647	187	1	0	37	149	1
Precinct 9743 - None	76	62	1,093	172	0	0	33	139	1
Precinct 9743 - None	100	171	1,093	317	2	0	44	271	0
Precinct 9744 - None	59	62	902	141	0	0	20	121	0
Precinct 9744 - None	78	105	902	234	1	1	49	183	0
Precinct 9745 - None	48	61	934	141	0	0	31	110	1
Precinct 9745 - None	89	86	934	205	-1	0	29	177	2
Precinct 9746 - None	50	93	867	192	0	0	48	144	1
Precinct 9746 - None	83	183	867	334	2	0	66	266	0
Precinct 9747 - None	70	97	940	198	0	0	30	168	1
Precinct 9747 - None	98	158	940	323	0	0	65	258	2
Precinct 9748 - None	44	80	913	164	0	0	36	128	4
Precinct 9748 - None	90	182	913	342	3	0	67	272	0
Precinct 9749 - None	55	53	893	143	-1	0	34	110	2
Precinct 9749 - None	103	121	893	266	0	0	39	227	3
Precinct 9751 - None	47	75	977	157	-1	1	34	123	1
Precinct 9751 - None	71	236	977	384	2	0	72	310	3
Precinct 9752 - None	49	61	692	143	0	0	33	110	0
Precinct 9752 - None	98	148	692	305	2	0	56	247	1
Precinct 9753 - None	44	73	735	148	0	0	30	118	1
Precinct 9753 - None	97	125	735	266	-1	0	45	222	0
Precinct 9754 - None	60	74	701	169	0	0	34	135	1
Precinct 9754 - None	108	150	701	296	1	0	37	258	0
Precinct 9755 - None	42	59	553	120	-1	1	19	101	0
Precinct 9755 - None	70	100	553	201	0	0	30	171	1
Precinct 9756 - None	46	55	908	126	-1	0	25	102	1
Precinct 9756 - None	88	150	908	297	6	0	51	240	2
Precinct 9801 - None	23	34	399	76	0	0	19	57	0
Precinct 9801 - None	56	70	399	148	0	0	21	127	1
Congressional District 12	73,090	104,545	426,647	225,360	215	96	46,524	178,525	890
Congressional District 14	8,104	14,586	55,344	28,223	31	12	5,330	22,850	160
Assembly District 17	50,848	66,263	280,269	147,301	86	76	29,430	117,709	598
Assembly District 19	30,346	52,868	201,722	106,282	160	32	22,424	83,666	452
BART District 7	4,615	7,252	36,166	15,261	16	12	3,281	11,952	85
BART District 8	30,307	57,151	215,670	112,119	160	34	23,974	87,951	493
BART District 9	46,272	54,728	230,155	126,203	70	62	24,599	101,472	472
Supervisorial District 1	7,268	10,367	40,919	22,431	37	6	4,671	17,717	82
Supervisorial District 2	5,586	13,091	48,242	24,389	59	5	5,581	18,744	67
Supervisorial District 3	5,169	9,162	38,273	18,567	-2	8	4,162	14,399	68
Supervisorial District 4	5,957	10,964	41,216	21,994	23	4	4,935	17,032	111
Supervisorial District 5	10,807	11,794	52,114	28,694	27	12	5,963	22,692	91
Supervisorial District 6	5,427	8,278	41,151	17,498	3	10	3,698	13,787	82
Supervisorial District 7	7,031	13,909	46,301	26,230	34	11	5,129	21,056	116
Supervisorial District 8	12,382	16,732	56,415	36,015	-8	15	6,804	29,204	90
Supervisorial District 9	9,937	8,470	41,665	22,565	25	12	4,004	18,524	117
Supervisorial District 10	5,808	8,303	39,848	17,900	39	13	3,623	14,225	114
Supervisorial District 11	5,822	8,061	35,847	17,300	9	12	3,284	13,995	112
Bayview/Hunters Point	2,501	3,697	19,131	7,881	23	9	1,602	6,247	49
Chinatown	2,068	4,040	16,742	8,038	-5	2	1,911	6,130	22
Civic Center/Downtown	3,982	5,668	27,631	12,231	3	8	2,509	9,711	61
Diamond Heights	1,284	2,374	6,857	4,487	1	4	805	3,677	19
Excelsior	4,362	6,032	26,541	12,895	5	8	2,409	10,473	79
Haight Ashbury	3,307	3,397	14,552	8,410	10	3	1,680	6,717	13
Ingleside	1,831	2,512	11,506	5,461	8	4	1,064	4,385	42
Inner Sunset	1,936	2,339	9,393	5,438	8	1	1,141	4,288	13
Lake Merced	1,027	1,688	8,641	3,424	2	2	690	2,730	15
Laurel Heights/Anza Vista	1,597	2,371	9,744	5,037	6	3	1,047	3,981	13
Marina Pacific Heights	4,425	10,071	38,757	19,070	49	4	4,459	14,558	62
Mission	7,527	5,576	30,096	16,088	11	8	2,888	13,181	78
Noe Valley	3,531	4,986	16,415	10,584	-11	7	2,040	8,548	31
North Bernal Heights	2,496	2,045	8,622	5,494	0	3	932	4,559	18
North Embarcadero	913	1,845	6,827	3,580	6	2	800	2,772	14
Portola	1,313	2,213	8,914	4,445	3	0	890	3,552	26
Potrero Hill	2,699	3,538	15,511	7,917	5	4	1,643	6,265	28
Richmond	6,406	9,085	35,688	19,724	30	5	4,128	15,561	70
Sea Cliff/Presidio Heights	970	2,639	7,813	4,593	10	1	964	3,618	9
South of Bernal Heights	2,213	2,227	9,230	5,452	8	2	982	4,460	20
South of Market	3,017	4,816	23,278	10,026	-3	4	2,145	7,880	47
Sunset	5,844	10,825	40,651	21,684	21	4	4,880	16,779	110
Upper Market/Eureka Valley	4,018	5,782	18,424	12,111	5	3	2,280	9,823	23
Visitation Valley	827	1,701	7,867	3,226	9	2	649	2,566	38
West of Twin Peaks	5,280	11,353	33,960	20,797	29	9	4,038	16,721	88
Western Addition	5,820	6,311	29,200	15,490	13	6	3,278	12,193	62
