Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9245 - Vote By Mail	42	322	742	375	0	0	11	364
Precinct 9246 - Election Day	36	210	929	257	0	0	11	246
Precinct 9246 - Vote By Mail	81	436	929	528	0	0	11	517
Precinct 9247 - Election Day	50	209	927	264	0	0	5	259
Precinct 9247 - Vote By Mail	88	414	927	515	0	0	13	502
Precinct 9248 - Election Day	36	214	907	258	0	0	8	250
Precinct 9248 - Vote By Mail	58	418	907	487	0	1	10	476
Precinct 9249 - Election Day	34	229	917	271	0	0	8	263
Precinct 9249 - Vote By Mail	80	402	917	495	0	0	13	482
Precinct 9251 - Election Day	39	237	995	287	0	0	11	276
Precinct 9251 - Vote By Mail	84	436	995	530	0	0	10	520
Precinct 9252 - Election Day	37	178	944	219	0	0	4	215
Precinct 9252 - Vote By Mail	94	442	944	550	0	1	13	536
Precinct 9253 - Election Day	33	141	772	187	0	0	13	174
Precinct 9253 - Vote By Mail	64	321	772	397	0	0	12	385
Precinct 9254 - Election Day	25	195	935	230	0	0	10	220
Precinct 9254 - Vote By Mail	66	456	935	538	0	0	16	522
Precinct 9255 - Election Day	20	153	553	183	0	0	10	173
Precinct 9255 - Vote By Mail	23	233	553	263	0	0	7	256
Precinct 9256 - Election Day	12	112	474	130	0	0	6	124
Precinct 9256 - Vote By Mail	21	204	474	233	0	0	8	225
Precinct 9257 MB - Vote By Mail	14	212	321	235	0	0	9	226
Precinct 9258 - Election Day	19	169	712	193	0	0	5	188
Precinct 9258 - Vote By Mail	53	312	712	373	0	0	8	365
Precinct 9401 - Election Day	19	260	1,012	293	0	0	14	279
Precinct 9401 - Vote By Mail	58	403	1,012	484	0	1	22	461
Precinct 9402 - Election Day	28	246	977	290	0	0	16	274
Precinct 9402 - Vote By Mail	59	379	977	458	0	0	20	438
Precinct 9403 - Election Day	27	200	897	240	0	0	13	227
Precinct 9403 - Vote By Mail	71	330	897	419	0	0	18	401
Precinct 9404 - Election Day	24	163	930	200	0	0	13	187
Precinct 9404 - Vote By Mail	88	355	930	462	0	0	19	443
Precinct 9405 - Election Day	45	157	786	210	0	0	8	202
Precinct 9405 - Vote By Mail	62	286	786	364	0	0	16	348
Precinct 9406 - Election Day	46	182	868	244	0	1	15	228
Precinct 9406 - Vote By Mail	62	336	868	421	0	1	22	398
Precinct 9407 - Election Day	37	201	889	253	0	0	15	238
Precinct 9407 - Vote By Mail	74	316	889	409	0	0	19	390
Precinct 9408 - Election Day	34	215	886	265	0	0	16	249
Precinct 9408 - Vote By Mail	46	345	886	415	0	0	24	391
Precinct 9409 - Election Day	13	178	590	201	0	0	10	191
Precinct 9409 - Vote By Mail	37	201	590	252	0	0	14	238
Precinct 9411 - Election Day	23	233	956	271	0	0	15	256
Precinct 9411 - Vote By Mail	48	356	956	431	0	0	27	404
Precinct 9412 - Election Day	30	201	848	245	0	0	14	231
Precinct 9412 - Vote By Mail	59	293	848	380	0	1	27	352
Precinct 9413 - Election Day	30	183	894	229	0	0	16	213
Precinct 9413 - Vote By Mail	85	357	894	461	0	0	19	442
Precinct 9414 - Election Day	38	166	916	216	0	0	12	204
Precinct 9414 - Vote By Mail	79	368	916	463	0	0	16	447
Precinct 9415 - Election Day	33	143	784	187	0	0	11	176
Precinct 9415 - Vote By Mail	81	285	784	392	0	0	26	366
Precinct 9416 - Election Day	36	228	1,008	282	1	0	17	264
Precinct 9416 - Vote By Mail	68	391	1,008	480	1	0	20	459
Precinct 9417 - Election Day	27	133	752	175	0	0	15	160
Precinct 9417 - Vote By Mail	84	294	752	402	0	0	24	378
Precinct 9418 - Election Day	44	156	790	211	0	0	11	200
Precinct 9418 - Vote By Mail	89	270	790	376	0	0	17	359
Precinct 9419 - Election Day	49	156	924	222	0	1	16	205
Precinct 9419 - Vote By Mail	116	328	924	468	0	0	24	444
Precinct 9421 - Election Day	46	173	906	238	0	0	19	219
Precinct 9421 - Vote By Mail	99	314	906	446	0	0	33	413
Precinct 9422 - Election Day	57	209	1,056	283	0	0	17	266
Precinct 9422 - Vote By Mail	116	374	1,056	513	0	0	23	490
Precinct 9423 - Election Day	34	176	889	219	0	0	9	210
Precinct 9423 - Vote By Mail	51	369	889	440	0	0	20	420
Precinct 9424 - Election Day	40	170	952	224	0	0	14	210
Precinct 9424 - Vote By Mail	97	376	952	496	0	0	23	473
Precinct 9425 - Election Day	35	147	933	199	0	0	17	182
Precinct 9425 - Vote By Mail	104	327	933	465	0	1	33	431
Precinct 9426 - Election Day	33	149	823	198	0	0	16	182
Precinct 9426 - Vote By Mail	96	277	823	408	0	0	35	373
Precinct 9427 - Election Day	43	152	948	210	0	0	15	195
Precinct 9427 - Vote By Mail	120	304	948	447	0	0	23	424
Precinct 9428 - Election Day	34	137	961	183	0	0	12	171
Precinct 9428 - Vote By Mail	114	380	961	518	0	0	24	494
Precinct 9429 - Election Day	50	159	899	228	1	0	18	209
Precinct 9429 - Vote By Mail	87	324	899	432	0	0	21	411
Precinct 9431 - Election Day	36	181	973	235	0	0	18	217
Precinct 9431 - Vote By Mail	106	343	973	464	0	0	15	449
Precinct 9432 - Election Day	30	169	945	214	0	0	15	199
Precinct 9432 - Vote By Mail	73	359	945	468	0	0	36	432
Precinct 9433 - Election Day	43	142	945	195	0	0	10	185
Precinct 9433 - Vote By Mail	103	359	945	487	0	0	25	462
Precinct 9434 - Election Day	35	209	979	261	0	0	17	244
Precinct 9434 - Vote By Mail	79	373	979	481	1	0	28	452
Precinct 9435 - Election Day	46	189	969	251	0	1	15	235
Precinct 9435 - Vote By Mail	78	342	969	448	0	0	28	420
Precinct 9436 - Election Day	42	180	1,006	232	0	0	10	222
Precinct 9436 - Vote By Mail	113	357	1,006	495	0	0	25	470
Precinct 9437 - Election Day	32	167	897	219	0	0	20	199
Precinct 9437 - Vote By Mail	105	311	897	435	0	0	19	416
Precinct 9438 - Election Day	40	144	948	202	0	0	18	184
Precinct 9438 - Vote By Mail	101	379	948	496	0	0	16	480
Precinct 9439 - Election Day	31	134	879	173	0	0	8	165
Precinct 9439 - Vote By Mail	88	304	879	425	0	0	33	392
Precinct 9441 - Election Day	35	203	980	261	0	0	23	238
Precinct 9441 - Vote By Mail	95	345	980	462	0	0	22	440
Precinct 9442 - Election Day	48	220	1,008	280	0	0	12	268
Precinct 9442 - Vote By Mail	93	339	1,008	461	0	0	29	432
Precinct 9443 - Election Day	36	173	937	220	1	0	10	209
Precinct 9443 - Vote By Mail	77	343	937	442	0	0	22	420
Precinct 9444 - Election Day	40	139	937	190	1	0	10	179
Precinct 9444 - Vote By Mail	107	316	937	442	0	1	18	423
Precinct 9445 - Election Day	43	173	981	230	0	0	14	216
Precinct 9445 - Vote By Mail	90	375	981	493	0	1	27	465
Precinct 9446 - Election Day	34	194	1,090	240	0	0	12	228
Precinct 9446 - Vote By Mail	145	395	1,090	564	0	0	24	540
Precinct 9447 - Election Day	35	189	906	236	0	0	12	224
Precinct 9447 - Vote By Mail	79	355	906	448	0	0	14	434
Precinct 9448 - Election Day	38	178	909	232	0	0	16	216
Precinct 9448 - Vote By Mail	82	325	909	429	0	0	22	407
Precinct 9449 - Election Day	27	139	830	177	2	0	9	166
Precinct 9449 - Vote By Mail	91	319	830	428	0	0	18	410
Precinct 9451 - Election Day	18	75	420	97	0	0	4	93
Precinct 9451 - Vote By Mail	61	147	420	218	0	1	9	208
Precinct 9452 - Election Day	55	187	840	259	0	0	17	242
Precinct 9452 - Vote By Mail	102	284	840	412	0	0	26	386
Precinct 9501 MB - Vote By Mail	17	88	148	110	0	0	5	105
Precinct 9502 MB - Vote By Mail	15	161	245	177	0	0	1	176
Precinct 9503/9504 - Election Day	17	178	729	198	0	0	3	195
Precinct 9503/9504 - Vote By Mail	28	277	729	315	0	0	10	305
Precinct 9505 - Election Day	13	159	784	177	0	0	5	172
Precinct 9505 - Vote By Mail	41	334	784	383	0	0	8	375
Precinct 9506 - Election Day	14	159	766	177	0	0	4	173
Precinct 9506 - Vote By Mail	24	274	766	313	0	0	15	298
Precinct 9507 - Election Day	5	215	766	231	0	0	11	220
Precinct 9507 - Vote By Mail	24	364	766	406	0	0	18	388
Precinct 9508 - Election Day	8	219	798	237	0	0	10	227
Precinct 9508 - Vote By Mail	19	394	798	429	0	0	16	413
Precinct 9509 - Election Day	15	208	759	230	0	0	7	223
Precinct 9509 - Vote By Mail	27	347	759	386	0	0	12	374
Precinct 9511 - Election Day	21	163	622	190	0	1	5	184
Precinct 9511 - Vote By Mail	29	257	622	296	0	0	10	286
Precinct 9512 - Election Day	15	212	809	240	0	0	13	227
Precinct 9512 - Vote By Mail	32	350	809	399	0	1	16	382
Precinct 9513 - Election Day	19	242	902	275	0	0	14	261
Precinct 9513 - Vote By Mail	23	353	902	390	0	0	14	376
Precinct 9514/9522 - Election Day	23	264	928	304	0	0	17	287
Precinct 9514/9522 - Vote By Mail	34	409	928	456	0	0	13	443
Precinct 9515 - Election Day	19	196	705	222	0	0	7	215
Precinct 9515 - Vote By Mail	41	310	705	368	0	0	17	351
Precinct 9516 - Election Day	37	203	866	254	0	0	14	240
Precinct 9516 - Vote By Mail	53	346	866	427	0	0	28	399
Precinct 9517 - Election Day	17	193	801	228	0	0	18	210
Precinct 9517 - Vote By Mail	27	348	801	397	0	0	22	375
Precinct 9518 - Election Day	16	208	802	229	0	0	5	224
Precinct 9518 - Vote By Mail	44	372	802	431	0	0	15	416
Precinct 9519 - Election Day	25	229	910	262	0	0	8	254
Precinct 9519 - Vote By Mail	38	431	910	486	0	0	17	469
Precinct 9521 - Election Day	30	275	939	316	0	0	11	305
Precinct 9521 - Vote By Mail	32	402	939	442	0	0	8	434
Precinct 9701 - Election Day	18	171	671	201	0	0	12	189
Precinct 9701 - Vote By Mail	55	263	671	340	0	0	22	318
Precinct 9702 - Election Day	14	188	723	210	0	0	8	202
Precinct 9702 - Vote By Mail	41	312	723	364	0	0	11	353
Precinct 9703 - Election Day	40	180	986	232	0	0	12	220
Precinct 9703 - Vote By Mail	93	414	986	530	0	0	23	507
Precinct 9704 - Election Day	34	235	950	279	0	1	9	269
Precinct 9704 - Vote By Mail	79	402	950	505	0	0	24	481
Precinct 9705 - Election Day	28	220	919	261	3	0	10	248
Precinct 9705 - Vote By Mail	40	426	919	483	0	0	17	466
Precinct 9706 MB - Vote By Mail	4	33	49	39	0	0	2	37
Precinct 9707 - Election Day	42	122	821	173	0	0	9	164
Precinct 9707 - Vote By Mail	99	372	821	491	0	0	20	471
Precinct 9708 - Election Day	33	211	948	250	0	0	6	244
Precinct 9708 - Vote By Mail	47	434	948	500	0	0	19	481
Precinct 9709 - Election Day	47	218	1,028	281	7	0	9	265
Precinct 9709 - Vote By Mail	91	403	1,028	517	0	0	23	494
Precinct 9711 - Election Day	30	159	641	195	0	0	6	189
Precinct 9711 - Vote By Mail	56	272	641	336	0	0	8	328
Precinct 9713 - Election Day	39	175	960	225	1	0	10	214
Precinct 9713 - Vote By Mail	110	360	960	489	0	0	19	470
Precinct 9716 - Election Day	43	178	947	239	0	0	18	221
Precinct 9716 - Vote By Mail	86	369	947	481	0	0	26	455
Precinct 9717 - Election Day	52	196	972	265	0	0	17	248
Precinct 9717 - Vote By Mail	93	421	972	532	0	0	18	514
Precinct 9732 MB - Vote By Mail	11	44	70	56	0	1	0	55
Congressional District 12	41,780	275,292	443,570	332,491	87	107	15,225	317,072
Assembly District 17	22,495	181,966	291,063	214,827	62	80	10,224	204,461
Assembly District 19	19,285	93,326	152,507	117,664	25	27	5,001	112,611
BART District 7	3,040	20,549	38,460	24,736	3	6	1,138	23,589
BART District 8	22,453	102,344	173,681	130,812	31	34	5,950	124,797
BART District 9	16,287	152,399	231,429	176,943	53	67	8,137	168,686
Supervisorial District 1	4,939	26,328	42,767	32,743	7	6	1,463	31,267
Supervisorial District 2	7,354	31,793	50,394	40,402	1	10	1,244	39,147
Supervisorial District 3	4,192	22,833	39,799	28,571	2	10	1,534	27,025
Supervisorial District 4	5,717	23,866	42,453	31,320	8	10	1,719	29,583
Supervisorial District 5	3,318	36,993	53,744	42,036	5	13	1,707	40,311
Supervisorial District 6	3,625	23,906	43,321	29,158	2	14	1,611	27,531
Supervisorial District 7	2,212	12,123	18,498	14,932	12	4	581	14,335
Supervisorial District 8	3,488	43,028	57,714	48,347	31	14	1,786	46,516
Supervisorial District 9	2,767	27,194	42,988	31,769	10	11	1,787	29,961
Supervisorial District 10	3,096	21,796	41,589	26,313	9	9	1,403	24,892
Supervisorial District 11	1,072	5,432	10,303	6,900	0	6	390	6,504
Bayview/Hunters Point	1,315	9,314	19,914	11,270	1	3	637	10,629
Chinatown	1,837	9,897	17,446	12,440	1	6	699	11,734
Civic Center/Downtown	2,485	15,388	28,644	19,045	1	12	1,159	17,873
Diamond Heights	593	4,999	7,002	5,802	3	3	204	5,592
Excelsior	1,072	5,432	10,303	6,900	0	6	390	6,504
Haight Ashbury	766	10,966	14,982	12,240	2	4	502	11,732
Inner Sunset	741	6,784	9,734	7,857	0	0	332	7,525
Laurel Heights/Anza Vista	986	6,755	10,097	8,010	0	3	266	7,741
Marina Pacific Heights	5,953	25,424	40,622	32,395	5	11	1,002	31,377
Mission	1,580	20,392	31,129	23,295	3	7	1,313	21,972
Noe Valley	1,141	12,762	16,964	14,420	3	5	509	13,903
North Bernal Heights	439	6,486	8,795	7,263	2	1	335	6,925
North Embarcadero	850	4,124	7,019	5,232	0	0	258	4,974
Portola	1,075	4,662	9,293	6,104	2	3	362	5,737
Potrero Hill	1,212	11,329	16,814	13,081	3	2	535	12,541
Richmond	4,397	22,819	37,322	28,503	5	3	1,279	27,216
Sea Cliff/Presidio Heights	1,201	5,149	8,050	6,587	1	1	235	6,350
South of Bernal Heights	558	6,504	9,419	7,393	6	5	320	7,062
South of Market	2,235	13,936	24,674	17,045	2	6	866	16,171
Sunset	5,667	23,487	41,863	30,867	8	10	1,695	29,154
Upper Market/Eureka Valley	997	14,627	18,966	16,190	12	3	551	15,624
Visitation Valley	809	3,219	7,866	4,342	3	2	309	4,028
West of Twin Peaks	2,037	10,799	16,575	13,372	12	4	520	12,836
Western Addition	1,834	20,038	30,077	22,838	12	7	947	21,872
