Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7206 - Election Day	11	116	378	135	0	0	8	127
Precinct 7206 - Vote By Mail	25	156	378	191	0	0	10	181
Precinct 7207 - Election Day	26	158	812	196	0	0	12	184
Precinct 7207 - Vote By Mail	52	363	812	434	0	0	19	415
Precinct 7208 - Election Day	10	96	600	111	0	0	5	106
Precinct 7208 - Vote By Mail	52	263	600	328	0	0	13	315
Precinct 7209 - Election Day	14	89	626	107	0	0	4	103
Precinct 7209 - Vote By Mail	70	339	626	423	0	2	12	409
Precinct 7301 - Election Day	41	172	1,016	228	0	0	15	213
Precinct 7301 - Vote By Mail	69	338	1,016	435	0	0	28	407
Precinct 7302 - Election Day	34	142	814	188	0	0	12	176
Precinct 7302 - Vote By Mail	77	348	814	458	0	0	33	425
Precinct 7303 - Election Day	41	225	1,042	281	0	0	15	266
Precinct 7303 - Vote By Mail	71	390	1,042	482	0	0	21	461
Precinct 7304 - Election Day	36	229	1,002	278	0	0	13	265
Precinct 7304 - Vote By Mail	83	390	1,002	493	0	0	20	473
Precinct 7305 - Election Day	47	185	871	240	0	0	8	232
Precinct 7305 - Vote By Mail	96	343	871	460	0	0	21	439
Precinct 7306 - Election Day	44	253	1,056	317	0	0	20	297
Precinct 7306 - Vote By Mail	76	401	1,056	498	0	0	21	477
Precinct 7307 - Election Day	17	178	767	210	0	0	15	195
Precinct 7307 - Vote By Mail	48	281	767	346	0	0	17	329
Precinct 7308 - Election Day	29	145	603	177	0	0	3	174
Precinct 7308 - Vote By Mail	49	255	603	313	0	0	9	304
Precinct 7309 - Election Day	38	219	884	263	0	0	6	257
Precinct 7309 - Vote By Mail	79	348	884	439	0	1	11	427
Precinct 7311 - Election Day	27	231	917	268	0	0	10	258
Precinct 7311 - Vote By Mail	57	378	917	448	0	1	12	435
Precinct 7312 - Election Day	36	160	821	203	0	0	7	196
Precinct 7312 - Vote By Mail	89	362	821	470	0	0	19	451
Precinct 7313 - Election Day	26	190	968	225	1	0	8	216
Precinct 7313 - Vote By Mail	77	384	968	485	0	0	24	461
Precinct 7314 - Election Day	19	92	787	125	0	0	14	111
Precinct 7314 - Vote By Mail	34	193	787	271	0	0	44	227
Precinct 7315 - Election Day	30	179	760	220	0	0	11	209
Precinct 7315 - Vote By Mail	41	229	760	282	0	0	12	270
Precinct 7316 - Election Day	21	175	853	205	0	1	8	196
Precinct 7316 - Vote By Mail	60	284	853	367	0	0	23	344
Precinct 7317 - Election Day	24	157	904	189	0	0	8	181
Precinct 7317 - Vote By Mail	88	346	904	454	0	0	20	434
Precinct 7318 - Election Day	23	148	727	179	0	0	8	171
Precinct 7318 - Vote By Mail	49	310	727	390	0	1	30	359
Precinct 7319 - Election Day	34	253	1,079	301	0	1	13	287
Precinct 7319 - Vote By Mail	79	415	1,079	516	0	0	22	494
Precinct 7321 - Election Day	21	111	671	149	0	0	17	132
Precinct 7321 - Vote By Mail	46	218	671	286	0	0	22	264
Precinct 7322 - Election Day	11	46	874	65	0	0	8	57
Precinct 7322 - Vote By Mail	50	231	874	337	0	0	56	281
Precinct 7323 - Election Day	40	182	950	234	0	0	12	222
Precinct 7323 - Vote By Mail	66	370	950	455	0	0	19	436
Precinct 7324 - Election Day	22	159	755	190	0	0	9	181
Precinct 7324 - Vote By Mail	41	305	755	364	0	1	17	346
Precinct 7325 - Election Day	33	198	904	243	0	0	12	231
Precinct 7325 - Vote By Mail	44	370	904	436	0	0	22	414
Precinct 7326 - Election Day	15	175	876	200	0	0	10	190
Precinct 7326 - Vote By Mail	76	320	876	430	0	0	34	396
Precinct 7327 - Election Day	7	53	699	71	0	0	11	60
Precinct 7327 - Vote By Mail	61	181	699	276	0	0	34	242
Precinct 7328 - Election Day	17	63	973	94	0	0	14	80
Precinct 7328 - Vote By Mail	59	271	973	394	0	1	63	330
Precinct 7329 - Election Day	15	88	640	112	0	0	9	103
Precinct 7329 - Vote By Mail	72	227	640	321	0	0	22	299
Precinct 7331 - Election Day	58	150	852	213	0	0	5	208
Precinct 7331 - Vote By Mail	107	335	852	461	0	0	19	442
Precinct 7332 - Election Day	28	183	834	225	0	0	14	211
Precinct 7332 - Vote By Mail	52	293	834	364	0	1	18	345
Precinct 7333 - Election Day	32	253	1,044	298	0	0	13	285
Precinct 7333 - Vote By Mail	76	441	1,044	543	0	0	26	517
Precinct 7334 - Election Day	26	163	881	199	0	0	10	189
Precinct 7334 - Vote By Mail	54	387	881	462	0	0	21	441
Precinct 7335 - Election Day	28	191	970	225	0	0	6	219
Precinct 7335 - Vote By Mail	97	405	970	523	0	0	21	502
Precinct 7336 - Election Day	41	183	955	238	0	0	14	224
Precinct 7336 - Vote By Mail	102	406	955	523	0	0	15	508
