Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9207 - Vote By Mail	359	103	981	502	0	0	40	462
Precinct 9208 - Election Day	220	54	1,002	287	0	0	13	274
Precinct 9208 - Vote By Mail	374	81	1,002	491	0	0	36	455
Precinct 9209 - Election Day	179	52	711	245	0	0	14	231
Precinct 9209 - Vote By Mail	242	68	711	327	0	0	17	310
Precinct 9211 - Election Day	188	34	889	234	0	0	12	222
Precinct 9211 - Vote By Mail	334	72	889	432	0	0	26	406
Precinct 9212 - Election Day	185	38	803	234	0	0	11	223
Precinct 9212 - Vote By Mail	310	69	803	400	0	1	20	379
Precinct 9213 - Election Day	210	41	951	264	0	0	13	251
Precinct 9213 - Vote By Mail	407	78	951	508	0	1	22	485
Precinct 9214 - Election Day	123	34	640	166	0	0	9	157
Precinct 9214 - Vote By Mail	237	75	640	334	0	0	22	312
Precinct 9215 - Election Day	132	50	652	194	0	0	12	182
Precinct 9215 - Vote By Mail	245	56	652	327	0	0	26	301
Precinct 9216 - Election Day	199	41	845	246	0	0	6	240
Precinct 9216 - Vote By Mail	294	60	845	379	0	0	25	354
Precinct 9217 - Election Day	139	41	698	194	0	0	14	180
Precinct 9217 - Vote By Mail	254	72	698	349	0	0	23	326
Precinct 9218 - Election Day	192	47	841	249	0	0	10	239
Precinct 9218 - Vote By Mail	303	80	841	412	0	0	29	383
Precinct 9219 - Election Day	192	35	802	242	0	0	15	227
Precinct 9219 - Vote By Mail	332	51	802	399	0	0	16	383
Precinct 9221 - Election Day	109	30	651	145	0	0	6	139
Precinct 9221 - Vote By Mail	270	102	651	399	0	0	27	372
Precinct 9222 - Election Day	184	39	883	249	0	0	26	223
Precinct 9222 - Vote By Mail	333	96	883	449	0	0	20	429
Precinct 9223 - Election Day	118	34	638	160	0	0	8	152
Precinct 9223 - Vote By Mail	253	70	638	338	0	0	15	323
Precinct 9224 - Election Day	189	56	960	263	0	0	18	245
Precinct 9224 - Vote By Mail	377	102	960	506	0	0	27	479
Precinct 9225 - Election Day	230	57	958	299	0	0	12	287
Precinct 9225 - Vote By Mail	370	72	958	469	0	0	27	442
Precinct 9226 - Election Day	196	57	926	271	0	0	18	253
Precinct 9226 - Vote By Mail	380	78	926	486	0	0	28	458
Precinct 9227 - Election Day	137	37	738	188	0	0	14	174
Precinct 9227 - Vote By Mail	295	85	738	404	0	0	24	380
Precinct 9228 - Election Day	139	32	747	189	0	0	18	171
Precinct 9228 - Vote By Mail	312	90	747	424	0	0	22	402
Precinct 9229 - Election Day	125	29	598	162	0	0	8	154
Precinct 9229 - Vote By Mail	248	53	598	316	0	0	15	301
Precinct 9231 - Election Day	274	24	953	313	0	0	15	298
Precinct 9231 - Vote By Mail	402	51	953	488	0	0	35	453
Precinct 9232 - Election Day	163	32	735	212	0	0	17	195
Precinct 9232 - Vote By Mail	330	51	735	396	0	0	15	381
Precinct 9233 - Election Day	159	38	793	209	0	0	12	197
Precinct 9233 - Vote By Mail	318	89	793	434	0	0	27	407
Precinct 9234 - Election Day	147	29	746	187	0	0	11	176
Precinct 9234 - Vote By Mail	336	79	746	438	0	0	23	415
Precinct 9235 - Election Day	191	36	884	239	0	0	12	227
Precinct 9235 - Vote By Mail	356	109	884	488	0	0	23	465
Precinct 9236 - Election Day	153	38	683	201	0	0	10	191
Precinct 9236 - Vote By Mail	299	46	683	358	0	0	13	345
Precinct 9237 - Election Day	180	36	936	229	0	0	13	216
Precinct 9237 - Vote By Mail	431	79	936	539	0	0	29	510
Precinct 9238 - Election Day	176	38	842	230	0	0	16	214
Precinct 9238 - Vote By Mail	335	95	842	456	0	0	26	430
Precinct 9239 - Election Day	148	38	881	200	0	0	14	186
Precinct 9239 - Vote By Mail	380	91	881	499	0	0	28	471
Precinct 9241 - Election Day	199	38	1,005	255	0	0	18	237
Precinct 9241 - Vote By Mail	479	83	1,005	578	0	0	16	562
Precinct 9242 - Election Day	212	52	972	277	0	0	13	264
Precinct 9242 - Vote By Mail	428	68	972	513	0	0	17	496
Precinct 9243 - Election Day	153	31	594	193	0	0	9	184
Precinct 9243 - Vote By Mail	265	31	594	307	0	0	11	296
Precinct 9244 - Election Day	216	27	903	255	0	0	12	243
Precinct 9244 - Vote By Mail	414	44	903	485	0	0	27	458
Precinct 9245 - Election Day	173	28	742	209	0	1	7	201
Precinct 9245 - Vote By Mail	317	38	742	375	0	0	20	355
Precinct 9246 - Election Day	214	27	929	257	0	0	16	241
Precinct 9246 - Vote By Mail	425	76	929	528	0	0	27	501
Precinct 9247 - Election Day	209	42	927	264	0	0	13	251
Precinct 9247 - Vote By Mail	425	76	927	515	0	0	14	501
Precinct 9248 - Election Day	222	29	907	258	0	0	7	251
Precinct 9248 - Vote By Mail	413	48	907	487	0	0	26	461
Precinct 9249 - Election Day	229	31	917	271	0	0	11	260
Precinct 9249 - Vote By Mail	392	79	917	495	0	0	24	471
Precinct 9251 - Election Day	237	29	995	287	0	1	20	266
Precinct 9251 - Vote By Mail	436	71	995	530	0	0	23	507
Precinct 9252 - Election Day	178	30	944	219	0	0	11	208
Precinct 9252 - Vote By Mail	443	74	944	550	0	0	33	517
Precinct 9253 - Election Day	138	40	772	187	0	0	9	178
Precinct 9253 - Vote By Mail	309	68	772	397	0	0	20	377
Precinct 9254 - Election Day	202	23	935	230	0	0	5	225
Precinct 9254 - Vote By Mail	468	54	935	538	0	0	16	522
Precinct 9255 - Election Day	152	21	553	183	0	0	10	173
Precinct 9255 - Vote By Mail	230	22	553	263	0	0	11	252
Precinct 9256 - Election Day	119	7	474	130	0	0	4	126
Precinct 9256 - Vote By Mail	200	21	474	233	0	1	11	221
Precinct 9257 MB - Vote By Mail	215	14	321	235	0	0	6	229
Precinct 9258 - Election Day	171	15	712	193	0	0	7	186
Precinct 9258 - Vote By Mail	308	44	712	373	0	0	21	352
Precinct 9401 - Election Day	256	20	1,012	293	0	0	17	276
Precinct 9401 - Vote By Mail	406	49	1,012	484	0	0	29	455
Precinct 9402 - Election Day	238	26	977	290	0	0	26	264
Precinct 9402 - Vote By Mail	361	58	977	458	0	0	39	419
Precinct 9403 - Election Day	203	28	897	240	0	0	9	231
Precinct 9403 - Vote By Mail	314	75	897	419	0	0	30	389
Precinct 9404 - Election Day	158	23	930	200	0	0	19	181
Precinct 9404 - Vote By Mail	353	74	930	462	0	0	35	427
Precinct 9405 - Election Day	161	38	786	210	0	0	11	199
Precinct 9405 - Vote By Mail	283	55	786	364	0	0	26	338
Precinct 9406 - Election Day	186	40	868	244	0	0	18	226
Precinct 9406 - Vote By Mail	348	54	868	421	0	0	19	402
Precinct 9407 - Election Day	203	35	889	253	0	0	15	238
Precinct 9407 - Vote By Mail	335	52	889	409	0	0	22	387
Precinct 9408 - Election Day	222	28	886	265	0	0	15	250
Precinct 9408 - Vote By Mail	353	36	886	415	0	0	26	389
Precinct 9409 - Election Day	186	11	590	201	0	0	4	197
Precinct 9409 - Vote By Mail	211	25	590	252	0	0	16	236
Precinct 9411 - Election Day	240	18	956	271	0	0	13	258
Precinct 9411 - Vote By Mail	377	39	956	431	0	0	15	416
Precinct 9412 - Election Day	199	28	848	245	0	0	18	227
Precinct 9412 - Vote By Mail	288	57	848	380	0	0	35	345
Precinct 9413 - Election Day	185	28	894	229	0	0	16	213
Precinct 9413 - Vote By Mail	345	80	894	461	0	0	36	425
Precinct 9414 - Election Day	173	34	916	216	0	0	9	207
Precinct 9414 - Vote By Mail	367	66	916	463	0	0	30	433
Precinct 9415 - Election Day	136	37	784	187	0	0	14	173
Precinct 9415 - Vote By Mail	284	72	784	392	0	0	36	356
Precinct 9416 - Election Day	226	41	1,008	282	1	0	14	267
Precinct 9416 - Vote By Mail	390	54	1,008	480	1	0	35	444
Precinct 9417 - Election Day	133	28	752	175	0	0	14	161
Precinct 9417 - Vote By Mail	298	68	752	402	0	0	36	366
Precinct 9418 - Election Day	154	37	790	211	0	0	20	191
Precinct 9418 - Vote By Mail	242	95	790	376	0	0	39	337
Precinct 9419 - Election Day	150	50	924	222	0	0	22	200
Precinct 9419 - Vote By Mail	326	110	924	468	0	0	32	436
Precinct 9421 - Election Day	168	50	906	238	0	0	20	218
Precinct 9421 - Vote By Mail	296	94	906	446	0	0	56	390
Precinct 9422 - Election Day	207	51	1,056	283	0	0	25	258
Precinct 9422 - Vote By Mail	365	113	1,056	513	0	0	35	478
Precinct 9423 - Election Day	175	31	889	219	0	0	13	206
Precinct 9423 - Vote By Mail	356	59	889	440	0	0	25	415
Precinct 9424 - Election Day	173	33	952	224	0	0	18	206
Precinct 9424 - Vote By Mail	364	91	952	496	0	0	41	455
Precinct 9425 - Election Day	160	23	933	199	0	0	16	183
Precinct 9425 - Vote By Mail	317	100	933	465	0	0	48	417
Precinct 9426 - Election Day	151	26	823	198	0	1	20	177
Precinct 9426 - Vote By Mail	266	90	823	408	0	0	52	356
Precinct 9427 - Election Day	147	40	948	210	0	0	23	187
Precinct 9427 - Vote By Mail	294	104	948	447	0	0	49	398
Precinct 9428 - Election Day	139	31	961	183	0	0	13	170
Precinct 9428 - Vote By Mail	389	97	961	518	0	0	32	486
Precinct 9429 - Election Day	161	45	899	228	1	0	21	206
Precinct 9429 - Vote By Mail	319	83	899	432	0	0	30	402
Precinct 9431 - Election Day	189	32	973	235	0	0	14	221
Precinct 9431 - Vote By Mail	339	97	973	464	0	0	28	436
Precinct 9432 - Election Day	172	25	945	214	0	0	17	197
Precinct 9432 - Vote By Mail	352	74	945	468	0	0	42	426
Precinct 9433 - Election Day	141	40	945	195	0	0	14	181
Precinct 9433 - Vote By Mail	346	93	945	487	0	0	48	439
Precinct 9434 - Election Day	207	34	979	261	0	1	19	241
Precinct 9434 - Vote By Mail	355	83	979	481	1	1	41	438
Precinct 9435 - Election Day	190	45	969	251	0	0	16	235
Precinct 9435 - Vote By Mail	326	73	969	448	0	0	49	399
Precinct 9436 - Election Day	176	41	1,006	232	0	0	15	217
Precinct 9436 - Vote By Mail	342	103	1,006	495	0	0	50	445
Precinct 9437 - Election Day	169	32	897	219	0	0	18	201
Precinct 9437 - Vote By Mail	296	105	897	435	0	0	34	401
Precinct 9438 - Election Day	151	34	948	202	0	0	17	185
Precinct 9438 - Vote By Mail	356	107	948	496	0	0	33	463
Precinct 9439 - Election Day	131	37	879	173	0	0	5	168
Precinct 9439 - Vote By Mail	299	83	879	425	0	1	42	382
Precinct 9441 - Election Day	212	28	980	261	0	0	21	240
Precinct 9441 - Vote By Mail	340	80	980	462	0	0	42	420
Precinct 9442 - Election Day	225	42	1,008	280	0	0	13	267
Precinct 9442 - Vote By Mail	336	86	1,008	461	0	0	39	422
Precinct 9443 - Election Day	174	28	937	220	1	0	17	202
Precinct 9443 - Vote By Mail	342	70	937	442	0	1	29	412
Precinct 9444 - Election Day	142	36	937	190	1	0	11	178
Precinct 9444 - Vote By Mail	294	112	937	442	0	1	35	406
Precinct 9445 - Election Day	188	32	981	230	0	0	10	220
Precinct 9445 - Vote By Mail	361	90	981	493	0	0	42	451
Precinct 9446 - Election Day	202	28	1,090	240	0	0	10	230
Precinct 9446 - Vote By Mail	391	130	1,090	564	0	0	43	521
Precinct 9447 - Election Day	198	26	906	236	0	0	12	224
Precinct 9447 - Vote By Mail	335	81	906	448	0	0	32	416
Precinct 9448 - Election Day	184	32	909	232	0	0	16	216
Precinct 9448 - Vote By Mail	313	79	909	429	0	0	37	392
Precinct 9449 - Election Day	137	23	830	177	2	0	15	160
Precinct 9449 - Vote By Mail	312	78	830	428	0	0	38	390
Precinct 9451 - Election Day	72	16	420	97	0	0	9	88
Precinct 9451 - Vote By Mail	147	56	420	218	0	0	15	203
Precinct 9452 - Election Day	186	55	840	259	0	0	18	241
Precinct 9452 - Vote By Mail	285	97	840	412	0	0	30	382
Precinct 9453 - Election Day	84	37	500	135	0	0	14	121
Precinct 9453 - Vote By Mail	176	50	500	244	0	0	18	226
Precinct 9501 MB - Vote By Mail	88	17	148	110	0	0	5	105
Precinct 9502 MB - Vote By Mail	162	14	245	177	0	0	1	176
Precinct 9503/9504 - Election Day	179	12	729	198	0	0	7	191
Precinct 9503/9504 - Vote By Mail	276	24	729	315	0	0	15	300
Precinct 9505 - Election Day	150	13	784	177	0	0	14	163
Precinct 9505 - Vote By Mail	340	28	784	383	0	0	15	368
Precinct 9506 - Election Day	159	13	766	177	0	1	4	172
Precinct 9506 - Vote By Mail	279	19	766	313	0	0	15	298
Precinct 9507 - Election Day	221	5	766	231	0	0	5	226
Precinct 9507 - Vote By Mail	374	20	766	406	0	0	12	394
Precinct 9508 - Election Day	227	2	798	237	0	0	8	229
Precinct 9508 - Vote By Mail	414	7	798	429	0	0	8	421
Precinct 9509 - Election Day	215	11	759	230	0	0	4	226
Precinct 9509 - Vote By Mail	346	22	759	386	0	1	17	368
Precinct 9511 - Election Day	171	15	622	190	0	1	3	186
Precinct 9511 - Vote By Mail	259	24	622	296	0	0	13	283
Precinct 9512 - Election Day	217	14	809	240	0	0	9	231
Precinct 9512 - Vote By Mail	356	28	809	399	0	0	15	384
Precinct 9513 - Election Day	247	15	902	275	0	0	13	262
Precinct 9513 - Vote By Mail	356	24	902	390	0	0	10	380
Precinct 9514/9522 - Election Day	272	20	928	304	0	1	11	292
Precinct 9514/9522 - Vote By Mail	401	32	928	456	0	0	23	433
Precinct 9515 - Election Day	201	16	705	222	0	0	5	217
Precinct 9515 - Vote By Mail	307	44	705	368	0	0	17	351
Precinct 9516 - Election Day	211	34	866	254	0	0	9	245
Precinct 9516 - Vote By Mail	356	49	866	427	0	0	22	405
Precinct 9517 - Election Day	201	15	801	228	0	0	12	216
Precinct 9517 - Vote By Mail	357	24	801	397	0	0	16	381
Precinct 9518 - Election Day	215	6	802	229	0	0	8	221
Precinct 9518 - Vote By Mail	377	39	802	431	0	0	15	416
Precinct 9519 - Election Day	229	22	910	262	0	0	11	251
Precinct 9519 - Vote By Mail	445	30	910	486	0	0	11	475
Precinct 9521 - Election Day	280	21	939	316	0	0	15	301
Precinct 9521 - Vote By Mail	399	25	939	442	0	0	18	424
Precinct 9701 - Election Day	179	14	671	201	0	0	8	193
Precinct 9701 - Vote By Mail	265	50	671	340	0	0	25	315
Precinct 9702 - Election Day	193	13	723	210	0	0	4	206
Precinct 9702 - Vote By Mail	306	39	723	364	0	1	18	345
Precinct 9703 - Election Day	181	34	986	232	0	0	17	215
Precinct 9703 - Vote By Mail	418	80	986	530	0	0	32	498
Precinct 9704 - Election Day	241	30	950	279	0	0	8	271
Precinct 9704 - Vote By Mail	405	67	950	505	0	0	33	472
Precinct 9705 - Election Day	229	20	919	261	3	0	9	249
Precinct 9705 - Vote By Mail	424	38	919	483	0	0	21	462
Precinct 9706 MB - Vote By Mail	35	2	49	39	0	0	2	37
Precinct 9707 - Election Day	123	38	821	173	0	0	12	161
Precinct 9707 - Vote By Mail	373	89	821	491	0	0	29	462
Precinct 9708 - Election Day	215	27	948	250	0	0	8	242
Precinct 9708 - Vote By Mail	430	47	948	500	0	0	23	477
Precinct 9709 - Election Day	219	36	1,028	281	7	0	19	255
Precinct 9709 - Vote By Mail	400	77	1,028	517	0	0	40	477
Precinct 9711 - Election Day	150	34	641	195	0	0	11	184
Precinct 9711 - Vote By Mail	261	62	641	336	0	0	13	323
Precinct 9712 - Election Day	128	23	649	160	0	0	9	151
Precinct 9712 - Vote By Mail	321	64	649	398	1	0	12	385
Precinct 9713 - Election Day	173	37	960	225	1	0	14	210
Precinct 9713 - Vote By Mail	352	88	960	489	0	0	49	440
Precinct 9714 - Election Day	147	50	931	208	1	0	10	197
Precinct 9714 - Vote By Mail	403	104	931	538	0	0	31	507
Precinct 9715 - Election Day	142	26	569	180	0	0	12	168
Precinct 9715 - Vote By Mail	230	66	569	309	0	0	13	296
Precinct 9716 - Election Day	185	39	947	239	0	0	15	224
Precinct 9716 - Vote By Mail	360	84	947	481	0	0	37	444
Precinct 9717 - Election Day	206	39	972	265	0	0	20	245
Precinct 9717 - Vote By Mail	424	80	972	532	0	0	28	504
Precinct 9718 - Election Day	171	45	862	227	0	0	11	216
Precinct 9718 - Vote By Mail	368	100	862	496	0	0	28	468
Precinct 9719 - Election Day	189	40	901	245	0	0	16	229
Precinct 9719 - Vote By Mail	388	103	901	524	2	1	30	491
Precinct 9721 - Election Day	153	39	662	198	0	0	6	192
Precinct 9721 - Vote By Mail	266	68	662	357	0	0	23	334
Precinct 9722 - Election Day	83	26	605	119	1	0	9	109
Precinct 9722 - Vote By Mail	262	75	605	355	0	0	18	337
Precinct 9723 - Election Day	62	31	481	98	0	0	5	93
Precinct 9723 - Vote By Mail	185	67	481	275	0	0	23	252
Precinct 9724 - Election Day	146	48	991	205	0	0	11	194
Precinct 9724 - Vote By Mail	345	180	991	565	0	0	40	525
Precinct 9725 - Election Day	148	49	970	214	0	0	17	197
Precinct 9725 - Vote By Mail	324	136	970	499	0	0	39	460
Precinct 9726 - Election Day	223	32	655	263	0	0	8	255
Precinct 9726 - Vote By Mail	195	34	655	241	0	0	12	229
Precinct 9727 - Election Day	58	19	459	79	0	0	2	77
Precinct 9727 - Vote By Mail	172	80	459	271	0	0	19	252
Precinct 9728 - Election Day	154	58	926	231	0	0	19	212
Precinct 9728 - Vote By Mail	344	128	926	503	0	0	31	472
Precinct 9729 - Election Day	132	46	800	191	0	0	13	178
Precinct 9729 - Vote By Mail	327	93	800	442	0	0	22	420
Precinct 9731 - Election Day	117	39	556	167	0	1	10	156
Precinct 9731 - Vote By Mail	207	61	556	282	0	0	14	268
Precinct 9732 MB - Vote By Mail	49	7	70	56	0	0	0	56
Precinct 9733 MB - Vote By Mail	167	20	235	191	0	0	4	187
Precinct 9734 - Election Day	102	43	603	154	0	0	9	145
Precinct 9734 - Vote By Mail	246	72	603	341	0	0	23	318
Precinct 9735 - Election Day	150	46	809	206	0	0	10	196
Precinct 9735 - Vote By Mail	349	84	809	449	0	0	16	433
Precinct 9736 - Election Day	133	29	713	173	0	0	11	162
Precinct 9736 - Vote By Mail	346	47	713	410	0	0	17	393
Precinct 9737 - Election Day	173	29	818	208	0	0	6	202
Precinct 9737 - Vote By Mail	400	60	818	476	0	0	16	460
Precinct 9738 - Election Day	147	31	848	185	0	0	7	178
Precinct 9738 - Vote By Mail	319	65	848	404	0	0	20	384
Precinct 9739 - Election Day	197	13	828	220	0	0	10	210
Precinct 9739 - Vote By Mail	272	49	828	335	0	0	14	321
Precinct 9741 - Election Day	222	9	552	232	0	0	1	231
Precinct 9741 - Vote By Mail	100	3	552	105	0	0	2	103
Precinct 9742 - Election Day	124	43	677	180	4	0	9	167
Precinct 9742 - Vote By Mail	204	66	677	289	0	0	19	270
Precinct 9743 - Election Day	260	40	1,163	310	0	0	10	300
Precinct 9743 - Vote By Mail	421	59	1,163	501	0	0	21	480
Precinct 9744 - Election Day	198	37	911	247	1	0	11	235
Precinct 9744 - Vote By Mail	316	63	911	391	0	0	12	379
Precinct 9745 - Election Day	228	34	991	282	0	0	20	262
Precinct 9745 - Vote By Mail	296	43	991	346	0	0	7	339
Precinct 9746 - Election Day	164	55	884	232	0	0	13	219
Precinct 9746 - Vote By Mail	339	91	884	452	0	0	22	430
Precinct 9747 - Election Day	211	24	973	246	0	0	11	235
Precinct 9747 - Vote By Mail	369	76	973	470	0	0	25	445
Precinct 9748 - Election Day	183	33	931	229	0	0	13	216
Precinct 9748 - Vote By Mail	356	93	931	475	1	0	25	449
Precinct 9749 - Election Day	183	25	913	225	2	0	15	208
Precinct 9749 - Vote By Mail	297	57	913	384	0	0	30	354
Precinct 9751 - Election Day	204	39	1,016	253	0	0	10	243
Precinct 9751 - Vote By Mail	419	80	1,016	523	0	1	23	499
Precinct 9752 - Election Day	134	34	710	175	3	0	4	168
Precinct 9752 - Vote By Mail	314	67	710	392	0	0	11	381
Precinct 9753 - Election Day	161	18	756	186	0	0	7	179
Precinct 9753 - Vote By Mail	322	48	756	388	0	0	18	370
Precinct 9754 - Election Day	39	6	707	47	0	0	2	45
Precinct 9754 - Vote By Mail	322	39	707	377	0	1	15	361
Precinct 9755 - Election Day	148	18	582	172	0	0	6	166
Precinct 9755 - Vote By Mail	240	32	582	285	2	0	11	272
Precinct 9756 - Election Day	155	21	941	185	0	0	9	176
Precinct 9756 - Vote By Mail	359	86	941	477	0	0	32	445
Precinct 9801 - Election Day	83	18	408	104	0	0	3	101
Precinct 9801 - Vote By Mail	146	29	408	181	0	0	6	175
Congressional District 12	277,990	36,845	443,570	332,491	87	99	17,470	314,835
Congressional District 14	31,377	6,693	56,946	40,357	19	10	2,258	38,070
Assembly District 17	184,482	19,616	291,063	214,827	62	73	10,594	204,098
Assembly District 19	124,885	23,922	209,453	158,021	44	36	9,134	148,807
BART District 7	20,476	2,767	38,460	24,736	3	9	1,481	23,243
BART District 8	129,810	26,182	223,735	166,386	47	33	10,314	155,992
BART District 9	159,081	14,589	238,321	181,726	56	67	7,933	173,670
Supervisorial District 1	26,564	4,372	42,767	32,743	7	9	1,791	30,936
Supervisorial District 2	31,815	6,500	50,394	40,402	1	7	2,079	38,315
Supervisorial District 3	23,002	3,686	39,799	28,571	2	8	1,873	26,688
Supervisorial District 4	23,910	5,360	42,953	31,699	8	6	2,415	29,270
Supervisorial District 5	37,553	2,794	53,744	42,036	5	18	1,666	40,347
Supervisorial District 6	24,105	3,289	43,321	29,158	2	15	1,747	27,394
Supervisorial District 7	28,853	5,804	47,076	36,587	30	6	1,894	34,657
Supervisorial District 8	44,056	2,919	58,122	48,632	31	5	1,621	46,975
Supervisorial District 9	27,996	2,344	42,988	31,769	10	14	1,405	30,340
Supervisorial District 10	21,939	2,819	41,862	26,459	9	7	1,685	24,758
Supervisorial District 11	19,574	3,651	37,490	24,792	1	14	1,552	23,225
Bayview/Hunters Point	9,167	1,255	19,914	11,270	1	5	842	10,422
Chinatown	9,830	1,647	17,446	12,440	1	3	959	11,477
Civic Center/Downtown	15,596	2,222	28,644	19,045	1	12	1,214	17,818
Diamond Heights	5,071	527	7,002	5,802	3	2	199	5,598
Excelsior	14,442	2,828	27,634	18,420	1	13	1,136	17,270
Haight Ashbury	11,187	606	14,982	12,240	2	4	441	11,793
Ingleside	6,355	1,059	12,118	7,928	2	1	511	7,414
Inner Sunset	6,893	638	9,734	7,857	0	4	322	7,531
Lake Merced	4,604	1,023	8,390	5,918	1	0	290	5,627
Laurel Heights/Anza Vista	6,773	871	10,097	8,010	0	2	364	7,644
Marina Pacific Heights	25,495	5,243	40,622	32,395	5	6	1,646	30,738
Mission	21,141	1,273	31,129	23,295	3	8	870	22,414
Noe Valley	13,026	907	16,964	14,420	3	0	484	13,933
North Bernal Heights	6,668	351	8,795	7,263	2	1	241	7,019
North Embarcadero	4,179	744	7,019	5,232	0	2	307	4,923
Portola	4,631	1,009	9,293	6,104	2	2	460	5,640
Potrero Hill	11,539	983	16,814	13,081	3	3	553	12,522
Richmond	23,020	3,907	37,322	28,503	5	9	1,562	26,927
Sea Cliff/Presidio Heights	5,145	1,049	8,050	6,587	1	0	392	6,194
South of Bernal Heights	6,628	482	9,419	7,393	6	4	273	7,110
South of Market	14,076	2,000	24,674	17,045	2	5	962	16,076
Sunset	23,513	5,324	42,363	31,246	8	6	2,395	28,837
Upper Market/Eureka Valley	14,879	798	18,966	16,190	12	2	499	15,677
Visitation Valley	3,296	789	8,139	4,488	3	0	400	4,085
West of Twin Peaks	21,915	4,433	34,909	27,838	27	5	1,458	26,348
Western Addition	20,298	1,570	30,077	22,838	12	10	948	21,868
