Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7029 - Vote By Mail	217	26	901	251	0	0	8	243
Precinct 7030 - Election Day	87	23	759	119	0	0	9	110
Precinct 7030 - Vote By Mail	228	89	759	357	0	0	40	317
Precinct 7031 - Election Day	77	7	641	91	0	0	7	84
Precinct 7031 - Vote By Mail	239	50	641	309	0	0	20	289
Precinct 7032 - Election Day	133	17	904	173	1	0	22	150
Precinct 7032 - Vote By Mail	257	32	904	316	0	0	27	289
Precinct 7033 - Election Day	159	17	798	191	0	0	15	176
Precinct 7033 - Vote By Mail	216	16	798	247	0	0	15	232
Precinct 7034 - Election Day	155	15	958	197	0	0	27	170
Precinct 7034 - Vote By Mail	171	14	958	201	0	0	16	185
Precinct 7035 - Election Day	108	8	606	122	0	0	6	116
Precinct 7035 - Vote By Mail	225	28	606	262	0	0	9	253
Precinct 7036 - Election Day	99	9	921	117	0	0	9	108
Precinct 7036 - Vote By Mail	251	76	921	342	0	0	15	327
Precinct 7037 - Election Day	105	10	735	135	0	0	20	115
Precinct 7037 - Vote By Mail	70	17	735	98	0	0	11	87
Precinct 7038 - Election Day	107	12	911	135	0	0	16	119
Precinct 7038 - Vote By Mail	238	79	911	351	0	0	34	317
Precinct 7039 - Election Day	141	25	784	178	0	0	12	166
Precinct 7039 - Vote By Mail	218	69	784	306	0	0	19	287
Precinct 7041 MB - Vote By Mail	25	7	61	33	0	0	1	32
Precinct 7042 - Election Day	96	16	639	118	0	0	6	112
Precinct 7042 - Vote By Mail	206	37	639	258	0	0	15	243
Precinct 7043 - Election Day	154	11	957	176	0	0	11	165
Precinct 7043 - Vote By Mail	333	39	957	404	0	0	32	372
Precinct 7044 - Election Day	127	21	827	167	0	0	19	148
Precinct 7044 - Vote By Mail	152	29	827	193	0	0	12	181
Precinct 7045 - Election Day	85	20	779	120	0	0	15	105
Precinct 7045 - Vote By Mail	242	74	779	344	0	0	28	316
Precinct 7046 - Election Day	81	8	402	94	0	0	5	89
Precinct 7046 - Vote By Mail	123	38	402	175	0	0	14	161
Precinct 7047 - Election Day	103	9	823	119	0	0	7	112
Precinct 7047 - Vote By Mail	290	71	823	388	0	0	27	361
Precinct 7048 - Election Day	123	11	858	150	3	0	13	134
Precinct 7048 - Vote By Mail	242	49	858	318	0	0	27	291
Precinct 7049 - Election Day	118	35	792	173	0	0	20	153
Precinct 7049 - Vote By Mail	196	65	792	305	0	0	44	261
Precinct 7051 - Election Day	92	13	861	114	0	0	9	105
Precinct 7051 - Vote By Mail	253	79	861	380	0	0	48	332
Precinct 7052 - Election Day	128	20	852	161	0	0	13	148
Precinct 7052 - Vote By Mail	283	80	852	402	0	0	39	363
Precinct 7053 - Election Day	84	10	548	102	0	0	8	94
Precinct 7053 - Vote By Mail	208	56	548	278	0	0	14	264
Precinct 7054 - Election Day	194	11	1,073	215	0	0	10	205
Precinct 7054 - Vote By Mail	334	50	1,073	410	0	0	26	384
Precinct 7055 - Election Day	171	7	808	190	0	0	12	178
Precinct 7055 - Vote By Mail	359	56	808	440	0	0	25	415
Precinct 7101 MB - Vote By Mail	110	6	155	120	1	0	3	116
Precinct 7201 - Election Day	201	28	936	245	0	0	16	229
Precinct 7201 - Vote By Mail	410	84	936	518	0	0	24	494
Precinct 7202 - Election Day	191	31	850	227	0	0	5	222
Precinct 7202 - Vote By Mail	310	100	850	431	0	0	21	410
Precinct 7203 - Election Day	251	28	921	291	1	1	10	279
Precinct 7203 - Vote By Mail	356	52	921	423	0	0	15	408
Precinct 7204 - Election Day	186	36	918	233	0	0	11	222
Precinct 7204 - Vote By Mail	442	74	918	531	0	0	15	516
Precinct 7205 - Election Day	201	29	875	251	0	0	21	230
Precinct 7205 - Vote By Mail	375	90	875	485	0	0	20	465
Precinct 7206 - Election Day	119	11	378	135	0	0	5	130
Precinct 7206 - Vote By Mail	159	26	378	191	0	0	6	185
Precinct 7207 - Election Day	161	23	812	196	0	0	12	184
Precinct 7207 - Vote By Mail	366	45	812	434	0	0	23	411
Precinct 7208 - Election Day	96	8	600	111	0	0	7	104
Precinct 7208 - Vote By Mail	263	50	600	328	0	0	15	313
Precinct 7209 - Election Day	88	10	626	107	0	0	9	98
Precinct 7209 - Vote By Mail	340	63	626	423	0	0	20	403
Precinct 7301 - Election Day	169	40	1,016	228	0	0	19	209
Precinct 7301 - Vote By Mail	333	71	1,016	435	0	0	31	404
Precinct 7302 - Election Day	147	32	814	188	0	0	9	179
Precinct 7302 - Vote By Mail	359	61	814	458	0	1	37	420
Precinct 7303 - Election Day	229	33	1,042	281	0	0	19	262
Precinct 7303 - Vote By Mail	405	54	1,042	482	0	0	23	459
Precinct 7304 - Election Day	233	34	1,002	278	0	0	11	267
Precinct 7304 - Vote By Mail	397	73	1,002	493	0	0	23	470
Precinct 7305 - Election Day	191	36	871	240	0	0	13	227
