Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9431 - None	83	362	973	464	0	0	19	445
Precinct 9432 - None	22	176	945	214	0	0	16	198
Precinct 9432 - None	54	387	945	468	0	0	27	441
Precinct 9433 - None	34	148	945	195	0	0	13	182
Precinct 9433 - None	73	381	945	487	0	0	33	454
Precinct 9434 - None	30	213	979	261	0	0	18	243
Precinct 9434 - None	70	379	979	481	1	0	31	449
Precinct 9435 - None	36	202	969	251	0	0	13	238
Precinct 9435 - None	63	343	969	448	0	0	42	406
Precinct 9436 - None	40	182	1,006	232	0	0	10	222
Precinct 9436 - None	89	372	1,006	495	0	0	34	461
Precinct 9437 - None	22	179	897	219	0	0	18	201
Precinct 9437 - None	95	314	897	435	0	0	26	409
Precinct 9438 - None	29	156	948	202	0	0	17	185
Precinct 9438 - None	79	391	948	496	0	0	26	470
Precinct 9439 - None	26	141	879	173	0	0	6	167
Precinct 9439 - None	79	318	879	425	0	0	28	397
Precinct 9441 - None	32	214	980	261	0	0	15	246
Precinct 9441 - None	64	361	980	462	0	0	37	425
Precinct 9442 - None	42	225	1,008	280	0	0	13	267
Precinct 9442 - None	79	361	1,008	461	0	0	21	440
Precinct 9443 - None	26	183	937	220	1	0	10	209
Precinct 9443 - None	66	360	937	442	0	1	15	426
Precinct 9444 - None	33	147	937	190	1	0	9	180
Precinct 9444 - None	93	325	937	442	0	0	24	418
Precinct 9445 - None	39	183	981	230	0	0	8	222
Precinct 9445 - None	74	390	981	493	0	1	28	464
Precinct 9446 - None	30	195	1,090	240	0	0	15	225
Precinct 9446 - None	109	424	1,090	564	0	0	31	533
Precinct 9447 - None	30	196	906	236	0	0	10	226
Precinct 9447 - None	68	361	906	448	0	0	19	429
Precinct 9448 - None	29	191	909	232	0	0	12	220
Precinct 9448 - None	61	341	909	429	0	0	27	402
Precinct 9449 - None	24	140	830	177	2	0	11	164
Precinct 9449 - None	66	342	830	428	0	0	20	408
Precinct 9451 - None	20	72	420	97	0	0	5	92
Precinct 9451 - None	53	152	420	218	0	0	13	205
Precinct 9452 - None	54	189	840	259	0	0	16	243
Precinct 9452 - None	85	304	840	412	0	1	22	389
Precinct 9453 - None	35	89	500	135	0	0	11	124
Precinct 9453 - None	45	185	500	244	0	1	13	230
Precinct 9501 MB - None	15	88	148	110	0	0	7	103
Precinct 9502 MB - None	12	162	245	177	0	0	3	174
Precinct 9503/9504 - None	19	172	729	198	0	0	7	191
Precinct 9503/9504 - None	30	270	729	315	0	0	15	300
Precinct 9505 - None	11	162	784	177	0	0	4	173
Precinct 9505 - None	34	337	784	383	0	0	12	371
Precinct 9506 - None	12	157	766	177	0	0	8	169
Precinct 9506 - None	15	282	766	313	0	0	16	297
Precinct 9507 - None	7	216	766	231	0	0	8	223
Precinct 9507 - None	23	367	766	406	0	0	16	390
Precinct 9508 - None	8	220	798	237	0	0	9	228
Precinct 9508 - None	10	406	798	429	0	0	13	416
Precinct 9509 - None	16	206	759	230	0	0	8	222
Precinct 9509 - None	23	345	759	386	0	0	18	368
Precinct 9511 - None	15	169	622	190	0	0	6	184
Precinct 9511 - None	27	256	622	296	0	0	13	283
Precinct 9512 - None	14	214	809	240	0	0	12	228
Precinct 9512 - None	25	360	809	399	0	0	14	385
Precinct 9513 - None	17	246	902	275	0	0	12	263
Precinct 9513 - None	28	347	902	390	0	0	15	375
Precinct 9514/9522 - None	22	272	928	304	0	0	10	294
Precinct 9514/9522 - None	30	404	928	456	0	0	22	434
Precinct 9515 - None	20	198	705	222	0	0	4	218
Precinct 9515 - None	33	323	705	368	0	0	12	356
Precinct 9516 - None	37	206	866	254	0	0	11	243
Precinct 9516 - None	41	364	866	427	0	0	22	405
Precinct 9517 - None	12	201	801	228	0	0	15	213
Precinct 9517 - None	28	356	801	397	0	0	13	384
Precinct 9518 - None	11	208	802	229	0	0	10	219
Precinct 9518 - None	35	377	802	431	0	0	19	412
Precinct 9519 - None	22	229	910	262	0	0	11	251
Precinct 9519 - None	28	447	910	486	0	0	11	475
Precinct 9521 - None	15	284	939	316	0	0	17	299
Precinct 9521 - None	17	407	939	442	0	0	18	424
Precinct 9701 - None	15	180	671	201	0	0	6	195
Precinct 9701 - None	42	278	671	340	0	0	20	320
Precinct 9702 - None	15	187	723	210	0	0	8	202
Precinct 9702 - None	36	315	723	364	0	0	13	351
Precinct 9703 - None	34	187	986	232	0	0	11	221
Precinct 9703 - None	83	422	986	530	0	0	25	505
Precinct 9704 - None	26	245	950	279	0	0	8	271
Precinct 9704 - None	58	416	950	505	0	0	31	474
Precinct 9705 - None	22	226	919	261	3	0	10	248
Precinct 9705 - None	31	432	919	483	0	1	19	463
Precinct 9706 MB - None	2	35	49	39	0	0	2	37
Precinct 9707 - None	31	132	821	173	0	0	10	163
Precinct 9707 - None	75	391	821	491	0	0	25	466
Precinct 9708 - None	23	218	948	250	0	0	9	241
Precinct 9708 - None	46	441	948	500	0	0	13	487
Precinct 9709 - None	34	223	1,028	281	7	0	17	257
Precinct 9709 - None	72	420	1,028	517	0	0	25	492
Precinct 9711 - None	31	155	641	195	0	0	9	186
Precinct 9711 - None	48	283	641	336	0	1	4	331
Precinct 9712 - None	22	132	649	160	0	0	6	154
Precinct 9712 - None	64	325	649	398	1	0	8	389
Precinct 9713 - None	36	179	960	225	1	0	9	215
Precinct 9713 - None	88	372	960	489	0	0	29	460
Precinct 9714 - None	49	152	931	208	1	0	6	201
Precinct 9714 - None	96	426	931	538	0	0	16	522
Precinct 9715 - None	29	139	569	180	0	0	12	168
Precinct 9715 - None	63	234	569	309	0	0	12	297
Precinct 9716 - None	36	193	947	239	0	0	10	229
Precinct 9716 - None	74	389	947	481	0	0	18	463
Precinct 9717 - None	45	203	972	265	0	0	17	248
Precinct 9717 - None	78	439	972	532	0	0	15	517
Precinct 9718 - None	42	175	862	227	0	0	10	217
Precinct 9718 - None	98	372	862	496	0	0	26	470
Precinct 9719 - None	41	191	901	245	0	0	13	232
Precinct 9719 - None	98	404	901	524	2	0	20	502
Precinct 9721 - None	41	150	662	198	0	0	7	191
Precinct 9721 - None	61	275	662	357	0	0	21	336
Precinct 9722 - None	25	83	605	119	1	0	10	108
Precinct 9722 - None	72	272	605	355	0	0	11	344
Precinct 9723 - None	25	68	481	98	0	0	5	93
Precinct 9723 - None	62	202	481	275	0	0	11	264
Precinct 9724 - None	49	147	991	205	0	0	9	196
Precinct 9724 - None	141	404	991	565	0	0	20	545
Precinct 9725 - None	53	144	970	214	0	0	17	197
Precinct 9725 - None	115	360	970	499	0	0	24	475
Precinct 9726 - None	30	226	655	263	0	0	7	256
Precinct 9726 - None	25	203	655	241	0	0	13	228
Precinct 9727 - None	18	58	459	79	0	0	3	76
Precinct 9727 - None	72	185	459	271	0	0	14	257
Precinct 9728 - None	51	167	926	231	0	0	13	218
Precinct 9728 - None	120	360	926	503	0	0	23	480
Precinct 9729 - None	50	128	800	191	0	0	13	178
Precinct 9729 - None	101	319	800	442	0	0	22	420
Precinct 9731 - None	33	123	556	167	0	0	11	156
Precinct 9731 - None	67	201	556	282	0	0	14	268
Precinct 9732 MB - None	9	47	70	56	0	0	0	56
Precinct 9733 MB - None	20	168	235	191	0	0	3	188
Precinct 9734 - None	41	104	603	154	0	0	9	145
Precinct 9734 - None	69	262	603	341	0	1	9	331
Precinct 9735 - None	45	151	809	206	0	0	10	196
Precinct 9735 - None	82	351	809	449	0	0	16	433
Precinct 9736 - None	30	134	713	173	0	0	9	164
Precinct 9736 - None	50	347	713	410	0	0	13	397
Precinct 9737 - None	25	176	818	208	0	0	7	201
Precinct 9737 - None	51	411	818	476	0	0	14	462
Precinct 9738 - None	34	143	848	185	0	0	8	177
Precinct 9738 - None	66	314	848	404	0	1	23	380
Precinct 9739 - None	20	190	828	220	0	0	10	210
Precinct 9739 - None	47	272	828	335	0	0	16	319
Precinct 9741 - None	6	222	552	232	0	0	4	228
Precinct 9741 - None	7	96	552	105	0	0	2	103
Precinct 9742 - None	39	129	677	180	4	1	7	168
Precinct 9742 - None	60	216	677	289	0	0	13	276
Precinct 9743 - None	30	267	1,163	310	0	0	13	297
Precinct 9743 - None	60	424	1,163	501	0	0	17	484
Precinct 9744 - None	40	195	911	247	1	0	11	235
Precinct 9744 - None	67	306	911	391	0	0	18	373
Precinct 9745 - None	35	230	991	282	0	0	17	265
Precinct 9745 - None	39	298	991	346	0	0	9	337
Precinct 9746 - None	58	163	884	232	0	0	11	221
Precinct 9746 - None	90	344	884	452	0	0	18	434
Precinct 9747 - None	27	212	973	246	0	0	7	239
Precinct 9747 - None	64	389	973	470	0	0	17	453
Precinct 9748 - None	31	188	931	229	0	0	10	219
Precinct 9748 - None	80	376	931	475	1	0	18	456
Precinct 9749 - None	20	190	913	225	2	0	13	210
Precinct 9749 - None	47	319	913	384	0	0	18	366
Precinct 9751 - None	40	201	1,016	253	0	0	12	241
Precinct 9751 - None	74	422	1,016	523	0	1	26	496
Precinct 9752 - None	40	125	710	175	3	0	7	165
Precinct 9752 - None	67	317	710	392	0	0	8	384
Precinct 9753 - None	22	157	756	186	0	0	7	179
Precinct 9753 - None	49	322	756	388	0	0	17	371
Precinct 9754 - None	7	38	707	47	0	0	2	45
Precinct 9754 - None	38	327	707	377	0	0	12	365
Precinct 9755 - None	14	151	582	172	0	0	7	165
Precinct 9755 - None	31	240	582	285	2	0	12	271
Precinct 9756 - None	28	148	941	185	0	0	9	176
Precinct 9756 - None	81	378	941	477	0	0	18	459
Precinct 9801 - None	16	83	408	104	0	0	5	99
Precinct 9801 - None	22	153	408	181	0	0	6	175
Congressional District 12	36,880	279,280	443,570	332,491	87	75	16,169	316,160
Congressional District 14	6,141	32,279	56,946	40,357	19	10	1,908	38,420
Assembly District 17	20,131	184,373	291,063	214,827	62	55	10,206	204,504
Assembly District 19	22,890	127,186	209,453	158,021	44	30	7,871	150,076
BART District 7	2,789	20,585	38,460	24,736	3	9	1,350	23,374
BART District 8	25,152	132,354	223,735	166,386	47	31	8,802	157,506
BART District 9	15,080	158,620	238,321	181,726	56	45	7,925	173,700
Supervisorial District 1	4,025	27,231	42,767	32,743	7	7	1,473	31,256
Supervisorial District 2	7,221	30,980	50,394	40,402	1	5	2,195	38,201
Supervisorial District 3	3,794	23,074	39,799	28,571	2	2	1,699	26,868
Supervisorial District 4	4,674	25,192	42,953	31,699	8	8	1,817	29,866
Supervisorial District 5	2,979	37,280	53,744	42,036	5	8	1,764	40,259
Supervisorial District 6	3,436	23,952	43,321	29,158	2	15	1,753	27,388
Supervisorial District 7	5,535	29,496	47,076	36,587	30	7	1,519	35,031
Supervisorial District 8	3,155	43,720	58,122	48,632	31	3	1,723	46,875
Supervisorial District 9	2,350	28,006	42,988	31,769	10	14	1,389	30,356
Supervisorial District 10	2,661	22,343	41,862	26,459	9	6	1,440	25,004
Supervisorial District 11	3,191	20,285	37,490	24,792	1	10	1,305	23,476
Bayview/Hunters Point	1,099	9,466	19,914	11,270	1	4	700	10,565
Chinatown	1,676	9,953	17,446	12,440	1	1	809	11,629
Civic Center/Downtown	2,230	15,610	28,644	19,045	1	7	1,197	17,840
Diamond Heights	523	5,096	7,002	5,802	3	0	180	5,619
Excelsior	2,531	14,932	27,634	18,420	1	9	947	17,463
Haight Ashbury	688	11,078	14,982	12,240	2	2	470	11,766
Ingleside	874	6,624	12,118	7,928	2	1	427	7,498
Inner Sunset	596	6,933	9,734	7,857	0	0	328	7,529
Lake Merced	951	4,711	8,390	5,918	1	1	254	5,662
Laurel Heights/Anza Vista	889	6,771	10,097	8,010	0	0	350	7,660
Marina Pacific Heights	5,927	24,681	40,622	32,395	5	6	1,776	30,608
Mission	1,429	20,891	31,129	23,295	3	6	966	22,320
Noe Valley	1,002	12,853	16,964	14,420	3	1	561	13,855
North Bernal Heights	368	6,640	8,795	7,263	2	2	251	7,008
North Embarcadero	767	4,172	7,019	5,232	0	0	293	4,939
Portola	873	4,855	9,293	6,104	2	3	371	5,728
Potrero Hill	1,126	11,420	16,814	13,081	3	3	529	12,546
Richmond	3,567	23,636	37,322	28,503	5	7	1,288	27,203
Sea Cliff/Presidio Heights	1,095	5,136	8,050	6,587	1	0	355	6,231
South of Bernal Heights	496	6,610	9,419	7,393	6	4	277	7,106
South of Market	2,154	13,927	24,674	17,045	2	8	954	16,081
Sunset	4,642	24,791	42,363	31,246	8	8	1,797	29,433
Upper Market/Eureka Valley	889	14,772	18,966	16,190	12	1	516	15,661
Visitation Valley	680	3,472	8,139	4,488	3	0	333	4,152
West of Twin Peaks	4,256	22,398	34,909	27,838	27	6	1,151	26,654
Western Addition	1,693	20,131	30,077	22,838	12	5	997	21,824
