Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7343 - None	24	281	731	316	0	0	11	305
Precinct 7344 - None	34	243	1,110	291	0	0	14	277
Precinct 7344 - None	61	462	1,110	538	0	0	15	523
Precinct 7345 - None	41	277	1,141	329	1	0	10	318
Precinct 7345 - None	54	449	1,141	521	0	0	18	503
Precinct 7346 - None	20	214	920	250	0	0	16	234
Precinct 7346 - None	35	337	920	384	0	0	12	372
Precinct 7347 - None	20	209	1,040	241	0	0	12	229
Precinct 7347 - None	35	424	1,040	480	0	1	20	459
Precinct 7348 - None	28	176	861	210	0	0	6	204
Precinct 7348 - None	44	291	861	353	0	0	18	335
Precinct 7349 - None	34	208	957	248	0	0	6	242
Precinct 7349 - None	54	352	957	427	0	0	21	406
Precinct 7501 - None	20	146	565	172	0	0	6	166
Precinct 7501 - None	40	253	565	308	0	0	15	293
Precinct 7502 - None	21	146	784	180	1	0	12	167
Precinct 7502 - None	61	361	784	447	0	1	24	422
Precinct 7503 - None	24	168	764	208	0	0	16	192
Precinct 7503 - None	56	317	764	388	0	0	15	373
Precinct 7504 - None	17	90	503	112	0	0	5	107
Precinct 7504 - None	24	187	503	222	0	0	11	211
Precinct 7505 - None	15	126	869	158	0	0	17	141
Precinct 7505 - None	71	434	869	532	0	0	27	505
Precinct 7506 - None	18	199	999	226	0	0	9	217
Precinct 7506 - None	65	392	999	473	0	0	16	457
Precinct 7507 - None	22	170	955	211	0	1	18	192
Precinct 7507 - None	23	307	955	344	0	0	14	330
Precinct 7508 - None	20	123	727	154	0	0	11	143
Precinct 7508 - None	37	369	727	427	0	0	21	406
Precinct 7509/7511 - None	29	199	932	235	2	0	5	228
Precinct 7509/7511 - None	42	416	932	470	1	0	11	458
Precinct 7512 - None	41	99	612	150	0	0	10	140
Precinct 7512 - None	61	209	612	283	0	0	13	270
Precinct 7513 - None	17	187	818	225	0	1	20	204
Precinct 7513 - None	41	255	818	315	0	2	17	296
Precinct 7514 - None	9	118	874	140	0	0	13	127
