Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7525 - Election Day	117	48	800	205	0	0	40	165
Precinct 7525 - Vote By Mail	224	63	800	341	0	0	54	287
Precinct 7526 - Election Day	163	73	1,011	292	0	1	55	236
Precinct 7526 - Vote By Mail	386	96	1,011	552	0	0	70	482
Precinct 7527/7528 - Election Day	121	53	725	211	0	1	36	174
Precinct 7527/7528 - Vote By Mail	215	75	725	339	0	1	48	290
Precinct 7529 - Election Day	161	77	948	295	0	0	57	238
Precinct 7529 - Vote By Mail	327	89	948	486	0	0	70	416
Precinct 7531 - Election Day	150	49	865	228	0	0	29	199
Precinct 7531 - Vote By Mail	304	73	865	442	0	1	64	377
Precinct 7532 - Election Day	133	71	852	246	0	0	42	204
Precinct 7532 - Vote By Mail	272	72	852	398	0	1	53	344
Precinct 7533 - Election Day	222	94	1,015	357	0	0	41	316
Precinct 7533 - Vote By Mail	316	98	1,015	490	0	0	76	414
Precinct 7534 - Election Day	199	76	936	322	0	1	46	275
Precinct 7534 - Vote By Mail	261	96	936	415	0	0	58	357
Precinct 7535 - Election Day	155	55	767	262	0	0	52	210
Precinct 7535 - Vote By Mail	267	64	767	387	0	0	56	331
Precinct 7536 - Election Day	182	70	863	291	0	0	39	252
Precinct 7536 - Vote By Mail	287	79	863	421	0	0	55	366
Precinct 7537 - Election Day	148	50	752	240	0	0	42	198
Precinct 7537 - Vote By Mail	241	75	752	363	0	0	47	316
Precinct 7538 - Election Day	154	49	771	246	0	0	43	203
Precinct 7538 - Vote By Mail	284	58	771	400	0	0	58	342
Precinct 7539 - Election Day	181	88	922	330	0	0	61	269
Precinct 7539 - Vote By Mail	280	74	922	428	0	0	74	354
Precinct 7541 - Election Day	155	59	805	248	0	0	34	214
Precinct 7541 - Vote By Mail	263	66	805	400	0	0	71	329
Precinct 7542 - Election Day	172	60	821	272	0	0	40	232
Precinct 7542 - Vote By Mail	252	90	821	389	0	0	47	342
Precinct 7543 - Election Day	143	44	909	216	0	0	29	187
Precinct 7543 - Vote By Mail	334	89	909	467	0	0	44	423
Precinct 7544 - Election Day	160	55	898	258	0	0	43	215
Precinct 7544 - Vote By Mail	316	90	898	479	0	0	73	406
Precinct 7545 - Election Day	180	54	918	273	0	0	39	234
Precinct 7545 - Vote By Mail	321	94	918	480	0	0	65	415
Precinct 7546 - Election Day	186	62	982	304	0	0	56	248
Precinct 7546 - Vote By Mail	350	111	982	517	0	0	56	461
Precinct 7547 - Election Day	185	72	1,029	315	0	0	58	257
Precinct 7547 - Vote By Mail	318	112	1,029	505	0	0	75	430
Precinct 7548 - Election Day	188	82	1,073	319	1	1	47	270
Precinct 7548 - Vote By Mail	354	111	1,073	512	0	0	47	465
Precinct 7549 - Election Day	134	42	811	215	0	0	39	176
Precinct 7549 - Vote By Mail	312	69	811	431	0	1	49	381
