Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7024 - Election Day	50	12	414	70	0	0	8	62
Precinct 7024 - Vote By Mail	45	26	414	78	0	0	7	71
Precinct 7025 - Election Day	66	11	477	85	0	0	8	77
Precinct 7025 - Vote By Mail	95	25	477	128	0	0	8	120
Precinct 7026 - Election Day	104	24	1,011	149	0	0	21	128
Precinct 7026 - Vote By Mail	251	136	1,011	455	0	0	68	387
Precinct 7027 - Election Day	125	42	869	195	0	0	28	167
Precinct 7027 - Vote By Mail	249	68	869	353	0	0	36	317
Precinct 7028 - Election Day	165	35	850	213	0	0	13	200
Precinct 7028 - Vote By Mail	222	45	850	282	0	1	14	267
Precinct 7029 - Election Day	129	27	901	184	0	0	28	156
Precinct 7029 - Vote By Mail	190	49	901	251	0	0	12	239
Precinct 7030 - Election Day	73	34	759	119	0	0	12	107
Precinct 7030 - Vote By Mail	185	116	759	357	0	1	55	301
Precinct 7031 - Election Day	60	18	641	91	0	0	13	78
Precinct 7031 - Vote By Mail	194	84	641	309	0	0	31	278
Precinct 7032 - Election Day	110	38	904	173	1	1	23	148
Precinct 7032 - Vote By Mail	205	78	904	316	0	0	33	283
Precinct 7033 - Election Day	135	39	798	191	0	0	17	174
Precinct 7033 - Vote By Mail	178	45	798	247	0	0	24	223
Precinct 7034 - Election Day	137	29	958	197	0	0	31	166
Precinct 7034 - Vote By Mail	148	34	958	201	0	0	19	182
Precinct 7035 - Election Day	89	28	606	122	0	0	5	117
Precinct 7035 - Vote By Mail	170	74	606	262	0	0	18	244
Precinct 7036 - Election Day	86	23	921	117	0	0	8	109
Precinct 7036 - Vote By Mail	205	106	921	342	0	1	30	311
Precinct 7037 - Election Day	80	25	735	135	0	0	30	105
Precinct 7037 - Vote By Mail	61	24	735	98	0	0	13	85
Precinct 7038 - Election Day	94	23	911	135	0	0	18	117
Precinct 7038 - Vote By Mail	214	96	911	351	0	1	40	310
Precinct 7039 - Election Day	117	46	784	178	0	0	15	163
Precinct 7039 - Vote By Mail	193	84	784	306	0	0	29	277
Precinct 7041 MB - Vote By Mail	19	12	61	33	0	0	2	31
Precinct 7042 - Election Day	84	27	639	118	0	0	7	111
