Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9209 - Election Day	121	100	711	245	0	0	24	221
Precinct 9209 - Vote By Mail	148	143	711	327	0	0	36	291
Precinct 9211 - Election Day	139	67	889	234	0	0	28	206
Precinct 9211 - Vote By Mail	234	149	889	432	0	0	49	383
Precinct 9212 - Election Day	133	75	803	234	0	0	26	208
Precinct 9212 - Vote By Mail	222	139	803	400	0	0	39	361
Precinct 9213 - Election Day	149	87	951	264	0	0	28	236
Precinct 9213 - Vote By Mail	247	197	951	508	0	0	64	444
Precinct 9214 - Election Day	78	65	640	166	0	0	23	143
Precinct 9214 - Vote By Mail	161	133	640	334	0	0	40	294
Precinct 9215 - Election Day	89	81	652	194	0	0	24	170
Precinct 9215 - Vote By Mail	145	132	652	327	0	0	50	277
Precinct 9216 - Election Day	122	96	845	246	0	0	28	218
Precinct 9216 - Vote By Mail	183	149	845	379	0	0	47	332
Precinct 9217 - Election Day	98	74	698	194	0	0	22	172
Precinct 9217 - Vote By Mail	154	146	698	349	0	0	49	300
Precinct 9218 - Election Day	127	91	841	249	0	0	31	218
Precinct 9218 - Vote By Mail	212	144	841	412	0	0	56	356
Precinct 9219 - Election Day	143	78	802	242	0	0	21	221
Precinct 9219 - Vote By Mail	205	150	802	399	0	0	44	355
Precinct 9221 - Election Day	58	66	651	145	0	0	21	124
Precinct 9221 - Vote By Mail	150	197	651	399	0	0	52	347
Precinct 9222 - Election Day	110	103	883	249	0	0	36	213
Precinct 9222 - Vote By Mail	197	199	883	449	0	0	53	396
Precinct 9223 - Election Day	79	62	638	160	0	0	19	141
Precinct 9223 - Vote By Mail	157	142	638	338	0	0	39	299
Precinct 9224 - Election Day	112	115	960	263	0	0	36	227
Precinct 9224 - Vote By Mail	237	207	960	506	0	0	62	444
Precinct 9225 - Election Day	152	116	958	299	0	0	31	268
Precinct 9225 - Vote By Mail	235	175	958	469	0	0	59	410
Precinct 9226 - Election Day	132	100	926	271	0	0	39	232
Precinct 9226 - Vote By Mail	259	172	926	486	0	0	55	431
Precinct 9227 - Election Day	97	67	738	188	0	0	24	164
Precinct 9227 - Vote By Mail	191	176	738	404	0	0	37	367
Precinct 9228 - Election Day	94	76	747	189	0	0	19	170
Precinct 9228 - Vote By Mail	198	182	747	424	0	0	44	380
Precinct 9229 - Election Day	87	55	598	162	0	0	20	142
Precinct 9229 - Vote By Mail	140	148	598	316	0	1	27	288
Precinct 9231 - Election Day	197	92	953	313	0	0	24	289
Precinct 9231 - Vote By Mail	280	141	953	488	0	0	67	421
Precinct 9232 - Election Day	102	85	735	212	0	0	25	187
Precinct 9232 - Vote By Mail	196	162	735	396	0	1	37	358
Precinct 9233 - Election Day	99	81	793	209	0	1	28	180
Precinct 9233 - Vote By Mail	180	205	793	434	0	0	49	385
Precinct 9234 - Election Day	102	64	746	187	0	0	21	166
Precinct 9234 - Vote By Mail	224	173	746	438	0	0	41	397
Precinct 9235 - Election Day	120	104	884	239	0	0	15	224
Precinct 9235 - Vote By Mail	205	229	884	488	0	1	53	434
Precinct 9236 - Election Day	93	89	683	201	0	0	19	182
Precinct 9236 - Vote By Mail	172	141	683	358	0	0	45	313
Precinct 9237 - Election Day	118	82	936	229	0	0	29	200
Precinct 9237 - Vote By Mail	244	232	936	539	0	0	63	476
Precinct 9238 - Election Day	109	86	842	230	0	0	35	195
Precinct 9238 - Vote By Mail	199	211	842	456	0	0	46	410
Precinct 9239 - Election Day	103	74	881	200	0	0	23	177
Precinct 9239 - Vote By Mail	237	208	881	499	0	0	54	445
Precinct 9241 - Election Day	133	92	1,005	255	0	0	30	225
Precinct 9241 - Vote By Mail	294	231	1,005	578	0	0	53	525
Precinct 9242 - Election Day	155	93	972	277	0	0	29	248
Precinct 9242 - Vote By Mail	267	194	972	513	0	0	52	461
Precinct 9243 - Election Day	101	73	594	193	0	0	19	174
Precinct 9243 - Vote By Mail	173	106	594	307	0	0	28	279
Precinct 9244 - Election Day	147	79	903	255	0	0	29	226
Precinct 9244 - Vote By Mail	287	148	903	485	0	0	50	435
Precinct 9245 - Election Day	118	71	742	209	0	0	20	189
Precinct 9245 - Vote By Mail	227	112	742	375	0	0	36	339
Precinct 9246 - Election Day	152	79	929	257	0	0	26	231
Precinct 9246 - Vote By Mail	291	185	929	528	0	0	52	476
Precinct 9247 - Election Day	155	85	927	264	0	0	24	240
Precinct 9247 - Vote By Mail	292	179	927	515	0	1	43	471
Precinct 9248 - Election Day	151	84	907	258	0	0	23	235
Precinct 9248 - Vote By Mail	285	157	907	487	0	1	44	442
Precinct 9249 - Election Day	158	92	917	271	0	0	21	250
Precinct 9249 - Vote By Mail	279	173	917	495	0	0	43	452
Precinct 9251 - Election Day	166	93	995	287	0	0	28	259
Precinct 9251 - Vote By Mail	299	175	995	530	0	0	56	474
Precinct 9252 - Election Day	131	65	944	219	0	0	23	196
Precinct 9252 - Vote By Mail	301	192	944	550	0	0	57	493
Precinct 9253 - Election Day	103	62	772	187	0	0	22	165
Precinct 9253 - Vote By Mail	211	152	772	397	0	0	34	363
Precinct 9254 - Election Day	155	62	935	230	0	0	13	217
Precinct 9254 - Vote By Mail	319	180	935	538	0	0	39	499
Precinct 9255 - Election Day	113	49	553	183	0	0	21	162
Precinct 9255 - Vote By Mail	166	76	553	263	0	0	21	242
Precinct 9256 - Election Day	84	34	474	130	0	0	12	118
Precinct 9256 - Vote By Mail	139	75	474	233	0	0	19	214
Precinct 9257 MB - Vote By Mail	174	48	321	235	0	0	13	222
Precinct 9258 - Election Day	121	59	712	193	0	0	13	180
Precinct 9258 - Vote By Mail	211	126	712	373	0	0	36	337
Precinct 9401 - Election Day	205	60	1,012	293	0	0	28	265
Precinct 9401 - Vote By Mail	331	111	1,012	484	0	0	42	442
Precinct 9402 - Election Day	185	60	977	290	0	0	45	245
Precinct 9402 - Vote By Mail	285	116	977	458	0	1	56	401
Precinct 9403 - Election Day	170	51	897	240	0	0	19	221
Precinct 9403 - Vote By Mail	256	121	897	419	0	0	42	377
Precinct 9404 - Election Day	120	49	930	200	0	0	31	169
Precinct 9404 - Vote By Mail	271	138	930	462	0	0	53	409
Precinct 9405 - Election Day	115	75	786	210	0	0	20	190
Precinct 9405 - Vote By Mail	209	114	786	364	0	0	41	323
Precinct 9406 - Election Day	148	70	868	244	0	0	26	218
Precinct 9406 - Vote By Mail	263	121	868	421	0	1	36	384
Precinct 9407 - Election Day	159	71	889	253	0	0	23	230
Precinct 9407 - Vote By Mail	250	118	889	409	0	0	41	368
Precinct 9408 - Election Day	184	50	886	265	0	0	31	234
Precinct 9408 - Vote By Mail	287	94	886	415	0	0	34	381
Precinct 9409 - Election Day	156	32	590	201	0	0	13	188
Precinct 9409 - Vote By Mail	153	69	590	252	0	0	30	222
Precinct 9411 - Election Day	195	52	956	271	0	0	24	247
Precinct 9411 - Vote By Mail	291	106	956	431	0	0	34	397
Precinct 9412 - Election Day	169	54	848	245	0	0	22	223
Precinct 9412 - Vote By Mail	237	94	848	380	0	0	49	331
Precinct 9413 - Election Day	142	61	894	229	0	0	26	203
Precinct 9413 - Vote By Mail	262	128	894	461	0	0	71	390
Precinct 9414 - Election Day	129	70	916	216	0	0	17	199
Precinct 9414 - Vote By Mail	266	148	916	463	0	0	49	414
Precinct 9415 - Election Day	115	49	784	187	0	0	23	164
Precinct 9415 - Vote By Mail	217	129	784	392	0	0	46	346
Precinct 9416 - Election Day	177	70	1,008	282	1	0	34	247
Precinct 9416 - Vote By Mail	294	134	1,008	480	1	0	51	428
Precinct 9417 - Election Day	101	53	752	175	0	0	21	154
Precinct 9417 - Vote By Mail	214	136	752	402	0	0	52	350
Precinct 9418 - Election Day	135	48	790	211	0	0	28	183
Precinct 9418 - Vote By Mail	165	137	790	376	0	0	74	302
Precinct 9419 - Election Day	123	72	924	222	0	0	27	195
Precinct 9419 - Vote By Mail	228	172	924	468	0	0	68	400
Precinct 9421 - Election Day	137	72	906	238	0	0	29	209
Precinct 9421 - Vote By Mail	230	141	906	446	0	0	75	371
Precinct 9422 - Election Day	157	88	1,056	283	0	0	38	245
Precinct 9422 - Vote By Mail	292	157	1,056	513	0	0	64	449
Precinct 9423 - Election Day	138	58	889	219	0	0	23	196
Precinct 9423 - Vote By Mail	275	120	889	440	0	0	45	395
Precinct 9424 - Election Day	137	59	952	224	0	0	28	196
Precinct 9424 - Vote By Mail	280	157	952	496	0	0	59	437
Precinct 9425 - Election Day	133	44	933	199	0	0	22	177
Precinct 9425 - Vote By Mail	247	151	933	465	0	1	66	398
Precinct 9426 - Election Day	118	54	823	198	0	0	26	172
Precinct 9426 - Vote By Mail	188	150	823	408	0	1	69	338
Precinct 9427 - Election Day	111	65	948	210	0	0	34	176
Precinct 9427 - Vote By Mail	214	175	948	447	0	0	58	389
Precinct 9428 - Election Day	103	57	961	183	0	0	23	160
Precinct 9428 - Vote By Mail	291	172	961	518	0	0	55	463
Precinct 9429 - Election Day	123	76	899	228	1	0	28	199
Precinct 9429 - Vote By Mail	250	130	899	432	0	0	52	380
Precinct 9431 - Election Day	141	74	973	235	0	0	20	215
Precinct 9431 - Vote By Mail	258	154	973	464	0	0	52	412
Precinct 9432 - Election Day	119	71	945	214	0	0	24	190
Precinct 9432 - Vote By Mail	251	145	945	468	0	0	72	396
Precinct 9433 - Election Day	104	66	945	195	0	0	25	170
Precinct 9433 - Vote By Mail	273	128	945	487	0	0	86	401
Precinct 9434 - Election Day	156	74	979	261	0	0	31	230
Precinct 9434 - Vote By Mail	263	154	979	481	1	0	63	417
Precinct 9435 - Election Day	151	73	969	251	0	0	27	224
Precinct 9435 - Vote By Mail	246	128	969	448	0	0	74	374
Precinct 9436 - Election Day	131	71	1,006	232	0	0	30	202
Precinct 9436 - Vote By Mail	276	161	1,006	495	0	1	57	437
Precinct 9437 - Election Day	137	60	897	219	0	0	22	197
Precinct 9437 - Vote By Mail	231	147	897	435	0	0	57	378
Precinct 9438 - Election Day	118	48	948	202	0	0	36	166
Precinct 9438 - Vote By Mail	281	162	948	496	0	1	52	443
Precinct 9439 - Election Day	101	55	879	173	0	0	17	156
Precinct 9439 - Vote By Mail	229	119	879	425	0	1	76	348
Precinct 9441 - Election Day	180	58	980	261	0	0	23	238
Precinct 9441 - Vote By Mail	257	140	980	462	0	0	65	397
Precinct 9442 - Election Day	178	79	1,008	280	0	0	23	257
Precinct 9442 - Vote By Mail	263	137	1,008	461	0	0	61	400
Precinct 9443 - Election Day	126	65	937	220	1	0	28	191
Precinct 9443 - Vote By Mail	282	123	937	442	0	0	37	405
Precinct 9444 - Election Day	102	71	937	190	1	0	16	173
Precinct 9444 - Vote By Mail	223	158	937	442	0	0	61	381
Precinct 9445 - Election Day	147	63	981	230	0	0	20	210
Precinct 9445 - Vote By Mail	277	158	981	493	0	0	58	435
Precinct 9446 - Election Day	143	69	1,090	240	0	0	28	212
Precinct 9446 - Vote By Mail	305	195	1,090	564	0	0	64	500
Precinct 9447 - Election Day	140	71	906	236	0	0	25	211
Precinct 9447 - Vote By Mail	249	151	906	448	0	1	47	400
Precinct 9448 - Election Day	147	60	909	232	0	0	25	207
Precinct 9448 - Vote By Mail	253	117	909	429	0	0	59	370
Precinct 9449 - Election Day	110	43	830	177	2	0	22	153
Precinct 9449 - Vote By Mail	237	139	830	428	0	0	52	376
Precinct 9451 - Election Day	52	31	420	97	0	0	14	83
Precinct 9451 - Vote By Mail	112	79	420	218	0	0	27	191
Precinct 9452 - Election Day	129	104	840	259	0	0	26	233
Precinct 9452 - Vote By Mail	217	156	840	412	0	0	39	373
Precinct 9453 - Election Day	62	55	500	135	0	0	18	117
Precinct 9453 - Vote By Mail	113	106	500	244	0	0	25	219
Precinct 9501 MB - Vote By Mail	64	32	148	110	0	0	14	96
Precinct 9502 MB - Vote By Mail	128	40	245	177	0	0	9	168
Precinct 9503/9504 - Election Day	124	57	729	198	0	0	17	181
Precinct 9503/9504 - Vote By Mail	195	93	729	315	0	1	26	288
Precinct 9505 - Election Day	126	33	784	177	0	1	17	159
Precinct 9505 - Vote By Mail	271	86	784	383	0	0	26	357
Precinct 9506 - Election Day	125	37	766	177	0	0	15	162
Precinct 9506 - Vote By Mail	203	79	766	313	0	0	31	282
Precinct 9507 - Election Day	178	41	766	231	0	0	12	219
Precinct 9507 - Vote By Mail	286	93	766	406	0	0	27	379
Precinct 9508 - Election Day	168	46	798	237	0	0	23	214
Precinct 9508 - Vote By Mail	327	80	798	429	0	0	22	407
Precinct 9509 - Election Day	165	48	759	230	0	0	17	213
Precinct 9509 - Vote By Mail	260	98	759	386	0	1	27	358
Precinct 9511 - Election Day	143	37	622	190	0	1	9	180
Precinct 9511 - Vote By Mail	204	67	622	296	0	0	25	271
Precinct 9512 - Election Day	182	39	809	240	0	0	19	221
Precinct 9512 - Vote By Mail	274	89	809	399	0	0	36	363
Precinct 9513 - Election Day	204	53	902	275	0	0	18	257
Precinct 9513 - Vote By Mail	292	68	902	390	0	1	29	360
Precinct 9514/9522 - Election Day	215	63	928	304	0	0	26	278
Precinct 9514/9522 - Vote By Mail	297	119	928	456	0	1	39	416
Precinct 9515 - Election Day	170	40	705	222	0	0	12	210
Precinct 9515 - Vote By Mail	251	78	705	368	0	0	39	329
Precinct 9516 - Election Day	154	82	866	254	0	0	18	236
Precinct 9516 - Vote By Mail	269	113	866	427	0	0	45	382
Precinct 9517 - Election Day	153	48	801	228	0	0	27	201
Precinct 9517 - Vote By Mail	285	88	801	397	0	0	24	373
Precinct 9518 - Election Day	176	37	802	229	0	0	16	213
Precinct 9518 - Vote By Mail	299	94	802	431	0	0	38	393
Precinct 9519 - Election Day	191	56	910	262	0	0	15	247
Precinct 9519 - Vote By Mail	340	118	910	486	0	0	28	458
Precinct 9521 - Election Day	205	78	939	316	0	0	33	283
Precinct 9521 - Vote By Mail	290	121	939	442	0	0	31	411
Precinct 9701 - Election Day	128	62	671	201	0	0	11	190
Precinct 9701 - Vote By Mail	205	96	671	340	0	0	39	301
Precinct 9702 - Election Day	142	55	723	210	0	0	13	197
Precinct 9702 - Vote By Mail	215	108	723	364	0	0	41	323
Precinct 9703 - Election Day	121	84	986	232	0	0	27	205
Precinct 9703 - Vote By Mail	328	143	986	530	0	1	58	471
Precinct 9704 - Election Day	181	75	950	279	0	0	23	256
Precinct 9704 - Vote By Mail	278	179	950	505	0	0	48	457
Precinct 9705 - Election Day	158	75	919	261	3	0	25	233
Precinct 9705 - Vote By Mail	335	113	919	483	0	0	35	448
Precinct 9706 MB - Vote By Mail	28	7	49	39	0	0	4	35
Precinct 9707 - Election Day	83	70	821	173	0	0	20	153
Precinct 9707 - Vote By Mail	245	201	821	491	0	0	45	446
Precinct 9708 - Election Day	165	65	948	250	0	0	20	230
Precinct 9708 - Vote By Mail	325	131	948	500	0	0	44	456
Precinct 9709 - Election Day	154	88	1,028	281	7	0	32	242
Precinct 9709 - Vote By Mail	263	193	1,028	517	0	0	61	456
Precinct 9711 - Election Day	111	67	641	195	0	0	17	178
Precinct 9711 - Vote By Mail	183	120	641	336	0	0	33	303
Precinct 9712 - Election Day	86	62	649	160	0	0	12	148
Precinct 9712 - Vote By Mail	206	157	649	398	1	0	34	363
Precinct 9713 - Election Day	123	77	960	225	1	0	24	200
Precinct 9713 - Vote By Mail	257	165	960	489	0	0	67	422
Precinct 9714 - Election Day	107	82	931	208	1	0	18	189
Precinct 9714 - Vote By Mail	259	218	931	538	0	0	61	477
Precinct 9715 - Election Day	91	65	569	180	0	0	24	156
Precinct 9715 - Vote By Mail	133	142	569	309	0	0	34	275
Precinct 9716 - Election Day	142	69	947	239	0	0	28	211
Precinct 9716 - Vote By Mail	288	144	947	481	0	0	49	432
Precinct 9717 - Election Day	134	107	972	265	0	0	24	241
Precinct 9717 - Vote By Mail	301	190	972	532	0	0	41	491
Precinct 9718 - Election Day	123	83	862	227	0	0	21	206
Precinct 9718 - Vote By Mail	247	195	862	496	0	0	54	442
Precinct 9719 - Election Day	115	103	901	245	0	0	27	218
Precinct 9719 - Vote By Mail	260	213	901	524	2	0	49	473
Precinct 9721 - Election Day	93	90	662	198	0	0	15	183
Precinct 9721 - Vote By Mail	178	142	662	357	0	0	37	320
Precinct 9722 - Election Day	59	46	605	119	1	0	13	105
Precinct 9722 - Vote By Mail	179	141	605	355	0	0	35	320
Precinct 9723 - Election Day	56	30	481	98	0	0	12	86
Precinct 9723 - Vote By Mail	123	116	481	275	0	0	36	239
Precinct 9724 - Election Day	103	83	991	205	0	0	19	186
Precinct 9724 - Vote By Mail	232	255	991	565	0	0	78	487
Precinct 9725 - Election Day	106	81	970	214	0	0	27	187
Precinct 9725 - Vote By Mail	228	207	970	499	0	0	64	435
Precinct 9726 - Election Day	191	49	655	263	0	0	23	240
Precinct 9726 - Vote By Mail	151	69	655	241	0	0	21	220
Precinct 9727 - Election Day	41	34	459	79	0	0	4	75
Precinct 9727 - Vote By Mail	123	117	459	271	0	0	31	240
Precinct 9728 - Election Day	104	104	926	231	0	0	23	208
Precinct 9728 - Vote By Mail	220	232	926	503	0	0	51	452
Precinct 9729 - Election Day	72	91	800	191	0	0	28	163
Precinct 9729 - Vote By Mail	202	202	800	442	0	1	37	404
Precinct 9731 - Election Day	79	70	556	167	0	0	18	149
Precinct 9731 - Vote By Mail	137	115	556	282	0	0	30	252
Precinct 9732 MB - Vote By Mail	32	23	70	56	0	0	1	55
Precinct 9733 MB - Vote By Mail	118	61	235	191	0	0	12	179
Precinct 9734 - Election Day	58	80	603	154	0	0	16	138
Precinct 9734 - Vote By Mail	161	150	603	341	0	0	30	311
Precinct 9735 - Election Day	101	82	809	206	0	1	22	183
Precinct 9735 - Vote By Mail	220	191	809	449	0	0	38	411
Precinct 9736 - Election Day	95	67	713	173	0	0	11	162
Precinct 9736 - Vote By Mail	241	138	713	410	0	0	31	379
Precinct 9737 - Election Day	132	65	818	208	0	0	11	197
Precinct 9737 - Vote By Mail	290	144	818	476	0	0	42	434
Precinct 9738 - Election Day	110	54	848	185	0	0	21	164
Precinct 9738 - Vote By Mail	224	150	848	404	0	0	30	374
Precinct 9739 - Election Day	163	47	828	220	0	0	10	210
Precinct 9739 - Vote By Mail	236	76	828	335	0	0	23	312
Precinct 9741 - Election Day	189	29	552	232	0	0	14	218
Precinct 9741 - Vote By Mail	86	15	552	105	0	0	4	101
Precinct 9742 - Election Day	97	62	677	180	4	0	17	159
Precinct 9742 - Vote By Mail	136	121	677	289	0	0	32	257
Precinct 9743 - Election Day	218	70	1,163	310	0	0	22	288
Precinct 9743 - Vote By Mail	338	125	1,163	501	0	0	38	463
Precinct 9744 - Election Day	161	63	911	247	1	0	22	224
Precinct 9744 - Vote By Mail	270	96	911	391	0	0	25	366
Precinct 9745 - Election Day	200	61	991	282	0	0	21	261
Precinct 9745 - Vote By Mail	239	90	991	346	0	0	17	329
Precinct 9746 - Election Day	118	90	884	232	0	0	24	208
Precinct 9746 - Vote By Mail	233	176	884	452	0	0	43	409
Precinct 9747 - Election Day	175	60	973	246	0	0	11	235
Precinct 9747 - Vote By Mail	296	129	973	470	0	0	45	425
Precinct 9748 - Election Day	141	67	931	229	0	0	21	208
Precinct 9748 - Vote By Mail	262	169	931	475	1	0	43	431
Precinct 9749 - Election Day	143	50	913	225	2	0	30	193
Precinct 9749 - Vote By Mail	252	94	913	384	0	0	38	346
Precinct 9751 - Election Day	156	78	1,016	253	0	0	19	234
Precinct 9751 - Vote By Mail	312	167	1,016	523	0	0	44	479
Precinct 9752 - Election Day	100	60	710	175	3	0	12	160
Precinct 9752 - Vote By Mail	225	131	710	392	0	0	36	356
Precinct 9753 - Election Day	129	43	756	186	0	0	14	172
Precinct 9753 - Vote By Mail	257	97	756	388	0	1	33	354
Precinct 9754 - Election Day	28	15	707	47	0	0	4	43
Precinct 9754 - Vote By Mail	245	108	707	377	0	0	24	353
Precinct 9755 - Election Day	115	44	582	172	0	0	13	159
Precinct 9755 - Vote By Mail	188	79	582	285	2	0	16	267
Precinct 9756 - Election Day	124	47	941	185	0	1	13	171
Precinct 9756 - Vote By Mail	285	139	941	477	0	0	53	424
Precinct 9801 - Election Day	72	22	408	104	0	0	10	94
Precinct 9801 - Vote By Mail	125	42	408	181	0	0	14	167
Congressional District 12	210,937	90,229	443,570	332,491	87	145	31,093	301,166
Congressional District 14	24,362	12,135	56,946	40,357	19	12	3,829	36,497
Assembly District 17	142,404	53,419	291,063	214,827	62	112	18,830	195,823
Assembly District 19	92,895	48,945	209,453	158,021	44	45	16,092	141,840
BART District 7	15,643	6,626	38,460	24,736	3	12	2,452	22,269
BART District 8	95,706	52,840	223,735	166,386	47	51	17,742	148,546
BART District 9	123,950	42,898	238,321	181,726	56	94	14,728	166,848
Supervisorial District 1	20,160	9,461	42,767	32,743	7	9	3,106	29,621
Supervisorial District 2	21,150	14,962	50,394	40,402	1	13	4,276	36,112
Supervisorial District 3	16,819	8,537	39,799	28,571	2	13	3,200	25,356
Supervisorial District 4	18,401	9,477	42,953	31,699	8	8	3,805	27,878
Supervisorial District 5	28,844	9,828	53,744	42,036	5	25	3,334	38,672
Supervisorial District 6	18,301	7,924	43,321	29,158	2	17	2,914	26,225
Supervisorial District 7	20,987	12,212	47,076	36,587	30	6	3,352	33,199
Supervisorial District 8	33,598	11,535	58,122	48,632	31	22	3,446	45,133
Supervisorial District 9	23,122	6,169	42,988	31,769	10	15	2,453	29,291
Supervisorial District 10	17,514	6,305	41,862	26,459	9	14	2,617	23,819
Supervisorial District 11	16,403	5,954	37,490	24,792	1	15	2,419	22,357
Bayview/Hunters Point	7,635	2,449	19,914	11,270	1	8	1,177	10,084
Chinatown	7,098	3,804	17,446	12,440	1	6	1,531	10,902
Civic Center/Downtown	12,169	4,855	28,644	19,045	1	11	2,009	17,024
Diamond Heights	3,754	1,642	7,002	5,802	3	5	398	5,396
Excelsior	12,150	4,472	27,634	18,420	1	12	1,785	16,622
Haight Ashbury	8,512	2,824	14,982	12,240	2	5	897	11,336
Ingleside	5,254	1,876	12,118	7,928	2	4	792	7,130
Inner Sunset	5,224	1,959	9,734	7,857	0	1	673	7,183
Lake Merced	3,624	1,766	8,390	5,918	1	0	527	5,390
Laurel Heights/Anza Vista	4,941	2,383	10,097	8,010	0	2	684	7,324
Marina Pacific Heights	17,003	11,904	40,622	32,395	5	11	3,472	28,907
Mission	17,300	4,285	31,129	23,295	3	12	1,695	21,585
Noe Valley	9,741	3,571	16,964	14,420	3	4	1,101	13,312
North Bernal Heights	5,404	1,397	8,795	7,263	2	0	460	6,801
North Embarcadero	2,945	1,723	7,019	5,232	0	2	562	4,668
Portola	3,876	1,560	9,293	6,104	2	5	661	5,436
Potrero Hill	8,529	3,462	16,814	13,081	3	5	1,082	11,991
Richmond	17,549	8,215	37,322	28,503	5	8	2,726	25,764
Sea Cliff/Presidio Heights	3,390	2,507	8,050	6,587	1	4	685	5,897
South of Bernal Heights	5,264	1,567	9,419	7,393	6	3	553	6,831
South of Market	10,389	4,984	24,674	17,045	2	10	1,660	15,373
Sunset	18,092	9,376	42,363	31,246	8	8	3,762	27,468
Upper Market/Eureka Valley	11,417	3,709	18,966	16,190	12	8	1,044	15,126
Visitation Valley	2,768	1,133	8,139	4,488	3	2	582	3,901
West of Twin Peaks	15,560	9,690	34,909	27,838	27	5	2,556	25,250
Western Addition	15,711	5,251	30,077	22,838	12	16	1,848	20,962
