Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7312 - Election Day	33	18	15	38	31	11	821	203	0	1	56	146	0
Precinct 7312 - Vote By Mail	64	31	35	81	99	9	821	470	0	7	144	319	0
Precinct 7313 - Election Day	35	13	19	55	31	9	968	225	1	1	60	163	1
Precinct 7313 - Vote By Mail	77	36	41	124	79	9	968	485	0	1	117	367	1
Precinct 7314 - Election Day	17	14	3	31	13	8	787	125	0	3	36	86	0
Precinct 7314 - Vote By Mail	44	24	14	80	26	2	787	271	0	2	79	190	0
Precinct 7315 - Election Day	19	14	16	64	24	12	760	220	0	2	69	149	0
Precinct 7315 - Vote By Mail	33	28	25	70	40	11	760	282	0	0	75	207	0
Precinct 7316 - Election Day	21	21	11	49	26	7	853	205	0	0	70	135	0
Precinct 7316 - Vote By Mail	57	33	26	95	42	16	853	367	0	3	95	269	0
Precinct 7317 - Election Day	20	24	18	48	23	7	904	189	0	1	47	141	1
Precinct 7317 - Vote By Mail	66	35	45	112	83	9	904	454	0	7	96	351	1
Precinct 7318 - Election Day	31	17	11	40	15	4	727	179	0	1	60	118	0
Precinct 7318 - Vote By Mail	65	39	27	103	52	3	727	390	0	3	98	289	0
Precinct 7321 - Election Day	25	13	7	31	14	7	671	149	0	0	51	98	1
Precinct 7321 - Vote By Mail	66	12	19	85	30	8	671	286	0	0	66	220	0
Precinct 7322 - Election Day	11	4	0	19	3	1	874	65	0	4	23	38	0
Precinct 7322 - Vote By Mail	70	23	14	105	35	10	874	337	0	2	77	258	1
Precinct 7325 - Election Day	34	30	15	58	29	6	904	243	0	1	70	172	0
Precinct 7325 - Vote By Mail	56	25	43	109	78	5	904	436	0	2	114	320	4
Precinct 7326 - Election Day	40	12	15	49	26	9	876	200	0	1	48	151	0
Precinct 7326 - Vote By Mail	78	28	39	107	66	16	876	430	0	2	94	334	0
Precinct 7327 - Election Day	16	5	2	20	7	3	699	71	0	2	16	53	0
Precinct 7327 - Vote By Mail	72	24	9	86	31	3	699	276	0	5	46	225	0
Precinct 7328 - Election Day	16	9	6	17	8	4	973	94	0	0	33	61	1
Precinct 7328 - Vote By Mail	76	37	30	127	39	18	973	394	0	3	64	327	0
Precinct 7329 - Election Day	16	15	5	19	12	9	640	112	0	1	35	76	0
Precinct 7329 - Vote By Mail	64	27	27	82	41	4	640	321	0	5	70	246	1
Precinct 7331 - Election Day	36	19	15	28	43	6	852	213	0	4	60	149	2
Precinct 7331 - Vote By Mail	70	54	62	86	70	10	852	461	0	2	107	352	0
Precinct 7338 - Election Day	30	16	7	43	17	10	915	153	0	5	25	123	0
Precinct 7338 - Vote By Mail	98	37	21	108	63	10	915	426	0	4	85	337	0
Precinct 7706 - Election Day	30	33	28	46	52	9	840	252	0	0	54	198	0
Precinct 7706 - Vote By Mail	72	51	57	90	74	14	840	467	0	7	102	358	0
Precinct 7707 - Election Day	43	24	30	44	45	10	857	241	1	4	40	196	0
Precinct 7707 - Vote By Mail	55	41	59	114	102	5	857	495	0	5	114	376	0
Precinct 7708 - Election Day	20	23	16	49	39	11	871	205	0	0	47	158	0
Precinct 7708 - Vote By Mail	85	54	52	118	100	18	871	540	0	4	109	427	0
Precinct 7709 - Election Day	6	10	10	39	12	4	391	102	0	1	20	81	0
Precinct 7709 - Vote By Mail	23	15	31	64	40	7	391	222	0	0	42	180	0
Precinct 9001 MB - Vote By Mail	21	16	25	27	23	9	273	142	0	2	19	121	0
Precinct 9101 - Election Day	29	29	37	78	22	10	888	260	0	1	53	206	1
Precinct 9101 - Vote By Mail	58	69	42	110	52	7	888	438	0	8	90	340	2
Precinct 9102 - Election Day	28	36	33	55	27	13	985	257	0	5	60	192	0
Precinct 9102 - Vote By Mail	57	71	61	120	51	20	985	471	0	3	87	381	1
Precinct 9103 - Election Day	40	33	15	77	30	12	954	273	0	2	62	209	2
Precinct 9103 - Vote By Mail	59	56	34	105	61	17	954	431	0	3	96	332	0
Precinct 9104 - Election Day	28	28	25	66	26	5	988	239	0	0	61	178	0
Precinct 9104 - Vote By Mail	69	52	53	114	61	14	988	465	0	5	95	365	2
Precinct 9105 - Election Day	25	30	30	61	24	7	919	247	0	3	65	179	2
Precinct 9105 - Vote By Mail	63	52	59	114	65	14	919	488	0	7	111	370	3
Precinct 9106 - Election Day	31	33	30	69	40	6	937	268	1	5	53	209	0
Precinct 9106 - Vote By Mail	60	51	65	115	76	14	937	497	0	4	112	381	0
Precinct 9107 - Election Day	27	36	21	69	21	2	849	219	0	2	39	178	2
Precinct 9107 - Vote By Mail	36	48	29	121	49	13	849	372	0	3	71	298	2
Precinct 9108 - Election Day	23	26	25	83	27	14	790	247	0	3	46	198	0
Precinct 9108 - Vote By Mail	42	40	43	112	48	4	790	373	1	3	80	289	0
Precinct 9109 - Election Day	28	24	32	72	30	5	884	263	0	3	68	192	1
Precinct 9109 - Vote By Mail	55	40	54	110	72	10	884	428	0	4	83	341	0
Precinct 9111 - Election Day	29	22	24	68	22	7	779	229	0	2	54	173	1
Precinct 9111 - Vote By Mail	31	34	30	101	55	14	779	346	0	1	79	266	1
Precinct 9112 - Election Day	30	32	26	86	35	8	976	284	0	2	63	219	2
Precinct 9112 - Vote By Mail	42	43	49	127	74	9	976	467	0	4	119	344	0
Precinct 9113 - Election Day	38	26	22	84	48	4	999	311	0	3	86	222	0
Precinct 9113 - Vote By Mail	64	48	55	136	71	11	999	505	0	5	113	387	2
Precinct 9114 - Election Day	34	15	26	80	34	13	877	263	0	1	60	202	0
Precinct 9114 - Vote By Mail	51	33	48	135	55	7	877	405	0	6	70	329	0
Precinct 9115 - Election Day	37	23	17	91	26	12	911	258	0	3	48	207	1
Precinct 9115 - Vote By Mail	55	30	37	137	54	12	911	429	0	0	104	325	0
Precinct 9116 - Election Day	27	25	22	102	32	15	944	281	1	2	54	224	1
Precinct 9116 - Vote By Mail	64	45	43	142	69	8	944	473	0	3	98	372	1
Precinct 9117 - Election Day	26	30	21	52	35	7	783	222	0	5	46	171	0
Precinct 9117 - Vote By Mail	65	40	38	99	59	7	783	398	0	7	82	309	1
Precinct 9118 - Election Day	34	37	30	81	24	11	974	286	0	1	68	217	0
Precinct 9118 - Vote By Mail	52	44	37	111	58	13	974	426	0	8	101	317	2
Precinct 9119 - Election Day	29	24	26	50	21	9	891	237	0	2	74	161	2
Precinct 9119 - Vote By Mail	68	56	39	124	46	12	891	447	0	4	97	346	1
Precinct 9121 - Election Day	36	30	22	62	29	16	930	256	0	3	58	195	0
Precinct 9121 - Vote By Mail	61	46	42	135	45	9	930	434	0	4	90	340	2
Precinct 9122 - Election Day	26	17	12	49	23	13	953	210	0	2	68	140	0
Precinct 9122 - Vote By Mail	82	54	36	125	51	6	953	454	0	2	98	354	0
