Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9213 - None	196	43	951	264	0	0	25	239
Precinct 9213 - None	399	77	951	508	0	0	32	476
Precinct 9214 - None	118	38	640	166	0	0	10	156
Precinct 9214 - None	242	77	640	334	0	0	15	319
Precinct 9215 - None	123	52	652	194	0	0	19	175
Precinct 9215 - None	243	62	652	327	0	0	22	305
Precinct 9216 - None	181	46	845	246	0	0	19	227
Precinct 9216 - None	269	75	845	379	0	0	35	344
Precinct 9217 - None	131	41	698	194	0	0	22	172
Precinct 9217 - None	248	73	698	349	0	0	28	321
Precinct 9218 - None	170	55	841	249	0	0	24	225
Precinct 9218 - None	289	91	841	412	0	0	32	380
Precinct 9219 - None	189	41	802	242	0	0	12	230
Precinct 9219 - None	319	56	802	399	0	0	24	375
Precinct 9221 - None	101	31	651	145	0	0	13	132
Precinct 9221 - None	271	110	651	399	0	0	18	381
Precinct 9222 - None	180	36	883	249	0	0	33	216
Precinct 9222 - None	319	107	883	449	0	0	23	426
Precinct 9223 - None	112	35	638	160	0	0	13	147
Precinct 9223 - None	238	75	638	338	0	0	25	313
Precinct 9224 - None	177	66	960	263	0	0	20	243
Precinct 9224 - None	366	101	960	506	0	0	39	467
Precinct 9225 - None	210	60	958	299	0	0	29	270
Precinct 9225 - None	360	76	958	469	0	0	33	436
Precinct 9226 - None	188	56	926	271	0	0	27	244
Precinct 9226 - None	370	88	926	486	0	0	28	458
Precinct 9227 - None	136	41	738	188	0	0	11	177
Precinct 9227 - None	299	87	738	404	0	0	18	386
Precinct 9228 - None	142	30	747	189	0	0	17	172
Precinct 9228 - None	314	90	747	424	0	0	20	404
Precinct 9229 - None	127	24	598	162	0	0	11	151
Precinct 9229 - None	245	58	598	316	0	0	13	303
Precinct 9231 - None	283	18	953	313	0	0	12	301
Precinct 9231 - None	404	54	953	488	0	0	30	458
Precinct 9232 - None	155	37	735	212	0	0	20	192
Precinct 9232 - None	316	64	735	396	0	0	16	380
Precinct 9233 - None	150	36	793	209	0	0	23	186
Precinct 9233 - None	313	92	793	434	0	0	29	405
Precinct 9234 - None	145	25	746	187	0	0	17	170
