Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9248 - None	193	907	258	1	1	63	0	193	0
Precinct 9248 - None	353	907	487	5	0	125	0	357	4
Precinct 9249 - None	201	917	271	0	0	67	0	204	3
Precinct 9249 - None	381	917	495	12	0	98	0	385	4
Precinct 9251 - None	196	995	287	-1	0	89	0	199	3
Precinct 9251 - None	400	995	530	13	0	116	0	401	1
Precinct 9252 - None	163	944	219	0	0	56	0	163	0
Precinct 9252 - None	405	944	550	9	0	132	0	409	4
Precinct 9253 - None	140	772	187	1	1	42	0	143	3
Precinct 9253 - None	309	772	397	0	0	86	0	311	2
Precinct 9254 - None	179	935	230	0	0	48	0	182	3
Precinct 9254 - None	417	935	538	2	0	116	0	420	3
Precinct 9255 - None	143	553	183	1	0	38	0	144	1
Precinct 9255 - None	194	553	263	6	0	61	0	196	2
Precinct 9256 - None	109	474	130	0	0	20	0	110	1
Precinct 9256 - None	185	474	233	0	0	45	0	188	3
Precinct 9257 MB - None	188	321	235	4	0	37	0	194	6
Precinct 9258 - None	148	712	193	0	0	43	0	150	2
Precinct 9258 - None	287	712	373	3	0	77	0	293	6
Precinct 9401 - None	220	1,012	293	-1	0	69	0	225	5
Precinct 9401 - None	395	1,012	484	2	0	76	0	406	11
Precinct 9402 - None	210	977	290	0	0	77	0	213	3
Precinct 9402 - None	354	977	458	3	1	92	0	362	8
Precinct 9403 - None	181	897	240	2	0	53	0	185	4
Precinct 9403 - None	329	897	419	4	0	83	0	332	3
Precinct 9404 - None	148	930	200	0	0	48	0	152	4
Precinct 9404 - None	345	930	462	4	0	108	0	350	5
Precinct 9405 - None	151	786	210	8	0	42	0	160	9
Precinct 9405 - None	273	786	364	6	0	79	0	279	6
Precinct 9406 - None	185	868	244	-1	0	56	0	189	4
Precinct 9406 - None	334	868	421	10	0	72	0	339	5
Precinct 9407 - None	185	889	253	0	0	66	0	187	2
Precinct 9407 - None	296	889	409	1	0	103	0	305	9
Precinct 9408 - None	199	886	265	1	0	62	0	202	3
Precinct 9408 - None	323	886	415	7	0	78	0	330	7
Precinct 9409 - None	166	590	201	-1	0	34	0	168	2
Precinct 9409 - None	179	590	252	4	0	63	0	185	6
Precinct 9411 - None	199	956	271	2	0	68	0	201	2
Precinct 9411 - None	345	956	431	12	1	64	0	354	9
Precinct 9412 - None	180	848	245	0	0	58	0	187	7
Precinct 9412 - None	277	848	380	1	0	97	0	282	5
Precinct 9413 - None	168	894	229	-8	0	66	0	171	3
Precinct 9413 - None	331	894	461	5	0	118	0	338	7
Precinct 9414 - None	159	916	216	0	0	57	0	159	0
Precinct 9414 - None	346	916	463	4	0	106	0	353	7
Precinct 9415 - None	135	784	187	2	0	48	0	137	2
Precinct 9415 - None	288	784	392	7	0	90	0	295	7
Precinct 9416 - None	200	1,008	282	12	0	67	0	203	3
Precinct 9416 - None	358	1,008	480	1	0	116	0	363	5
Precinct 9417 - None	134	752	175	-1	0	39	0	137	3
Precinct 9417 - None	289	752	402	4	0	90	0	308	19
Precinct 9418 - None	164	790	211	0	0	46	0	165	1
Precinct 9418 - None	268	790	376	10	0	90	0	276	8
Precinct 9419 - None	157	924	222	2	0	63	0	157	0
Precinct 9419 - None	339	924	468	7	0	114	0	347	8
Precinct 9421 - None	167	906	238	1	0	68	0	169	2
Precinct 9421 - None	316	906	446	-6	1	130	0	321	5
Precinct 9422 - None	207	1,056	283	2	0	70	0	211	4
Precinct 9422 - None	389	1,056	513	8	0	108	0	397	8
Precinct 9423 - None	153	889	219	1	0	63	0	155	2
Precinct 9423 - None	342	889	440	2	0	85	0	353	11
Precinct 9424 - None	174	952	224	1	0	43	0	180	6
Precinct 9424 - None	389	952	496	6	0	94	0	396	7
Precinct 9425 - None	134	933	199	0	0	62	0	137	3
Precinct 9425 - None	342	933	465	-1	0	116	0	350	8
Precinct 9426 - None	133	823	198	0	0	63	0	135	2
Precinct 9426 - None	279	823	408	11	0	109	0	288	9
Precinct 9427 - None	147	948	210	5	0	52	0	153	6
Precinct 9427 - None	311	948	447	9	0	115	0	323	12
Precinct 9428 - None	113	961	183	2	0	61	0	120	7
Precinct 9428 - None	382	961	518	4	0	123	0	391	9
Precinct 9429 - None	157	899	228	3	0	65	0	160	3
Precinct 9429 - None	326	899	432	6	0	98	0	328	2
Precinct 9431 - None	174	973	235	22	0	37	0	176	2
Precinct 9431 - None	352	973	464	0	0	101	0	363	11
Precinct 9432 - None	155	945	214	2	0	54	0	158	3
Precinct 9432 - None	347	945	468	9	0	104	0	355	8
Precinct 9433 - None	130	945	195	-1	0	60	0	136	6
Precinct 9433 - None	362	945	487	8	0	115	0	364	2
Precinct 9434 - None	183	979	261	1	0	73	0	187	4
Precinct 9434 - None	342	979	481	5	0	129	0	347	5
Precinct 9435 - None	194	969	251	0	0	56	0	195	1
Precinct 9435 - None	313	969	448	6	0	118	0	324	11
Precinct 9436 - None	161	1,006	232	0	0	67	0	165	4
Precinct 9436 - None	358	1,006	495	4	0	124	0	367	9
Precinct 9437 - None	165	897	219	-2	0	50	0	171	6
Precinct 9437 - None	309	897	435	4	0	112	0	319	10
Precinct 9438 - None	146	948	202	1	0	52	0	149	3
Precinct 9438 - None	386	948	496	1	0	101	0	394	8
Precinct 9439 - None	124	879	173	0	0	45	0	128	4
Precinct 9439 - None	331	879	425	2	0	84	0	339	8
Precinct 9441 - None	205	980	261	0	0	54	0	207	2
Precinct 9441 - None	342	980	462	2	1	105	0	354	12
Precinct 9442 - None	213	1,008	280	5	0	58	0	217	4
Precinct 9442 - None	335	1,008	461	3	0	118	0	340	5
Precinct 9443 - None	167	937	220	-2	0	52	0	170	3
Precinct 9443 - None	360	937	442	0	0	72	0	370	10
Precinct 9444 - None	131	937	190	3	0	55	0	132	1
Precinct 9444 - None	301	937	442	6	0	115	0	321	20
Precinct 9445 - None	168	981	230	0	0	59	0	171	3
Precinct 9445 - None	393	981	493	0	0	89	0	404	11
Precinct 9446 - None	162	1,090	240	1	0	76	0	163	1
Precinct 9446 - None	414	1,090	564	9	0	121	0	434	20
Precinct 9447 - None	184	906	236	0	0	49	0	187	3
Precinct 9447 - None	342	906	448	3	0	95	0	350	8
Precinct 9448 - None	172	909	232	1	0	54	0	177	5
Precinct 9448 - None	325	909	429	6	0	95	0	328	3
Precinct 9449 - None	123	830	177	6	0	45	0	126	3
Precinct 9449 - None	316	830	428	8	0	91	0	329	13
Precinct 9451 - None	72	420	97	0	0	25	0	72	0
Precinct 9451 - None	156	420	218	2	0	57	0	159	3
Precinct 9452 - None	180	840	259	1	0	69	0	189	9
Precinct 9452 - None	298	840	412	6	0	103	0	303	5
Precinct 9453 - None	88	500	135	-1	0	46	0	90	2
Precinct 9453 - None	180	500	244	3	0	54	0	187	7
Precinct 9501 MB - None	84	148	110	1	0	23	0	86	2
Precinct 9502 MB - None	159	245	177	2	0	16	0	159	0
Precinct 9503/9504 - None	156	729	198	0	0	40	0	158	2
Precinct 9503/9504 - None	253	729	315	10	0	50	0	255	2
Precinct 9505 - None	142	784	177	1	0	32	0	144	2
Precinct 9505 - None	306	784	383	13	0	62	0	308	2
Precinct 9506 - None	134	766	177	1	0	40	0	136	2
Precinct 9506 - None	257	766	313	0	0	50	0	263	6
Precinct 9507 - None	169	766	231	30	0	32	0	169	0
Precinct 9507 - None	320	766	406	7	0	74	0	325	5
Precinct 9508 - None	196	798	237	2	0	39	0	196	0
Precinct 9508 - None	347	798	429	7	1	69	0	352	5
Precinct 9509 - None	175	759	230	-1	0	54	0	177	2
Precinct 9509 - None	315	759	386	6	1	63	0	316	1
Precinct 9511 - None	146	622	190	0	0	41	0	149	3
Precinct 9511 - None	234	622	296	5	0	56	0	235	1
Precinct 9512 - None	195	809	240	2	0	39	0	199	4
Precinct 9512 - None	315	809	399	4	0	79	0	316	1
Precinct 9513 - None	221	902	275	-1	0	53	0	223	2
Precinct 9513 - None	317	902	390	13	0	57	0	320	3
Precinct 9514/9522 - None	234	928	304	3	0	67	0	234	0
Precinct 9514/9522 - None	358	928	456	14	0	79	0	363	5
Precinct 9515 - None	166	705	222	1	0	53	0	168	2
Precinct 9515 - None	287	705	368	3	0	71	0	294	7
Precinct 9516 - None	194	866	254	-1	0	57	0	198	4
Precinct 9516 - None	341	866	427	8	0	76	0	343	2
Precinct 9517 - None	173	801	228	1	0	53	0	174	1
Precinct 9517 - None	320	801	397	14	0	61	0	322	2
Precinct 9518 - None	184	802	229	0	0	42	0	187	3
Precinct 9518 - None	350	802	431	7	0	71	0	353	3
Precinct 9519 - None	193	910	262	0	0	66	0	196	3
Precinct 9519 - None	392	910	486	2	0	84	0	400	8
Precinct 9521 - None	241	939	316	0	0	68	0	248	7
Precinct 9521 - None	355	939	442	6	0	74	0	362	7
Precinct 9701 - None	171	671	201	-1	0	30	0	172	1
Precinct 9701 - None	247	671	340	8	0	78	0	254	7
Precinct 9702 - None	167	723	210	0	0	41	0	169	2
Precinct 9702 - None	281	723	364	6	0	72	0	286	5
Precinct 9703 - None	173	986	232	0	0	56	0	176	3
Precinct 9703 - None	397	986	530	4	0	122	0	404	7
Precinct 9704 - None	228	950	279	0	0	46	0	233	5
Precinct 9704 - None	384	950	505	6	0	109	0	390	6
Precinct 9705 - None	193	919	261	5	0	58	0	198	5
Precinct 9705 - None	393	919	483	4	0	79	0	400	7
Precinct 9706 MB - None	31	49	39	-1	0	9	0	31	0
Precinct 9707 - None	113	821	173	1	0	57	0	115	2
Precinct 9707 - None	392	821	491	14	0	76	0	401	9
Precinct 9708 - None	189	948	250	1	0	57	0	192	3
Precinct 9708 - None	409	948	500	7	0	75	0	418	9
Precinct 9709 - None	213	1,028	281	7	0	58	0	216	3
Precinct 9709 - None	395	1,028	517	5	0	110	0	402	7
Precinct 9711 - None	142	641	195	1	0	47	0	147	5
Precinct 9711 - None	275	641	336	3	0	54	0	279	4
Precinct 9712 - None	119	649	160	15	0	18	0	127	8
Precinct 9712 - None	303	649	398	10	0	83	0	305	2
Precinct 9713 - None	157	960	225	2	0	64	0	159	2
Precinct 9713 - None	361	960	489	7	0	113	0	369	8
Precinct 9714 - None	139	931	208	2	0	64	0	142	3
Precinct 9714 - None	406	931	538	19	0	107	0	412	6
Precinct 9715 - None	126	569	180	0	1	47	0	132	6
Precinct 9715 - None	224	569	309	3	0	77	0	229	5
Precinct 9716 - None	183	947	239	0	0	51	0	188	5
Precinct 9716 - None	369	947	481	9	0	98	0	374	5
Precinct 9717 - None	204	972	265	0	0	54	0	211	7
Precinct 9717 - None	416	972	532	9	0	102	0	421	5
Precinct 9718 - None	171	862	227	0	0	50	0	177	6
Precinct 9718 - None	377	862	496	13	0	102	0	381	4
Precinct 9719 - None	178	901	245	0	0	59	0	186	8
Precinct 9719 - None	378	901	524	12	0	121	0	391	13
Precinct 9721 - None	138	662	198	0	0	46	0	152	14
Precinct 9721 - None	260	662	357	8	0	79	0	270	10
Precinct 9722 - None	87	605	119	1	0	29	0	89	2
Precinct 9722 - None	274	605	355	1	0	77	0	277	3
Precinct 9723 - None	64	481	98	0	0	29	0	69	5
Precinct 9723 - None	198	481	275	5	0	67	0	203	5
Precinct 9724 - None	137	991	205	1	0	61	0	143	6
Precinct 9724 - None	389	991	565	8	0	159	0	398	9
Precinct 9725 - None	144	970	214	0	0	65	0	149	5
Precinct 9725 - None	337	970	499	8	0	132	0	359	22
Precinct 9726 - None	209	655	263	5	0	46	0	212	3
Precinct 9726 - None	189	655	241	-2	0	52	0	191	2
Precinct 9727 - None	63	459	79	1	0	11	0	67	4
Precinct 9727 - None	191	459	271	10	0	66	0	195	4
Precinct 9728 - None	166	926	231	-1	0	60	0	172	6
Precinct 9728 - None	377	926	503	11	0	103	0	389	12
Precinct 9729 - None	137	800	191	2	0	47	0	142	5
Precinct 9729 - None	337	800	442	13	0	90	0	339	2
Precinct 9731 - None	122	556	167	0	0	45	0	122	0
Precinct 9731 - None	199	556	282	6	0	72	0	204	5
Precinct 9732 MB - None	39	70	56	2	0	14	0	40	1
Precinct 9733 MB - None	154	235	191	5	0	32	0	154	0
Precinct 9734 - None	120	603	154	1	0	32	0	121	1
Precinct 9734 - None	261	603	341	0	0	74	0	267	6
Precinct 9735 - None	130	809	206	-1	0	74	0	133	3
Precinct 9735 - None	331	809	449	7	0	103	0	339	8
Precinct 9736 - None	119	713	173	0	0	51	0	122	3
Precinct 9736 - None	317	713	410	10	0	73	0	327	10
Precinct 9737 - None	155	818	208	4	0	46	0	158	3
Precinct 9737 - None	365	818	476	10	1	86	0	379	14
Precinct 9738 - None	143	848	185	0	0	40	0	145	2
Precinct 9738 - None	334	848	404	3	0	63	0	338	4
Precinct 9739 - None	178	828	220	2	0	37	0	181	3
Precinct 9739 - None	264	828	335	4	0	63	0	268	4
Precinct 9741 - None	182	552	232	1	0	49	0	182	0
Precinct 9741 - None	91	552	105	2	0	12	0	91	0
Precinct 9742 - None	123	677	180	4	0	48	0	128	5
Precinct 9742 - None	217	677	289	2	0	65	0	222	5
Precinct 9743 - None	234	1,163	310	1	0	70	0	239	5
Precinct 9743 - None	405	1,163	501	7	0	82	0	412	7
Precinct 9744 - None	179	911	247	7	0	56	0	184	5
Precinct 9744 - None	304	911	391	5	0	78	0	308	4
Precinct 9745 - None	214	991	282	0	0	63	0	219	5
Precinct 9745 - None	300	991	346	5	0	39	0	302	2
Precinct 9746 - None	167	884	232	0	0	58	0	174	7
Precinct 9746 - None	325	884	452	7	0	109	0	336	11
Precinct 9747 - None	199	973	246	7	0	37	0	202	3
Precinct 9747 - None	355	973	470	8	1	99	0	362	7
Precinct 9748 - None	176	931	229	1	0	47	0	181	5
Precinct 9748 - None	371	931	475	11	0	85	0	379	8
Precinct 9749 - None	151	913	225	3	0	64	0	158	7
Precinct 9749 - None	305	913	384	1	1	69	0	313	8
Precinct 9751 - None	185	1,016	253	0	0	56	0	197	12
Precinct 9751 - None	417	1,016	523	9	0	90	0	424	7
Precinct 9752 - None	134	710	175	4	0	33	0	138	4
Precinct 9752 - None	305	710	392	5	0	72	0	315	10
Precinct 9753 - None	145	756	186	1	0	39	0	146	1
Precinct 9753 - None	296	756	388	6	0	82	0	300	4
Precinct 9754 - None	43	707	47	-7	0	9	0	45	2
Precinct 9754 - None	308	707	377	3	0	65	0	309	1
Precinct 9755 - None	126	582	172	0	0	41	0	131	5
Precinct 9755 - None	221	582	285	5	0	54	0	226	5
Precinct 9756 - None	145	941	185	1	0	35	0	149	4
Precinct 9756 - None	351	941	477	12	0	109	0	356	5
Precinct 9801 - None	78	408	104	4	0	18	0	82	4
Precinct 9801 - None	136	408	181	4	0	38	0	139	3
Congressional District 12	255,866	443,570	332,491	3,780	62	68,834	0	259,815	3,949
Congressional District 14	30,822	56,946	40,357	490	8	8,316	0	31,543	721
Assembly District 17	167,508	291,063	214,827	2,367	44	42,482	0	169,934	2,426
Assembly District 19	119,180	209,453	158,021	1,903	26	34,668	0	121,424	2,244
BART District 7	18,788	38,460	24,736	245	3	5,369	0	19,119	331
BART District 8	124,641	223,735	166,386	2,006	26	37,370	0	126,984	2,343
BART District 9	143,259	238,321	181,726	2,019	41	34,411	0	145,255	1,996
Supervisorial District 1	25,365	42,767	32,743	430	3	6,519	0	25,791	426
Supervisorial District 2	29,293	50,394	40,402	496	11	10,226	0	29,669	376
Supervisorial District 3	21,372	39,799	28,571	438	5	6,477	0	21,651	279
Supervisorial District 4	23,430	42,953	31,699	287	4	7,422	0	23,986	556
Supervisorial District 5	33,242	53,744	42,036	569	9	7,843	0	33,615	373
Supervisorial District 6	22,144	43,321	29,158	286	12	6,368	0	22,492	348
Supervisorial District 7	27,762	47,076	36,587	484	5	7,702	0	28,396	634
Supervisorial District 8	38,811	58,122	48,632	583	3	8,761	0	39,285	474
Supervisorial District 9	25,432	42,988	31,769	287	7	5,647	0	25,828	396
Supervisorial District 10	20,530	41,862	26,459	202	2	5,320	0	20,935	405
Supervisorial District 11	19,307	37,490	24,792	208	9	4,865	0	19,710	403
Bayview/Hunters Point	8,802	19,914	11,270	70	1	2,197	0	9,002	200
Chinatown	9,197	17,446	12,440	178	2	2,950	0	9,310	113
Civic Center/Downtown	14,556	28,644	19,045	240	11	3,994	0	14,800	244
Diamond Heights	4,655	7,002	5,802	55	0	1,022	0	4,725	70
Excelsior	14,309	27,634	18,420	143	8	3,645	0	14,624	315
Haight Ashbury	9,770	14,982	12,240	168	2	2,201	0	9,869	99
Ingleside	6,164	12,118	7,928	90	2	1,553	0	6,283	119
Inner Sunset	6,115	9,734	7,857	95	0	1,558	0	6,204	89
Lake Merced	4,495	8,390	5,918	62	0	1,263	0	4,593	98
Laurel Heights/Anza Vista	6,159	10,097	8,010	120	2	1,656	0	6,232	73
Marina Pacific Heights	23,289	40,622	32,395	430	7	8,358	0	23,600	311
Mission	18,673	31,129	23,295	228	6	4,153	0	18,908	235
Noe Valley	11,465	16,964	14,420	158	2	2,669	0	11,591	126
North Bernal Heights	5,979	8,795	7,263	58	2	1,151	0	6,052	73
North Embarcadero	3,911	7,019	5,232	83	0	1,186	0	3,963	52
Portola	4,633	9,293	6,104	62	1	1,296	0	4,745	112
Potrero Hill	10,104	16,814	13,081	121	1	2,725	0	10,234	130
Richmond	22,063	37,322	28,503	381	3	5,684	0	22,435	372
Sea Cliff/Presidio Heights	4,954	8,050	6,587	67	3	1,500	0	5,017	63
South of Bernal Heights	5,939	9,419	7,393	84	0	1,282	0	6,027	88
South of Market	12,833	24,674	17,045	184	3	3,833	0	13,025	192
Sunset	23,085	42,363	31,246	284	4	7,325	0	23,633	548
Upper Market/Eureka Valley	12,922	18,966	16,190	193	0	2,910	0	13,087	165
Visitation Valley	3,408	8,139	4,488	33	0	954	0	3,501	93
West of Twin Peaks	21,091	34,909	27,838	390	4	5,862	0	21,582	491
Western Addition	18,117	30,077	22,838	293	6	4,223	0	18,316	199
