Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7306 - None	361	1,056	498	10	0	122	0	366	5
Precinct 7307 - None	159	767	210	0	0	49	0	161	2
Precinct 7307 - None	269	767	346	13	0	61	0	272	3
Precinct 7308 - None	137	603	177	0	0	39	0	138	1
Precinct 7308 - None	230	603	313	12	0	70	0	231	1
Precinct 7309 - None	180	884	263	2	0	74	0	187	7
Precinct 7309 - None	316	884	439	3	0	117	0	319	3
Precinct 7311 - None	199	917	268	3	0	66	0	199	0
Precinct 7311 - None	350	917	448	10	0	86	0	352	2
Precinct 7312 - None	156	821	203	4	0	42	0	157	1
Precinct 7312 - None	334	821	470	18	0	114	0	338	4
Precinct 7313 - None	166	968	225	0	0	58	0	167	1
Precinct 7313 - None	358	968	485	9	0	108	0	368	10
Precinct 7314 - None	95	787	125	-1	0	26	0	100	5
Precinct 7314 - None	206	787	271	3	0	61	0	207	1
Precinct 7315 - None	157	760	220	0	0	59	0	161	4
Precinct 7315 - None	212	760	282	4	0	60	0	218	6
Precinct 7316 - None	139	853	205	0	0	65	0	140	1
Precinct 7316 - None	284	853	367	10	0	72	0	285	1
Precinct 7317 - None	137	904	189	1	0	48	0	140	3
Precinct 7317 - None	339	904	454	4	0	108	0	342	3
Precinct 7318 - None	116	727	179	1	0	59	0	119	3
Precinct 7318 - None	306	727	390	6	0	76	0	308	2
Precinct 7319 - None	223	1,079	301	0	0	76	0	225	2
Precinct 7319 - None	377	1,079	516	12	0	126	0	378	1
Precinct 7321 - None	100	671	149	0	0	47	0	102	2
Precinct 7321 - None	224	671	286	4	1	51	0	230	6
Precinct 7322 - None	49	874	65	1	0	14	0	50	1
Precinct 7322 - None	246	874	337	1	0	87	0	249	3
Precinct 7323 - None	154	950	234	2	0	77	0	155	1
Precinct 7323 - None	346	950	455	14	0	91	0	350	4
Precinct 7324 - None	135	755	190	3	0	52	0	135	0
