Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7038 - None	41	66	911	135	0	2	24	109	2
Precinct 7038 - None	119	160	911	351	0	2	68	281	2
Precinct 7039 - None	49	94	784	178	0	0	32	146	3
Precinct 7039 - None	88	155	784	306	0	3	58	245	2
Precinct 7041 MB - None	7	15	61	33	0	0	11	22	0
Precinct 7042 - None	42	61	639	118	0	0	14	104	1
Precinct 7042 - None	61	155	639	258	0	0	40	218	2
Precinct 7043 - None	48	105	957	176	0	0	22	154	1
Precinct 7043 - None	94	219	957	404	0	0	84	320	7
Precinct 7044 - None	48	90	827	167	0	2	26	139	1
Precinct 7044 - None	42	113	827	193	0	0	35	158	3
Precinct 7045 - None	33	56	779	120	0	0	30	90	1
Precinct 7045 - None	94	166	779	344	0	3	78	263	3
Precinct 7046 - None	17	62	402	94	0	0	15	79	0
Precinct 7046 - None	38	93	402	175	0	1	42	132	1
Precinct 7047 - None	33	61	823	119	0	0	24	95	1
Precinct 7047 - None	95	204	823	388	0	3	83	302	3
Precinct 7048 - None	40	76	858	150	3	0	27	120	4
Precinct 7048 - None	82	163	858	318	0	5	59	254	9
Precinct 7049 - None	56	79	792	173	0	2	35	136	1
Precinct 7049 - None	109	118	792	305	0	1	74	230	3
Precinct 7051 - None	35	50	861	114	0	3	25	86	1
Precinct 7051 - None	141	144	861	380	0	1	91	288	3
Precinct 7052 - None	49	82	852	161	0	0	29	132	1
Precinct 7052 - None	126	183	852	402	0	3	87	312	3
Precinct 7053 - None	16	54	548	102	0	0	31	71	1
Precinct 7053 - None	90	127	548	278	0	2	56	220	3
Precinct 7054 - None	47	132	1,073	215	0	1	32	182	3
Precinct 7054 - None	106	240	1,073	410	0	0	62	348	2
Precinct 7055 - None	60	84	808	190	0	0	46	144	0
Precinct 7055 - None	122	215	808	440	0	2	99	339	2
Precinct 7101 MB - None	29	68	155	120	1	0	22	97	0
Precinct 7201 - None	64	107	936	245	0	0	73	172	1
Precinct 7201 - None	133	251	936	518	0	2	130	386	2
Precinct 7202 - None	59	99	850	227	0	0	68	159	1
Precinct 7202 - None	142	176	850	431	0	2	110	319	1
Precinct 7203 - None	74	146	921	291	1	1	68	221	1
Precinct 7203 - None	106	204	921	423	0	2	109	312	2
Precinct 7204 - None	70	103	918	233	0	0	60	173	0
Precinct 7204 - None	172	246	918	531	0	3	108	420	2
Precinct 7205 - None	72	95	875	251	0	0	79	172	5
Precinct 7205 - None	166	196	875	485	0	1	121	363	1
Precinct 7206 - None	38	63	378	135	0	0	34	101	0
Precinct 7206 - None	47	93	378	191	0	2	48	141	1
Precinct 7207 - None	62	84	812	196	0	0	49	147	1
Precinct 7207 - None	119	192	812	434	0	7	116	311	0
Precinct 7208 - None	29	51	600	111	0	0	30	81	1
Precinct 7208 - None	92	147	600	328	0	3	82	243	4
Precinct 7209 - None	37	42	626	107	0	0	28	79	0
Precinct 7209 - None	127	204	626	423	0	4	87	332	1
Precinct 7301 - None	71	96	1,016	228	0	2	58	168	1
Precinct 7301 - None	133	190	1,016	435	0	3	109	323	0
Precinct 7302 - None	50	88	814	188	0	0	48	140	2
Precinct 7302 - None	121	219	814	458	0	3	115	340	0
Precinct 7303 - None	76	132	1,042	281	0	0	73	208	0
Precinct 7303 - None	125	234	1,042	482	0	2	119	361	2
Precinct 7304 - None	72	134	1,002	278	0	2	69	207	1
Precinct 7304 - None	149	225	1,002	493	0	0	118	375	1
Precinct 7305 - None	83	99	871	240	0	1	57	182	0
Precinct 7305 - None	144	197	871	460	0	3	114	343	2
Precinct 7306 - None	103	135	1,056	317	0	0	78	239	1
Precinct 7306 - None	128	214	1,056	498	0	4	149	345	3
Precinct 7307 - None	52	115	767	210	0	1	41	168	1
Precinct 7307 - None	85	178	767	346	0	1	81	264	1
Precinct 7308 - None	52	81	603	177	0	0	43	134	1
Precinct 7308 - None	87	150	603	313	0	1	71	241	4
Precinct 7309 - None	81	108	884	263	0	2	71	190	1
Precinct 7309 - None	131	185	884	439	0	4	117	318	2
Precinct 7311 - None	81	119	917	268	0	0	68	200	0
Precinct 7311 - None	152	193	917	448	0	4	98	346	1
Precinct 7312 - None	75	81	821	203	0	0	46	157	1
Precinct 7312 - None	173	177	821	470	0	1	117	352	2
Precinct 7313 - None	56	108	968	225	1	0	58	166	2
Precinct 7313 - None	134	220	968	485	0	2	126	357	3
Precinct 7314 - None	31	55	787	125	0	2	37	86	0
Precinct 7314 - None	65	115	787	271	0	2	89	180	0
Precinct 7315 - None	54	105	760	220	0	2	57	161	2
Precinct 7315 - None	60	141	760	282	0	0	81	201	0
Precinct 7316 - None	42	94	853	205	0	0	69	136	0
Precinct 7316 - None	81	172	853	367	0	3	109	255	2
Precinct 7317 - None	49	81	904	189	0	1	56	132	2
Precinct 7317 - None	157	199	904	454	0	2	95	357	1
Precinct 7318 - None	41	82	727	179	0	0	56	123	0
Precinct 7318 - None	115	170	727	390	0	1	104	285	0
Precinct 7319 - None	81	141	1,079	301	0	1	76	224	2
