Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9245 - None	64	89	742	209	0	2	52	155	2
Precinct 9245 - None	114	156	742	375	0	1	104	270	0
Precinct 9246 - None	73	108	929	257	0	1	74	182	1
Precinct 9246 - None	164	220	929	528	0	2	142	384	0
Precinct 9247 - None	83	109	927	264	0	0	71	193	1
Precinct 9247 - None	163	229	927	515	0	4	116	395	3
Precinct 9248 - None	77	123	907	258	0	1	56	201	1
Precinct 9248 - None	126	234	907	487	0	3	123	361	1
Precinct 9249 - None	73	124	917	271	0	1	73	197	0
Precinct 9249 - None	150	238	917	495	0	1	104	390	2
Precinct 9251 - None	82	139	995	287	0	0	64	223	2
Precinct 9251 - None	150	256	995	530	0	0	123	407	1
Precinct 9252 - None	66	98	944	219	0	0	55	164	0
Precinct 9252 - None	163	266	944	550	0	0	120	430	1
Precinct 9253 - None	61	80	772	187	0	0	46	141	0
Precinct 9253 - None	126	184	772	397	0	4	80	313	3
Precinct 9254 - None	77	111	935	230	0	0	41	189	1
Precinct 9254 - None	161	257	935	538	0	1	115	422	4
Precinct 9255 - None	49	97	553	183	0	1	36	146	0
Precinct 9255 - None	61	135	553	263	0	2	65	196	0
Precinct 9256 - None	29	67	474	130	0	1	33	96	0
Precinct 9256 - None	62	117	474	233	0	0	53	180	1
Precinct 9257 MB - None	45	137	321	235	0	0	50	185	3
Precinct 9258 - None	51	103	712	193	0	0	37	156	2
Precinct 9258 - None	116	175	712	373	0	0	82	291	0
Precinct 9401 - None	74	153	1,012	293	0	3	60	230	3
Precinct 9401 - None	117	274	1,012	484	0	2	88	394	3
Precinct 9402 - None	80	148	977	290	0	0	60	230	2
Precinct 9402 - None	95	252	977	458	0	0	109	349	2
Precinct 9403 - None	43	146	897	240	0	2	48	190	1
Precinct 9403 - None	104	214	897	419	0	1	98	320	2
Precinct 9404 - None	55	87	930	200	0	0	58	142	0
Precinct 9404 - None	113	243	930	462	0	1	105	356	0
Precinct 9405 - None	60	90	786	210	0	1	56	153	3
Precinct 9405 - None	101	169	786	364	0	1	85	278	8
Precinct 9406 - None	69	121	868	244	0	1	52	191	1
Precinct 9406 - None	106	220	868	421	0	3	88	330	4
Precinct 9407 - None	68	131	889	253	0	1	49	203	4
Precinct 9407 - None	105	218	889	409	0	2	82	325	2
Precinct 9408 - None	59	152	886	265	0	0	53	212	1
Precinct 9408 - None	90	236	886	415	0	2	81	332	6
Precinct 9409 - None	52	111	590	201	0	1	35	165	2
Precinct 9409 - None	66	121	590	252	0	1	64	187	0
Precinct 9411 - None	58	151	956	271	0	0	61	210	1
Precinct 9411 - None	90	257	956	431	0	2	79	350	3
Precinct 9412 - None	66	125	848	245	0	1	51	193	2
Precinct 9412 - None	80	198	848	380	0	2	97	281	3
Precinct 9413 - None	63	110	894	229	0	0	55	174	1
Precinct 9413 - None	131	204	894	461	0	3	118	340	5
Precinct 9414 - None	70	97	916	216	0	2	45	169	2
Precinct 9414 - None	127	229	916	463	0	3	104	356	0
Precinct 9415 - None	41	88	784	187	0	0	56	131	2
Precinct 9415 - None	113	178	784	392	0	2	99	291	0
Precinct 9416 - None	67	147	1,008	282	1	2	64	215	1
Precinct 9416 - None	123	227	1,008	480	1	1	122	356	6
Precinct 9417 - None	44	99	752	175	0	0	32	143	0
Precinct 9417 - None	115	199	752	402	0	1	83	318	4
Precinct 9418 - None	38	124	790	211	0	2	47	162	0
Precinct 9418 - None	115	174	790	376	0	1	86	289	0
Precinct 9419 - None	73	95	924	222	0	3	50	169	1
Precinct 9419 - None	136	207	924	468	0	0	121	347	4
Precinct 9421 - None	63	112	906	238	0	1	62	175	0
Precinct 9421 - None	115	200	906	446	0	0	130	316	1
Precinct 9422 - None	79	140	1,056	283	0	0	60	223	4
Precinct 9422 - None	146	257	1,056	513	0	2	107	404	1
Precinct 9423 - None	59	101	889	219	0	1	57	161	1
Precinct 9423 - None	105	236	889	440	0	1	97	342	1
Precinct 9424 - None	60	114	952	224	0	0	49	175	1
Precinct 9424 - None	140	247	952	496	0	1	104	391	4
Precinct 9425 - None	45	100	933	199	0	0	52	147	2
Precinct 9425 - None	118	222	933	465	0	0	121	344	4
Precinct 9426 - None	56	83	823	198	0	2	55	141	2
Precinct 9426 - None	106	183	823	408	0	2	115	291	2
Precinct 9427 - None	54	88	948	210	0	0	67	143	1
Precinct 9427 - None	116	202	948	447	0	1	125	321	3
Precinct 9428 - None	57	70	961	183	0	1	52	130	3
Precinct 9428 - None	138	248	961	518	0	2	126	390	4
Precinct 9429 - None	67	100	899	228	1	0	57	170	3
Precinct 9429 - None	118	216	899	432	0	3	91	338	4
Precinct 9431 - None	67	119	973	235	0	1	47	187	1
Precinct 9431 - None	134	229	973	464	0	0	101	363	0
Precinct 9432 - None	52	114	945	214	0	0	47	167	1
Precinct 9432 - None	114	251	945	468	0	0	100	368	3
Precinct 9433 - None	59	84	945	195	0	0	50	145	2
Precinct 9433 - None	115	223	945	487	0	3	143	341	3
Precinct 9434 - None	60	138	979	261	0	2	60	199	1
Precinct 9434 - None	124	244	979	481	1	2	107	371	3
Precinct 9435 - None	56	130	969	251	0	0	63	188	2
Precinct 9435 - None	98	235	969	448	0	0	114	334	1
Precinct 9436 - None	59	115	1,006	232	0	2	52	178	4
Precinct 9436 - None	118	250	1,006	495	0	3	122	370	2
Precinct 9437 - None	61	107	897	219	0	2	48	169	1
Precinct 9437 - None	109	224	897	435	0	0	99	336	3
Precinct 9438 - None	46	107	948	202	0	0	48	154	1
Precinct 9438 - None	172	216	948	496	0	4	103	389	1
Precinct 9439 - None	43	86	879	173	0	0	43	130	1
Precinct 9439 - None	117	209	879	425	0	2	97	326	0
Precinct 9441 - None	56	143	980	261	0	2	60	199	0
Precinct 9441 - None	113	241	980	462	0	0	106	356	2
Precinct 9442 - None	73	151	1,008	280	0	0	55	225	1
Precinct 9442 - None	132	221	1,008	461	0	1	106	354	1
Precinct 9443 - None	59	105	937	220	1	1	52	166	2
Precinct 9443 - None	109	243	937	442	0	2	85	355	3
Precinct 9444 - None	52	95	937	190	1	0	42	147	0
Precinct 9444 - None	140	203	937	442	0	1	96	345	2
Precinct 9445 - None	70	121	981	230	0	0	37	193	2
Precinct 9445 - None	154	229	981	493	0	2	102	389	6
Precinct 9446 - None	63	123	1,090	240	0	0	53	187	1
Precinct 9446 - None	174	270	1,090	564	0	2	116	446	2
Precinct 9447 - None	71	119	906	236	0	0	45	191	1
Precinct 9447 - None	117	210	906	448	0	4	113	331	4
Precinct 9448 - None	73	110	909	232	0	1	45	186	3
Precinct 9448 - None	110	224	909	429	0	7	85	337	3
Precinct 9449 - None	43	82	830	177	2	0	50	125	0
Precinct 9449 - None	128	197	830	428	0	2	100	326	1
Precinct 9451 - None	32	42	420	97	0	0	23	74	0
Precinct 9451 - None	57	101	420	218	0	1	59	158	0
Precinct 9452 - None	74	121	840	259	0	1	62	196	1
Precinct 9452 - None	124	193	840	412	0	0	93	319	2
Precinct 9453 - None	49	49	500	135	0	1	36	98	0
Precinct 9453 - None	78	113	500	244	0	1	52	191	0
Precinct 9501 MB - None	38	53	148	110	0	0	19	91	0
Precinct 9502 MB - None	40	100	245	177	0	1	36	140	0
Precinct 9503/9504 - None	64	89	729	198	0	2	43	153	0
Precinct 9503/9504 - None	80	164	729	315	0	5	63	247	3
Precinct 9505 - None	38	105	784	177	0	2	31	144	1
Precinct 9505 - None	83	233	784	383	0	0	66	317	1
Precinct 9506 - None	55	87	766	177	0	2	32	143	1
Precinct 9506 - None	76	172	766	313	0	5	55	253	5
Precinct 9507 - None	52	135	766	231	0	0	42	189	2
Precinct 9507 - None	88	233	766	406	0	4	80	322	1
Precinct 9508 - None	57	122	798	237	0	0	57	180	1
Precinct 9508 - None	94	260	798	429	0	0	74	355	1
Precinct 9509 - None	46	133	759	230	0	3	47	180	1
Precinct 9509 - None	86	209	759	386	0	3	87	296	1
Precinct 9511 - None	44	103	622	190	0	2	40	148	1
Precinct 9511 - None	55	166	622	296	0	1	69	226	5
Precinct 9512 - None	58	134	809	240	0	0	46	194	2
Precinct 9512 - None	79	237	809	399	0	2	78	319	3
Precinct 9513 - None	53	172	902	275	0	0	49	226	1
Precinct 9513 - None	70	252	902	390	0	4	62	324	2
Precinct 9514/9522 - None	70	158	928	304	0	0	75	229	1
Precinct 9514/9522 - None	104	268	928	456	0	1	82	373	1
Precinct 9515 - None	45	127	705	222	0	0	49	173	1
Precinct 9515 - None	59	209	705	368	0	0	95	273	5
Precinct 9516 - None	65	128	866	254	0	2	56	196	3
Precinct 9516 - None	91	235	866	427	0	1	96	330	4
Precinct 9517 - None	43	135	801	228	0	0	50	178	0
Precinct 9517 - None	87	236	801	397	0	2	71	324	1
Precinct 9518 - None	43	141	802	229	0	0	45	184	0
Precinct 9518 - None	80	251	802	431	0	2	96	333	2
Precinct 9519 - None	60	153	910	262	0	0	46	216	3
Precinct 9519 - None	121	266	910	486	0	1	98	387	0
Precinct 9521 - None	90	165	939	316	0	2	56	258	3
Precinct 9521 - None	100	240	939	442	0	3	98	341	1
Precinct 9701 - None	39	124	671	201	0	1	37	163	0
Precinct 9701 - None	79	180	671	340	0	1	79	260	1
Precinct 9702 - None	43	127	723	210	0	0	39	171	1
Precinct 9702 - None	98	198	723	364	0	0	68	296	0
Precinct 9703 - None	83	102	986	232	0	0	47	185	0
Precinct 9703 - None	118	273	986	530	0	1	135	394	3
Precinct 9704 - None	74	150	950	279	0	0	55	224	0
Precinct 9704 - None	131	250	950	505	0	1	122	382	1
Precinct 9705 - None	60	140	919	261	3	1	56	201	1
Precinct 9705 - None	111	262	919	483	0	2	105	376	3
Precinct 9706 MB - None	9	19	49	39	0	0	11	28	0
Precinct 9707 - None	56	72	821	173	0	0	45	128	0
Precinct 9707 - None	193	215	821	491	0	0	82	409	1
Precinct 9708 - None	55	145	948	250	0	2	47	201	1
Precinct 9708 - None	103	278	948	500	0	3	116	381	0
Precinct 9709 - None	74	129	1,028	281	7	0	71	203	0
Precinct 9709 - None	160	232	1,028	517	0	1	120	396	4
Precinct 9711 - None	56	104	641	195	0	1	34	160	0
Precinct 9711 - None	103	170	641	336	0	1	62	273	0
Precinct 9712 - None	67	68	649	160	0	0	25	135	0
Precinct 9712 - None	128	172	649	398	1	0	97	300	0
Precinct 9713 - None	53	114	960	225	1	1	55	168	1
Precinct 9713 - None	126	237	960	489	0	2	122	365	2
Precinct 9714 - None	70	93	931	208	1	1	42	164	1
Precinct 9714 - None	188	230	931	538	0	1	118	419	1
Precinct 9715 - None	73	69	569	180	0	0	38	142	0
Precinct 9715 - None	124	125	569	309	0	1	59	249	0
Precinct 9716 - None	60	124	947	239	0	0	55	184	0
Precinct 9716 - None	139	223	947	481	0	1	113	367	5
Precinct 9717 - None	73	120	972	265	0	0	68	197	4
Precinct 9717 - None	137	279	972	532	0	1	111	420	4
Precinct 9718 - None	76	112	862	227	0	0	39	188	0
Precinct 9718 - None	160	244	862	496	0	1	88	407	3
Precinct 9719 - None	76	104	901	245	0	0	64	181	1
Precinct 9719 - None	172	229	901	524	2	4	115	403	2
Precinct 9721 - None	68	99	662	198	0	0	30	168	1
Precinct 9721 - None	109	163	662	357	0	1	81	275	3
Precinct 9722 - None	35	60	605	119	1	0	22	96	1
Precinct 9722 - None	121	166	605	355	0	0	66	289	2
Precinct 9723 - None	34	37	481	98	0	0	26	72	1
Precinct 9723 - None	85	112	481	275	0	1	74	200	3
Precinct 9724 - None	66	87	991	205	0	0	50	155	2
Precinct 9724 - None	185	241	991	565	0	3	136	426	0
Precinct 9725 - None	69	93	970	214	0	1	49	164	2
Precinct 9725 - None	159	211	970	499	0	0	129	370	0
Precinct 9726 - None	93	124	655	263	0	2	42	219	2
Precinct 9726 - None	55	141	655	241	0	1	44	196	0
Precinct 9727 - None	27	37	459	79	0	0	15	64	0
Precinct 9727 - None	103	110	459	271	0	0	57	214	1
Precinct 9728 - None	84	101	926	231	0	0	45	186	1
Precinct 9728 - None	192	208	926	503	0	0	101	402	2
Precinct 9729 - None	75	67	800	191	0	0	47	144	2
Precinct 9729 - None	174	162	800	442	0	1	105	336	0
Precinct 9731 - None	52	75	556	167	0	1	39	127	0
Precinct 9731 - None	97	121	556	282	0	0	62	220	2
Precinct 9732 MB - None	15	32	70	56	0	0	8	48	1
Precinct 9733 MB - None	61	112	235	191	0	0	18	173	0
Precinct 9734 - None	64	59	603	154	0	0	30	124	1
Precinct 9734 - None	122	156	603	341	0	1	61	279	1
Precinct 9735 - None	63	86	809	206	0	1	55	150	1
Precinct 9735 - None	141	221	809	449	0	2	82	365	3
Precinct 9736 - None	53	86	713	173	0	0	33	140	1
Precinct 9736 - None	102	224	713	410	0	1	82	327	1
Precinct 9737 - None	57	108	818	208	0	0	43	165	0
Precinct 9737 - None	123	262	818	476	0	0	88	388	3
Precinct 9738 - None	49	100	848	185	0	0	35	150	1
Precinct 9738 - None	111	228	848	404	0	1	62	341	2
Precinct 9739 - None	62	120	828	220	0	0	36	184	2
Precinct 9739 - None	89	198	828	335	0	5	40	290	3
Precinct 9741 - None	65	120	552	232	0	2	43	187	2
Precinct 9741 - None	25	58	552	105	0	0	21	84	1
Precinct 9742 - None	64	78	677	180	4	0	34	142	0
Precinct 9742 - None	102	128	677	289	0	0	58	231	1
Precinct 9743 - None	103	157	1,163	310	0	1	47	262	2
Precinct 9743 - None	119	287	1,163	501	0	2	91	408	2
Precinct 9744 - None	85	103	911	247	1	0	57	189	1
Precinct 9744 - None	102	217	911	391	0	3	69	319	0
Precinct 9745 - None	89	135	991	282	0	2	53	227	3
Precinct 9745 - None	93	211	991	346	0	1	39	306	2
Precinct 9746 - None	82	107	884	232	0	1	41	190	1
Precinct 9746 - None	144	213	884	452	0	0	94	358	1
Precinct 9747 - None	72	133	973	246	0	2	37	207	2
Precinct 9747 - None	100	264	973	470	0	1	96	373	9
Precinct 9748 - None	79	111	931	229	0	0	37	192	2
Precinct 9748 - None	129	262	931	475	1	2	80	392	1
Precinct 9749 - None	56	122	913	225	2	1	43	179	1
Precinct 9749 - None	88	207	913	384	0	3	83	298	3
Precinct 9751 - None	78	129	1,016	253	0	0	45	208	1
Precinct 9751 - None	151	272	1,016	523	0	5	91	427	4
Precinct 9752 - None	57	78	710	175	3	1	34	137	2
Precinct 9752 - None	116	197	710	392	0	0	77	315	2
Precinct 9753 - None	46	108	756	186	0	0	30	156	2
Precinct 9753 - None	95	215	756	388	0	2	73	313	3
Precinct 9754 - None	14	22	707	47	0	0	11	36	0
Precinct 9754 - None	83	234	707	377	0	1	58	318	1
Precinct 9755 - None	50	82	582	172	0	1	38	133	1
Precinct 9755 - None	69	171	582	285	2	0	42	241	1
Precinct 9756 - None	50	99	941	185	0	0	33	152	3
Precinct 9756 - None	116	243	941	477	0	1	112	364	5
Precinct 9801 - None	31	55	408	104	0	0	18	86	0
Precinct 9801 - None	43	105	408	181	0	0	32	149	1
Congressional District 12	86,046	170,881	443,570	332,491	87	1,353	72,312	258,739	1,812
Congressional District 14	11,731	20,451	56,946	40,357	19	158	7,739	32,441	259
Assembly District 17	53,372	113,960	291,063	214,827	62	971	45,235	168,559	1,227
Assembly District 19	44,405	77,372	209,453	158,021	44	540	34,816	122,621	844
BART District 7	6,478	12,525	38,460	24,736	3	122	5,433	19,178	175
BART District 8	47,730	79,471	223,735	166,386	47	576	37,680	128,083	882
BART District 9	43,569	99,336	238,321	181,726	56	813	36,938	143,919	1,014
Supervisorial District 1	8,493	16,930	42,767	32,743	7	101	7,026	25,609	186
Supervisorial District 2	12,972	16,839	50,394	40,402	1	126	10,318	29,957	146
Supervisorial District 3	7,983	13,155	39,799	28,571	2	128	7,176	21,265	127
Supervisorial District 4	8,404	15,701	42,953	31,699	8	114	7,285	24,292	187
Supervisorial District 5	9,628	23,377	53,744	42,036	5	175	8,661	33,195	190
Supervisorial District 6	8,058	13,748	43,321	29,158	2	175	6,984	21,997	191
Supervisorial District 7	10,577	18,353	47,076	36,587	30	108	7,347	29,102	172
Supervisorial District 8	11,156	27,393	58,122	48,632	31	157	9,649	38,795	246
Supervisorial District 9	6,994	18,391	42,988	31,769	10	145	6,003	25,611	226
Supervisorial District 10	6,736	14,305	41,862	26,459	9	140	5,060	21,250	209
Supervisorial District 11	6,776	13,140	37,490	24,792	1	142	4,542	20,107	191
Bayview/Hunters Point	2,742	6,365	19,914	11,270	1	75	1,977	9,217	110
Chinatown	3,560	5,464	17,446	12,440	1	51	3,317	9,071	47
Civic Center/Downtown	5,137	9,305	28,644	19,045	1	119	4,368	14,557	115
Diamond Heights	1,499	3,196	7,002	5,802	3	23	1,045	4,731	36
Excelsior	5,220	9,558	27,634	18,420	1	108	3,389	14,922	144
Haight Ashbury	2,738	6,916	14,982	12,240	2	43	2,489	9,706	52
Ingleside	1,940	4,413	12,118	7,928	2	39	1,474	6,413	60
Inner Sunset	1,807	4,349	9,734	7,857	0	26	1,640	6,191	35
Lake Merced	1,738	2,980	8,390	5,918	1	25	1,143	4,749	31
Laurel Heights/Anza Vista	2,137	4,068	10,097	8,010	0	26	1,749	6,235	30
Marina Pacific Heights	10,227	13,436	40,622	32,395	5	117	8,497	23,776	113
Mission	5,010	13,446	31,129	23,295	3	96	4,596	18,600	144
Noe Valley	3,344	8,067	16,964	14,420	3	44	2,895	11,478	67
North Bernal Heights	1,378	4,528	8,795	7,263	2	30	1,282	5,949	43
North Embarcadero	1,506	2,418	7,019	5,232	0	22	1,267	3,943	19
Portola	1,667	3,101	9,293	6,104	2	31	1,241	4,830	62
Potrero Hill	3,291	6,878	16,814	13,081	3	44	2,805	10,229	60
Richmond	7,355	14,747	37,322	28,503	5	93	6,136	22,269	167
Sea Cliff/Presidio Heights	2,294	2,791	8,050	6,587	1	12	1,467	5,107	22
South of Bernal Heights	1,637	4,357	9,419	7,393	6	26	1,317	6,044	50
South of Market	4,850	7,742	24,674	17,045	2	95	4,245	12,703	111
Sunset	8,286	15,469	42,363	31,246	8	112	7,186	23,940	185
Upper Market/Eureka Valley	3,645	9,153	18,966	16,190	12	50	3,256	12,872	74
Visitation Valley	1,331	2,145	8,139	4,488	3	32	926	3,527	51
West of Twin Peaks	8,171	13,796	34,909	27,838	27	75	5,644	22,092	125
Western Addition	5,267	12,644	30,077	22,838	12	97	4,700	18,029	118
