Subtotal Area	CRISTINA OSMEÑA	JACKIE SPEIER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
BART District 9	674	3,837	6,892	4,783	3	0	269	4,511
Supervisorial District 4	76	282	500	379	0	0	21	358
Supervisorial District 7	3,612	17,071	28,578	21,655	18	5	949	20,683
Supervisorial District 8	38	236	408	285	0	0	11	274
Supervisorial District 10	18	120	273	146	0	0	8	138
Supervisorial District 11	2,743	13,923	27,187	17,892	1	3	1,222	16,666
Excelsior	1,918	8,843	17,331	11,520	1	2	756	10,761
Ingleside	1,046	6,307	12,118	7,928	2	1	572	7,353
Lake Merced	976	4,634	8,390	5,918	1	2	305	5,610
Sunset	76	282	500	379	0	0	21	358
Visitation Valley	18	120	273	146	0	0	8	138
West of Twin Peaks	2,453	11,446	18,334	14,466	15	3	549	13,899
