Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9426 - None	144	178	823	408	0	1	85	322
Precinct 9427 - None	68	95	948	210	0	0	47	163
Precinct 9427 - None	165	186	948	447	0	0	96	351
Precinct 9428 - None	71	83	961	183	0	0	29	154
Precinct 9428 - None	191	237	961	518	0	0	90	428
Precinct 9429 - None	105	82	899	228	1	0	40	187
Precinct 9429 - None	173	188	899	432	0	0	71	361
Precinct 9431 - None	104	102	973	235	0	0	29	206
Precinct 9431 - None	174	211	973	464	0	2	77	385
Precinct 9432 - None	85	96	945	214	0	0	33	181
Precinct 9432 - None	197	183	945	468	0	0	88	380
Precinct 9433 - None	70	89	945	195	0	0	36	159
Precinct 9433 - None	180	196	945	487	0	0	111	376
Precinct 9434 - None	116	113	979	261	0	1	31	229
Precinct 9434 - None	171	233	979	481	1	0	76	404
Precinct 9435 - None	95	117	969	251	0	0	39	212
Precinct 9435 - None	176	186	969	448	0	0	86	362
Precinct 9436 - None	85	114	1,006	232	0	0	33	199
Precinct 9436 - None	182	221	1,006	495	0	0	92	403
Precinct 9437 - None	91	97	897	219	0	1	30	188
Precinct 9437 - None	184	167	897	435	0	0	84	351
Precinct 9438 - None	99	67	948	202	0	0	36	166
Precinct 9438 - None	207	213	948	496	0	0	76	420
Precinct 9439 - None	69	80	879	173	0	1	23	149
Precinct 9439 - None	156	192	879	425	0	0	77	348
Precinct 9441 - None	115	111	980	261	0	1	34	226
Precinct 9441 - None	177	205	980	462	0	0	80	382
Precinct 9442 - None	124	122	1,008	280	0	0	34	246
Precinct 9442 - None	163	210	1,008	461	0	0	88	373
Precinct 9443 - None	77	106	937	220	1	1	35	183
Precinct 9443 - None	202	190	937	442	0	1	49	392
Precinct 9444 - None	76	80	937	190	1	0	33	156
Precinct 9444 - None	147	204	937	442	0	0	91	351
Precinct 9445 - None	103	101	981	230	0	1	25	204
Precinct 9445 - None	194	226	981	493	0	0	73	420
Precinct 9446 - None	104	110	1,090	240	0	0	26	214
Precinct 9446 - None	213	249	1,090	564	0	0	102	462
Precinct 9447 - None	111	97	906	236	0	1	27	208
Precinct 9447 - None	171	203	906	448	0	0	74	374
Precinct 9448 - None	99	98	909	232	0	1	34	197
Precinct 9448 - None	163	188	909	429	0	0	78	351
Precinct 9449 - None	72	76	830	177	2	0	27	148
Precinct 9449 - None	170	190	830	428	0	0	68	360
Precinct 9451 - None	30	52	420	97	0	0	15	82
Precinct 9451 - None	78	99	420	218	0	0	41	177
Precinct 9452 - None	118	93	840	259	0	0	48	211
Precinct 9452 - None	147	187	840	412	0	0	78	334
Precinct 9453 - None	57	49	500	135	0	0	29	106
Precinct 9453 - None	92	116	500	244	0	0	36	208
Precinct 9501 MB - None	38	61	148	110	0	0	11	99
Precinct 9502 MB - None	79	87	245	177	0	0	11	166
Precinct 9503/9504 - None	62	117	729	198	0	0	19	179
Precinct 9503/9504 - None	111	170	729	315	0	0	34	281
Precinct 9505 - None	63	102	784	177	0	1	11	165
Precinct 9505 - None	157	183	784	383	0	0	43	340
Precinct 9506 - None	85	78	766	177	0	1	13	163
Precinct 9506 - None	143	138	766	313	0	0	32	281
Precinct 9507 - None	108	109	766	231	0	0	14	217
Precinct 9507 - None	173	197	766	406	0	0	36	370
Precinct 9508 - None	114	96	798	237	0	0	27	210
Precinct 9508 - None	201	205	798	429	0	0	23	406
Precinct 9509 - None	110	105	759	230	0	0	15	215
Precinct 9509 - None	151	198	759	386	0	0	37	349
Precinct 9511 - None	89	85	622	190	0	0	16	174
Precinct 9511 - None	127	142	622	296	0	0	27	269
Precinct 9512 - None	121	102	809	240	0	0	17	223
Precinct 9512 - None	148	210	809	399	0	0	41	358
Precinct 9513 - None	111	138	902	275	0	0	26	249
Precinct 9513 - None	169	188	902	390	0	0	33	357
Precinct 9514/9522 - None	133	133	928	304	0	0	38	266
Precinct 9514/9522 - None	191	220	928	456	0	1	44	411
Precinct 9515 - None	124	82	705	222	0	0	16	206
Precinct 9515 - None	156	160	705	368	0	0	52	316
Precinct 9516 - None	119	110	866	254	0	0	25	229
Precinct 9516 - None	178	200	866	427	0	0	49	378
Precinct 9517 - None	104	94	801	228	0	0	30	198
Precinct 9517 - None	186	171	801	397	0	0	40	357
Precinct 9518 - None	114	100	802	229	0	0	15	214
Precinct 9518 - None	182	195	802	431	0	0	54	377
Precinct 9519 - None	112	119	910	262	0	0	31	231
Precinct 9519 - None	226	223	910	486	0	0	37	449
Precinct 9521 - None	144	145	939	316	0	0	27	289
Precinct 9521 - None	185	219	939	442	0	2	36	404
Precinct 9701 - None	90	89	671	201	0	0	22	179
Precinct 9701 - None	134	143	671	340	0	0	63	277
Precinct 9702 - None	102	91	723	210	0	0	17	193
Precinct 9702 - None	138	176	723	364	0	2	48	314
Precinct 9703 - None	92	107	986	232	0	0	33	199
Precinct 9703 - None	204	258	986	530	0	1	67	462
Precinct 9704 - None	116	133	950	279	0	0	30	249
Precinct 9704 - None	207	226	950	505	0	0	72	433
Precinct 9705 - None	107	117	919	261	3	0	34	224
Precinct 9705 - None	194	223	919	483	0	0	66	417
Precinct 9706 MB - None	12	21	49	39	0	0	6	33
Precinct 9707 - None	61	76	821	173	0	0	36	137
Precinct 9707 - None	185	231	821	491	0	0	75	416
Precinct 9708 - None	103	121	948	250	0	0	26	224
Precinct 9708 - None	191	239	948	500	0	0	70	430
Precinct 9709 - None	106	137	1,028	281	7	0	31	243
Precinct 9709 - None	187	234	1,028	517	0	1	95	421
Precinct 9711 - None	75	99	641	195	0	0	21	174
Precinct 9711 - None	126	159	641	336	0	0	51	285
Precinct 9712 - None	79	63	649	160	0	0	18	142
Precinct 9712 - None	147	195	649	398	1	1	54	342
Precinct 9713 - None	84	105	960	225	1	0	35	189
Precinct 9713 - None	187	208	960	489	0	0	94	395
Precinct 9714 - None	90	84	931	208	1	0	33	174
Precinct 9714 - None	194	247	931	538	0	0	97	441
Precinct 9715 - None	76	75	569	180	0	0	29	151
Precinct 9715 - None	125	131	569	309	0	0	53	256
Precinct 9716 - None	98	111	947	239	0	1	29	209
Precinct 9716 - None	182	238	947	481	0	0	61	420
Precinct 9717 - None	124	108	972	265	0	1	32	232
Precinct 9717 - None	214	261	972	532	0	1	56	475
Precinct 9718 - None	91	110	862	227	0	0	26	201
Precinct 9718 - None	183	243	862	496	0	0	70	426
Precinct 9719 - None	97	112	901	245	0	0	36	209
Precinct 9719 - None	198	254	901	524	2	0	70	452
Precinct 9721 - None	79	93	662	198	0	0	26	172
Precinct 9721 - None	146	160	662	357	0	0	51	306
Precinct 9722 - None	48	52	605	119	1	0	18	100
Precinct 9722 - None	131	169	605	355	0	0	55	300
Precinct 9723 - None	33	45	481	98	0	0	20	78
Precinct 9723 - None	97	126	481	275	0	0	52	223
Precinct 9724 - None	76	96	991	205	0	0	33	172
Precinct 9724 - None	182	259	991	565	0	1	123	441
Precinct 9725 - None	73	98	970	214	0	1	42	171
Precinct 9725 - None	190	219	970	499	0	0	90	409
Precinct 9726 - None	100	135	655	263	0	0	28	235
Precinct 9726 - None	99	114	655	241	0	0	28	213
Precinct 9727 - None	27	45	459	79	0	0	7	72
Precinct 9727 - None	108	111	459	271	0	0	52	219
Precinct 9728 - None	94	94	926	231	0	0	43	188
Precinct 9728 - None	210	209	926	503	0	0	84	419
Precinct 9729 - None	81	78	800	191	0	0	32	159
Precinct 9729 - None	169	202	800	442	0	2	69	371
Precinct 9731 - None	66	76	556	167	0	0	25	142
Precinct 9731 - None	103	143	556	282	0	0	36	246
Precinct 9732 MB - None	31	21	70	56	0	0	4	52
Precinct 9733 MB - None	78	99	235	191	0	0	14	177
Precinct 9734 - None	68	64	603	154	0	0	22	132
Precinct 9734 - None	150	150	603	341	0	0	41	300
Precinct 9735 - None	82	87	809	206	0	0	37	169
Precinct 9735 - None	177	215	809	449	0	0	57	392
Precinct 9736 - None	68	82	713	173	0	0	23	150
Precinct 9736 - None	159	194	713	410	0	0	57	353
Precinct 9737 - None	75	108	818	208	0	0	25	183
Precinct 9737 - None	196	221	818	476	0	2	57	417
Precinct 9738 - None	77	82	848	185	0	0	26	159
Precinct 9738 - None	161	195	848	404	0	0	48	356
Precinct 9739 - None	92	110	828	220	0	0	18	202
Precinct 9739 - None	140	155	828	335	0	0	40	295
Precinct 9741 - None	100	126	552	232	0	0	6	226
Precinct 9741 - None	34	61	552	105	0	0	10	95
Precinct 9742 - None	67	78	677	180	4	0	31	145
Precinct 9742 - None	99	135	677	289	0	0	55	234
Precinct 9743 - None	126	153	1,163	310	0	0	31	279
Precinct 9743 - None	175	271	1,163	501	0	0	55	446
Precinct 9744 - None	86	132	911	247	1	0	28	218
Precinct 9744 - None	143	196	911	391	0	0	52	339
Precinct 9745 - None	102	142	991	282	0	0	38	244
Precinct 9745 - None	146	174	991	346	0	0	26	320
Precinct 9746 - None	104	91	884	232	0	0	37	195
Precinct 9746 - None	163	211	884	452	0	3	75	374
Precinct 9747 - None	116	113	973	246	0	0	17	229
Precinct 9747 - None	209	195	973	470	0	0	66	404
Precinct 9748 - None	100	109	931	229	0	0	20	209
Precinct 9748 - None	173	222	931	475	1	0	79	395
Precinct 9749 - None	96	96	913	225	2	0	31	192
Precinct 9749 - None	175	155	913	384	0	0	54	330
Precinct 9751 - None	99	122	1,016	253	0	0	32	221
Precinct 9751 - None	221	229	1,016	523	0	1	72	450
Precinct 9752 - None	79	77	710	175	3	0	16	156
Precinct 9752 - None	170	168	710	392	0	0	54	338
Precinct 9753 - None	92	76	756	186	0	0	18	168
Precinct 9753 - None	160	185	756	388	0	1	42	345
Precinct 9754 - None	17	25	707	47	0	0	5	42
Precinct 9754 - None	151	178	707	377	0	0	48	329
Precinct 9755 - None	76	81	582	172	0	0	15	157
Precinct 9755 - None	121	141	582	285	2	0	21	262
Precinct 9756 - None	76	81	941	185	0	1	27	157
Precinct 9756 - None	191	202	941	477	0	0	84	393
Precinct 9801 - None	51	41	408	104	0	0	12	92
Precinct 9801 - None	71	93	408	181	0	0	17	164
Congressional District 12	136,635	155,042	443,570	332,491	87	306	40,421	291,677
Congressional District 14	17,098	17,699	56,946	40,357	19	42	5,499	34,797
Assembly District 17	90,912	99,378	291,063	214,827	62	238	24,237	190,290
Assembly District 19	62,821	73,363	209,453	158,021	44	110	21,683	136,184
BART District 7	9,499	12,108	38,460	24,736	3	43	3,083	21,607
BART District 8	65,182	77,491	223,735	166,386	47	112	23,554	142,673
BART District 9	79,052	83,142	238,321	181,726	56	193	19,283	162,194
Supervisorial District 1	13,262	15,090	42,767	32,743	7	14	4,370	28,352
Supervisorial District 2	13,996	21,086	50,394	40,402	1	25	5,294	35,082
Supervisorial District 3	10,990	13,723	39,799	28,571	2	18	3,838	24,713
Supervisorial District 4	12,747	13,802	42,953	31,699	8	20	5,122	26,549
Supervisorial District 5	18,310	19,466	53,744	42,036	5	40	4,215	37,776
Supervisorial District 6	11,502	14,057	43,321	29,158	2	51	3,546	25,559
Supervisorial District 7	14,598	16,980	47,076	36,587	30	23	4,956	31,578
Supervisorial District 8	19,949	24,009	58,122	48,632	31	33	4,610	43,958
Supervisorial District 9	15,784	12,490	42,988	31,769	10	46	3,439	28,274
Supervisorial District 10	10,983	12,176	41,862	26,459	9	34	3,257	23,159
Supervisorial District 11	11,612	9,862	37,490	24,792	1	44	3,273	21,474
Bayview/Hunters Point	4,666	5,078	19,914	11,270	1	21	1,504	9,744
Chinatown	4,767	5,912	17,446	12,440	1	7	1,753	10,679
Civic Center/Downtown	7,772	8,819	28,644	19,045	1	28	2,425	16,591
Diamond Heights	2,313	2,919	7,002	5,802	3	2	565	5,232
Excelsior	8,808	7,129	27,634	18,420	1	36	2,446	15,937
Haight Ashbury	5,464	5,625	14,982	12,240	2	10	1,139	11,089
Ingleside	3,464	3,401	12,118	7,928	2	9	1,052	6,865
Inner Sunset	3,435	3,550	9,734	7,857	0	6	866	6,985
Lake Merced	2,232	2,889	8,390	5,918	1	2	794	5,121
Laurel Heights/Anza Vista	3,066	4,042	10,097	8,010	0	5	897	7,108
Marina Pacific Heights	11,206	16,922	40,622	32,395	5	19	4,243	28,128
Mission	11,666	9,288	31,129	23,295	3	37	2,301	20,954
Noe Valley	5,880	7,105	16,964	14,420	3	4	1,428	12,985
North Bernal Heights	3,425	3,095	8,795	7,263	2	2	739	6,520
North Embarcadero	1,917	2,629	7,019	5,232	0	1	685	4,546
Portola	2,803	2,390	9,293	6,104	2	8	901	5,193
Potrero Hill	5,157	6,615	16,814	13,081	3	14	1,292	11,772
Richmond	11,592	13,027	37,322	28,503	5	13	3,866	24,619
Sea Cliff/Presidio Heights	2,398	3,294	8,050	6,587	1	6	888	5,692
South of Bernal Heights	3,397	3,222	9,419	7,393	6	10	758	6,619
South of Market	6,570	8,363	24,674	17,045	2	25	2,085	14,933
Sunset	12,534	13,616	42,363	31,246	8	20	5,068	26,150
Upper Market/Eureka Valley	6,336	8,431	18,966	16,190	12	11	1,400	14,767
Visitation Valley	1,937	1,833	8,139	4,488	3	7	708	3,770
West of Twin Peaks	11,176	12,838	34,909	27,838	27	18	3,779	24,014
Western Addition	9,752	10,709	30,077	22,838	12	27	2,338	20,461
