Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7041 MB - None	20	8	61	33	0	0	5	28
Precinct 7042 - None	54	49	639	118	0	0	15	103
Precinct 7042 - None	103	116	639	258	0	0	39	219
Precinct 7043 - None	84	69	957	176	0	0	23	153
Precinct 7043 - None	172	182	957	404	0	1	49	354
Precinct 7044 - None	68	64	827	167	0	3	32	132
Precinct 7044 - None	73	99	827	193	0	0	21	172
Precinct 7045 - None	53	38	779	120	0	0	29	91
Precinct 7045 - None	122	162	779	344	0	0	60	284
Precinct 7046 - None	46	35	402	94	0	1	12	81
Precinct 7046 - None	69	70	402	175	0	1	35	139
Precinct 7047 - None	59	44	823	119	0	0	16	103
Precinct 7047 - None	168	175	823	388	0	0	45	343
Precinct 7048 - None	64	62	858	150	3	0	21	126
Precinct 7048 - None	149	134	858	318	0	1	34	283
Precinct 7049 - None	76	62	792	173	0	2	33	138
Precinct 7049 - None	127	114	792	305	0	0	64	241
Precinct 7051 - None	51	42	861	114	0	0	21	93
Precinct 7051 - None	163	126	861	380	0	0	91	289
Precinct 7052 - None	76	63	852	161	0	1	21	139
Precinct 7052 - None	132	201	852	402	0	1	68	333
Precinct 7053 - None	31	58	548	102	0	0	13	89
Precinct 7053 - None	106	139	548	278	0	1	32	245
Precinct 7054 - None	101	96	1,073	215	0	0	18	197
Precinct 7054 - None	180	176	1,073	410	0	0	54	356
Precinct 7055 - None	79	95	808	190	0	0	16	174
Precinct 7055 - None	176	216	808	440	0	0	48	392
Precinct 7101 MB - None	49	58	155	120	1	0	12	107
Precinct 7201 - None	79	130	936	245	0	0	36	209
Precinct 7201 - None	167	288	936	518	0	0	63	455
Precinct 7202 - None	78	123	850	227	0	0	26	201
Precinct 7202 - None	133	241	850	431	0	0	57	374
Precinct 7203 - None	113	154	921	291	1	1	22	267
Precinct 7203 - None	140	229	921	423	0	0	54	369
Precinct 7204 - None	87	121	918	233	0	0	25	208
Precinct 7204 - None	213	261	918	531	0	0	57	474
Precinct 7205 - None	98	118	875	251	0	0	35	216
Precinct 7205 - None	156	265	875	485	0	0	64	421
Precinct 7206 - None	56	69	378	135	0	0	10	125
Precinct 7206 - None	72	96	378	191	0	0	23	168
Precinct 7207 - None	80	93	812	196	0	0	23	173
Precinct 7207 - None	139	238	812	434	0	2	55	377
Precinct 7208 - None	38	60	600	111	0	0	13	98
Precinct 7208 - None	116	172	600	328	0	0	40	288
Precinct 7209 - None	40	56	626	107	0	0	11	96
Precinct 7209 - None	155	204	626	423	0	0	64	359
Precinct 7301 - None	86	108	1,016	228	0	0	34	194
Precinct 7301 - None	157	202	1,016	435	0	1	75	359
Precinct 7302 - None	65	100	814	188	0	0	23	165
Precinct 7302 - None	169	230	814	458	0	0	59	399
Precinct 7303 - None	117	127	1,042	281	0	0	37	244
Precinct 7303 - None	188	235	1,042	482	0	0	59	423
Precinct 7304 - None	113	139	1,002	278	0	0	26	252
Precinct 7304 - None	168	256	1,002	493	0	0	69	424
Precinct 7305 - None	90	125	871	240	0	0	25	215
Precinct 7305 - None	144	246	871	460	0	0	70	390
Precinct 7306 - None	135	148	1,056	317	0	0	34	283
Precinct 7306 - None	174	245	1,056	498	0	0	79	419
Precinct 7307 - None	82	109	767	210	0	0	19	191
Precinct 7307 - None	131	166	767	346	0	0	49	297
Precinct 7308 - None	74	89	603	177	0	0	14	163
Precinct 7308 - None	113	163	603	313	0	0	37	276
Precinct 7309 - None	101	144	884	263	0	0	18	245
Precinct 7309 - None	166	218	884	439	0	1	54	384
Precinct 7311 - None	108	139	917	268	0	0	21	247
Precinct 7311 - None	174	232	917	448	0	0	42	406
Precinct 7312 - None	81	98	821	203	0	0	24	179
Precinct 7312 - None	157	243	821	470	0	0	70	400
Precinct 7313 - None	100	97	968	225	1	0	27	197
Precinct 7313 - None	180	236	968	485	0	0	69	416
Precinct 7314 - None	48	55	787	125	0	0	22	103
Precinct 7314 - None	115	100	787	271	0	0	56	215
Precinct 7315 - None	82	108	760	220	0	0	30	190
Precinct 7315 - None	125	124	760	282	0	1	32	249
Precinct 7316 - None	80	98	853	205	0	0	27	178
Precinct 7316 - None	162	150	853	367	0	0	55	312
Precinct 7317 - None	56	107	904	189	0	0	26	163
Precinct 7317 - None	164	227	904	454	0	0	63	391
Precinct 7318 - None	72	73	727	179	0	0	34	145
Precinct 7318 - None	149	183	727	390	0	0	58	332
Precinct 7319 - None	124	141	1,079	301	0	0	36	265
Precinct 7319 - None	183	253	1,079	516	0	1	79	436
Precinct 7321 - None	58	62	671	149	0	0	29	120
Precinct 7321 - None	118	120	671	286	0	0	48	238
Precinct 7322 - None	26	20	874	65	0	0	19	46
Precinct 7322 - None	134	105	874	337	0	0	98	239
Precinct 7323 - None	86	125	950	234	0	0	23	211
Precinct 7323 - None	162	228	950	455	0	0	65	390
Precinct 7324 - None	72	97	755	190	0	0	21	169
Precinct 7324 - None	114	196	755	364	0	2	52	310
Precinct 7325 - None	90	124	904	243	0	0	29	214
Precinct 7325 - None	164	214	904	436	0	0	58	378
Precinct 7326 - None	80	108	876	200	0	0	12	188
Precinct 7326 - None	161	201	876	430	0	0	68	362
Precinct 7327 - None	27	28	699	71	0	0	16	55
Precinct 7327 - None	120	100	699	276	0	0	56	220
Precinct 7328 - None	32	33	973	94	0	0	29	65
Precinct 7328 - None	176	124	973	394	0	0	94	300
Precinct 7329 - None	48	53	640	112	0	0	11	101
Precinct 7329 - None	122	132	640	321	0	1	66	254
Precinct 7331 - None	91	92	852	213	0	1	29	183
Precinct 7331 - None	148	243	852	461	0	0	70	391
Precinct 7332 - None	100	100	834	225	0	0	25	200
Precinct 7332 - None	146	178	834	364	0	0	40	324
Precinct 7333 - None	107	156	1,044	298	0	0	35	263
Precinct 7333 - None	193	283	1,044	543	0	1	66	476
Precinct 7334 - None	77	93	881	199	0	1	28	170
Precinct 7334 - None	181	216	881	462	0	0	65	397
Precinct 7335 - None	92	108	970	225	0	0	25	200
Precinct 7335 - None	187	261	970	523	0	1	74	448
Precinct 7336 - None	94	114	955	238	0	0	30	208
Precinct 7336 - None	173	274	955	523	0	0	76	447
Precinct 7337 - None	68	85	851	179	0	0	26	153
Precinct 7337 - None	192	206	851	464	0	0	66	398
Precinct 7338 - None	66	71	915	153	0	0	16	137
Precinct 7338 - None	141	183	915	426	0	1	101	324
Precinct 7339 - None	73	80	669	174	0	0	21	153
Precinct 7339 - None	127	144	669	309	0	0	38	271
Precinct 7341 - None	115	115	908	260	0	0	30	230
Precinct 7341 - None	152	204	908	401	0	0	45	356
Precinct 7342 - None	140	157	947	334	0	0	37	297
Precinct 7342 - None	170	187	947	414	0	0	57	357
Precinct 7343 - None	102	112	731	234	0	0	20	214
