Subtotal Area	CARMEN CHU	PAUL BELLAR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9107 - Vote By Mail	235	89	849	372	3	0	44	0	325	1
Precinct 9108 - Election Day	145	66	790	247	0	1	35	0	211	0
Precinct 9108 - Vote By Mail	239	90	790	373	10	0	34	0	329	0
Precinct 9109 - Election Day	158	51	884	263	1	0	52	0	210	1
Precinct 9109 - Vote By Mail	289	71	884	428	5	0	62	0	361	1
Precinct 9111 - Election Day	131	57	779	229	0	0	41	0	188	0
Precinct 9111 - Vote By Mail	223	73	779	346	5	0	44	0	297	1
Precinct 9112 - Election Day	163	74	976	284	-1	0	46	0	239	2
Precinct 9112 - Vote By Mail	312	84	976	467	12	0	59	0	396	0
Precinct 9113 - Election Day	189	69	999	311	2	0	50	0	259	1
Precinct 9113 - Vote By Mail	344	88	999	505	13	0	57	0	435	3
Precinct 9114 - Election Day	149	64	877	263	0	0	50	0	213	0
Precinct 9114 - Vote By Mail	264	92	877	405	5	0	43	0	357	1
Precinct 9115 - Election Day	144	68	911	258	3	0	42	0	213	1
Precinct 9115 - Vote By Mail	266	100	911	429	4	0	57	0	368	2
Precinct 9116 - Election Day	146	95	944	281	2	0	38	0	241	0
Precinct 9116 - Vote By Mail	290	105	944	473	12	0	66	0	395	0
Precinct 9117 - Election Day	143	40	783	222	0	1	37	0	184	1
Precinct 9117 - Vote By Mail	286	69	783	398	3	0	39	0	356	1
Precinct 9118 - Election Day	146	76	974	286	-1	0	64	0	223	1
Precinct 9118 - Vote By Mail	275	89	974	426	9	0	52	0	365	1
Precinct 9119 - Election Day	142	44	891	237	0	1	50	0	186	0
Precinct 9119 - Vote By Mail	282	101	891	447	14	0	49	0	384	1
Precinct 9121 - Election Day	155	60	930	256	-1	0	40	0	217	2
Precinct 9121 - Vote By Mail	308	80	930	434	6	0	38	0	390	2
Precinct 9122 - Election Day	122	40	953	210	1	0	47	0	162	0
Precinct 9122 - Vote By Mail	304	79	953	454	11	0	60	0	383	0
Precinct 9123 - Election Day	148	54	858	232	0	0	29	0	203	1
Precinct 9123 - Vote By Mail	282	87	858	418	10	1	37	0	370	1
Precinct 9124 - Election Day	131	37	874	202	0	0	30	0	172	4
Precinct 9124 - Vote By Mail	283	90	874	438	7	1	56	0	374	1
Precinct 9125 - Election Day	145	35	861	210	1	0	29	0	180	0
Precinct 9125 - Vote By Mail	296	87	861	437	11	1	41	0	384	1
Precinct 9126 - Election Day	146	66	1,015	245	-2	0	35	0	212	0
Precinct 9126 - Vote By Mail	378	91	1,015	533	7	0	56	0	470	1
Precinct 9127 - Election Day	156	62	960	269	-1	0	51	0	219	1
Precinct 9127 - Vote By Mail	323	100	960	498	10	0	64	0	424	1
Precinct 9128 - Election Day	143	56	828	248	-1	0	50	0	199	0
Precinct 9128 - Vote By Mail	287	67	828	412	7	0	50	0	355	1
Precinct 9129 - Election Day	143	56	741	243	1	0	42	0	200	1
Precinct 9129 - Vote By Mail	262	53	741	348	3	0	29	0	316	1
Precinct 9131 - Election Day	115	36	759	193	13	0	28	0	152	1
Precinct 9131 - Vote By Mail	271	77	759	403	6	0	48	0	349	1
Precinct 9132 - Election Day	119	75	837	248	0	0	52	0	196	2
Precinct 9132 - Vote By Mail	225	98	837	371	4	0	43	0	324	1
Precinct 9133 - Election Day	164	58	1,021	271	1	1	46	0	223	1
Precinct 9133 - Vote By Mail	336	102	1,021	503	7	1	57	0	438	0
Precinct 9134 - Election Day	115	45	893	210	0	0	49	0	161	1
Precinct 9134 - Vote By Mail	323	86	893	469	12	0	46	0	411	2
Precinct 9135 - Election Day	108	61	808	215	1	1	44	0	169	0
Precinct 9135 - Vote By Mail	240	75	808	389	10	1	63	0	315	0
Precinct 9136 - Election Day	142	62	929	253	2	0	47	0	204	0
Precinct 9136 - Vote By Mail	307	68	929	439	10	2	52	0	375	0
Precinct 9137 - Election Day	152	67	1,006	260	0	0	39	0	221	2
Precinct 9137 - Vote By Mail	309	95	1,006	467	6	0	54	0	407	3
Precinct 9138 - Election Day	132	53	943	226	3	0	38	0	185	0
Precinct 9138 - Vote By Mail	352	77	943	477	3	0	44	0	430	1
Precinct 9139 - Election Day	141	46	975	243	3	0	52	0	188	1
Precinct 9139 - Vote By Mail	343	105	975	510	10	0	51	0	449	1
Precinct 9141 - Election Day	159	56	953	252	-1	0	38	0	215	0
Precinct 9141 - Vote By Mail	338	77	953	477	10	0	51	0	416	1
Precinct 9142 - Election Day	173	60	966	276	0	1	42	0	233	0
Precinct 9142 - Vote By Mail	325	85	966	459	4	1	43	0	411	1
Precinct 9143 - Election Day	152	52	920	251	13	0	31	0	207	3
Precinct 9143 - Vote By Mail	313	90	920	463	11	0	49	0	403	0
Precinct 9144 - Election Day	183	71	962	293	1	0	38	0	254	0
Precinct 9144 - Vote By Mail	308	107	962	482	13	0	53	0	416	1
Precinct 9145 - Election Day	149	61	861	249	1	0	36	0	212	2
Precinct 9145 - Vote By Mail	285	72	861	423	8	1	55	0	359	2
Precinct 9146 - Election Day	141	62	885	245	0	0	42	0	203	0
Precinct 9146 - Vote By Mail	286	107	885	464	10	0	61	0	393	0
Precinct 9147 - Election Day	165	63	971	281	0	0	51	0	230	2
Precinct 9147 - Vote By Mail	323	110	971	492	4	1	53	0	434	1
Precinct 9148 - Election Day	207	69	1,034	325	8	0	40	0	277	1
Precinct 9148 - Vote By Mail	335	105	1,034	513	10	0	63	0	440	0
Precinct 9149 - Election Day	142	71	948	264	0	0	49	0	215	2
Precinct 9149 - Vote By Mail	307	109	948	478	10	1	51	0	416	0
Precinct 9151 - Election Day	135	49	872	227	0	0	41	0	186	2
Precinct 9151 - Vote By Mail	284	70	872	418	9	0	54	0	355	1
Precinct 9152 - Election Day	163	62	721	270	-3	0	48	0	225	0
Precinct 9152 - Vote By Mail	177	60	721	279	4	0	36	0	239	2
Precinct 9201 - Election Day	153	80	1,004	300	0	0	67	0	233	0
Precinct 9201 - Vote By Mail	269	133	1,004	475	3	0	69	0	403	1
Precinct 9202 - Election Day	155	69	971	294	6	0	63	0	225	1
Precinct 9202 - Vote By Mail	260	89	971	426	1	0	75	0	350	1
Precinct 9203 - Election Day	108	53	1,002	239	-1	0	79	0	161	0
Precinct 9203 - Vote By Mail	302	107	1,002	536	12	1	113	0	410	1
Precinct 9204 - Election Day	132	57	873	273	17	0	67	0	189	0
Precinct 9204 - Vote By Mail	228	75	873	393	4	0	84	0	305	2
Precinct 9205 - Election Day	109	39	728	208	-1	0	60	0	149	1
Precinct 9205 - Vote By Mail	222	69	728	376	9	0	75	0	292	1
Precinct 9206 - Election Day	120	56	931	249	3	0	69	0	177	1
Precinct 9206 - Vote By Mail	279	84	931	479	9	1	102	0	367	4
Precinct 9207 - Election Day	126	54	981	262	1	0	75	0	186	6
Precinct 9207 - Vote By Mail	302	80	981	502	11	0	109	0	382	0
Precinct 9208 - Election Day	135	68	1,002	287	0	2	81	0	204	1
Precinct 9208 - Vote By Mail	277	100	1,002	491	8	3	103	0	377	0
Precinct 9209 - Election Day	137	51	711	245	1	0	56	0	188	0
Precinct 9209 - Vote By Mail	199	53	711	327	8	0	66	0	253	1
Precinct 9211 - Election Day	111	54	889	234	0	0	68	0	166	1
Precinct 9211 - Vote By Mail	228	99	889	432	5	0	100	0	327	0
Precinct 9212 - Election Day	113	60	803	234	0	0	61	0	173	0
Precinct 9212 - Vote By Mail	236	75	803	400	8	0	79	0	313	2
Precinct 9213 - Election Day	130	72	951	264	1	0	61	0	202	0
Precinct 9213 - Vote By Mail	304	76	951	508	14	1	112	0	381	1
Precinct 9214 - Election Day	84	39	640	166	0	0	42	0	124	1
Precinct 9214 - Vote By Mail	208	63	640	334	2	0	60	0	272	1
Precinct 9215 - Election Day	103	44	652	194	3	0	44	0	147	0
Precinct 9215 - Vote By Mail	200	44	652	327	5	1	76	0	245	1
Precinct 9216 - Election Day	130	51	845	246	0	0	65	0	181	0
Precinct 9216 - Vote By Mail	227	63	845	379	3	0	85	0	291	1
Precinct 9217 - Election Day	93	52	698	194	0	1	48	0	145	0
Precinct 9217 - Vote By Mail	212	65	698	349	6	0	65	0	278	1
Precinct 9218 - Election Day	131	48	841	249	1	0	69	0	179	0
Precinct 9218 - Vote By Mail	231	85	841	412	8	1	85	0	318	2
Precinct 9219 - Election Day	125	66	802	242	-2	0	52	0	192	1
Precinct 9219 - Vote By Mail	241	75	802	399	9	0	74	0	316	0
Precinct 9221 - Election Day	96	13	651	145	0	0	36	0	109	0
Precinct 9221 - Vote By Mail	278	47	651	399	4	0	70	0	325	0
Precinct 9222 - Election Day	121	53	883	249	11	0	64	0	174	0
Precinct 9222 - Vote By Mail	283	63	883	449	9	0	94	0	346	0
Precinct 9223 - Election Day	80	42	638	160	0	0	37	0	123	1
Precinct 9223 - Vote By Mail	197	56	638	338	7	1	77	0	253	0
Precinct 9224 - Election Day	155	47	960	263	2	1	58	0	202	0
Precinct 9224 - Vote By Mail	312	76	960	506	18	0	98	0	390	2
Precinct 9225 - Election Day	148	72	958	299	0	0	79	0	220	0
Precinct 9225 - Vote By Mail	268	89	958	469	5	0	104	0	360	3
Precinct 9226 - Election Day	153	54	926	271	1	0	62	0	208	1
Precinct 9226 - Vote By Mail	299	67	926	486	8	3	106	0	369	3
Precinct 9227 - Election Day	124	30	738	188	1	0	33	0	154	0
Precinct 9227 - Vote By Mail	278	57	738	404	8	2	58	0	336	1
Precinct 9228 - Election Day	107	37	747	189	0	0	45	0	144	0
Precinct 9228 - Vote By Mail	291	71	747	424	4	1	53	0	366	4
Precinct 9229 - Election Day	96	18	598	162	0	0	47	0	115	1
Precinct 9229 - Vote By Mail	218	47	598	316	4	1	44	0	267	2
Precinct 9231 - Election Day	192	51	953	313	4	0	65	0	244	1
Precinct 9231 - Vote By Mail	338	67	953	488	3	0	78	0	407	2
Precinct 9232 - Election Day	109	44	735	212	0	1	58	0	153	0
Precinct 9232 - Vote By Mail	269	71	735	396	2	0	54	0	340	0
Precinct 9233 - Election Day	117	44	793	209	0	1	47	0	161	0
Precinct 9233 - Vote By Mail	265	74	793	434	6	0	89	0	339	0
Precinct 9234 - Election Day	107	34	746	187	0	0	46	0	141	0
Precinct 9234 - Vote By Mail	283	62	746	438	13	0	80	0	345	0
Precinct 9235 - Election Day	156	44	884	239	0	1	38	0	200	0
Precinct 9235 - Vote By Mail	313	63	884	488	7	2	103	0	376	0
Precinct 9236 - Election Day	107	37	683	201	0	0	56	0	145	1
Precinct 9236 - Vote By Mail	233	47	683	358	8	0	69	0	281	1
Precinct 9237 - Election Day	125	34	936	229	5	0	65	0	159	0
Precinct 9237 - Vote By Mail	346	76	936	539	4	0	113	0	422	0
Precinct 9238 - Election Day	108	53	842	230	21	1	46	0	162	1
Precinct 9238 - Vote By Mail	267	98	842	456	5	1	83	0	367	2
Precinct 9239 - Election Day	99	42	881	200	7	0	51	0	142	1
Precinct 9239 - Vote By Mail	309	75	881	499	9	1	105	0	384	0
Precinct 9241 - Election Day	137	48	1,005	255	2	0	68	0	185	0
Precinct 9241 - Vote By Mail	371	95	1,005	578	11	2	98	0	467	1
Precinct 9242 - Election Day	148	64	972	277	2	0	63	0	212	0
Precinct 9242 - Vote By Mail	327	90	972	513	9	1	86	0	417	0
Precinct 9243 - Election Day	103	44	594	193	0	0	46	0	147	0
Precinct 9243 - Vote By Mail	202	50	594	307	0	2	53	0	252	0
Precinct 9244 - Election Day	154	35	903	255	1	0	63	0	191	2
Precinct 9244 - Vote By Mail	296	77	903	485	6	1	103	0	375	2
Precinct 9245 - Election Day	116	35	742	209	1	0	56	0	152	1
Precinct 9245 - Vote By Mail	248	60	742	375	7	0	59	0	309	1
Precinct 9246 - Election Day	139	45	929	257	0	0	72	0	185	1
Precinct 9246 - Vote By Mail	320	79	929	528	10	1	117	0	400	1
Precinct 9247 - Election Day	127	72	927	264	1	0	62	0	201	2
Precinct 9247 - Vote By Mail	320	103	927	515	6	0	83	0	426	3
Precinct 9248 - Election Day	139	64	907	258	1	0	54	0	203	0
Precinct 9248 - Vote By Mail	301	79	907	487	5	1	100	0	381	1
Precinct 9249 - Election Day	149	61	917	271	0	0	61	0	210	0
Precinct 9249 - Vote By Mail	320	86	917	495	12	0	77	0	406	0
Precinct 9251 - Election Day	169	54	995	287	-1	0	65	0	223	0
Precinct 9251 - Vote By Mail	338	87	995	530	13	3	89	0	425	0
Precinct 9252 - Election Day	129	49	944	219	0	0	41	0	178	0
Precinct 9252 - Vote By Mail	359	108	944	550	9	0	73	0	468	1
Precinct 9253 - Election Day	108	42	772	187	1	0	36	0	150	0
Precinct 9253 - Vote By Mail	251	82	772	397	0	0	62	0	335	2
Precinct 9254 - Election Day	140	48	935	230	0	0	42	0	188	0
Precinct 9254 - Vote By Mail	358	83	935	538	2	1	92	0	443	2
Precinct 9255 - Election Day	99	47	553	183	1	0	36	0	146	0
Precinct 9255 - Vote By Mail	156	52	553	263	6	0	48	0	209	1
Precinct 9256 - Election Day	82	29	474	130	0	0	19	0	111	0
Precinct 9256 - Vote By Mail	143	49	474	233	0	0	41	0	192	0
Precinct 9257 MB - Vote By Mail	130	69	321	235	4	0	32	0	199	0
Precinct 9258 - Election Day	117	43	712	193	0	0	32	0	161	1
Precinct 9258 - Vote By Mail	230	84	712	373	3	0	56	0	314	0
Precinct 9401 - Election Day	159	85	1,012	293	-1	0	49	0	245	1
Precinct 9401 - Vote By Mail	255	163	1,012	484	2	0	60	0	422	4
Precinct 9402 - Election Day	163	72	977	290	0	0	55	0	235	0
Precinct 9402 - Vote By Mail	283	109	977	458	3	0	63	0	392	0
Precinct 9403 - Election Day	132	71	897	240	2	0	35	0	203	0
Precinct 9403 - Vote By Mail	264	109	897	419	4	1	40	0	374	1
Precinct 9404 - Election Day	103	62	930	200	0	0	35	0	165	0
Precinct 9404 - Vote By Mail	297	112	930	462	4	0	48	0	410	1
Precinct 9405 - Election Day	131	48	786	210	8	1	19	0	182	3
Precinct 9405 - Vote By Mail	245	70	786	364	6	0	42	0	316	1
Precinct 9406 - Election Day	137	74	868	244	-1	1	32	0	212	1
Precinct 9406 - Vote By Mail	264	103	868	421	10	0	43	0	368	1
Precinct 9407 - Election Day	144	68	889	253	0	0	41	0	212	0
Precinct 9407 - Vote By Mail	260	98	889	409	1	0	48	0	360	2
Precinct 9408 - Election Day	125	104	886	265	1	0	35	0	229	0
Precinct 9408 - Vote By Mail	229	123	886	415	7	0	53	0	355	3
Precinct 9409 - Election Day	110	59	590	201	-1	0	33	0	169	0
Precinct 9409 - Vote By Mail	149	61	590	252	4	0	38	0	210	0
Precinct 9411 - Election Day	122	97	956	271	2	0	50	0	219	0
Precinct 9411 - Vote By Mail	255	121	956	431	12	0	41	0	378	2
Precinct 9412 - Election Day	140	73	848	245	0	0	31	0	214	1
Precinct 9412 - Vote By Mail	245	73	848	380	1	0	60	0	319	1
Precinct 9413 - Election Day	130	66	894	229	-8	0	41	0	196	0
Precinct 9413 - Vote By Mail	294	107	894	461	5	1	53	0	402	1
Precinct 9414 - Election Day	130	51	916	216	0	0	35	0	181	0
Precinct 9414 - Vote By Mail	310	98	916	463	4	0	50	0	409	1
Precinct 9415 - Election Day	100	47	784	187	2	0	37	0	148	1
Precinct 9415 - Vote By Mail	270	85	784	392	7	0	29	0	356	1
Precinct 9416 - Election Day	164	62	1,008	282	12	0	42	0	228	2
Precinct 9416 - Vote By Mail	339	88	1,008	480	1	1	51	0	427	0
Precinct 9417 - Election Day	109	44	752	175	-1	1	22	0	153	0
Precinct 9417 - Vote By Mail	280	82	752	402	4	0	34	0	364	2
Precinct 9418 - Election Day	129	58	790	211	0	0	24	0	187	0
Precinct 9418 - Vote By Mail	255	64	790	376	10	0	45	0	321	2
Precinct 9419 - Election Day	132	56	924	222	2	0	32	0	188	0
Precinct 9419 - Vote By Mail	314	89	924	468	7	0	57	0	404	1
Precinct 9421 - Election Day	137	56	906	238	1	0	43	0	194	1
Precinct 9421 - Vote By Mail	328	65	906	446	-6	0	56	0	396	3
Precinct 9422 - Election Day	164	74	1,056	283	2	0	42	0	239	1
Precinct 9422 - Vote By Mail	333	120	1,056	513	8	1	51	0	453	0
Precinct 9423 - Election Day	131	55	889	219	1	1	31	0	186	0
Precinct 9423 - Vote By Mail	305	85	889	440	2	1	47	0	390	0
Precinct 9424 - Election Day	131	65	952	224	1	0	24	0	199	3
Precinct 9424 - Vote By Mail	364	90	952	496	6	0	36	0	454	0
Precinct 9425 - Election Day	115	50	933	199	0	0	34	0	165	0
Precinct 9425 - Vote By Mail	327	97	933	465	-1	0	41	0	425	1
Precinct 9426 - Election Day	113	48	823	198	0	0	37	0	161	0
Precinct 9426 - Vote By Mail	281	76	823	408	11	0	38	0	359	2
Precinct 9427 - Election Day	134	44	948	210	5	0	27	0	178	0
Precinct 9427 - Vote By Mail	312	86	948	447	9	0	38	0	400	2
Precinct 9428 - Election Day	80	59	961	183	2	0	40	0	141	2
Precinct 9428 - Vote By Mail	366	93	961	518	4	1	52	0	461	2
Precinct 9429 - Election Day	141	51	899	228	3	0	32	0	193	1
Precinct 9429 - Vote By Mail	287	94	899	432	6	0	42	0	384	3
Precinct 9431 - Election Day	142	53	973	235	22	0	18	0	195	0
Precinct 9431 - Vote By Mail	344	70	973	464	0	0	49	0	415	1
Precinct 9432 - Election Day	139	40	945	214	2	0	31	0	181	2
Precinct 9432 - Vote By Mail	332	71	945	468	9	1	52	0	406	3
Precinct 9433 - Election Day	115	45	945	195	-1	0	34	0	162	2
Precinct 9433 - Vote By Mail	329	82	945	487	8	2	63	0	414	3
Precinct 9434 - Election Day	151	67	979	261	1	1	41	0	218	0
Precinct 9434 - Vote By Mail	341	87	979	481	5	0	47	0	429	1
Precinct 9435 - Election Day	141	71	969	251	0	0	39	0	212	0
Precinct 9435 - Vote By Mail	322	70	969	448	6	0	47	0	395	3
Precinct 9436 - Election Day	149	46	1,006	232	0	0	36	0	196	1
Precinct 9436 - Vote By Mail	350	95	1,006	495	4	1	38	0	452	7
Precinct 9437 - Election Day	155	43	897	219	-2	0	21	0	200	2
Precinct 9437 - Vote By Mail	320	76	897	435	4	0	33	0	398	2
Precinct 9438 - Election Day	127	52	948	202	1	0	21	0	180	1
Precinct 9438 - Vote By Mail	380	75	948	496	1	1	39	0	455	0
Precinct 9439 - Election Day	105	36	879	173	0	0	32	0	141	0
Precinct 9439 - Vote By Mail	313	78	879	425	2	0	31	0	392	1
Precinct 9441 - Election Day	155	68	980	261	0	0	37	0	224	1
Precinct 9441 - Vote By Mail	293	109	980	462	2	2	54	0	404	2
Precinct 9442 - Election Day	168	68	1,008	280	5	1	36	0	238	2
Precinct 9442 - Vote By Mail	304	95	1,008	461	3	0	56	0	402	3
Precinct 9443 - Election Day	121	64	937	220	-2	0	36	0	186	1
Precinct 9443 - Vote By Mail	313	95	937	442	0	0	30	0	412	4
Precinct 9444 - Election Day	109	38	937	190	3	0	39	0	148	1
Precinct 9444 - Vote By Mail	323	66	937	442	6	1	38	0	397	8
Precinct 9445 - Election Day	127	70	981	230	0	0	29	0	201	4
Precinct 9445 - Vote By Mail	331	108	981	493	0	2	50	0	441	2
Precinct 9446 - Election Day	143	58	1,090	240	1	0	38	0	201	0
Precinct 9446 - Vote By Mail	407	111	1,090	564	9	1	35	0	519	1
Precinct 9447 - Election Day	149	62	906	236	0	0	25	0	211	0
Precinct 9447 - Vote By Mail	341	78	906	448	3	1	22	0	422	3
Precinct 9448 - Election Day	129	71	909	232	1	0	30	0	201	1
Precinct 9448 - Vote By Mail	279	100	909	429	6	0	43	0	380	1
Precinct 9449 - Election Day	93	49	830	177	6	1	28	0	142	0
Precinct 9449 - Vote By Mail	322	64	830	428	8	3	31	0	386	0
Precinct 9451 - Election Day	68	18	420	97	0	0	11	0	86	0
Precinct 9451 - Vote By Mail	144	46	420	218	2	0	23	0	193	3
Precinct 9452 - Election Day	156	59	840	259	1	1	42	0	215	0
Precinct 9452 - Vote By Mail	286	79	840	412	6	0	41	0	365	0
Precinct 9453 - Election Day	83	29	500	135	-1	0	24	0	112	0
Precinct 9453 - Vote By Mail	164	42	500	244	3	0	31	0	210	4
Precinct 9501 MB - Vote By Mail	67	22	148	110	1	0	20	0	89	0
Precinct 9502 MB - Vote By Mail	124	37	245	177	2	0	14	0	161	0
Precinct 9503/9504 - Election Day	121	40	729	198	0	0	35	0	163	2
Precinct 9503/9504 - Vote By Mail	198	64	729	315	10	2	40	0	263	1
Precinct 9505 - Election Day	116	33	784	177	1	0	26	0	150	1
Precinct 9505 - Vote By Mail	253	71	784	383	13	0	46	0	324	0
Precinct 9506 - Election Day	113	36	766	177	1	0	26	0	150	1
Precinct 9506 - Vote By Mail	202	66	766	313	0	1	41	0	271	3
Precinct 9507 - Election Day	133	53	766	231	30	0	15	0	186	0
Precinct 9507 - Vote By Mail	240	95	766	406	7	0	64	0	335	0
Precinct 9508 - Election Day	123	71	798	237	2	0	40	0	195	1
Precinct 9508 - Vote By Mail	268	95	798	429	7	0	57	0	365	2
Precinct 9509 - Election Day	116	62	759	230	-1	0	51	0	180	2
Precinct 9509 - Vote By Mail	244	93	759	386	6	0	43	0	337	0
Precinct 9511 - Election Day	97	56	622	190	0	0	35	0	155	2
Precinct 9511 - Vote By Mail	155	90	622	296	5	0	45	0	246	1
Precinct 9512 - Election Day	124	78	809	240	2	0	35	0	203	1
Precinct 9512 - Vote By Mail	242	92	809	399	4	0	60	0	335	1
Precinct 9513 - Election Day	155	78	902	275	-1	0	40	0	236	3
Precinct 9513 - Vote By Mail	224	107	902	390	13	0	45	0	332	1
Precinct 9514/9522 - Election Day	174	68	928	304	3	0	59	0	242	0
Precinct 9514/9522 - Vote By Mail	296	85	928	456	14	0	60	0	382	1
Precinct 9515 - Election Day	126	56	705	222	1	0	39	0	182	0
Precinct 9515 - Vote By Mail	236	80	705	368	3	0	46	0	319	3
Precinct 9516 - Election Day	142	69	866	254	-1	0	43	0	212	1
Precinct 9516 - Vote By Mail	264	103	866	427	8	2	49	0	368	1
Precinct 9517 - Election Day	120	64	801	228	1	1	40	0	186	2
Precinct 9517 - Vote By Mail	253	84	801	397	14	1	45	0	337	0
Precinct 9518 - Election Day	124	71	802	229	0	0	33	0	196	1
Precinct 9518 - Vote By Mail	263	98	802	431	7	1	62	0	361	0
Precinct 9519 - Election Day	148	68	910	262	0	0	46	0	216	0
Precinct 9519 - Vote By Mail	311	112	910	486	2	0	61	0	423	0
Precinct 9521 - Election Day	187	75	939	316	0	0	52	0	264	2
Precinct 9521 - Vote By Mail	292	79	939	442	6	0	65	0	371	0
Precinct 9701 - Election Day	130	41	671	201	-1	0	30	0	172	1
Precinct 9701 - Vote By Mail	225	57	671	340	8	0	50	0	282	0
Precinct 9702 - Election Day	119	48	723	210	0	0	43	0	167	0
Precinct 9702 - Vote By Mail	235	80	723	364	6	0	43	0	315	0
Precinct 9703 - Election Day	161	44	986	232	0	0	27	0	205	0
Precinct 9703 - Vote By Mail	388	90	986	530	4	1	46	0	479	1
Precinct 9704 - Election Day	179	57	950	279	0	0	41	0	238	2
Precinct 9704 - Vote By Mail	348	80	950	505	6	0	70	0	429	1
Precinct 9705 - Election Day	160	50	919	261	5	0	45	0	211	1
Precinct 9705 - Vote By Mail	340	79	919	483	4	0	60	0	419	0
Precinct 9706 MB - Vote By Mail	27	6	49	39	-1	0	7	0	33	0
Precinct 9707 - Election Day	112	25	821	173	1	0	35	0	137	0
Precinct 9707 - Vote By Mail	360	73	821	491	14	0	39	0	438	5
Precinct 9708 - Election Day	152	57	948	250	1	0	40	0	209	0
Precinct 9708 - Vote By Mail	350	85	948	500	7	0	55	0	438	3
Precinct 9709 - Election Day	179	54	1,028	281	7	0	41	0	233	0
Precinct 9709 - Vote By Mail	383	67	1,028	517	5	0	61	0	451	1
Precinct 9711 - Election Day	129	33	641	195	1	0	30	0	164	2
Precinct 9711 - Vote By Mail	255	44	641	336	3	0	34	0	299	0
Precinct 9712 - Election Day	114	19	649	160	15	0	9	0	136	3
Precinct 9712 - Vote By Mail	276	57	649	398	10	1	54	0	333	0
Precinct 9713 - Election Day	144	39	960	225	2	0	38	0	185	2
Precinct 9713 - Vote By Mail	350	86	960	489	7	1	44	0	437	1
Precinct 9714 - Election Day	133	43	931	208	2	0	30	0	176	0
Precinct 9714 - Vote By Mail	409	56	931	538	19	1	51	0	467	2
Precinct 9715 - Election Day	124	37	569	180	0	0	19	0	161	0
Precinct 9715 - Vote By Mail	215	46	569	309	3	1	43	0	262	1
Precinct 9716 - Election Day	158	57	947	239	0	1	23	0	215	0
Precinct 9716 - Vote By Mail	358	73	947	481	9	0	41	0	431	0
Precinct 9717 - Election Day	167	70	972	265	0	1	27	0	237	0
Precinct 9717 - Vote By Mail	379	93	972	532	9	0	49	0	474	2
Precinct 9718 - Election Day	151	47	862	227	0	0	28	0	199	1
Precinct 9718 - Vote By Mail	365	73	862	496	13	0	45	0	438	0
Precinct 9719 - Election Day	159	46	901	245	0	1	39	0	205	0
Precinct 9719 - Vote By Mail	374	80	901	524	12	0	57	0	455	1
Precinct 9721 - Election Day	145	24	662	198	0	0	28	0	170	1
Precinct 9721 - Vote By Mail	266	58	662	357	8	0	23	0	326	2
Precinct 9722 - Election Day	80	17	605	119	1	0	20	0	98	1
Precinct 9722 - Vote By Mail	262	56	605	355	1	0	36	0	318	0
Precinct 9723 - Election Day	65	15	481	98	0	0	17	0	81	1
Precinct 9723 - Vote By Mail	208	38	481	275	5	0	23	0	247	1
Precinct 9724 - Election Day	145	32	991	205	1	0	27	0	177	0
Precinct 9724 - Vote By Mail	444	68	991	565	8	1	43	0	513	1
Precinct 9725 - Election Day	132	49	970	214	0	1	31	0	182	1
Precinct 9725 - Vote By Mail	364	79	970	499	8	0	47	0	444	1
Precinct 9726 - Election Day	173	54	655	263	5	0	31	0	227	0
Precinct 9726 - Vote By Mail	180	40	655	241	-2	0	22	0	221	1
Precinct 9727 - Election Day	58	15	459	79	1	0	5	0	73	0
Precinct 9727 - Vote By Mail	184	49	459	271	10	0	26	0	235	2
Precinct 9728 - Election Day	152	40	926	231	-1	0	39	0	193	1
Precinct 9728 - Vote By Mail	381	62	926	503	11	2	46	0	444	1
Precinct 9729 - Election Day	115	39	800	191	2	0	34	0	155	1
Precinct 9729 - Vote By Mail	336	39	800	442	13	0	52	0	377	2
Precinct 9731 - Election Day	109	27	556	167	0	0	31	0	136	0
Precinct 9731 - Vote By Mail	192	42	556	282	6	0	37	0	239	5
Precinct 9732 MB - Vote By Mail	42	9	70	56	2	0	3	0	51	0
Precinct 9733 MB - Vote By Mail	142	35	235	191	5	0	9	0	177	0
Precinct 9734 - Election Day	110	21	603	154	1	1	21	0	131	0
Precinct 9734 - Vote By Mail	267	38	603	341	0	0	35	0	306	1
Precinct 9735 - Election Day	122	35	809	206	-1	1	47	0	159	2
Precinct 9735 - Vote By Mail	347	50	809	449	7	0	42	0	400	3
Precinct 9736 - Election Day	109	30	713	173	0	0	32	0	141	2
Precinct 9736 - Vote By Mail	298	61	713	410	10	0	40	0	360	1
Precinct 9737 - Election Day	138	29	818	208	4	0	35	0	169	2
Precinct 9737 - Vote By Mail	339	67	818	476	10	3	55	0	408	2
Precinct 9738 - Election Day	106	46	848	185	0	0	31	0	154	2
Precinct 9738 - Vote By Mail	282	73	848	404	3	0	42	0	359	4
Precinct 9739 - Election Day	128	63	828	220	2	0	25	0	193	2
Precinct 9739 - Vote By Mail	199	91	828	335	4	0	40	0	291	1
Precinct 9741 - Election Day	136	57	552	232	1	0	37	0	194	1
Precinct 9741 - Vote By Mail	78	15	552	105	2	0	10	0	93	0
Precinct 9742 - Election Day	125	29	677	180	4	0	22	0	154	0
