Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9433 - None	138	39	945	195	0	0	18	177
Precinct 9433 - None	335	92	945	487	0	0	60	427
Precinct 9434 - None	199	35	979	261	0	0	27	234
Precinct 9434 - None	340	85	979	481	1	0	55	425
Precinct 9435 - None	182	39	969	251	0	1	29	221
Precinct 9435 - None	309	76	969	448	0	0	63	385
Precinct 9436 - None	164	45	1,006	232	0	0	23	209
Precinct 9436 - None	330	108	1,006	495	0	0	57	438
Precinct 9437 - None	167	32	897	219	0	0	20	199
Precinct 9437 - None	281	108	897	435	0	0	46	389
Precinct 9438 - None	145	31	948	202	0	0	26	176
Precinct 9438 - None	342	115	948	496	0	0	39	457
Precinct 9439 - None	124	32	879	173	0	0	17	156
Precinct 9439 - None	280	95	879	425	0	0	50	375
Precinct 9441 - None	202	33	980	261	0	0	26	235
Precinct 9441 - None	331	84	980	462	0	0	47	415
Precinct 9442 - None	226	40	1,008	280	0	0	14	266
Precinct 9442 - None	323	94	1,008	461	0	0	44	417
Precinct 9443 - None	166	37	937	220	1	0	16	203
Precinct 9443 - None	330	80	937	442	0	0	32	410
Precinct 9444 - None	130	36	937	190	1	0	23	166
Precinct 9444 - None	286	112	937	442	0	0	44	398
Precinct 9445 - None	172	38	981	230	0	0	20	210
Precinct 9445 - None	340	93	981	493	0	0	60	433
Precinct 9446 - None	184	32	1,090	240	0	0	24	216
Precinct 9446 - None	368	141	1,090	564	0	0	55	509
Precinct 9447 - None	176	34	906	236	0	0	26	210
Precinct 9447 - None	308	95	906	448	0	0	45	403
Precinct 9448 - None	172	37	909	232	0	1	22	209
Precinct 9448 - None	299	84	909	429	0	0	46	383
Precinct 9449 - None	132	26	830	177	2	0	17	158
Precinct 9449 - None	294	96	830	428	0	0	38	390
Precinct 9451 - None	66	17	420	97	0	0	14	83
Precinct 9451 - None	137	61	420	218	0	0	20	198
Precinct 9452 - None	169	63	840	259	0	0	27	232
Precinct 9452 - None	275	97	840	412	0	0	40	372
Precinct 9453 - None	83	36	500	135	0	0	16	119
Precinct 9453 - None	161	57	500	244	0	0	26	218
Precinct 9501 MB - None	84	15	148	110	0	0	11	99
Precinct 9502 MB - None	152	18	245	177	0	0	7	170
Precinct 9503/9504 - None	172	13	729	198	0	0	13	185
Precinct 9503/9504 - None	260	27	729	315	0	0	28	287
Precinct 9505 - None	153	13	784	177	0	0	11	166
Precinct 9505 - None	321	36	784	383	0	0	26	357
Precinct 9506 - None	146	16	766	177	0	0	15	162
Precinct 9506 - None	261	30	766	313	0	0	22	291
Precinct 9507 - None	209	11	766	231	0	0	11	220
Precinct 9507 - None	347	30	766	406	0	1	28	377
Precinct 9508 - None	213	3	798	237	0	0	21	216
Precinct 9508 - None	401	9	798	429	0	1	18	410
Precinct 9509 - None	195	12	759	230	0	0	23	207
Precinct 9509 - None	338	18	759	386	0	0	30	356
Precinct 9511 - None	161	19	622	190	0	0	10	180
Precinct 9511 - None	252	24	622	296	0	0	20	276
Precinct 9512 - None	204	13	809	240	0	0	23	217
Precinct 9512 - None	348	23	809	399	0	0	28	371
Precinct 9513 - None	237	19	902	275	0	0	19	256
Precinct 9513 - None	340	25	902	390	0	0	25	365
Precinct 9514/9522 - None	264	22	928	304	0	0	18	286
Precinct 9514/9522 - None	390	34	928	456	0	0	32	424
Precinct 9515 - None	190	18	705	222	0	0	14	208
Precinct 9515 - None	283	51	705	368	0	0	34	334
Precinct 9516 - None	198	40	866	254	0	0	16	238
Precinct 9516 - None	333	60	866	427	0	0	34	393
Precinct 9517 - None	201	12	801	228	0	1	14	213
Precinct 9517 - None	334	31	801	397	0	0	32	365
Precinct 9518 - None	200	9	802	229	0	0	20	209
Precinct 9518 - None	364	36	802	431	0	0	31	400
Precinct 9519 - None	224	23	910	262	0	0	15	247
Precinct 9519 - None	428	29	910	486	0	0	29	457
Precinct 9521 - None	265	16	939	316	0	0	35	281
Precinct 9521 - None	380	25	939	442	0	0	37	405
Precinct 9701 - None	162	20	671	201	0	1	18	182
Precinct 9701 - None	253	57	671	340	0	0	30	310
Precinct 9702 - None	180	16	723	210	0	0	14	196
Precinct 9702 - None	297	40	723	364	0	0	27	337
Precinct 9703 - None	171	37	986	232	0	0	24	208
Precinct 9703 - None	397	94	986	530	0	0	39	491
Precinct 9704 - None	220	33	950	279	0	0	26	253
Precinct 9704 - None	385	70	950	505	0	0	50	455
Precinct 9705 - None	212	24	919	261	3	0	22	236
Precinct 9705 - None	414	40	919	483	0	0	29	454
Precinct 9706 MB - None	33	2	49	39	0	0	4	35
Precinct 9707 - None	114	43	821	173	0	0	16	157
Precinct 9707 - None	359	101	821	491	0	1	30	460
Precinct 9708 - None	200	29	948	250	0	0	21	229
Precinct 9708 - None	416	45	948	500	0	0	39	461
Precinct 9709 - None	203	41	1,028	281	7	0	30	244
Precinct 9709 - None	382	85	1,028	517	0	0	50	467
Precinct 9711 - None	141	29	641	195	0	2	23	170
Precinct 9711 - None	246	66	641	336	0	0	24	312
Precinct 9712 - None	126	26	649	160	0	0	8	152
Precinct 9712 - None	304	71	649	398	1	0	22	375
Precinct 9713 - None	166	37	960	225	1	0	21	203
Precinct 9713 - None	317	106	960	489	0	0	66	423
Precinct 9714 - None	133	56	931	208	1	0	18	189
Precinct 9714 - None	368	118	931	538	0	0	52	486
Precinct 9715 - None	134	28	569	180	0	0	18	162
Precinct 9715 - None	211	72	569	309	0	0	26	283
Precinct 9716 - None	182	35	947	239	0	0	22	217
Precinct 9716 - None	349	89	947	481	0	0	43	438
Precinct 9717 - None	192	50	972	265	0	0	23	242
Precinct 9717 - None	391	94	972	532	0	0	47	485
Precinct 9718 - None	157	52	862	227	0	0	18	209
Precinct 9718 - None	355	96	862	496	0	0	45	451
Precinct 9719 - None	179	44	901	245	0	0	22	223
Precinct 9719 - None	365	111	901	524	2	0	46	476
Precinct 9721 - None	136	47	662	198	0	0	15	183
Precinct 9721 - None	250	73	662	357	0	0	34	323
Precinct 9722 - None	74	28	605	119	1	0	16	102
Precinct 9722 - None	244	90	605	355	0	0	21	334
Precinct 9723 - None	63	28	481	98	0	0	7	91
Precinct 9723 - None	162	79	481	275	0	0	34	241
Precinct 9724 - None	127	55	991	205	0	1	22	182
Precinct 9724 - None	335	173	991	565	0	0	57	508
Precinct 9725 - None	140	48	970	214	0	0	26	188
Precinct 9725 - None	312	136	970	499	0	0	51	448
Precinct 9726 - None	221	30	655	263	0	0	12	251
Precinct 9726 - None	190	32	655	241	0	0	19	222
Precinct 9727 - None	55	22	459	79	0	0	2	77
Precinct 9727 - None	164	81	459	271	0	0	26	245
Precinct 9728 - None	151	59	926	231	0	0	21	210
Precinct 9728 - None	313	151	926	503	0	0	39	464
Precinct 9729 - None	115	47	800	191	0	0	29	162
Precinct 9729 - None	283	119	800	442	0	0	40	402
Precinct 9731 - None	109	37	556	167	0	0	21	146
Precinct 9731 - None	189	71	556	282	0	0	22	260
Precinct 9732 MB - None	49	7	70	56	0	0	0	56
Precinct 9733 MB - None	162	22	235	191	0	0	7	184
Precinct 9734 - None	97	45	603	154	0	0	12	142
Precinct 9734 - None	236	80	603	341	0	0	25	316
Precinct 9735 - None	139	48	809	206	0	0	19	187
Precinct 9735 - None	324	99	809	449	0	0	26	423
Precinct 9736 - None	118	35	713	173	0	0	20	153
Precinct 9736 - None	330	54	713	410	0	0	26	384
Precinct 9737 - None	167	26	818	208	0	0	15	193
Precinct 9737 - None	387	55	818	476	0	0	34	442
Precinct 9738 - None	140	31	848	185	0	0	14	171
Precinct 9738 - None	308	70	848	404	0	0	26	378
Precinct 9739 - None	190	22	828	220	0	0	8	212
Precinct 9739 - None	264	47	828	335	0	0	24	311
Precinct 9741 - None	214	11	552	232	0	0	7	225
Precinct 9741 - None	102	0	552	105	0	0	3	102
Precinct 9742 - None	121	40	677	180	4	1	14	161
Precinct 9742 - None	183	77	677	289	0	0	29	260
Precinct 9743 - None	256	33	1,163	310	0	0	21	289
Precinct 9743 - None	408	64	1,163	501	0	0	29	472
Precinct 9744 - None	192	40	911	247	1	0	14	232
Precinct 9744 - None	308	62	911	391	0	0	21	370
Precinct 9745 - None	216	37	991	282	0	0	29	253
Precinct 9745 - None	283	47	991	346	0	0	16	330
Precinct 9746 - None	150	59	884	232	0	0	23	209
Precinct 9746 - None	320	100	884	452	0	0	32	420
Precinct 9747 - None	209	20	973	246	0	0	17	229
Precinct 9747 - None	351	78	973	470	0	0	41	429
Precinct 9748 - None	172	38	931	229	0	0	19	210
Precinct 9748 - None	347	91	931	475	1	0	36	438
Precinct 9749 - None	181	19	913	225	2	0	23	200
Precinct 9749 - None	286	58	913	384	0	0	40	344
Precinct 9751 - None	193	41	1,016	253	0	0	19	234
Precinct 9751 - None	394	83	1,016	523	0	0	46	477
Precinct 9752 - None	124	37	710	175	3	0	11	161
Precinct 9752 - None	296	74	710	392	0	0	22	370
Precinct 9753 - None	153	19	756	186	0	0	14	172
Precinct 9753 - None	301	58	756	388	0	0	29	359
Precinct 9754 - None	37	8	707	47	0	0	2	45
Precinct 9754 - None	309	47	707	377	0	0	21	356
Precinct 9755 - None	135	22	582	172	0	0	15	157
Precinct 9755 - None	234	36	582	285	2	0	13	270
Precinct 9756 - None	143	26	941	185	0	1	15	169
Precinct 9756 - None	342	102	941	477	0	0	33	444
Precinct 9801 - None	74	20	408	104	0	0	10	94
Precinct 9801 - None	143	28	408	181	0	0	10	171
Congressional District 12	263,045	40,602	443,570	332,491	87	65	28,692	303,647
Congressional District 14	29,928	7,151	56,946	40,357	19	10	3,249	37,079
Assembly District 17	174,762	22,059	291,063	214,827	62	48	17,896	196,821
Assembly District 19	118,211	25,694	209,453	158,021	44	27	14,045	143,905
BART District 7	19,578	3,102	38,460	24,736	3	7	2,046	22,680
BART District 8	122,780	28,043	223,735	166,386	47	22	15,494	150,823
BART District 9	150,615	16,608	238,321	181,726	56	46	14,401	167,223
Supervisorial District 1	25,236	4,637	42,767	32,743	7	0	2,863	29,873
Supervisorial District 2	29,554	7,094	50,394	40,402	1	6	3,747	36,648
Supervisorial District 3	21,660	3,986	39,799	28,571	2	3	2,920	25,646
Supervisorial District 4	22,758	5,699	42,953	31,699	8	5	3,229	28,457
Supervisorial District 5	35,683	3,101	53,744	42,036	5	14	3,233	38,784
Supervisorial District 6	22,903	3,558	43,321	29,158	2	12	2,683	26,461
Supervisorial District 7	27,307	6,316	47,076	36,587	30	8	2,926	33,623
Supervisorial District 8	41,597	3,378	58,122	48,632	31	4	3,622	44,975
Supervisorial District 9	26,597	2,713	42,988	31,769	10	8	2,441	29,310
Supervisorial District 10	20,826	3,387	41,862	26,459	9	3	2,234	24,213
Supervisorial District 11	18,852	3,884	37,490	24,792	1	12	2,043	22,736
Bayview/Hunters Point	8,897	1,437	19,914	11,270	1	3	932	10,334
Chinatown	9,255	1,763	17,446	12,440	1	1	1,420	11,018
Civic Center/Downtown	14,819	2,398	28,644	19,045	1	7	1,820	17,217
Diamond Heights	4,817	608	7,002	5,802	3	1	373	5,425
Excelsior	13,839	3,061	27,634	18,420	1	11	1,508	16,900
Haight Ashbury	10,631	682	14,982	12,240	2	4	921	11,313
Ingleside	6,182	1,076	12,118	7,928	2	2	666	7,258
Inner Sunset	6,546	707	9,734	7,857	0	2	602	7,253
Lake Merced	4,431	1,045	8,390	5,918	1	1	440	5,476
Laurel Heights/Anza Vista	6,435	948	10,097	8,010	0	2	625	7,383
Marina Pacific Heights	23,638	5,718	40,622	32,395	5	5	3,029	29,356
Mission	20,034	1,503	31,129	23,295	3	3	1,752	21,537
Noe Valley	12,226	1,038	16,964	14,420	3	1	1,152	13,264
North Bernal Heights	6,334	418	8,795	7,263	2	2	507	6,752
North Embarcadero	3,954	772	7,019	5,232	0	0	506	4,726
Portola	4,414	1,097	9,293	6,104	2	2	589	5,511
Potrero Hill	10,656	1,353	16,814	13,081	3	1	1,068	12,009
Richmond	21,850	4,139	37,322	28,503	5	0	2,509	25,989
Sea Cliff/Presidio Heights	4,798	1,154	8,050	6,587	1	0	634	5,952
South of Bernal Heights	6,307	543	9,419	7,393	6	2	535	6,850
South of Market	13,312	2,199	24,674	17,045	2	6	1,526	15,511
Sunset	22,385	5,658	42,363	31,246	8	5	3,190	28,043
Upper Market/Eureka Valley	14,062	959	18,966	16,190	12	1	1,156	15,021
Visitation Valley	3,195	843	8,139	4,488	3	0	447	4,038
West of Twin Peaks	20,660	4,881	34,909	27,838	27	5	2,265	25,541
Western Addition	19,296	1,753	30,077	22,838	12	8	1,769	21,049
