Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7052 - None	120	26	852	161	0	0	15	146
Precinct 7052 - None	269	82	852	402	0	0	51	351
Precinct 7053 - None	81	11	548	102	0	0	10	92
Precinct 7053 - None	212	56	548	278	0	0	10	268
Precinct 7054 - None	192	16	1,073	215	0	0	7	208
Precinct 7054 - None	328	52	1,073	410	0	0	30	380
Precinct 7055 - None	168	11	808	190	0	0	11	179
Precinct 7055 - None	345	62	808	440	0	0	33	407
Precinct 7101 MB - None	106	7	155	120	1	0	6	113
Precinct 7201 - None	186	34	936	245	0	0	25	220
Precinct 7201 - None	378	92	936	518	0	0	48	470
Precinct 7202 - None	176	37	850	227	0	0	14	213
Precinct 7202 - None	296	100	850	431	0	0	35	396
Precinct 7203 - None	235	31	921	291	1	1	23	266
Precinct 7203 - None	330	53	921	423	0	0	40	383
Precinct 7204 - None	171	34	918	233	0	0	28	205
Precinct 7204 - None	408	88	918	531	0	0	35	496
Precinct 7205 - None	182	36	875	251	0	0	33	218
Precinct 7205 - None	342	103	875	485	0	0	40	445
Precinct 7206 - None	112	11	378	135	0	0	12	123
Precinct 7206 - None	151	24	378	191	0	0	16	175
Precinct 7207 - None	162	18	812	196	0	0	16	180
Precinct 7207 - None	336	54	812	434	0	0	44	390
Precinct 7208 - None	87	12	600	111	0	0	12	99
Precinct 7208 - None	247	57	600	328	0	0	24	304
Precinct 7209 - None	85	11	626	107	0	0	11	96
Precinct 7209 - None	329	66	626	423	0	0	28	395
Precinct 7301 - None	166	37	1,016	228	0	0	25	203
Precinct 7301 - None	329	63	1,016	435	0	0	43	392
Precinct 7302 - None	135	33	814	188	0	0	20	168
Precinct 7302 - None	334	79	814	458	0	0	45	413
Precinct 7303 - None	212	31	1,042	281	0	0	38	243
Precinct 7303 - None	378	59	1,042	482	0	0	45	437
Precinct 7304 - None	216	32	1,002	278	0	0	30	248
Precinct 7304 - None	376	75	1,002	493	0	0	42	451
Precinct 7305 - None	178	37	871	240	0	0	25	215
Precinct 7305 - None	326	94	871	460	0	0	40	420
Precinct 7306 - None	238	41	1,056	317	0	0	38	279
Precinct 7306 - None	364	72	1,056	498	0	0	62	436
Precinct 7307 - None	172	18	767	210	0	0	20	190
Precinct 7307 - None	262	51	767	346	0	0	33	313
Precinct 7308 - None	146	20	603	177	0	0	11	166
Precinct 7308 - None	240	45	603	313	0	0	28	285
Precinct 7309 - None	202	31	884	263	0	0	30	233
Precinct 7309 - None	327	79	884	439	0	0	33	406
Precinct 7311 - None	227	25	917	268	0	0	16	252
Precinct 7311 - None	350	65	917	448	0	0	33	415
Precinct 7312 - None	142	37	821	203	0	0	24	179
Precinct 7312 - None	331	92	821	470	0	0	47	423
