Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7208 - None	13	91	600	111	0	0	7	104
Precinct 7208 - None	51	263	600	328	0	0	14	314
Precinct 7209 - None	10	88	626	107	0	0	9	98
Precinct 7209 - None	67	338	626	423	0	0	18	405
Precinct 7301 - None	36	175	1,016	228	0	0	17	211
Precinct 7301 - None	70	328	1,016	435	0	0	37	398
Precinct 7302 - None	29	148	814	188	0	0	11	177
Precinct 7302 - None	72	357	814	458	0	0	29	429
Precinct 7303 - None	33	232	1,042	281	0	0	16	265
Precinct 7303 - None	68	389	1,042	482	0	0	25	457
Precinct 7304 - None	36	228	1,002	278	0	0	14	264
Precinct 7304 - None	74	397	1,002	493	0	0	22	471
Precinct 7305 - None	44	182	871	240	0	0	14	226
Precinct 7305 - None	90	350	871	460	0	0	20	440
Precinct 7306 - None	42	252	1,056	317	0	0	23	294
Precinct 7306 - None	60	400	1,056	498	0	0	38	460
Precinct 7307 - None	18	180	767	210	0	0	12	198
Precinct 7307 - None	54	269	767	346	0	0	23	323
Precinct 7308 - None	16	153	603	177	0	0	8	169
Precinct 7308 - None	46	252	603	313	0	0	15	298
Precinct 7309 - None	40	210	884	263	0	0	13	250
Precinct 7309 - None	77	339	884	439	0	1	22	416
Precinct 7311 - None	20	235	917	268	0	0	13	255
Precinct 7311 - None	50	380	917	448	0	0	18	430
Precinct 7312 - None	36	159	821	203	0	0	8	195
Precinct 7312 - None	86	348	821	470	0	0	36	434
Precinct 7313 - None	23	190	968	225	1	0	11	213
Precinct 7313 - None	73	370	968	485	0	0	42	443
Precinct 7314 - None	20	90	787	125	0	0	15	110
Precinct 7314 - None	30	198	787	271	0	1	42	228
Precinct 7315 - None	25	179	760	220	0	0	16	204
Precinct 7315 - None	43	224	760	282	0	0	15	267
Precinct 7316 - None	21	172	853	205	0	0	12	193
Precinct 7316 - None	52	285	853	367	0	0	30	337
Precinct 7317 - None	21	157	904	189	0	0	11	178
Precinct 7317 - None	82	352	904	454	0	0	20	434
Precinct 7318 - None	19	147	727	179	0	0	13	166
Precinct 7318 - None	53	306	727	390	0	0	31	359
Precinct 7319 - None	33	248	1,079	301	0	0	20	281
Precinct 7319 - None	81	405	1,079	516	0	1	29	486
Precinct 7321 - None	19	110	671	149	0	0	20	129
Precinct 7321 - None	49	206	671	286	0	0	31	255
Precinct 7322 - None	12	46	874	65	0	0	7	58
Precinct 7322 - None	49	214	874	337	0	0	74	263
Precinct 7323 - None	31	185	950	234	0	0	18	216
Precinct 7323 - None	68	353	950	455	0	0	34	421
Precinct 7324 - None	29	146	755	190	0	0	15	175
Precinct 7324 - None	48	290	755	364	0	1	25	338
Precinct 7325 - None	28	198	904	243	0	0	17	226
Precinct 7325 - None	39	369	904	436	0	0	28	408
Precinct 7326 - None	21	168	876	200	0	0	11	189
Precinct 7326 - None	67	314	876	430	0	0	49	381
Precinct 7327 - None	10	50	699	71	0	0	11	60
Precinct 7327 - None	62	173	699	276	0	0	41	235
Precinct 7328 - None	17	63	973	94	0	0	14	80
Precinct 7328 - None	68	247	973	394	0	0	79	315
Precinct 7329 - None	14	89	640	112	0	0	9	103
Precinct 7329 - None	74	218	640	321	0	0	29	292
Precinct 7331 - None	52	146	852	213	0	0	15	198
Precinct 7331 - None	102	341	852	461	0	0	18	443
Precinct 7332 - None	20	188	834	225	0	0	17	208
Precinct 7332 - None	41	304	834	364	0	0	19	345
Precinct 7333 - None	29	250	1,044	298	0	0	19	279
Precinct 7333 - None	68	445	1,044	543	0	0	30	513
Precinct 7334 - None	24	167	881	199	0	0	8	191
Precinct 7334 - None	45	389	881	462	0	0	28	434
Precinct 7335 - None	23	191	970	225	0	0	11	214
