Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9429 - None	86	313	899	432	0	0	33	399
Precinct 9431 - None	37	183	973	235	0	0	15	220
Precinct 9431 - None	112	324	973	464	0	0	28	436
Precinct 9432 - None	30	165	945	214	0	0	19	195
Precinct 9432 - None	95	331	945	468	0	0	42	426
Precinct 9433 - None	42	138	945	195	0	0	15	180
Precinct 9433 - None	99	346	945	487	0	0	42	445
Precinct 9434 - None	39	201	979	261	0	0	21	240
Precinct 9434 - None	90	347	979	481	1	0	43	437
Precinct 9435 - None	43	187	969	251	0	0	21	230
Precinct 9435 - None	86	317	969	448	0	0	45	403
Precinct 9436 - None	43	171	1,006	232	0	0	18	214
Precinct 9436 - None	119	335	1,006	495	0	0	41	454
Precinct 9437 - None	32	169	897	219	0	0	18	201
Precinct 9437 - None	116	286	897	435	0	0	33	402
Precinct 9438 - None	36	146	948	202	0	0	20	182
Precinct 9438 - None	119	350	948	496	0	0	27	469
Precinct 9439 - None	34	128	879	173	0	0	11	162
Precinct 9439 - None	92	292	879	425	0	0	41	384
Precinct 9441 - None	34	210	980	261	0	0	17	244
Precinct 9441 - None	90	332	980	462	0	0	40	422
Precinct 9442 - None	44	225	1,008	280	0	0	11	269
Precinct 9442 - None	103	324	1,008	461	0	0	34	427
Precinct 9443 - None	32	170	937	220	1	0	17	202
Precinct 9443 - None	80	337	937	442	0	0	25	417
Precinct 9444 - None	42	134	937	190	1	0	13	176
Precinct 9444 - None	108	296	937	442	0	1	37	404
Precinct 9445 - None	43	180	981	230	0	0	7	223
Precinct 9445 - None	97	353	981	493	0	0	43	450
Precinct 9446 - None	36	189	1,090	240	0	0	15	225
Precinct 9446 - None	135	383	1,090	564	0	0	46	518
Precinct 9447 - None	38	185	906	236	0	0	13	223
Precinct 9447 - None	94	327	906	448	0	0	27	421
Precinct 9448 - None	36	183	909	232	0	0	13	219
Precinct 9448 - None	82	313	909	429	0	0	34	395
Precinct 9449 - None	29	130	830	177	2	0	16	159
Precinct 9449 - None	93	301	830	428	0	0	34	394
Precinct 9451 - None	19	66	420	97	0	0	12	85
Precinct 9451 - None	64	138	420	218	0	0	16	202
Precinct 9452 - None	66	178	840	259	0	0	15	244
Precinct 9452 - None	98	280	840	412	0	0	34	378
Precinct 9453 - None	40	81	500	135	0	0	14	121
Precinct 9453 - None	54	171	500	244	0	0	19	225
Precinct 9501 MB - None	14	91	148	110	0	0	5	105
Precinct 9502 MB - None	13	163	245	177	0	0	1	176
Precinct 9503/9504 - None	17	171	729	198	0	0	10	188
Precinct 9503/9504 - None	23	276	729	315	0	0	16	299
Precinct 9505 - None	14	154	784	177	0	0	9	168
Precinct 9505 - None	34	332	784	383	0	0	17	366
Precinct 9506 - None	14	154	766	177	0	0	9	168
Precinct 9506 - None	19	275	766	313	0	0	19	294
Precinct 9507 - None	8	219	766	231	0	0	4	227
Precinct 9507 - None	24	372	766	406	0	0	10	396
Precinct 9508 - None	5	222	798	237	0	0	10	227
Precinct 9508 - None	10	406	798	429	0	0	13	416
Precinct 9509 - None	13	208	759	230	0	0	9	221
Precinct 9509 - None	20	353	759	386	0	0	13	373
Precinct 9511 - None	18	167	622	190	0	1	4	185
Precinct 9511 - None	26	259	622	296	0	0	11	285
Precinct 9512 - None	16	211	809	240	0	0	13	227
Precinct 9512 - None	23	360	809	399	0	0	16	383
Precinct 9513 - None	16	244	902	275	0	1	14	260
Precinct 9513 - None	25	347	902	390	0	0	18	372
Precinct 9514/9522 - None	18	276	928	304	0	0	10	294
Precinct 9514/9522 - None	28	412	928	456	0	0	16	440
Precinct 9515 - None	20	196	705	222	0	1	5	216
Precinct 9515 - None	39	308	705	368	0	0	21	347
Precinct 9516 - None	34	208	866	254	0	0	12	242
Precinct 9516 - None	54	353	866	427	0	0	20	407
Precinct 9517 - None	13	202	801	228	0	0	13	215
Precinct 9517 - None	29	356	801	397	0	0	12	385
Precinct 9518 - None	12	208	802	229	0	0	9	220
Precinct 9518 - None	39	375	802	431	0	0	17	414
Precinct 9519 - None	25	229	910	262	0	0	8	254
Precinct 9519 - None	30	448	910	486	0	0	8	478
Precinct 9521 - None	22	276	939	316	0	0	18	298
Precinct 9521 - None	27	393	939	442	0	0	22	420
Precinct 9701 - None	23	172	671	201	0	0	6	195
Precinct 9701 - None	56	265	671	340	0	0	19	321
Precinct 9702 - None	15	192	723	210	0	0	3	207
Precinct 9702 - None	42	305	723	364	0	0	17	347
Precinct 9703 - None	36	178	986	232	0	0	18	214
Precinct 9703 - None	92	403	986	530	0	0	35	495
Precinct 9704 - None	35	230	950	279	0	0	14	265
Precinct 9704 - None	67	404	950	505	0	0	34	471
Precinct 9705 - None	26	220	919	261	3	0	12	246
Precinct 9705 - None	41	421	919	483	0	0	21	462
Precinct 9706 MB - None	2	33	49	39	0	0	4	35
Precinct 9707 - None	38	120	821	173	0	0	15	158
Precinct 9707 - None	99	360	821	491	0	0	32	459
Precinct 9708 - None	28	214	948	250	0	0	8	242
Precinct 9708 - None	50	430	948	500	0	0	20	480
Precinct 9709 - None	46	209	1,028	281	7	0	19	255
Precinct 9709 - None	85	400	1,028	517	0	0	32	485
Precinct 9711 - None	36	149	641	195	0	0	10	185
Precinct 9711 - None	66	258	641	336	0	0	12	324
Precinct 9712 - None	27	126	649	160	0	0	7	153
Precinct 9712 - None	73	311	649	398	1	0	13	384
Precinct 9713 - None	41	167	960	225	1	0	16	208
Precinct 9713 - None	99	341	960	489	0	0	49	440
Precinct 9714 - None	56	142	931	208	1	0	9	198
Precinct 9714 - None	116	388	931	538	0	0	34	504
Precinct 9715 - None	31	138	569	180	0	0	11	169
Precinct 9715 - None	72	219	569	309	0	0	18	291
Precinct 9716 - None	43	180	947	239	0	0	16	223
Precinct 9716 - None	88	365	947	481	0	0	28	453
Precinct 9717 - None	47	201	972	265	0	1	16	248
Precinct 9717 - None	93	412	972	532	0	0	27	505
Precinct 9718 - None	42	174	862	227	0	0	11	216
Precinct 9718 - None	106	364	862	496	0	1	25	470
Precinct 9719 - None	47	185	901	245	0	0	13	232
Precinct 9719 - None	113	376	901	524	2	0	33	489
Precinct 9721 - None	45	144	662	198	0	0	9	189
Precinct 9721 - None	74	259	662	357	0	0	24	333
Precinct 9722 - None	27	80	605	119	1	0	11	107
Precinct 9722 - None	77	259	605	355	0	0	19	336
Precinct 9723 - None	31	61	481	98	0	0	6	92
Precinct 9723 - None	75	181	481	275	0	0	19	256
Precinct 9724 - None	58	137	991	205	0	0	10	195
Precinct 9724 - None	184	338	991	565	0	0	43	522
Precinct 9725 - None	49	146	970	214	0	0	19	195
Precinct 9725 - None	137	318	970	499	0	0	44	455
Precinct 9726 - None	31	221	655	263	0	0	11	252
Precinct 9726 - None	39	193	655	241	0	0	9	232
Precinct 9727 - None	21	55	459	79	0	0	3	76
Precinct 9727 - None	83	170	459	271	0	0	18	253
Precinct 9728 - None	58	159	926	231	0	0	14	217
Precinct 9728 - None	136	341	926	503	0	0	26	477
Precinct 9729 - None	54	122	800	191	0	0	15	176
Precinct 9729 - None	106	316	800	442	0	0	20	422
Precinct 9731 - None	39	114	556	167	0	0	14	153
Precinct 9731 - None	71	198	556	282	0	0	13	269
Precinct 9732 MB - None	10	46	70	56	0	0	0	56
Precinct 9733 MB - None	26	162	235	191	0	0	3	188
Precinct 9734 - None	50	98	603	154	0	0	6	148
Precinct 9734 - None	74	253	603	341	0	0	14	327
Precinct 9735 - None	52	141	809	206	0	0	13	193
Precinct 9735 - None	97	339	809	449	0	0	13	436
Precinct 9736 - None	35	130	713	173	0	0	8	165
Precinct 9736 - None	50	340	713	410	0	0	20	390
Precinct 9737 - None	28	172	818	208	0	0	8	200
Precinct 9737 - None	63	393	818	476	0	1	19	456
Precinct 9738 - None	32	144	848	185	0	0	9	176
Precinct 9738 - None	77	306	848	404	0	0	21	383
Precinct 9739 - None	21	192	828	220	0	0	7	213
Precinct 9739 - None	50	273	828	335	0	0	12	323
Precinct 9741 - None	8	220	552	232	0	0	4	228
Precinct 9741 - None	3	100	552	105	0	0	2	103
Precinct 9742 - None	48	117	677	180	4	0	11	165
Precinct 9742 - None	71	203	677	289	0	0	15	274
Precinct 9743 - None	35	266	1,163	310	0	0	9	301
Precinct 9743 - None	65	420	1,163	501	0	0	16	485
Precinct 9744 - None	38	195	911	247	1	0	13	233
Precinct 9744 - None	64	315	911	391	0	0	12	379
Precinct 9745 - None	34	229	991	282	0	0	19	263
Precinct 9745 - None	49	288	991	346	0	0	9	337
Precinct 9746 - None	60	159	884	232	0	0	13	219
Precinct 9746 - None	100	334	884	452	0	0	18	434
Precinct 9747 - None	26	214	973	246	0	0	6	240
Precinct 9747 - None	78	357	973	470	0	0	35	435
Precinct 9748 - None	33	181	931	229	0	0	15	214
Precinct 9748 - None	95	353	931	475	1	0	26	448
Precinct 9749 - None	25	178	913	225	2	0	20	203
Precinct 9749 - None	59	293	913	384	0	0	32	352
Precinct 9751 - None	43	192	1,016	253	0	0	18	235
Precinct 9751 - None	85	411	1,016	523	0	0	27	496
Precinct 9752 - None	36	130	710	175	3	0	6	166
Precinct 9752 - None	72	308	710	392	0	0	12	380
Precinct 9753 - None	18	159	756	186	0	0	9	177
Precinct 9753 - None	49	315	756	388	0	0	24	364
Precinct 9754 - None	6	39	707	47	0	0	2	45
Precinct 9754 - None	43	322	707	377	0	0	12	365
Precinct 9755 - None	20	144	582	172	0	0	8	164
Precinct 9755 - None	35	237	582	285	2	0	11	272
Precinct 9756 - None	26	151	941	185	0	0	8	177
Precinct 9756 - None	90	358	941	477	0	0	29	448
Precinct 9801 - None	21	77	408	104	0	0	6	98
Precinct 9801 - None	24	151	408	181	0	0	6	175
Congressional District 12	39,850	274,744	443,570	332,491	87	86	17,724	314,594
Congressional District 14	7,220	30,757	56,946	40,357	19	8	2,353	37,977
Assembly District 17	21,264	182,706	291,063	214,827	62	69	10,726	203,970
Assembly District 19	25,806	122,795	209,453	158,021	44	25	9,351	148,601
BART District 7	3,013	20,218	38,460	24,736	3	8	1,494	23,231
BART District 8	28,258	127,539	223,735	166,386	47	27	10,515	155,797
BART District 9	15,799	157,744	238,321	181,726	56	59	8,068	173,543
Supervisorial District 1	4,675	26,222	42,767	32,743	7	5	1,834	30,897
Supervisorial District 2	6,910	31,355	50,394	40,402	1	5	2,131	38,265
Supervisorial District 3	3,930	22,744	39,799	28,571	2	6	1,889	26,674
Supervisorial District 4	5,882	23,392	42,953	31,699	8	4	2,413	29,274
Supervisorial District 5	2,984	37,321	53,744	42,036	5	15	1,711	40,305
Supervisorial District 6	3,593	23,724	43,321	29,158	2	12	1,827	27,317
Supervisorial District 7	6,330	28,339	47,076	36,587	30	4	1,884	34,669
Supervisorial District 8	3,124	43,784	58,122	48,632	31	5	1,688	46,908
Supervisorial District 9	2,523	27,819	42,988	31,769	10	10	1,407	30,342
Supervisorial District 10	3,145	21,604	41,862	26,459	9	13	1,688	24,749
Supervisorial District 11	3,974	19,197	37,490	24,792	1	15	1,605	23,171
Bayview/Hunters Point	1,440	8,985	19,914	11,270	1	6	838	10,425
Chinatown	1,744	9,741	17,446	12,440	1	4	950	11,485
Civic Center/Downtown	2,451	15,306	28,644	19,045	1	6	1,281	17,757
Diamond Heights	577	5,015	7,002	5,802	3	1	206	5,592
Excelsior	3,078	14,183	27,634	18,420	1	12	1,146	17,261
Haight Ashbury	645	11,154	14,982	12,240	2	4	435	11,799
Ingleside	1,141	6,222	12,118	7,928	2	3	560	7,363
Inner Sunset	678	6,867	9,734	7,857	0	1	311	7,545
Lake Merced	1,080	4,543	8,390	5,918	1	0	294	5,623
Laurel Heights/Anza Vista	927	6,722	10,097	8,010	0	1	360	7,649
Marina Pacific Heights	5,575	25,110	40,622	32,395	5	4	1,701	30,685
Mission	1,354	21,028	31,129	23,295	3	7	903	22,382
Noe Valley	979	12,920	16,964	14,420	3	0	518	13,899
North Bernal Heights	362	6,663	8,795	7,263	2	0	236	7,025
North Embarcadero	789	4,149	7,019	5,232	0	0	294	4,938
Portola	1,089	4,551	9,293	6,104	2	4	458	5,640
Potrero Hill	1,053	11,482	16,814	13,081	3	3	540	12,535
Richmond	4,186	22,680	37,322	28,503	5	5	1,627	26,866
Sea Cliff/Presidio Heights	1,135	5,095	8,050	6,587	1	0	356	6,230
South of Bernal Heights	508	6,594	9,419	7,393	6	2	283	7,102
South of Market	2,155	13,891	24,674	17,045	2	8	989	16,046
Sunset	5,839	23,002	42,363	31,246	8	4	2,393	28,841
Upper Market/Eureka Valley	868	14,809	18,966	16,190	12	2	499	15,677
Visitation Valley	880	3,167	8,139	4,488	3	3	435	4,047
West of Twin Peaks	4,865	21,493	34,909	27,838	27	4	1,449	26,358
Western Addition	1,672	20,129	30,077	22,838	12	10	1,015	21,801
