Subtotal Area	JOSÉ CISNEROS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7011 - Election Day	69	951	85	0	0	16	0	69	0
Precinct 7011 - Vote By Mail	124	951	168	0	0	44	0	124	0
Precinct 7011	193	951	253	0	0	60	0	193	0
Precinct 7012 - Election Day	118	1,165	149	0	0	31	0	118	0
Precinct 7012 - Vote By Mail	261	1,165	362	0	0	100	0	262	1
Precinct 7012	379	1,165	511	0	0	131	0	380	1
Precinct 7013 - Election Day	69	1,033	93	0	0	24	0	69	0
Precinct 7013 - Vote By Mail	209	1,033	283	0	0	74	0	209	0
Precinct 7013	278	1,033	376	0	0	98	0	278	0
Precinct 7014/7056 - Election Day	112	1,388	136	0	0	24	0	112	0
Precinct 7014/7056 - Vote By Mail	306	1,388	416	0	0	110	0	306	0
Precinct 7014/7056	418	1,388	552	0	0	134	0	418	0
Precinct 7015 MB - Vote By Mail	25	104	25	0	0	0	0	25	0
Precinct 7015 MB	26	104	26	0	0	0	0	26	0
Precinct 7016 - Election Day	60	912	75	0	0	15	0	60	0
Precinct 7016 - Vote By Mail	125	912	173	0	0	48	0	125	0
Precinct 7016	185	912	248	0	0	63	0	185	0
Precinct 7017 - Election Day	38	781	49	0	1	10	0	38	0
Precinct 7017 - Vote By Mail	106	781	142	0	0	36	0	106	0
Precinct 7017	144	781	191	0	1	46	0	144	0
Precinct 7019/7018 - Election Day	100	1,908	121	0	0	21	0	100	0
Precinct 7019/7018 - Vote By Mail	431	1,908	554	0	0	123	0	431	0
Precinct 7019/7018	531	1,908	675	0	0	144	0	531	0
Precinct 7021 - Election Day	72	955	96	0	0	24	0	72	0
Precinct 7021 - Vote By Mail	165	955	212	0	0	47	0	165	0
Precinct 7021	237	955	308	0	0	71	0	237	0
Precinct 7022 - Election Day	75	943	94	0	0	19	0	75	0
Precinct 7022 - Vote By Mail	160	943	216	0	0	56	0	160	0
Precinct 7022	235	943	310	0	0	75	0	235	0
Precinct 7024 - Election Day	27	448	39	0	0	12	0	27	0
Precinct 7024 - Vote By Mail	29	448	34	0	0	5	0	29	0
Precinct 7024	56	448	73	0	0	17	0	56	0
Precinct 7025 - Election Day	25	473	34	0	0	9	0	25	0
Precinct 7025 - Vote By Mail	38	473	58	0	0	20	0	38	0
Precinct 7025	63	473	92	0	0	29	0	63	0
Precinct 7026 - Election Day	47	1,009	57	0	0	10	0	47	0
Precinct 7026 - Vote By Mail	211	1,009	301	0	0	90	0	211	0
Precinct 7026	258	1,009	358	0	0	100	0	258	0
Precinct 7027 - Election Day	72	883	85	0	0	13	0	72	0
Precinct 7027 - Vote By Mail	170	883	230	0	0	60	0	170	0
Precinct 7027	242	883	315	0	0	73	0	242	0
Precinct 7028 - Election Day	91	849	114	0	0	23	0	91	0
