Subtotal Area	JENNY LAM	KIRSTEN STROBEL	ROBERT K. COLEMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Bayview/Hunters Point	3,716	799	736	20,194	6,200	0	34	915	5,251	0
Chinatown - None	931	251	189	18,045	1,697	0	3	323	1,371	0
Chinatown - None	3,168	479	405	18,045	5,028	0	26	950	4,052	0
Chinatown	4,099	730	594	18,045	6,725	0	29	1,273	5,423	0
Civic Center/Downtown - None	1,270	427	388	27,613	2,634	0	9	540	2,085	0
Civic Center/Downtown - None	4,233	834	764	27,613	7,171	0	44	1,296	5,831	0
Civic Center/Downtown	5,503	1,261	1,152	27,613	9,805	0	53	1,836	7,916	0
Diamond Heights - None	668	165	128	7,735	1,165	0	2	202	961	0
Diamond Heights - None	1,802	300	203	7,735	2,833	0	8	520	2,305	0
Diamond Heights	2,470	465	331	7,735	3,998	0	10	722	3,266	0
Excelsior - None	1,190	493	311	28,067	2,430	0	5	431	1,994	0
Excelsior - None	4,838	1,127	639	28,067	7,906	0	44	1,258	6,604	0
Excelsior	6,028	1,620	950	28,067	10,336	0	49	1,689	8,598	0
Haight Ashbury - None	1,448	441	208	15,102	2,843	0	2	744	2,097	0
Haight Ashbury - None	2,846	553	294	15,102	4,922	0	18	1,211	3,693	0
Haight Ashbury	4,294	994	502	15,102	7,765	0	20	1,955	5,790	0
Ingleside - None	652	248	168	13,133	1,290	0	7	215	1,068	0
Ingleside - None	2,219	481	294	13,133	3,594	0	16	584	2,994	0
Ingleside	2,871	729	462	13,133	4,884	0	23	799	4,062	0
Inner Sunset - None	867	246	132	9,501	1,633	0	5	383	1,245	0
Inner Sunset - None	1,842	322	147	9,501	3,045	0	8	726	2,311	0
Inner Sunset	2,709	568	279	9,501	4,678	0	13	1,109	3,556	0
Lake Merced - None	436	156	79	8,190	825	0	0	154	671	0
Lake Merced - None	1,302	270	204	8,190	2,163	0	11	376	1,776	0
Lake Merced	1,738	426	283	8,190	2,988	0	11	530	2,447	0
Laurel Heights/Anza Vista - None	736	222	142	10,551	1,396	0	1	295	1,100	0
Laurel Heights/Anza Vista - None	1,826	327	229	10,551	3,053	0	9	662	2,382	0
Laurel Heights/Anza Vista	2,562	549	371	10,551	4,449	0	10	957	3,482	0
Marina Pacific Heights - None	2,254	736	357	41,063	4,207	0	9	851	3,347	0
Marina Pacific Heights - None	6,658	1,451	797	41,063	11,339	0	32	2,401	8,906	0
Marina Pacific Heights	8,912	2,187	1,154	41,063	15,546	0	41	3,252	12,253	0
Mission - None	2,235	783	500	32,113	4,830	0	7	1,305	3,518	0
Mission - None	5,088	936	696	32,113	8,757	0	38	1,999	6,720	0
Mission	7,323	1,719	1,196	32,113	13,587	0	45	3,304	10,238	0
Noe Valley - None	1,331	404	257	15,730	2,488	0	4	492	1,992	0
Noe Valley - None	3,314	568	415	15,730	5,503	0	13	1,193	4,297	0
Noe Valley	4,645	972	672	15,730	7,991	0	17	1,685	6,289	0
North Bernal Heights - None	859	233	149	9,293	1,671	0	0	430	1,241	0
North Bernal Heights - None	1,808	354	253	9,293	3,070	0	7	648	2,415	0
North Bernal Heights	2,667	587	402	9,293	4,741	0	7	1,078	3,656	0
North Embarcadero - None	398	81	91	5,953	702	0	0	132	570	0
North Embarcadero - None	1,064	218	178	5,953	1,840	0	7	373	1,460	0
North Embarcadero	1,462	299	269	5,953	2,542	0	7	505	2,030	0
Portola - None	432	119	126	9,927	809	0	1	131	677	0
Portola - None	1,822	333	250	9,927	2,925	0	13	507	2,405	0
Portola	2,254	452	376	9,927	3,734	0	14	638	3,082	0
Potrero Hill - None	944	269	158	16,717	1,710	0	6	333	1,371	0
Potrero Hill - None	3,153	489	311	16,717	4,958	0	8	997	3,953	0
Potrero Hill	4,097	758	469	16,717	6,668	0	14	1,330	5,324	0
Richmond - None	2,676	745	502	37,882	4,924	0	1	1,000	3,923	0
Richmond - None	7,017	1,193	867	37,882	11,288	0	37	2,174	9,077	0
Richmond	9,693	1,938	1,369	37,882	16,212	0	38	3,174	13,000	0
Sea Cliff/Presidio Heights - None	464	133	55	6,193	810	0	0	158	652	0
Sea Cliff/Presidio Heights - None	1,230	229	121	6,193	2,004	0	5	419	1,580	0
Sea Cliff/Presidio Heights	1,694	362	176	6,193	2,814	0	5	577	2,232	0
South of Bernal Heights - None	605	176	113	7,872	1,105	0	3	208	894	0
South of Bernal Heights - None	1,480	271	192	7,872	2,488	0	9	536	1,943	0
South of Bernal Heights	2,085	447	305	7,872	3,593	0	12	744	2,837	0
South of Market - None	912	301	241	24,361	1,797	0	4	339	1,454	0
South of Market - None	3,814	724	594	24,361	6,405	0	32	1,241	5,132	0
South of Market	4,726	1,025	835	24,361	8,202	0	36	1,580	6,586	0
Sunset - None	2,745	787	464	42,750	4,924	0	7	921	3,996	0
Sunset - None	8,303	1,326	877	42,750	12,903	0	46	2,351	10,506	0
Sunset	11,048	2,113	1,341	42,750	17,827	0	53	3,272	14,502	0
Upper Market/Eureka Valley - None	1,691	469	250	19,329	3,076	0	1	665	2,410	0
Upper Market/Eureka Valley - None	4,249	781	427	19,329	7,010	0	10	1,543	5,457	0
Upper Market/Eureka Valley	5,940	1,250	677	19,329	10,086	0	11	2,208	7,867	0
Visitation Valley - None	265	73	75	7,912	488	0	3	72	413	0
Visitation Valley - None	1,320	210	136	7,912	1,962	0	10	286	1,666	0
Visitation Valley	1,585	283	211	7,912	2,450	0	13	358	2,079	0
West of Twin Peaks - None	2,626	664	490	33,087	4,577	0	8	789	3,780	0
West of Twin Peaks - None	7,582	1,248	880	33,087	11,862	0	28	2,124	9,710	0
West of Twin Peaks	10,208	1,912	1,370	33,087	16,439	0	36	2,913	13,490	0
Western Addition - None	1,935	629	367	26,737	3,805	0	10	864	2,931	0
Western Addition - None	4,890	962	546	26,737	8,280	0	28	1,854	6,398	0
Western Addition	6,825	1,591	913	26,737	12,085	0	38	2,718	9,329	0
